movie,sentence_count,username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
Jack Reacher 2012,11,drumsolodub,7,7,15,23 December 2012," Worth the price of admission
",and not played the lead role .,casting,3,O,None
Jack Reacher 2012,11,drumsolodub,7,7,15,23 December 2012," Worth the price of admission
","Like Liam N. , Tom C. Is getting too old for these types of roles .",casting,2,S,"Liam N., Tom C."
Jack Reacher 2012,11,drumsolodub,7,7,15,23 December 2012," Worth the price of admission
","Additionally , Cruise does not portray this character with enough intensity",performance,2,S,Cruise
Jack Reacher 2012,11,drumsolodub,7,7,15,23 December 2012," Worth the price of admission
",and is not believable as a highly trained military expert .,performance,2,S,None
Jack Reacher 2012,11,drumsolodub,7,7,15,23 December 2012," Worth the price of admission
","Of course I do have some bias since I totally enjoyed the action packed , fast paced Bourne series .",entertainment,4,S,None
Jack Reacher 2012,11,drumsolodub,7,7,15,23 December 2012," Worth the price of admission
","In the fantasy world created by movies and books Bourne would kick Reacher""s behind .",comparison,3,O,None
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
","Why call this movie Jack Reacher ? For anyone who has read the Jack Reacher series by Lee Child , Tom Cruise is not Jack Reacher .",casting,2,S,"Lee Child, Tom Cruise"
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
",They have tried to emulate the clipped dialogue from the books,screenplay,3,O,None
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
","and have made reference to Jack Reacher""s analytical thought processes",screenplay,3,O,None
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
",but it just serves to be a poor imitation of the real thing .,screenplay,2,S,None
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
",I suppose the reason for using Tom Cruise in the title role was to assure a box office success .,commercial,3,S,Tom Cruise
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
","However , many who are familiar with the Reacher series will be as disappointed as I was with this movie .",criticism,2,S,None
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
",They should have called it Tom Cruise Fails At Attempt to Portray Jack Sreacher .,casting,2,S,Tom Cruise
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
","For one thing he""s about a foot shorter than the title character and that""s one hurdle he can""t jump over .",casting,2,S,None
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
","Also I don""t like his attitude in this movie .",performance,2,S,None
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
","I don""t think the Reacher character has the conceited egocentricity displayed by Tom Cruise .. Should have called it TomCruise Trying To Be James Bond",character,2,S,Tom Cruise
Jack Reacher 2012,10,elizabethjsmith66,5,2,8,23 April 2013," Reacher Failed
",And Failing Miserably .,criticism,1,S,None
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
","As a Movie in general , great ! As Jack Reacher 1/10 , pathetic .",entertainment,4,S,None
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
",He comes nowhere within ballpark .,character,2,S,None
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
",Or astronomical range of being anywhere close to the character Jack Reacher .,character,2,S,None
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
",Maybe it should be called Tom Cruise : Tough Gu .,comparison,3,O,Tom Cruise
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
",That would be a more accurate name for the movie .,criticism,3,O,None
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
",As action it was great .,action,4,S,None
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
",Him representing Jack Reacher made me curl up in the corner an cry here at the hospital an ask the nice nurse for meds to make the pain stop .,emotion,2,S,None
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
","Jack Reacher 6""5 "" 240 lb .",character,3,O,Jack Reacher
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
","Tom cruise 5""6 "" ? 140 lb ? I don""t know .",comparison,3,O,Tom Cruise
Jack Reacher 2012,13,peterostini,7,2,7,17 January 2013," WHAT was he thinking!?
",( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),*expression,3,O,None
