映画名,レビュー数
Joker 2019,10046
Avengers: Endgame 2019,8723
The Shawshank Redemption 1994,7799
Star Wars: Episode IX - The Rise of Skywalker 2019,7460
Captain Marvel 2019,7183
The Dark Knight 2008,6709
Star Wars: Episode VIII - The Last Jedi 2017,6691
The Lord of the Rings: The Fellowship of the Ring 2001,5317
Once Upon a Time... in Hollywood 2019,5059
Star Wars: Episode VII - The Force Awakens 2015,4764
Avengers: Infinity War 2018,4213
The Matrix 1999,4172
Interstellar 2014,3880
Aquaman 2018,3845
Star Wars: Episode I - The Phantom Menace 1999,3797
The Godfather 1972,3733
Inception 2010,3710
Batman v Superman: Dawn of Justice 2016,3696
The Lord of the Rings: The Return of the King 2003,3642
Fight Club 1999,3641
Star Wars: Episode II - Attack of the Clones 2002,3639
Star Wars: Episode III - Revenge of the Sith 2005,3551
The Blair Witch Project 1999,3472
Avatar 2009,3385
Bohemian Rhapsody 2018,3332
Black Panther 2018,3190
Hereditary 2018,3086
Us 2019,3049
The Dark Knight Rises 2012,2953
Pulp Fiction 1994,2917
The Lion King 2019,2870
Batman Begins 2005,2855
American Beauty 1999,2854
A Quiet Place 2018,2843
War of the Worlds 2005,2837
Titanic 1997,2831
The Matrix Reloaded 2003,2777
Bird Box 2018,2766
Man of Steel 2013,2747
The Irishman 2019,2675
A Star Is Born 2018,2643
1917 2019,2613
Midsommar 2019,2580
Gladiator 2000,2575
Prometheus 2012,2542
Saving Private Ryan 1998,2531
The Lord of the Rings: The Two Towers 2002,2528
Signs 2002,2407
Casino Royale 2006,2401
Parasite 2019,2392
Moulin Rouge! 2001,2347
Brokeback Mountain 2005,2337
Cloverfield 2008,2336
Dunkirk 2017,2331
Blade Runner 2049 2017,2308
The Departed 2006,2289
Aladdin 2019,2281
Forrest Gump 1994,2274
Donnie Darko 2001,2263
Suicide Squad 2016,2253
Kill Bill: Vol. 1 2003,2251
Memento 2000,2222
V for Vendetta 2005,2190
The Sixth Sense 1999,2188
It Chapter Two 2019,2182
Wonder Woman 2017,2177
300 2006,2175
Pirates of the Caribbean: The Curse of the Black Pearl 2003,2174
Knives Out 2019,2172
The Matrix Revolutions 2003,2119
Spider-Man 2002,2117
Requiem for a Dream 2000,2108
2001: A Space Odyssey 1968,2103
Gravity 2013,2090
Mother! 2017,2074
Spider-Man 3 2007,2060
The Village 2004,2060
Alien: Covenant 2017,2056
The Hunger Games 2012,2037
The Da Vinci Code 2006,2019
Pearl Harbor 2001,2010
Justice League 2017,1996
Ready Player One 2018,1988
Lost in Translation 2003,1973
Mad Max: Fury Road 2015,1968
Harry Potter and the Goblet of Fire 2005,1960
X-Men: The Last Stand 2006,1955
The Avengers 2012,1915
It 2017,1914
Annihilation 2018,1908
Mulholland Drive 2001,1906
Pirates of the Caribbean: Dead Man's Chest 2006,1888
Transformers 2007,1869
Arrival 2016,1834
Inglourious Basterds 2009,1819
Silent Hill 2006,1796
The Greatest Showman 2017,1795
Troy 2004,1789
Spider-Man: Into the Spider-Verse 2018,1788
No Country for Old Men 2007,1785
Star Wars: Episode IV - A New Hope 1977,1783
Eternal Sunshine of the Spotless Mind 2004,1782
Sin City 2005,1776
Schindler's List 1993,1762
The Shining 1980,1754
Rogue One: A Star Wars Story 2016,1746
La La Land 2016,1735
Harry Potter and the Sorcerer's Stone 2001,1733
Terminator 3: Rise of the Machines 2003,1710
Crash 2004,1692
The Green Mile 1999,1671
The Ring 2002,1660
Twilight 2008,1654
"Crouching Tiger, Hidden Dragon 2000",1649
Star Trek 2009,1641
Godzilla 2014,1634
Eyes Wide Shut 1999,1605
Saw 2004,1601
The Shape of Water 2017,1588
Skyfall 2012,1586
Harry Potter and the Prisoner of Azkaban 2004,1583
Thor: Ragnarok 2017,1576
The Revenant 2015,1572
Hostel 2005,1566
American History X 1998,1556
Fifty Shades of Grey 2015,1543
I Am Legend 2007,1542
Get Out 2017,1539
Logan 2017,1533
Jurassic World 2015,1531
A Clockwork Orange 1971,1529
Drive 2011,1521
Blade Runner 1982,1518
12 Angry Men 1957,1511
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe 2005",1505
28 Days Later... 2002,1503
Django Unchained 2012,1497
Transformers: Revenge of the Fallen 2009,1494
Unbreakable 2000,1483
The Thin Red Line 1998,1483
Amélie 2001,1477
Mission: Impossible II 2000,1472
Spider-Man 2 2004,1449
Deadpool 2016,1439
Charlie and the Chocolate Factory 2005,1436
The Hateful Eight 2015,1430
Alexander 2004,1429
The Hobbit: An Unexpected Journey 2012,1429
X-Men 2000,1425
Gone Girl 2014,1423
Halloween 1978,1414
Green Book 2018,1409
Citizen Kane 1941,1399
Se7en 1995,1398
Watchmen 2009,1398
Alien 1979,1395
Captain America: Civil War 2016,1395
The Wolf of Wall Street 2013,1391
Guardians of the Galaxy 2014,1390
The Happening 2008,1379
Minority Report 2002,1378
