movie_title,title,review,rating,helpful,total,date
The King's Speech," A Well Crafted Drama Without the Frills
","7 January 2011. A stunning movie that has no sex and little or no action or special effects? The KING'S SPEECH relies on performance and a well crafted, tightly focused script, and deliberate editing that directs the audience's attention both intimately as well as internationally on the personal drama that enveloped King George VI of Britain and his speech impediment. Unlike the psychological delusions found in the BLACK SWAN, THE KING'S SPEECH is able to capture both the intimately relational drama between two individuals while providing a tense filled context of the political and cultural environment and importance of the outcome of the King's efforts in addressing his fears. Unlike other historical pieces focused on famous leaders, YOUNG VICTORIA (2009) wasn't able to capture the cultural and political intrigue, FROST/NIXON (2008) didn't quite have the same personal demons and flawless pacing and editing, W (2008) that had a weak performance in one of its minor characters that intruded on the movie, ELIZABETH THE GOLDEN AGE (2007) that suffered from a convoluted, clumsy script and underdeveloped characters. Perhaps a good comparison would be THE QUEEN (2006) or THE LAST KING OF Scotland (2006) though the focus in more on another character than the King.",9,0,0,18 January 2019
Moneyball," A Baseball Movie That's Not About The Baseball
","26 September 2011. Surprisingly, this movie is less about the baseball game than the game of baseball. What is striking about this movie (and it's not about outs) is the raw audio sound technique used in this movie that is usually found in documentaries than feature films which helps make this movie come alive. There is a the ambiance of background sound and the echo that seems to resonate and bring the movie closer to the audience and present a much closer to realism experience. There isn't that much actual continuous footage of baseball in this movie, but rather the management of it. The heightened personal and emotional tension is carried throughout the movie and Director Bennett Miller has put together this compelling very intimate portrait of a man played by Brad Pitt and his statistician in an unusual angle of the game of baseball.Somehow the almost overly brief snippets of scenes and background of current events and story are blended together along with poignant flashbacks will edited into some meaningful, main storyline without ever creating the idea of that the additional footage has someone been shortchanged. Bennett Miller apparently in his wisdom was able to capture the primary message of the movie, developed an accompanying background, and maintained the singular story around the entire movie, the art of carefully scriptwriting and editing.Even without the formulaic all-American ending, Bennett Miller was able to wrap this movie into a complete feeling of wholeness for a feature film. Miller made excellent use of silence and editing choices in keeping the camera going just long enough for the more in-depth, substantive emotional impact of a scene to sink in. Miller seems to have brought a new found vision of a approach that brings a more connectiveness and meaningfulness to film-making, especially to interesting stories of reality that aren't even about the biggest and most momentous achievements of humanity and bringing them captivatingly to the big screen.",10,1,1,18 January 2019
The Avengers," A Disparate Collection of Super Heroes that Don't Quite Come Together
","6 May 2012. Few ensemble movies, especially superhero movies offer the balanced, cohesive narrative that make for a well edited, rich character developed, and strongly compelling storyline. Unfortunately for The Avengers, though record-breaking at the box office not withstanding, The Avengers, can at best, be considered entertaining, but is more aptly described as a rather forced piece of movie scriptwriting and directing that attempts to corral a rather disparate bunch of superheros with mixed results. Unlike the more acceptable and appealing television series ensemble of super people in Heroes (2006-2010) or even the more enjoyable animated feature film of super family members in The Incredibles (2004), and the funny team of disparate members including the straight man (female) Sigourney Weaver and Rick Moranis in Ghostbusters (1984), The Avengers awkwardly introduces its Superheroes almost in sequel form, some with even chaotic brief flashbacks, that results in an uneasy alliance that feels quite uncomfortable as if the Jess Whedon himself was having trouble with his dialogue between the superheroes. As an example, Gwyneth Paltrow, unlike Rick Moranis in Ghostbusters (1984) is never given the opportunity to really have a solid place in the movie. And even the highly praised performance of Mark Ruffalo as The Hulk, even this bi-polar identity is left in doubt as The Hulk is presented as two different personas, earlier in the movie as this Beast and then later somewhat more questionable as this conscientious animal (which as an animal is quite unlikely a transformation). There is an apparent imbalance in the presentation among Ironman and Captain America and Thor. X-Men (2000), Fantastic Four (2005), and Star Trek (2009) all have a much more polished set-ups between their disparate ensemble characters. Instead Joss Whedon has introduced dollops of solid stand-up comic one-liners and humor that seems pretentious clever cover-ups even as they hit home. Unlike his own previous ensemble work in the well received Buffy: The Vampire Slayer (1997-2003) and Angel (1999-2004) series, here Joss Whedon is seemingly unable to recapture the same smooth but edgy magic as those earlier television series. The storyline also seems to veer in several isolated superhero scenes that make the overall rhythm and flow of the story rocky in its depiction on the screen, there seems too many characters and too many simultaneous events going on at the same time, almost more the actor script contractual obligations of screen time rather than for the integrity of the story itself. Inception (2010) probably includes some of the best integrated separate story lines that are presented simultaneously in its unique movie within and movie within a movie technique or Pulp Fiction (1994), Traffic (2001) and The Air I Breathe (2007) interweave several plot strands in a nicely, enriched presented fashion. It is apparent that some efforts at making this movie stand out with a few enhancements in special effects (like the destruction scene shot from the perspective of one of the vehicles being hurdled in the maelstrom) and several minutes of dialogue of lofty sounding metaphysical and emotional depth, yet the overall impact is more superficial without the emotive and intellectual probing found in even more singularly focused superhero movies as Green Lantern (2011), Elektra (2005), Spiderman 2 (2004) or Spiderman 3 (2007). Of particularly, note it almost seems like the news media has been influenced by over-reporting the critical acclaim of this movie as Metacritic rates it only a 69 which while good isn't really outstanding by any means, contributing to a rather false marketing effort in itself suggesting that some movie critics are in league with the movie industry itself.",7,0,0,17 January 2019
National Treasure: Book of Secrets," Fun and Entertaining
","27 December 2007. Safe fun entertainment where people don't get killed, just cars and so forth. The thrills and chills are little less potent, the jokes a bit too cute, and Ed Harris' character is a little ambiguous by the end as if Harris is getting a little tired of the stereotype he has played in movie after movie. There is some drama, though perhaps not enough and the funny comedy doesn't always seem to balance the adventure aspect. Overall, though the movie was enjoyable, fun, a thrill ride if not completely transporting into the Indiana Jones realm. Boring it was not, but a bit manipulative, not as edgy, not as dramatic as it could have been. A nice way to keep the Christmas winter blues away in the end. Seven out of Ten Stars.",7,0,0,21 January 2019
Blade Runner 2049," A Captivating Extended Movie Torn between Mystery and Romance
","8 October 2017. This sequel to the original 1982 Ridley Scott's now classic Blade Runner offers the same mystery thriller sci fi theme that didn't really inspire a lot of initial interest in the original movie. Apparently director Denis Villenueve's Blade Runner version has also encountered some popular audience resistance and the slightly lower female rating as did Ridley Scott back in 1982. There is considerable less action involved in this release as compared to the more popular mainstream movies receiving much bigger box office receipts. Lost is the typical film noir voice-over narrative that was a problem for a number of people, including Harrison Ford, of the 1982 original theatrical release. However, there probably still exists a minority of people who prefer the film noir element of detective voice over of the 1940s, allowing the audience to get into the mental experiences going on with the lead character, including the imagined dialogue of an audio version of reading from a book or text.Many of the sci fi robotic concepts incorporated into this movie have had their presentation in a number of much earlier sci fi movies, particularly dealing with the human brain, emotions, memories. Russell Crowe's hologram turned real in Virtuosity (1995), Cherry 2000 (1987) the female robotic companion of David Andrew's character that he believes he wants to repair her damaged central processing unit to keep what close relationship he had, Kurt Russell's engineered and programmed human to become the perfect human weapon in Soldier (1998), and even Peter Weller in Robocop (1987) and Robert John Burke in Robocop 3 (1993) as well as D.A.R.Y.L. (1985) about a robotic boy and blurring between human and robot in Making Mr. Right (1987). Yet what seems to distinguish and sets this robotic or synthroid themed movie apart is the integration between a hologram and a robotic entity in both visual as well as acted portrayal. The dazzling and fascinating fusion of electronic interfacing in one of the movie's delicate sequences of awesomeness.While it is likely that many in the audience will find the outstanding visual effects on par or even more dazzling and powerful as the original and as found in Interstellar (2014) with its water and ice planets or scientifically accurate display of a black hole, the megacity features of the multitude of decrepit futuristic housing or bleak, haunting, hostile landscapes of Blade Runner 2049 appear like Sean Penn's beautiful but 'pretentious' landscape imagery found in Into the Wild (2007). What director Denis Villenueve has introduced into his Blade Runner movie is a tribute to both the Ridley Scott's visionary imagery as well as an over-emphasis on visual design by turning it into a primary character of the movie instead of a background palette upon which to tell and to complement the story.What is really fascinating about the script is how much Blade Runner 2049 is much like the original except that its perspective could be viewed more from a replicant's point of view instead of the hunter or detective point of view by the time the movie is over. Villenueve's movie is even more dark and somber than the original, more grittier with a similar context as Daniel Craig gets to portray James Bond in the more contemporary Casino Royale (2006) from his earlier incarnations. Ultimately, it is harder to connect deeply and consistently with the emotional turmoil underlying this movie as it is also focused on a mystery. Unlike The Machine (2013), Her (2013) or Transcendence (2014) the canvass on which Blade Runner 2049 is presented is so much larger that the opportunity for a consistent, extended intimate and evolving engagement on an interpersonal level is somewhat diminished.",9,3,16,9 January 2019
Angels & Demons," Exciting Action and Suspense
","15 May 2009. With time, a second reflection on this movie, reveals an ending series of sequences that is much more consistent with the spectacular and the nexus between science and religion and the motivation of the Conclave's Pontiff's decision-making steps that it takes towards the end of the movie. The balance of climatic fireworks and the rather more than usual mundane storyline of a symboligist makes for a much more dramatic and reasoned and authentic piece of work that is able to remain compelling nevertheless, making this movie all the more impressive than originally met the eye, perhaps reaching the boundaries of a classic.May 15, 2009 - Except for an ending twist that really feels unnecessary and manipulative, this sequel has suspense, action, thrills, and chills in a low-tech manner. It brings out both irritation and frustration that by the end is redeemed with satisfaction and mostly acceptance. For critics that find this movie empty-headed, without depth or substance, most action thrillers are similar, great or terrible. The Rock or Transformers. What sets this movie apart, and decently above average is its ability to leave Tom Hank's character as Robert Langton as no superhero with special abilities or powers but an intelligent man who is able to perceive symbols. Unlike most action adventure movies, Tom Hanks and his female sidekick do no more or less than they are able which is plenty. The movie contains scenes that drive one to infuriating frustration by the awfulness of what's occurring but it sure makes the ultimate climax all that more exhilarating. While not a classic, perhaps not even a great movie, this action adventure is decent, has great suspense and thrills and chills that rival such movies as Hannibal, Silence of the Lambs. The pseudo-climax is actually some of the best special effects, literally exploding on the screen. This intellectual movie with action is in the league of National Treasure and Nicholas Cage but with a more sophisticated and oddly enough a stronger emotionally faith-based, not fantasy-based basis for appreciation. 8/10.",8,0,0,20 January 2019
Kill Bill: Vol. 2," Easily One of the Best Movies of 2004
","18 April 2004. Less violence, more character - Volume 2 goes where most movie dare not tread - character development and slow-moving dialogue with a superb David Carradine in a Best-Supporting Actor performance working with an amazing script and subtle complex series of acting and expressional, mysterious, ominous wit. Uma Thurman explodes onto the screen with full facial exposure in black and white as well as color. The plot-twists abound, the world is turned upside down in both silence and loud crashing drama, in pitch darkness and blazing heated fury.The old style Western movie music, the samurai Japanese style genre, the humor, the violence all are blended, folded and fused into a perfect piece of cinema that throws the whole direction of Volume One into another dimension. This powerfully emotional, sometimes funny drama, action, mystery, martial arts genre bursts through into a new creative, cinematic experience. Unleashed from the prior expectations and assumption of Volume 1, this movie both irritates, frustrates and re-directs its focus into another world of 'Kill Bill' with its refocused emphasis and toned down sword play and more cerebral manifestation of dialogue and careful, singular artistry of martial arts.Oscar nominations for Kill Bill Volume 2 (best picture) Quentin Tarantino (best director & writing) Uma Thurman (best actor & writing) David Carradine (bestsupporting male performance) Michael Madsen (best supporting male performance) Robert Richardson (best cinematography) and Oscar nominations for sound and film editing",9,1,2,25 January 2019
First Man," A big screen display of this epic historical event
","Ryan Gosling, a pretty sure bet for an Oscar nomination for director and his movie for cinematography, editing, and sound. Ryan has elevated the art of film-making with large close ups, a fusion of documentary style photography along with an authentic loud crisp sound design. He has borrowed some of the class elements of photography, sound, and music from Stanley Kubrick's sci fi classic 2001: A Space Odyssey (1968). There are also some film techniques that lifted the sci fi space epic Interstellar (2014) directed by Christopher Nolan to another realm of true authentic realism. And more intriguing his Ryan's decision to use a naturalistic approach to his directing reminiscent of Lars von Trier's sci fi drama Melancholia (2011). The only weaknesses in this movie were perhaps the inevitable and unavoidable difficulty of providing sufficient background explanations and allowances for the sudden transitions occurring with gaps as years are necessarily skipped. The density and storyline was probably more than enough for a television event covering four or seven six hours worth of material, but the little screen would have been too dimunitive for the amazing impact of the big screen display of this epic historical event.",9,0,2,28 January 2019
The Legend of Bagger Vance," A Prelude to A Rivers Run Through It
","18 September 2006. In this nice run up to Redford's 'A River Runs Through It,' (1992) this movie has some brilliant flashes of cinematography and photography that would become Redford's classic environmental essence found in the fly fishing movie two years later. Unfortunately, this golf movie is burdened by an unnecessary character in the form of a small boy who apparently narrates the movie in a voice-over as a old man flashback (played by Jack Lemmon). The focus on the essential characters was deluded and even the focus on the essence of golf sent off course abit by the use of this technique. The movie might have been more effective had like in Titanic (1997), the narrative have come from one of the main characters such as Adele (played by Charlize Theron) in her old age. There is a fascinating, quiet scene on the golf course with only the sound of birds and the crisp air that brings the pleasure and nature of golf closer to the audience than any narrative or dialogue or even acting performance. Unfortunately, the movie was cut short by the inclusion of the additional character. Seven out of Ten Stars.",7,0,1,22 January 2019
Black Swan," Absorbing and Captivatingly Brilliant
","2 January 2011. Perhaps the best movie of 2010, this psychological drama set in the ballet milieu presents the audience with a brilliant, striking, haunting and intense personal drama of one female ballerina's attempt to be the lead in Swan Lake. Natalie Portman, as Nina, must contend with her own inhibitions and fears as the audience must confront their own prejudices and bias regarding movie character stereotypes. In many ways, Nina's journey parallels many of our own fears and imagined monsters. With only three apparent possible editing or directorial alternatives (the selection of the female lead and the biting of the mouth timing, the shot selection for the perceptual view of the rehearsing (unlike Chorus Line), and the murder scene that didn't seem to quite have the clarity of character persona transformation and credibility), this amazing personal almost mature David Lynch-like presentation makes Blawk Swan a voyage of discovery and layered emotional and psychological density the most absorbing, powerful movie of the year.",9,1,1,18 January 2019
