movie_title,title,review,rating,helpful,total,date
The Devil's Advocate," Somewhat A Mess, But Oh So Intriguing
","'The Devil's Advocate' is a strange motion picture. In some ways, it is a complete and utter mess. Yet, it touches on such interesting themes and contains such great acting that it is tough to rank it as anywhere near 'bad'.For a basic plot summary, 'Devil's Advocate' sees hotshot lawyer Kevin Lomax (Keanu Reeves) move from his small southern practice to the 'big time' in New York with wife Mary Ann (Charlize Theron). Employed by the mysterious John Milton (Al Pacino), Kevin begins to realize that his 'dream job' may be a bit more complicated (and ultimately cosmic) than he could have possibly imagined.In terms of acting, this film is top-notch through and through. Al Pacino was born to play the nefarious Milton, Reeves gives a solid performance as the conflicted lawyer, and Theron is startling as the mentally-slipping (or is she?) wife. For fans specifically of Pacino watching this film to see one of his 'rants', you will not be disappointed, either.The conflicting part of the movie, however, lies in its multitude of themes. Such topics as 'God vs. Devil', 'Innocence vs. Guilt', 'Small-Town vs. Big City', 'Ethics vs. Greed', and 'Husband vs. Wife' are touched upon. Each theme in and of itself is extremely interesting and could carry the film without the others, but the problem is that they all smooshed together for two and a half hours. Just when you think the movie is about one thing...BAM, it switches to something else. While that filmmaking is admirable in terms of keeping the viewers glued to the screen, director Taylor Hackford could have done a much better job of sorting things out to produce a clean, crisp narrative, instead of one that jumps so often from theme to theme.Overall, this was one of the strangest movies I've ever seen. The acting and plot elements are incredible, but it just tries to do too much and gets lost within itself at times. It could have been epic, but instead (because of those flaws) settles for 'above average'. If you are a Pacino or Reeves fan, or just like movies that will make you think, 'The Devil's Advocate' is very much worth a viewing. It may not fit together perfectly, but you'll be thinking about it long after the TV is turned off.",7,1,2,8 March 2017
Ford v Ferrari," Entertaining In Every Way A Film Can Be
","I've never watched a car race in my life. I have absolutely no knowledge of the historic events surrounding the Ford and Ferrari motor companies. None of those two things mattered in my viewing experience of 'Ford v Ferrari'. Not only does it allow the viewer to be a complete clean slate, but it provides the utmost of entertainment on almost every front.For a very basic overview, this movie tells the story of how the Ford Motor Company was struggling in the 1960s and thus turned to racing cars to give their image a boost. The problem? For years, Ferrari has been the gold standard in that theater. But with Carroll Shelby (Matt Damon) overseeing the project and the volatile Ken Miles (Christian Bale) in the driver's seat, they set out to take down Ferrari at the 1966 24 Hours of Le Mans race.One of the main strengths of 'Ford v Ferrari' is that it tells a bunch of different stories within the basic framework. Not only is it the clash that the title anticipates, but also a story of personal redemption for Shelby, one of personal goal-achievement for Miles, and even a healthy dose of 'big corporation screwing over the little guy' thrown in. All of those angles are very distinct, with nothing muddled along the way. The 2.5 hour runtime really helps with this, allowing such arcs to play out in their entirety.The acting is also incredible from basically the entire cast. Bale gives a unique, quirky performance as seemingly only he can, Damon is solid (as always), and everyone else does their part admirably. Especially affecting are Miles' wife Mollie (Caitriona Balfe) and son Peter (Noah Jupe), who both provide much of the sentimental emotions present in the film. A specific scene where Ken explains to Peter exactly what he does on each individual racing lap is as good as acting gets.There's also a never-ending sense of forward momentum and just overall fun to 'Ford v Ferrari'. It never takes itself too seriously, yet it isn't a comedy. It's long, but doesn't feel that way due to the expert pacing--a perfect balance of pulse-pounding action scenes and slower, more emotional scenes within the understated 1960s period feel. Director James Mangold probably deserves a good amount of the credit for making this all congeal together as well as it did.Overall, this is a spectacular film precisely because it can hit audiences in so many different ways. Whether through the action, emotion, true story, or underlying themes, most viewers will be able to find something to enjoy here. Even if, like I said before, no previously knowledge of racing is present.",9,2,2,17 February 2020
The Blair Witch Project," A Precursor To 'Paranormal Activity' (But Probably Even Better At What It Does)
","Just recently, I read Stephen King's horror treatise 'Danse Macabre'. In that book, he discusses 'The Blair Witch Project' as one of the most frightening movies he has ever seen. I decided to watch it on that recommendation, and I came away fascinated by the experience.For a basic plot summary, 'Blair Witch' focuses on a group of three friends trying to produce an independent documentary about the so-called Blair Witch that haunts the woods surrounding a rural town. At first, the documentary seems to be going quite while, but when the trio gets lost in the woods and strange things start happening, things take a turn for the worse.Sadly, history will probably only remember this film for the controversy that surrounded it at the theater (people thinking that the documentary was actually a real thing). While it isn't an all-time classic, to be sure, it does produce some genuine emotion by touching on some very deep themes.Basically, this movie preys on those all-too-human emotions in which the 'monster behind the door' (as King himself describes it) is much more scary when it is unseen. SPOILER ALERT HERE: During the entire entire, viewers never even catch so much as a glimpse of whatever/whoever is causing the strange happenings. It's the ultimate 'devil you don't know' story.Yet, 'Blair Witch' also works on a more human-drama level. Much like the later 'Cloverfield', it is filmed entirely in the shaky-cam style, trying to be as close to human reality as possible. As the three hikers slowly begin to realize just how hopelessly lost they have become, parts of the film become a sort of character study in panic and emotion. Viewers begin to wonder 'would I react the same way in a similar situation?'Overall, I was more intrigued by 'Blair Witch' than anything. It is amazing to me how a movie so stark and completely devoid of any conjured drama (no soundtrack, no 'jump scenes', etc.) can still be a bit unsettling to watch. I have also seen the first 'Paranormal Activity' movie, and I don't understand why that is viewed with such reverence while 'Blair Witch' has to fight for every inch, so to speak. They are the same type of movie, but this effort actually shows the descent into panic/madness better than 'Paranormal' ever did.",6,1,1,4 March 2017
Despicable Me 2," Silly Fun (With A Little Emotion Thrown In)
","The first 'Despicable Me' effort introduced audiences to the goofy, rambunctious Minions as well as the relationship between villain-turned-good guy Gru and his three little girls. The second movie plays to those same strengths and offers more Minion mayhem and more heartfelt moments.For a basic plot summary, 'Despicable Me 2' sees Gru (voice of Steve Carell) recruited by secret agent Lucy (Kristin Wiig) to join the newly-formed Anti-Villain league. Though at first nonplussed by the offer and content to be just 'Dad' to Margo (Miranda Cosgrove), Edith (Dana Gaier), and sweet little Agnes (Elsie Kate Fisher), Gru begins to feel the tug of adventure once again (as well as perhaps a bit of a romantic fling as well?!) and is quickly caught up in the world-saving game again.In terms of comedy and adventure, this movie provides it in spades! It's amazing that it took this many years of human history to think up such hilarious characters as Minions, as they can make even the most sourpuss among us crack a smile (and have most of us rolling in the aisles!). Their crazy antics are unrivaled in the history of animated feature films.There is also a nice little touch of emotion in the movie involving Gru finding a partner (or mother, as asked for by Agnes). I actually wish the movie would have focused on this movie, as a more developed and focused emotional aspect could have easily vaulted it to five-star status.Overall, though, 'Despicable Me 2' is fine comedic fare for anyone who enjoyed the original. The girls might touch you, the Minions will have you laughing throughout, and Carell's Gru is such a crazy character that he is a joy to watch. A fun film for the entire family.",7,1,1,6 March 2017
Moneyball," A New Way To Think
","I've been a baseball fan for the better part of two decades. As such, I vividly remember the events surrounding the 2002 Oakland Athletics that are the prime content of this film. 'Moneyball' does an incredible job of recreating the nostalgia of those events, as well as telling the story behind them that likely was not known at the time.For a basic plot summary, 'Moneyball' focuses on the character of Billy Beane (Brad Pitt), the GM of the Oakland A's who realizes in the early 2000s that he can't spend with the 'big boys' (e.g. New York) that comprised his competition. As such, with the help of Peter Brand (Jonah Hill) and to the consternation of A's manager Art Howe (Philip Seymour Hoffman), Beane uses the statistical analyses popularized by Bill James to build a team capable of dethroning the Yankees on a shoestring budget.The hallmark of this film is that, to the viewer, it really won't matter if you're familiar with this story. The narrative works either way:If your a newbie to all this 'baseball-o-nomics' stuff, 'Moneyball' does a great job of breaking things down and giving you the 'Reader's Digest' version of the Moneyball concept. You don't even have to be a baseball fan to 'get it', as Beane's mindset and principles can be utilized in many walks of life.For those (like I) who devoured 'Moneyball' in print form, it is just flat out amazing to see the events played out on the big screen. Those of us who have been intrigued by the whole concept since those 'early years' can sit back and be amazed by how it has truly changed the game. The fact that a great deal of actual baseball footage is used only adds to the effect.About the only nitpick I can possibly find with this film is that the choreographed baseball scenes are not always entirely accurate. This is a small nitpick, of course, but one that bugged me just a bit considering how easy it would have been to fix.Overall, 'Moneyball' is a fantastic re-telling at perhaps the most revolutionary concept to ever be introduced to the sport...using in-depth statistical analysis to mine for talent that may be lost to the human eye. Whether a hard-core baseball nut or just a casual movie-goer, 'Moneyball' will impress you...just in different ways.",10,2,3,11 March 2017
Blade Runner 2049," Better Than The Original
","Before this movie came out, I went back and watched the original Blade Runner again (my second viewing of it). Neither viewing of that first one impressed me. Ridley Scott's original is a bit of a muddled mess of half-baked plots, odd characters, albeit containing stunning visuals (especially for the time). The only reason I had any interest in its sequel is that this one is directed by one of my favorite Hollywood helmers, Dennis Villeneuve. He 'does it again' with '2049', of course, managing to put together a film that both pays homage to Scott's controversial original as well as crafts an even better, more interesting story than that film ever dreamed of.For a basic plot summary, '2049' focuses on K (Ryan Gosling), a new type of Replicant in a post-Tyrell Corp. world. Through the course of an investigation (he's with the LAPD), K and boss Joshi (Robin Wright) discover that Replicants are now able to give birth...a revelation that is both shocking (shouldn't be possible) and terrifying (would induce panic among the colonies). As such, K is dispatched to find the 'miracle child' and dispose of it by any means necessary. This includes a trip to new business head honcho Wallace (Jared Leto), as well as discovering that Deckert (Harrison Ford) may still play a role in all of this.Likely because of Villeneuve's mastery behind the camera, '2049' is a film with a very defined, follow-able plot. At no time was I ever really lost or frustrated with the proceedings (as happened multiple times during my viewings of the original). Clearly, this sequel is less about 'noir' (establishing an atmosphere) and more about actually following through with plot structure and characters. To me, that makes it considerably better than its predecessor because of this next point:Even though it is a much more streamlined movie, it still creates a wonderful sense of atmosphere. The visuals here are stunning, and all the environments are interesting in their own right, filled with grandiose images/artifacts and futuristic color schemes. I don't think there is a scene in this movie that isn't filmed from behind some sort of crazy filter, but none of it ever really gets too distracting, either.A Blade Runner film will probably never be my absolute favorite type of filmmaking. Even on its best day, it forgoes much potential plot nuance in favor of visuals and atmosphere. Even clocking in at nearly 3 hours, however, Villeneuve's '2049' easily held my interesting all the way through, and that is something I never expected from this film.Overall, I think this is a film that will be enjoyed by most who watch it. If you are a big fan of the original, there's enough of that here for you. If you were ambivalent (like me) towards Scott's first one, rest assured that this one is much easier to follow and understand exactly what is transpiring. A win-win situation for all involved.",8,3,16,18 February 2018
Million Dollar Arm," I Really Wanted To Like This Movie, But...
","I saw this movie in theaters for two reasons: 1. I'm a huge baseball fan; and 2. I watch Med Men (i.e. the Jon Hamm factor). Even after 20 or so minutes, when I knew exactly what this movie would be, I still really, really wanted to like it. Unfortunately, this one is schmaltzy 'Disney' through and through.For a basic plot summary, 'Million Dollar Arm' tells the story of how sports agent J.B. Bernstein (Hamm) starts a competition called Million Dollar Arm in order to find a major league baseball player from the relatively untapped market of India. The two athletes he finds, Rinku (Suraj Sharma) and Dinesh (Madhur Mittal), are in for quite a culture shock as they travel to America for the first time and have to essentially learn baseball from scratch.First of, let me be clear in that I'm not attaching a star-ranking to the overall story here. It is truly a fascinating and inspiring tale for baseball fans and human-interest fans alike.As a movie, though, 'Million Dollar Arm' falls far short of being great. The main problem? It doesn't have a clear focus, so it tries to do too much and doesn't really nail anything. This could have been a hard-core baseball fan movie. It could have been a love story. It could have been a redemption story. It could have been a new culture assimilation piece. Had the filmmakers looked at the story through just one of those three scopes (and just bolstered it with shades of the others), it would really have worked.Unfortunately, director Craig Gillespie (or maybe the Disney producers) tries to cram every single theme possible into one movie. It really feels like the old 'throw the kitchen sink at 'em' method in terms of trying to evoke every possible emotion from the audience. I realize that this movie is supposed to have a broad, family-based appeal, but but focusing on everything the producers ended up focusing on nothing.The two biggest wastes in this movie? 1. Hamm, a terrific actor who plays as transparent of a character as one can see on screen; and 2. The fact that hard-core baseball fans like myself will not enjoy the baseball aspects of this movie. It is made for the family set first and foremost.Thus, though I wanted very badly to enjoy this movie and all the right pieces existed for that to happen, they just didn't come together. The 'Indian culture' angle was interesting, but not nearly as compelling as, say, 'Slumdog Millionaire', and recently baseball-themed movies like 'Trouble with the Curve' and 'Moneyball' will appeal much more to the die-hards.",4,1,1,4 March 2017
Angels & Demons," Suspend Belief, Enjoy Thoroughly!
","Much like the Dan Brown novel that this movie was based on, there is a relatively simple formula to be followed for enjoyment: Suspend belief, enjoy thoroughly!Viewing this film is akin to watching a television show like, say, '24'. You don't sit back and nitpick every plot point...you just go with the flow and (more often than not) get caught up in the emotional drama. If you are able to do that, this movie will be very enjoyable for you.As I look back on the plot, I just watched the film less then a week ago and I'm still a bit shady as to what exactly was going on...something about ancient Illuminati symbols, the Catholic Church, the election of a new Pope, and underground experiments with the highly explosive 'dark matter' compound. Much like in 'The DaVinci Code', everything flies by in such a hurry that it is a bit difficult to digest. However, due to a great screenplay and competent acting, you will likely find yourself sucked into the whole experience.I cannot speak for the movie's accuracy with relevance to the original novel, as it was so long ago that I read it, but perhaps a bit of a departure wouldn't have been a bad thing, as don't most entertainment connoisseurs always say that the book is better than the movie anyway?!Thus, much like the page-turning appeal of the Dan Brown novel of the same name (where you just HAVE to read 'one more chapter' before turning out the lights), this film does the exact same thing in cinematic fashion. When looked back upon, the pieces may not fit together or even seem downright ludicrous, but it was one heck of a ride!",7,1,2,12 March 2017
First Man," Far Too Dour To Be Anything Close To Inspirational
","There is no doubt that the moon landing was a seminal moment in United States history. However, that landing took place in 1969. Since that time, it has been covered in more books and forms of media than can probably even be counted. So, in order for 'First Man' to tell an original or engaging story, it would seem to have to find an angle, whether that be cultural or character-based. Sadly, neither of those things happen here.For a basic plot summary, 'First Man' is a biopic of Neil Armstrong (Ryan Gosling), especially focusing on the events leading up to and transpiring during his infamous moon landing mission in '69. Key factors in his backstory include the death of daughter Karen (Lucy Stafford), relationship with wife Janet (Claire Foy), and just his overall attitude and demeanor as an individual.The problem with 'First Man' is very easy to diagnose: it has absolutely no soul, instead choosing a very mechanical beat-by-beat description of the Gemini and Apollo missions that led up to the moon landing. Two main missteps really hamper the proceedings here:1. Only lip service is paid to the social conventions or frustrations of the day, and that is a shame. Had this movie focused on, say, the controversy over the space program itself or its place in a culture going through the civil rights movement, then maybe it would have had something emotional to examine. As it is, this is about as mechanical of a film (just plodding forward) as you'll ever see.2. Even a bigger faux pas is portraying Armstrong and his wife as so dour and lacking in any real emotion. I'm not sure if this was just bad writing or an interpretation of the real-life figures themselves, but either way it is inexcusable. Emotional moments are telegraphed left and right only to fizzle out with Gosling's Armstrong looking dour and serious and Foy's Janet coming across as cold in comparison. It's been awhile since I've seen a film with so little emotion, especially odd considering they are trying to describe a cultural touchstone moment that everyone who saw remembers vividly!I had been anticipating 'First Man' for quite some time. Director Damien Chazelle's 'La La Land' is a favorite of mine, as is Gosling, and the trailers/concept seemed incredible. I left the theater feeling incredibly disappointed, however, at such a wasted opportunity. One can't really call this film 'bad' in the sense that it was technically deficient, but it just lacked any reason to care about any part of it.",6,5,10,15 October 2018
The Hunger Games: Mockingjay - Part 1," Just Like The Book; The Weakest Of The Bunch
","Back a year or so ago when I was reading the Hunger Games books, I considered 'Mockingjay' to be the weakest of the trilogy...and it wasn't even really close (IMHO). I was hoping that this film version (much like how I though the 'Catching Fire' movie was actually better than its piece of literature) would ignite more of a spark with me. As evidenced by the three-star rating, it did not. 'Mockingjay Part One' is not a bad movie, but it just happens to be based on the weakest book in the series.For a basic plot summary, this movie begins with Katniss (Jennifer Lawrence) having been yanked from the Quarter Quell. She is now in the mysterious District Thirteen, where President Alma Coin (Julianne Moore) is the leader of a rebellion aimed at overthrowing President Snow (Donald Sutherland) and the Capitol by uniting all the districts. In order to do this, Coin needs Katniss to relent to be the Mockingjay, or a powerful symbol of the rebellion. The problem? Katniss is more interested in reuniting with Peeta (Josh Hutcherson), who is now a pawn in Snow's counter-scheme (but is he WILLING pawn, that is the big question). After consulting with Gale (Liam Hemsworth), Plutarch (Philip Seymour Hoffman), and even Effie Trinket (Elizabeth Banks), Katniss decides to take up the mantle. Of course, she cannot possibly imagine the consequences this decision may have on her future.Like I said, this isn't a terrible film. Director Francis Lawrence knows how to direct this series, and he understands how to get the most out of the material. The problem in this case IS the material. More specifically, the character of Katniss. In previous films/books, Katniss is the strong, central hero around which the entire plot revolves. In 'Mockingjay', though, I felt like the source material takes great leaps/liberties with her character to suit the story. For example, in previous material she can't stand the 'pomp and circumstance' surrounding her costumes and status. In this one, she immediately falls in love with her mockingjay costume and quickly steps forward as a figurehead. I know this is all supposed to be driven by her mad love for Peeta, but was that relationship really developed enough to truly make it seem believable?Part of my 'problem' with this film too, though, could be that I am a male adult. I am not the target (i.e. young adult) audience. The material of the Hunger Games is meant to suck in teen and young adult readers, first and foremost, with the 'big ideas' appealing more broadly. By the time 'Mockingjay' came around, however, the big ideas are running out, which means the love- triangle focus must narrow. So, a lot of it depends on how much you can 'buy in' to the teen romance.Overall, this is more of an 'incomplete' grade than anything. I fully expect the second part to be much, much better once the action can really progress to its conclusion. But I can't give the studios a pass on their money-grab either. This movie did not NEED to be split into two parts, but was only done so to extend the hype surrounding the franchise.",4,1,1,4 March 2017
