movie_title,title,review,rating,helpful,total,date
Saturday Night Fever," Dated, but crisp, appealing performance by Travolta
","John Travolta's high-octane performance took his stardom (earned on Welcome Back, Kotter) to otherworldly levels. His Tony Manero isn't a perfectly nice Brooklyn kid, but he's also not a rotten jerk. He's 19, has a job that he enjoys (selling paint at a hardware store), and at night he's the king of the dance floor at the height of the disco age.The movie is very dated - as most movies that rely on topical music score and fashion must be - but the theme runs true. Tony dances to build his own self-esteem, since he gets little in the way of positive enforcement from a family that dotes upon his older brother, a priest. He hangs with his arrested-development pals, drinking and dancing and carousing and fighting.Travolta is fantastic as Tony; he's not as loud and arrogant as his friends, but he's clearly their leader. He's not terribly bright, but he's smart enough to know his limitations. He's a little thoughtful, but not too reflective, choosing to live in the present. Until, that is, he meets the slightly older Stephanie (Karen Lynn Gorney).It's easy to see why audiences flocked to this one, with its strong soundtrack (all Bee Gees, all the time) and electric atmosphere. The movie's uncharacteristically well directed by John Badham, and Travolta's supporting cast is appropriate, not slipping into caricatures.",7,0,1,7 January 2006
Moneyball," On the money. Ball.
","I think the first thing you need to realize about Moneyball is that it's not really a baseball movie at all. It's about innovation in the face of intractable, tradition-bound, go-by-the-gut senses. New thinking versus old thinking. In presenting the view that concentrating on why a particular player is more valuable to a team than another, rather than on his star power or high-profile personality or the number of home runs he's hit is not only prudent but necessary when a team has little money to spend, the movie is an unqualified success. Billy Beane (Brad Pitt, nominated for an Oscar) is the general manager of the Oakland Athletics, a team with a small payroll that must compete with bigger-market teams like the Yankees and Red Sox. The Athletics are not unsuccessful, but they can't quite win it all. When three of their big stars leave via free agency one off season, Beane decides to replace them with players who are not only affordable but who can offer, in composite, more return than the departing trio. Beane's reasoning is that in order to win, a team must score runs. To score runs, a player must get on base. Getting on base is the single most important part of winning. So while other teams make use of players who can hit home runs and steal bases (and pay said players countless millions), Oakland goes after players who can simply get on base.That this is anathema to the Way the Game Is Played would be an understatement. No one's really paid attention to the more obscure statistics, like OBP (on-base percentage), because who cares? Give me 40 home runs and a 120 RBI, and we'll win. Well, Oakland can't afford that guy, so how about three guys who combined make less than that guy but get on base more often. That's more practical.Beane is assisted by virtually no one. His manager, Art Howe (Philip Seymour Hoffmann) despises Beane's attempts to manipulate the batting order to his liking. His scouts are all stuck in the mud of 1932 and refuse to change. Even the players are a little skeptical. But Peter Brand (Jonah Hill, also nominated for an Oscar), gets it. A true stats nerd – he majored in economics at Yale – Brand understands the weaknesses and strengths better than any general manager, field manager, or player ever could, because he's crunched the numbers and has data to back up his assertions.Pitt and Hill are both amazing and have excellent on-screen chemistry. That's not a sentence I figured I'd ever type. Hill isn't playing just some nebbish who cowers in front of Beane or a player; he's his own man, just a little withdrawn and seemingly out of his element. Both actors take great pains to involve the audience in their stories; otherwise, this would be just a movie about pencil-necked geeks playing simulated games on a computer and expecting the real world to do the same.The movie takes place in 2002 and is based on fact, but even so I won't spoil the ending for you now. But I will note this much for sure: Beane's overall philosophy has been adapted to such a wide extent over the past decade that Oakland now must find a new angle to exploit that the bigger teams haven't yet found. The very idea that there are more important stats than the typical power numbers turns baseball upside down, shakes it hard, and collects the loose change. To use a cliché, this was a teachable moment for baseball executives across America, and although it took a while for many to catch on, catch on they did.Even if one removed the many baseball scenes, the movie would still work. It's honest, true to itself, and doesn't digress into meaningless side plots, like forced romance or witty banter. But the baseball action, the result of Beane's work behind the scenes, sells it completely.",7,0,2,26 January 2012
The Avengers," Yup. They did it right.
","Guess I'll come out and say it right away: The Avengers may be the best superhero movie made to date. It has plenty of action, an understandable plot, multiple and discernible heroes, plenty of laughs, and terrific effects. Now, I'll admit it: everyone else seems to be saying the same thing. So do I need to maintain my integrity as an amateur reviewer- person by going against the grain and finding fault with the movie? Or can I feel secure in my own opinion, even if it's shared by fanboys and nonfans alike? (Hint: it's the latter.) Who are The Avengers, anyway? Well, there's Captain America (Steve Rogers), who's actually from the 1940s but was frozen for about seventy years. There's Iron Man (Tony Stark), a man in a weaponized metal suit. There's The Hulk (Bruce Banner), who smashes. There's Black Widow (Natasha Romanoff), a superspy with some powers of her own. There's Hawkeye (Clint Barton), a master archer. And then there's Thor, a Norse god. We've been introduced to most of them already through their own films, so they seem like old pals to us. Helps cut down on backstory issues, anyway.It seems that Loki, the half-brother of Thor, has decided to open up a portal from his side of the universe to Earth itself, thus allowing a rampaging army of aliens to come in and slaughter us wholesale. Colonel Nick Fury, who's been recruiting our heroes to fight as a team, calls everyone in from wherever they were. They don't know each other, except by reputation. Can they stop bickering long enough to save the universe? It is possible.I mentioned before that our heroes are, well, discernible. This is no small feat, considering how many there are in the movie. Tony Stark is a narcissist. Steve Rogers is an anachronism. Bruce Banner has anger- management issues. Natasha is manipulative; Barton is manipulated. They're simultaneously human and superhuman.After assembling his team, Fury gives them the skinny. Banner's job is to find the Tesserac's location, an artifact that can produce immense power – or be wielded as an immense weapon. Supposedly, the Tesserac is high in gamma radiation, something Dr. Banner knows a little bit about. Meanwhile, the others are tasked with finding Loki, who's quite the badass. All of this is directed by Fury from a flying fortress that also can float. Kind of neat.Without the burden of needing backstories for everyone, writer/director Joss Whedon is free to throw thrills at us. The fight scenes are plausible and, at times, not at all cartoonish. This means that younger kids (it's a PG-13 movie) might find it a little intense. But there's very little blood, and what's seen is more like scratches on a face, or something. At any rate, although it's an unapologetically violent movie, it's carefully done; the amazing set pieces don't get in the way of a compelling story fraught with plenty of angst and anguish. This is how Transformers should have been.Boy, is there conflict. It's not as if the superheroes all show up mentally on board with Fury's plan. Not only are some of them mad at him, they snipe a little at each other. Sometimes this is the work of the masterful Loki; sometimes it's the natural difficult of strangers needing to form a cohesive unit.The acting is superb. Nick Fury is a role for which the estimable Samuel L. Jackson was born to play (and which he's played as a cameo in several movies already). Scarlett Johanssen picks up where she left off as Black Widow in Iron Man, and Robert Downey Jr., to no one's surprise, is effortlessly suave and jerkish as Stark. Chris Evans, as the idealistic Captain, and Chris Hemsworth, as the mighty but humbled Thor, are both terrific as well. Mark Ruffalo makes for a quietly intense Banner (and portrayed The Hulk via special effects). Jeremy Renner, seen very briefly in the Thor movie, is Hawkeye, a character with which most of us had had no prior exposure; Renner, however, gives his character so much depth that we're involved in his side story even more than we are with the others.So why wouldn't you watch this movie? It does have a lot of action, so if you hate that you should skip it. It's over two hours long, so if you don't like to sit, you should also skip it. It has strong female characters, hissable villains, heroes of all sizes, complicated love stories that sit in the background, and the fate of all mankind resting in the balance. Wait, I was supposed to be giving reasons not to watch it. Too bad, I've run out.",9,1,4,19 May 2012
Angels & Demons," Predictable, edgeless
","Ron Howard’s followup to The Da Vinci Code is an easy-to-follow, paint-by-numbers mystery thriller that probably would have received little recognition had it a) not been directed by Howard, b) not starred the redoubtable Tom Hanks, and c) used religion as its theme. All three elements contribute to form an overblown, frantic mess that offers little mystery.Robert Langdon (Hanks), the “symbologist” (not a real position) of The Da Vinci Code, is again the hero here, called into action by the Vatican itself, as four of its esteemed cardinals have been, um, cardinalnapped, just as an Conclave to choose the new Pope is about to begin. At the same time, an experiment at Switzerland’s CERN research center has produced a nifty new substance called antimatter - and it’s been stolen! By, it appears, whoever kidnapped the cardinal. The antimatter’s storage container must be found before midnight, or else the battery will run out, and everyone will be doomed.So it’s a race against the clock as Langdon and a beautiful CERN scientist (Ayelet Zurer) try to locate the container and save the cardinals. The mismatched duo - will they fall in love? - must match wits with some unseen wacko religious extremist, as well as the head of the Swiss Guard (Stellan Skarsgard). They’re helped by the youthful Camerlengo (Ewan McGregor), i.e., the Pope’s Helper fellow, and the chief of Vatican City’s police force (Pierfrancisco Favino) - or are they? The bad guy could be a good guy in disguise, right? Or did I just blow your mind? One thing that did bother me a lot about this movie - aside from the faceless, let’s-run-from-clue-to-clue plot device - is that for a movie that’s supposed to be peopled with Serious Folks who revere Important Things, sort of like Indiana Jones and his “it belongs in a museum!” mantra, there’s a LOT of desecration of religious artifacts, often for no good reason at all. Example: Langdon and his gal pal get access to the Vatican’s archives (of course they do) to look at one of Galileo’s original texts. The only one remaining in existence, right? In lieu of translating, they just rip a page out. Much light is made of the mysterious archives, and although I’m not remotely religious, this struck me as particularly disrespectful. Was Howard lampooning the Church, or was he trying to tell a good mystery tale? He succeeded only in doing the former, which is a huge disappointment.Hanks isn’t bad - better than he was in The Da Vinci Code, anyway - and his hair is less distracting here. He’s every bit as intrepid as you’d expect a Harvard professor to be in investigating a murder, which I’m sure is something that happens all the time to Harvard professors. Probably more than for Yale professors, anyway. So he’s not the problem, or even a problem. An issue, though, is that the characters are so thinly drawn. I mean, when you see two characters who seem a little dodgy, you know one of them will turn out to be not so dodgy, and maybe even a Good Guy after all. “Twists” like that can be spotted too far in advance for my tastes.If you took the core plot of “24″ and stripped away most of the tension and all of the character depth and added sacrilege, you’d get Angels and Demons. The book, as they say, is a heck of a lot better than the vapid movie version, but you probably assumed that anyway. What you might not have realized is that although this book was a lot better than the Da Vinci Code book, the movie is only marginally better than the DVC on film.",6,1,5,6 June 2009
Kill Bill: Vol. 2," Eh.
","My first thought is that this isn't nearly as good as the first one. But that's a little unfair, since the first one was (for me) an amazing film.Making a two-volume movie is a huge gamble. If the first one tanks, then no one's going to want to see the second one, which has likely already been filmed. If the first one is a rousing success, though, then it becomes the standard by which the second one is judged. For the filmmaker, this can be a losing proposition.The movie follows the revenge game played by The Bride (Uma Thurman), on her quest to find the man who ordered her wedding party slaughtered. Oh, and the man whose baby she was carrying when he put a bullet in her brain. Only the bullet didn't kill The Bride - it merely put her in a long coma. And when she woke up - look out!In the first film, The Bride tracked down two of her former compadres in killing as part of an elite hit squad. Now she has three names left on her list: Budd (Michael Madsen), Elle Driver (Daryl Hannah), and her ex-boss and ex-lover, Bill (David Carradine).Quentin Tarantino takes an approach similar to the one he used to such great success in Pulp Fiction and that he reused in the first Kill Bill movie - scenes (chapters, in this case) that are shown to the audience out of order. Luckily, the scenes aren't so jumbled that the audience can't follow what's going on. In fact, the order rearranging is fairly tame by Tarantino standards.Tarantino does a great job in incorporating various movie genres into his film; it's part samurai thriller, part kung fu actioner, part cheesy, kitschy, zap-powie seventies schlock. He's always been proficient in this area; Pulp Fiction's characters at times seemed to be stuck in the seventies, but at the same time they didn't appear to be fish out of water. That's the genius of Tarantino.Where this film diverges from the first, however, is in its pacing. Volume 1 was chock full of fast-paced action scenes - The Bride taking on the Crazy 88 springs to mind - but while there are a few interesting, riveting scenes in Vol. 2, there aren't nearly enough of them. And because there are insufficient action scenes, there are plenty of times when the movie seems to flag a little. A lull in a Tarantino movie can be richly cultivated (remember the 'awkward silences' scene with Thurman and John Travolta in Pulp Fiction), but if there's nothing going on either above or below the surface, then the audience will get a little bored. Especially if they've been expecting wall-to-wall gore.The performances are rather remarkable, however. Thurman continues to amaze as The Bride (a character she and Tarantino came up with together). Quick - how many action movies can you name that had a strong female lead? Ok, now how many of those were any good? Thurman would have to be incredible in order to carry this film, and she doesn't disappoint in the least. Whereas she was a pleasant surprise in Vol. 1, we now expect her to do the same in Vol. 2, and she's up to the task.Equally up to the task is 67-year-old David Carradine. Yep, 67. I didn't realize he was such an old goat! And one look at him... well, let's just say Mr. Carradine has lived a hard life. Leathery and craggy, he's a Mount Rushmore of actors - and I don't mean in terms of professional stature. Carradine's quickly approaching his dad's prolific career (John Carradine appeared in around 500 movies). But he's found the role of a lifetime as Bill, and he commands every scene he's in. That velvety-smooth, world-weary voice disguises a malevolent scheming that lets you know he will persevere in the end. But does he? Doesn't the title belie that answer?Michael Madsen is just okay in his role as Bill's brother Budd, but that's not an insult. He's just Michael Madsen, turning in a performance one expects from Michael Madsen (who could forget him as Mr. Blonde in Reservoir Dogs?).Another of Tarantino's more admirable traits is that he's able to get compelling performances of a lifetime from his actors. Take Daryl Hannah. Could anyone really have predicted she would even be IN this movie? The mermaid from Splash? But as Elle Driver, Hannah's cold, sexy.... and blind in one eye. (How she lost that one eye is explained, rather vividly.)Tarantino also loves to bring back moldy-oldie actors from Back in the Day, partly to revive their careers and partly as an homage to those older films he grew up with. This time around, he has Gordon Liu, who plays the mystical Pai Mei, who trained Bill's elite squad. We see some amazing scenes of The Bride being trained hard by Pai Mei, scenes that are of course reminiscent of all of the wise-master-training-young-hotshot kung-fu films (such as Jackie Chan's Drunken Master). We also see Bo Svenson as the reverend who's about to marry The Bride, and Michael Parks as old Bill friend Esteban Vihaio. Oh, and Sid Haig, whom I last saw in House of 1,000 Corpses, is barkeep at the nudie bar at which Budd's a bouncer.Aside from the sometimes-turgid pacing, another problem is the soundtrack. There were several times throughout the movie when the music was substantially louder than the dialogue on the screen! Now, I ask you - does that make any sense? Tarantino's always been a stickler for having the right song for the right scene, but come on - if I can't hear his strong dialogue, what's the point?I guess this film, in essence, didn't grab me as the first one did. I didn't leave the theater satisfied. I didn't leave with some of my favorite scenes still being played in my mind, over and over again. For me, the movie was flat and fell below expectations. It's still a well-done movie, but it's not up to Vol. 1's excellence.",6,1,3,20 April 2004
The Hunger Games: Mockingjay - Part 1," Less action, more maneuvering, still quite good
","The third Hunger Games movie isn't quite like the first two. There are no Games, for one thing. For another, there's nowhere near the amount of action, as the tale focuses much more on the political machinations between the Capitol and the fabled District 13. And yet director Francis Lawrence does a fine job of presenting a gripping story that, like its predecessors, brings the heart-wrenching pain dappled with grand fire and brimstone. It's a rare 'tweener movie that can stand on its own, too.Katniss Everdeen (Jennifer Lawrence), you've just blown a hole through the Hunger Games. Whaddya gonna do now? Hop on over to District 13, apparently, which is the home of those who are darn well fed up with the crazy shenanigans of President Snow (Donald Sutherland) in the Capitol. Katniss quickly learns that her fellow Games winner, Peeta (Josh Hutcherson) is alive and well, sort of, doing propaganda interviews with Caesar Flickerman (Stanley Tucci) in an attempt to get the rebel scum to lay down their weapons. Katniss, appalled at Snow's use of Peeta and at the destruction that the Capitol's military military has wrought, decides to become the Mockingjay, a true symbol around which the downtrodden, beaten-down residents of the not-well-off districts can rally.District 13 is run by President Coin (Julianne Moore), who's every bit as intelligent, strong, creative, and resourceful as you'd suspect Julianne Moore to be in real life. She's convinced by former gamesmaster Plutarch Heavensbee (Phillip Seymour Hoffman) that Katniss should be welcomed into the district and become the new face of the rebellion. This, naturally, leads to Snow's use of Peeta as more of a personal propaganda weapon aimed at Katniss herself. But who's zoomin' whom? Peeta seems awfully convincing when he tells everyone to lay down their weapons and surrender. It's no wonder that the rebels see him as a tool of The Man and are out for his blood, right? With no games to carry the bulk of the movie, the run time is a little shorter (by about 20 minutes), but that doesn't mean there's no fighting going on. Katniss and her former boyfriend – or is it also future? – Gale Hawthorne (Liam Hemsworth) are armed with a bow and a Big Gun, respectively, in defense of District 13. We may not get to see hand-to-hand combat, but at least we're not seeing children kill each other. In fact, this entry in the series features far fewer on-screen deaths. But rest easy, there are plenty of harrowing moments, because when one side has a metric ton of big weapons and you do not, you're likely to get stomped on a little bit.The decrease in violence allows the viewer an even better look at some truly terrific acting. The performances by Lawrence, Hoffman, Moore are all award caliber, and I don't mean 'for an action movie based on a young-adult movie,' either. They're really great, which isn't a big surprise considering the pedigree each possesses. Still, it's nice to see layered character development in a blockbuster, and if this were a more-typical drama, even more praise would be justly heaped upon the cast.Also along for the ride are Haymitch Abernathy (Woody Harrelson) as the scraggly former Victor with more sense than he lets on; Effie Trinket (Elizabeth Banks) as Katniss' fashion consultant, even in hiding; and Beetee (Jeffrey Wright), the former Tribute who's the tech wizard for District 13. They all have jobs to do in this new world order, and each job centers around making Katniss not into just a one-dimensional heroine for the world but to bring that heroine out of Katniss. You know, organically.I'll admit that the first twenty minutes or so felt a little slow. Not forced, just a stark contrast to the pulse-pounding action of the earlier movies. But then things kick into a whole 'nother gear once Katniss see what's become of her beloved District 12, reduced to rubble in the aftermath of the last Hunger Games. It's compelling, wrenching stuff, particularly when you realize that's not just rubble laying before Katniss.In all, I think Lawrence and company did an exemplary job. You know, it doesn't seem terribly difficult to stage manage action scenes – you let the tech guys do their thing and listen to your DP. But when you have to get your audience to identify with characters and relate to their plight, that takes a softer touch. And it's all well and good to just let Hoffman and Moore and Lawrence do their thing, but Lawrence also elicits fine, underplayed performances from Hutcherson, Hemsworth, Harrelson, and even Sutherland.",8,13,42,23 November 2014
Changeling," Jolie is magnificent
","A little boy is taken from his home in 1928. His mom enlists the LAPD to find him, and five months later they come up with a lost child. The mother quickly grasps that the kid isn't her missing son, but the LAPD will have none of it. Outraged, Christine Collins takes on the entire police department in an effort to get them to look for her son, much to the detriment of her own welfare.Oh, the arrogant LAPD! They foist a boy, obviously the wrong child, on poor Mrs. Christine Collins (Angelina Jolie) and practically force her to shower affection on the kid. Then they wash their hands of the matter, even when Collins protests that the kid's not hers. This attitude gets her thrown into a women's sanitarium, because you just didn't talk back to the LAPD in 1928, especially if you were a woman. Especially if you were a single woman who was pointing out a huge mistake on the part of the LAPD.Luckily, Christine has a powerful ally, the Reverend Gustav Briegleb (John Malkovich), who broadcasts a weekly sermon excoriating the police for corruption and other misdeeds. Briegleb is instrumental in winning Christine's release, but the battle's only just begun: the cops are still crooked, and she is still without her son.Concurrent to Christine's problems, we also follow the story of the real kidnapper and of the upper management of the LAPD. What begins as a slight cover-up on the part of the all-powerful police in order to placate a testy public and press turns into a disaster, all because Christine Collins wouldn't give up.The movie is never lacking for emotional realism. First of all, you completely empathize with Christine Collins, a woman who refuses to be a victim. Her goal isn't to bring the police department down, and it's not even to exact some kind of vengeance (which might just be a way for her to get over her son's kidnapping). Her goal is simply to get her son back.Angelina Jolie plays Christine Collins and is, in a word, outstanding, and she earned a Oscar nomination for this movie. Jolie's Collins is not homely - you can't completely lose that beauty, even if you're playing a somewhat dowdy 1920s mom - but her looks don't get her anywhere in this movie. To tell the truth, her looks are never even mentioned, not even in a snide comment by the cops ('Just sit over here, cutie, while we men take care of things'). When Collins comes home to find her son's gone, we feel the anguish she feels. It doesn't feel forced, and we don't feel manipulated, and that's at least because of Jolie herself.One odd little complaint, though - why is everything so dark? Was the sun dimmer in 1928? Even in broad daylight, everyone seems to be half in shadows, which made me squint most of the time, thus giving me a headache. Was director Clint Eastwood trying for some kind of period moodiness? It's not needed for most of the scenes, although the mental hospital should, by definition, be poorly lit.As Christine Collins tenaciously clings to the idea that her son may still be alive, the movie also grabs a hold of your heartstrings and never lets go. But neither does Eastwood try to manipulate us toward an inevitable conclusion; he doesn't pluck those heartstrings so much as gently caress them, ambiguously leading us in multiple directions. Collins' predicament feels terrifyingly real: the aching loss of her only child and her own violent incarceration in a sadistic 'hospital.' Changeling is frightening not only because of the blistering account of evil cops and doctors but also, and most hauntingly, because of the horrible anguish and despair Collins feels as she fights the system while maintaining her resolute belief that her boy will be found.",8,3,4,29 June 2009
Pirates of the Caribbean: On Stranger Tides," Exceeds low expectations
","Let's face it. The Pirates of the Caribbean movies aren't really awful, but they are no longer the ground-breaking spectacle that the original was. So it was with lowered expectations that I watched the latest effort, and I can gladly say that the movie exceeded those low expectations. Damning with faint praise? Yes.This time around, we've lost the characters of Will and Elizabeth, which is a good thing. I don't know about the rest of you, but I was getting tired of the triangle they formed with Jack Sparrow. The two characters were just getting annoying and in the way of Johnny Depp, so when their stories were pretty definitively ended at the conclusion of the third movie, I was happy. Taking Elizabeth's place as the story's heroine is Angelica, daughter of Blackbeard and played by the luminous Penelope Cruz. Like Elizabeth Swan, Angelica can kick butt and take names; the difference is that Cruz is far more convincing in the role than Keira Knightley ever was in her. Cruz's presence gives the franchise a much-needed jolt of fiery Latin temper, to use a cliché that happens to fit nicely here.As for the character of Will Scarlett, the noble Everyman/blacksmith played by Orlando Bloom, his replacement would probably be the clergyman who finds himself in the service of Blackbeard, trying valiantly to 'save' him. As the movie progressed, I began to sense that Philip the Good would somehow let slip the bonds of his faith and fall for someone. I knew that someone wouldn't be Angelica the daughter of Blackbeard, and a quick glance at the trailer showed me his eventual target. So, like Scarlett before him, Philip finds love where he never thought he'd find it. Trouble is, that relationship was starkly uninteresting to me. I'm not sure if Sam Claflin, who played the character, or the screenwriters, is to blame, but boy and howdy was that part of the plot a giant bore. If there's a Pirates 5 – and who are we kidding, of course there must be – I hope Philip and his new love don't make an appearance.So what made this one palatable, anyway? You minus the two more wearisome characters from the last one and add a temptress, and you're good to go. Plus you add in Ian McShane as the diabolical Blackbeard, and he's an actual bad guy, unlike Barbossa (Geoffrey Rush), who's jumped sides about as often as Jack Sparrow himself – and here begins the movie in the employ of the British King.The stunts are well staged as usual, and good use was made of the location shooting on Oahu and Puerto Rico. Never let it be said that a Pirates movie wasn't fun to look AT. But an added benefit for me was that I watched the movie in 2D, even though it was also available in 3D. Why, you ask? Well, I'm glad you asked, Imaginary Reader. You see, when a movie is shot in 3D, the 3D process absorbs some of the light; therefore, if a movie features scenes in darkened environs – like caves, the ocean blue, underwater, jungles – then it'll be so dark that one will have a lot of trouble seeing what's going on. And for this you'd pay an extra few dollars. Ain't worth it. So if you do see this in 3D, you may want dial this rating down a notch.Overall, the movie – and the franchise – owes quite a bit to Mr. Depp. Yes, he IS Jack Sparrow, and it's impossible to imagine the movie without him. And even though this is his fourth go-round as Sparrow, Johnny Depp's enthusiasm doesn't seem to flag a bit; he sells the character wholeheartedly and joyfully. He is, as usual, a lot of fun to watch.Oh, yes, the plot. Nutshell: Barbossa (with the British), the Spanish, and Blackbeard (with zombies on his crew, of course) are all trying to find the Fountain of Youth. Sparrow had the map, Mr. Gibbs – Sparrow's first mate all these movies – memorized it and burned it, and there you go. And there's a prophecy about a one-legged man, and there are mermaids. It's like Harry Potter without house elves.",6,4,5,31 May 2011
Men in Black 3," Much better than #2 - solid and entertaining
","A significant upgrade over part II, Men in Black III offers a plausible plot, the usual engaging performances from Will Smith and Tommy Lee Jones, and awesome-looking aliens. It's a keeper.This time around, the taciturn K (Jones) finds himself the target of the nefarious Boris the Animal (Jermaine Clement), a bad, bad alien who's just broken out of the maximum-security prison designed to hold him on the Moon. Turns out Boris isn't just out to get K, though; he plans to travel back in time to when K arrested him (and shot his arm off) and kill him there. This, of course, leads to a time-travel journey taken by Agent J (Smith), who must stop Boris before he messes up the future for K - and instigates a full-scale alien invasion in the present day. It's the kind of movie that doesn't need to try too hard to win an audience over. We know the characters; put them in an interesting situation, and everything works out fine. Some movies throw in the figurative kitchen sink, the better to confuse the audience into thinking everything means something - when, in fact, nothing means a darn thing. MIB doesn't bother with trickery. The personalities of J and K - well established and reflective of the public perception of Messrs. Smith and Jones - meld so seamlessly and are so symbiotic that the actual plot is almost (almost) relegated to the background.Remember, it can be difficult to create a decent third film in a series. There are no surprises with the characters, and presumably we know all about someone's backstory. In MIB III, though, we do learn a little bit about Agent K's past. But thanks to a vibrant script by Joel Coen, that past history is more complementary than front and center. I think a focus on just K's 1969 life would have made for a pretty dull movie. I mean, it's not as if he's Mr. Excitement, right?Clement is a terrific, terrible villain as the monstrous Boris the Animal ('It's just BORIS!'); he has this nifty parasite thing that lives in his remaining hand, and when he aims the hand at someone, a dart shoots out. Pretty cool. Emma Thompson is also on board as the new head of the MIBs (her name? O, of course. Get it? O and K?); former leader Zed (Rip Torn) has passed away. Alice Eve plays the 1969 version of O as well. An undercomplicated plot doesn't mean that the special effects are blasted in your face, though. In fact, they're kept at a minimum, again lending support to the charisma of Jones and Smith instead of supplanting it. There are some cool transportation devices in 1969 (but not in the current day, weird), and the time-travel device itself is wacky (it's a time JUMP, literally). The effects feel as if they're meant to be there, not that they're shoehorned in to make things look pretty. And that's a positive development.Men in Black III is a typical, solid blockbuster action movie. Not all action movies can stand up to much scrutiny, and if you're Michael Bay they don't stand up to any scrutiny at all, not when your third act is always Blow Stuff Up. This is an audience pleaser with a fascinating plot, amiable performances, good effects and set pieces, and some funny dialog to boot.",7,1,3,26 May 2012
Scarface," Some rise, some fall, some climb...
","Certainly, how much you enjoy this movie will depend mostly on how much you enjoy Al Pacino's portrayal of Tony Montana. If you find Tony to be a bit too over the top, perhaps a caricature of 80s bad guy, then you're likely to find Scarface to be a one-dimensional, overblown piece of fluff. But if you think Tony is a major badass whose overreactions help enhance his character, not detract from it, then Scarface is your movie. The movie is still very quotable, even 36 years later! And it's educational. Never sample your own product. Good life lesson right there, kids. Anyway, I fall into the second group. Yeah, it's outlandish theater, but it somehow works - particularly as it's set in the overwhelming 1980s. Of course, fresh-off-the-boat Tony is a cocky bastard, even with the immigration guys. Of course, he blusters his way into a coke deal, which quickly goes south. Of course, he fights his way to the top of the crime game. He's all cojones; just ask him. Couple of other notes - the entire cast is a lot of fun, from Mary Elizabeth Mastrontonio (playing his kid sister) and Michelle Pfeiffer (playing his wife) to Robert Loggia (his boss) and F. Murray Abraham (boss' right-hand man). Steven Bauer, playing Tony's own right-hand man, is okay, but am I the only one who sees a resemblance to Michael Ian Black? I will say that Tony's act of bulldozing over everyone and disregarding all help got a bit tiresome, but that's in keeping with his character, anyway. For me, this version of Scarface is good but not a huge classic - just a good representation of the decadent 80s from Brian DePalma. Almost a time capsule of same, really.",6,1,1,11 July 2019
