movie_title,title,review,rating,helpful,total,date
The Mask," Yuck
",Two of my favourite mask movies. This one seemed a bit more fun than rocky,10,1,1,1 April 2020
Saturday Night Fever," Dancing
",I like the bit where he dances and points at the same time,10,0,2,30 March 2020
Moneyball," Pitt
",I just love movies about baseball. This one is one of the best,10,1,1,31 March 2020
The Legend of Bagger Vance," Fore
",Great golf flick. I like the bit when he tried to move a stick and his ball moved slightly,10,0,1,3 April 2020
Vertigo," No birds
",Classic Hitchcock. Star studded cast great story and a surprise twist at the end,10,0,0,31 March 2020
"The Adventures of Priscilla, Queen of the Desert"," Drag
",I like the bit where he gets his balls stuck in the plug hole of the bath,10,0,0,1 April 2020
Men in Black 3," Well thought out
",Pretty much a direct rip off of back to the future with more fight scenes thrown in,10,1,2,2 April 2020
Sherlock Holmes: A Game of Shadows," Wow
",Another great fighting movie. More fighting than the previous one. If not more!!!!!,10,0,1,1 April 2020
Gremlins," Oh no don't feed them after midnight
",Great Christmas movie. I like the bit when the old granny went flying through the roof,10,1,3,31 March 2020
Mission: Impossible III," Motorcycle
",Mission impossible 3. Not to be confused with the first or second one or any subsequent ones,10,0,1,21 June 2020
Captain Phillips," Ship
",I like the bit where the Somalian pirates take control of the boat,10,0,1,30 March 2020
Star Wars: Episode I - The Phantom Menace," Yes
",Even better than the older ones. I hope Jar Jar Hinks has a bigger role in subsequent films,10,1,2,30 March 2020
War Dogs," War dogs
",Who doesn't love a good rom com about gun runners. Surprise twist at the end,10,0,0,31 March 2020
The Longest Yard," Breath of fresh air
",A wonderful new idea for a change. Not to mention another brilliant performance by the multi talented Adam Sandler,10,0,2,29 March 2020
Skyfall," Good
",I like the bit where they hide out in that old house,10,0,3,14 June 2020
50 First Dates," I could watch this 50 times
",Adam Sandler reprises his role in every other movie he's ever made in this comedic masterpiece,10,4,5,30 March 2020
Ghost," Pottery
",I like the bloke on the train who would get angry and push Patrick,10,2,2,31 March 2020
Raiders of the Lost Ark," Indi legend
",I like the bit where the rock rolls down and chases Indi,10,3,4,29 March 2020
