movie_title,title,review,rating,helpful,total,date
The King's Speech," The King's Speech: 7/10
","The fact that this film fails to impress me does surprise myself, the accumulating buzz in the upcoming Oscar can only explain one thing, that some people don't want to see a sweep of THE SOCIAL NETWORK, which will definitely cause the whole Oscar game way too predictable, so they select one out of other nine BEST PICTURE-nominated films, and keep everybody by rivaling these two so-called frontrunners. In my personal list, currently THE SOCIAL NETWORK is my No.3 of the year, INCEPTION and THE KIDS ARE ALL RIGHT are my No.1 and No.2 respectively. After watching this film, I must confess that I am 90% sure BEST PICTURE and BEST DIRECTOR will go to TSN. TKS is a solid film, an unparalleled stammer performance from Colin Firth, which will endow him with his first Oscar in the BEST ACTOR category (I love Colin, but he should win last year with A SINGLE MAN instead of this one). Geoffrey Rush is strong but patchy in his co-leading role (typically not a supporting role, anyway category fraud does attenuate Oscar's halo), his insidious eyes and cartoonish appearance emancipated a rather uncomfortable perception to me and it's hard to believe he was not playing a vicious villain. As Helena Bonham Carter, her self-restrained acting, on the contrary, becomes my favorite in the film, she could be a potential dark horse in the Oscar race. Guy Pearce and Jennifer Ehle both offer some nuance in spite of their limited screen-time. As a whole, the film is an exquisite design, almost everything is on a high-class level, except the empathy, I feel no emotional turbulence all along the time, every twist is stock, It was as if I was watching a chic play (without involuntary affection at all) as the same time I don't care what was happening in the film, which I was too placid to care. In my opinion, the mordant script is the most award-worthy one among all its nominations.I felt baffled after watching the film, because I don't think my taste is so far away from others (judging by previous experience of course), how come this time TKS truly disappointed me so much? Maybe a re-watch? I don't know by now.",7,0,2,24 February 2011
The Lobster," accepting the anomalies should be the new normal
","Eccentric Greek filmmaker Yorgos Lanthimos' fifth feature, four years after ALPS (2011), is an Ireland-based multi-national English-speaking production starring Colin Farrell as David, a misfit in a dystopian society aka. the City where couples are the norm and all single people are given a 45- day stint to stay in The Hotel and find a partner, otherwise they will be transformed into an animal. David's wife has passed away recently and lobster is the animal he chooses to be if he fails the mission, which instantly reminds me the reference of the claw-holding lobsters in FRIENDS, it is the symbol of true love, but here David gives away his own reasons: blue-blood, longevity, fertility and his love of ocean, yet we should also know, lobsters are blind.Farrell undergoes a formidable physical transmogrification into a portly middle-aged architect, and is stripped off any celebrity glamour with his bookish semblance and unwieldy awkwardness, in the hotel, he meets two single fellows, a lisping man (Reilly), a limping man (Whishaw), and tries to woo a nosebleed woman (Barden) while refuses the courtship from the biscuit woman (Jensen), as he confesses, pretending to have a feeling for someone whom you don't is the hardest. Meanwhile all the singles in the hotel are regularly organised to hunt for loners - those single people who rebels against the City and live in the woods. For catching a loner, their stint will be extended for one day, but David is not very good at it, the deadline is pressing, he concedes to his proclivity for short- haired woman and chooses a heartless woman (a steely Papoulia) as the last resort, who is the record-holder of the loner-hunting and has no urgency to end up her single status. It is a terrible mistake, eventually David sneaks out of the hotel and plunges into the wood, becomes a loner himself, which brings the film into the second half, the world of loners.Loners lead by a French woman (Seydoux), they conform to the doctrine where no relationships are allowed among loners, they cannot have sex, cannot dance together, even flirting will be punished by 'red kiss', it is the exact the other side of the coin from the City, however, David again, is a misfit here, since he falls for a short-sighted loner (Weisz), David is myopic too, their romance develops steadily, they even invent a set of body language only can be understood by themselves, to communicate with each other without being too intimate in front of others, a make-up free Weisz elicits a memorable presence radiant of earnestness and compassion. But the leader finds it out eventually, and deprives the woman of myopia. And then the two decide to flee together and enter the City as a couple, with one big decision for David to take, to test how strong their love is, and after a suspicious long-take, the film ends without revealing what has happened to David, and what's next for the star-crossed lovers.In spite of the outré setting of the story, unlike the elusive ALPS, the film puts forth a quite comprehensible narrative arc which channelled by a woman's voice-over (later viewers would know it is from the short-sighted woman's journal), and leaves audience hooked in the idiosyncrasy of the concept and the exigency of David (and his lover)'s plight. Relying on dramatic classical pieces, including a smart exploitation of Nick Cave and the Bad Seeds' WHERE THE WILD ROSES GROW hummed ominously by David; contrasting landscape and scenes of hotel and wood, outskirt and city; highly stylish camera-work from Thimios Bakatakis (slo-motions and long-takes are put into action during crucial moments), Lanthimos' metaphysical methodology of exposing the deep- rooted alienation among human individuals ends up with an impressive high note with THE LOBSTER, it is a slap-in-the-face ridicule about rigid conformism, whether being single or staying as a couple, accepting the anomalies should be the new normal.",8,2,6,13 January 2016
Moneyball," Moneyball
","I am literally have no any idea about baseball and cannot extract any gaiety or thrill from watching it (actually I am very much sport-immune). So the challenge of the film lies in the fact that whether or not it will be able to win over more spectators who are usually out of the range of the sport genre, just like two years ago THE BLINDSIDE (2009) did (I know nothing about American football either but I emphatically enjoyed the film).Taking Pitt's role Billy Beane's words said to his assistant Peter Brand (career-best performance from Jonah Hill) in the film, 'he does not want to have any personal entanglement with any of his players, especially no emotion attached' (not literally though) , the film also detaches from its audience by throwing mathematic formulae and analytic statistics at the audience and imposes a condescending stance to water down the scientific theory so as to be accepted by outsiders like me. Also the narrative process is no less median than other sport biopics (namely, INVICTUS 2009, a same 6/10 rating), an over-abused underdog victory with a middle- of-the-road taste. The cast, I cannot deny it may be Pitt's best work so far (leaving THE TREE OF LIFE aside), but one hindrance is his subdued swagger almost pervasive in almost every film he stars and I have watched, which could be fitting in FIGHT CLUB 1999 or TWELVE MONKEYS 1995, even for OCEAN'S ELEVEN series, but in a biographic film, Mr. Jolie is not an acting chameleon like Meryl Streep, and he should drink the so-called 'make-up potion' to camouflage himself behind his role he plays. Additionally among the small satellites revolving around Pitt, Jonah Hill is seriously rooting for his first Oscar nomination (congratulations on his dual nominations in both SAG and Golden Globe, the same to Pitt and the film has nailed 4 Golden Globe nominations in toto, BEST MOTION PICTURE-DRAMA and BEST SCREENPLAY). Another VIP star Philip Seymour Hoffman has nothing to sprawl out in his funny uniform. Oscar nominated director Bennett Miller (CAPOTE 2005) may fall short of strong buzz to get himself into Oscar's consideration, however, the film is exquisitely made and the lengthy spiels which I shudder at may fare pretty well as the crowd-pleaser for those interlacing with both film and baseball domains.",6,0,0,15 December 2011
The Avengers," The Avengers
","Harboring a great deal of expectation of this record-breaking multi-superhero-in-a-row action mash-up, I finally caught up the last chance to watch it on the big screen, but unfortunately the film has indomitably become my very first disappointment in 2012. Alerted by the general opinion of 'if you can survive the boring first 60 minutes, the latter part will blow you away', maybe 'boring' is a lesser word, the inter-conversations among these superheroes are way too tedious to arouse any interest, and in light of my last encounter with THOR (2011), I know he is a boredom, then here comes his worsen twin, Captain America, so it is dumb and dumber situation. Most of characters are reprising their usual roles, Robert Downey Jr.'s sleekness is being harnessed into its maximum quota. So I assume the only revelation could come from Jeremy Renner's Hawkeye, the newcomer on screen, and the third candidate of Hulk, Mark Ruffalo, but the truth is they might be a clear torrent, but cannot save this juggernaut from being a destroy-it-all dross. The fighting scenes are the saving grace here which is not a false claim, but it satisfies my eyes without compensates my soul, director Joss Whedon just haphazardly levels everything in Manhattan without any single casualty provided to imply its minimum credibility. No worries at all, we simply witnessed an empty and meaningless catastrophe without any mind activity as we all know Iron Man will not be the sacrifice as a sequel is already set on a release date. Thus, am I over-demanding here? After the invasion of myriads of this sort of big-budget action flicks, THE AVENGERS is no way a standout by any means, none of its actors could stick out with any arresting existence (I might be too desperate to count out Gwyneth Paltrow), Mark Ruffalo is the closest choice of a decent acting in it, all the rest is just the way he or she is, an utterly featherweight character study is the case here. The gags are scarce (ooh, poor Loki), too much SCI-FI doctrines and the narrative in dead earnest (thanks to you, Mr. Samuel L. Jackson) makes the film's lengthy screen time too overt to be slighted, and I waited until the end-credit rolled over, but a second bonus scenes never show off. The film's huge success has baffled me so much and its staggering status of the third biggest grossing film of all time (after AVATAR 2009 and TITANIC 1997) does make me do some solemn post-mortem to question my taste, the conclusion could be that I may be detached from the majority's liking, which thankfully I believe heralds a good sign for me, right?",5,6,14,2 June 2012
The Hunger Games: Mockingjay - Part 1," Where do they spend the monstrous budget in this character-driven episode?
","This third installment of THE HUNGER GAMES arrives as appointed, although the money- grubbing maneuver to divide the final book into two movies can automatically repel those who are not in the fan-base, and feel disgusted by its rapacious appetite. Actually it is where I belong, unfortunately, Moore is the new addition in the cast, as President Coin, leadership usually is not in her wheelhouse, remember CHILDREN OF MEN (2006, 9/10)? Plus my perfectionist side urges me to continue since I have watched the first two THE HUNGER GAMES (2012, 7/10) and THE HUNGER GAMES: CATCHING FIRE (2013, 6/10), for better or worse, I will definitely watch the final chapter next year to wrap it up, sorry to fall into the machination of capitalistic greed. However, I will keep a clear mind to next year's INSURGENT (2015) and MAZE RUNNER: SCORCH TRIALS (2015). One thing I do appreciate from this film is its subtle inclination to obscure the absolute dichotomy between the capital and the rebel and puts Katiness (Lawrence) into a moral dilemma, her unassuming personality and indomitable bravery enables the heroism which can motivate the suppressed hoi polloi, but here she is so easily being demoted as a propaganda weapon to wage a war against the capital, which for herself, she is not quite sure too. What's the difference will be if the rebel finally wins? The sacrifice will be grave, and no one can assure the new government will not follow the same old road to ruin. The story actually has a clearer mind towards the political game, but eventually the author and the filmmakers would all pander to what readers or audience want to read or watch: the final combat with barrages of visual spectacles and the corny love stories in the battlefield, so much for YA demography. Due to the fact that Part 1 only covers the preliminary measurement of the endgame and lacks of substantially tantalizing action pieces, apart from using her arrow shot down two bombers, Katiness is barely in the move, instead, she broaches a more dramatic mental reconstruction in the movie, Jennifer Lawrence noticeably has more close-ups on her rational struggle and personal revelation, she needs to fight her own conscience to be the war instigator, even it is under the name of righteousness, and finds her own place of being 'the one' instead of a replaceable pawn in the plot. It is her powerful acting (plus a mediocre singing) makes up for the discouraging inertness, still, it is not enough, especially for such a heavily budgeted tent-pole, the film never shows where do they use the massive money? Peeta (Hutcherson), although retreats to a talking head most of the time, Hutcherson in fact eventuates in a more admirable performance than rest of the group, especially he is the key variable in the final stage. Moore, with a fruitful awards season beckons, in here, what she pulls off is President Coin's affable persona, her air as a true altruistic leader, her gentle but affirmative deliverance is formulaic yet, under such circumstances, is affecting. As a Moore devotee who have never read Collins' novel, my wishful thinking is that there is a dramatic twist here to explode in the culmination concerning Coin's patina of inscrutability and caginess. Since Katiness is the sole center of the narrative, the bulky supporting crew is relegated to bells and whistles, it will be a shameful waste for Dormer's killing coiffure if her Cressida remains so characterless in the Part 2. Finally, it will be remiss not to mention the late Philip Seymour Hoffman, although it is really a nuisance to end his luminous career with such effortless offerings, he will be warmly remembered.",5,16,25,30 November 2014
Vertigo," Vertigo
","About two months ago, when Sight & Sound magazine announced their critics polls of my film of all time (a referendum carried out every decade), VERTIGO has unanticipatedly usurped CITIZEN KANE's seemingly invincible titleholder, which as a matter of course, has ensured many discordant responses, so it seems to be a perfect time to watch Hitchcock's (at least currently) crème de la crème. I eschewed any possible spoilers before embarking on the film (a BluRay set of 1996 restored version), it has been fully testified (regardless of the faintly drawn-out stalking sequences, great framing nevertheless) that a stirring frisson is duly on the course of solving the absorbing doppelgänger riddle. Visually there are some ground-breaking craftsmanship in the film, from the opening eye- focusing montages to the recurrent vertigo motif, even an abrupt cartoon snippet during the hair-raising nightmare scenes (which I estimate should be credited to the restore department). But the magnetic gravitation is the enigmatic pleasure from the perspective of a mutual love affair between a well-clad former detective and an equally enigmatic married woman (not the generic femme fatale brand though) whose motivation has been tainted since the very beginning. So in spite of that the set-up is almost immaculately deployed (until a rather second-rate glitch to culminate the finale), but one thing might not be so popular as it was half a century ago, the shifting role of female in the society, Kim Novak's character's vulnerability and fatalism infatuation just doesn't feel sound enough to elevate the plot onto the final peak. Partially it is also the performers' problem, Novak's glacial distance cannot pull herself through as a deft actor (neither for the scheme nor for the film), so it descends to a mere sexual impulse from James Stewart's standpoint, which I don't suppose is Hitchcock's idea. Also Stewart's paranoid 'minute copy' compulsion does mar some empathy toward him. The film at bottom is a two-hander, so Barbara Bel Geddes and Tom Helmore are the only supporting roles which are all underdeveloped, particularly, Bel Geddes' s one-sided affection has a buoyant start but completely sidelined after her inappropriate painting incident, leaving an unusual loose end. So the film has its old-fashioned value of love and done an acute anatomy of the hallucinatory symptoms when one falls for a feigned personality (the torture is bilateral), but calls it 'the best film ever' is a way too grave grandstanding which does no good to any films at all (even CITIZEN KANE has to pay its price), but I daresay 10 years later, VERTIGO will add another title under its belt, 'a one-time champion of the best film of all time'.",8,1,3,25 November 2012
"The Adventures of Priscilla, Queen of the Desert"," this 90s flamboyant drag cult made from Down Under is truly, a hoot and a half
","Revisiting this 90s flamboyant drag cult made from Down Under, a trio of drag performers, two drag queens, Mitzi (Weaving) and Felicia (Pearce) and a trans-woman Bernadette (Stamp), embarks on a road trip on their titularly coined bus, from Sydney to the outback to perform their routines, en route, they meet multifarious people (whose reaction ranging from beneficent, gobsmacked, impassive, miffed to violent, and the juxtaposition between the aborigine and the white hicks is piercingly sharp) and each has his/her own generational revelation to cope with by the time their four-week-stint ends.Felicia, a sassy whippersnapper played by a sinewy Guy Pearce in his breaking-out cinema role, who constantly squabbles with Bernadette and has to learn his lesson in a hard way after he has a narrow escape from hate-crime induced mutilation, and Pearce is barnstorming to a fault, as if he is too self-aware of his orthodox masculine appearance, which he compensates with a patina of overlown effeminate affectation and posturing that runs to distracting, as we know that queer and masculine don't necessarily exclude each other, perceivably, he is the weakest link in the fold.Hugo Weaving's Mitzi, acting more natural in his persona's stage/private distinction, carries a more weighty responsibility when we realize he is married to a woman and they have an eight-year-old son Benji (Holmes), the burden of guilt and shame is what weighs down on every nonconformist being's soul, his tentative attempt to reconnect with Benj engages with a tender vulnerability that precariously avoids becoming saccharine, which says a lot about the performer's emotive strength. Nevertheless, the best performance unequivocally comes from Terence Stamp, whose Bernadette is long in the tooth, but she proves that wisdom, dignity and snide quips are amassed through years of hardened self-preservation against side-eyes and brandishing fists, Stamp embodies her with superlative poise larded with subtle cynicism and utter phlegm, which makes Bernadette's romantic kindling with a rough diamond Bob (Hunter) more like an unexpected boon than a hackneyed plot maneuver. The show must go on, and for a drag troupe of three, lip-syncing of queer-friendly iconic hits (Charlene's I'VE NEVER BEEN ME is an infectious show opener, which would be dusted off in Lynne Ramsay's YOU WERE NEVER REALLY HERE 2017, and rendered an idiosyncratically poignant effect) is just a one trick pony doesn't offer much variations, so their pageantry lives and dies with its gaudy, zany, eye-popping, varicolored, Oscar-winning apparel, particularly when being put into use against the vast topography in the middle of nowhere, and the crowning moment on the top of King's canyon, that majesty feeling of being unique in a cosmic world is so refreshing and life-affirming. Lastly, one cannot stress this enough, it is an unqualified relief that director/writer Stephan Elliott sticks to his guns with a less dramatic leitmotif to anchor his tragedy-prone subject matter in the most gracious way one can probably conceive, PRISCILLA, QUEEN OF THE DESERT is truly, a hoot and a half.",8,0,2,19 May 2018
Black Swan," Black Swan
","I watched twice this film in three days, after the second view, it still fascinates me so much, which makes it easily crack into my top 3 list of 2010.The film is the twin of Darren's last feature THE WRESTLER (2008), the quasi-identical path of a person pursues perfection in his/her life which requests huge sacrifice which he/she doesn't expect until the last moment of the finale. The tour-de-force performance by Natalie Portman is so magnetic insofar as to keep audience stick to their seats for the entire show and when the curtain falls, hailing her as the best performance of the year! I don't want to exaggerate how wonderful she is in interpreting two opposed role with perfect precision. Numerous BEST ACTRESS AWARDS cannot be wrong. The supporting cast is excellent as well, and Mila Kunis stands out distinctively as the imaginary black swan and the scintilla between her and Natalie slowly gives off as the film goes on until the peak moment. Also Barbara Hershey returns with a mighty and slightly creepy role as Natalie's control-freak mother and Vincent and Winona use great effort to become existential in their own ways. Another important merit of the film is its Darren's mastery as a director, the shaky-cum- close DV style captures every inch of the emotional turbulence of our swan queen and conveys to us a vividly on-the-scene wallop. Plus who could resist the elegant ballet choreography? The final showdown on the stage is done marvelously without any letup.The film is glutted with many nail-broken, blood-leaking, skin coming-off scenes, and by all means it is not an easy film suitable for everyone, but I recommend to anyone who would like to experience some mind-blowing brainwashing, this film will not fail you.",9,2,4,16 March 2011
Pirates of the Caribbean: On Stranger Tides," Pirates of the Caribbean: On Stranger Tides
","I was harboring a disappointed heart after watching this film in cinema, a 3D version, even though I had not laid a high expectation on this one, in any case it is the fourth installation within 10 years, together with the franchise's downhill path, On Stranger Tides doesn't have any chance to breakthrough and revive its fame.Firstly, the script lacks its appealing vigor while the interwove plots are too disorganized to handle (particularly the limited screen time and omitted introduction of the Spaniard's team, which abruptly left the audience heads in the clouds), and I was also keen to find out how all the money had been spent, sad to say that only the man-eating mermaids bring some freshness and could be ranked as a gratifying discovery. The special effects are merely served to fulfill their original functions here (which simply attests that they really spent tons of doughs instead of appropriating them into their own pockets), let alone to be visually impressive or mentally inspiring. The 3D effect could not save it (like Thor, I don't know why the hue is always so dark as to some scenes are beyond recognition). Speaking of the actors, Jack Sparrow's idiosyncratic personality is being way over-exploited, and his new love interest Penelope Cruz is not at her best state, the chemistry between was looming but never had really accomplished. a extended screen time of Geoffrey Rush's Barbossa solely causes him unreasonably abominable, Ian McShare has a dramatic opening as the evil Blackbeard, but very soon his character becomes preposterously ridiculous and will suffer the loss of credibility. Desperately, my only guilty pleasure comes from Judi Dench and Keith Richards' cameo. Although I may pessimistically point out that the Pirates of the Caribbean series is on its own dooming destiny, the fact is that after its first week global release, its overall box-office is on fire right now (particularly overseas main markets and China is of course included), so predictably the fifth one will not be mission impossible, I have one suggestion, please fire director Rob Marshal, don't entitle him to further ruin the golden-signboard of Disney Films anymore!",5,0,2,25 May 2011
Men in Black 3," Men In Black III
","Saw the film in cinema with a 2D version, after 4 years absence from the screen, Will Smith eventually returns with his most tailor-made MIB suit as Agent J (with his craggier partner, Tommy Lee Jones' Agent K and the director at the helm of the franchise, Barry Sonnenfeld), the third installment keeps flourishing with all kinds of extraterrestrial creatures which serves its purpose to marvel the audience, that is, a chief achievement not only for this film but also for the entire series. Another requisite component is the wisecrack-gimmicks between J and K, the young Vs. old/ black Vs. white pair scrupulously sparks in the first half until the time travel gizmo operates, a straight-face Josh Brolin as the younger version of K (he is only 29 in the film? Nobody buys that, right?) doesn't register any screen chemistry with Mr. Smith. So with an ambiguous testimony for the sake of time-travel and aliens attack, the film has lost its beacon and the villain (Boris the Animal) is so airheaded and doesn't even has any kick and weight throughout (Boris' revolting kiss with Nicole Scherzinger has forewarned the film's scurrility and slackness) ! Several passable gags like the O, K quip, a Andy Warhol mockery, Lady Gaga and Ming Yao's glance among the E.T. files are the gist of its integral viability as a summer blockbuster, the visual effects are just too standard compared with any other mega-budget productions. Among the supporting cast, a genie-like Michael Stuhlbarg as the hyper-intellectual Griffin who has a superpower to foresee the future and a M-in-the-room stance from Emma Thompson are indeed scene stealers. A gimmick of going back to 1969 has its intentionally retrospective charm has a and its plot fabrication with moon-landing also shows some shrewd wit in re-igniting the zeal from the modern-day audience (after all there is a 10 years gap between), but in the very end, especially after a saccharine father-bonding finale, it is only a wishful thinking, I hope at least it could revive Will Smith's screen presence, which should be the minimum favor and purpose of its own genesis.",5,1,5,6 June 2012
