movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Unsettling and Tense
","Three film students travel to Maryland to make a student film about a local urban legend... The Blair Witch. The three went into the woods on a two day hike to find the Blair Witch, and never came back. One year later, the students film and video was found in the woods. The footage was compiled and made into a movie. The Blair Witch Project.I finally saw this film since it came out in 1999 because I was waiting to buy the DVD for a cheap price. Well, I bought it after I saw 'Cloverfield,' 'Diary of the Dead,' and 'Rec.' Fortunately, that didn't ruin the film for me.This film accomplishes a feat: It shows very little in the film, yet the film is quite scary! Like I said, very little is shown in the film. There is quite little violence and blood in the film and it's best to say everything in the film is left up to the audience's imagination, which I liked.This film doesn't need creepy make-up effects for monster. It doesn't need violence and gore. It doesn't even need a scary soundtrack. It works the way it is. The performances by the three leads were fantastic and realistic.Apart from it being a scary film and the true definition of a horror film, I thought the humor in the film was funny. You know, the jokes. This movie is like terror unfolding. It doesn't seem scary at first but the film slowly and expertly raises the tension and scares within each scene.Overall, this is what I think horror films should be. It successfully scared me without showing me anything at all, which is pretty amazing, in my opinion. It doesn't need high quality special effects for some scares and it didn't need a big budget. This film is a must see if you like horror movies.",8,1,2,23 July 2008
The Avengers," Some assembly required.
","When an unexpected enemy emerges that threatens global safety and security, Nick Fury, Director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins. -- (C) MarvelTHE AVENGERS is good, not great. The film does its job in entertaining the audience but not much more. It has some great action scenes, some truly funny moments, and some drama, but overall, it cannot be compared to the top superhero films, which includes THE INCREDIBLES, THE DARK KNIGHT, and SPIDER-MAN 2 for me. It's a popcorn flick, and if that's what you're expecting, then you'll be satisfied. As a Joss Whedon fan, I expected much more from the film than it just being entertaining.I felt the whole dysfunctional family aspect could have been executed better and expanded to be a more significant portion in the film. There was only one scene where the tension between the superheros can be felt, but that's about it. The film also could have used a bit more heart as I felt the whole team working aspect to be lacking in the emotion area. Additionally, the story seems to be overdone by now: Villain wants power and tries to take over the world. Maybe something different would have been more engaging.However, apart from those flaws, THE AVENGERS is a good film. The key success is due to the superheros themselves and how effectively Whedon manages to balance each of the characters without having one overshadow the other. Out of all of them, the Hulk, played by the talented Mark Ruffalo, is my favorite. He seriously has some of the most memorable moments in the film. Robert Downey Jr. is great as well. As of now, Downey pretty much nails his role as the egotistical yet charming Tony Stark. Black Widow, played by Scarlett Johansson, also gets some great moments in here which is good since she's the standout female character in the film. However, I felt they could have done more with Captain America and Thor. Additionally, although he's utilized better in this film than in THOR, I wanted a different villain than Loki.Overall, THE AVENGERS is a fun popcorn flick that starts the summer season but not with a big bang as I hoped for. The film could have used a bit more external conflict between the superheros, as well as more emotion. However, the film doesn't take itself too seriously, and the 2.5 hour running time really flies past you before you know it. Think of it like a better version of TRANSFORMERS 3.",7,1,6,4 May 2012
National Treasure: Book of Secrets," Fairly Entertaining
","Treasure hunter Benjamin Franklin Gates looks to discover the truth behind the assassination of Abraham Lincoln, by uncovering the mystery within the 18 pages missing from assassin John Wilkes Booth's diary, after learning out that his great-grandfather could've been involved in the assassination. Can Ben clear his family's name? Or will his family be linked to the murder of Abraham Lincoln?One thing I was annoyed about this film, along with several other Disney films, is that the MPAA are afraid to rate Disney movies a PG-13 rating. Yes, National Treasure 2 could've been a very fun popcorn movie, and it is, but the film is filled with too many immature jokes to make kids laugh. The Pirates film can't be Disney's only PG-13 films.Apart from that, I found this film pretty entertaining. When I started to watch this, I was dreading it. The actors TRY to be funny that they aren't. I was thinking, 'What are they doing here? Seriously.' I didn't try to enjoy it like the first movie. I was thinking about the wasted talents from the cast but then it grew on me. I started to 'go along with the ride' and enjoyed it after about the 30 minute mark.No, I wouldn't say it was as entertaining as the first and in my opinion, the first film is one of the best fun and energetic adventure films I've ever seen. Along with the first, this film did a great job not boring you for about just 2 hours long. This film will keep you entertained.Everyone in here seem to have a pretty good time making this film, along with having a good time acting on screen, including a newbie, Hellen Mirren. However, I really do not like the clichéd use of having divorced couples in a sequel film after the protagonist falls in love with his/her lover in the first.Anyway, this film is bigger but not necessarily better than the first film. The action and visuals are better, I must say. Although it feels like the first movie all over again (you can't help but sense a deja vu that is happening while watching this film), this film does a well job keeping you entertained from beginning to end.",7,3,5,3 June 2008
Angels & Demons," Extended Cut Review
","After the pope's death, a nefarious organization stashes an antimatter bomb somewhere in the Vatican, threatening to annihilate the conclave of cardinals who are meeting to elect the papal successor. To pass the time until the bomb will detonate, the enemy begins to torture and kill a few of the individual cardinals, but there is a pattern to the grotesque executions, involving hidden sculptural symbols and secret architectural clues. Unfortunately for the church, the man most capable of deciphering the code is the American 'symbologist' Robert Langdon, who happens to be an affirmed atheist.A+D is how every sequel should be: The filmmakers found the flaws in the first film and fixed them, making the sequel better. Almost everything is improved in this sequel: The slow pacing in the first film is tightened so much that the filmmakers had the actors talk while walking/running to different locations. Hans Zimmer's underscore in the previous film is now much more blatant and epic, which can keep anyone with ears awake. Even Tom Hanks' hair is less annoying. However, the storyline is still as outrageous and ludicrous as the first, but that's a given if you've read the books written by Dan Brown.Now judging the film on its own aspects, A+D is a well made time-ticking thriller. After an unnecessarily long forty-minute set up, the ball starts rolling and you're sitting in a roller coaster ride that doesn't let up until the climax. I found the film very exciting and suspenseful and it was nice to see some great monuments and statues around Europe. Having only seen the extended cut of the film, I was surprised by how violent the film is, but I say that as a compliment. I think the film benefits with more blood and violent images that give the film a much more mature viewing than other PG-13 action flicks.Tom Hanks returns as the main role and he's just as good as the first film, although he looks a bit older. His new partner, Ayelet Zurer, is good enough for the role she's playing, although she seems to disappear for a while in the middle of the film. Ewan McGregor gives a good performance with his Irish accent, although it wasn't spectacular. I also liked Hans Zimmer's score, which gives the orchestra something more to do compared to the first film.As a sequel, A+D is better than THE DA VINCI CODE in almost every category ever invented. As a thriller, it's a suspenseful thrill ride from beginning to end. The scenery for the film is wonderful and the third act is amazing. If I had one complaint for the film, it was the oh-so-obvious twist ending which anyone could see a mile away if they paid attention. Still, what else could you ask for in a popcorn flick?",7,0,0,30 May 2010
Black Swan," Dark, Twisted, Brilliant
","BLACK SWAN follows the story of Nina, a ballerina in a New York City ballet company whose life is completely consumed with dance. When artistic director Thomas Leroy decides to replace prima ballerina Beth MacIntyre for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily, who impresses Leroy as well. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side with a recklessness that threatens to destroy her.BLACK SWAN is a dark yet viscerally engaging film that is perfect on almost every level. Director Darren Aronofsky crafts each scene with care and precision. The use of mostly handycams is nothing short of a brilliant decision, bringing in a sense of realism and grittiness which is appropriate for this film. Most importantly, Natalie Portman gives the performance of her career. Like Aronofsky's REQUIEM FOR A DREAM, BLACK SWAN starts off small but slowly builds up to great intensity with a chaotic climax that will leave your jaws dropped.The film manages to sustain an unsettling atmosphere throughout along with hypnotizing you whether you like it or not. The score by Clint Mansell is pretty captivating too. Along with Natalie Portman, the rest of the cast are just as fantastic. Mila Kunis is one of my favorite new stars out there after having seen her in FORGETTING SARAH MARSHALL and THE BOOK OF ELI and she gives an effortless performance playing a sexy and slightly dangerous character. Winona Ryder also gives a terrific performance although she's in a brief role. Vincent Cassel and Barbara Hershey are pretty good as well.While not as depressing and intense as REQUIEM FOR A DREAM, BLACK SWAN is a pretty similar film. With a wildly terrific performance by Portman, an interesting visual palette that your eyes can feast upon, and an unrelenting atmosphere that will put you at the edge of your seats, BLACK SWAN is a twisted yet seductive tale about the dark side of human nature which we can all relate to, as unfortunate as that may sound. BLACK SWAN is really one of the best films of the year.",10,5,11,17 December 2010
Pirates of the Caribbean: On Stranger Tides," Captain Jack is Back!
","Crossing paths with the enigmatic Angelica, Captain Jack Sparrow is not sure if it's love-or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the 'Queen Anne's Revenge,' the ship of the legendary pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know whom to fear more: Blackbeard or Angelica, with whom he shares a mysterious past. -- (C) DisneyPOTC4 is not better than POTC and POTC2, which goes without saying. However, I'm happy to say that it is easily better than the overlong and overbloated POTC3. On top of the fact that this is essentially a reboot of the series (you'll be hearing that a lot this year), POTC4 is quite enjoyable than one might expect in what seems to be a tired and prolonged series! Even though Gore Verbinski is out of the director's chair, Rob Marshall keeps the film consistent with the previous films in terms of style and returning characters, including the great Captain Jack Sparrow. However, even though it is the shortest film in the series, it still felt very bloated like the previous films. 30 minutes could have been easily cut out in the film's first hour, which unfortunately dragged quite a bit. However, once the mermaids come in, everything starts to pick up fairly quickly, and the film ends up being a really enjoyable action-adventure, a feeling which was absent in POTC3.And speaking of mermaids, they are one of the best and most unique parts of the film so much so that I wish they were in the story much longer than one 10-minute sequence. Still, the film doesn't suffer once they are gone. In fact, the second half of the film is just as entertaining with a climax that's just plain fun. Johnny Depp returns, playing the role that he's probably most well known for. Even the fourth time around, I still enjoy his antics and clever, funny lines. I don't think it'll ever get old. Geoffrey Rush also returns as Barbossa, although he seemed a little tired and old in here. There are some new members in the cast, most notably Penélope Cruz and Ian McShane. I thought Cruz brought some life in the film, and she made the story a little more interesting. I didn't find McShane to be any special, but he wasn't bad either. There's also Sam Claflin and Astrid Berges- Frisbey, who I thought had a sweet (albeit unnecessary) romance subplot.As with any Pirates film, POTC4 has some great set pieces, although the action seems to happen in a much smaller scale than the previous films, which didn't bother me. The effects for the mermaids are really great as well. Hans Zimmer's soundtrack is as loud and bombastic as ever, which isn't necessarily a bad thing. It just wasn't different or new. Overall, although POTC4 isn't the great return to form everyone was hoping for, it's still a huge improvement over POT3. The addition of Cruz is also a huge plus and seeing her and Depp's interplay is pretty great. If you wanna have a fun time at the theater, you can do a lot worse. Also, wait until the scene after the end credits if you want to see the inevitable open ending to POTC5. 6.5/10",7,5,7,24 May 2011
Men in Black 3," The sequel nobody asked for.
","Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him -- secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind. (Columbia Pictures)It seemed that MIB3 was going to be all kinds of horrible. All signs pointed to it: The troubles during production (I believe Will Smith had problems on set, and the script wasn't finished when they began shooting), the horrible mess that was MIB2, the bland trailer, the lack of creativity going into the posters, having a sequel nobody asked for being released 10 years later, etc. Imagine my surprise when I had a huge smile on my stupid face when the credits rolled!The key to the film's success is Will Smith and Josh Brolin effectively playing off one another. Brolin, in particular, gives such a fantastic performance that you think Tommy Lee Jones might have had his voice dubbed over Brolin's. Seriously, Brolin looks and feels like a younger Tommy Lee Jones, and it's not an impersonation. It's a performance. The rapport between Smith and Brolin is more entertaining than any amount of explosions would ever do for the film, and it's a good thing that their relationship IS the film. Unfortunately, Tommy Lee Jones isn't in the film that much, but he was good for how long he was in it. I would also like to praise Michael Stuhlbarg, who plays such a fascinating character called Griffin, and he is able to hold it on his own with Smith and Brolin. I also liked Jemaine Clement as the villain, who is virtually unrecognizable under the heavy amount of make-up effects by the great Rick Baker. I consider him to be my favorite villain in the series.When you take a look at the good sequels throughout the past few years (Spider-Man 2, The Dark Knight, Kung-Fu Panda 2, Toy Story 3, etc.), you see that they don't try to outdo their previous films. Their success lies in their characters and expanding their emotional arcs. At times, too many summer films focus too much on the special effects and action scenes while adding too many characters and too many subplots. MIB3, however, focuses on the characters, while the action and effects stay in the background. Sure, the action and effects are good, but what makes the film good is the way it humanizes Agents J and especially K and the way it gives them an emotional pathos. Of course, nobody would ever expect that from MIB3, which makes its payoff have more of a profound effect than anyone would have ever dreamed of.One would argue that the unexpected critical success of MIB3 has more to do with the very low expectations from people after several years and less to do with its actual quality. I'm here to say it isn't that. MIB3 is a genuinely good film. Is it an amazing film? No. While MIB3 won't go in my top 10 of 2012, it's a damn good sequel nobody ever expected to be any good after MIB2. Despite the troubles during production, MIB3 somehow gets it right. Sure, there are big plot holes in the script dealing with time travel, but it's a rare threequel that actually doesn't suck. Indeed, it's a miracle. In my opinion, it's the best film in the series.",7,1,3,28 May 2012
Alien 3," On Earth, EVERYONE can hear you scream
","Despite the efforts of Ripley and the space marines in the film Aliens, an embryonic alien infiltrates the starship. It accidentally triggers the ship's emergency systems, dropping the escape capsule to the surface of a nearby planet. Ripley finds herself in a prison colony peopled by a religious cult composed of former murderers and rapists. Meanwhile, the alien has managed to grow into a new and deadly form, and is picking off the weaponless prisoners. Ripley soon discovers, much to her horror, that the real danger is much more personal...So, this is 'supposedly' the worst in the series from the people's and critics' opinions. But that still didn't let my expectations low for this film after I've read the plot for the film. I got even more excited to see this film, not only that, but because some other people thought this was the best film in the series.Well, I'm split in the middle. I found it much better than 'Aliens' but not as good as 'Alien'. To be honest, I don't know why there is even a fourth film. I thought the climax of this film was done very well and could've made a trilogy out of this franchise. I guess they wanted to make more money.Like any David Fincher film, the whole look of this film is terrific, so far the best in this series. There is even more humor and violence. So why didn't more people respect this film? Well, I can pick out a few reasons, some which I really much agree with: Killing off Newt, Bishop, and Cpl. Dwayne Hicks might have been a bad idea.I could go on saying they killed wrong people at the wrong time just the sake to make a higher body count. Oh, and that the Alien doesn't appear in most of the film and that the many times it had appeared, it was all CGI instead of using it as puppet. The CGI Alien, honestly looked horrible.And that's probably what annoyed me with this movie the most. Other than that, I'm fine with it. I'm also glad to say the characters are less stupid than the previous films, although they are still stupid. There is, more or less, suspense and thrills in this film, but not as much as the previous two films.What I like about this film is that it's not afraid to be different from the last two films. There is one point in this series where things get repetitive. There are some signs that they are running out of ideas in this film but they have many new ideas too. Sigourney Weaver have matured into her role as Ellen Ripley, giving a much better performance than the last two films.I might be in the minority saying this was a great film with some many annoying flaws but I'm sticking to it. I thought the ending was satisfying without a fourth movie, although there is one, and that the film has a strong performance from Sigourney Weaver. I know it doesn't have the horror and action aspect like the previous two films, but as I said, it's not afraid to be the oddball.",5,2,9,24 August 2007
The Incredible Hulk," Is It Really That Good?
","Depicting the events after the Gamma Bomb. 'The Incredible Hulk' tells the story of Dr Bruce Banner, who seeks a cure to his unique condition, which causes him to turn into a giant green monster under emotional stress. Whilst on the run from military which seeks his capture, Banner comes close to a cure. But all is lost when a new creature emerges; The Abomination.Compared to this year's 'Iron Man,' also released by Marvel, you can tell why that's the better movie than 'The Incredible Hulk.' I can't compare this film to Ang Lee's 'Hulk' because I've forgotten all about it but as a movie for its own, I was expecting much more (probably because 'Iron Man' was so good).The movie starts off really fast, much like 'Fantastic Four.' You don't get a chance to know the characters. It just starts off and minutes later, you find people chasing the main character, Bruce Banner, played by Edward Norton. Well, they then changed their mind within the first few minutes to finally show us some characterization. Apart from that, this film is really mediocre.The pacing is all over the place. The Hulk looks more or less CGI-ish. There's one scene where you can tell they want you to make it look real and it kind of does, because it gives off a rubber-ish effect. The action scenes was a let down. Even the showdown in the end between the Hulk and the Abomination was so disappointing because it felt like a video game. If you like it that way, it's fine by me.However, the movie was fairly entertaining. Some may be disappointed by the dialog-filled scenes in the first 30 minutes of the film because they just want to see the Hulk. Edward Norton does a decent job as the Hulk. Liv Tyler did a well job as his girlfriend and Tim Roth did a decent job as well.See it in theaters? Well, I think you should wait for it on DVD. Yes, there's a Tony Stark cameo but for that, you don't have to see the movie right this moment. Some of the action scenes wee a little entertaining and overall, it's just mediocre, I'm sorry to say. Watch 'Iron Man,' instead, a much better movie.",6,2,5,14 June 2008
Mission: Impossible III," One of the Best Movies of the Year
","This film is about Ethan Hunt, with a help of some friends, who has to retrieve the 'Rabbit's Foot' in order to save his newly wed wife.I have not seen the TV show for the films nor have I seen the first two films of the franchise. I must say, I thought I would just get a big budget action flick that I would remember. That's one reason I liked it. This film surprised me! This is one of the best films of the year!Yeah, it promises the action and it has plenty of it. It also has the story and the acting. Tom Cruise and other supporting actors/actresses, including Philip Seymour Hoffman, has great performances.Just like the 007 films, this film is a spy movie with great gadgets and all the things you ever want in an action movie. It's better than the recent Casino Royale, in my opinion. This film offers more action and thrills but the two films are tied with the acting and story.This film had a disappointing box office. It didn't made as much as people thought it would did and this film deserves to be seen, even though people hate Tom Cruise.This film is very enjoyable and runs smoothly. From a fan of J.J. Abrams, I loved this movie. This film has action, great acting, and emotion. This popcorn flick is one of the best films of the year!",10,1,2,30 December 2006
