movie_title,title,review,rating,helpful,total,date
The Rock," Fantastic action thriller!
",Wonderfully entertaining action adventure. Sean Connery is in top form and perfectly cast. He is just such a good actor. The action sequences are heart pounding and the film actually also has emotional depth. 'The Rock' is one of my favorite action films. It is also one of Michael Bay's highest rated films.,8,2,2,2 July 2018
Ford v Ferrari," No frills; just excellent storytelling.
","Firstly, very good casting choices, so hats off to the casting department! The entire cast is perfect in their respective roles. I really enjoyed Christian Bale here. I think he was fantastic.The film doesn't have the flashy visuals one would expect from a film of this genre. It's not overdone like some of the Fast & the Furious films. It doesn't have endless show motion imagery. Instead, this is a straight-forward, well made film where pretty much what you see is what you get. And I loved that! The action scenes were very realistic. During all the action/racing scenes, the film also dished up a good dose of drama and suspense - and I loved the subtle humor, too! There are no comic relief characters, no slapstick humor; just very funny one-liners and incidents. There's also only the required amount of characters.This is an interesting film that will appeal to a wide audience, and is not primarily aimed at car or racing enthusiasts. The film offers so much more. The father-son relationship was beautiful and touching. It also offers a good insight into Ford Motor Company's history. The editing is quick, as you'd expect from a film that revolves around speed. The finale is really great. I enjoyed this film.",7,0,1,11 March 2020
Despicable Me 2," Not as enjoyable as the first film.
","Having enjoyed the first film, I eagerly anticipated watching this film. Uhm, unfortunately I was disappointed. This is definitely more for the younger demographic. I found some scenes downright silly. It only gets more interesting towards the end, albeit still silly. The minions steel the show...",3,1,2,6 July 2018
The Avengers," Oh boy...
","The movie was such a huge box office success that I tried really hard to like it. I just couldn't. Just to be certain, I gave it a second viewing, and disliked it just as much the second time around.Firstly, if you haven't seen Thor, Iron Man, Captain America or The Incredible Hulk, you'll have no idea who the characters are and what they're all about. There haven't been films about Black Widow or Hawkeye, so they don't really matter anyway. The film played like a medley of all of these super hero movies and didn't really offer anything we haven't seen in these movies. Also, due to way too many protagonists for one film, none of them were given the opportunity to develop. In fact, I found all the characters incredibly shallow, and didn't like any of them. My favorite character in the film is probably Hulk.Everything about this film was so overblown and overdone to the level where nothing was believable - within the context of the genre, off course. 'The Avengers' was so CGI heavy that it was difficult to have fun with it. The film also had so many plot flaws and credibility issues. Everything was simply done for effect at the disposal of an interesting plot. Iron Man is just as annoying as in his own franchise (although he is the deepest character of all). So, a mere mortal in a suit Tony Stark (Iron Man) can actually outwit a god like Thor??? Wow, not much hope for gods... The same goes for the powerful god Loki, who is outwitted and outsmarted so easily.The action in 'Dragon Wars' and 'Transformers' was a lot more realistic and more enjoyable than this. I've seen it twice and that's more than enough, thanks.",4,0,2,7 June 2019
"The Adventures of Priscilla, Queen of the Desert"," Ultimately just too slow moving.
","Fantastic costumes. Fantastic photography. Fantastic visuals. Fantastic acting, notably Terence Stamp.After a promising start, their adventures ultimately takes a dip to near boredom, though, and unfortunately never recovers.",5,1,2,3 July 2018
Pirates of the Caribbean: On Stranger Tides," Oh, just stop it already!
","Why is it that these films still manage to be box office hits? This fourth installment in the series is more of the same; too much of the same. More of the same silly humor. Jack Sparrow is not funny anymore, he is becoming annoying and Johnny Depp's magic is wearing off. This film can be used as a guide for writing cliches. And it is so painfully American!Despite the non-stop action and adventure and impressive visuals, I was bored because of the out of place humor and cliches. Romance is forced into the plot and is annoying and downright ludicrous. I honestly did not have fun watching this, although I must admit the Mermaid scene was really spectacular. And that's it! One scene. Just one scene I enjoyed about the movie.",2,1,2,23 April 2019
Howl's Moving Castle," Thoroughly enjoyable!
","'Howl's Moving Castle' is a very imaginative and unusual story. With magic, wizards and witches abound, this is an interesting and exciting fantasy adventure.The film is about several cursed people who desire a spell to be broken. Despite being cursed, Sophie continues to see the beauty in everyone and everything, and she is guaranteed to steel your heart for being such a good Samaritan. 'Howl's Moving Castle' is so much more than just an animated film. It sends out a powerful message of acceptance, and believing in yourself. It also illustrates how inner beauty is far more important than outer beauty.Through a series of weird and wonderful moments, with great animation, the film delves deep into the abyss of self-discovery and humanitarianism.",7,1,1,6 October 2019
Sherlock Holmes: A Game of Shadows," Not as good as the original
","Sherlock Holmes is back along with the original cast. While there's much to enjoy about this film, it wasn't as good as the original. It felt as if they were trying too hard to equal or better the first film. The film features even more witty dialogue than its predecessor, and more frequent as well. (Wow, that's a LOT of dialogue!). A significant amount of time is wasted on trivial moments, hence the film feels much longer than the already long running time.Guy Richie is back in the director's chair, yet the film is not nearly as visually stunning as the original. Nor is is nearly as masterful either. And not as interesting a plot either with conveniences left, right and center that diminishes all credibility. The humor at times felt forced and unnecessary. It even felt as if the actors had a difficult time reprising their roles.The scene at around the halfway mark where the characters escape is INCREDIBLE!!! This scene features some of the most amazing photography and visuals I've seen in a long time. Its a pity Richie did not utilize this style and effects throughout the movie. Its as if he put all his time and effort into this one scene and it was indeed truly awesome!As for the film itself, yes, it is a well made film, but I'd much rather watch the first film a few times over than give this one a second viewing. It simply did not do enough for my senses.",5,2,3,7 August 2019
Gremlins," Still a classic!
","Made in a time when they had to make use of practical effects instead of CGI, 'Gremlins' still holds very well by today's standards. It's hard to believe this film was made almost four decades ago!The film is an interesting mix of comedy and horror. There are some really silly, illogical moments, but 'Gremlins' is not to be taken too seriously. You might sit shaking your head wondering why the creatures would do the silly things they do, but hey, it's all in the name of fun, right? Since these are also fictional creatures, who's to say what they are capable of and what their behavior should be?Towards the end all hell breaks loose, and some scenes are disgusting (in a comedy-horror good way), and it's wonderful! The film has a good, fairly suspenseful, action-packed final act.",6,3,3,10 February 2020
Your Name.," Superb!
","Uhm...wow! Another exceptional animated film from Japan. The animation is stunning! You certainly haven't experienced animated films until you've watched an animated film from Japan. They are so different to the Hollywood films.This film is loaded with emotional depth and creativity. Although it is never explained how the characters managed to switch places, it really becomes immaterial once you follow the story. Around the halfway mark the film shocks us with an unexpected natural disaster that I never saw coming. From there on the film reverses, going back before the disaster, but this is when the film becomes more interesting. Since we are now aware of the impending doom, everything has more meaning.'Your Name.' is a sad, beautiful, uplifting film you have to experience at least once.",6,0,2,17 November 2019
