movie_title,title,review,rating,helpful,total,date
"Run, Fat Boy, Run"," Better in pieces
","Amusing comedy thats better in its parts than as a whole concerning Simon Pegg who bails on his wedding day to his pregnant fiancé. Several years later as his ex becomes engaged to an annoying Hank Azaria he realizes that he really does love her and decides to run a marathon to prove his love to his girl and that he is a man to himself. Along the way he's helped along by his son and an odd gaggle of friends. I liked this I didn't love it. I think the odd mix of American (director Schwimmer and Azaria) and British (everything else) wobbles the film and keeps Simon Pegg trapped in a nether world between the two. There are these odd tonal shifts as you have say a finely crafted scene of Dylan Moran and his friends playing poker that works like a great Brit com, and then you have some of the scenes with Azaria where the film seems needlessly loud and boisterous in a decidedly American way. Its jarring and it prevented me from wholly enjoying the film. No its not a bad film but its not satisfying. there is much to love, most of the cast is excellent, with Dylan Moran as Pegg's friend a real stand out.For me it was a pleasure not to have him fade into the background as he has done with most of his movie roles. Many of the jokes are laugh out loud funny since all of the pieces are there but it just doesn't come together. Worth a shot on DVD or cable . Though DVD is probably better where the rewind will help you catch the choice lines",7,4,6,26 May 2008
The Benchwarmers," Not as bad as the reviews this is a crude but funny heartwarming movie that shows signs it could have been great
","The plot of this movie has three 'loser' adults taking on a series of snotty little league teams in order to prove that nerds can be winners.With all of the negative publicity I truly expected to hate this film, but surprising I found it an okay way to spend 90 minutes. The idea is somehow clever. Don't ask me why but I found the idea intriguing. More intriguing is the fact that Rob Schneider and David Spade (despite his haircut) manage to turn in real performances (Jon Heder isn't much of anything with much of his performance reduced to picking his nose). I really liked this movie and what it was trying to do.For me the problem with the movie lies in the fact that some one made the choice to go for big gross laughs. I'm reasonably certain that if they had managed to reign in some of the silliness they might have manged to turn in a movie that both critics and people who like booger jokes could love.Despite the critics I think this movie is worth a shot, on cable if nothing else.",5,0,1,19 April 2006
National Treasure: Book of Secrets," Don't even think about thinking since this film makes no sense. Take it as being just clever action scenes and remarks strung together and you'll have a good time
",It begins with the search to prove that Nicholas Cage's great grandfather wasn't part of the plot to kill Lincoln and ends up a quest for a city of gold. In between there is lots of chases and action sequences.What can I say? How can I accurately or critically comment on this film.? I don't think its possible. Its a big wind up toy of a movie thats sound and fury signifying nothing. The plot is so silly and the plot points so unbelievable that it makes the first film look like deeply crafted Umberto Eco novel. I was constantly wondering how it was that no one had ever found the writing on the model of the statue of liberty or the hidden numbers on the desks or...must I go on? Even I if I must I won't.Its a loud noisemaker of a film that you either give yourself over to or you go mad. Great if you want to take you brain out at the door and smash it with a large gold brick. The lines are witty and the motion pretty but its so vapid as to be beyond reason. In the right frame of mind its dynamite.5 out of 10 simply because its a movie where your mileage will vary.,5,6,8,2 March 2008
Angels & Demons," Enjoyable, incredibly silly and not very clever. The actors and most of the set pieces carry the film when the plot fails
","(There are potential spoilers below) Based on the book that precedes The DaVinci Code this film follows Robert Langdon as he tries to sort out an evil plot that involves the kidnap and murder of four Cardinals and plot to blow up the Vatican via an anti matter explosion. Once more Langdon has scant hours to unlock the secrets of the mystery and save the lives of the people in Rome.I really disliked the Da Vinci Code. I found it slow and dull and very silly. This is a better movie that is fast paced, occasionally exciting and very silly.Okay if you think about the amount of time that they have to unlock the secret of whats going on you'll find its really not possible. Basically all of the events happen in four or five hours and its not enough time. Add to it the fact that what the plot requires is so incredibly laughable that you really can't believe it. I have no doubt that this would work as a book where words can be used to gloss over or redirect the silliness of it all, but as a movie where its stark reality you really can't hide how dumb much of it is. So many times all that needed to happen was for one person to say something obvious then it would all collapse.(I won't even get into the fact that you'd have to be blind not to realize who the bad guy is the minute he walks on screen) That said its a reasonably enjoyable film.I know that may shock you but there is enough to the story that you may very well get hooked into the tale. Certainly most of the set pieces work unto themselves (with the exception of the incident with the cops and the fountain). There are some incredibly beautiful images (the nature of which I dare not reveal lest I reveal plot points). When the film works and you manage not to think about how dumb much of plot is its actually worth a bucket of popcorn. I and my dad both enjoyed the film on a pure entertainment level. That said I didn't need to pay 11 bucks to see this and think either DVD or cable is the way to go.",6,1,8,17 May 2009
Kill Bill: Vol. 2," Dull
","After the explosive ending of Kill Bill: Volume 1 this movie is a major let down. Granted Volume 1 took a while to get going, but once it got firing there was no stopping it. Or so I thought.I don't care what anyone says this film is a series of sequences that are in desperate need of editing. This movie just goes on and on and on. Its a mess.Actually this film has only one problem and that it insists on filling fill in the blanks concerning every single character, whether it  moves the plot or not. Several of these sequences could be so much shorter, but Quentin instead insists on letting them play out until you want to snooze.
Worse this film insists on copying god knows how many film styles, a flaw the first film over came. Most of the styles didn't need to have them paid homage.I will not discuss the ending which goes on to the point of boredom, I dislike it and I'll leave it at that.Perhaps this will play better as seen as one long 5 hour film, but I doubt it.4 out of 10.",4,13,24,12 August 2004
Black Swan," Over hyped film is a mess of horror movie and drama conventions over done and badly put together.
","Young dancer is given the chance to dance in Swan Lake and pushed by pressures of her life and of the production she goes off the deep end.A ballet movie made almost entirely of close-ups of Natalie Portman's face. I know we are suppose to be getting into the characters mind but this is ridiculous. Its all face and feet and little else.Why you would cast some one to be a dancer and then never show her dance is one of the great mysteries that are presented by this film.Actually there is much about that this film that eludes me, mostly doing as to why the film is receiving the acclaim it has when it's so deliberate and artificial that one can never connect with it. Nominally a psychological drama with slips into to horror the films horrific elements are obvious and so over done that even the most hackneyed of horror directors would not have used all of the tropes this way (from over done music to doublings to any number of other things). The film is a mess.I've seen it twice now and I still don't get what people are seeing in it.",3,17,41,9 January 2011
Changeling," What starts as a tale of a mother looking for her child becomes a larger tale of police run amok
","(Spoilers Ahead) Clint Eastwood's first of two films for 2008 is a large scale story of a woman looking for her son and what happens when she collides with the the people who are suppose to be keeping the peace and protecting the innocent.Based on what is known as the Wineville Chicken Coop Murders but with some changes to the events, the film is nominally the story of Christine Collins, a single mother who's son Walter goes missing. Collins played by Angelina Jolie does everything she can to draw attention to her plight in the hopes that someone will help her find her son. When a Boy across the country turns up saying he is her son she is at first thrilled, until the boy arrives on the train and she instantly realizes that the boy isn't her own. No one will listen to her except Rev. Gustav Briegleb, played by John Malkovich. Briegleb has it in for the police and their tactics and he uses his pulpit and his radio show to take them to task. However as time goes on Mrs Collins is seen as a problem and is promptly sent to a mental institution. From there the story spins out as it comes to light that the fate of Walter may not have not a pleasant one and the plight of Christine reverberates on a larger scale.Oddly promoted to focus on the Christine Collins story which is the line through the story on which everything hangs, this is actually a much larger story than is advertised. Most of the scenes that were used to promote the film come from the first hour, during which time the focus is squarely on Jolie. The second half of the film focus's on the discovery of the murders and how that coupled with the publicity about Christine shake Los Angeles and its police force.Angelina Jolie is good, but not great as Christine Collins. I do feel for her and her plight but there are times I found the performance, like some of the first hour, rather one note. I do think the problem is not so much with Jolie rather with director Eastwood (and writer J.Michael Straczynski) who is a much too lax in the telling of the early part of the story. I found that I could guess the shots he was going to use and I knew what we'd see, say a young boy running out side the trolley. He's using clichés to set up a complex story and it hurts the film since there are times the film doesn't feel special. Unfortunately Jolie's performance never fully recovers and its only in the final passages of the film that I think she recovers her footing.About an hour in as the story begins to move away from the Jolie story and we begin to see how larger forces are at work. First there is a dangerous killer on the loose and secondly the police begin to have to backtrack and circle the wagons to protect themselves. Its here on the larger stage that the film begins to come to life. certainly the story of Christine and her search for Walter remains the primary focus, but the story takes on larger implications which make the film very much better.The film varies from the actual story in a couple of ways which I won't get into here since that would spoil things if you haven't seen the movie.To be honest I had a hard time getting through the first hour of this film. There were moments where I cared but for the most part I kind of felt I knew where it was going. I don't blame it on knowing the story, rather I think its because, as I said earlier, most of the promotional material, clips and stills and such, all come from the first hour. Its like watching a movie after the commercial gave everything away. However once the second hour rolls around and the story begins to move away from the scenes that I had seen a dozen times before the film picks up momentum and cruises along nicely to the end.This is a good film by Eastwood and worth seeing. I don't think its one of his best films, but then again it doesn't have to be.7 ish out of 10.",7,6,10,5 December 2008
Come and See," One of the greatest war films ever made
","I needed to have two hours and twenty odd minutes to watch this with out interruption. I didn't want to break it for any real reason or for any real length of time other than to change the disc (more on that later).I had the time so I watched the movie.I could argue that with two small flaws this is one of the greatest anti-war films ever made.This is the SUBJECTIVE story of a boy who joins the partisans during the German invasion of Russian and his decent into hell.This is a tough movie. its in your face and everyone else's, literally as we see everyone and everything that our hero does even to the point that if he's talking to someone the camera will hold on them as they speak with no cut aways. We learn everything about people by their faces since we have the time to study them. This is simply one of the few times where even if the film had had a different aspect ratio other than 1.33 (tv shape) I would rally to have it full screen rather than letterbox simply because for this movie you MUST lose yourself in what you see and hear. Having someone facing you, looking at you is more powerful when all you can see is their face. Faces are a landscape in this film.This is especially true of Floyra, our hero who's stunned expression at all that happens around him is a constant source of wonderment.As we as shocked and rattled by what we see we know that he is even more rattled because he is there and he is expressing it on his face. Its said he was hypnotized to be able to get the right expressions, and seeing the pain on his face I believe it since you could only express what he is by living through it... Wide eyed numbness his mouth sometimes agape we watch as he tries to just get on...The film as I said is subjective and we see and hear, literally, what Floyra does. When his hearing is thrown askew by shelling what we hear becomes less distinct. Sound will drift in and out and we get a sense of being there. The camera also holds on some scenes at times Not cutting away for better angles simply because Floyra doesn't have them.This film will rock your world and then some.I want to tell you everything about the film but at the same time fear that doing so will set up expectations as to what happens. Reading the material on the film and seeing the trailer set up some expectations in my mind, some of which was right and some was wrong. I would like to have you see the film knowing as little about what actually happens as possible so you experience the film straight. I lost my expectations the minute the film began and I was wondering what was going on... I was hooked as the long strange trip took over. I'm certain that once the film stats you will be free of expectations too but, at the same time I think if I told you too much it would ruin the what happens next.This is GREAT film making.That said there are two small flaws.First, as some reviews have said the Germans, when they finally show up on screen are just a tad cartoony. menacing but slightly cartoonish...I could be wrong... but regardless through it all Floyra's pained expression cuts the cartoon away and reminds us this is bad stuff going down.The second flaw is a montage of actual footage used near the very end. I know why it was done, or can guess, but its too long. It breaks the spell in some ways... I think it would have been more apt had the film had the original desired title of 'Kill Hitler'.The last point I want to make is the fact the film is on two DVDs. Released two years ago there is no logical reason for the film to be broken into two parts, the tape is a single cassette release, except that like many films from the Russian Film Council its loaded with subtitles, 13 languages and three audio options. There is also other extras like an introduction by the film maker that runs 20 minutes, documentary footage and an interview with the lead actor. But I digress....I'm certain that the film doesn't really need to be in two parts for any reason other than a technical one... except that in a strange way the break sort of works for the film if you watch it straight through taking only a break to switch discs. Call me crazy but the break is perfectly placed at the mid point to the story. Not only that the film changes from first half to second half. The tone , even though continuous in action, is different as the second disc begins. Its almost as if we are back at the beginning of the film at a peak that slowly slides downward. Time wise the two halves are different with the action taking place over a couple of jumbled days while the second is one continuous series of events over two days.In the end all that matters is the film.And here the film is absolutely great.See it and be moved.----------------------------------- random thoughts In its way its comparable to grave of fireflies The film that many people compare it to, Destiny of a Man, is a relation but not direct ancestor of it simply because the films are very different, Destiny taking place over years in Flashback, Come and See is happening here and now over weeks. They share themes and elements but the thrust and points are different, especially in the end...",9,21,30,19 January 2008
Scarface," 25 years on the film is now more a parody than reality
","Unintentionally Hilarious but viscerally moving about Tony Montana from Cuba who comes to the US, becomes a drug lord, a junkie and dies in a spectacular shoot out. Brian DePalma's film remaking the Howard Hawks film from the 1930's works on some levels despite being so silly as to become a comedy. Blame Oliver Stone who's script is overly ripe. And Blame the cast who over acts like there is no tomorrow.I saw the film on Christmas day 1983 and was floored by it, even though I knew some of it was silly.(I thought it was one of the best films ever made) Watching it again for the first time in a couple of years I was horrified at how bad the film is. Yea the underlying themes and such are there but its so jumbled I'm amazed that anyone takes the film seriously. I have no idea why Montana is an icon for the todays gangsters since he is such a joke, unless they don't see it that way, or perhaps its like a childhood friend who loved the Rise and Fall of the Third Reich, or rather the rise, he totally ignored the fall. An important movie in the history of film simply because its become such a cultural touch stone. I think its now a violent joke.",6,6,9,22 March 2009
Frost_Nixon," Excellent
","Film version of what happened when David Frost decided to try to interview Richard Nixon. Based upon the play that played London and Broadway last year this is a top example at how to adapt a play for the screen and get something that exists on its own. Its also contains two of the best performances of the year in Michael Sheen as Frost and Frank Langella as Nixon.I saw the play twice on Broadway and there was something about seeing the sparring there, right in front of you that made it a magical night at the theater. The Langella won a Tony as Nixon in a performance that was scary to see in person because he disappeared so deeply in the role it was like Nixon on stage. It's probably one of the best things I've seen Give points to Ron Howard and his crew to taking the play and turning it into a film. To be certain there are similarities but at the same time its entirely its own animal. This is the the story of Frost and Nixon and their battle to tell the story of what happened in the Nixon White House. Sheen is amazing and even more affecting then he was on stage as Frost. We see the pain and uncertainty of a man who has thrown every little bit of himself and his fortune (and the fortunes of friends and relatives) in a gamble to become a hit once more in America. In its way its a thankless role compared to Nixon since he often seems to be just a party guy asking questions, however Sheen pulls it off making him into a person you really care about.The real story of the film is Langella. Minutes after seeing him on screen he ceases to be anything other than Nixon. (How could they have even considered Warren Beatty in the role?) Its an amazing transformation, and in some ways better then it was on Broadway where you couldn't see the details of his face. Its amazing. If you don't like Langella in the role at first wait until the end, wait until the final confrontation, watch Langella's face- watch it and I dare you to see anything other than a broken man. Watch the face in the monitors, its all there. Even watch the final shots of Nixon alone looking at the sea, its masterful physical performance.This is a wonderful film it really is. Its a film that anyone interested in a good movies should see. I don't know if its a truly great film, but it is a really good one. Certainly its one of the best of 2008.",9,3,5,6 January 2009
