movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Interesting True Story
","I saw 'Ford v Ferrari', starring Matt Damon-Thor:Ragnarok, True Grit_2010, Christian Bale-Vice, 3:10 to Yuma_2007; Jon Bernthal-The Peanut Butter Falcon, The Punisher_tv and Josh Lucas-The Lincoln Lawyer, Hulk.
This movie is based on a true story about the fierce rivalry between Ford Motor Company and Ferrari. Ferrari had been winning the 24 hour race in Le Mans for years in the 1960's and Ford decided that it had been long enough. They hired Matt-playing Carroll Shelby-to build them a fast car to beat Ferrari. Jon-playing Lee Iacocca-is a negotiator for Ford. Josh is a Ford executive that does not like Matt's pick for a driver, Christian-playing Ken Miles. It is an interesting story of an American car designer trying to beat the European champions.
It's rated 'PG-13' for language and peril and has a running time of 2 hours & 32 minutes.
It's not one that I would buy on DVD-once was enough-but it would be a good rental.",7,0,1,18 November 2019
Despicable Me 2," Great Sequel
","I saw 'Despicable Me 2', starring the voices of Steve Carell-The Office-t.v., Little Miss Sunshine; Kristen Wiig-Bridesmaids, MacGruber; Benjamin Bratt-Catwoman, Miss Congeniality and Russell Brand-Rock of Ages, Get Him to the Greek. This is the sequel-in case you could not tell by the number 2 in the title-to the blockbuster animated hit. Steve returns as Gru, a former villain that has gone straight since he has acquired three little girls. Russell returns as Dr. Nefario, Steve's assistant, who now works on their new business of making jellies & jams-remember, they have gone legit. A new villain appears and starts on a crime spree which causes the intervention of the secret spy organization called AVL-Anti Villain League-to ask Steve for his help. Since Steve is a former villain, he might be of assistance in apprehending Benjamin, aka El Macho. Kristen plays Lucy, an agent of AVL that is assigned to help Steve. And, of course the minions are back-I think they are the best part. If you liked the original, then you should enjoy this one, too. I went with my daughter, son-in-law and two grandkids and they all enjoyed it, too. It's rated 'PG' for rude humor and some mild action and has a running time of 1 hour & 38 minutes. I enjoyed it and would buy this on Blu-Ray.",8,0,0,6 July 2013
Insidious: Chapter 2," Not as Scary But Good Story
","I saw 'Insidious: Chapter 2', starring Patrick Wilson-The Conjuring, Watchmen; Rose Byrne-X-Men First Class, Damages-t.v.; Barbara Hershey-Black Swan, Falling Down and Steve Coulter-The Conjuring, The Hunger Games.This is a sequel to the 2010 horror movie directed by James Wan-he directs this one, too, plus he also directed The Conjuring and the original Saw. In the first Insidious, Patrick and his wife Rose had problems with a demon using their son to enter our world. This one continues where it left off and the demon decides to use someone else as his vehicle to Earth. Barbara returns as Patrick's mother and Steve is their new guide to the spirit world and the burgeoning new field of astral projection; if you remember in the ending of the last one, the lady psychic died trying to save Patrick's son, using astral projection. This movie does go into the past history of the demon and what actually motivates him. I liked how they would show scenes from different perspectives; for instance, later in the movie, an earlier scene will be shown with different details highlighted, showing you what is really going on. I also liked how they relied more on actual actors in make-up, instead of CGI effects. If you liked the first one, you will probably like this one. Although there are some good scares, it's not as scary as the first one but the story more than makes up for it. It's rated 'PG-13' for violence and sequences of terror and has a running time of 1 hour & 45 minutes. I would probably buy this on DVD.",Null,0,1,13 September 2013
Blade Runner 2049," Visually Stunning
","I saw 'Blade Runner 2049', Ryan Gosling-La La Land, Young Hercules_tv; Robin Wright-House of Cards_tv, Wonder Woman; Jared Leto-Suicide Squad, Fight Club and Harrison Ford-The Star Wars movies, The Expendables 3. This is a sequel to the 1982 Blade Runner and it takes place 30 years later. Ryan is a Blade Runner-he is a cop that hunts down and usually terminates replicants, human looking robots that have gone rogue. Robin is his boss. When Ryan finishes his latest job, he discovers a buried dead body that leads him to go looking for Harrison, a former Blade Runner that disappeared about 30 years earlier. The corporation that makes replicants is run by Jared, and he acts kind of weird, like a futuristic blind hippie. There are questions about who is or is not a replicant and Sylvia Hoeks-an actress from the Netherlands-does a good job as the female counterpart to Rutger Hauer-also from the Netherlands. The visuals are stunning in the way the future is portrayed. There are several scenes of people playing music and a holographic image of the performer is shown, as if they were performing live. I remember seeing Elvis, Frank Sinatra and Marilyn Monroe-I know, she is not a singer but they still showed her. There are 3 of the original cast members that pop up too, and yes, Harrison is one of them. Harrison does not make his appearance until about an hour and forty five minutes into the film, but it's almost 3 hours long so that is just a little over half way through. It's rated 'R' for violence, language and sexual content-including nudity-and has a running time of 2 hours & 44 minutes. If you liked the original movie, then you will probably like this one, too. I know I did and I would buy it on Blu-Ray.",7,3,10,6 October 2017
Million Dollar Arm," True Sports Story, Disney Style
","I saw 'Million Dollar Arm', starring Jon Hamm-Mad Men_t.v., Sucker Punch; Lake Bell-No Strings Attached, Boston Legal_t.v.; Aasif Mandvi- Premium Rush, The Last Airbender and Bill Paxton-Haywire, True Lies.This is a Disney movie that is based on a true story about a sports agent, Jon, that goes to India to try and find the next big major league baseball pitcher. Jon is having some money problems since he lost his last big football client and really needs to get some new clients. Almost all of the major foreign countries have been depleted of future sports talent by other scouts so he figures, why not try India? He discovers that the people in India love the game of cricket-which involves throwing a ball-and he thinks that it might not be a giant leap for them to pitching a baseball. Jon takes a trip to India and has a talent hunt, in the form of a reality type t.v. show called Million Dollar Arm, in which the winner will win a trip to America and the chance to play in the major leagues . Aasif plays Jon's business partner, Bill is a trainer and Lake plays, literally, the girl next door to Jon that becomes his love interest. There is a lot of humor using the fish out of water themes, what with the Americans in India-getting sick on the food-and the Indians in America-they are not familiar with a lot of our conveniences. During the end credits, they show both pictures and video of the real players from India that the movie is based on, and they also tell you what happened to them. It's rated 'PG' for some mild language and has a running time of 2 hours & 4 minutes. It's a nice Disney family style movie and I would probably buy it on DVD.",6,5,8,16 May 2014
First Man," Interesting But Slow
","I saw 'First Man', starring Ryan Gosling-La La Land, Lars and the Real Girl; Claire Foy-Vampire Academy, Season of the Witch; Jason Clarke-Winchester, Dawn of the Planet of the Apes and Corey Stoll-The Strain_tv, Salt.
This movie is based on Neil Armstrong's life and specifically, the years from 1961 through 1969. Neil was the first man to walk on the moon on July 20, 1969-that is what the title of the film is referring to, First Man. Ryan plays Neil, Claire is his wife, Jason is Ed White and Corey is Buzz Aldrin. The story covers the trials and errors in the process leading up to the monumental space mission, including some of the astronauts' personal family matters. It is a little slow in parts but it is an interesting story.
It's rated 'PG-13' for peril and language and has a running time of 2 hours & 21 minutes.
It's not one that I would buy on DVD but it would be alright, as a rental.",6,2,4,15 October 2018
The Hunger Games: Mockingjay - Part 1," Good But Padded
","I saw 'The Hunger Games:Mockingjay-Part1', starring Jennifer Lawrence-X- Men:Days of Future Past, The Bill Engvall Show_tv; Josh Hutcherson-Red Dawn_2012, RV; Liam Hemsworth-Empire State, The Expendables 2; Julianne Moore-Carrie_2013, The Big Lebowski and Donald Sutherland-Horrible Bosses, Buffy the Vampire Slayer.It seems like a lot of franchise movies are dividing their last installments up into two movies to stretch out their box office bucks, and this one does it, too. This is basically a set up for the next movie. It's not bad but you can tell that it is padded to fill time. Anyway, if you recall in the last episode, Jennifer destroyed the Hunger Games tournament with her trusty bow & arrows and was rendered unconscious. When she wakes up, she is in District 13 which is run by Julianne as the district President. Julianne is trying to lead a rebellion against the Capitol and the evil Donald and thinks Jennifer would be perfect as a figure head to rally the troops. Jennifer does not know what happened to Josh but soon learns that Donald is using him to make propaganda videos to crush the rebellion. Liam, the spurned boyfriend of Jennifer, is still hanging around hoping Jennifer will choose him over Josh; but she just thinks of him as a friend. There is not a lot of Jennifer in action here; I can only remember her getting into a fight with her bow & arrows on one occasion, and she only fired one arrow-Of course, she took out two targets but that is what you can do, if you are a hero. Pretty soon, Jennifer is making her own propaganda videos and trying to rally her followers. FYI:Philip Seymour Hoffman died during filming, with most of his scenes completed-they filmed Part 2 at the same time, which is due next year. It ends in a cliffhanger that sets up Part 2 and there is a brief scene after the credits but it's not really a scene but more of a cryptic hint at the next installment, using the Mockingjay symbol. It's rated 'PG-13' for violence and has a running time of 2 hours & 3 minutes. It's not action packed but I would probably buy it on DVD.",7,14,33,21 November 2014
The Monuments Men," True & Informative Story of World War 2
","I saw The Monuments Men', starring George Clooney-Gravity, Roseanne- t.v.; Matt Damon-True Grit-2010, The Talented Mr. Ripley; Bill Murray- Zombieland, Charlie's Angels-2000; Cate Blanchett-The Hobbit movies, The Talented Mr. Ripley and John Goodman-The Hangover Part 3, Roseanne-t.v.. This is a World War 2 movie that is based on a true story and is directed by George Clooney. It shows the importance of art in civilization. During the war, Hitler had his Nazis Stormtroopers confiscate any valuable art work that they came across in their march across Europe. It seems that Hitler wanted to build a Fuhrer Museum and wanted to stock it with only the best pieces. When the war started turning against him, he gave an order to destroy all of the art work, if he was to die. George was an art historian that went to President Roosevelt with his plan to go in and save as many of the masterpieces as possible. Matt, Bill and John are some of the men that he gathered to go into Germany, shortly after the Normandy Invasion. Like George, they were not military men but engineers and museum directors. Cate worked in a French museum, during the German occupancy, and could help identify certain art pieces. During their treasure hunts, George and his men discovered something unexpected that helped shorten the war. FYI: at the very end of the movie, keep an eye out for the actor that plays George, as an older man. He is George's real life father, Nick. It's rated 'PG-13' for violence and smoking and has a running time of 1 hour & 58 minutes. It was informative-I was not familiar with a lot of the facts-but I don't think that I would buy it on DVD. It would be a good rental.",Null,6,10,8 February 2014
Captain Phillips," Intense Real-Life Thriller
","I saw 'Captain Phillips', starring Tom Hanks-Cloud Atlas, Turner & Hooch; Barkhad Abdi-this is his first movie; Catherine Keener-Where the Wild Things Are, The 40-Year-Old Virgin and Max Martini-Pacific Rim, The Unit-t.v.This is based on the true story of the first American cargo ship to be hijacked in 200 years. It takes place in 2009, off the coast of Africa, with the hijackers being Somalian pirates. Tom is the American merchant captain of the ship that is targeted by Barkhad and his buddies. The ship does not carry any weapons, either personal or otherwise, so they are easy targets. Catherine has a small role as Tom's wife and Max is the leader of the SEAL team that is called in to handle the situation. Even though I knew the outcome of the tense drama-I remember the story in the news-it was still an edge-of-the-seat thriller. Both Tom and the newcomer Barkhad gave great performances and I can see Oscar nominations for the two of them. It's rated 'PG-13' for violence and drug use and has a running time of 2 hours & 14 minutes. I liked it enough that I would buy it on DVD.",7,0,5,11 October 2013
10 Cloverfield Lane," Related, But Not Really A Sequel
","I saw '10 Cloverfield Lane', starring John Goodman-Love the Coopers, Speed Racer; Mary Elizabeth Winstead-A Good Day to Die Hard, Scott Pilgrim vs. the World and John Gallagher Jr.-The Newsroom_tv, Jonah Hex. This is a weird movie to talk about. J. J. Abrams is the producer and said that he did not want the audience to know a lot about the movie before seeing it. He said that a lot of trailers give away the whole plot of a movie. That is why most people don't know much about the plot of this movie. Is it a sequel to Cloverfield? Well, it is related, but only loosely, at least so far. I say so far because once you see the ending, you know there will probably be a sequel and they could explain everything in it. This one is not shot using the hand-held camera gimmick from the first movie-Thank Goodness! There is also no giant creature terrorizing the city, although you do see a small creature of some kind, near the end. From what I could tell, this one also takes place several years after the first one. Mary is driving on a country road when she has an accident. She wakes up in an underground bunker chained to the wall. She finds out that John Goodman came across her crash site and brought her back to the bunker. He tells her that there is radiation outside from an unknown attack-Russians, Iranians, or maybe even Aliens?-and it is unsafe to leave the bunker. John Gallagher is also already in the bunker but not a prisoner. Slowly, Mary starts to feel that John Goodman may not be telling her the whole truth about his actions-he does act a little weird at times and his facts don't always make sense. FYI: When Mary gets a message from her boyfriend at the beginning of the movie you might want to see if you recognize the voice; it's Bradley Cooper. By the way, the title of the movie, 10 Cloverfield Lane, is the address of the bunker. It's rated 'PG-13' for violence and language and has a running time of 1 hour & 43 minutes. I enjoyed it but I wished it had a better ending-Like I said earlier, I'm sure they are setting things up for the next installment-I would buy it on DVD.",7,0,3,11 March 2016
