movie_title,title,review,rating,helpful,total,date
The King's Speech," A Masterpiece
","This is based upon a true story. Before Prince Albert of York (Firth) ascended the throne of England,as King George VI, he had hired Lionel (Rush) a speech therapist to help him overcome his stammering when he had to speak publicly for official functions. Then he becomes king, and is terrified as he knows he will have to address the nation verbally. When something is almost perfect it is hard to know where to start. Everything flowed flawlessly.The acting by all was sheer perfection. Colin Firth was perfect imparting his fears to all of us. We felt for him and we cared, cared deeply. We were like his family cringing, hoping for the best, knowing it wouldn't go well, and were helpless to do more than give support and, in some cases, holding back tears. Thank God for radio. If television was around at that time, this would probably not have gone as well. Imagine having to speak to the entire population with a camera in your face and you feared stammering, stuttering and losing the confidence of your country, and there is no place to hide. Yikes ! Keep in mind that Hitler and Germany were on the rise and the threat of war was very real. So radio saved the day and the monarchy.The Oscars for Best Picture and Best Actor (Firth) were well deserved. Other than a very touching, and heartfelt story, the thing I came away with most is this: now I know who Colin Firth is. Great job. He was perfect. Violence: No. Sex: No. Nudity: No. Language: Yes during speech therapy sessions.",10,0,0,21 April 2011
Moneyball," Good Sports Story
","This is based upon a true story.As General Manager for the Oakland Athletics baseball team, Billy Beane (Pitt) decides to revamp the game of baseball using statistics to select players. The stats are provided by Peter Brand (Hill), a numbers cruncher, Billy hires away from the Cleveland Indians.This gives us a pretty good view of how baseballs' General Managers operate and what they have to deal with. In this case Billy has to deal with more than most since he and Peter go against baseball lore, wisdom, history, scouts' analysis, long time baseball men and, of course, his manager on the field, Art Howe (Seymour Hoffman). And, the way things start out, these new ideas don't have the fans on board either.I did expect this to be more emotional as you would find in most true sports stories. I was hoping that it would not change me from the team I sometimes root for to be a Oakland Athletics fan. The pacing, dialogues, and good acting by all held me and I didn't need the Kleenex tissues by my side that are mandatory for watching true stories. You just know you are going to need them. But not this time. Although, I almost reached for the box during one of the last scenes when Billy was driving aimlessly (he does that) and listening to his daughter singing a song for him on the CD. I thought: here it comes as he has a big decision to make.This is a very good baseball story, but I don't see any Oscars for anyone in here. However, I am sure Brad Pitt will be nominated anyway. He is a terrific actor.There is a statement at the end of the movie that says when the Boston Red Sox won the World Series two years later they used a statistical system similar to Billy's. (7/10)Violence: No. Sex: No. Nudity: No. Language: Yes, some F-bombs, but not many",7,0,2,13 January 2012
The Avengers," Terrific CGI, Editing, Story and Acting
","Nick Fury (Samuel L. Jackson) brings the Avengers together to locate and obtain the Tesseract, a cube of untold power that could possibly power the whole world, but it is also needed by Loki (Tom Hiddleston) to open a portal for his army to come through and subjugate the people of earth to his will. The Avengers have their work cut out for them once they stop fighting with each other and learn to get along. This is, perhaps, the best CGI I have ever seen along with fantastic editing. I know in the past we had very good CGI with Beowulf, Live Free or Die Hard, Transformers and 2012 among some others, but a true salute should go to Director Joss Whedon and maybe an Oscar as well. This was truly well organized, and seamless throughout. The story was plausible without getting into silliness and unbelievable cartoon animation effects. And, effective dialogues helped make this as real as possible. Kudos. Who are the Avengers? Ironman (Robert Downey Jr), Captain America (Chris Evans), The Hulk (Mark Ruffalo), Thor (Chris Hemsworth), The Black Widow (Scarlett Johansson), and Hawkeye (Jeremy Renner). I was not familiar with The Black Widow and Hawkeye. I was looking for Billy Batson (Captain Marvel) but he was from an older time and that is the only explanation I could think of. Poor Billy Batson was probably in a old-age home, and he was never referenced in this. So,.. no 'Shazzam' for us. Pity. The thing I noticed is the storyline kind of continued a slender thread from previous Ironman, and Thor movies. Thor was assured that his love interest, Jane (Natalie Portman) was safe from what was going to happen in this Manhattan, NY location. I am pretty sure we saw Scarlett Johansson in one of the previous Ironman movies, but not as the Black Widow and am not sure what role she did play. And, of course, there was Pepper (Gwyneth Paltrow) Tony Stark's (Ironman) love interest. Yes, she still looks very good, but, at first I thought someone else played Pepper as the actress didn't, at first, look like Paltrow. But it was her. Maybe getting a little long in the tooth does that. Go figure. Hey, it will happen to all of us. Bummer. Also, we noticed that Tom Hiddleston also played Loki in the movie THOR. So this was like old home week for some of this cast and for us as well. Very good. I don't like giving Oscars to bad guys or in this case, bad gods, but I must say Hiddleston's Loki was very good and may get one. He was almost likable at times. Did I really say that? All in all this is one terrific movie and the pacing is excellent; and you will forget all about the snacks you brought in to see this movie as your eyes never leave the screen. It's mesmerizing. There may be some confusion for a while when you do not understand why The Avengers are at each other's throats for the longest time. And, you cannot figure out why Hawkeye is working for Loki (the bad god and stepbrother of Thor). But, stay with it and it will all work out and you will understand. The acting performances all around are first rate. And, again, not enough can be said about the CGI, the editing, the fights and battle scenes and the cinematography as well. All were terrific. Kudos. (10/10) Violence: Yes. Sex: No. Nudity: No. Language: No.",10,1,5,28 September 2012
National Treasure: Book of Secrets," Terrific
","Treasure Hunter Ben Gates (Cage) learns that his great-grandfather may have participated in the Lincoln Assassination and sets out to prove great-grand-daddy innocent.Give me a grand conspiracy theory, and a treasure hunt and I'm yours. And, that is exactly what we have here. Of course, one has to suspend beliefs that some things can't be done: looking for clues in the Queen of England's office, the Oval Office, and perhaps, the hardest to suspend: kidnapping the President of the United States. But, it all works and quite smoothly, I might add. The pace and the tension are near perfect. There are some drawbacks, however (There you go spoiling things again).The car chase in London went on for too long and wasn't exciting. Why have it? The water scenes near the end of the movie were confusing, and although I knew what was going on, I couldn't grasp the scheme of the set in the sense I didn't know where everyone was -- not sure the director knew either. The acting by all was fine, but Harvey Keitel was wasted here. Ed Harris has the face of a good guy and he's made to be the villain and seemed to have trouble with that. 'Hey, he has the face of a good guy, get someone else!' Jon Voight was made to look like Philip Seymour Hoffman. Bruce Greenwood, a Cliff Robertson clone, is terrific and we need to see more of him. I was sad to his scenes end.And, the Queen playing Jon Voight's wife. Terrific. (That wasn't the Queen, you know). Now, I suppose you are going to tell me it was that Mirren woman? And, Nicolas Cage was the glue that kept it all together. Terrific. What a guy!The love interest between Ben and Abigail (Kruger) was there in name only. And that's a good thing because the chemistry just wasn't there to begin with. (So you didn't like it?) Are you kidding? I loved it. Like I said, give me a conspiracy and a treasure hunt and I'm yours. The rest of the stuff doesn't matter too much. Well, the Ed Harris thing was really bad. He shouldn't be made to play a villain. Violence: Yes, Sex: No, Nudity: No, Language: No",9,2,5,28 May 2008
Million Dollar Arm," Touching, Smart, Friendly and Real
","This is based upon a true story.Big time Sports Agent JB (Jon Hamm) needs to secure his position in the overall sports arena and things are not going well at present. He decides to go to India to get Cricket Players and train them to be professional baseball players. Later he learns he didn't get Cricket Players, but he finds two who have the talent to help him and he is determined to make it work.I had no idea this was a true story. Never heard of such a thing, but I don't follow baseball anymore due to the steroids/drugs scandals. But, somehow I am sure I still would have heard of this story. Didn't happen. Onward: The 2-India players: Denish Patel (Madhur Mittal) and Rinku Singh (Suraj Sharma) know very little English and there some funny, amusing things happen when they go to the United States. Of course, all doesn't go as planned, there are disappointments, some stress, and later a second chance. So there is hope. Why make the movie if there wasn't hope, right? That is why I watch. You? Onward: Bill Paxton as Tom House, the pitching coach and Alan Arkin as Ray Poitevint a retired major league scout give excellent performances. The acting all around is very good. Onward: we spend some time in India trying out hopefuls. Yes, we do see the Taj Mahal, heavy, heavy traffic, and a lot of excitement regarding the tryouts. Then off to the United States where the real training begins. There will be sub-titles until Denish and Rinku learn some English. The music is toe-tapping good.This is a good production: smart, touching, friendly and quite real. There could have been a little more humor in here with Denish and Rinku being exposed to Western ideas, food and technology (you always think that humor is most helpful). We really never know that when we see a True Story if everything is really true, but suffice it to say - from other accounts - this appears to be the real deal.If you want to know more about Denish and Rinku, go to Wikipedia and look them up. When the credits roll at the end, you will see pictures of the real Denish and Rinku. Quite good too. If I had been a Pittsburgh Pirate fan I would have known about this true story. HA! (7/10)Violence: No. Sex: No.Nudity: No. Language: No.",7,0,0,26 October 2014
Angels & Demons," Somewhat gimmicky but very good
","Prof Langdon (Hanks) has 4-hrs to locate the kidnapped Cardinals and find the bomb that will destroy the Vatican. I stopped reading Robert Ludlum novels (The Bourne this and that) as my page-turning hand couldn't keep up with the breakneck pace of the clues given. As I watched this movie I was reminded of the Ludlum novels and saw the parallels. Once the first clues were given we were off to the races. The music also played a big part and helped us run around Rome like a Wild Mouse (a ride at Coney Island) on the loose. The clues and the music made the 2+hours seem like minutes. It was over so quick. What a ride.Basically, this is a movie that tries to show the differences between Science and Religion. The Science part presents itself in the guise of a secret society called the Illuminati, who have been around for hundreds of years. The Religion part is represented by the Catholic Church. I call this somewhat gimmicky only because of the racing around to get to the next clue to discovering where the kidnapped Cardinals are and ultimately to where the bomb is too, but this is an excellent production. We get to see a lot of Rome ( I would also suggest you pause the DVD for those moments so you can get a good look). The acting is first rate by all. Also, the dialogue makes us feel privy to the inner workings of the Vatican. And, there is humor injected as well. Now, the getting around Rome traffic (to get to he next clue) in a matter of mere minutes is sheer Movie Magic. Can't be done. Been there, done that. I didn't know there was a person called the Camerlengo (McGregor) who has the power of the Papacy when a Pope dies and until a new Pope is elected. Of course, near the end of the movie all is revealed and there is a twist I didn't see coming. Will you?Violence: Yes. Sex: No. Nudity: No. Language: No.",9,0,0,26 November 2009
Black Swan," Somewhat Perfect
","Nina (Portman) wants to win the lead in the Swan Lake ballet to play both the White Swan and the Black Swan. She strives for perfection but choreographer Thomas (Cassel) sees her as the White Swan, and not the Black Swan. She is awarded the lead anyway. One would not normally think of a ballet story as a horror story, but there is some horror in here. Ouch! Also, those who normally do not like ballet and who would never watch a ballet story would probably watch this one because they know they would only see snippets of dance in here; and also because of the intensity of Nina throughout and her drive toward perfection. But, One would believe that winning the role of a lifetime would bring huge smile to Nina's face and it did .for one minute. When Nina, happily crying and smiling, calls her mother and tells her: He picked me, Mommy, I would have given Portman the Oscar for that scene alone. That was pure gold. It was the only touching moment in this story. For the rest of the time we watch a never-smiling Nina struggle with her overprotective mother, her inhibitions particularly towards sex, friends, and not being perfect enough. At times, we in the audience, had a tough time realizing what was happening in real time with the sexual fantasies and hallucinations Nina conjured up. Even she believed some things were very real – as did we. This reminded me of those imaginary friends some writers like to bring in to confuse the audience (read me).When Thomas kept saying to Nina to let go, have some fun with the dance, never once did he tell her to smile. That, for me,would have helped, but it wasn't in the script. Pity. If this were, indeed, a true story I suppose volumes would be written as to why Thomas picked Nina when he believed she didn't feel the part of the Black Swan. But, hey, this is fiction. The way ballet dancers primp and prime themselves reminded me the way thoroughbred horses are cared for. There are similarities, but the dancers must do all themselves. Were the split toes, webbed feet, cuts and stems of wings in the flesh real or were they also a part of Nina's hallucinations? We will never know. Production wise, this was a complete success. The camera work,direction, dancing, dialogue, editing, pacing, cinematography and yes, the CGI (What? You didn't think you would see CGI in a ballet story? Where do you think those black wings came from?) and the supporting cast were all excellent. But, make no mistake, this was also a dark production with some horror thrown in. Yes, I jumped several times as I didn't expect horror in a ballet story. Who would?But, the question for us is: Did WE care for Nina? Yes, we did because we always care for and feel the pain of someone who wants to be the best, and. um okay.strives to be perfect. If you keep in mind that Nina considers herself THE BLACK SWAN you will understand all. And, finally a somewhat smiling, perfect Black Swan.Violence; Yes. Sex: Yes, there is a lesbian scene. Nudity: No. Language: Yes. Also included are graphic sex terms.",9,1,2,3 April 2011
Changeling," Powerful
","Christine Collins' (Jolie) son, Walter, is missing, feared kidnapped, and when the police return her son to her, she sees the boy is not Walter. This is a true story. And, for such a true story back there in 1928, where was this story before? How many other stories are hidden from us that show police corruption and complete disregard for citizens rights? As you go on in this story you will see that one person can make a difference and affect the necessary changes to correct to something we thought was there all along.Angelina Jolie plays the part of the wronged mother to perfection and her nomination of Best Actress was well deserved. John Malkovich is, well, John Malkovich and his very name is synonymous with the definition of perfection. Jeffrey Donovan is a new comer who has his own TV show, Burn Notice, and did an excellent job. He sometimes let a little Scottish accent creep into his dialogue, and I liked that. In the story Christine plays a telephone operator supervisor and that was the first time I ever saw or even heard of those supervisors using roller skates to roll up and down the long line of the regular telephone operators. Imagine what the first job interview must have been like - Q: Can you roller skate? A: What? I thought this was a telephone jobÂ…Â…The movie is a little too long with too many anti-climatic moments Â– when you think it's over, it's not. But, seeing as this is a true story we need to see it to the end regardless of its length. This could very well have been nominated for Best Picture. Clint Eastwood is a Master Director. Violence: Yes. Sex: No. Nudity: No. Language: Yes, some not much.",8,2,4,28 February 2009
Men in Black 3," Well Worth the Wait. Kudos
","The MIB team is again in the process of saving the earth from alien invasion, but this time Agent J (Will Smith) needs to go back in time - 1969 - to prevent Agent K (Tommy Lee Jones) from being assassinated by Boris the Animal (Jemaine Clement). This was definitely worth the wait. We see excellent CGI with aliens interacting nice with each other and with humans, but we also see the bad CGI aliens fighting with humans; There were good acting performances all around, and a lot of comedy within smart dialogue. A nice touch in the beginning was when there was a moment of silence and a sort of (read: really bad) eulogy by Agent K for the former head of MIB, Zed (Rip Torn), who had passed away. Zed's replacement is Agent O (Emma Thompson). We are not sure why Rip Torn was not in this movie. A younger Agent K - back in 1969 - is played by Josh Brolin who steals the show, and nails Tommy Lee Jones' voice and cadence. That combination helps put this MIB (better than MIB 2 and on a par with the first MIB) over the top. Kudos. Now for the question you may have: why didn't Agent J see himself when he went back to 1969. Well, that was 43-yrs ago and Agent J was either a kid or wasn't born yet. See?We get a good script, plausible story, some good comedic lines, as well as some philosophical discussion when Griffin (Michael Stuhlbarj) comes on the scene with his predictions of what is about to happen. Griffin lives in all 5-dimensions and sees all possibilities and the outcomes of all realities (Yes, he has that Robins Williams look about him). He can transcend time as he appears in 1969 and in the present. We may learn more about him in future MIBs. BTW: when is the next one?Violence: Yes. Sex: No. Nudity: No. Language: Soft stuff and not much of it. Rating: A",10,2,5,2 December 2012
Frost_Nixon," This is a big deal
","David Frost (Sheen) interviews former President Richard Nixon (Langella) to get Nixon to admit to wrongdoing and a cover-up in the Watergate Scandal.Two lost men: Frost and Nixon. Frost was lost because he thought he would make a name for himself by the interview and had a lot of trouble getting financial backing and some of his shows were pulled. He was at his wits end until he decided to fund the project himself and then later syndicate it. Nixon was lost because he did the unthinkable: resigned the presidency and that was tough to live with. Then comes this showman Frost who wants an interview and for Nixon to admit to wrongdoing and a cover-up. If he admits to that, he would compound his guilt and be forever lost. He was hoping the interview would get him some credibility, sympathy , and perhaps some understanding from the American people of why he acted the way he did. What keeps this movie engaging are the behind the scenes deals going on before and during the interview. These are things the public is not privy to and when they involve a president of the United States the public stays tuned in. Inquiring minds, you see.From a historical point of view this is a big deal. How big a deal will be told by historians way down the road. But, we don't have to wait for them. It's a big deal now. Langella steals every scene and rightly so. He is a presence. After a while watching the interviews, especially the last one I never saw Langella, I saw Nixon. I never saw the actual TV broadcast of the interviews and I don't think I need to. Langella captured Nixon perfectly and I came away with the feeling that others watching also didn't want to hit a man when he's down. So maybe Nixon did come away with some of that understanding mentioned above, but he would always be forever lost and he understood that. Langella was nominated for Best Actor and should have gotten it. Ron Howard was nominated for Best Director. Didn't win. And, Frost Nixon was nominated for Best Adapted Screenplay. Also didn't win. The production was good, the acting and dialogue by all was also good, but it was Langella who makes all this work. Most of us know the outcome but it's in the telling that people should see this. That and Frank Langella's portrayal of Richard Nixon. Two Lost Men: Frost and Nixon. One wins and the other remains forever lost. Very sad.Violence: No. Sex: No. Nudity: No. Language: Yes, some not much, but one big F-bomb by Langella.",9,2,5,31 May 2009
