movie_title,title,review,rating,helpful,total,date
The Devil's Advocate," Diabolical
","This movie begins with a talented criminal lawyer named 'Kevin Lomax' (Keanu Reeves) defending an accused child molester in a Florida courtroom. Although he becomes convinced that his client is guilty he decides to win the case in spite of it all. After he does a man from a law firm in New York appears and offers him a deal to go there and assist them in selecting a jury for a specific trial. When the jury votes to acquit he is then invited to meet the man who owns the law firm who goes by the name of 'John Milton' (Al Pacino). But just as Kevin Lomax is no ordinary lawyer, John Milton is no ordinary man--and he has a deal for Kevin that is extremely tempting. Now rather than reveal any more I will just say that I thought this was an exciting movie for the most part with good performances from Keanu Reeves, Al Pacino, Charlize Theron (as 'Mary Ann Lomax') and Connie Nielsen ('Christabella Andreoli'). However, there were some parts which could have used some improvement along with the ending which seemed a bit too convenient in my opinion. Additionally, there was quite a bit of profanity and nudity which some viewers might need to know beforehand as well. Even so, I enjoyed this film and I have rated it accordingly. Above average.",7,0,1,7 February 2017
Moneyball," A Good Baseball Story
","I've always been partial to a good baseball movie and this one certainly fits that category. Essentially, this story is about a small-market team (the Oakland Athletics) which cannot compete with teams like the New York Yankees who are willing to spend hundreds of millions of dollars on the best players around. Recognizing this the general manager, 'Billy Beane' (Brad Pitt) hires an unknown adviser named 'Peter Brand' (Jonah Hill) from the Cleveland Indians who specializes on finding undervalued talent. Against severe criticism from his scouts and coaching staff they deliberately bypass well known players in search of inexpensive athletes who have been largely overlooked in the process. At any rate, rather than give the story away I will just say that this film does a fine job in showcasing the risk that Billy Beane took to stay competitive. I thought both Brad Pitt and Jonah Hill did excellent jobs in their respective roles. However, I would have liked to have seen more baseball and less of the personal drama in Billy Beane's life as it took away from the overall feel of the movie. But in any case this was a good movie that should appeal to those who like a good baseball story.",6,0,0,17 January 2013
Whip It," Lost Its Focus
","All of her life 'Bliss Cavendar' (Ellen Page) has been pressured by her strong-willed mother to be a beauty pageant winner. She pretty much accepts this primarily because she doesn't really have any other options. Then one day she sees a roller derby game and suddenly knows what she wants to do and subsequently tries out for a team—and makes it. From then on she secretly devotes herself solely to the game and to her new boyfriend 'Oliver' (Landon Pigg). Now rather than reveal any more of this movie and risk spoiling it for those who haven't seen it I will just say that what starts out with good doses of comedy and action suddenly morphs into a drama (around the midway point) and it's at this time that the film lost its focus and cutting edge. Additionally, although Kristen Wigg (as 'Maggie Mayhem') seemed to breathe some life into this movie, her comedic talents weren't utilized nearly enough. Same thing with Ari Graynor ('Eva Destruction'). In summation, this movie had some good potential but the director (Drew Barrymore) failed to take advantage of it and as a result I rate it as only average.",5,2,4,21 August 2015
The Avengers," Extremely Uneven
","This is one of those movies that has both good points and bad points. For starters, I thought 'Iron Man' (Robert Downey Jr.) and 'the Hulk' (Mark Ruffalo) were absolutely sensational. Likewise, most of the other characters were well played too. On the flip-side though the introduction of 'Hawkeye' (Jeremy Renner) was terribly planned and presented. Not only was the character development badly mishandled but the fact that this person got so much screen time when there were others with much better credentials just boggles the mind. Not only that but his costume-or basic lack thereof-also stuck out like a sore thumb. Additionally, although I liked the CGI I thought it and the non-stop action were just too overwhelming. Even more important was the fact that there were too many characters and not enough film to go around between them. This made the film look extremely uneven. Too many cooks do indeed spoil the soup. Be that as it may, this movie should have been very good but in all frankness it turned out to be a jumbled mess. All things considered then I think the really good points were dragged down by the lack of direction which resulted in a very mediocre film. Accordingly, I rate it as only average.",5,4,9,24 December 2013
Angels & Demons," A Secret Society with a Devilish Plan
","This film essentially begins in at a Swiss laboratory with scientists producing three canister of the highly explosive compound known as anti-matter. Not long afterward, however, one of the scientists is murdered and a canister is stolen. Meanwhile, in Rome, it is reported that Pope Pius XVI has died and upon his burial a papal conclave gathers to select a new one. But just prior to this solemn event, four of the most influential cardinals are kidnapped with clues pointing to a secret organization known as the Illuminati as the likely suspect-and their plan is to destroy the Vatican using the stolen canister of anti-matter. To prevent this the Vatican sends a secret envoy to Harvard to enlist the help of 'Professor Robert Langdon' (Tom Hanks) who specializes in ancient symbology and might be able to decipher some of the clues left behind by the Illuminati. Now rather than reveal any more I will just say that, although this sequel to 'The Da Vinci Code' had more action, the conspiracy theories were even more absurd than in the original film and this tended to weaken the overall story rather than strengthening it. That being said, while this wasn't a terrible film by any means, it wasn't something a person could take seriously and for that reason I have rated it accordingly. Average.",5,0,1,14 November 2019
The Monuments Men," Art for Art's Sake
","Due to the initial success of the Nazi war effort in France, Poland and other European countries certain art enthusiasts get together and offer a plan to the President of the United States to build a small military unit to go to the front lines and recover all of the valuable paintings and sculptures they can before they are shipped off to Germany. Naturally, with the overall victory over Germany and Italy still in doubt there aren't many resources available to them and the task at hand is extremely dangerous as well. However, their efforts are rewarded to a certain degree when a man named 'Frank Stokes' (George Clooney) is given the authority to assemble a squad to carry out the mission. To that effect, he gathers various art collectors and enthusiasts that he can trust and together they venture into France, Belgium and even Germany in order to acquire the treasures before the Germans can hide or destroy them. Now rather than reveal any more I will just say that this was an interesting film in large part because it was based on a true story. Having said that, however, I must admit that there were some scenes that seemed a bit contrived and unrealistic. Be that as it may, that's not to say that I necessarily disliked this film and all things considered I have rated it accordingly. Slightly above average.",6,1,2,5 November 2017
Mission: Impossible III," An Unlucky Rabbit's Foot
","Even though he is retired from actual field work, 'Ethan Hunt' (Tom Cruise) is asked to join an IMF team on a mission to rescue a colleague named 'Lindsey Farris' (Keri Russell) who has been kidnapped by an international arms dealer by the name of 'Owen Davian' (Philip Seymour Hoffman). At first the mission is a great success as they not only extricate Lindsey but also take a couple of badly damaged laptops with them as well. Unfortunately, Lindsey dies not long afterward due to a small explosive device implanted in her brain and there is some doubt as to whether the IMF will be able to retrieve any information on the laptops. Needless to say, the IMF director 'Theodore Brassel' (Laurence Fishburne) is not very happy with the outcome and lets all of the agents involved in the mission know about it. Fortunately, one small piece of information is gleaned from the corrupted disk drive on one of the laptops which reveals that Owen is scheduled for a meeting in Rome and it's at this time that a top-secret mission is launched to capture him alive. However, what Ethan doesn't realize is that there is a traitor within the IMF organization and things are going to become exceedingly difficult for him not long afterward. Now rather than reveal any more I will just say that this turned out to be an exciting film with plenty of action and suspense all the way through. Tom Cruise gave an excellent performance and having three beautiful actresses in Michelle Monaghan (as 'Julia'), Maggie Q ('Zhen Lei') and the aforementioned Keri Russell certainly didn't hurt. In short, I thought this was an entertaining movie and I have rated it accordingly. Above average.",7,1,1,9 February 2017
Lucky Number Slevin," The Kansas City Shuffle
","A new criminal organization has decided to move into New York City. When they discover that a horse has been doped without their knowledge or permission they decide to set an example by killing everyone who knew about it. Fast forward about 20 years and a young man on his way back to New York City is killed by an assassin utilizing a version of 'the Kansas City Shuffle'. In other words, he gets the victim to look one way while he is coming from another direction. The thing about this maneuver is that it can happen to anybody. That said, this movie will take you in all kinds of directions and just when you think you understand what is going on something else transpires that changes everything. And while there were several big name actors involved in this movie, I thought Josh Hartnett ('Sleven Kelevra'), Morgan Freeman ('The Boss') and to a lesser extent Lucy Liu ('Lindsey') really stood out the most. Definitely worth a look if you enjoy a good crime-drama-mystery type of film. But just remember, the 'Kansas City Shuffle' can happen to anybody.",7,0,1,22 January 2013
The Equalizer," The Vigilante Versus the Russian Mob
","'Robert McCall' (Denzel Washington) is a mild-mannered clerk who works at a home improvement store during the day and frequents a quiet diner to read a book at night. Although they are not friends he sometimes talks to a young prostitute named 'Alina' (Chloe Grace Moretz) who takes a casual interest in some of the books he reads. One night he notices that she has a black eye and decides to walk with her a little bit and provide her whatever advice he can offer. Suddenly a car comes out of nowhere and two men get out and order her to get inside. Since she refuses Robert's help he watches as she gets in the car and the men drive off. A day or two later he is told that she is in the intensive care unit where she is recovering from a severe beating. He then decides to visit the establishment where the two men work and it's at this point that things become really interesting. Now, although this movie apparently suffers from mixed reviews, I personally thought that it was rather good. I especially liked the 'vigilante versus the Russian mob' storyline and the excellent performance of Denzel Washington. In any case, although some scenes were clearly a bit unrealistic I still enjoyed this movie and I have rated it accordingly.",8,0,3,29 March 2015
Source Code," Manages to Entertain All the Way Through
","'Captain Colter Stevens' (Jake Gyllenhaal) is a helicopter pilot who finds himself on a train under another person's identity by the name of 'Sean Fentress' and he is looking for a person who has already blown it up. If that isn't strange enough, he also has only 8 minutes to find the man responsible, otherwise he has to go back and search again in order to stop a 'dirty bomb' from exploding in downtown Chicago. Now, while all of this might sound confusing, the different scenarios actually dovetail into a very imaginative film. Jake Gyllenhaal turns in a fine performance as does Michelle Monaghan as his female friend 'Christina Warren'. And while there isn't much action and the suspense is low-key for the most part, this movie still manages to entertain all the way through. All things considered then, I thought this was a very enjoyable film and I have rated it accordingly. Above average.",7,1,3,3 March 2013
