movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Look Great!
","It's been a long time since I saw such a great movie. The two starring actors are actors I particularly like. The characters portrayed by Bell are so good. The characters stand up soon after appearance. The look, tone, acting skills are really explosive, and Matt is also very good. I guess it is a change in history. I guess Bell will die, but I do n't know when it is, so I watched in the second half. I was afraid he would hang up without paying attention. Fortunately, after running the game, although it was best to compromise, it was also very good. His wife said that he had matured, and the carnival before he slowed down was probably the last time he was presumptuous before he matured. At that time, I believe he knew the pressure of his life and his wife and children to raise. Enjoyed great glory and became a great driver, but he still chose to do his duty as an ordinary father and husband, keep the job and support his family. Although he was put together in the end and did not win the championship, it didn't matter, at least all Everyone knows that he is the first. A person who does n't like the racing theme very much, it looks good, looks good, looks good!",9,1,2,1 April 2020
Blade Runner 2049," The warmth of the soul
","Blade Runner 2049 is a continuation of the original in my heart, but it is a deeper one. It will be full of details and humanity that have not been flashed underground. It is more silent than a strong and straightforward science fiction scene. Department's discussion of thought and true self. The reason why the Blade Runner is known as the ancestor of Cyberpunk is actually not very clear to me. On the surface, the Blade Runner 's architecture was inseparable from the beginning, but unexpectedly and clearly extended the depth of thinking and creation: fine The 'future' sci-fi scene that is long, deep and unextensive, but ubiquitous. Compared with the rigid and direct display of the entire setting and the grand world view, the Blade Runner is like a monologue at the end of the film. It is a big The background story is a thin link, and this story is the corner of the torn page in this photo of 'Future'. Through the patchwork of details and scenes, we can find the blurry image of the entire future world. There is a beauty that wither itself. . Unlike the ordinary 'floating day', the microscopic is essentially a complete and scalable image of fullness, but the prospect story of the Blade Runner is probably rudely cut off from the universe due to cost issues and shelved. Reflecting the resonance of the inside and outside world is the monologue in the rain, which is broken and complicated:'I've seen things that you humans can't believe. I have witnessed the battleship burning at the end of the constellation Orion. I watched the C-rays shining in the darkness near the Don Wyeth gate. All these moments ... will end with time Fading away, just like ... Tears disappeared in the rain. 'This paragraph is not bad when it comes to emotionally clarifying the human nature and thinking. After reading several translated versions of the monologue, I have to insert a blade runner and translate it into a silver wing killer. The translation is really affecting people's feelings. In Taylor RFI, the translation of 'Everybody knows that my love dies in the heart of contrasts' is totally worth the money back to the album ... On the other hand, the memories of ROI also make a color fill for the outside world, despite the war Other than this corner, the space is still blank, but at least the world view is at least consciously connected with the whole story to form a thread. In addition to the hard sci-fi aspect of the world view, the Blade Runner preliminarily conveyed through 'De Card's pursuit of bionics and love for Rachel' that 'machine life is essentially no different from humans'. Decader and Rachel have humanity and love, and can correctly perceive all the meaning brought by affection and time. Ridley Scott 's style is fusion and remodeling. The corners are rough but cannot change the madness of the core of the science fiction story. Although weirdly born in the crowd of people, the simplicity ca n't hide this exchange of thinking perspectives. The subtlety of unity.The surpassing of 2049 is not to further promote the world view and story plot. After all, in fact, the story script is bound to the bionic man K and it is a sequel. It is difficult to escape from the entrapment and shackles of the original Blade Runner original. The road is fully paved. Waiting for choice, it is reasonable for most of the sequels to be difficult to surpass the original. Science fiction is largely based on photography technology. The color and light sense are successively rotated in turn. Under the large scene, everything is like a poem without words, written by the wild. There is no science fiction story's most common desire and youthful warmth. In the final analysis, the second most touching part is its romance, hope, and self-seeking. This is a downright tragedy, but at the same time it really puts soft science fiction in The thinking of philosophical and human relations is rendered to the extreme of true feelings.The first soundtrack in 2049 is 'Almost Human', the word Almost itself is a torrential rain, with a regretful temperature. The bionic man K and the virtual intelligent girlfriend Joi at the core of the story are another way of confirming the view that 'bionic people and people are really the same'. Compared with Dekad and Rachel who have firmly believed that they are human from the beginning of birth, The tragic colors and struggling traces on K and Joi are more obvious. A bionic person who thinks he is just a fake, a body that even entrusts himself with nowhere to look for. Joi is a broken neon in the virtual world that can be played by everyone. Ownership of all people occupies her and makes her extinguish, but this false emotion is forged by her, and even becomes the leader of all K's feelings and life. Believe it, the illusory heat and temperature when the steel body and the fluorescence touch each other will not make people sleep. K ... K's story is nothing to tell. His struggle is like chasing the sun on the wasteland. 'Covering the mountain, I found that the other side of the mountain is still the mountain.' Human nature burned more than fire in the steel body, hoping to burst, K's relief and exhaustion when he fell into the snow like a bird fell to the sea, pure white is the cold reverberation , Covering his monologue, and also giving him the echo of this world, struggling or falling, belief may be broken, but he poured all the regrets and shortcomings in the movie with heavy emotions, it is simply shocking to send out Sound.",8,1,6,4 April 2020
First Man," Make a biographical film into an author's film
","To say why 'First Man' inspired my desire to express so much, it should be because this movie allows me to enjoy the ample fun of interpreting the movie.
After watching the movie, I wiped out very emotional tears, and quickly hit the five stars. First of all, this film really touched me on the emotional level. Two nights after watching the movie, I turned over and over in bed to think about every plot and every shot to understand what the director wanted to express, and I think I got a more self-consistent logic. I found a sufficient reason for my touching.
In short, this is not my first attempt to decipher the hidden password in the movie, but this is my first strong urge to write something.
In the play-focus on the individual's heart from the background of the grand story
The outline said that the movie watching experience when watching 'First Man' reminded me of Rome. Both are focused on an individual in a macro era environment. The main line of 'First Man' is about the story of landing on the moon, but the difference is whether it is 'the story of the first man on the moon' or 'the story of this man on the moon.' The film obviously pays more attention to this individual and tries to ignore the entire human Category. For this reason, the film shows a lot of family dramas that have nothing to do with landing on the moon.
When it comes to family, it involves a theme of death in the film. The death of the daughter is crucial here. This is the beginning of Neal 's estrangement from the family and the world. In fact, he is indulging in a sense of absence. This feeling runs through the whole film, and the clues of the daughter have been embellished in the film, including the daughter The chain, seeing the swings that I knew before, and most obviously Neil stared at her daughter 's bed many times, and often dreamed that her daughter was beside him. Later, his colleagues' deaths also affected him to varying degrees. The key is that the deaths in the whole film also helped Neil step on the moon landing step by step, so the moon landing became Neil's A journey of mourning with death as a stake.
In the end, he landed on the moon, which is the most important scene in the film and the closing of the theme of death. The camera circled 360 degrees around Neil's endless void, the white and cold everything on the moon. At this time, he stood in front of a huge pit, just like the beginning of the film he looked at his daughter's tomb slowly, Tossed off her daughter's bracelet and gave it back to her, completing her final tribute to her.
Listen to it-Focus on the enclosed cabin environment from the infinite exploratory universe
In the movies of space, the display of outer space and spacecraft is often the spectacle itself, which is the selling point. In 'First Man', we can hardly see the magnificent landscape. The director used his unique set of audio-visual systems to try to go Wonderful space movie shooting.",7,0,0,3 April 2020
Vertigo," Fate
","Hitchcock completely subverted the narrative core of the two parts of the film, and the protagonist also changed from a woman who fled with money to a man who killed the woman. In this film, the eyes of the first half of the audience followed the male lead Ferguson to witness the strange behavior and traces of the female host Mullen after being 'possessed'. And as Mullen jumped down on the top of the tower, was judged to commit suicide, Mullen 's husband got the legacy, Ferguson who fell in love with Mullen was desperate, and as a witness confirmed that Mullen committed suicide by jumping off the building, everything seemed to follow The development of traditional film noir. Ferguson should find himself being used by his former classmates, using his fear of heights to help his classmates complete evil plans, and then he will have to work hard to find evidence and truth and bring the former classmates to justice. But Hitchcock did not use this hand-to-catch routine, but instead changed the audience's perspective from the male host to the female host, as he did in 'The Horror,' and the replacement bridge was love. So in the second half came a story of love tragedy (destiny) dedicated to love.It was Mullen who died in the jump, but she was already dead. Her body was thrown away by Judy, who pretended to be Mullen, and Ferguson, an old classmate who had been waiting on the roof of the building. The fearful Ferguson had already turned the truth away, so he took the illusion as the truth and blamed himself. Judy pretends to be Mullen to implement the plan only to get some money and a necklace, but the plan cannot keep up with the changes. When she fell in love with Ferguson, she was destined to never change back to herself. She dressed herself as Mullen at the request of Ferguson. She loved Ferguson, but Ferguson loved Mullen. Judy had to wear a mask to get along with the beloved Ferguson and had to live in the shadow of a dead woman. The movie at this time has completely entered the love story. Until the necklace worn by Judy exposed the feet of the horse, Ferguson took Judy up the clock tower again, and dismantled the conspiracy. Eventually, Judy was frightened by the sudden appearance of a nun who appeared on the side and fell to the building. Lun formed a fatal agreement, and Ferguson looked at Judy's body from the clock tower, as if he had cured his fear of heights. At this point, a series of elements that should have been the biggest suspense have been eliminated as to whether Ferguson 's old classmates have been punished by law, how Mullen was killed by her husband, and so on. Hitchcock turned the suspense movie into a love movie by changing the role perspective and narrative core, and used love to punish Judy and cure Ferguson.",8,0,0,26 April 2020
Come and See," just so so
","No effort.
It is one of the rare movies, and I remember its ending frustrated me.",8,0,0,10 May 2020
Scarface," What is the peace that the gang seeks?
","Al Pacino is a good actor, this is undoubtedly, but in this movie, I feel a little bit, I did not know where I saw a sentence before, saying that the real Italian gangster does not agree with Al Pacino From the point of view of acting, I am also a layman. I just feel that the self-expression in the film is a bit awkward. It may be related to the role, but not to the acting skills. The Cuban gangster is not the Italian gangster. I think another gangster actor is very natural and unintentional. By the way, when Al Pacino killed the boss, the last younger brother asked if he needed work. The actor's performance, the expression was really too good, and one thought that he was going to die, and then not only died but also got a job, that kind of sad feeling made people funny and sympatheticCuba 's exile of so many prisoners and refugees to the United States was heard in Luo Ji thinking before. I think every major event in history can make a movie, and it 's a different angle, such as this Department, in fact, he did not focus on describing this event, but put it in a specific personal perspective. I think he can be not Cuban, Colombian, Italian or other. Such a movie allows our audience to From the perspective of a gangster, if a person chooses to commit crime, what will his future be, and what will his life experience? When I first started watching, I was particularly worried about him. I was afraid that he would be caught by the police and afraid that he would not be able to move on. After seeing it, I realized that in fact, the director still has private goods. The criminal 's life will not have a good result. No matter what he has, his heart can never be calm, even if it can be superficial, maybe they will say something Moral conscience? Let 's go to hell, I just want to enjoy the moment, all I want is money, but when he sees his wife and children sitting in a bomb-loaded car, when he sees his brother who is close to him, and his sister, He will definitely understand that he is a gangster, he cannot do things without a lower limit, and he must not let his bloody hands touch his purest person.As a gangster movie, I saw the shadow of Martin Scorsese. The film was almost three hours long. There were no prominent villains or distinctive decents. Some were just cruel reality. Most of the time Alpacino was always one. In the image of paranoid, he will never be satisfied and never trust. What is he pursuing? I think the life he wants to pursue will never be possible, because he has embarked on a path of no return, he has no chance to choose a different life, so when he sees his sister walking into the ballroom, it must be very Sad, so when my mother scolded him, he accepted it all. Although he was angry, he didn't retreat. The director beat the audience from the side. Don't think that the dark spots are cool, don't think you are invincible, let alone do A bad guy, finally Al Pacino fell in the pool of blood. I think that moment is the tranquility he is after.",8,0,0,1 May 2020
Howl's Moving Castle," Romantic touching magic love story
","The best thing about this anime is to express anti-war with pure love magic love story! It was quite heartbreaking to watch, watching them carefully protect their love and small home in the war-torn days. Fortunately, the ending is perfect, the war has subsided, love has been fulfilled, and the new home has become more beautiful and warm.",9,0,0,26 March 2020
Requiem for a Dream," Personal perception
","To the extreme, it is the most direct feeling after watching the movie. The twigs and branches of loneliness and desire closely intertwined the characters in the play. In addition to eating, her mother only had to chat on TV to comfort her. The sudden notice became a ray of light in her darkness, which pushed her deep into her heart and revealed her morbidity. After taking drugs, the mother wore a fisheye lens in a red dress and lipstick, shaking the magic, like a poppy flower swaying before the audience years ago. The real magic may be the refrigerator that was always thought to be blown, and it will only be destroyed by a sound.
Throwing away the coat of funeral, the film gave me a new 'experience' of drugs. I do n't think depression or nausea are enough to accurately explain the 'chic' of the film. It is more like a natural disgust and rejection after investigation. A series of shots such as drug powder, injection, pupil dilation, etc., the corresponding blood veins, manic anxiety and even unscrupulous means allow viewers to experience the dizziness, despair and hysteria directly through rapid editing and soundtrack. Behind the unusual editing and dazed soundtrack seems to be the manipulator of the puppet, making you struggle and nervous in front of the screen. Finally, there is a kind of 'see through' and resolute resistance. Such a rich level of editing and equipment compulsively makes this 'anti-drug movie' artistically unparalleled!
After watching the movie, I have been immersed in the depression of the characters in the play. They all have good wishes, the mother's arms, their own clothing store, and their family lovers, but they all embarked on the path of destruction. Is it the necessity of drugs? I do n't think so. I think the director wanted to insinuate a whole morbidity and frustration. After drug use, they started to have a bit of 'enjoyment' and 'satisfaction', which was beyond ordinary feelings, because maybe they had Happy satiety and sense of attainment. Mental barrenness and lesions are silent but pervasive in every cubic air of breath. As the medical staff at the end feeds the mother but discusses the winning or losing of gambling, perhaps the overall morbidity is more terrifying than the actual flu and the machine is lethal.",8,0,0,27 April 2020
Your Name.," Your first name, my last name
","Through the setting, the movie had an explanation at the beginning. The memory after traversing decreases sharply with time, as the movie says most of the time, it can be understood as a dream. We have all experienced how many things we can remember when we wake up are completely uncertain events; and the more you want to remember something, the more you cannot remember it.Xinhaicheng is very good at painting empty mirrors of 'urban landscapes'. 'Your Name', crowds in subway stations, trams staggered, empty street corners at dusk, white-collar workers buying cigarettes in convenience stores, these seemingly meaningless empty mirrors in the development of the main storyline have always been Xinhaicheng animations s Mark.Exploring urban people's 'hope': Contrary to 'spatially close, unable to change spiritual alienation, unable to lift people's loneliness', this kind of hope emphasizes that 'spatially far away can't block spiritual intimacy , Can not cut off the bond between people. 'I ask if one day you have no chat history and contact information with TA, will you still remember everything about the other party? Or think empathically, if it were you, what information would you remember?The intersection of people and people can only be captured in reality, but the relationship between people, put in the world and the coordinates of space and time, is more than life and death.Finally, in the end, may a person in this world like you in a way you do n't know or know.",8,0,0,13 April 2020
Raiders of the Lost Ark," The story of Dr. Jones looking for the Ark
","Dr. Jones has a well-known name in the archaeological world and can always complete archaeological missions with his own wisdom and skill. Dr. Jones even often goes deep into the caverns of many institutions, and has experienced difficulties such as ant nests, snakes, spiders, enemies, and even the betrayal of his peers. During World War II, Hitler enlisted archaeologists from all over the world to look for the 'lost ark', hoping to protect the Nazi army. Dr. Indiana Jones accepted the commission of the National Security Agency and decided to get the ark before the Nazis and then brought it back to the museum.Dr. Jones came to Nepal and found Lisa Wood, the daughter of her master. Lisa had a copper pendant on her body, which was one of the most important tools for finding the Ark. The two had a relationship before. At one time, Lisa hated Jones very much. Now the two are back together and started hand in hand. Of course, some Nazis wanted this bronze medal, but they didn't succeed. Jones took Lisa to a friend's house to find out more information. Here, Lisa was kidnapped by Nazis on the street, Lisa's car was burnt down, Jones once thought Lisa was dead, and she was sad for a while. This was a very exciting chase scene. Jones found his old rival Dr. John, and John had turned to the Nazis.But Dr. Jones will not give up, especially when he has not completed the task. Jones and friends came to the site where the Nazis excavated the Ark. Many antiquities had already appeared, but the Ark had not yet fallen. Based on his knowledge and wisdom, Jones judged the location of the ark, then went deep into the enemy camp and found the ark around a group of vipers. Even if Dr. Jones hated and feared the snake most, he had a way. Here, Jones discovered that Lisa was not dead. Soon, the Nazis discovered Dr. Jones, and the doctor's ark was taken away. Both Lisa and Jones were thrown underneath, surrounded by vipers. The wise Dr. Jones took Lisa to escape again, and the brave Dr. Jones wrestled with the Nazis. He even snatched the car from the opponent and finally recaptured the ark. Just on the steamer going to Britain, the Nazis recaptured the ark and captured Lisa.Dr. Jones went to the Tiger Cave in Longtan again to rescue Lisa and search for the Ark. This time, Dr. Jones was arrested again. Dr. John decided to wait for someone to inspect the goods before sending the ark to Berlin. Just after the ark opened, Dr. John and all Nazi soldiers were killed, and the ark radiated great light and heat. Jones and Lisa escaped with their eyes closed, and then brought the Ark back to the United States to complete the mission successfully.",8,0,0,22 April 2020
