movie_title,title,review,rating,helpful,total,date
The Double Life of Véronique," Not the greatest, but still very good
","I know that this film is considered to be the highest achievement of Kislowski, and yet I have to admit that this is not so. The idea is neat - there are two ladies, Weronika in Poland and Veronique in France, both played by excellent Irene Jacob, they meet only once and still just see each other in Krakow during the anti-Communist strike of 1990. Weronika the Pole is a great opera style singer, though she never studied this seriously before, she misses her Mom and comes to Krakow to her drinking Auntie. There, she gets attention and accepts the invitation to sing in serious concerts. But she is deadly ill and dies suddenly during her debut. Veronique lives in France, she is a teacher, she is quite happy with her love life, her relatives and her hobbies. Anyway, this is where the extreme boredom creeps in, while you are through the French part of the film. I am sorry for all those who love the film, but the excellent tempo and impeccable style start to evaporate at about last 40 minutes of the film, and then you only plead yourself to watch it till the end. Good film indeed, all made in honey yellow amber color tones and full of sudden and subtle details - creeping old grannies, shambles on the background and peeling walls. Cool and deep work.",7,3,9,14 September 2006
Black Swan," Awful Mess
","I hated every single minute of this torturous endless take on ballet, gossips, hate, split personality, scheming,sexual innuendos,dull music, vague plot, predictable twists, extremely bad choice of color scheme and very silly ending. Well, that seems to be a sum of all evil in that Aronofsky's horrible movie, that is very slow, pathetic, never engaging, never thrilling and never convincing. It does not persuade to go and watch ballet, or try to perceive Swan Lake better. Nay, in fact, thyme filmmakers killed any hint of interest to this. This boggy plodding mess is not a decent take on mental disease, either. It does not provide any deep picture or awake any sympathy to any of the heroes. In fact, it is so cold, detached, distanced and bleak that all the possible attempt to like ballet will die immediately. Waste of time, and all the parts are very weak too - neither Portman, nor Kassel, Ryder, Kunis or else did anything to get us involved. It is so vapid and dry that next idea would be to get and watch some light-weight comedy or something",1,6,10,10 August 2014
Come and See," Honest Depiction Of The Brutality Of War
","Filmed by Elem KLimov in 1985, Come And See remains of The most brutally honest, chilling, deeply disturbing, awfully realistic war epics depicting the massacre of Belarus village by Nazi soldiers, along with all the civilians in a barn. What makes it even more brutal and shocking is that fact that the whole film is shown as if throught the eyes of a young boy Flyora, a partisan, who witnesses unbearable wanton brutality, survives and becomes deeply traumatized by this.
This is a very timeless film which sends one message - War is all evil, it is never fun or funride. It is woe, weeping, wildness and blood.",10,1,1,11 February 2018
Frost_Nixon," Very Compelling, Though Not Perfect
","Ron Howard made no easy feat - to portray a seminal Forst / Nixon's 1977 Interviews wasa real ordeal. To depict such a deep, difficult, traduced, much maligned and very multi-faceted man as Richard Nixon was, is never a very sweet job. Oliver Stone did a huge task with his awesome 1995 movie, with powerful Sir Anthomy Hopkins as a main part. 
Here, Howard used the obvious talents of such giants as Frank Langella as Richard Nixon, Michael Sheen as David Frost, Kevin Bacon as Jack Brennan, Oliver Platt as Bob Zelnick, Sam Rockwell as James Reston Jr., Matthew Macfadyen as John Birt., Rebecca Hall as Caroline Cushing, Patty McCormack as Pat Nixon and Toby Jones as Swifty Lazar, among many. They certanly showed very high class and shone like real Luminaries. But yet, a very itchy question remains - was it all done right?
Well, the biggest problem is the general tonality of the movie - it is way too syrupy and way too mecriless towards great late President, the film tries too hard to persuade us what an evil lonely monster Nixon was, and how great to see him smashed and grounded. 
Oliver Stone did a far more weighed potrrayal of a tormented soul, with all his ups and downs.
The second biggest problem is shockingly Frank Langella - he is too old, too slwo, too bulky for avid, acidic, agile Nixon. The funniest fact is that Langella could have been better playing the very Leonid Brezhnev that his hero mentions so much.
To sum it up -
Fred Schwarz, writing for the conservative National Review online, said that, 'Frost/Nixon is an attempt to use history, assisted by plenty of dramatic license, to retrospectively turn a loss into a win. By all accounts, Frost/Nixon does a fine job of dramatizing the negotiations and preparation that led up to the interviews. And it's hard to imagine Frank Langella, who plays a Brezhnev-looking Nixon, giving a bad performance. Still, the movie's fundamental premise is just plain wrong.'",8,0,1,5 July 2018
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan," Shocking! Funny!!
","Well, if you think that South Park is bad, think twice. If you consider Benny Hill's jokes to be obscene, wait a bit. If you criticized Monty Python for its gross and blatant lack of political correctness, now come and taste Borat. What, you still haven't seen this yet? Borat is a brutal, absolutely limitless and endless waterfall of humor that is so cynical, so unrestrained, and so dark, that any weak-hearted person may get crazy. Borat is a Kazakhstan TV-persona (as the story goes), who lives in shockingly poor village and then is sent to the USA to 'teach Kazakh people lessons'. The whole film is a non-stop, multicolored, multi-dimensional assault of crude, vivid, cruel gags and jokes, where there is not a single topic left that is forbidden in the States. Jews, gays, Afro-Americans, patriots, Southerners, Mr. Bush, Iraqi war, disabled persons, Charismatic churches, The Baywatch  everything is mocked at with no limit and with no boundary. Borat speaks this terrible, wrong American and makes such horrible mistakes that it only multiples the effects by a mile. And it works. The film is one unstoppable burst of laughter, and the pun, the sarcasm, the irony hit the aim. Sometimes, you have to rub your eyes in utter disbelief, so hilarious it all is. Borat, in fact, is a marvelous movie equivalent of Frank Zappa with all his caustic jokes and disdain, and he is a great follower of South Park tradition where no sacred cow is left untouched. The very fact that this film is prohibited in Russia and Kazakhstan to appear on wide screens speaks tons for it. Do not watch it if you lack sense of humor or if you are painfully touchy. This is a dish not for the weak stomachs and it will feed you with thoughts and ideas to ponder for days and days.",8,1,5,8 April 2007
Sherlock Holmes: A Game of Shadows," The 1st Movie Was Better
","Well, I am bit puzzled. What can I say? Was the movie well done? Yes and no. There are certain weak parts and obvious stronger bits. Jude Law and Robert Downey Jnr both are great as Watson and Holmes, as well as Stephen Fry is a very funny Microft. But then, there are some big mistakes in casting. Noomi Rapace is The biggest blunder. She was great in The Swedish Girl Who... Trilogy, but here no. She is weak, pale, blunt, shallow and gray. The only part we remember of her? Her eating some food near The Eiffel Tower. Pity that there is no so much Rachel McAdamas this time, she was great then and good here What else can I say? The movie is well cut and shot, it is dark and ominous, as intended, and some scenes are pure Matrix-quality. But then, there are so many goofs and funny anachronisms that make the whole movie a bit unserious. My opinion? it was OK, and fun. A bit too prolonged at times.",6,9,13,10 June 2012
10 Cloverfield Lane," Sometimes Scary, Sometimes Very Slow
","I love the original 2008's Cloverfield as it is a strikingly powerful shaky camera horror-packed thriller with astounding tempo and impending doom looming over. This is a kind of sequel albeit a very distant and sometimes not at all, as much of the time this is a dense psychological thriller and not a monster attacj flick. 
What was right, was the casting of menacing John Goodman and awesome Mary Elizabeth Winstead as main parts. They do their job well, keeping this often achingly slow-pacing film somewaht feasible. 
What was wrong, was the pacing, the finalle and the whole lenghth - it could've done a way better were it shorter and faster. Thus, a good isea is somewhat marred and spoilt by a jarring slow tempo and some very wrong plot turns.
I hope the third part of Cloverfield saga would turn up better and ore consistent as this second suffers a lot from what was mentioned above.",6,0,0,6 January 2018
The Expendables 2," Big Fun, Big Action, Great Casting, Great Show
","At first, we had some reservations and some hesitations considering the second installment of the movie Expendables. Then, off we went and watched this. Almost 2 hours flew like a millisecond. Not a single frame is lost here in vain What can I say? This is a great fun, great entertainment with numerous allusions to the past movies of all the actors involved. We loved everything here - the script, the play, the action, the scenery, the music, the impeccable jokes and great humor. All the main heroes involved are cool - Stallone, Statham, Willis, Lundgren, Van Damme, Schwarzenegger all do their jobs well and entertain real much The movie is fast, furious, fun, ferocious at times, but very, very cool and very smart. All the jokes regarding past films are very nice, and the very appearance of Mr. Norris is a real center point. Excellent fun, great show",9,1,5,21 August 2012
Deepwater Horizon," Powerful Catastrophe Film
","In this age, it is not easy to create films about catastrophes, without sliding into expensive but uninteresting CGI effects, or getting cheap and nasty. Deepwater Horizon is a very fine example of exquisite balance between excellent actors' performances (Kurt Russell, John Malkovich, Mark Walberg and Kate Hudson all show definite depth and sophisticated valor, depicting their parts decently and with a great gusto) and awesome CGI effects. Without going deeper into technical details, I have to admit the film has achieved its main goal - to show true heroism, valor, valiance and also cowardice and shallowness in the wake of doom and death. Excellent depiction of Lousiana nature, exactly right balance of mundane, tragic, heroic and stupid all add certain flavor to the very tough and nutritious broth of a film. I do recommend this fast, deeply tragic, decent and sobering film to all who want to think and would like to watch something serious and thought-provoking.",9,1,3,2 October 2017
United 93," Dry And Slow
","The very topic is very thrilling and interesting. WE all were deeply shocked by those terrorist attacks in New York and DC, and we all watched frozen in horror those blood-chilling moments of crashes.The movie about United 93 could prove a real masterpiece. It is OK but still falls short of its goals. I understand that Mr. Greengrass wanted to make the whole event as authentic as possible, but in reality we needed up with extremely dry, slow, dull and boring footage of almost second-per-second depiction of events. OK, but this is a documentary film, right? I was very bored after 20 or 30 minutes and nearly made myself watch it till the end. I agree, life is not an excitement as it is shown in blockbusters, granted. But then, the filmmakers could better shoot a very accurate documentary and then get a better result. Here, we see a very bleak effort with some moments of greatness, but still are not convinced",5,0,1,21 February 2013
