movie_title,title,review,rating,helpful,total,date
The King's Speech," Colin Firth at his Oscar winning finest
","Tom Hooper's The King's Speech tells the true story of King George VI (played by Colin Firth) who as we see in the movie has a speech problem and can't deliver speeches without stammering. And so his wife Elizabeth (played by Helena Bonham Carter) takes him to speech therapy in which his therapist is a failed actor named Lionel Logue (played by Geoffrey Rush) who realizes that they need to make friends in order to have good times together during therapy even though they are exact opposites. Hooper uses a very good cast (besides Colin Firth, Geoffrey Rush, and Helena Bonham Carter.) which includes Guy Pearce as George's brother Edward, Michael Gambon who is unrecognizable as King George V, Derek Jacobi as the Archbishop, 1'and many mire. The movie is dramatic throughout most of the film but is also humorous in some scenes as well. The movie itself is well done because of how it was written and thanks to the wonderful acting and the masterful direction by Tom Hooper.",10,0,1,9 October 2014
The Mask," A hilarious superhero comedy
","Jim Carrey is one of the most gifted comedic actors of all time with some really funny performances in movies like 'Liar Liar' and 'Bruce Almighty' and this movie is no exception and is a perfect vehicle for his wild and manic screen persona. Carrey plays a bank clerk named Stanley Ipkiss who lives alone in his apartment with his little Jack Russell Terrier Milo who is probably one of the smartest and most clever dogs we'll ever see in the movies. One day on the job he is talking with his best friend Charlie (Richard Jeni) who also happens to be his co-worker when suddenly a blonde bombshell by the name of Tina Carlyle (Cameron Diaz in her debut movie role) who wants to make an account while flirting with Stanley at the same time but is really using the flirtation as a distraction because she's really there to retrieve information from the bank with a hidden camera in her purse and relay it to her boss/boyfriend Dorian Tyrell (Peter Greene) who is planning a robbery of the bank. Later that night Ipkiss is standing on the edge of a bridge and suddenly sees an odd looking mask with a bunch of garbage around it which makes it look like a person has risen from the water, and being the good samaritan that he is thinks someone is in trouble and tries to help only to realize that it's a bunch of garbage and takes the mask with him back to his apartment. He then tries on the mask and it makes him swirl like a tornado in the midwest around his apartment and the mask makes him do all sorts of crazy things throughout the movie, and Ipkiss is always questioned about the mask character by a reporter named Peggy (Amy Yasbeck) and a police Lieutenant named Kellaway (Peter Riegert) who is always on Ipkiss's tail. The movie is very funny and the special effects make the movie a whole lot funnier while aslo having very good action sequences, but the movie's real focus is the relationship between Carrey's and Diaz's characters with their excellent chemistry together. This movie makes me even more eager to see Jim Carrey in more dramatic parts after watching a movie that sometimes loses its footing a little but is injected with life everytime Carrey is in any scene in this movie.",7,1,1,12 June 2019
The Avengers," Best of the MARVEL film series
","Joss Whedon's The Avengers is truly one of the best action moves along with a perfect cast for an action picture of which that includes Robert Downey Jr., Chris Evans, Mark Ruffalo, Jeremy Renner, Samuel L. Jackson, Tom Hiddleston, and Scarlet Johannson. With great action sequences, costumes, and special effects, this movie was one of the most groundbreaking visual achievements of 2012. The movie also goes on a par with great MARVEL films such as the Iron Man trilogy, Spider Man's 1 & 2, X-Men, The Incredible Hulk, Ghost Rider, Captain America's 1 & 2 and more. Not only this was a great movie it was also one of the best movies of 2012 because of how well this movie was done.",10,1,4,14 June 2014
Vertigo," The Best movie of 1958
","Alfred Hitchcock's Vertigo is a true suspense movie masterpiece with James Stewart giving a towering performance as a retired San Francisco detective who is suffering from acrophobia investigates the strange activities of an old friend's wife, and while becoming dangerously obsessed with her. The girl who Ferguson gets obsessed with is played by a young Kim Novak. What Hitchcock tries to do with all of his movies is try to put all of the suspenseful moments where they absolutely need to be including with this movie as well. Also Stewart was absolutely perfect for this part in this great movie. But it was the love story that made the movie even more suspenseful, just like his 1955 film To Catch a Thief. Also this film entertained me from start to finish, I would recommend this movie because I thought it was a movie worth watching from my perspective.",10,2,3,18 May 2014
Scarface," One of the greatest gangster movies ever made
","Brian De Palma is arguably one of the greatest filmmakers of the last 50 years with classic films such as 'Carrie' (1976) and 'The Untouchables' (1987) to his name with this movie he has made his masterpiece and one of the finest movies about the mob ever put on film along with 'The Godfather' (1972), 'The Godfather Part II' (1974), and 'Goodfellas' (1990), but unlike those movies it doesn't touch on the Italian mafia. Al Pacino stars in perhaps the finest and most manic performance as Tony Montana a Cuban exile who ends up in Miami and is desperate to find a way to make a living in America by any means necessary with his best friends Manny (Steven Bauer), Chi Chi (Angel Salazar), and Angel (Pepe Serna) in a refugee camp and as a result becomes a part of the mob. in order to make money and survive. Montana then meets a drug dealer named Frank Lopez (Robert Loggia) who gave them green cards and a pardon for a murder they committed in Cuba. Then Montana becomes friends with another drug dealer named Omar Suarez (F. Murray Abraham), and falls in love with Frank's wife Elvira (Michelle Pfeiffer). This movie focuses so much more than Montana's life of drugs and crime it also focuses on his family relationships with his mother and his sister Gina (Mary Elizabeth Mastrantonio) disgusted at the fact that he lives a life of crime, and is really a study on Montana's character but mostly doesn't portray him in the best way throughout the movie. The performances in the movie are rock solid with Pacino and Pfeiffer being the biggest standouts, and De Palma's direction is top notch with a very masterfully written screenplay by Oliver Stone. The movie is a remake of Howard Hawks' 1932 gangster film of the same name with Paul Muni in the lead role which I still have yet to see. This is a must see film for anyone that calls themselves a film buff and is a masterpiece of the crime genre.",10,0,0,11 May 2019
Captain Phillips," One of the best movies of 2013
","Paul Greengrass's Captain Phillips is the riveting true story of the 2009 hijacking of the MV Maersk Alabama by the pirates of Somalia. The movie stars Tom Hanks who brings the real life character of Captain Richard Phillips to life on the screen, and also in one of his best performances which too bad for him he did not get an Oscar nomination for his Oscar level work in the film. Director Paul Greengrass has crafted a film that goes on a par with JFK, Munich, Thirteen Days, Mississippi Burning, and The French Connection. Though historically accurate throughout, this movie made my list of the top 10 films of last year because of how well this movie was done. What a wonderful piece of work!",10,1,4,6 June 2014
Raiders of the Lost Ark," One of Spielberg's best films, and one of Ford's best performances
","Steven Spielberg's Raiders of the Lost Ark was one of the most entertaining, riveting, and exhilarating action/adventure movies I have ever seen in my entire life. The movie stars Harrison Ford as Dr. Indiana Jones an archaeologist who is trying to look for the Ark of the covenant and try to protect it from Nazi capture, the film is filled with perfect action sequences, and the music for the film is what makes the movie even more entertaining. Spielberg and George Lucas makes very interesting plots whenever he decides to make a movie which is why most of the movies he's directed i along with audiences and critics alike consider them to be classics. Harrison Ford gives his best performance since the original Star Wars movie (along with Karen Allen.). This is one of the best movies ever as well as being the best movie of 1981.",10,2,5,19 July 2014
Spartacus," one of the best movies of 1960
","The best of the gladiatorial epics Stanley Kubrick's Spartacus had one of the best ensemble casts I have ever seen on screen, Kirk Douglas, Laurence Olivier, Jean Simmons, Woody Strode, Peter Ustinov, Charles Laughton, John Gavin, and last but not least Tony Curtis. Based on a true story Spartacus resembles really what being a slave and turning into a gladiator was really like for the Romans and the pain they went through as a slave. Director Stanley Kubrick really worn this movie to perfection with his absolute masterful direction. Kirk Douglas gives the best performance of his career and tells us why he became a movie star in the first place, and the same with Olivier, Laughton, Ustinov,Gavin, Simmons, Curtis, and Strode.",10,2,5,13 June 2014
Deepwater Horizon," Peter Berg's most thrilling and emotional movie yet
","Peter Berg's 'Deepwater Horizon' is a not only a movie on a great suspense level but it is also a movie of deep emotion and sadness with some aspects of the movie in which Berg uses to his advantage in order to make this into a very effective movie which is his best movie that I have seen since his 2003 film 'The Rundown'. The movie stars Mark Wahlberg in one of his very best performances as Mike Williams who is the chief electrical technician on an offshore oil rig called none other than the 'Deepwater Horizon'. The opening scenes of the movie are probably the most emotional that I have seen where he is talking with his wife Felicia (Kate Hudson) and his daughter (Stella Allen) when he knows after he says goodbye to them it could be the last time he may ever see them. Once they get to the rig the person in charge of operations on the rig is a man named Jimmy Harrell (Kurt Russell) whose job is to make sure that things are going smoothly at all times. Then Mike ends up meeting a man by the name of Vidrine (John Malkovich). As the film progresses things end up getting more suspenseful and the person who is watching the film ends up being on the edge of their seat because the oil pipe tests aren't indicating anything good and then all hell breaks loose and the rig is engulfed in flames. The movie was based on true events which makes me feel like while watching the movie that I was actually with the characters during the explosion. The most effective scenes are in the end of the movie where no words are spoken just shocked and saddened facial expressions and music which to me personally makes it one of the most emotional endings in a movie that I have ever seen along with 'Schindler's List' (1993), 'The Green Mile' (1999), and 'Million Dollar Baby' (2004). This was a very good movie and I am hoping to see more from Peter Berg in the coming days and years, this is one of the best movies of 2016.",10,0,1,27 February 2017
Chinatown," Classic police movie
","Roman Polanski's Chinatown is a true example of a classic police movie. The movie tells the story of a private detective named J.J Gittes (played by Jack Nicholson) who is hired to expose an adulterer named Evelyn Mulwray (played by Faye Dunaway) who ends up finding himself in a web of deceit, corruption, and murder. The movie stars Jack Nicholson as Gittes who also specializes in matrimonial cases then gets hired by Mulwray to suspect that her husband i having an affair with another woman. Director Roman Polanski made this film turn out to be a success at the box office, this movie compares to police movie classics such as Dirty Harry, The French Connection, Lethal Weapon, Die Hard, The Departed and many more. This film also has a kind of similar plot line just like John Huston's The Maltese Falcon but with Humphrey Bogart in the title role. The movie also stars John Huston as Dunaway's father, Burt Young, Perry Lopez, and John Hillerman. This movie is one of the v very best police movies ever made in the history of cinema.",10,1,2,30 April 2014
