movie_title,title,review,rating,helpful,total,date
The Rock," Welcome to the Rock
","I've heard one reviewer say about Michael Bay that he is aggressively untalented. This may be true, but as much as we all love to hate him, I cannot deny that he has made a couple of solidly entertaining movies. The Rock is one of them. I think this is his best movie and also one of the best action movies of its decade. With good performances from a sensational cast and rousing action, The Rock a worthy watch.We begin the story with general Frank Hummel, who is angry with his country. He feels that that families of his dead war comrades did not receive proper compensation. He steals sixteen warheads and holds a Eighty San Francisco civilians hostage in Alcatraz. He then gives the American constitution two days to pay (I forget how much money) or it's boom time. The FBI turns to one extraordinary individual for help. John Mason, is the only person ever to escape from Alcatraz. For reasons unknown to us, he has been locked away for thirty years, only released now to help. He is angry and unwilling, but eventually he cooperates. With the help of quirky FBI scientist Stanley Goodspeed, Mason takes a team to Alcatraz, to try and sabotage Hummel's plan from the inside. Is it gonna work?The story may not be super smart, but it holds together solidly, except for one silly plot twist which starts the climax. It has to do with the character of Frank Hummel, who is one of the more interesting bad guys in Hollywood blockbuster history. The script fleshes him out to a fairly large extent, and Ed Harris's performance brings a certain warmth to the character. It was not until A History of Violence came out when I realized that Ed Harris can play a really dirty villain. Compared to that movie, he seems about as menacing as a boyscout in the Rock. Sean Connery plays his role well, and unlike Harrison Ford, his age does not interfere with the character. Nicholas Cage is extremely funny as the typical nerd scientist, but at times he goes a little too far over the top. Regardless of where the characters have occasional flaws, you end up having too much fun with them to care.This applies to the Rock as a whole. It has its idiocies, but it does just about everything that a good action film should. It is almost the Die Hard of the decade.",8,2,2,25 July 2009
The Devil's Advocate," Interesting indeed, but somewhat overdone.
","the Devil's Advocate (based on the novel by Andrew Neiderman) provides rousing drama with satisfactory flair and presentation. At the same time however, the story is equally heavy and cumbersome. With each chapter passing, another plot component is added, which for a while makes everything all the more interesting, but at a certain point, you start to feel lost. The Devil's Advocate seems confused in direction. In an attempt to answer all the questions that are posed, the movie's ending is painfully overlong and ridiculous. Well if nothing else at least it gives the cinematographer and effects department something epic to work with. The Devil's Advocate is a lengthy movie. The finished project is not uninteresting, and in fact it is frequently involving, but you get the impression that it is trying too hard.As far as a Keanu Reeves film goes, this motion picture is a step in the right direction. Ironically though it doesn't qualify as a good performance. It only seems that way because he shares the screen frequently with Charlize Theron who upstages him with badness. Her delivery is so over wrought, that it denies common sense. Al Pachino is stable for a while, but during the course of the movie's last third, he goes into Scarface mode, and flies off the handle. I have yet to come across a movie in which the devil taking human form is justified in intelligence by an actor's performance. Outside of these people, (and Craig T. Nelson) nobody else in the cast serves a function other than killing screen time. So much goes on in the Devil's Advocate, but too little of it becomes important. As a thriller, The Devil's Advocate finds success. A good word to use would be 'startling'. I can recommend the film on the grounds that it feels original and viscerally entertaining, but it lacks a sense of fluidity or general intelligence. It could use a bit of a reworking.",6,1,2,26 September 2010
The Blair Witch Project," A project unlike any other
","Next to Spinal Tap, The Blair Witch Project is probably the century's most memorable mockumentary. Usually that term is associated with comedy, but this film although starting out kind of amusing turns into everything but. What we see is the footage captured on a handicam from three kids who went out into the woods in search of an urban legend, the Blair witch, but their incompetence got them lost, which led to frustration, which led to anger, which led to fear, and then to... well lets just say careful what you which for, you might find it.My first bit of advice for approaching The Blair Witch Project is this; take a gravol pill. The camera work which is intentionally shaky and awkward is nauseating, aside from that this is a wicked presentation (sometimes literally so) Cinema cannot get anymore subjective than this. On top of all that the film is actually pretty scary.If there is a flaw, it would be that the movie is a little too repetitious in its events, but thins is not a story that will leave you flat.",8,0,1,17 September 2009
The King's Speech," The King says a mouthful
","There were a lot of elderly folks in the theatre when I saw The King's Speech. It occurred to me that some of them may have been alive when George VI gave the actual speech to the British Nation which had just declared war with Hitler.The King's Speech is a feel good movie, but a very adult one, and while it tells a good story, well scripted, absorbing and believable (except for an odd line or two), Tom Hooper's film is far more driven by character than by plot.You may need to see it to believe it but, Colin Firth has no obvious competition for the best actor awards which are coming his way. He is absorbed in the role of the stammering king who is timid, low in self-confidence, and frustrated but perfectly warm-hearted. The only time he doesn't stammer is oddly enough when he curses. This is something which his new speech therapist suggests he use as a practise tool in the one scene which earned the film an R rating. The King's Speech is arguably a proud moment for Geoffrey Rush as well. This is him at his best, and he and Firth together almost make the movie. Their exchange of dialogue is flawless. The King's Speech boasts an exceptional cast, which includes Helena Bonham Carter, Michael Gambon, Derek Jacobi and Guy Pearce, all of whom help contribute to the picture with the smallest amount of screen time.The King's Speech says a mouthful, and it warms the heart without question. There is also no question is arguing that it is among the very best of the year.",8,279,330,10 December 2010
Insidious: Chapter 2," Insidious and aggravating
","I'll give James Wan and Leigh Whannell credit for one achievement in Insidious: Chapter 2; if nothing else, at least they didn't mail it in. When it comes to plotting, some follow ups are pure repeats of their predecessors, but for Insidious, Wan and Whannell have managed to build upon some of the makings of the first instalment. In doing so, they have shed a little bit of light into the darker and unexplained portions of the Lambert family's story, and elect to give it the conclusion that the characters deserve; a noble development in a genre where the audience is often un concerned about what becomes of protagonists. Here, unfortunately is where the success of Chapter 2 ends.The second Insidious is one of those films where you can't immediately decide whether it features too much story material, or too little. There is a lot going on in this film, but none of it ever seems to have a focal point. It is a dense film, chaotic and rushed, it features too many figures (both living and dead), flirts occasionally with the dangers of triple timelines and gives its characters almost no breathing room. The film is more concerned with their back stories than it is with their present ones, leading me to think that Insidious: Chapter 2 may have actually worked better as a two hour feature. The climax is especially hectic, and disorienting because of it's pacing and choppy editing. If this wasn't enough, Insidious: Chapter 2 is further crippled by its lack of genuine suspense. The movie is far less scary than it is borderline humorous. Even if Wan has once again respectably avoided copious bloodshed, There is no subtly in either the direction or the script, creating 'boo' moments that might cause laughter.Insidious: Chapter 2, is a sequel that appeals because it promises to build upon its set up, rather than repeat it. Only occasionally does it fulfil this promise. I won't say it was an unnecessary sequel, but there is simply no way it should have been this disappointing.",5,1,5,14 September 2013
The Avengers," Really liked it.
","The Avengers is almost the definition of good time at the movies. Not burdened with the need to spend great amounts of time on character origins, this superhero film takes a conveniently short amount of time to put the game in play, and once it does that, the game is played with flair and showmanship.Quite frankly, the plot itself is absurd, but I guess that was bound to happen when you combine the worlds of five different Marvel heroes. In less capable hands, the Avengers may well have ended up getting muddled from trying to do too much. With Joss Whedon in the director's chair, it's actually a very strait forward two hours with a good level of focus.While New York ends up getting the same treatment as much of Michael Bay's resume, the experience is far less superficial. the Avengers does not insult our intelligence. quite the opposite in fact, it embraces it. The Avengers' best quality is that it never ceases to wink at itself. This is a movie where even the villains the same quick fire one liners as the heroes. A good protagonist of course is also the difference between good action movie and good movie. Simply put, these people (or rather super people) are just good fun to be around. While none of them are ever quite fully rounded, when they come together as a team, they seem far less superficial than they did in their individual movies. with the exception of Iron Man, the films of Thor, Captain America, and The Incredible Hulk, were not all that memorable when it came to characters. The Avengers makes you realize how distinctive each character is.One thing I was a little disappointed in was Samuel L. Jackson. While he is very much at home in the role he plays, it seems pretty obvious that he's just playing himself. Perhaps, there is a hidden positive in this. As a supporting character, you don't wanna upstage the people who have top billings. Personally, I think he could've given The Avengers a little bit more love.Last summer was a somewhat underwhelming year for superheros. It's a pleasure then to see a film like The Avengers fly in to save the day. It's a film made with love, and the work has paid off.",8,4,10,16 June 2012
Kill Bill: Vol. 2," How could this happen?
","Very disappointing, everything that worked in Vol 1, has backfired for Vol 2. I rather enjoyed the slow pacing of the first, here it is just frustrating, nothing happens. Though there is still plenty of black humour, I didn't care much for it. I was bored, there was hardly even any action. Several sections of the film seem unnecessary, and the finale is so anticlimactic, that I can't help but think Tarantino had bigger plans or that Something must've gone wrong during production. Maybe he had to rush to complete it, maybe he lost ten to fifteen minutes of exiting material. Whatever the case, vol 2. is a bore.That said, it would be wrong to say that the film offers nothing new. Uma Thurman gets upstaged by a killer performance from the late David Carrandine. He has a very commanding presence. Vol. 2 also gives us the answers to all the questions we had when vol 1 ended, but thats about the only thing useful in this screenplay. I felt cheated out of a good time with kill Bill vol 2. This leaves me with a tough decision. Considering the competence of vol.1 do I recommend it? only if you want to know what happens next. Otherwise, just get a friend to tell you, or have him/her screen you the mere two or three scenes which actually contribute to the story.then again, my opinion seems to be in the minority, so you I'd imagine you'd be liable to watch regardless of what I have to say",Null,4,7,14 April 2010
Black Swan," An epic and nightmarish delight
","Natalie Portman lives a dream and a nightmare when she gets a chance to dance Swan Lake in Darren Aronofsky's new filmBlack Swan is a very bi polarized film. Portman dances as the white swan flawlessly, but her 'brilliant' choreographer has doubts about her as the black swan. She needs to 'live a little' and be less mannered, but the closer she gets to that point, the more the walls start to close in all around her.Darren Aronofsky, though he comes close to being heavy handed, has delivered a project which is fiery, spectacular and clever. He sells us ballet as something dark and off putting, starting from his decision to reveal what dancing does to peoples bodies. One mistake and you can crack a toe nail under your body weight, but I don't wanna oversell it. To look at Black Swan in another way, it is an operatic horror film, It has incredible style, but uses it not so much to dazzle but to confuse and intimidate. The paradox of Black swan is that it creepiness is kind of seductive, because it draws you in (much like the way vampires are supposedly romantic)But style is only half the picture (not even). The rest is in the cast, and mostly in Natalie Portman. She is slow to get started, but she grows quickly and the result is arguably her best performance yet. I've never loved her that much. She's always struck me as more of a girl than a woman, but I guess all she needs is to get a little blood on her hands, and you have an award worthy performance. Vincent Cassel, though he gets some questionable lines, is also at his best. I would have almost liked to see more of him, because you get the sense that his role has a bit more room to grow.Black Swan does quite a bit, but it's not for everyone. Do not go into this expecting to be emotionally enriched. From the beginning, it is staged to be a mind-twirl, delighting in playing tricks on the audience. Some might call it cheating, but that would be the wrong way to look at Black Swan. It's quite epic, and with year coming to an end, I think it's fair to say that it is among the best of 2010.",8,182,302,3 December 2010
Pirates of the Caribbean: On Stranger Tides," Cutthroat Island 2
","Thar be a treasure in store for Pirates of the Caribbean: On Stranger Tides, and it be the Golden Raspberry.After four entries, Sadly Pirates has lost its soul. This film may as well be marketed as Cutthroat Island 2. This is not THE Pirates of the Caribbean, it's just a pirate movie with no magic or charm. Convoluted as the second and third entries were, at least they had a sense of adventure, journey and spectacle. On Stranger Tides has none of the above. It is a scrappy walk in the park of a story, with bad plotting, poor cinematography, lazy acting, and it's over with so fast that it all feels pointless. In fact, I'd say it comes close to a rip-off. It is bad enough that there is no life to anyone in the supporting cast, but with Jack Sparrow, it is unacceptable. He's lost his persona and his zing completely, and his box of mannerisms alone does not make him a chartacter. I was also disappointed with Ian McShane. Having turned in what may be the best dramatic performance in television (Deadwood) It hurts a little to see how useless his portrayal of Blackbeard is. In fairness, he wasn't given a whole lot to work with. More than the actors, I blame the script. The once talented duo of screenwriters Ted Elliot and Terry Rossio haven't even bothered to write anyone a part for this movie. Not only that but the dialogue is sloppy, full of needless exposition which doesn't end up explaining much.Even as a source of mindless thrills and chills, On Stranger Tides is weak. The only time when it comes close to matching the scale of its predecessors is in one scene, which sets pirates against killer mermaids. I remember thinking to myself during that sequence, how much Disney has changed in twenty years. It would have been nice to see the cast of the Little Mermaid show up to do a song number, and considering Rob Marshall's skill with music, it might have helped the movie.He is clearly in no position to direct this movie. He too is unable to bring much to the film, and I have a feeling he doesn't know what he's doing with 3-D photography either. Even in regular 2D, the film is quite dark, and grotesque. 3-D would be unwatchable I figure.The movie ends in the style of setting up for another entry, which I now have little faith in. Pirates of the Caribbean, has become little more than an amateurish cash-grab.",4,14,29,20 May 2011
Scarface," Most of it is good, but some of it is really bad
","At the beginning of Scarface, Cuban emigrant, Tony Montana is in US Custody, sitting is jail. By the end of the movie, he is sitting behind a desk, in a very expensive suit in a very expensive house. The product of his wealth: Drug money. In two and a half hours, Brian de Palma tells us how he gets from A to Z, but maybe not as well as the majority of viewers say.DePalma gets from A- to about M (for Montana) in competent fashion. Scarface ranges from very charming to very brutal and gives Al Pachino a chance to shine. So what goes wrong. The last third of Scarface feels like a different movie, an overwrought hack job. I'm not sure who is to blame, Pachino for his painfully overdone performance or DePalma for letting him get away with it. Or maybe it's Oliver Stone's fault for all the poorly scripted lines and developments which get worse and worse up until the end. At any rate, Scarface comes apart in spectacular fashion, leaving a movie that is medium good (at best) watch it and decide for yourself",6,0,2,19 November 2010
