movie_title,title,review,rating,helpful,total,date
The Devil's Advocate," Amazing movie
",Keanu Reeves plays a Florida attorney called Kevin Lomax who never has lost a case.Kevin moves to work in New York with his wife Mary Ann (Charlize Theron) after mysterious Mr John Milton (Al Pacino) asks him to do that.Bad things start happening in NY.Is John Milton the devil himself?Taylor Hackford's Devil's Advocate from 1997 is excellent dramatic horror thriller movie.There were many thrilling and chocking scenes in the movie. It just got better as it went on.The actors were amazing.Everything worked perfectly.The ending was great and very surprising.This was the best movie I had seen in a long time.If you want to see a good movie this is the one to see.,Null,0,1,8 May 2001
Saturday Night Fever," Travolta with cool dance moves and the Bee Gees
","Tony Napero is a real smooth Brooklyn fellow, who likes to dance some disco.Then he finds this perfect dance partner, Stephanie Mangano.This could be his dream girl.Saturday Night Fever (1977) is a disco movie classic, directed by John Badham.You can't think of a better guy to act the lead than John Travolta.His mother Helen and sister Ann are also seen in the movie.Karen Lynn Gorney makes a really good female lead.Great work by guys who play Tony's friends, Barry Miller (Bobby C.), Joseph Cali (Joey) and Paul Pape (Double J.).Donna Pescow is terrific as Annette.Val Bisoglio and Julie Bovasso are brilliant as Tony's parents Frank and Flo.Martin Shakar is very good as the priest brother Frank.And Lisa Peluso as sister Linda.Sam Coppola is great as the boss Dan Fusco.Robert Costanzo is in a small role as Paint store customer.Fran Drescher makes her movie debut as Connie.What makes this a really great movie is the music by the Gibb brothers, Barry, Robin and Maurice.The group is known as the Bee Gees.Their hits like 'Stayin' Alive', 'How Deep Is Your Love' and 'More Than a Woman' really get you going.And Travolta really has the dance moves.He really rocks the dance floor.The drama of this movie works, too.Like when they're on that bridge and something dramatic takes place there.Watch this movie once, twice or as many times as you like and you will find that disco will never be dead.",9,2,4,16 April 2012
Vertigo," Fascinating masterpiece
","James Stewart plays a San Francisco detective John 'Scottie Ferguson who is suffering from fear of heights.An old college friend Gavin Elster (Tom Helmore) hires him to watch his wife Madeleine (Kim Novak) because she's acting weird.It looks like she's possessed by her ancestor's spirit named Carlotta.Of course Scottie doesn't pay that.He becomes more and more interested in the case when he finds out what kind of beauty Madeleine is.Naturally he falls for her.Alfred Hitchcock's Vertigo (1958)keeps you in it's touch from the first minutes on.You can't leave it for a second.You can't miss a moment.James Stewart was the perfect choice to play the lead.Nobody couldn't have done it like Jimmy.Kim Novak is beautiful, she's mysterious and a true talent.Barbara Bel Geddes does the part of Marjorie 'Midge' Wood and she does it very good.Hitch knew how to keep the viewers nailed to their seats.Who has that ability this day?",10,8,11,25 July 2006
The New World," Beautiful tale of two cultures meeting
","The place is Virginia, the year is 1607.Three ships of the Jamestown Expedition,led by Captain Newport,arrive and the Native Americans are witnessing this.When two cultures meet it means bloody battles.The English men build a fort there.John Smith leaves the fort to explore another area and trade with the Indians, but he gets captured.But it is princess Pocahontas that saves John Smith's life.Captain Smith and Pocahontas find romance with each other.Once he is released he becomes the leader in the fort.People live in terrible conditions there, they don't have much to eat, there are diseases, people are dying...The whole situation seems pretty hopeless.And there is another battle to be expected with the Indians, who see that the English will not leave their country.Also Smith loses the trust of their men, when he disagrees with them trading Pocahontas and lodging her in the fort to protect their families.Then Captain Newport returns from England and informs Smith that the king has offered him the opportunity to lead a new expedition of his own to find a new passage to the West Indies.Smith returns to England instead and asks his friend to tell Pocahontas that he has died in the crossing.All the beauty of Pocahontas' life is now gone.Then John Rolfe, a tobacco planter arrives and wants Pocahontas.He marries her, after she's baptised, but she still has a place in her heart that belongs to John Smith.Terrence Malick is the writer and director of The New World (2005).This is a very poetic movie.Malick has portrayed beautifully the story of these people.Especially those moments between Smith and Pocahontas, but you can find some beauty in the battle scenes, also.And he has done an excellent job capturing the era on screen.There's nothing to remind of our times there.It's almost like watching a documentary on how these people lived.There are some outstanding performances in the movie.Colin Farrell does a role of the lifetime as John Smith.Q'orianka Kilcher is very sensuous in her part as Pocahontas.I think we'll be hearing from her in the future.Christopher Plummer gives another fine performance as Captain Newport.Christopher Bale is great as John Rolfe.Wes Studi does a good job playing Openhancanough.Ben Chaplin plays Robinson and John Savage is Savage.The love story portrayed in this movie is beautiful.Watch this piece of art and step back to the 17th century.",9,3,6,22 April 2009
Alien 3," Ripley is back-with the alien!
",Sigourney Weaver acts Ellen Ripley in the third Alien movie. In this one she is in a prison colony with the murderers and the rapists.And there is also one angry alien with them. And there are no guns allowed.Tough situation. Alien is a great action sci-fi horror movie.Weaver was back in the fourth Alien five years later.,Null,0,3,14 January 2000
Requiem for a Dream," Better than drugs
","Sara Goldfarb (Ellen Burstyn), her son Harry (Jared Leto), his girlfriend Marion Silver (Jennifer Connelly) and their friend Tyrone C. Love (Marlon Wayans) all suffer from a severe drug addiction.Darren Aronofsky's Requiem for a Dream (2000) is a journey to the minds of these people.They are not pretty minds, they're dirty minds, that have been damaged by the addiction.The acting work is something unbelievable. The legendary Ellen Burstyn is just amazing as the woman who wants to lose weight for a TV program.Jared Leto is superb in this movie as he was in his TV debut My So-Called Life playing Jordan Catalano and other things.The Oscar winner Jennifer Connelly (A Beautiful Mind) is spectacular.Wayans is also brilliant.The movie is based on the late Hubert Selby Jr's novel and he's also seen in this movie as Laughing Guard.The way this movie is made is just amazing.The director really knew what he was doing.We'll be hearing from Mr Aronofsky.This movie should make people realize that drugs are no good.Sadly it's not going to happen.Requiem for a Dream is not a pretty movie.It's reality.",10,0,1,20 December 2004
The Sound of Music," A new member of the von Trapp family
","Maria, living in Salzburg, Austria, is studying to become a nun.But the convent life is not meant for he, for she's a free spirit who rather sings on the mountains.So the Reverend Mother sends her to the residence of naval officer, Captain Georg Ritter von Trapp to be the governess to his seven children.He's a widower whose raising methods are strict.And his household used to be filled with music.But now Maria brings the music back in the house.The baroness Elsa is about to be the new mother to the children.She's the total opposite of Maria.Eventually Georg finds the beauty of Maria, and finds the music.At the same time some dark clouds are hanging over the von Trapp family.It's 1939 and the Nazis are in power.Mr. von Trapp is not a supporter of Hitler's Third Reich.But now the Reich wants him, but he rather wants to be free.So they all sing at the Salzburg Music Festival.They are the winners of the first prize, but they do not appear on the stage.They run away, and in the end we see them all free hiking over the Alps to Switzerland.The Sound of Music (1965) is directed by Robert Wise.It's written by Howard Lindsay and Russel Couse.The story is based on the true story of the actual Maria von Trapp.It's based on the Broadway musical, with songs written by Richard Rodgers and Oscar Hammerstein II.The song list is numerous, and most of those songs are timeless classics.I really loved My favorite Things and Do-Re-Mi.This movie represents some perfect entertainment.And it is a movie of a darker tone as well.",10,3,10,20 August 2009
Spartacus," 'I am not an animal!'
","Spartacus was born a slave.His only dream is to be free.Spartacus (1960) is directed by the terrific Stanley Kubrick after Anthony Mann was kicked out of the project.It's based on the novel by Howard Fast.The movie is set in the Ancient World and it's loosely based on real events.The legendary Kirk Douglas does remarkable work as Spartacus.The rest of the cast is amazing, too.Jean Simmons plays Varinia, his love.Laurence Olivier is the villain Marcus Licinius Crassus.Charles Laughton plays Sempronius Gracchus.Peter Ustinov is Lentulus Batiatus.John Gavin is Julius Caesar.Nina Foch plays the part of Helena Glabrus.Herbert Lom does the part of Tigranes Levantus.Woody Strode plays Draba.Tony Curtis is Antonius.In a small part you can see George Kennedy as Rebel Soldier.Spartacus is a winner of 4 Oscars.It's not one of my favorite ones in classic movies but it certainly has its moments and many memorable lines.It's one powerful scene where Kirk Douglas shouts 'I am not an Animal'.You can always find something moving in the cry for freedom.",8,1,3,5 June 2008
United 93," Moments in the air
","The courage of man...on that dreadful day.That day is September 11, 2001.United 93 is getting ready for liftoff in New York.There are forty-five passengers waiting.And three of them are hijackers And then...the takeoff.The air traffic controllers hear there has been a plane hijacked, maybe more.Then, moments later, two of those planes crash into World Trade Center.And later Pentagon is hit.But United 93 doesn't hit any building, because the passengers decide to fight.The plane crashes in Shanksville, near Pennsylvania.Paul Greengrass did a very fine job with United 93 (2006).The cast is mostly unknown, but very good.Christian Clemenson belongs to the more known names.He plays one heroic passenger called Thomas E. Burnett Jr.Cheyenne Jackson plays Mark Bingham.J.J. Johnson plays Captain Jason Dahl.Gary Commock is First Officer LeRoy Homer.Polly Adams plays Deborah Wells.Opal Alladin is CeeCee Lyles.Trish Gates is Sandra Bradshaw.Chip Zien plays Mark Rothenberg.Khalid Abdallah plays Ziad Jarrah.Lewis Alsamari plays Saeed al-Khamdi.Omar Berdouni portrays Ahmed al-Haznavi and Jamie Harding is Ahmed al-Nami.FAA operations manager Ben Sliney plays himself.We all know what impact the WTC attacks had to the world.The war on terror is happening as I'm writing this.A few movies have been made of those events on 9/11, and this must be the best one.Those moments people had in the air, become so real in this movie.It's all so intense, as if you're living those moments there with them.And you wish you win those bastards, and the plane doesn't crash.",9,3,5,8 September 2009
Deja Vu," Dealing with time travelling
","It's Mardi Gras in New Orleans.A ferry carrying hundreds of U.S. Navy sailors and their families explodes, killing over 500 people.Special agent Doug Carlin is sent to investigate the case and it is found out that a domestic terrorist called Carroll Oerstadt is behind the deed.Doug is introduced by FBI surveillance unit a program that uses a space folding technology to look back a little over four days into the past.They follow the last days of a woman called Claire Kuchever, who was murdered a little before the explosion.Doug falls in love with this woman.Soon it looks possible he could go back in time and safe this woman's life.Déjá Vu (2006) is an action sci-fi thriller directed by Tony Scott and produced by Jerry Bruckheimer.The movie was shot in post-Katrina New Orleans.Denzel Washington is the right man to play Doug Carlin.And Paula Patton as Claire is the kind of woman you can imagine Denzel falling for.Val Kilmer is great as Agent Paul Pryzwarra.Jim Caviezel is a pretty scary crook as Oerstadt.Adam Goldberg is superb as Dr. Alexander Denny.Bruce Greenwood is terrific as Agent Jack McCready.Matt Craven is very good as Agent Larry Minuti.Child actress Elle Fanning is seen as Abbey.This movie deals with a topic that fascinates me very much, a possibility to travel through time.And this differs from any other time travel movie.It's an action movie, and the time travel itself doesn't have the biggest role.It's also a romantic movie.It's quite fantastic the love story it portrays here.The man falls for the image of a dead girl, and there is a way to safe her and make her love him.So both the sci-fi part and the love story are something you haven't seen before.There is no chance of this movie giving you a déjá vu.The last scenes on the ferry are quite intense to watch.And that Beach Boys song 'Don't Worry Baby' really works.This is a kind of movie, where you shouldn't stop and think: does this make any sense? Is there any logic here? You should just enjoy the ride.",Null,0,1,29 October 2011
