movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Home video horror
","Concept for 'Blair Witch Project' sounded very interesting, when I first heard about it: a 'documentary' about kids lost in woods, chased by a scary scary witch. There was lots of talk about this being actual thing that had really happened. Yeah. Right. But funny thing was, that some people really did buy that.So, concept was in order and I even saw this in a theatre with a friend. It wasn't half as good as it was claimed to be. Acting was poor, writing was even worse and direction was non existing. It all was just stuff, that anyone, and I really mean anyone could film with their own home video cameras, as it actually was done with this. The basic difference here is, that someone succeeded in marketing this outside 'Americas Funniest Home Videos'.So in summary, silly kids running around in 'woods' while the scariness factor of the flick runs somewhere between 'Sesame Street' and 'Winnie the Pooh'",3,0,2,11 April 2005
The Avengers," The Avengers
","I guess The Avengers was the movie many Marvel comics fans were expecting. Finally, after a series of solo movies, a group of the fan favourite heroes were united under the Avengers tag: Ironman, Hulk, Thor, Captain America, Black Widow and that guy with a bow.The would be hero team bickers a bit in the beginning, as they are reluctantly put together to fight Loki, Thor's brother, who is again trying to take on the world. This time with a help of cube thingie called Tesseract, that opens a portal through which a some sort of biomechanoid warrior race runs through to do the actual conquering.In order to get the full impact of the movie it would probably be the best to know a lot about the Marvel universe, either from the comics or from the movies, as the Avengers doesn't even pretend to be a movie friendly for new viewers. It's not muddled piece of fan service, but it is filled with things, that are left relatively obscure without prior knowledge of what has happened in the Marvel universe. The Avengers is fully watchable, even if you don't know that much about Marvel's world, but it does feel a bit hollow experience none the less. It just can't escape from its roots, which have been made during many other movies.As said, The Avengers is not a bad movie. It's filled with great actors from Samuel L. Jackson to Robert Downy JR, almost all of which are familiar from the previous Marvel movies. Thay all do serviceable roles. They make the movie work, but none of them gets huge amounts of time as people, as the movie expects the viewers to be already familiar with them, be it Tony Starks arrogance or Bruce Banners life in shambles caused by his alter ego.All in all, while the Avengeres is not a perfect movie, it is a nice start for a probably a lot more of them. But I doubt any of them will be aimed towards people who don't already know what they are watching.",7,1,3,23 May 2014
Kill Bill: Vol. 2," Fulfilling final part of a great movie
","Might contain spoilers So it all ends. Bride's bloody rampage must have it's inevitable conclusion in this sequel of Kill Bill. But this isn't actually a sequel, 'Kill Bill vol.2' is more of an last part of a movie. even tough they both have pretty different atmosphere.Where 'Kill Bill vol.1' was more of an Hong Kong style action flick, 'Kill Bill vol.2' is more of an western/HK flick. Not so bad mixture. Also 'Kill Bill vol.2' is more plot driven than the first, which was one big battle sequence. We get to know characters better in 'Vol, 2' We learn about Bill (Carradine) and his brother Budd (Michael Madsen) We learn about 'The Bride' (Uma Thurman) and Elle Driver(Daryl Hannah). All very capable actors. Oh and watch out for cameo by Samuel L. Jackson.There's also action in the movie, but scenes are not so overblown than they were in the first part, but they do have same unbelievability aspect in them. So no brain usage during action. Might spoil your fun.There's also been debate which one is better, 1 or 2. My conclusion is, that they both are as good, but in little other terms. In all honesty I don't know if i would have liked 'Vol 2' if it would have been entirely similar to first part.It could have made this movie much more boring.I gave this movie same score I gave to 'Kill Bill vol.1', a 8 out of 10",8,0,1,23 January 2005
Sherlock Holmes: A Game of Shadows," A solid sequel to Sherlock Holmes
","Sometimes it happens, that when directors and actors bring forth a new version of well known character they don't always have the guts to go all in, despite it might seem so from the eyes of the purists. This was the case with the first Holmes movie directed by Richie. Sherlock Holmes wasn't a bad movie, but it was somewhat constrained by the heritage of the titular character. The Game Of Shadows is an entirely different matter. In this movie Riche dares to amp up the character to his usual standards, as he already has familiarized himself with it.Robert Downey's Holmes runs like in steroids. He's maniacal, funny, emotional and crazy, but utterly brilliant in his deductions. Jude Law is a perfect contrast for Downey and they share brilliant chemistry, which is so important for Holmes and Watson.The Game Of Shadows is a well cast, railroad action adventure, that dares to take Holmes into another level. In this version Holmes is not as cold and emotionless as he often is portrayed, but more of a eccentric lunatic.In TGOS Moriarty, played nicely by Jared Harris, takes aim to Watson, who is planning his honeymoon with his newly wedded wife Mary (Kelly Reilly). Holmes is on the heels of Moriarty, who is for some reason trying to kill gypsy fortuneteller Simza, Noomi Rapace. This all results into a chase running all over the Europe, while the audience is trying to figure who is the cat and who's the mouse in the game of two brilliant minds.As it is TGOS an entertaining addition to the Holmes series. It's not a traditional portrayal, but then again, that is not even necessary. It's a refreshing portrayal of Holmes, that isn't afraid of being a bit silly from time to time.",8,0,1,21 July 2013
Mission: Impossible III," Solid action film
","Ethan Hunt (Tom Cruise) is trying to get out of the agent business. He's stopped the field work and started to train new agents, but then something happens. A new agent he has trained gets caught by an international arms dealer Owen Davian (Philip Seymour Hoffman), so he decides to go on a mission to retrieve her.The mission doesn't start quite from here, it actually starts near the end, in where Hunt is tied on the chair and Davian is questioning him on the location of 'Rabbitsfoot', a weapon he so greatly desires.M:I3 is quite an entertaining action film, I'd go as far as saying, it's my favorite from the three Cruise movies made. J.J. Abrams does good job as a director and the film never manages to feel like boring action piece. The dialog is good and Hoffman does a great job as the villain.All in all, M:I3 is a solid action film, with some good twists and turns.",7,0,1,22 December 2008
Star Wars: Episode I - The Phantom Menace," Worst of the saga
","This is it; the definite bottom of Star Wars saga. A rehearsal direction made by Geroge Lucas after being so many years without any directional credits in his name. Also this movie worked as technical test field in CGI animated characters and that is very visible. First of all, there is good things in this movie, such as: Liam Neeson (Qui-Gon Jinn), Ewan McGregor (Obi wan Kenobi), Natalie Portman (Padme) and Ian McDiarmid. Other good actors are in too, but because these I mentioned have most of the screen time, I just mention them.Then there is the beginning, I loved it, and I loved couple of other scenes in the middle and the ending. That was good (And I'm not talking about the credits here.)And the music. John Williams is as good as ever. There is no denying that. For these thing is gave my four stars.So, then to dislikes. Jar Jar (Ahmed best). I've always thought that annoying little thief from 'Conan the Destroyer' was annoying character. Jar Jar beats him 1 to 0. Most useless comedic character I've ever seen in my life. Annoying to the bone. Jake Lloyd (Anakin). I know, I know, he's a kid, but kids can act. Haley Joel Osment proved that in 'Sixth Sense'. Lloyd just is on the screen. I don't know is his performance due of sheer lack of acting ability or does Lucas's directing style have something to do with it. Hard to tell.And for last, the pacing of the movie is almost always off. It works in the beginning and during final light saber match, but during those long winded land battles and that god awful pod race scene, pacing and editing is just, well, more off than exploded nuclear plant.So there. And for additional note, I did like 'Attack of The Clones'. It did everything better.",4,3,6,13 March 2005
Sucker Punch," Visually interesting music video
","Sucker Punch is a visually interesting, but structurally flawed music video masked as a motion picture. It has a very light story about a young girl who's been abused by her father and then sent to mental hospital by him so that he could hide his sins. And while the young girl is there, she escapes to wild fantasies, while planning her escape, that make the movie look like its content was collected from several different video games ranging from fantasy feudal Japan to anime inspired sci-fi.And that's the problem with this movie. Znyder could have probably make Sucker Punch a better movie if he'd just had chosen a specific fantasy element to co-exist with the asylum reality, but now the movie is done in such a manner, that the fantasy elements feel too fragmented, despite many of them have bits in them that will most likely make you say 'Well that's neat.' In the end though, simply filling the movie with neat scenes rarely is enough to make the movie an actually good piece. You can't deny Znyders keen visual eye and while movies are a visual medium, visuals are not always enough.",5,1,4,30 November 2013
Raiders of the Lost Ark," Fun adventure
","Great adventurous fun. That's a good phrase to describe 'Raiders of the Lost Ark'.You can see it straight from the beginning, that Geroge Lucas had his hands in the making of the movie. The basic storyline has so many similarities with 'Star Wars' . High speed adventures, characters getting in trouble, comedic sidekicks. But there similarities end, world wise I mean. ROTLA is based in late 30ies and obviously 'Star Wars' is not. oh, and director of this movie, like every Indiana Jones flick, is Steven Spielberg.Shortly put, plot is this: Nazi's are looking religious artifact, and now they have their keen little eye on the ark of the covenant. That must be stopped, so U.S. government hires Indiana Jones to find the ark before Nazi's do. so twist and turns and adventure and couple of fights in they way. Harrison Ford is extremely credible as Henry Jones, a professor of archeology by day and adventurous relic hunter by, well every time he's not in front of his class.Karen Allen plays Marion Ravenwood, an old girlfriend of Indy's, now living in Nepal, running a small tavern.Davies Rhys Jones does good, fun part as a more comedic Egyptian digger, who helps Indy in the search of the ark.And lastly Paul Freeman (Belloq) and Ronald Lacy (Major Toht), the two bad guys of the plot, bot seeking the ark for Adolf Hitler.So, if you like fun adventure, this one is for you. I really can recommend it.",9,0,1,28 January 2005
Chinatown," Great Film noir classic
","Chinatown is one of those movies I've always missed when they are shown from the TV, so when I saw a DVD in discount bin I grabbed it and waltzed back home to watch it. It was money well spent.Jack Nicholosn plays J.J. Gittes, a private investigator, who is hired to spy on Hollis Mulwray, played by Darrell Zwerling, to find out, if he's having an affair outside of his marriage. But then it turns out, that Mulwrays wife was an impostor and real Miss's Mulwray, Faye Dunaway, threatens to sue Gittes. Gittes of course wants to clear his name and starts to look for those, who tried to fool him. Then, Hollis is found dead from a river. And the plot thickens.Chinatown is very good Film Noir movie, where people got past thicker than barrel of tar. Line between good and bad is vague and happiness is just a stolen moment between bad things.Roman Polanski does wonderful directing job. Eventough whole movie is full of slow moments, the story itself is not slow. Everything shown just gives more meat on the story and the characters.All actors to their jobs greatly, but John Huston as Noah Cross deserves a special mention. He, besides Jack Nicholson and Faye Dunaway, does really stand out with his excellent performance as Evelyn Mulwrays father.For those, who enjoy good Film Noir story, this should be a treat.",9,0,3,22 February 2005
The Big Lebowski," One of the best comedies I've seen in ages.
","The tale begins, well, not so directly here, when two idiot goons mistake Jeffrey 'the Dude' Lebowski (Jeff Bridges) to another man with the same name sans 'the Dude', and take a leak on his carpet, while trying to get him to cough up some dough the other Lebowski's wife is due. From here The Dude finds the other Lebowski, who's a millionaire with a young wife, and demands reconciliation for his rug. Now one thing leads to another and one person stranger than other waltzes into the screen while the Dude tries to figure out what is going on and who's fooling who.The Coen brothers have gathered together a great cast, ranging from Bucemi to Goodman. The script is tight and flows well, the direction is solid and the actors do their damned best as they should. This ends up with one of the funniest comedies I've seen in ages: Witty, surprising, odd and all around plain awesome. There isn't a single actor in the film, that would do a sub par delivery in the story and all the pieces clash nicely together while the bizarre tale of bowling and betrayal unfolds before the viewers eyes.I can't do nothing else but to recommend this, as this is one of those films, that will last time more than a week or two. This is one for the ages.",9,0,1,2 July 2008
