movie_title,title,review,rating,helpful,total,date
The Rock," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","Yes, there was a time when Michael Bay made movies that actually had a plot to go with the explosions, and some, like The Rock, were terrific. I had never seen The Rock from beginning to end, having just caught glimpses of it on TV, but watching it in it's entirety proved what I'd long suspected, it was a great film. A Marine General, upset that his lost soldiers never received the compensation they deserved for their secret missions, takes control of Alcatraz island, and aims chemical weapons at San Francisco. The FBI is at a lost as to what to do and decide to go with an unconventional idea to try and stop the general. A team of Navy seals prepare to take the island back, lead by the only man to ever escape from Alcatraz, now in his sixties, and a chemical weapons specialist who has never been in combat. Sean Connery stars and even though he was nearing the end of his illustrious career, he gives a truly great performance, that reminds us of just how great his movies were. Connery was the premiere action star, in a time before special effects had been computerized. He really gives an old school attitude and feeling to the film, which helps The Rock stand out from it's competition. Connery is paired with Nicholas Cage who is always terrific, especially when he's playing some type of law enforcer. Cage adds humor, unintentionally, with his inexperience, and winds up doing some pretty amazing things. While I don't like to mention specific scenes in a film, I'd be remiss not to mention the incredible chase scene Cage has through the streets of San Francisco, in the beginning of the film. It was reminiscent of the great car chases of the Lethal Weapon series, and really stood out to me. The Rock is a terrific story, featuring a cast in which old school and the younger generation collide, and to top it all off, it has that Michael Bay spin and over reliance on special effects. It's a terrific action film which sadly is rarely seen anymore in the world of computer generated effects and muscle headed action stars.",8,2,2,8 June 2014
Moneyball," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","If you're not a baseball fan, you're going to find Moneyball boring and a little bit confusing. I am an avid baseball fan and saw this film about the inner working of the front office to be extremely interesting and just plain awesome. The Oakland Athletics are a small market team and can't afford to put a hundred and fifty million dollar team of stars on the field every years, so how can they possibly compete? It's a problem faced by almost half the teams in Major League Baseball, while teams the Yankees and Red Sox win year after year, teams like Royals haven't made the playoffs in twenty-five years! In sports, if you can't win, you can't draw fans and make a profit, so when you can't afford a winning team, you were just screwed, until Moneyball. Based on the true story of Oakland Athletics General Manager, Billy Beane, the film follows his creation of a system to judge players on more than just the basic scouting and numbers that have been used for a hundred years. Using this system, Beane and others who followed, have been able to compete with much lower payrolls, changing the face of Baseball. Brad Pitt is terrific as Beane and most definitely earned his Oscar nominations, but where did Jonah Hill's come from? I love Jonah Hill, but his character was as generic and boring as they come. In Moneyball, Hill plays Brad Pitt's sidekick, and is nothing more than a boring statistician, I've seen B-Movie performances that upstaged his in this film! If you love sports and want to know more about the behind the scenes aspect of it, Moneyball is a terrific film to use, but if you're not much of a fan and don't really care about sports, that you will just find this film boring. It's geared to a very specific type of moviegoer and if you're not into sports, you won't be into Moneyball.",8,0,1,3 September 2012
The Avengers," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","In the decade it's taken to bring everything together, we've continually been promised that the Avengers would be the superhero movie to change all superhero movies and it's a damn good thing, because I really hate superhero movies. Three things made this film standout and shine over the many, many superhero films that have been released. The most obvious thing is the huge, superstar, cast. Not only is it incredibly difficult to bring a cast like this together, but to get them to work together, without getting in each others way must have been nearly impossible. Second, even though the film involves superheroes and outer space, it seems somewhat realistic to us. These heroes have families, personalities, feelings, people get hurt, and some people even die, letting us see the human side of these characters. Finally, the Direction of Joss Whedon brings it all together. Whedon has always had this unique ability to put his own style on spin on things, at first it seems strange, but ultimately we come to love it. He is such an underrated Director, who brings so much to everything he's a part of, and it's great to see him get to do a huge project like this. The Avengers was special, not only because it took a decade to make, but because if you saw all the individual movies first, like I did, you feel a connection to these guys, it's almost like you know them personally and you expect them to act in certain ways when they all come together. The individual films really built up the excitement and helped the Avengers to become a billion dollar earner at the box office. From the performances to the special effects this was once exciting, terrific movie, and may be as close to perfect as a superhero movie will ever get.",10,2,6,16 June 2013
The Hunger Games: Mockingjay - Part 1," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","It is a common misconception among people who never read the series, that all the books are similar and simply about the games. They don't realize that the games are just a small part of what is happening in Suzanne Collins futuristic world of Panem. If you've only seen the first film, and you're thinking that the rest are just the same thing in another setting, you couldn't be more wrong. Normally I would give a synopsis of the story before I review the film, but it's difficult to do without spoilers, so I will say, that Mockingjay couldn't be more different than the other films/books. There are no games, but the story does follow some of the people you met in the games. Once again, this film is like a page for page telling of the book in such a way that I've never seen before or since. When you read a book, often times you get pictures in your head of people, places, and things. When those films are transferred to the screen, most of the time, what you pictured in your head is not what you're seeing on the screen. The Hunger Games is different, because it really is like Suzanne Collins was in my head when I was reading the book and transferred my thoughts to film. It's what I loved about the first two films, and that hasn't changed in the third movie, despite a new Director. Once again, Jennifer Lawrence stars and continues to be the perfect choice to play Katniss Everdeen. Years ago, when I first read the Hunger Games books, I thought to myself that if this ever became a movie Jennifer Lawrence would be the perfect choice to play Katniss and apparently Collins had the same thought. Lawrence is the focus of the film and with all of America and Panem watching her, the Mockingjay shines, as both the face of innocence and as a leader to her people. I've read a lot of books before I've seen their film adaptations, but never has a story jumped so vividly from the pages to the screen. This series continues to be exciting, inspiring, and just plain terrific. If you're the kind of person who is turned off by sequels, don't let that stop you from catching up with the Hunger Games, because every film is just as good, if not better than the film before it.",10,3,13,1 May 2015
Men in Black 3," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","The formula for trilogies is simple, the first one is amazing, the second one is terrible, and the third one is pretty good. Almost all trilogies seem to follow this format, but Men In Black has always played by a different set of rules and as it turns out, the third film was far and away the best of the trilogy. In this installment of MIB, the notorious Boris The Animals escapes from his prison on the Moon. This is significant, because putting Boris away is what made Agent K's career and cost Boris an arm. Boris, determined to change things, goes back in the past to kill K. Once he does, everything descends into chaos and the Earth is at risk, so Agent J, goes back in time to stop him. Once in 1969, J enters into a strange new world where he sees that the more things change, the more they stay the same. Josh Brolin plays the younger K and is absolutely terrific, it was amazing and hysterical how he captures and mimics every single one of Tommy Lee Jones mannerisms to a tee. Will Smith is his usual self, with his quick one liners and terrific actions scenes, he hasn't missed a beat, even all these years later. For as good as the acting in this film was, the story is even better. Watching this film it's hard to believe the story is based on a comic book, because the writing really was tremendous. They took a step back and show what MIB and it's agents were like 40 years ago, at the very beginning and it was really interesting to see. Men In Black 3 is far and away the best of the trilogy and one of Will Smith's best films in years. Science Fiction is usual a narrow genre, that isn't for everyone, but this film does have something for everyone and for that it gets the label of a can't miss movie.",9,0,1,29 July 2013
Scarface," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","When you watched Scarface as a kid, (assuming you were allowed to watch Scarface when you were a kid), it was thrilling and exciting, with all it's F bombs and gun fights, it's like nothing you'd ever seen before, but watching it as an adult, it doesn't give me the same thrill as it once did. Al Pacino is of course amazing, he's pretty much amazing in everything he does, but as far as the film goes, its centered on this masochistic ahole, who was never happy with what he had. Tony Montana, was never a hero or someone who was meant to be looked up to as one of the greatest characters of all time. As far as Mob films go, Scarface is so much easier to follow then most, as the timeline makes sense, and you're not introduced to new people every five minutes. While Al Pacino is terrific, the mumbled lines and enormous greed leave something to be desired. Not to mention that when you break things down, isn't the film really just business meeting, gunfight, personal life, repeat? After a while the film feels like it's going around in circles and really is kind of stale. People will always remember this film for it's epic finally, taglines, and the great Al Pacino, but as far as stories go, this one isn't something I would consider a classic or a can't miss film. Scarface has it's moments and has to be at the top of the list for action junkies, but beyond that, I found the story to be just your run of the mill mafia tale, focused on a guy, who was too greedy and too stupid to hold onto everything he worked so hard for.",7,0,3,7 April 2016
The Incredible Hulk," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","The Incredible Hulk, not to be confused with the movie Hulk, is the first of the individual movies that introduces us to The Avengers, and that's the only reason why I decided to see it, as I never really cared much for the character. I mean think about it, this scientist whose trying to create a super soldier tries the solution on himself, and now when he gets angry he turns into a WWE Superstar! As for the film, it's not much better. I love Edward Norton, he's a big name and a star in his own right, but he's just about the last person I would choose to be the Hulk. His whole personality wasn't right for the part. I like his co-star, Liv Tyler too, and it wasn't that she was bad in this film, it's that her role was a joke and she had absolutely no chemistry with Norton. Tim Roth was the bright spot in the movie, as he's one of those guys who can adapt to any role and I think I'd have preferred to see him as the Hulk. As for the story, parts of it were decent, but they skipped the whole part of the story that I wanted to see! The film starts five years later, in Brazil, I wanted to see how the story started and what prompted banner into doing this. I hate superheroes and I hate their movies, but the Avengers stories have been different. With the exception of Thor, they have for the most part been somewhat realistic and believable. The story here is lame and the movie is based on special effects which did nothing to help the film. The last half hour of the movie, I felt as though I was watching Peter Griffin fight the Big Chicken and I honestly hated every minute of it!",4,0,0,3 March 2013
The Monuments Men," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","When I saw the preview for The Monuments Men, I was really excited. I've never been all that crazy about George Clooney, but I love Matt Damon, and the film is based on a little known tale from a famous historic event. Stories like this one, are often turned into some of the best films that Hollywood has to offer, and I was sure this film would be a can't miss. Clooney stars and directs this extremely large and diverse cast, which ultimately turns into it's downfall. When you have a large cast of talent, you need to be very careful about how you use them. In The Monuments Men, the cast is split up all across Europe, leading to short scenes, that jump from location to location far too quickly. When the crew is reunited towards the end, the film becomes much better, and in my opinion, this is how the story should have been told right from the beginning. The story centers around a community of art lovers, who are distraught about the Nazi's theft of historic works of art. As the war is winding down and the Nazis defeat is imminent, these men want to make sure that the worlds greatest works of art are protected, and their willing to risk their lives to do so. As I stated earlier, George Clooney stars and gives his usual performance. When Clooney first started doing movies, he was exciting and really gave audiences their moneys worth, but lately all he does is play the same character over and over again. Clooney is the mysterious, handsome stranger, who does a lot without saying much. Some people love that kind of thing, as for me, I find it to be lazy. If you just wanted to direct, there was more than enough talent to carry this film, and in fact, I would have preferred to see Bill Murray or John Goodman in larger roles. The story told in The Monuments Men is extremely interesting, but it's told in these fast paced, short scenes, that do nothing but confuse the audiences and squander the extreme amount of talent this film has to offer. Needless to say, while I thought the film was a great idea, I was far from impressed.",6,1,1,25 November 2014
The Equalizer," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","The Equalizer was one of the most underrated shows of the 1980s, it was a great show, but it always lacked a certain intensity that the lead character needed. In this 2014 film adaptation of the series, Director, Antoine Fuqua, made sure that didn't happen again. Denzel Washington stars and can play anyone, but I find he's at his best when he's playing a dark loner like Robert McCall. McCall, a former CIA operative has retired and is attempting to live a normal life. Everything is going as planned, until he sees a young girl being abused, and decides to take action. McCall believe he's just going up against a local pimp, but discovers it's a lot more complicated than that. Washington continues to be at the top of his game, as the ageless wonder is once again spectacular. This film is everything I loved about the series, with a whole lot more action and intensity. Director, Antoine Fuqua, has been on a role after films like Training Day, Shooter, and Olympus Has Fallen, and he has become THE guy when it comes to action films. Playing off an established franchise and paired with Denzel Washington, The Equalizer has come back to life and is one of the most refreshing action films I've seen in a long time. Sometimes with a different team, what was once old, can become new again, and I was practically jumping out of my seat with excitement. As far as the continuation of the series goes, Fuqua is in the early stages of a sequel. It may not be a new TV series, but it's still something exciting for the fans, and I for one can't wait to see more.",8,0,3,30 March 2015
The Expendables 2," The Ultimate Movie Review! - http://tss5078.blogspot.com - @tss5078
","Sylvester Stallone had a brilliant idea that came to fruition in 2010, with an action movie that brought together all the big names in the action movie genre, but there was a problem. You just can't fit every big name into one movie and give them all significant screen time, so you had to have a sequel. The more things change, the more they stay the same, however, as this time, the story was a bit better, at least for an action movie, and the cast was a bit younger, but the basic genre was still the same. Barney Ross's (Sylvester Stallone) team is once again brought together to do a job, this time there are some new younger faces, to complete what seems like what should be an easy job, what they weren't expecting was to stumble right into the middle of a madman's master-plan. As I said, the story wasn't as basic this time, things were a little more complex, but on a basic level this is still you're typical shoot em up action film, with bodies and explosions constantly coming at you. What I did like was how they change things up a bit and didn't just feature the same actors, even though many members of the team were the same. The one thing the first film was severely lacking was youth, and I don't know about you, but I'd much rather see Liam Hemsworth fighting with his shirt off than Sylvester Stallone. All in all, the sequel doesn't differ that much from the original, but where it does, only helps the series. The cast is younger, the story is better, and the action hits harder. If you're an action junkie, it doesn't get more exciting than the Expendables and the sequel will have you craving a trilogy.",7,0,0,28 November 2016
