movie_title,title,review,rating,helpful,total,date
The King's Speech," Tweed orgy
","The British are of course totally unbeatable, when it comes to this kind of movies. Geoffrey Rush and Colin Firth don't destroy the tradition. Totally clever, including large amounts of very dry humor.King George VI was a stammer. Historic facts say he got over it already in the late 20s, but that wouldn't have been such a good story. This is about the abdication crisis and his brother, the king's, urge to marry this twice divorced Mrs. Simpson. The king does and then comes the war and George has to give a radio speech. Nobody can help him except for this obscure Australian with no merits.A movie totally out this world, even if it's 75 years ago. True dry entertainment.",7,2,8,9 February 2011
Black Swan," Not black and white
","To understand this, you have to be somewhat familiar with the plot in the ballet 'Swan Lake'. There you find a woman with two different characters, although on the surface two different persons. Often, those parts are danced by the same ballerina.This is what Natalie Portman does here and this may be the performance of her life. There's a struggle inside her, between black and white, and she gets more and more confused about what's reality and what's not. The same goes for the audience.But anyway this is a movie which has, so to say, seen Polanski's 'Repulsion' a couple of times too much. Or maybe a couple of times too little. The usual ballet clichés are here too. Portman saves it, but can't really save it all.",7,0,0,12 March 2011
Changeling," Mainstream corruption
","It takes place in LA during 1928. A boy strangely disappears. After a couple of months, the police force finds him. But the mother is oppositional. It's not her son.Then starts the struggle against police and asylum corruption and the mother is helped by two good guys, a reverend and a lawyer.Director Clint Eastwood surely knows what is expected of him and does a little more than that. He lets a scene take its time, without loss of tempo. But Eastwood doesn't take any risks either and the same goes for John Malkovich and Angelina Jolie, who both can do better than this. Rather entertaining, but not something you think much about after leaving the cinema.",6,4,8,18 January 2009
Walk the Line," Simplicity as a virtue
","Normally you would regard this movie as another shallow idol portrait, but the actor work makes it the opposite.Joaquien Phoenix are mostly making his performance through looks and body language. And he really tells a lot by that method. Reese Witherspoon forms a full character with another technique, but they are completing each other very well. And don't forget Dallas Roberts in the small part as Sam Phillips. Performance of last year.The script is rather simple, but leaves space for these actors to make something quite interesting out of it. A positive surprise about a true American hero.",7,0,1,27 May 2006
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan," Prejudice inc.
","Yes, it is very funny and it's the murder of the American attitudes we love to have murdered. Bot not only redneck views. It also hits on New York feminism.It's the candid camera concept. But most of the scenes must have been arranged, with perhaps the exception of the rodeo and the religious meeting. Maybe it would have been even more funny, if everything was authentic.Anyway, the best way of fighting prejudice is to make us laugh at it. This is Michael Moore aim, but with a quite another approach and without intellectualism. It's functioning.",8,1,11,5 November 2006
Requiem for a Dream," Life and death conditions
","There have been two American films recently on Stockholm's movie houses that go beyond anything else this year. The first is Memento and the second Requiem for a Dream.The latter is really getting you involved as a viewer in a way which is painful. After about 75 minutes I felt like vomiting or almost fainting. Not because of the violence or the blood, which isn't extreme, but because of Mr. Aronofsky's (the director's) way, together with the actors, of hooking you and bringing you further and further into an absolute hell. There is a big big rage here. A rage considering narcotics, but also considering our liberty, which draws people down in despair and misery.This is the strongest film I've seen for years and still a day after viewing it I feel physical weak, thinking about it.Ellen Burstyn is a genius as an actress, but her young colleagues really have a great future ahead. And so has American film probably.",10,0,1,2 November 2001
Captain Phillips," Modern pirates
","There are certain action tricks which live on forever, if they are performed with good handicraft. You find many of them here. Of course you also know who the good and the bad guys are, but you're not that certain anyway. Why are there pirates from Somalia, attacking Western ships? Can it have anything to do with Westerners stealing the fish they used to live on?But one trick is here repeated once too much. That one with the sacrificer. Tom Hanks is good, sometimes it's even quite exciting, but you of course know how it will turn out. An old trick is an old trick.But OK. Entertaining.",6,0,1,3 December 2013
3:10 to Yuma," Good laugh for us and the actors?
","The American Western, what happened to it? This movie category, which is so much identified with American film making, never regained power after Sergio Leone, although there was somebody called Sam Peckinpah.This is a try. Every Western cliché you know so well is present here. You don't have to miss anything, if you ask for the poor farmer, his almost grown-up son, the dramatic intensity between the bad and good, the apaches, the saloons, the typical Western town.So far it's quite funny, but in the final scenes it really is too much and the whole thing starts to take itself seriously. Not at least when it comes to ethic lessons. It stops to be funny at that moment and you've got nothing to do but sigh.",4,3,11,8 March 2008
Skyfall," 50th anniversary
","Whether you like it or not, this is film history. No character has this continuity for so long. Bond always survives. It's not spoiling anything telling he does so this time too.No, they don't just hit each other or shoot each other or go to bed with each other. The people are since a couple of films ago more complicated and the action is not so much computer animation here. And if it is, it's much better made.OK, the world is saved again, like it has for 50 years and we can certainly look forward to another 50 years as long as audiences don't lose interest. Probably they won't.",6,0,7,4 November 2012
The Young Victoria," Old story told like an old story
","The British are by right famous for their costume dramas. But this is a failure with characters as stiff as the men's collars and a picture language which very much reminds of the paintings from the period. The years around queen Victoria's coronation.You can of course make such a movie must about private life, with the prime ministers Wellington, Peel and most of all, Melbourne, turning up. And it can be filmed theater too, but here it is just theater and not a very splendid one.Her majesty deserved better. To quote her: -'We are not amused'. Or like she said about Gladstone: -'He talks to me like a public meeting'.",5,11,23,21 October 2009
