movie_title,title,review,rating,helpful,total,date
The King's Speech," Will have a lasting impression but to go till the end, have patience please.
","Just watched it for the second time to understand the screenplay. The first time I did, i had to take a break but now I saw it in one go. The screenplay is simple, it does not have many scenes and is mostly shot interiors with the major part being the confrontations of the King and his speech therapist.OK to begin the review with, the first notice would go to art direction and sets as this is a period film and they are immaculate and beautiful. The performances surely top notch specifically of Geoffrey Rush who acted as speech therapist Lionel but the more tougher one was of the King, played by Colin Firth and he came out with flying colors delivering the act. He stammers so well. The camera work is simple, it remains faithful to the spirit if the film by not providing funky or exuberant angles but providing straight angles. The music direction has to be so much recommended as it brought back the Symphonies alive.But yet, I have not discussed the part that is best about this, it is it's writing, the writing of screenplay and the direction of Tom Hooper who sticks strictly to what it is, The King's speech how he learnt to speak and propagate his voice. Though there is huge history at it's backdrop, be it the world war 2 time of time of great importance to England adding to the death of the earlier king and the heir who was given the thrown, abdicates it and thus the Duke of York as he was named at the beginning, takes over as the King of British.His reluctance is well expressed and so is his anguish, he does not stammer when he sings or shouts and thats what is caught by his teacher and helps him.Having said all that, it's not a movie of history or about speech therapy, it's a simple and well told of how a man overcame his misgiving and fought to stand erect. Though this is a great movie that is so absorbing, I doubt if it is the best one I saw in last year as it had been given numerous awards. Surely, Colin Firth and Geoffrey Rush deserve acclaim.Rating : 3/5. Will have a lasting impression but to go till the end, have patience please.",6,1,4,20 September 2014
Despicable Me 2," A fine sequel but not as charming as the predecessor.
","A fine sequel but not as charming as the predecessor.Many sequels get lost or get rotten by showing the same thing over again in a new package. The packaging is different but the contents are more or less the same. This film too, follows a similar path just that it deviates to introduce more themes or plots. Like, the sub plot of Gru (played by Steve Carell) and his girlfriend Lucy (played by Kristen Wiig). The villain is new, the gags are new and the action is also new, yet the soul remains unperturbed or changed. So that's a bit of disappointment if you expect something radically different in this. If you loved the earlier one indeed there are higher chances that this one shall also be loved. I am saying this, as actually there are more moments of laughter and fun. The minions, who had a lesser role in the prequel play a big role in holding the film together and helping the hero achieve to win over the villain. I ain't gonna reveal anything more than this, concerned to the plot. Of course, the kids who were there in the earlier film are part of this too. I like it but not to an extent as I liked the first one. Yet, it's watchable and hilarious too. I am going with a 3/5. Yes, it's surely a well done animated film. But for me, I got a feeling of been there and seen that.",6,1,1,7 September 2014
Black Swan," An engrossing tale of an artist's pain, in pursuit of passion.
","An engrossing tale of an artist's pain, in pursuit of passion.Darren Aronofosky is a filmmaker whose films are a real pain to watch. One cannot watch films like Requiem for a Dream or Wrestler or even this film more than once. Even if they do, they must endure a lot of pain and it's a great challenge to be seeing these movies again. If the performer goes through pain, Darren makes it so visible and physical that it's tough for the audience to sit through that. And that's why I respect Darren Aronofosky more than many contemporary directors. One must have a gut to show the pain as it is being shown, also must have the balance not to make it satirical coz it's genuine pain. Darren Aronofosky achieved that in his endeavors thus far and hope so he does that in future.See my review of WRESTLER HERE http://braddugg.blogspot.in/2011/12/wrestler-2008-english.htmlSo that was my appreciation of Darren Aronofosky and his work, now let me talk specifically about this film that's about a Ballad Dancer performer. BLACK SWAN is wicked twin of the WHITE SWAN in the Ballad of SWAN LAKE of the 18th century and the tradition has been continuing since. Now, over and above the form of art, it's the way the art is pursued with enormous passion. It's the passion of an artist and when one is too very engrossed in art, he may have delusions of grandeur and that's what happiness with Nina (Natalie Portman). She starts to see her other side, as she tries to transform herself to a Black Swan and the transformation is in itself so very insightful. There can be symbolism drawn between the the state of mind of the artist and so many things that we have learn thus far. Be it a Fyodor Doestovosky's THE DOUBLE or Roman Polanski's ROSEMARY's BABY or TENANT or David Cronenberg's THE FLY. It's the psyche that delves into delusions and makes her physically tiring and even gruesome as there is blood coming out.That's a really interesting take as she keeps seeing herself in such forms as they as she is too passionate about the transformation. Coming to performances, Natalie Portman as Nina, the white swan and the black swan has given a performance of her lifetime and she certainly deserved to win so many accolades. Vincent Cassel, Mila Kunis have complemented Nina well and have given us something that's arty and yet so real.The best part, apart from the subject, the direction, the acting of Portman is the background music by CLint Mansell. It haunts us even after the film is done log ago, though it doesn't have a great longevity as Clint Mansell's other work, Requiem For a Dream, it surely has an impact that can be felt for sometime even after the film.I am going with 4/5 for a movie that resonates the pain of an artist, rather a passionate artist and what one has to go through to accomplish their dream.",Null,0,1,8 September 2014
Frost_Nixon," It's an interview where the president is interviewed for his crimes.
","It's an interview where the president is interviewed for his crimes. Now, this is a kind of movie that made me doze off, it seemed like a character study with a historical background. A man has done something wrong and it's all up to few other people to make him accept the crime or make him guilty. Now, Nixon was the president of USA and he was the only president to have resigned in 1974 for being part of a Watergate scandal. It's a beginning of a fall, and a fall of a president has to be interesting or at least there has to be substantial interest. Ron Howard creates that interest by making this film like a Network kind of film, where media and the impact of media plays a huge role in determining the character of a person. You are what you you say more than you are what you do, this seems to be an undercurrent theme in this media run movie. Acted competently by Michael Sheen as David Frost, the man who interviewed the president Richard Nixon, played by Frank Langella. These two performances are enough to make it go and see it. Having said that, it's their dialogue that has lot many details that make us sit and observe and then they do not help us conclude but rather confuse us what is right and what is wrong. Maybe, the point was to show that we are grey and not black and white, fair enough and if that's the point surely it was well made. Ron Howard as a director seems to be great at such Historical Dramas, be it Apollo 13 or Beautiful Mind or Cinderella Man. This one is no surprise and definitely it's a good film and indeed worth a watch for its screenplay and dialogue and acting more than anything else. The production design was good, the editing could have been better for a near 2 hour film that is all about an interview where lot many details are revealed. It's not a film where we can relate to, it neither one that is entertaining and makes us sit and watch, it's one that is simply made for showing us the brain behind a deed or rather misdeed. A 3/5 for definitely good film but I am sorry coz it did not work for me. Maybe, I am not interested in the politics involved in the film.",6,0,0,8 September 2014
The Sound of Music," Music is certainly divine. It brings order in chaos and peace in life.
","Music is certainly divine. It brings order in chaos and peace in life.Music is what Maria brings into lives of the children of Georg Von Trapp. They in turn become loving, sincere and disciplined kids.This film is certainly about music, the impact of music and how music can be used as a tool of inspiration to children. From the song 'How do you solve a problem like Maria?' to the inspirational 'Do Re Mi' to the title song 'The Sound of Music' and the other wonderful song 'My Favorite Things', these are exceptional songs that are tailor-made to the script and carry the narrative forward. Even the final song 'So Long' is done wonderfully by everyone. Credit to the composers Richard Rogers and his team for this. Also, the director Robert Wise who had a vision and let the songs flow into the narrative fluidly and let the songs speak for the movie, is a wonderful thing.this is certainly one of the great musicals that will be there for as long as movies exist. The well placed nuances, the theme, the characterization blended with the glorious style and the grandeur set in the alps. It makes this a great movie. Yet, I have only one thing against this and it's the plot. The plot is predictable and thus making me lose fun in between the film itself. The climax is pretty simplistic and comes in haste. barring these, the rest is mellifluous and poetic.No wonder why many musicians have loved this film. Even I love this, wish it was more unpredictable. A 4/5 for this.",8,2,9,17 August 2014
Catch Me If You Can," Steven Spielberg brings up a rather interesting story but makes it his own slow paced drama that is less interesting than it really is.
","Steven Spielberg brings up a rather interesting story but makes it his own slow paced drama that is less interesting than it really is.Inspired by true story of the con man and runaway thief and fraud checker Frank Abagnale Jr. the story is really interesting in terms of how he disguised himself into so many professions, how many flaws are there in the system. How easy it is to become a pilot, doctor and even a lawyer, how worse are background checks in America and how spineless is FBI too. Now, all this was interesting premise and this is indeed a worth telling tale. Yet, Spielberg made this to a heroic tale of a famous man and how even he has a human side where he loves his parents and wants to be faithful to a girl he loved. I didn't want him to be humane, I would have rather loved if he was lethal and brutal than he is actually shown to be. Tom Hanks here tried to make a fool of himself and I did not like it coz, he failed even failed to make a fool of himself and that's really sad, coz Tom is a fine actor and his acting did not show up here. The movie belongs to Leonardo DiCaprio who does a fine job and the now superstar who was still a coming up actor in 2002, did show that he had the potential of making it big and his choices have made his career great. Leonardo as Frank comes with all guns blazing for whatever he is asked to do but I just wish his role was more cold blooded and cunning in despising himself and making merry with what goodies he gets. The art direction seems to be fine, but soundtrack of Jazz caught my ears and that was some real good music and I loved the soundtrack. Now, cinematography is good too, yet this is over two hour two minute saga that loses steam by the end. I wish it had more pace and not as lethargic as it is. The supporting cast did their job well and Amy Adams was a really cute pie then and she has come a long way since then.The writing had been a bit more crisper and the scissors been much more tight would have made this chase a delightful one, in a heist and chase movie, we do not expect drama but this loads of it, the father intervenes and the son-father relationship was not so much to my liking coz it was more of a clich̩d thing than a fantasy one. The son keeps saying, dad I do this for you, I do that for you, now you and mom be happy. Ah, just cut the crap man.Oh, did I go too harsh in criticizing this movie, yeah I would have coz this is a great film for few but not for me. For me this was kind of routine stuff from a director who made a distinction to himself of making movies or telling stories that are too very engrossing and make us move, be it a ET, Jurassic park or a Schindler's List. Now, Spielberg got down to this and it was an OK attempt not a great one though.I am going with a 2/5 for an average movie from a great director and two of the very good actors we have around. This is what your bread and butter is, I need your gold and diamonds.",4,2,6,8 September 2014
Raiders of the Lost Ark," This is an adventure film and perhaps one of the best.
","This is an adventure film and perhaps one of the best.Indiana Jones, the archaeology professor takes us on an adventure and lets us know about things that we never knew. I am not sure if they ever existed but as along as I am on fun ride, I am pretty happy with the fiction element of the ride. And this one is a fun ride and good one too. Having said that, I still can't say if it still has the charm of 1981 (rather I saw it first time in 2002) but as I saw it today, it made a fun ride. Thanks to Harrison Ford for carrying the style and flamboyance needed and to Steven Spielberg and George Lucan and team who made this INDY possible. It's an adventure of 1930's and art direction and cinematography are superb. The music which has now became a signature tune even to film awards in India is gonna stay with us for a long time. Some film makers have claimed this film to be changing their mind and pulling them into films, example Nagesh Kukunoor. So the impact of the film is understandable and yet is extensive. The special effects are nowhere when compared to what we have today, but it was made but what was there in 1981 and boy, I must say it will stand better than many special effects films even 100 years later. The best thing probably is the setup, there is a dialogue initially to help us understand what is the purpose of the adventure and then once the adventure rolls in, we are put aback by thrills and stunts and more than anything, the enigma of a charismatic man called Indiana Jones.I would go with 4/5 and recommend it to all those adventure and fun loving guys. And for all the parents, your kids will love this film more than the recent crap films like JOURNEY or anything. I strongly believe this.",8,2,4,19 September 2014
Casablanca," To begin with a review for what is considered a great movie of all time by many, I would say, 'Play it again, Sam'. The line is in the movie itself.
","To begin with a review for what is considered a great movie of all time by many, I would say, 'Play it again, Sam'. The line is in the movie itself.This movie is revered by many and indeed comes out as a great love story, but in fact apart from few minutes of a montage or a flashback, it never really revealed how they did fall in love, they here is the hero and the heroine. The protagonist, is apparently not a human here but they are the transit papers that drive the whole story and to get hold of them will be each character's will. Played extremely well by all the characters involved, the acting is a text book for many aspiring actors even today and shall be there forever. Ingrid Bergman as Ilsa Lund just paints the screen with her eyes, so well captured those eyes are that they made me desire for them and to have a faint touch of those to wipe those tears. This movie shall always be a tribute to her. Humphrey Bogart as Rick Blaine has done well and what I learnt from him was how to be expressionless and to derive an expressionless face also needs an extremely tough expression.The writing is pretty accurate but the reasoning's are minimal, why a certain character behaves in a way is not completely revealed in the film. It is highly unconventional a love story for 1942 coz, Ilsa is seen kissing Rick many a time as he is the one she loves but is not by Victor Laszlo, the man whom she is married to and the man who loves Ilsa the most. That is an irony and brings an uncertainty to the way characters act. One scene where Ilsa and Rick are in Paris, embracing each other breaks up where they have to part and another scene turns up that Ilsa is manipulating Rick later to escape the country and even then she says that she loves Rick only. That is an inconsistency I observed but nevertheless, the story she reveals to Rick as to whom she was and what has actually happened to her makes up for it. But for today's viewers most scenes may seem like to have been cooked up and not so fluid and even I felt the same, the climax escape which Rick sets up is a bit truly altruistic and actually not very much appreciated by me. If I love a woman, she comes back I would rather stick with her then let her go again. My love is of prime importance to me but here, Rick has other plans so I did not like the climax much had it been the other way portraying a selfish human being as protagonist, surely the movie may not have received this much appreciation.The music is excellent and the one song As Time Goes By is poignant and relevant to the movie narrative and even for normal reference. That is a high point apart from the acting of the film. The cinematography was simple and so are the settings which are mostly shot within studio.So thus, I would say, this movie accounts as a great one by many and is loved by many more and I would love Ingrid play the role again and again too. But writing should have been tight and the characters should have been driven by selfishness rather than selflessness.My Rating 3/5. A good one to watch for sure but not the greatest for me.",6,1,2,20 September 2014
Chinatown," Mesmerizing and mysterious and so authentically made.
","Mesmerizing and mysterious and so authentically made.Its hard not to delve into the script right from the first frame, as the reels goes on, characters become more mysterious, more secrets are revealed and more questions raised, is it about water and the power to hold water or something much beyond that, if that's one question, then why is Jake so interested in things like Evelyn Cross. Jake Gittes is played by Jack Nicholson and he is done an exceptional job and so did so many others, in fact all of them must be applauded for acting. Now for such supreme acting to be extracted, the director takes a toll and here we have Roman Polanski at the helm and its his take on the script thats makes it more dark and interesting. Robert Towne has produced a screenplay thats is superbly written, fast paced for its 140 minutes length and becomes more interesting till the last frame, dialogues are written so well, that they are mystique when we hear and are so self explanatory when it happens in the film. The best dialogue that astonished me is 'She is my sister and my daughter' does anyone expect this all through the film, I very much doubt. The pace holds it up well and is written with enough moments of dark humor, its not sarcastic or finding flaws in system, but finding flaws in person who are a BIG part of the system and are the main drivers of it. So it's psychological more than incident based. I believe, Robert Towne wrote it as incident based screenplay but Roman Polanski who has made even THE PIANIST as an extremely psychological film is who raises above the script and makes it a masterpiece.I will go with 5/5 and a best writing for Robert Towne, best acting for Jack Nicholson and best direction for Roman Polanski are my awards. Just watch it please.Also, I got to know of this film through the equally well adapted Hindi film, 'Manorama Six Feet Under' which is well worth a watch will review that later.",10,1,2,19 September 2014
Gravity," The most immersing cinematic experience since AVATAR.
","The most immersing cinematic experience since AVATAR.Before I begin the review I have a qualm to express. I am appalled by the way Prasads IMAX does it's business. IMAX was built with a specific purpose and now with release of Telugu films which do not deserve an IMAX screen, Prasads expressed that its purpose is to serve Telugu films and the films essentially meant for an IMAX release, like GRAVITY have to take a backseat. I wish there was one show of this film in IMAX.How many do know that there is an IMAX in NASA Space Center in Florida. I was lucky to be at NASA in 2010 and more so as I did see a wonderful film called HUBBLE there. Now, GRAVITY is a film that is based on what may have happened to HUBBLE. That is all it has in common and from then on, its a bumpy ride its a kind of cast away it space. Where one person is caught in jeopardy and has to get out of it. George Clooney as Matt Kowalsky and Sandra Bullock as Ryan Stone are two NASA people on board the Hubble on an operation. Now, in space fixing a screw too is like an operation coz its daunting task there, considering many things. In GRAVITY, their characters are wonderfully written by Alfonso Cuaron and both have done their jobs wonderfully and indeed Sandra Bullock has won my heart with her performance. Why is Gravity so immersing is because this is not a film where merely some story is said. It throws you into the action, makes you empathize with the character and makes you relieved when the character attains the impossible. That's how cinema is supposed to be and GRAVITY succeeds in involving the eyes and the physical body language too of the viewer too. I felt dizzy at times and I am still feeling the jolt hours later. Impact is such heavy and also it's all worthwhile.Alfonso Cuaron, who took the pain of directing it must be a relieved man now since he has done the job wonderfully in directing this marvel now can sit back and enjoy the results of the hard work. The pain he took in detailing can be felt in every nuance that is there is on the screen, even the teardrops, the nuts and bolts, wow for all those in space. All my salutations to Alfonso, the writer director who had a vision and he has executed it a way that we seldom see in cinema.I loved the editing and the soundtrack. But above all else, I loved the cinematography and the visual effects. Placing the camera in the right position and to encapsulate the whole feeling in the lens is remarkably done. The post production work I am sure will sweep all the visual effects awards of this year.Above all, it's a story of inspiration and of human spirit winning in hard times. When there is hope and some common sense, 'fortune favors the brave' and that's what exactly happened in GRAVITY.A 5/5 for one of the most compelling experiences at cinema. I wish this film was not given a break by our theater people and I also wish that this will be soon released in IMAX as I am eager to catch it up in IMAX many many times. JUST LOVED THE EXPERIENCE.",10,3,7,7 September 2014
