movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Miles & Shelby: Friendship Through Racing
","Ford versus Ferrari is too bland of a title for this amazing movie. International title Le Mans 66 already sounds much better. I would however propose Miles & Shelby: Friendship Through Racing. This is what the movie is all about. There is a lot of competition, culture, drama, hardship and racing in this film but once you have gotten the bigger picture, this movie really is about the friendship between an ambitious constructor and a tough driver.This gem of a movie convinces on numerous levels. The settings are authentic and bring the United States of America, Italy and France of the mid-sixties back to life. An old sports car here, an iconic poster there and legendary race circuits bring back the pioneer age of race driving.The actresses and actors are doing an outstanding job. Christian Bale and Matt Damon are two of the greatest actors to be around and they underline their excellent reputation for two and a half entertaining hours. Christian Bale convinces as rough guy with a tender core who cares as much about his own success as he does about his son who idolizes him. Matt Damon incarnates an ambitious entrepreneur who always strives to make the impossible possible. The supporting actors and actresses are also noteworthy as Caitriona Balfe convinces as resilient, smart and emotional wife and mother while Remo Girone delivers the goods by incarnating legendary entrepreneur Enzo Ferrari.The story is obviously also addictive as viewers care about the fates of the charismatic protagonists. The plot might be predictable, especially if you have some background knowledge about the actual events this movie is based upon. This however doesn't reduce this film's enjoyment because everything is crafted with authenticity, detail and wit.In the end, anyone who likes racing must watch this intense drama despite a few minor lengths. Those who were longing for a similar movie after the astonishing Rush six years earlier, will finally get something to crave for. Ford versus Ferrari is one of the most emotional dramas of the year and best enjoyed on the big screen at your local movie theatre.",9,3,5,2 December 2019
Insidious: Chapter 2," It's different but it does live up to the first chapter
","If you happened to like the first chapter, you will also like the second even though there are a few differences between both movies. First of all, the second chapter kicks off with a more gripping story line and a few good scares while the first part took its time to introduce everybody. As the second movie is based on quite the same characters as the first movie, there is no need to lose precious screening time and the movie doesn't. This movie's pace is definitely faster and quite gripping from the beginning to end.The second movie also has a more complex story line. While the first movie left us with a few unsolved questions and problems, the second film resolves them all in a quite logical way. In fact, there are multiple story lines here that are though easy to digest and to follow and that all lead to a dramatic ending. We see some scenes that happen in Josh's past, other things that have happened in the first movie or just after, a couple of scenes playing in 'The Further' and finally the main story line in the now and here. Some scenes show us the past and present family life of Josh, others focus on the works of the ghost busters who try to help them. All in all, the story in here is much more intelligent and profound than in the first film which is something I didn't expect. The characters are even more attaching than before and you are really happy to see some of them again. In addition to this, the few new characters of good or evil character are really great and welcome additions to the plot. That's why this movie is one of the rare really convincing sequels as it lives up to the brilliant first movie.The movie has a few really good scares of course but overall the first movie was a lot creepier and more disturbing. In fact, you happen to know what is going on if you have seen the first movie and that's why you aren't that shocked or surprised anymore. This being said, you absolutely need to have seen the first film if you want to try out this one because if you don't know the first chapter, you won't fully understand the second.'Insidious - Chapter 2' has a few very memorable scenes and maybe even more than the first one. My favourites were the dice play that unveiled the hidden knife, the creepy but not evil mystery man in the first scene in 'The Further' and the scene with Marilyn and her mother. In some scenes, you can see that the second chapter is not only influenced by its own first part but also by several genre classics. The mystery man recalled me David Lynch's 'Lost Highway' while other scenes reminded me of the evil Bob of 'Twin Peaks'. The ending of the movie has many moments that made me think of the legendary 'The Shining'. I guess these references are more than just good as so is this movie.In the end, you really should watch this horror film of the year in the movie theatres but I may give you a few advices to end up my review. Just avoid going to the movies at popular screening times such as Friday or Saturday night. I have read and also personally experienced a lot of noisy people who are talking all the time and laughing out loud just to calm down and try not to show how afraid they really are. Second, you should keep your feet on the ground and not try to eat or drink too much during the movie. Some scenes suddenly get very scary and could lead you to throw away your popcorn and pour some coke on your clothes or those of your neighbour. If your potential girlfriend isn't all that much into horror movies or a Gothic, please don't take her out to witness such a movie. Third, you shouldn't drink or eat too much before watching this film. The movie has a few uglier scenes than the first one even though they are not disgusting. The thing is that you have a glimpse at a few disturbing things but your vivid imagination might think further and that's where this fantastic movie automatically leads you to a few nastier thoughts. If you have a weak heart, if you are a very nervous person or if you are pregnant, please avoid this movie for your own security.Anyone else, please enjoy this atmospheric contemporary horror masterpiece.",9,57,100,15 September 2013
The Avengers," Nothing truly outstanding but among the better superhero movies
","I will try to analyze this movie from a different point of view than most of the critics do. I went to see this movie without any expectations because of many favourable critics but I haven't seen movies such as Captain America, Hulk, Iron Man, Thor and so on. Usually, superhero movies are not my cup of tea and I find them rather childish and only focused on special effects and the same old redundant stories.This movie is among the better superhero movies but it's definitely not the big thing many people claim it to be.On the positive side, we have the great 3D effects that are really worth watching this movie in the cinema in comparison to many movies in 3D that are not quite spectacular and only try to raise the gross. The graphics and special effects of this movie are flawless and of the highest modern standards thanks to an exaggeratedly high budget of course.But there are other positive things to find. Robert Downey Jr. does once again an incredible job and becomes a better actor in my estimation each time I see him in a new movie. He is some kind of a slightly crazy but charming dreamer with a sense for romance and cool humour and incarnates the Iron Man in a perfect way. Mark Ruffallo plays a rather calm and intellectual gentleman that becomes the Hulk as soon as he doesn't control his anger. His acting is also very authentic and grounded in this over the top movie. These two actors really impressed me the most but Tom Hiddlestone as the egoistic avenger and half god Loki and the great Samuel L. Jackson as Nick Fury are also quite convincing while the other actors can't catch up with these four talented actors.On the other side, the story kicks off way too fast and if you don't know much about the Marvel characters, you will feel a little bit lost in the beginning. It's not quite clear who is attacking whom and why in the first couple of minutes but after that, the pace of the movie slows down and introduces the different characters in a solid way. In the case of the Hulk or Natasha Romanov (as she seems to be of Russian origin, her actual name should be 'Romanova' - it's a pity that such a famous movie with such a big budget has this kind of stupid error), the introduction's scenes are amusing and entertaining while the presentations of Captain America or the Iron Man are not very well thought out in my opinion.On the other side, the story of this movie is pretty generic and also predictable. The movie also has some important length in the middle of the film as the superheroes are discussing on the giant airship. The battle scenes in the end of the movie also get rather boring after a while and lack of diversity. The ending is also too much of a common standard to truly impress.In the end, there are almost as many negative as there are positive things to mention but as the quality of the positive facts is quite elevated and a more important factor than the pure quantity and as this movie was almost very well entertaining me over a quite long running time with two little exceptions, I may give a shyly positive seven points to this flick. After all, I might now try out the movies about Hulk and the Iron Man who are my favourite characters in this movie and can't deny that this movie awoke some interest in me to dig a little bit further into the Marvel world I have missed out.",7,2,8,16 May 2012
Blade Runner 2049," A remedy against sleepless nights
","Are you seeking a remedy against sleepless nights? You won't need any prescriptions to solve your problem. You simply need to watch Blade Runner 2049. Almost everything that could be wrong with a movie is wrong with this one. To start on a positive note, the visual effects are faithful to the original film, the directing is precise and doesn't feature any annoying contemporary shaky camera passages and the last third of the movie quickens up the pace and is at least slightly interesting. These three positive elements explain my rating but I really had to think very hard to find these reasons.Let's talk about this movie's massive problems. First of all, the film is way too long and takes nearly three hours to tell a story that would have justified a length under a hour and a half. The original movie wasn't the most fast-paced genre film ever made but it was bearable with a length just below the two-hour mark.Secondly, the plot is quite tiresome and can be summarized in three sentences. When things finally could start to get interesting, the film actually ends without a resolution. This makes me fear the worst. It's quite probable that there will be a sequel to this sequel which means that even those who haven't appreciated Blade Runner 2049 might feel forced to watch the sequel to know how the story actually ends. If you don't want to go through that dilemma, don't watch Blade Runner 2049 in the first place. While the original film is overrated in my book and doesn't do Philip K. Dick's novel justice, it had at least a coherent plot diagram featuring an exposition, rising action, climax, falling action and resolution.Thirdly, the movie tries to be overtly atmospheric but ends up being pretentious. There are numerous shots when characters walk through decayed landscapes in slow-motion. This idea might work every now and then to emphasize on the dystopian future that serves as setting but the idea is overused and prevents any momentum or pace to build up. The original film was slow as well but also had a few emotional and vivid sequences that contrasted the bleak vision of the future.Fourthly, the soundtrack of this movie is awful despite being written by renowned composer Hans Zimmer. Whenever the movie is dragging on and showing the main character walking through empty buildings for five minutes, the soundtrack suddenly gets louder for no apparent reason but to keep the bored audience awake. This surprising effect got my attention in the beginning but after it was used for a third time in a row, this strategy became laughably predictable. The present soundtrack tries to capture the essence of Vangelis' gloomy compositions for the original film but doesn't even manage to be a rough blueprint of the original score.Fifthly, aside of Harrison Ford's character who returns in the last third of the film when the pace quickens up a little bit, most of the other characters are quite pale. Especially Ryan Gosling's characters is so faceless that you won't care about his destiny at all. Jared Leto's villain character seems to be stolen from a weak episode of a science-fiction television series of the late sixties at best. The few interesting side characters such as Carla Juri's are underdeveloped and only have a few minutes of screen time despite the film's epic length. It's quite ironic that the most interesting character is the main character's holographic girlfriend played by Ana de Armas. The original film had several memorable performances by less talented actors like Rutger Hauer who were pushed by a great director while this film doesn't have that chemistry despite the skilled personnel involved.It was a pain to sit through the entire movie. I felt like walking out of cinema numerous times but I stayed because I had paid for it and because I was expecting a surprising ending. Now I know that I should have walked out. Despite the great director involved, several outstanding actors and actresses on board and even one of the best soundtrack composers in the history of cinema, Blade Runner 2049 is boring, hollow and uninspired. The original film was overrated in my book but this sequel is plain horrible. It's a mystery why this film got such a solid critical acclaim but hundreds of negative reviews prove that I'm not the only one who disliked this vapid flick. For me, Blade Runner 2049 even beats the shallow Kong: Skull Island in terms of negativity and is what I consider the worst film of the year. My suggestion for you is to read Philip K. Dick's novel instead of spending any money on this disaster.",3,18,38,7 November 2017
The Hunger Games: Mockingjay - Part 1," Bore Inc. 3.1.: Mocking Gay
","I appreciated the first two movies of the dystopian coming-of-age franchise that is a little bit too closely inspired by 'Battle Royale' but this first part of the third and last instalment is a massive waste of time and a cheap attempt at grabbing some cash from the numerous fan-boys and especially fan-girls. In my opinion, both occasional viewers and faithful fans should ignore this release, read the novel instead, and come back to the cinema for the second part of the grand finale. This movie only prepares for the last part of the series, a little bit like 'Harry Potter and the Deathly Hallows: Part 1' but it's even worse.Everything that I enjoyed about the entertaining first two releases is completely absent in this movie. The story has no tension at all and consists almost only of hollow dialogs. One could almost say that there is no real story. The rebels are trying to turn a few propaganda movies, the population is demonstrating against the Capitol and that's it. Instead of survival action, we get to see depressive and lengthy chamber play scenes in grey bunkers. The colourful and exciting locations are gone and replaced by dark concrete structures that make even the most functional Soviet cities look beautiful. The special effects in this movie are not even close to the breathtaking images from the first two parts. Even the soundtrack of the movie is a lot more generic than before. One of the worst parts of the movie was when main actress Jennifer Lawrence suddenly started to sing. It sent shivers down my spine but in a very negative way and it reminded me of some lyrics from an old Puddle of Mudd song: 'I never wanna hear you sing, you sound just like a little kid.' Jennifer Lawrence' vocal performance must be the worst I have ever witnessed in cinema. Nothing improved in this movie and everything that made the Hunger Games franchise so popular is gone.Even the acting is a lot less convincing than in the first movies as it mostly feels numb and unreal. Julianne Moore as President Alma Coin is pale and not credible at all in her role as nobody would follow such an uncharismatic leader in real life. Philip Seymour Hoffman as Plutarch Heavensbee looks like an annoying and old guy who thinks he is funny and cool but happens to be only embarrassing and stupid as he acts like he was mentally retarded. Even the characters I appreciated in the first two movies seem like pale copies of their former selves. I was eager to see Woody Harrelsen in his unique role as Haymitch Abernathy again but he only has a very small role and feels like a completely different character all of a sudden. Elizabeth Banks as Effie Trinket is a lot less colourful, eccentric and sarcastic than before. I'm aware of the fact that the general mood of the movie is supposed to be darker and more mature but the acting hasn't become more credible but simply shallower. In an unfitting contrast to this, Jennifer Lawrence is simply overacting her role as Katniss Everdeen. Every five minutes, you see her crying in a corner of her bunker, exaggeratedly hobbling through some ruins and yelling at everybody and everything when she's not pleased with something. In the first fifteen or twenty minutes of the movie, this acting seems like a welcome change to the tame acting of the others but a few minutes later one gets the impression that the main character has not only become a lot less mature than before but that she is simply out of her mind and dealing with important mental problems. It's not realistic at all to count on a bipolar princess who acts less mature than a twelve-year old and who only cares about her lover even though this is one of the least credible cinematic love stories I have ever seen to lead a revolution. At some point, her cringe-worthy emotional outbursts become unintentionally funny and would rather fit into a slapstick comedy movie.It was incredibly hard to sit through the entire movie. I kept believing as I was hoping for an explosive ending and the only interesting scene of the entire film takes indeed place in the last fifteen minutes but it isn't worth the wait either. Giving three points out of ten in here is still extremely generous. Instead of making me impatiently wait for the final chapter, I'm now seriously asking myself if I should not give up on the franchise. I really liked the first two movies but this one here is plain awful. As I said before, read the novel or a short synopsis but avoid this hollow flick at all costs. It's not worth spending money on it, it wouldn't even be worth watching it if it was for free. This movie is easily the biggest cinematic disappointment of the year.",3,16,22,17 December 2014
The New World," Slow paced documentary instead of a real movie
","Well, first of all, I would like to tell you that I am really interested in history, especially the North American History. I'm a history and geographic teacher and I'm also learning innu-aimun and watch Inuit movies. When I read about this movie, I was kind of happy because this could have been my kind of film. Well, it wasn't it at all.The movie shows a lot of beautiful landscapes, offers some interesting costumes and historical stuff. The movie is like a documentary or a walk through a museum. But there is nothing that happens! The development of the story is very slow and there is no point of acceleration anywhere in the movie. There are almost no dialogues, instead of trying to develop the characters or to create an interesting story about a forbidden romance, the director prefers to show us some birds and trees. I don't get any approach to the characters and their story which should be the core of this movie. When I was watching this first I've almost fallen asleep many times, I was wachting the clock like very five minutes, but I'm a tough guy, so I wanted to finish the movie and hoped for an interesting ending, but it was all in vain. It's just a boring documentary without a real story, without interesting acting, without surprising elements in the story... just avoid to watch this! If you like the general topic of the movie, go ahead for 'Nouvelle-France' or 'The last of the Mohicans', but not for this one...",1,1,6,5 April 2010
Sherlock Holmes: A Game of Shadows," Highly entertaining but less innovating than the first feature
","Sherlock Holmes: A Game Of Shadows is an enjoyable follow-up of the first movie with the same line-up and includes everything fans and critics likes about the first feature: the camera work, the images and the exotic locations are breathtaking, the visual special effects and action scenes are also mind-blowing, the soundtrack is once again very intense, the movie contains a lot of humour and slapstick scenes and the flick finally features a solid acting that is rated up by some new actors like the Swedish shooting star Noomie Rapace. You will get very well entertained for almost two hours in this ride of action, humour and tension.The reason why this movie though can't keep up with the first part is that its story is less intriguing, less surprising and simply less twisted. Many elements of this movie are quite predictable and stereotypical for this kind of genre while the first part had several well thought twists. Some scenes of the movie are simply too exaggerated like the escape scenes in Germany and the final showdown in Switzerland. This is effect loaded Hollywood popcorn cinema as we see it every day and the talent of many great actors and some great pieces of literature are somewhat wasted in here.Another important problem is that the actions and goals of the main villain remain somewhat superficial. In general, the different new characters should have been more developed. The actors do their very best to give the somewhat ordinary characters a unique soul but sometimes they struggle a little bit and their talent gets a little bit wasted in this movie.The script should have been more detailed and precise and the movie could have needed a healthy dose of around ten minutes of additional running time to portray us the uprising and the first evil actions of the main villain and his first acts of terrorism in the beginning. On the other side, the ending on the castle in Switzerland could have been more detailed and one could have shown us what happened to the different characters after the final showdown.Even though these important flaws, the movie is saved by all the positive elements mentioned in the beginning of my review and the ending creates some high hopes for a possible third part. I hope that a possible third feature might unite the amazing script of the first part with the solid acting of the second part with more impressive sound and image effects to create a nearly perfect flick honouring one of the most fascinating characters in the history of literature where the traditional meets the modern.",7,0,1,8 January 2012
Captain Phillips," Four new star actors are born
","'Captain Philipps' is an American action-drama inspired by but not closely based on actual events. The real Captain Philipps acted a lot less heroic and more ignorant than in this movie adaption that simply tries to do what many recent Hollywood movies do. They portray the hard but honest everyday life of a seemingly normal American citizen who suddenly faces big challenges and becomes a national hero. In times of governmental shutdown, economical problems and a slowly progressing decline as the world's most important nation, the people needs a few new heroes to believe in American society again. In this movie, you see how democratic institutions, dominant military forces and social cohesion defeat corruption, exploitation and selfishness in the worst among the developing countries. The film presents the United States of America and Somalia as complementary antitheses which feels a little bit like lazy propaganda. While the main villain constantly expresses a positive opinion about the American dream and how he could have a better life in that country, I must though admit that the movie also shows us the dark sides of some typically American values as individualism and weapons happen to be completely useless to resolve this movie's issues. Diplomatic elements, earthiness and shrewdness are the key elements leading to a predictable happy ending instead of a loner's brute force. Apart of its minimal propaganda tendencies and the predictable ending, I didn't like the character of Captain Philipps at all. I'm not sure if Tom Hanks wanted to portray an arrogant and unsympathetic old bourgeois but if this was the intention of the makers, his acting is simply perfect. If the intentions were to create a sympathetic main actor, he completely failed though. It's hard to tell but usually, this kind of movie tries to create an emotional connection between the main character and the viewers and this movie just doesn't manage to build this up. From the beginning on, I had no connection with the main character and didn't really care about his fate.Another small but important element I didn't appreciate was the fact that the main villain's English was so good. It's more than just a surprise that a pirate living in a desperate country ridden by a bloody civil war for more than two decades is able to speak English so well. I'm not sure if a young man like this ever had the chance to go to school at all. That's why this little detail and the general profound interactions between Captain Philipps and Muse feel a little bit too fabulous to me.The movie's strengths are elsewhere. First of all, this film is filled with incredible tension and especially the claustrophobic and uneasy last third feels very intense and real. The acting is only one part of the gripping formula. The great soundtrack, the efficient light effects and the out-thought camera positioning create this nervous feeling. The movie starts as a documentary in the first moments, slowly turns into an atmospheric thriller towards the middle, then it gets a refreshing action boost between the second and last third and it ends as an oppressive chamber piece. This mixture is very well balanced by the makers and the movie never gets boring in my opinion. Even though the content of the script is sometimes flawed, its general segment linearization is of the highest quality.The film also has its dramatic and philosophic elements as the villains aren't just brutal criminals but four very young and sometimes naive men who have no choice but to go through this hell to stay alive and take care of their elders and own families. The acting of the four Somalian pirates is simply outstanding and especially the performance by Abdi Barkhad is absolutely authentic and intense. Sometimes, the movie doesn't feel acted at all as if the real persons were replaying the tragic events that really happened in a slightly transformed way. This is where the movie almost looks like a documentary of the most intense kind.Despite its little flaws, this movie is truly intense and feels authentic. The first third has a few lengths but the last two thirds will keep you on the edge of your seat as almost no other movie this year. While the story itself and Tom Hank's acting aren't very good, the claustrophobic atmosphere and the incredible performances by the four young African actors are worth a few Academy Awards. I hope to see more from these four actors in the near future.",7,1,3,20 October 2013
The Expendables 2," More of the same with some good and some bad points
","If you liked the first part of The Expandables franchise, you will also appreciate this follow-up but if you didn't like the first part, the chances are elevated that you won't adore the second strike, too. The story of the new movie is pretty much comparable to the first one, the action scenes are also quite similar and most of the characters of the first feature are back for good in this sequel.Let's kick off with the negative aspects about this film first. Honestly said, the movie doesn't come as explosive as the first part as this one is even more predictable than the first feature film because of a quite parallel story line. Second, there are still some humorous moments in the movie but some one liners already start to be quite repetitive and feel a little bit too forced, old fashioned and used and that's why this movie has a lot less laughs than the first film. As a third point I must admit that I miss the aesthetic fights that Jet Li brought to the franchise as he has only a minor role in this movie and the combats are therefor rather limited, repetitive and only focused on brutality, effects and explosions. I might also add that I miss a truly good secondary role as Mickey Rourke was in the first movie.On the positive side, I think that the story in here is still slightly more interesting as in the first movie. The locations in this film really exist and are much more intriguing as in the first part in my humble opinion and the makers of the franchise should even expand this concept in the future. Concerning the acting, I was positively surprised by the good work of Jean-Claude van Damme as main villain in this film. Usually, his acting is only focused on action and appears quite mediocre to me but he definitely does one of his best jobs ever in this flick. The fact that Arnold Schwarzenegger and Bruce Willis play a bigger role in this film is not only a positive thing for the gross, promotion and reputation of the movie but they bring back some good memories of the first part and their characters are as cool, funny and old school as in the first feature. The addition of Chuck Norris to this film also happened to be a good idea. His role is a little bit too short and honestly said filled with stereotypes but that's what people seem to want to see and his appearances turn out to be quite amusing, entertaining and memorable. The new characters in this movie played by the quite charismatic Liam Hemsworth and the tough but charming Yu Nan are interesting but first of all they are introduced in quite a hurry and lack of depth and then, they don't have a lot of screen time to fully convince.After all, this movie is pretty much comparable to the first feature film and you simply get more of the same. The biggest plus points in here are the exotic locations and some new actors that appear and do a quite promising job. On the negative side, you have a very predictable story, less diversified fighting scenes and a lot less humour than in the first flick. Fans of the first part should not miss this flick but those who were sceptical about it surely won't get a better approach to this second flick and should simply stay away from it. This movie is maybe a little step down for the franchise but still on a quite comparable level in comparison to what Stallone and his men had put out two years ago.",6,0,6,25 August 2012
Source Code," Where Avatar meets Inception meets the Green Zone
","I was really intrigued by the trailer of this movie and decided to go to the cinema for the first time for a pretty while. The film is very worthwhile and touching with a great main actor, an interesting plot, a lot of suspense and action, a twisted part towards the last third of the movie and a happy ending with a philosophical focus.The only problem is that we have recently had movies such as 'Inception' or Avatar where people are getting transfered to different place and sometimes in the body of different persons in order to save the world or where they fall in love with a stranger. The conspiracy story surrounding this movie makes me rather think of 'The Green Zone'. 'Source Code' is surely an entertaining and intriguing movie but it somewhat lacks of originality. A good twist, some emotional and dramatic touches and a very good acting still make this movie stand out and pardon for a rather mediocre script that also has a plot hole concerning the explosion of the two trains that works well timed even though the villain isn't able to observe the right place and time to commit his attack while the first train is also too late and should indeed have meet the other train a couple of minutes earlier than we see. Another thing that I must criticize is the weak villain that is not charismatic enough and I didn't like the rather superficial reasons and motivations for his devastating acts.Finally, 'Source Code' is a very entertaining and worthwhile movie but slightly overrated and not as stunning, innovating or gripping as one might think. It's worth to be watched at the cinemas because of the visual and sound effects but a part of that, I would rather suggest to wait and loan this flick later.",7,0,1,11 April 2011
