movie_title,title,review,rating,helpful,total,date
Moneyball," Brad Pitt does baseball, Jonah Hill does maths & Moneyball does depth.
","Moneyball is about baseball and mathematics.I don't understand baseball; it seems to me to be a more complicated version of rounders but with a bigger bat, more rules and a globally renowned tournament called the World Series in which only America may enter.As for maths, well, Mr. Barnicot will tell you it and I were never great friends.The film is based on actual events, although I have no idea how much has been fictionalised.But none of this matters because, beyond all of the above, Moneyball is a film about vision, about passion, about making a stand, about losing and having another go with whatever limited resources are at your disposal. It's about relationships and being bloody-minded even when the vast majority thinks you're delusional and inept but having the confidence to know, not merely believe, that you are right.The film works because of the heavyweights putting their best work into it. Aaron Sorkin and Steven Zaillian have written a script that can be understood by even those who have never seen a baseball diamond. It's a screenplay that is brought to life with sincere and beautifully restrained performances by its stars, Brad Pitt and Jonah Hill, and supporting cast, notably Phillip Seymour Hoffman. In other hands, each of these characters may have been played more emphatically and with greater decibels but the performers never veer towards pantomime. Hill is particularly engaging with his restrained portrayal of a young man with an unproven theory in an environment where he is almost universally resented.Director Bennett Miller has delivered a film that may well slip under the radar due to sheer number of high-profile films on release at this time of year, but even if you wait for it on DVD, this is a film you shouldn't write off simply because of a lack of knowledge of sport.Let me start again. Moneyball is about a baseball team with no money to buy players, mutinous staff and a General Manager who brings in a kid with a degree from Yale and a notion that nobody but the GM wants to hear. Forget the baseball. Go with it and be inspired by a man with determination and a great understanding of that old fashioned ideal: Loyalty.Another film review from The Squiss. For more reviews from The Squiss subscribe to my blog at www.thesquiss.co.uk",7,0,0,16 June 2012
The Avengers," At last we have a Hulk that convinces.
","I dragged my heels when it came to Avengers Assemble. Did I really want to see yet another comic book adaptation that will be rehashed in ten years for viewers with goldfish memories (The Amazing Spider-man being a case in point)? Apparently I did.I've never been a great reader of graphic novels though I dipped into the odd Batman and Flash Gordon book while still building camps in hedges but in recent years my forays into pictorial literature have been less frequent and more specific; the favoured and most notable examples being Joe Sacco's Palestine and, a particular high point for me, J. M. DeMatteis' The Compleat Moonshadow.But I digress.Avengers Assemble concerned me; with so many disappointing and, occasionally, disastrous adaptations out there (The League of Extraordinary Gentlemen, both of the Hulk adaptations to date) what hope was there for a film that threw together a smorgasbord of superheroes all vying for top billing, one of which hasn't been tested on the public with a big screen outing of her own? With so many egos and so little time it would be a task and a half for the scriptwriter, Joss Whedon, to adequately divvy out the lines.I needn't have concerned myself with such trivialities. Whedon, who also directs, does an admirable job of bouncing the dialogue between characters without swaying too heavily in one direction. There isn't a clear star in this grand ensemble piece although that success leads to a new issue in that none are able to engage us with a fully fleshed-out story of their own. It doesn't matter with the likes of Robert Downey Jnr's Iron Man, who has had two hugely successful outings, but is frustrating in the case of Scarlet Johansson's Black Widow.There's no need to go into detail on the plot; it's a superhero flick so naturally something or someone (Loki, Thor's adopted brother in this instance), threatens the existence of mankind and the superheroes fly into action to save the day. It's formulaic but a lot of fun, if not particularly original or inspiring. It's difficult to surprise cinema-goers nowadays and plots are recycled, embellished and reimagined more often than conceived, but that needn't be a major issue in a genre film on this scale when the viewer isn't demanding any more than to be entertained.The cast is superb and, in the case of the principals, either recognizable as stars in their own right or courtesy of the roles they are reprising here. Mostly they do as you'd expect and deserve neither great plaudits nor condemnation; it's not that kind of film. However, beyond the obvious star-billed cast, there are some who delight absolutely. Tom Hiddleston (Wallander, The Deep Blue Sea), as Loki, is effortlessly compelling and avoids melodrama in his wickedness that so many villains lean towards, while Jeremy Renner (The Hurt Locker, The Town) is an actor who's been around for a few years and co-starred in a number of excellent, if not huge, films. As Clint Barton he again lends solid support and proves to be a most watchable and compelling actor. It's just a pity that he's given little opportunity to develop his alter ego, Hawkeye, and one can only hope the inevitable sequel will rectify that.The unexpected quality comes in the form of the Hulk. With two major Hollywood adaptations to date, the kindest comment one can make is that their stars, Eric Bana and Edward Norton, were both put to shame by the dated Bill Bixby performance. In Avengers Assemble, though, Mark Ruffalo truly shines as the tortured, reluctant recruit, Bruce Banner. The CG big green lump is created more convincingly, though still not flawlessly, here than in previous attempts but it's as Banner that Ruffalo proves himself. For once we have a portrayal of Banner that lays his soul bare for us all to see the demons running around inside it. And, at last, I'm actually looking forward to the solo outing they must surely give Ruffalo's Hulk. Let's just hope it's third time lucky.Another film review from The Squiss. For more reviews from The Squiss subscribe to my blog at www.thesquiss.co.uk",5,3,10,17 June 2012
Million Dollar Arm," Adequate, against all odds, feel-good baseball flick for a rainy Sunday afternoon.
","After a hitherto very successful TV career, Million Dollar Arm was presumably supposed to do for John Hamm what Batman and Robin was supposed to achieve for a post-er George Clooney. It won't. It's certainly a far, far better film (though that in itself is neither hard nor a great selling point) but Hamm lacks the charm, charisma and versatility of Clooney (who overcame almost the biggest clunk of 1997) and Million Dollar Arm is neither good enough to be universally celebrated, nor bad enough to be derided. What Million Dollar Arm is, is a pleasant, feel good(ish), based-on-truth yarn in which Hamm plays an updated, slightly softer Don Draper.In 2008, with a sports agency floundering against the tide of bigger competitors, JB Bernstein (John Hamm) is inspired by the emerging crop of TV reality shows and hits upon the idea of creating his own in order to save his business and make his mark; essentially becoming the Simon Cowell of baseball. He quickly realises the major flaw in his plan: baseball is pretty much covered in the USA and the big boys have snapped up anyone with any talent long ago.What JB requires is an untapped market that doesn't know it needs baseball in its life. Enter India, the home of all things cricket. After an arduous search, JB selects two aspiring cricketers, Rinku Singh (Suraj Shama) and Dinesh Patel (Madhur Mittal), and whisks them back to America where he must work to transfer their skills to baseball, make their dreams come true and, in the process, find his own humanity.There is nothing in Million Dollar Arm that we haven't seen countless times before, but because it carries before it a banner proclaiming 'This really happened' we forgive director Craig Gillespie (Lars and the Real Girl) for its predictability. It isn't necessary to know or love baseball to enjoy Million Dollar Arm any more than you needed to be a quizmaster to enjoy Slumdog Millionaire, but it in this case it probably helps. That said, Gillespie has carefully crafted a film to appeal to the Sunday afternoon feet up masses. It requires little thought, only moderate emotional investment and you know from the outset, though you may try to fool yourself to heighten the excitement, that all will work out well. Why else would Disney stump up the cash? Disney doesn't do failure! There is much to enjoy but little to inspire or satisfy. The performances are adequate but predictably overshadowed by Alan Arkin's familiar irascible old-timer cameo. The romance is plinky plonk and the against all odds, triumph in the face of adversity plot engages but doesn't tug at the heartstrings like, say, The Blind Side.There is nothing here to dislike vehemently, but perhaps that would make Million Dollar Arm a more memorable film. There just isn't anything on display to be really passionate about, good or bad. Save it for a rainy Sunday when the belly is too full for a hike across the moors.For more reviews from The Squiss, subscribe to my blog and like the Facebook page.",5,2,4,30 September 2014
Men in Black 3," Ideal for those with low expectations
","It had to be done. There was an empty evening, a slot to fill in the blog and the potential of a fun, innovative film.The short version is that Men in Black III is better than the second outing but doesn't hit the originality or the highs of the first. The biggest issue is there just isn't anything terribly new on offer. There are no great surprises, no universes hiding in a locker, no shock revelations of politicians or celebrities hailing from worlds on the other side of our imaginations. Yes, there are hints and mentions but they feel like ticks on a checklist. So much of Men in Black III does.Will Smith is on good form, maintains his perpetually young appearance, gives the cheeky chappy performance we've come to expect and (mostly) accept and carries the film without inspiring us; Tommy Lee Jones is predictably miserable/stoical/deadpan – delete as you see fit; Barry Sonnenfield returns to direct using the same map and instructions; Danny Elfman revisits the series with his third score in typical, entertaining but, in this instance, not overly inspiring fashion.The surprises come, firstly and in a minor way, from Emma Thompson, who fills the gap left by Rip Torn's absent Zed as Agent O. She plays a familiar mummsy-with-a-slight-edge role but with the expected level of humour and sincerity we've come to expect. She's not going to increase her Oscar haul (two and counting) with this but it's a performance of the expected quality. The surprise is simply that she's in Men in Black III at all.More surprising is Josh Brolin's uncannily accurate portrayal of the younger Agent K. His voice, mannerisms and miserable/stoical/deadpan – delete as you see fit – performance is remarkably close to that of Tommy Lee Jones. It's not easy playing a younger version of a familiar character; just ask Ewan McGregor, although Brolin has the advantage of playing a part that is nowhere near as beloved and iconic as Obi-Wan Kenobi.I'm far less happy with Jermaine Clement's (he of The Flight of the Conchords fame) waltz through the film as Boris The Animal. It's not so much a case of scenery-chewing as Brian Blessed on crack and chomping everything in sight. For a while it's entertaining and one is left to marvel at how he manages to say anything at all with those teeth filling two thirds of his mouth, but it very quickly becomes tedious as he attempts to roar in a slightly different way.It's entertaining, it'll thrill the children with low expectations and the drunks with depleted brain cells but, actually, I think I'll give Wild, Wild West another shot before I sit through Men in Black III again. At least it boasts the former Mrs Thompson, Kenneth Branagh.Another film review from The Squiss. For more reviews from The Squiss subscribe to my blog at www.thesquiss.co.uk",4,6,11,17 June 2012
The Monuments Men," Fine opportunity, great source material & an excellent cast completely wasted.
","Written, directed and starring Hollywood darling, George Clooney; a cast to die for with five Oscars between them; a truth-is-stranger-than-fiction plot of audacious international thievery What could possibly go wrong with The Monuments Men? How long do you have? No, that's not fair. The Monuments Men isn't a stinker by any means. It is just a dull, confused, protracted almost film. It is almost exciting, almost clever, almost fun Based on the true story of a task force of just seven museum curators, directors and art historians, dubbed The Monuments Men, Clooney's fifth film in the director's chair stumbles through Hitler's mission to steal Europe's greatest artworks for his planned Führermuseum (Leader's Museum) and the Allied mission to steal them back and return them to their rightful homes. Battling squaddies and generals with no love for, or understanding of, art as well as the armies of the Third Reich, it was a dangerous and largely doomed mission to retrieve unimaginable art collections and prevent their certain destruction should Hitler fail to conquer the world.The source material is fantastic. What a remarkable operation! The Monuments Men should be a war romp in the vein of Kelly's Heroes or Where Eagles Dare but Clooney seems unsure whether it should be a Boy's Own adventure, a comedy knockabout or a history lesson with sensitive and sincere bon mots to make the audience reflect admiringly. It fails on every count and winds up as a WWII Ocean's Seven with a severe identity crisis.The stars that fill this two-hour somnambulistic mess coast along in the company of good friends, the knowledge of a good pay cheque and a free trip around Europe. It shows. There is no passion, urgency or fervor, just a clumsy jumble of ideas with no real conviction and little direction.It is very hard to connect the director of The Monuments Men with the man who helmed Good Night, and Good Luck and The Ides of March. And while it should be fun watching Clooney, Matt Damon, Bill Murray, John Goodman, Hugh Bonneville, Jean Dujardin and Bob Balaban play at overweight, inept soldiers in the company of Cate Blanchett, it is just tedious.The Monuments Men is filled with opportunities for excitement and adventure but instead of a film we can lose ourselves in and a motley crew of characters we can root for, we are left disappointed and with the feeling that Clooney really should have done better.More upsettingly, a generation who have never heard of the real Monuments Men and the amazing mission they risked their lives for will brush it off as a bland fiction and forget it on the drive home.What a waste of a fine opportunity, a great plot and an excellent cast.",Null,0,0,18 February 2014
Captain Phillips," Stunning, taut, nail-biting. First serious Oscar contender this year?
","Films are frequently, cruelly judged by their final twenty minutes. Movies live and die by the impact the final scenes have upon their audiences, regardless of the immense power or utter guff that went before. By those rules, Captain Phillips clears ten stars effortlessly. The audible expressions of emotion last night were testament to that. However, unlike many 'feel-good' films that merely satisfy at the end after hollow beginnings, the film that just might win Tom Hanks his third Oscar surfs a wave of near perfection from first light to setting sun.Yes, Captain Phillips is that good! Based on actual events, though how accurate is open to much speculation and a substantial lawsuit, Captain Phillips depicts the hijacking of the American container ship Maersk Alabama in 2009 by pirates off the coast of Somalia. When two boats are spotted heading at speed directly at his vessel, Captain Richard Phillips (Hanks) attempts a futile defence with fire hoses before instructing his crew to hide in the ship's bowels while he negotiates with the Somali pirates, led by Muse (Barkhad Abdi).What follows is a battle of wills against circumstances with Phillips desperately trying to save his ship and the lives of his crew and himself, while Muse argues and threatens for a multi-million ransom, knowing that failure means imprisonment in the USA or death at the hands of his bosses.The trailer suggests an action-packed join-the-dots drama where good must surely triumph over evil and where right and wrong are clear-cut, but with Paul Greengrass (The Bourne Supremacy/Ultimatum, Green Zone) at the helm, there is nothing predictable or cheesy about Captain Phillips. The opening scenes with Phillips and his wife, Andrea (Catherine Keener) simply establish the man and his character while eschewing obvious references and strands to be alluded to and tied up at the conclusion. But beyond the initial five minutes, the tension rises, agitation sets in and terror scrapes at the nerves.There are many clichés that could be used (nail-biting, edge of the seat) to describe Captain Phillips. It is a film of true horror where we watch with fingernails digging into our palms and buttocks clenched tightly. A small part of the mind thinks 'Thank God it isn't me,' while the bigger part is too caught up in the events to give a damn about anything else. Greengrass has excelled himself (again!) with the nerve-jangling events that are far too realistic to be comfortable viewing.This is no gung-ho, 'America, f*** yeah!', Act of Valor propaganda bilge. Captain Phillips is raw, real and difficult viewing at times. We are so used to the SAS, Navy SEALs or Marines bursting onto the scene in a barrage of gunfire and explosions to save the day that the quiet, arrival of the SEALs is unnerving. There's no panoply, just a cold, quiet, calculated arrival. They do the job and depart so silently and matter-of-factly that they could be plumbers gathering their tools after mending the sink. It is chilling to see such a perfunctory display in the midst of harrowing circumstances.Captain Phillips is Hanks' film through and through. He dominates with a presence that commands our attention and shakes us into a numb silence. The odd Larry Crowne aside, Hanks is a solid actor worthy of (most of) his plaudits, but his performance as the titular character has greater intensity and completeness than we've seen from him since The Road to Perdition, or perhaps even Saving Private Ryan. Phillips' terror at the hands of his abductors and the dread of probable murder are palpable enough in Hanks' performance, but the emotional maelstrom he suffers in the final act is too convincing, too real to suppress the throat lump and dampened eyes.But Hanks is so convincing in part because he has fine performances to play against, not least of all former taxi driver Abdi in his acting debut. The lines may be lost sometimes, the delivery occasionally stilted, but we never once forget that he is the man holding the gun. We know his Muse is in the wrong; piracy is a crime. Period. But he conveys Muse's own rising panic that this job might just go south and, if it does, that the repercussions will be far more serious than his village simply going hungry.Henry Jackman's (Man on a Ledge) score intensifies the tautness crafted by Billy Ray's screenplay and honed by Greengrass' superb direction. It never overpowers us but adds depth to the visuals and heightens the emotional state.Captain Phillips works as a companion piece to the little-seen Danish film, Kapringen (A Hijacking) earlier this year. But where as Captain Phillips takes us deep into the frantic mechanics of the hostage situation from the crew's point of view, Kapringen is a slower, quieter film that covers many, many weeks from the 'safe' perspective of the shipping company and negotiators. It, too, is intense and puts the viewer on edge but in a quieter, moodier way than Captain Phillips. Regard it as preparation before the main event.There is a slight possibility that Oscar may nod at Kapringen, and a nomination might be just, but it's far less of a risk to predict that Hanks will earn yet another nomination. If the Academy does see fit to award him his third Best Actor Oscar, to match Daniel Day-Lewis, rest assured, he will deserve it for substantially more than the final twenty minutes.For more reviews from The Squiss, subscribe to my blog and like the Facebook page.",10,8,16,17 October 2013
The Perks of Being a Wallflower," An imperfect but touching, thought-provoking film about discovery, sexuality, friendship and betrayal.
","The Perks of Being a Wallflower is a strange little film that will likely divide audiences before they even reach the cinema. Writer/director Stephen Chbosky has a ready-made audience from his source novel and has credibility as the creator of TV series Jericho, but as a director he has just one previous big screen outing: 1995's little seen The Four Corners of Nowhere. In front of the camera there is little in the way of star power though both male leads have some impressive films on their CVs: Logan Lerman has ably supported bigger names in the likes of 3:10 to Yuma and starred in Percy Jackson and the Lightening Thief while Ezra Miller positively chilled the world as the titular sociopath in We Need to Talk About Kevin.So it falls to the biggest name amongst the principal stars, Emma Watson, to woo the audiences. And therein lies the division. Watson has physically appeared on the big screen in nine films prior to this, eight of which were as Hermione Granger. If you've never watched a Harry Potter film, your only cinematic reference to date is a brief appearance in the fine My Week With Marilyn. If you're one of the countless millions who have watched the wizard series you'll either recall her acting ability evolved from 'not terribly good' to 'passable' or you're still under fourteen years of age.The first thirty minutes of The Perks of Being a Wallflower verge on arduous, largely due to Watson, playing Sam, the older woman to Lerman's Charlie. She tries so damn hard to act, to be noticed, to be American, to earn our respect but succeeds only in looking like a child who has raided her mum's wardrobe but is ten years too young to carry it off and ten years too old to still look cute. For thirty minutes I watched a film that barely warranted two stars and I groaned inwardly at the thought I chose this over Anna Karenina.Then something happened. Or rather, nothing in particular happened but Watson relaxed into Sam, The Perks of Being a Wallflower found its feet and I realized I was watching an imperfect but touching, thought-provoking film about discovery, sexuality, friendship and betrayal. And, shockingly, that Emma Watson has the makings of being a reasonably good actress. Once she relaxes, her performance is tender and Sam's desperation is palpable.Charlie is an introverted freshman with little self-confidence who writes letters to his only friend: a friend who committed suicide. Faced with the challenge of college, Charlie begins his first day with desperate hope for change and concludes it counting down the days until graduation. Life sucks, the bullies spot him a mile away and his only escape is through the books his English teacher, Mr. Anderson (Paul Rudd), inspires him with until he is adopted by a group of misfits in their final year headed by Sam and her stepbrother, Patrick (Miller).Miller stands out with a performance that is a world apart from Kevin. As Patrick he is a maelstrom of emotions in a fragile body that wears gregariousness like armour. He is judgmental, forgiving, joyful, depressed, delightful and as annoying as hell. Patrick is damaged goods. And that's why he and Sam are more than stepsiblings. And that's why Charlie fits right in. The Perks of Being a Wallflower is a film for all of us who felt like we were on the outside trying desperately to make someone notice we were hammering on the door to be let in. It's also a film for all of those who were enjoying the party and decided to ignore the banging.The trailer implies a sweet, humorous college flick but it doesn't portray the various shades of darkness within the characters. Everyone has a side they turn away from the crowd and Chbosky, after a faltering start, rotates every character so the dark side faces the camera, if only fleetingly. He writes and directs like a chess player (no, not a grandmaster, but that may come) lulling us into a false sense of security with something sweet or cheerfully twee and then he kicks us hard, square in the balls and we gasp at this new revelation.For some viewers there are great twists and turns, but most will watch as the characters slowly unfurl and reveal more of what is hidden deep inside and not see each new disclosure as a shock but as another jigsaw piece to reveal the full picture.There were no tears, no huge lumps in my throat and too much damage was done in the first 30 minutes to elevate The Perks of Being a Wallflower above six stars but it is a good film, particularly after the event as the story remains very much in mind.I had intended to make it the first in a double bill with Sinister but such was the effect on me that I opted not to pollute my state of mind with something harsh and lacking in sensitivity, instead preferring a slow drive through dark country lanes home to a warm cottage to where I could let the story filter through in its own time.Another film review from The Squiss.Like the Facebook page: http://on.fb.me/RpitOG",6,3,5,11 October 2012
The Equalizer," One-man army, Denzel Washington, kills, maims & blows stuff up without qualm.
","This is NOT The Equalizer. Or rather, this is not the 1980s series staring the sorely missed Edward Woodward as Robert McCall, a mysterious, retired intelligence officer putting good back into the world and helping innocent, helpless members of the public.Antoine Fuqua's take on The Equalizer is little more than a substandard sequel to Tony Scott's Man on Fire with a one-man army exacting violent, bloody revenge and to hell with justice.Robert McCall (Denzel Washington) is a quiet, ordinary insomniac who spends his days working studiously at Home Mart helping his colleagues and generally being the all-round good guy. By night he is the quiet man in the corner of a café, eating pie, working his way through the 100 books everyone must read and interacting with the limited clientèle – just from a safe distance.Teri (Chloë Grace Moretz), is one of those fellow customers; a hooker controlled by violent Russian gangsters. When McCall watches her abused once too often by her pimps, he decides he must help no matter what the cost in blood and bullets.Once upon a time, The Equalizer had some vague semblance of reality, or at least possibility. This is just a solo, unbeatable army on an excessive rampage with no compunction and no consequences whatsoever. There is no hint of cops or government agencies intervening in his reign of terror and no consideration for the time and planning it would take for McCall to lay such deadly booby traps and organize his DIY store war.Essentially, The Equalizer is just one man shooting, killing, fighting and blowing sh*t up. McCall doesn't hide in the shadows, as the previous incarnation did, he lets it all hang out with the arrogance of a gangster and, plot spoiler alert, remains perfectly anonymous despite leaving rubble, corpses and explosions in his wake.Forget reality, forget plot, forget any hope of reason or logic. Just put on your hardhat, buckle up, hide behind a riot shield and get on with the business of being thoroughly entertained.Astoundingly, The Equalizer is rated just 15 meaning that parents can sneak older children/recent teenagers into this. How is that possible with the head smashing, gut spilling and excessive violence? Compare the content of this to that of Gone Girl, which garnered an 18 rating with little violence and just a quick bout of the C-word, and it's madness. What else does a film like The Equalizer have to do to warrant an 18 certificate? Don't let lack of subtlety put you off. I thoroughly enjoyed the experience and watching Denzel Washington play Denzel Washington being hard yet again. It's a formula that requires no thought and entertains easily enough. The violence, bloodshed and wanton brutality don't make this a bad film, just don't tell me it's The Equalizer.Edward Woodward is turning in his grave.For more reviews from The Squiss, subscribe to my blog and like the Facebook page.",6,8,16,24 October 2014
The Expendables 2," NO! Don't do it. Go and wash your mouth out.
","It's been a poor cinema month for me. Not that everything I've seen has been bad, more that I've seen very few films this August. And it pains me that one of those was The Expendables 2.Oh, man. It's bad. Really bad. Not bad in an Extremely Close and Incredibly Loud kind of way, just in a Space Cowboys bunch-of-old-farts-acting-badly kind of way. If you enjoyed First Blood, don't bother. It's not that good. If you thought Act of Valor was wonderful, then go and see The Expendables 2. You'll deserve everything you get. So let's start with the good points (this is going to be quick):1. Chuck Norris, despite being born in 1940 and the oldest on screen, looks younger and in considerably better shape than Schwarzenegger and Stallone. 2. Bruce Willis almost escapes with his dignity intact. 3. It eventually ends (after a long, painful 103 minutes).And the pick of the bad points?Oh, there are too many to mention. It's a black hole, into which reason, quality, acting ability, enjoyment, logic, and self-respect are sucked, never to return.Mostly the actors, and once again this term must be used loosely, are unable to move and speak simultaneously and the vast majority of lines are caped at five words. I'm guessing brains are fried and most of those on the screen need idiot boards as well as reading glasses. It's hammed up pretty much all the time.There isn't a single performance worthy of mention other than to say that Willis isn't as dreadful as the others. Usually in a macho gun-fest like this, one can rely on the 'intelligent girl' guest actor to provide something resembling a performance but in this instance Nan Yu falls some distance short of Jason Statham, the untrained, mono-expressive former cab driver.Every possible 'in-joke' and reference to each star's signature roles is explored, repeated, repeated, repeated and nailed to the set for all to see, just in case they missed it the first few times. Exactly how many times can Arnie be back in one film? Yippee ki yay motherFor the first few scenes, any of the audience that isn't dribbling and looking for their other brain cell smiles and hopes that the appalling lack of cohesion and intelligible dialogue is the sly wink and a nudge from director Simon West before he takes the job seriously. It isn't, he doesn't and it doesn't look as though he's capable of doing so. The Expendables 2 is a very, very long and steep decline from the glory days of his first two outings, Con Air and The General's Daughter. What West has given the world in The Expendables 2 is a series of explosions, grunts, expletives and camera moves dressed up as scenes that frequently don't flow or link in any traditional way. It just doesn't make sense. At times, the vocal expression is at odds with the words spoken and completely off-kilter despite following on from another line by the same actor! Did they have month-long breaks between set-ups? Did somebody forget to employ continuity?I'm in danger of ranting and it really isn't worth the effort but I do have one question: What the hell is Chuck Morris doing arriving on screen to Clint Eastwood's The Good, The Bad and The Ugly theme??? It couldn't be any more sacrilegious to dress a statue of Mother Theresa in a basque and suspenders. Well, maybe a little, but you get my drift.If you see this, it serves you right. Needless to say, it wasn't my choice to see The Expendables 2, and now I need to clean my brain with a good book.For more reviews from The Squiss subscribe to my blog at www.thesquiss.co.ukLike the Facebook page: http://on.fb.me/RpitOG",2,22,35,25 August 2012
Skyfall," Craig is raw, harsh, brutal and hurting.
","The rumours built anticipation, the trailer thrilled, the theme song disappointed. The expectation is that Skyfall will be the highest grossing Bond film of all time and Daniel Craig may be the first Bond to garner an Oscar nomination. But could the film possibly stand up to the hype? I grew up in the Roger Moore years and thought he was the bee's knees. As a more discerning cineaste I respected the killer in Timothy Dalton's eyes, though he suffered for the weak films he was dropped into. After the cheesy romantic Brosnan period, Bond was reborn and I cheered very loudly, much to the chagrin of the next door neighbours, when I read that Daniel Craig was to utter those immortal five words.Craig is raw, harsh, brutal and hurting. Know this: James Bond is a killer. It's what he does. Craig's 007 will slot a bullet between your eyes for Queen and country and, outwardly, he won't waste a nanosecond considering the emotional consequences. Because that is his job. No, you wouldn't mess with him and, yes, he is the best 007 yet.But despite the proclamations, Skyfall is not the best Bond film; that accolade, for me, belongs to Casino Royale. Director Sam Mendes hasn't broken Bond, not by a long way, but he has dented it and if they don't repair those dings pretty sharpish, they will rust and cause irreparable damage. Mendes must take the responsibility as he is the top dog on set but the damage has been caused by screenwriter Messrs. Purvis, Wade and Logan. Mendes stated he wanted to inject humour into Bond and from the first twenty minutes or so it was written beautifully. The smiles came from crisp, disposable comments that flowed in conversations, but as Skyfall unfolds scenes are ended with self-conscious, cheesy quips and exchanges and almost blatant winks at the camera. We haven't stepped back to the Moore years but we have certainly suffered a horrible slip to the edge of the Brosnan era Bond.Barbara Broccoli, if you're reading this, please, for the love of all things Bond, stop now, retrace your steps and take Bond back where he belongs; to the dark, reality of espionage and terror that excites us but makes us wee our pants just a little bit in fear. That is who Bond should be.But Skyfall is an extremely good film. Its 143-minute running time sprints past with enough variation in the pace for us to catch our breath and keep up without allowing the heart rate to settle into a relaxed rhythm. Craig is on blistering form, momentary scripted bombs aside, and not once do we believe he is anything but serious or anything less than capable, even when the story suggests otherwise.Skyfall rattles along from the fresh MGM opening sting to the final crescendos, both visually and aurally, as the last of the credits fade. Mendes et al are clearly aware this is Bond's 50th anniversary and there are numerous references to bygone Bonds though, mercifully, no painful cameos from the men who played him. Most are subtle enough to be enjoyable but one jars; it cuts against the naturalistic grain of the film and all but contradicts an exchange between Bond and the excellent new Q (Ben Wishaw):Bond: A gun and a radio? Q: What? You were expecting an exploding pen? We don't really go in for that any more.But in the final act we are thrown a series of references and sequences from that bygone era. What was Mendes playing at?The cast is impeccable. Javier Bardem as Silva is not just a 'bad guy' but a genuine, hope you never meet him anywhere, villain. He is beautifully restrained when first we meet him and our chuckles emerge when the character plays with us, not when we laugh at the funny man. And as he slowly unhinges himself from reality we understand the palpable fear that Sévérine (Bérénice Marlohe) fails to disguise in her shaking hand.As ever, the relationship with Craig's Bond and Judi Dench's M is absolutely compelling. The two actors have a rare chemistry that doesn't require a sex scene to make it noticeable. At times she is mother to his petulant teenager but there is a mutual respect, an admiration that veers towards a familial love. And, in M's case, a genuine fear of what she has created.Naomie Harris is a joy to watch. Though she's produced some startlingly good work (28 Days Later, White Teeth) only in Skyfall has she finally stepped into limelight. Perhaps, if we are very fortunate, she will break the 'Bond girl' curse and have a career that continues to ascend rather than evaporate post-event. Next year's Mandela: Long Walk to Freedom is a very hopeful start. Equally, both Wishaw and Ralph Fiennes, as government man Gareth Mallory, stand tall as characters that command our attention with solid, determined performances. Wishaw's Q is quirkily engaging but there is clearly far more to him than the cuddly, buffoonery of Desmond Llewelyn and, hopefully, he'll have a more positive impact than the pantomime fool played by John Cleese. Fiennes, meanwhile, sets Mallory up as a hateful man within the fold but his evolution through Skyfall is gently handled to great effect.Skyfall is a very definite statement of intent. Some of that intent concerns me but mostly it is the reason I'll return for a second viewing this week. No, Skyfall is not the best Bond film ever. But it is remarkably good, it will leave you reeling and it is imperative you don't ask and don't let anyone tell you anything about it. See it now and then keep your mouth firmly closed.For more reviews from The Squiss subscribe to my blog at www.thesquiss.co.ukLike the Facebook page: http://on.fb.me/RpitOG",8,2,8,28 October 2012
