movie_title,title,review,rating,helpful,total,date
The New World," Meandering nature sucks life out of movie
","I have great appreciation for writer/director Terrence Malick's personal philosophy when it comes to film making, having a hard time rating such a sensual director as merely average. The artist's approach at capturing a moment rather then commanding it often times has paid off with sincerely improvised performances and camera-work. However with The New World, this film-making philosophy has unwittingly reared it's pretentious, over-bloated head and seemingly bludgeoned it's powerful themes to death. It is truly a lack of substance in the script that further renders the too many 'busy shots' shallow in context with a film that failed to keep me interested in the characters with it's meandering, self righteous narration and over zealous score. Malick's direction works best at first, before his thoughtful tone poems turn into gimmick. At the heart of the truth from this movie, there are many lush moments of photographic grandeur to behold of the purity of our earth, and those that strive to live in harmony with it, in part articulated by Kilcher's spiritual performance. As this New World is initially being explored by Farrel and viewer, the obvious reverence for the land Malick tries to induce does shine through, although once this theme is established this exercise feels routine. It is in the developing plot, or lack thereof that the film fails to accentuate it's beautifully shot, stream-of-consciousness homage to the source material. For some reason, Malick's work somehow seems a little too self important for it's own good.",5,3,7,5 May 2006
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan," Excellent synthesis of controversial character is nevertheless starting to show wear and tear
","Although worthy of nearly all the praise it has received, I must still confess that a torrential downpour of critical and public applause garnered with Borat's feature film debut left me asking where all the actual belly laughs were. Granted, being a fan of Sacha Baron Cohen's earlier HBO show does not help, as so much of the material Cohen uses, while admirably delivered and always uncomfortably topical, often recycles itself, usually to a point that fans of the comedic giant's past work would immediately recognize many of the lines uttered throughout this depraved travelogue.What separates the film incarnation from so many well delivered Ali G episodes does however justify a distinct appreciation. The well executed method finds loosely scripted, fictionalized plot setup running side-by-side with real world outings in which our Kazakh hero traverses the American landscape, brutally and unabashedly holding up reflections of ignorance for a general viewing public to revel in. These shocking, tension filled improvisational spats Borat engages in with all facets of the American public make for the most substantial segments, although in all honesty I was hoping for more subtle awkwardness then brash vulgarity. For too much of the films brief length, Cohen tries to shock viewers into contributing to the whirlwind of controversy the movie became, and by and large the excessive graphic nudity detracted from the flights of brilliance; what could have became one of modern film's most offbeat and unusual fight scenes became a cheap and blatant attempt at gross out theatrics.Though the pseudo-documentary may play the cheap cards a little too often considering Mr. Cohen's immense comedic talent, the foolish emotional arc that drove this tiny plot added a needed angle to Borat's film incarnation, helping flesh out much of the one-dimensionality. Strict fans may be a little disappointed with constant references from previous jokes, but the rest of the nation should continue to echo the praise this movie has garnered for being one of the most daring, relevant comedies to challenge society in years.",7,19,31,22 February 2007
Mission: Impossible III," A few wise choices elevates the mediocre franchise
","Clearly overstepping the predictable boundaries of previous installments, though not altogether triumphing, MI3 nonetheless turns out to be the most entertaining of the three for many reasons, though primarily for the casting of Phillip Hoffman as the villain, and the fluid, engaging direction by JJ Abrams. Essentially telling the same story for the third time, the less exciting original and ridiculously over the top sequel finally meets it's equilibrium in this third installation. Mainly the credit goes to Mr. Abrams for finally getting the tone right for the majority of the film. Displaying remarkable competence, Abrams few (though popular) television credentials still could not have predicted how well this director (and dabbler in all other departments) rose to the occasion for his massive big screen debut. Starting in atypical (though slowly becoming typical) fashion with the climax, the direction manages to stay involved throughout the briskly paced film, almost, but not quite, up until the end. It is only in those final minutes that the film resorts to archetypal fluff that will likely leave a bad taste in viewer's mouths who were appreciating the fresh pace. What really puts the icing on this action packed wallop however, is Hoffman's commanding take on what could only be characterized as a generic bad guy. In just about any other actors hands, this role would be left out to fester in the sun for the stereotypical writing that it is, but in Hoffman's interpretation, somehow the most generic of roles becomes a subtle revelation of classic Hollywood typecasts. Of course, the stunts are what fans want, and stunts they get..While nowhere in the league of the ludicrous stylings of MI2, the action here still manages to be as over the top as ever, Abrams merely opted to photograph and choreograph in a much more realistic fashion. Still nothing to rave about, MI3 does wrap up this trilogy with it's most engaging episode to date.",6,0,0,5 November 2006
Lucky Number Slevin," Slix Stlars
","Enteraining caper tries to pull a Usual Suspects, but comes across being a little suspect itself. While the movie flies along with assured direction, highlighted by the great cast and peppered with insightful dialog, Slevin definitely is the forerunner for this year's hip crime flick for the uninitiated. For all of it's witty reinvention , Slevin at times comes across as silly, shallow, and quite naive. Although one should suspend disbelief and just go along for the ride with a movie of this nature, too many 'revelatory' moments in the film's final act sort of bog down the flow, trying a little too hard to shove that shock factor down our throats. Cast is fine, although they rarely achieve anything past the fundamentally cartoonish nature of these larger the life characters, an all too often used move in the world of threateningly entertaining capers catering to the young and hip. Make no mistake, Slevin is a good time to be had, especially if one is in the mood for a watered down Tarantino kind of night, but all of the hype surrounding the plot twists, while at it's best wickedly entertaining, does not really get past the self-importance, and slightly forced hip factor this fun movie sets out to capture.",6,0,2,10 September 2006
3:10 to Yuma," Bland remake coasts by on star power
","Underwhelming western update feels distinctly hollow as it awkwardly stumbles through insufficient plot points to arrive at it's shootout climax. Although the final showdown might be the only thing worth waiting for in this overrated and detached yarn, 3:10 to Yuma manages, in it's own goofy modernized way, to pay tribute to American film's favorite pastime- I can only attribute our country's love for the genre as to why the movie simply was not received as mediocre.Director James Mangold holds a lot of the blame for failing to build up the inevitable showdown through clumsy, unintuitive direction and a distinct lack of authenticity pervading nearly all sets and performances. Actors like Crowe and Bale will try what they can to rescue some of the film's blatant simplicities, but are given a script with far too little detail to make any true characteristic impressions with roles that both should have provided more depth. Nonetheless, this tragically modern remake will sit well with western fans expecting their yearly genre comeback, only this time you can leave the tension, grit, and nuance at home.",5,5,8,31 December 2007
Marie Antoinette," Interesting, sumptuous mistake tries to distract with large budget
","At turns refreshingly innovative and pretentiously shallow, Marie Antoinette is a difficult film to gauge due to the unique angle Sofia Coppola employs for the period piece. While strangely hypnotic at times in it's blissful capturing of pleasure, the film often feels unfocused as well, dangerously teetering between artsy production and vanity project, rarely becoming anything more meaningful. Giving the notorious queen an updated relevance may bode well in creating some sort of historical context for an oblivious demographic of MTV teenage girls, but anyone mature enough to realize the difference between style and exploitation will find that many of the scenes feel repetitive, with the ravishing set design playing front and center to the stubbornly plotted events that relay (through some sort of obscure fact-based mythology) France's public enemy number one before, during and throughout her troubled reign. One must give Coppola some credit for at least attempting something quite unique though. In the film's greatest moments, where the fickle, care-free parties of the decadent royal family are breezily edited amidst the contrasting modern day indie soundtrack, there is a certain guilty pleasure and an articulation of fun that really hasn't been explored in the context of a historical film. However, it becomes increasingly apparent that the director used this premise merely to indulge her fondness for the exquisite lifestyle the queen was involved in, shunning a majority of context and depth in favor of the effervescence that dominates the tone here. The much talked about modern musical selections playing to century old antics, scored as they are, do capture a few select moments of glaring, and daring beauty (think of the brief use of the cure when they are walking down the steps), but too often only feels right in fleeting moments of the scene and awkward during the rest. Plagued by a few technical blunders and the distinct lack of authenticity in the performances (Kirsten Dunst does have some amazing moments- but no one is even trying to sound believable, as personified in the modern day, off-key ridiculousness of Jason Schwartzman's Louis XVI), the monumental set design does not really compliment most of the content here, no matter what Coppolla's misdirected though promising artistic ambitions thought they were achieving. As such, the movie does have some amazing moments that will be magnified depending on the size of your viewing screen, but by and large it plays out immaturely and insults the viewer with it's unfocused approach.",5,2,3,10 February 2007
Raiders of the Lost Ark," The new action prototype
","Although this movie is (rightfully) credited with taking the action-adventure genre into bold new territory, following all the film's well-placed elements just might have taken away from the overall adventure.Yes, this does seem like the most mature of the three, with a plot that respects it's characters and history as much as the exotic action and intrigue. But in turn, this may hamper the pacing of the film, feeling less of a unified, far-off adventure then a series of wonderful and imaginative set-pieces set to aid the acquisition of the Ark.Obviously, being the first installment in this legendary series has not lost it's significance, as fans clearly cherish this one above the others. It very well may have more soul then the later two, but as a pure immersive adventurer, suffers from some first-time tweaking.",7,0,1,18 May 2008
United 93," Respectfully made, realistically executed, powerfully emotional
","Unflinching in it's realism, United 93 comes as close as possible to recreating the real time drama that unfolded on 9/11, using the one failed terrorist plot as a focal point. While we may never know the particulars of that mysterious day, and can quite reasonably argue that perhaps the events unfolded in an entirely different way then what was portrayed, one can certainly not fault the humble and passionate filming of Paul Greengrass, as he relentlessly parlays all of the 'facts' as we have come to know them into an amazing piece of pseudo documenting. Painstaking detail is given to the inept bureaucratic formalities that kept the good guys from pursuing the quickest course of just action, starting with the brilliantly plotted introduction of the 1st plane crash via air traffic control. From then on out, the chaos that continued to multiply on that frightful day is offered amazing counterpoint with the quiet, intuitive struggles that went on over Pennsylvania on United 93. While the action is certainly intense, the majority of time on board is spent simply being with these individual characters, but due to the quick edits and frantic nature, not long enough to gain any real connection with. However, the focus on environment rather then individual characters does tend to immerse the viewer into this unprecedented experience that much more effectively. Certain 'patriots' who immediately play the exploitation card as a reason to boycott anything creatively done in the name of September 11th, should first at least check out the DVD extra's, which elegantly details the entire flight's families considering, accepting, and eventually embracing the idea of what this particular movie was to be all about. In the climactic throngs of unity, emotional truths massively outweigh whatever grudges anyone could seemingly muster for this must see, as the year's most powerful final scene reminds us in all that is good with humanity, and it's offspring, the arts.",8,2,4,4 September 2006
Deja Vu," Clever manipulation makes a generic scenario seem fresh
","A serviceable action thriller, given your typical Tony Scott quick cuts and typical Denzel Washington protagonist, still manages to rise slightly over it's tired mechanics with the inclusion of a well integrated science fiction element. For the first half hour of Deja Vu, viewers may be shaking their heads in disappointment, fearing that they are watching the same old mainstream cop mystery they have seen a thousand times over. Scott's typical direction does not help freshen things up either. What was once entirely stylish, edgy film-making has become completely predictable with grainy coloring, frenzied editing, and generic scoring somehow making the film feel dated more then it has any right. Viewers are taken through a typical detective procedure, as Washington's tired ATF agent tries desperately to gather clues from a massive explosion that rocked a newly opened New Orleans port. Certainly not a chore, the setup here remains completely average with hardly an effort made to differentiate this film from the many others like it, some starred in and directed by this team themselves.Thankfully, once the routine plot mechanics are set into play, Deja Vu finally offers up what will separate this popcorn movie from countless imitations. Borrowing from what made guilty pleasures like Strange Days such voyeuristic fun, the neat concept this script introduces, regarding what seems like the ultimate in surveillance security, will help take the generic thriller to fairly unique sequences. Toying with concepts of time travel while centering around this cat-and-mouse game helps Scott get some extra mileage out of the vehicle, and finally gives him a reason to implement all of the hyperactive edits he relishes in so much. Rather then barraging viewers with an onslaught of creative direction (which has been shown to prove contradictory and excessive with previous releases), Scott wisely finds a proper venue to work his magic. It is in these dazzling sequences of omniscient direction, when Washington is monitoring potential subjects with the precision of an infinitely floating camera eye, that any unique perspective and technical accomplishment shines through the otherwise predictable work.Suffering from a typically bland lead performance from the uninspired Washington, a confusingly underwritten antagonist played by Jim Caviezel, and a denigrating plot twist that makes the far-fetched reality behind this seem even sillier, Deja Vu is still a trip worth taking once (though no need to repeat!) for the brief stride hit in the middle which elevates the stereotypical proceedings with a fresh sheen of techno-paint.",6,0,0,22 April 2007
Casablanca," Splashes of timelessness
","A movie that failed to live up to it's historic praise for several reasons.Mainly, the chemistry between these two just does not feel as heart-tugging as one would expect. Actually it feels a little creepy at times, in a father/daughter sort of way.Bogart of course remains the picture-perfect image of an old Hollywood, jaded leading man, but ultimately feels like a subtle caricature as the one-liner's role on.The final scene, after hearing so much about it, left me wanting more, and not in a love-lingers-painfully kind of way either.Despite these imperfections, Casablanca still has numerous moments where you do see cinematic time stopping and the historical relevance of the work starting to make sense. It is simply a matter of differentiating what the public has made legendary and what actually works even today.",6,3,10,14 February 2008
