movie_title,title,review,rating,helpful,total,date
Despicable Me 2," I really liked it, very funny and great fun. Not as good as the first one.
","DESPICABLE ME 2It was a very funny film, but nowhere near as good as the original movie.Gru is recruited by the Anti-Villain League to track down a super villain who has stolen an entire research lab from the Arctic. Gru has to investigate this crime with his new partner, Lucy. Whilst all this is going on, his oldest daughter has started to find boys attractive which then leads Gru to anger and he has to do his investigations whilst watching his daughter with this new boy... and if that wasn't enough, his minions are getting kidnapped too.The story was enjoyable, and the characters were brilliant. The thing I noticed about this film the most though, is they film makers knew that the minions were really popular from the original movie, so they made them more of the main characters in this one. I thought the minions had the funny parts and were the main advertising technique they used for the film. The only thing I was slightly disappointed with, was the really funny bits of the movie were shown in the trailer... there are other really good bits, but most of the them I had already seen.The voice cast was quite impressive, but I never understood why. Steve Carell, Kristen Wiig, Benjamin Bratt, Mirander Cosgrove, Russell Brand, Ken Jeong & Steve Coogan are the voices. Why would the movie company pay so much more for famous people to use their voices, when they could clearly find someone unknown and the audience would not know the difference? Especially Steve and Russell... if I didn't already know that they did these voices, I would never had recognised them, so surely they could have found someone cheaper. But I don't mind... it's their money. I suppose it is just to draw in the crowd a bit more.This movie is great for kids and will keep them quiet and entertained for the duration. Very funny & great fun.I will give this film 7 out of 10.Very good, but not as good as the firstFor more reviews, please like my Facebook page:https://www.facebook.com/pages/Ordinary-Person-Movie- Reviews/456572047728204?ref=hl",7,0,1,9 July 2013
The Mask," I love this movie and can't say anything bad about it.
","THE MASKI remember watching this when it first came out. It was such a big thing back then.The movie is about a sad lonely banker who finds a mask one day. When he goes home and tries it on the mask sticks to his face and changes him into a completely different person. The problem is, he robs a bank that a criminal organisation were already going to raid. Now they are after him as well as the police.This is a comedy that is more like a cartoon than live action. There is slapstick as well as musical sequences. But it is all so well done that you can't help but watch it in wonder.The movie stars Jim Carrey and Cameron Diaz. This was Camerons first movie. She was very good in it considering she didn't have much acting experience. Jim was fantastic in this, Back in the 90s is when Jim was in his prime. He was making so many great movies back then and he was so funny. This is probably my favourite Jim Carrey film. He is still making good movies now, but they just don't seem to be as funny as the ones he made back in the day. One of my favourite characters ion the film though is not even human. Milo was fantastic. Milo was Jims dog in the movie. The dog that was used was so well trained that even he was really funny and made me laugh so much.As I said before, there are some musical numbers in the film. Yes it is done in a very cheesy way, but it fits in with the movie very well. The songs are very catchy and funny to watch... especially Cuban Pete. I actually bought the 12' vinyl single of this back in 1994.The special effects are still very good even for now... so you can imagine how good they were when the movie came out in 1994. It really was amazing back then and it was completely awesome to watch.There is a sequel to The Mask called the Son of the Mask... avoid at all costs. It is terrible and really destroys this classic film.The Mask is so funny and very entertaining. It really is one of my favourite films from the 90s.I will give this film 8 out of 10.'Hold on, sugar! Daddy's got a sweet tooth tonight!'For more reviews, please like my Facebook page:https://www.facebook.com/pages/Ordinary-Person-Movie- Reviews/456572047728204?ref=hl",8,1,1,1 December 2013
The Avengers," Excellent film
","THE AVENGERS ASSEMBLEI had seen this film when it came out in the cinema and I was blown away. I thought it was awesome.I watched it for a second time yesterday and felt the same way it is such a great film and well put together.I had seen all of the original films about the characters and I had mixed reviews about them.Captain America = I didn't like it.Thor = I thought it was good.Iron Man = I loved it.Iron Man 2 = I liked it, just not as much as the first one.The Incredible Hulk = I liked it.But put them together and you have an amazing film.The story was good, the action was great, the characters were great and the actors were great.Everyone did a good job but for me the main character and star was Robert Downey Jr. as Iron Man.A lot of people thought the Hulk was the best character, and he was great but there is just something about Iron Man that I think is special.Besides, I like RDJ I think he is a great actor.I was a little bit confused as to why someone different played Bruce Banner/Hulk I was expecting Edward Norton to reprise his role from The Incredible Hulk.I still don't know why he didn't do it.Robert Downey Jr., Samuel L. Jackson, Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson & Jeremy Renner all make a great team.Since this film was released, news has broken that there will be a lot of sequels on the way. Thor 2, Captain America 2 and Iron Man 3 to name a few.Then in 2015 there will be The Avengers 2.There are some great comedy moments in this movie too. Hulk is the main character that made me laugh. He just doesn't care about anyone and his actions make good comedy at times.The success of this film really has boosted the comic to film transition. Man of Steel comes out this year and there are a lot more Marvel & DC comics coming to the big screen.I am a super-hero fan, (in the movies I never read the comics) so for me this is only good news. I just hope they don't ruin any of the classic characters.I will give this film 8 out of 10.It is better than all of the individual movies and I can't wait for the sequel in 2015.For more reviews, please like my Facebook page:https://www.facebook.com/pages/Ordinary-Person-Movie- Reviews/456572047728204?ref=hl",8,1,6,17 April 2013
Black Swan," You do not need to be a ballet fan to enjoy this movie
","What an amazing film.I have always been tempted to see this film, but the only thing that put me off was the ballet. I don't mind ballet, but I am not really a fan. But the trailer for this movie does look really good... My girlfriend and I watched it last night and I was not disappointed.The story is about a ballet dancer who takes ballet very seriously. She is fighting to get the role of the Swan Queen in Swan Lake, and when she gets it she is fighting to keep it... but she is a very disturbed and paranoid person.It stars Natalie Portman... I am a fan of hers, I think she has made some great movies. But this to me is the best performance of her career. She is so believable. It also has Mila Kunis who plays her ballet rival. Also, in a supporting role, you h ave Winona Ryder. A very strong cast.The story is very tense and full of suspense. I was that engrossed that at one point, i jumped a mile. haha.Also, the special effects that were used in this movie were very impressive.This thriller is such a good movie, that you do not need to like ballet to enjoy the film. If you like thrillers, you should see this film.I will give this film an 8 out of 10.Amazing story, amazing acting, amazing film!For more of my reviews, please like my Facebook page:http://www.facebook.com/pages/Ordinary-Person-Movie- Reviews/456572047728204",8,1,3,12 December 2012
The Incredible Hulk," A much better film... Let's forget the first.
","THE INCREDIBLE HULKWow... At least they made a decent Hulk film this time. This film fixes everything that the last film ruined.The story is 100% better. I'm really glad that this is not a sequel. This is a whole new film, you don't even need to even think about the original film. You don't need to worry about it being part of the story as this one just starts again.This film has it all. Action, drama, romance, thriller... And the best part is there is not too much of any one thing. It is spread out really well.I really liked the characters in this movie. You really did feel sorry for Bruce. He is always on the run. It is a well put together chase film.The effects were mostly good. There were times when I thought the Hulk or the other monster didn't look very real, but it didn't ruin the fun of the film.The casting was perfect. Edward Norton was a brilliant Bruce Banner. I was really disappointed to see he was not in the Avengers Assemble. Especially as there was an awesome little cameo at the end by the legendary Robert Downey Jr﻿. It tied it all up nicely for the big film. Other cast members were Liv Tyler, Tim Roth and William Hurt. Excellent job done by all... Especially Tim. His character was a power hungry, evil man... And it was played perfectly. I really hated hi throughout this film. He was scary.Of course Stan Lee makes his usual cameo nicely. I do hope that one day he plays a bigger part. It would surprise everyone and it would be great. The other thing I really liked about this is the original TV series had a couple of nods of appreciation. The Hulk in this was voiced by the original Hulk himself, Lou Ferrigno﻿, and also he makes a cameo as a security guard. Nice touch.I suppose I would like to have seen a little bit more Hulk in the film. It felt like there were long periods of not seeing him.This is a very good film, entertaining and a lot of fun, but it's not the best comic book film out there.I will give this 7 out of 10.'You won't like me when I' hungry.'For more reviews please like my Facebook page.Ordinary Person Movie Reviews.",7,0,0,29 July 2014
Lucky Number Slevin," I liked it... good cast list.
","LUCKY NUMBER SLEVINIt was quite good. All the way through the film, it seems Levin is in the wrong place at the wrong time. He is quite possibly the unluckiest person in the world... He loses his job, his house gets renovated, he finds his girlfriend in bed with another man, he gets mugged, his friend goes missing, he gets kidnapped as he is mistaken for his friend and is told he owes a gangster $95,000... then he gets kidnapped again and finds out he has to pay another gangster $35,000... all in one day!What a bad day or is it?This film stars Josh Hartnett as Slevin. He meets a girl who wants to help him and she is played by Lucy Liu. The gang bosses are played by Morgan Freeman and Ben Kingsley. There is also a hit-man in the movie played by Bruce Willis. The whole cast is very good. Everyone does a great job... But I have to say, my favourite character is a guy named Sloe. Sloe is a meathead played by Mykelti Williamson. He was not in the movie much, but when he was on screen, he was so funny.There are some funny moments in the film and some twists that I was not expecting. But then there were some twists that I saw coming a mile away.This film is entertaining all the way through... and well worth a watch if you have not seen it.I will give it 7 out of 10.Disagree? Let me know. :)For more reviews, please like my Facebook page:http://www.facebook.com/pages/Ordinary-Person-Movie- Reviews/456572047728204?ref=hl",7,0,0,29 March 2013
Sucker Punch," Not a great film, but entertaining enough.
","SUCKER PUNCHI had heard nothing but bad things about this movie... but I never go with other people opinions, I like to come to my own conclusion.The movie is about a girl who is left with her step father after the death of her mother. She is abused and sent off to a mental institute for the death of her sister (which she didn't do). While there she starts getting these visions that she is a dancer in a brothel. Her mission is to escape with some of the other girls and find the freedom she is looking for.The story is very confusing at times and not easy to follow. It was OK in the end when it explained itself, but it was still not a very strong story.The effects were not great. Some of it was very good, but at other times it felt like I was watching a computer game. It could have been better. There were times where I thought that it was good... some of the 'dream' characters were really well done. I liked the way that when some of the soldiers got killed, steam came out of the wound instead of blood. I thought that was different and looked great.The acting was average at best. There were some actors who did a good job, but others just seemed bad. The movie starred Emily Browning as Babydoll. Unfortunately I thought she did a bad job. She was not very convincing and her fighting scenes looked uncomfortable. Other cast members were Abbie Cornish, Jena Malone, Vanessa Hudgensï»¿, Jamie Chung, Carla Gugino and Oscar Isaac. Oscar was the best actor in this by far. He was creepy and horrible and played it really well.It looked like all the girls that were there to kick some butt, just didn't have it in them. You could tell these girls felt like they couldn't do it and the fighting scenes suffered because of it.I don't think this film deserves the bad wrap it got. It was not a great film by any means, but it was entertaining enough if you don't expect a great big box office movie.I will give it 6 out of 10.'Have you ever wanted to just take something back? You know, something you said, something you did?'For more reviews, please like my Facebook page:https://www.facebook.com/pages/Ordinary-Person-Movie- Reviews/456572047728204?ref=hl",6,0,4,10 February 2014
Source Code," A great film...
","SOURCE CODEThis is a bit like Groundhog Day but with a mission. It was very good.The movie is about a bloke who wakes up on a train, but he is not himself. When he looks into a mirror he sees a different man. 8 minutes later... the train explodes killing everyone on board. Then he wakes up again in a capsule where he is told that he has to do it again until he finds the person who planted the bomb on the train... he then wakes up on the train again with 8 minutes to go until the bomb goes off.It is a bit confusing to begin with as it doesn't really explain itself until about two thirds into the movie. We were wondering what was actually happening and why. This film does keep you guessing though. There are a lot of people on the train an the terrorist could be any one of those people. The only problem is, my gorgeous girlfriend and I guessed who it was right from the beginning. That's not to say it is too obvious, we probably just got lucky.The film stars Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga & Jeffrey Wright. The acting is great... I can't say a bad word about any of the performances here. Jake does a great job.There are some really good slow motion shots when the train explodes too. The effects were good.I will give this film 7 out of 10.A very entertaining sci-fi/thriller.For more of my movie reviews, please like my Facebook page:https://www.facebook.com/pages/Ordinary-Person-Movie- Reviews/456572047728204?ref=hl",7,0,0,9 June 2013
Skyfall," Bond is back!
","Bond is back baby!This film is awesome... I was so surprised at how good it is.I do like Casino Royale and even Quantum of Solace, but to me they didn't feel like Bond movies. There was something missing from them... but as action films, they were awesome. But, Skyfall brings it right back. This is a Bond film! It has it all... I never saw Daniel Craig as James Bond before, but this film has finally, in my opinion, changed that... he is now James Bond.The beginning action sequence was amazing... I really liked the chase at the beginning of Casino Royale, but this blew it away... what a great opening to a movie.Skyfall has a really good story to go along with the action. I honestly am struggling to find a fault with this film. It has some parts in the film that give a wink to some of the classic Bond movies, which I thought were clever and a lot of fun. Plus it was so good to hear the original Bond theme tune again.Javier Bardem plays Raoul Silva, the main bad guy in the movie... and he does a really good job... Another classic Bond villain.The only thing I can think of to criticise this film is, it is a long movie, and it felt long. It is on for nearly 2 and a half hours! I was in the cinema and towards the end I was really uncomfortable and fidgeting, I couldn't feel my butt anymore and wanted to stand up. But even though it is a long movie, you don't get bored... It was entertaining from beginning to end.I know all Bond films are unrealistic, but there were a couple of moments in this one that I felt were a little too unrealistic. They really stuck out. But again, it didn't spoil the enjoyment of the movie.I will give this film 9 out of 10.Excellent film, and if you like the classic James Bond films and have not seen Skyfall yet... go and see it!For more reviews, check out my Facebook page:http://www.facebook.com/pages/Ordinary-Person-Movie- Reviews/456572047728204?ref=hl",9,1,12,29 November 2012
The Hangover," A lot better the second time around.
","THE HANGOVERI remember watching this when it first came out and I was the only one out of all of my friends that thought it was crap.The film is about 4 guys who go to Vegas to celebrate a stag party. The problem is, the stag is missing and nobody can remember what went on the night before. There are a lot of things wrong when they wake up the next morning. The stag is missing, the room they are in is wrecked, the dentist is missing a tooth, there is a tiger in the bathroom and they find out they have as police car! Their missing is to now try and retrace their steps to find out where their friend is so they can get him back in time for the wedding.As I said at the beginning, I have seen this before and was very disappointed. But after watching it again I really liked it this time around. The story is really well planned out. I love the idea of the film starting when it has already all gone wrong. You have no idea, just like the characters, what has happened and it is a great adventure what happened the night before.I loved some of the twists in the story. It does just keep you laughing throughout. Just when you think it couldn't get worst something else comes to light and you realise it is a lot worse than expected. The characters were not very likable. Every one of them has something about them that makes them the worst friends in the world. But they do stick together and do not stop until they get their friend back. The acting was really good throughout. It makes a change but the casting was perfect. The film stars Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham and Ken Jeong. There was even a great cameo by Iron Mike Tyson. Mike can't act to save his life and he definitely can't sing but it did add to the comedy in this movie.The adventure in this film plays along so well that it is a roller-coaster ride to watch. This film is very funny and if you have seen it and didn't like it, watch it again. I liked it a whole lot more the second time around.I will give this 7 out of 10.'What do tigers dream of when they take their little tiger snooze? Do they dream of mauling zebras, or Halle Berry in her Catwoman suit? Don't you worry your pretty striped head, we're gonna get you back to Tyson and your cozy tiger bed. And then we're gonna find our best friend Doug, and then we're gonna give him a best friend hug. Doug, Doug, oh, Doug, Dougie, Dougie, Doug, Doug! But if he's been murdered by crystal meth tweakers, well then we're sh*t out of luck.'For more reviews, please like my Facebook page:https://www.facebook.com/pages/Ordinary-Person-Movie- Reviews/456572047728204?ref=hl",7,0,0,23 September 2014
