movie_title,title,review,rating,helpful,total,date
The King's Speech," how life is affected by the little things
","In the film that never got the credit it deserved, and Colin
Firth's absolute best performance, King George Vl of England battles speech impediment with the help of the stubborn but understanding speech therapist Lionel Logue.
In perfect symbiosis, Colin Firth and Geoffrey Rush manage to tell the eye watering story of how life is affected by the little things. One of the best movies I have ever seen.",8,0,0,17 April 2020
Blade Runner 2049," Visually stunning
","Visually stunning, and I think this is the best acting Gosling has ever done. Ireally enjoyed the way the movie makes you question our definition of humanity. Really underrated and I'm sure it's hard for people with short attention spans to follow.",8,1,5,19 April 2020
Vertigo," You only live once, but you can die twice.
","Re-look, the previous self is too superficial. This is not a third-rate murder, but a super-class metaphor for the movie itself: You only live once, but you can die twice.",8,0,0,7 May 2020
Come and See," the most brutal movie in the world's film history
","The movie depicts how a Belarusian boy took part in the war and was destroyed by the war. Unlike ordinary war films, the film does not touch the frontal battlefield at all, but this film is still called 'the most brutal movie in the world's film history.'",9,0,0,11 May 2020
Howl's Moving Castle," pretty good movie
","It's a pretty good movie. The art's good, the story's good, the characters are good, and it's based on a book. It is a bit to long though and the story kind of slows down at times.",8,0,0,15 April 2020
Your Name.," This film is outright insane.
","This film is outright insane. the plot leads you to places you never thought you'd go, as well as being creative and shocking. the twist ending is one that will resonate with you for hours afterwards.",8,0,0,25 April 2020
Star Wars: Episode I - The Phantom Menace," Probably my least favorite Star Wars movie but I still really enjoyed it.
","Probably my least favorite Star
Wars movie but I still really enjoyed it. It's kind of a pointless movie since if you remove this movie from the trilogy/ saga you would still be able to understand overall story.",5,0,2,2 May 2020
The Sound of Music," love this movie
","I fell in love with this moviee because of the good acting, the drama, the music, and what it takes place in and the time. It has everything you ever wanted in it. Its one of my favorite movies!",8,1,1,17 April 2020
Casablanca," crying
","Casablanca is able to exceed any and all expectations with a simple, but still engaging love story, a high tension tone, and all around great performances from everyone in the cast.",9,0,0,19 April 2020
Kung Fu Panda," Kung Fu Panda is one of my favorite animated movies.
","To put it simply, Kung Fu Panda is one of my favorite animated movies. It has many good qualities, perhaps led by the amazing voice-acting by Jack
Black. The animation was really good, and the story is better than in some Disney movies. I love how everything within the movie come backs somehow later. The humor is awesome.
This film is one of the funniest out there.",9,0,0,26 April 2020
Memento," awesome
",I still can't understand how this movie DID NOT get to be a hit on the box office. One of the few movies original enough and yet awesome without being pretentious at all. The best example of how simple things have great suspense and don't need to cost that much.,8,0,0,21 April 2020
Inglourious Basterds," fantastic
","Absolutely fantastic this is a masterpiece and the performance of Chrisoph Waltz was one of the best performances in the history of acting, oh man Tarantino is a genius!!",8,0,1,23 April 2020
Captain Marvel," good stroy
","Packed with action, humor, and visual thrills, Captain Marvel introduces the MCU's latest hero with an origin story that makes effective use of the franchise's signature formula.",6,0,3,19 April 2020
12 Angry Men," brillant
","This movie is brillant, you are always waiting for the next movie and drama which revolves around this mysterious killing is brillant. who ever loves thriller movies this is the best collection to have in your playlist.
One of the greatest movie of all time.",9,0,0,1 April 2020
The Notebook," a classic
","Good love story. Has a good story. Sappy love story. A classic. Must see movie. You can see the ending coming from a mile away however, still a great movie that you need to see. love story enthusiasts will absolutely adore this movie! Normally I am all for a sequel but this movie doesn't need one! Good work for a love story.",6,0,0,12 April 2020
The Danish Girl," great performances
",I knew Eddie Redmayne would be great but I had no idea how brilliant Alicia Vikander would be. Great performances based on real events...,7,0,1,13 April 2020
Oldboy," enjoyed the scenery of this film
",Really enjoyed the scenery of this film and how they traced the story back to the beginning of there school days. A little gory especially when he cut his tongue off. But overall followed Dai-so on his journey of revenge.,8,0,0,25 April 2020
The Great Dictator," great movie
",It's a little less great than people are willing to admit (a lot of Chaplin's comedic sensibilities at this time were still entrenched in antics that work better in silent movies) but there's so much to admire here and the parody of Nazi Germany holds up remarkably well.,8,0,0,23 April 2020
Brokeback Mountain," the best romantic dramas of the 21st century
","A master director at the top of his game, combined with gorgeous cinematography and award-caliber performances, match with a beautiful and heartbreaking script to bring to life one of the best romantic dramas of the 21st century.",8,1,1,5 April 2020
Spotlight," true story
","A stellar cast at the top of there game in a exceptional film based on true events. Not a easy topic to cover but handled brilliantly by the writer and directed to perfection by tom mccarthy. True stories seem too be getting more popular with Hollywood now but if there as good as this, please keep them
Coming.",8,0,0,17 April 2020
