movie_title,title,review,rating,helpful,total,date
The Avengers," The Avengers Have Finally Come Together
","The Avengers: Iron-Man, Captain America, Thor, The Hulk, Black Widow and Hawkeye have come together on the big screen.Now before you watch the Avengers it's important that you watch Iron-Man, Iron-Man 2, The Incredible Hulk (2008), Thor, and Captain America: The First Avenger so you could understand and follow the story line that plays out in The Avengers since the five movies I just named play into the Avengers.The plot centers around Loki Played by Tom Hiddleston looking to raise a army with the power of the Tesseract, once he takes it into his hands this leads SHIELD Director played by Samuel L. Jackson along with Agents Phil Coulson Played by Clark Gregg and Maria Hill Played by Cobie Smulders to enlist the help of The Avengers with Captain America played by Chris Evans, Iron-Man Played by Robert Downey Jr, Thor Played by Chris Hemsworth, Bruce Banner/ Hulk Played by Mark Ruffalo, Natasha Romanoff/Black Widow Played by Scarlett Johansson and Clint Barton/Hawkeye Played by Jeremy Renner.But things don't go exactly as Fury hoped as ego and pride begins to take hold of the team.Now to be honest with you it took me two watches before I could give it a better appreciation because normally when you have a lot of characters from different movies in one crossover it doesn't take one watch to understand it all since you have them in one film.But now that I have watched it quite a few times I have to say the film did a very good job with giving each character equal screen time as well as their own scenes before they would have to be introduce together for the rest of the film.Many fans of Marvel will be happy to see their favorite heroes united into one film which is not something you see everyday and it is well appreciated.And I like how the film choose Loki to be the main antagonist and when you see the film you will understand fully since Loki is Thor's brother it helps the plot and story of the film.The action in the Avengers is very well thought and well done with each hero getting their own spot at making it big on the film it goes to show what imagination and lot of luck will do for you if you take the time.The plot in the film is very good as well with strong performances by each actor who wanted to make sure the Avengers got the respect it deserved so good job everyone.The music also is very good and each score in the film tells the story of the scene in the film so very good work on the music for the film.With everything the Avengers has going for it, it is worth noting that some things could have been better but overall nothing too much to complain about.Many fans have been waiting for this crossover for some time and they won't be disappointed with Thor, Hulk, Captain America and Iron-Man all joining forces for the big screen so Marvel delivers pretty well on this one.Overall The Avengers is a well deserved movie for Marvel fans and doesn't let down the fans what so ever. If you're looking for a good comic book movie with many legends this is your film.I give The Avengers an 8 out of 10",8,3,8,1 February 2015
The Incredible Hulk," Hulk Smash
",Now before you all think I'm bashing this film. This film did have some moments that made it worth while.However it just didn't feel all that to me. Now I didn't see the 2003 Hulk film so don't think this review is getting this rating for that. The Incredible Hulk feels like a reboot and when you watch the film you'll understand where I'm coming from and this is the second film in the Marvel Cinematic Universe.What I found disappointing about the film is that the story telling feels weak and it more or less just don't feel right. The casting is a hit and miss Edward Norton Liv Tyler Tim Roth Tim Blake Nelson Ty Burrell William Hurt all have been cast to play in this film with of course Stan Lee's cameo plus if you watch the end credits you'll get a special cameo from Robert Downey JR. Some of the acting is pretty good other times it just feels vain. Not that these are bad actors it just the script feels like a mess.The music in the film is rewarding and Marvel Films can always be counted on to have a superb score and this film does exactly like that. The main highlight of the film for me is the special effects are very impressive so that is rewarding to watching this film a Hulk vs Abomination in the climax of the film is the main rewarding feature to me in the film and they gave us an incredible fight that should be rank up there with the best of them in the MCU. So while this film does some features to make it a watch it just not something for everyone unless you're a fan of Hulk and Marvel. It just a decent film is the best way I can put it but it does have something.I give The Incredible Hulk an 6 out of 10,6,0,0,12 August 2015
Star Wars: Episode I - The Phantom Menace," Mix results even today
","Now as many of you know I'm a fan of Star Trek but I took the time to watch some Star Wars and I want to review the films so I started at the beginning of the prequels before moving onto the original trilogy which the only one I seen in full was A New Hope.I remember how much hype and talk that went on with this new movie along with ties in such as toys, books, video games and so on. I only saw this movie a few times mostly just bit and pieces and sometimes during school when they would play the VHS copy during breaks.To be honest I couldn't really enjoy it back than because it did have a lot of seriously moments that make you go what were they thinking? Again I'm not 100 percent in touch with Star Wars. But I know a good share of it.So let's not delay any more and move onto the review of Star Wars: Episode 1 The Phantom Menace.The film starts off with the tradition text roll and we are introduce to our protagonists Obi-Wan Kenobi (Ewan McGregor) and Qui-Gon Jinn (Liam Neeson). We also are introduce to Queen Amidala/Padme (Natalie Portman) Young Anakin Skywalker (Jake Lloyd), Senator Palpatine (Ian McDiarmid) among others as well as Anthony Daniels, Kenny Baker, and Frank Oz reprising their roles as C-3PO, R2-D2 and Master Yoda respective We are also introduce to Darth Maul (Ray Park) the film main antagonist and his slight alone is enough to give you nightmares.What I find mostly disappointing about this film is that a good percent of the film is spend just slow pace along with most of the characters feeling out of place as you have to be a fan of Star Wars to understand them, some of the writing just feels a mess.But what's good about the film is the music is very well balance as John Williams shows that his music is why Star Wars fans love it because anything he touches is a gold brick, Portman's performance was good enough and help made her character convincing, the pod race scene was really good it gave you that feel of watching a real race, plus the climax is what fans would want in a Star Wars film. It just so much of this film just feels out of pace but Star Wars will appreciate it none the lessI give Star Wars: Episode 1 The Phantom Menace an 6 out of 10",6,0,3,2 July 2015
The Longest Yard," Still the Longest Yard
","When I went to the theaters in 2005 to go watch The Longest Yard, I had no knowledge that the film was actually a remake. But this remake does a good job on it own to be a stand out movie.I saw this one twice in theaters which is not something I also do unless I really enjoy the movie enough to go see the movie again in theaters.And this is one of the funniest comedies I seen in a long time and I still remember how everyone in the theater laugh so loud in the theater it's just not something you see too much. The cast is a mix of comedy actors,Former NFL Players and Pro Wrestlers . Adam Sandler, Chris Rock, Burt Reynolds, Nelly, Michael Irvin, Bill Goldberg, Steve Austin, Kevin Nash, Walter Williamson, Terry Crews, Bob Sapp,Nicolas Turturro, Dalip Singh,Lobo Sebastian, William Fichtner, Bill Romanowski, Brian Bosworth, James Cromwell and many more I just list the ones whose character plays the most important to the film plotNow this being a sport comedy they had to make it interesting enough to make it worth your time and it does that. Though there are some bits you would be better off not paying attention to The Longest Yard actually does a lot of things to make it a stand alone movie which most remakes don't do all that often.This film is full of drama and humor and quotes that you'll find yourself using after watching it. If you're a football fan or comedy fan do yourself a favor watch The Longest Yard it is full of a lot good.Surprising good acting, smart comedy and a plot that matches the story you'll be in for a good film I give The Longest Yard an 9 out of 10",9,0,0,28 June 2015
Iron Man 3," Iron-Man 3
","Following into the footsteps of The Avengers which has been a very successful film we have Robert Downey Jr returning as Tony Stark better known to the world as Iron-Man. Along with Gwyneth Paltrow reprising her role as Pepper Potts, Don Cheadle returning as Col. James 'Rhodey' Rhodes.This time he now has to do with The Mandarin (Ben Kingsley) who is out to get Iron-Man and everything he holds dear.Now where fans can complain and I have to agree the plot of the film could have been better there is just so much that could have been better about Iron-Man 3What was good about the film was that the cast did a well done job with their performances Robert shows how he was born to play Tony Stark I can't see anyone pulling off Iron-Man better than him, Ben Kingsley make a interesting villain his performance is just insane in this film. Don and Gwyneth did well also.I enjoy the music score for the film as well it deliver once again in Marvel Studios. The special effects are really good as well which makes the film worth watching.However the film suffer from lack of imagination and the script for the film just feels like it was rush after the Avengers was made so Marvel could cash in on more of the characters from the series.Iron-Man 3 is watchable it just going to be better not to have high hopes on it. I give Iron-Man 3 an 7 out of 10",7,0,3,1 May 2015
Resident Evil: Afterlife," Back for a fourth round
","Seeing this movie in the theaters was wild for me and I'm glad I did see it in the theaters because it turn out to be right up there with the other three Resident Evil movies Milla Jovovich returns as Alice with Ali Larter back as Claire Redfield, Wentworth Miller plays Chris Redfield, Claire's brother. Shawn Roberts plays Albert Wesker in the movie and I think he is a better Wesker also Sienna Guillory returns as Jill Valentine as a bonus for the movie The Story takes place some time after the third movie, Umbrella has take cover underground in many cities of the world, Albert Wesker the main villain of the games and movie is seen taking charge of the base in Japan.Alice and her clones from the last movie attack the base force Wesker and his men to take action.When the real Alice confronts Wesker he strips her of her powers making her human again.Sometime later Alice and Claire join forces again to find a prison with other survivors.However with a army of zombies around the prison and a Axeman things become worst for the survivors.I feel like this movie really was a stepping stone for the series and should be right up there with movies based off video games Survival horror or other wise.I enjoy the action and fighting in the movie and the plot twist in the movie really keep you guessing.All in all if you love Resident Evil then this is your movie.I give Resident Evil Afterlife a 8 out of 10",8,3,7,13 September 2012
Mulan," Disney has done it again with honor
",Mulan is the 9th film in the Disney Renaissance series after watching it again after so long I found it to be a honorable film despite some things that I didn't enjoy about the filmThe plot centers around the legend of Mulan in China Ming-Na Wen voices Mulan and I really did enjoy her performance as the lead protagonist. Mulan is also guided by Mushu (Voiced by Eddie Murphy) and Cri-Kee (Voiced by Frank Welker)The other cast of characters we get Captain Li Shang (Voiced by BD Wong) as the second protagonist the main antagonist is Shan Yu (voiced by Miguel Ferrer) with the rest of the cast beingHarvey Fierstein as the voice of Yao Gedde Watanabe as the voice of Ling Jerry Tondo as the voice of Chien-Po James Hong as the voice of Chi-Fu Soon-Tek Oh as the voice of Fa Zhou June Foray as as the voice of Grandmother Fa Pat Morita as the voice of The Emperor of ChinaI have to say the visuals here are top notch Disney can almost always be counted on for having such amazing visuals and Mulan is no different. To match the visuals is the animation which is well done I always enjoy hand drawn animation it really gives you respect for the art work in this film plus how the artist study the landscape of China.The voice acting is very good and there is a lot of passion in the cast performances. The music is just superb which helps to tell the story. And of course we have the songs the best song to me is 'I'll make a man out of you'.The film had some moments that could have been do without but still Mulan does offer a lot of good to outweigh the badOverall Mulan is just a enjoyable movie with a strong female hero.With strong animation very good voice work and amazing visuals this would be the film for you.I give Mulan a 7 out of 10,7,1,1,17 November 2015
Star Trek," Star Trek Returns
","2005 was a bad year for Star Trek fans when you look at the events of that time you will understand. I fell out of Star Trek because of those events while I did still watch some Star Trek it just those events of 2005 really hurt my passion for the series.Then 2009 came around and we get our first Star Trek film in seven years to come to the theaters and it saved my passion for Star Trek and restarted the fire along with creating a new generation of fans.This reboot really did help Star Trek that only fans would understand. The film features a fresh cast of actors playing the characters from the original series we have Chris Pine playing the role of Captain James T.Kirk, Zachary Quinto as Mr.Spock, Karl Urban as Dr. McCoy 'Bones,Zoe Saldana as Uhura, Simon Pegg as Scotty, John Cho as Sulu, Anton Yelchin as Chekov.We also see Bruce Greenwood as Christoper Pike along with a special appearance Leonard Nimoy who reprises his role as Mr.Spock. The film main antagonist is Nero played by Eric Bana and Nero has been voted as one of the best villains of Star Trek and Eric brought a new level to the role that is best given justice by watching the film.The cast really did well as the characters in this reboot I feel some of the cast honor the characters that Star Trek fans grew up with.Also the special effects in the film are simply impressive and you can tell they took the time to deliver on making the film a thrill for the fans and new fansMusic in the film is really good as the score tells the story of each scene in the film.The plot of the film really did well as it's better to watch the film to give it justice the film does well with pleasing Star Trek films with the Easter eggs in the film that you have to be a fan to love Action and stunt scenes are very good as well the film that makes the film work well for the reboot side and they took the time to detail the fights It's good to see a film like this give Star Trek another chance to shine.Overall if you're a long time fan of Star Trek or are looking for a action film that is a epic ride this is your filmWith good action, creative plot and talented performances this film should be pleasing to any one who loves movies I give Star Trek (2009) an 8 out of 10",8,2,4,12 June 2015
Iron Man 2," Took me some time to give Iron Man 2 respect
","Now I'll admit it took me years six years to be exact to give Iron Man 2 a better opinionBecause when I first watched the film I couldn't appreciate plus at the time I wasn't impress because it didn't feel like it lived to the standards the first movie has set.But after so much time I felt like I could give it a better opinion. After buying the movie on DVD I got to say it is one of those movies that had to age to be appreciated.While it is not a superior sequel it is still a enjoyable movie with some things that make it work and some not so much things that will make it work.The film centers this time on new cast of characters along with developing them as the film goes on which helps make it work.Iron Man 2 story took some time to get a grip of where this was going and what was happening to the characters that you have to be pay close attention to or else you'll miss something.The acting in the movie is up and down where some of the cast doing well and making the film work despite some flaws in the script There is some very original quotes in the movie which I liked and they help make the movie fun.The music in the movie works helps with the movie and some songs that movie fans know from the first note they heard it. There are impressive special effects which you would come to expect in Iron Man and Marvel movies they spare no expense with the effects it really goes to show that with a little talent and a lot imagination you can create some impressive workIt just this sequel took time to enjoy and the fact some of the flaws can hurt the movieBut with good acting, impressive effects and characters you'll find it to be just as good as the other line ups in the Marvel Cinematic UniverseI give Iron Man 2 an 8 out of 10",8,0,1,4 April 2016
World War Z," A Disgrace to Zombie movies
",Now I know I'll be some getting some disagreements but this is how I feel about the film.One that everyone loves but I don't.I mean I don't see how this is even consider a great film I mean it's not even worth the film it was recorded with.IN my opinion it was made just for Brad to collect another pay check I'm not saying he's a bad actor but clearly he didn't think this one through.The zombies are even hardly consider zombies it just another Hollywood trying to catch in on a book.The story of the film is just the same one we have heard many times before and it just pretty much gets boring as it goes on.Clearly this film was made to make some money and it might have done well at the theaters but it was pretty much a disgrace to horror and zombie films out there.Again it's just another film that everyone loves but I don't. World War Z just has a big name star trying to save the world and his family but he couldn't save the boredom of the fans of movies.I give World War Z an 1 out of 10,1,5,10,18 February 2015
