movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," And old-fashioned Hollywood. In a good way
","An old-fashioned Hollywood movie with great performances and exciting racing sequences.Them testing the car and clashing with Ford executives is fine, but the movie really is at its best when it focuses on racing. Even then, the performances from Bale and Damon are so good that they make even the rockiest parts of movie watchable.The third act is so much fun it mostly makes up for many problems I might have had with the build-up.It feels like the movie is a big allegory for movie studio interference and how it can prevent greatness. I like that, even if even comes with the cost of makong the Ford and Ferrari execs feel like cartoon villains, but then again, old-fashioned Hollywood movie.This was a lot fun.",6,1,2,5 December 2019
Saturday Night Fever," Bleaker than you'd expect
","An unusually bleak and harsh movie.It does a fantastic job at making the dance floor look like the only escape from the ugliness of reality.
And when that ugliness surrounds you and follows you everywhere, you gotta dance real good.",8,1,1,20 March 2020
First Man," this movie really damn good.
","Ryan Gosling gives a great if subtle performance and Damien Chazelle's direction is really good. The effects are so great I'm not entirely convinced they didn't actually film in space.If I were to nitpick, I'd say that Justin Hurwitz's score, as great as it is (and it really is great, particularly during the awesome moon-landing sequence) sounds a bit to similar to his love theme from La La Land. It can be a bit distracting.Overall, great movie. I'm glad I finally got to see it.",8,1,1,20 March 2020
Come and See," Not for the faint of heart
","One of the best, most disturbing, harrowing, unnerving and impactful movies I have ever seen.This is a movie that drags you through hell. It's painful.
It's hard to watch.
In the best way possible.This is a movie you don't recover from. It leaves you speechless. It leaves you shaking.This is a masterpiece,
and it's not for the faint of heart.",10,2,2,28 March 2020
Your Name.," Masterpiece
","Moving, beautiful, creative.Gorgeous animation, great music and engaging story.This movie is a masterpiece and I love it with all my heart.",10,0,0,20 March 2020
Deepwater Horizon," The second half makes it all worth it
","The first half is alright. There's some fine moments of levity and some unintentuonally funny moments, like John Malkovich's wonderfully malkovich performance and Kurt Russel's pronunciation of the word 'cement', but it was nothing special.The second half, on the other hand, is absolutely terrifying.
It doesn't depict the disaster as an exciting action set piece, but as a harrowing living nightmare from hell.
It's incredible, immensely disturbing and hard to watch.
It made it all worth it.",7,0,0,15 May 2020
E.T. the Extra-Terrestrial," Pure magic and childhood innocence.
","Probably the most important movie in my life.
I've been watching it ever since I was a little kid.
It has always been with me.It has made me laugh, cry and feel alive.I love it with all my heart and soul.",10,1,1,21 April 2020
It," A fun horror film with lovable characters
",Great performances from Skarsg̴rd and all the child actors in a movie that isn't so much scary as it is really fun and cool.,8,0,0,10 September 2019
Hereditary," A horror masterpiece
","We all know that Toni Collette is amazing, but Alex Wolff's performance in this movie is seriously underrated.
Particularly during that scene.The look of pure shock on his face when you know what happens is really impressive, and it's all shown in one long close-up that feels like it lasts an eternity.That whole sequence is easily one of the most terrifying scenes I've seen in a while (again, if you've seen this, you know what I'm talking about).With that said, this is Collette's movie.
She's amazingly good in this movie.
She difinetely should have been nominated for an Oscar for her work here.This whole movie is an absolute nightmare.
I love it.",10,0,1,15 April 2020
In Bruges," Funny and sad
","I don't know whether to laugh or cry.The line between the funny moments and the sad moments is so thin.You can be laughing at a joke and then a second later start to cry because this movie gets seriously emotional.But here's what I know for sure......this movie rules, a bottle is lethal weapon and Ralph Fiennes steals the show",10,1,2,19 March 2020
The Big Lebowski," Everyone is perfect
","My favorite comedy of all time.Jeff Bridges is absolutely perfect in this movie.
So is John Goodman.
And Steve Buscemi.
And Julianne Moore.
Everyone is perfect here.It's also the most quotable movie of all time.
Literally every single line in this movie is insanely quotable.It's incredibly hilarious.
I love this film with all my heart.",10,2,2,19 March 2020
Unbreakable," Shyamalan's best movie suffers from a terrible ending.
","A good movie, but the ending id awful. Not the twist, the twist is fine. The way the movie ends is just terribly lazy and unsatisfying.Still, this is probably Shyamalan's best movie. Make of that what you will",7,0,0,20 March 2020
Akira," Amazing.
","One of the greatest animated movies of all time,
and one of the greatest movies of all time, period.Incredibly animated, full amazing action, brutal violence and great characters.The musical score is one of my favorites,
and Tetsuo is one of my favorite villains. You really can't help but feel bad for the poor kid.",10,0,2,28 March 2020
Citizen Kane," Never boring
","Many old movies that are proclaimed as the some of greatest of all time can be very boring when watched today.
I've had had experiece with many movies.Citizen Kane is not one of those movies.The first time I watched it I was surprised by how entertaining it was. It was fast paced, snappy, full of etremely effective dramatic sequences, dazzling camera work and an incredible performance by Orson Welles.And it' still just as good today.I love it.",10,1,2,19 March 2020
Memento," Nolan struggles, but mostly succedes
","Watching this film unravelling before you is truly great, even if Nolan keeps struggling when it comes to making the characters feel human.",7,0,0,20 March 2020
Captain Marvel," A fun ride that's far better than you've been led to believe
","From all the hate it's been getting, I expected not much mote than an avarge if disposable MCU movie (and to be fair, I that would have fine with that), so while thr movie does have its flaws, I was pleseantly surprised by how much I enjoyed this movie.
It's biggest problem is that the main characer could've been better developed, as sometimes an emotional moment won't resonate as much as it should because there wasn't enough time dedicated to exploring how she feels about not knowing whi she is; but I could never call her a vad character.
The scructure of the movie, the supporting cast, and the action (even in its overly rapid MCU style of editing) were all great.
What I appreciated the most about this movie however, are the quieter moments; Carol reuniting with Maria and Monica, Carol and Fury talking and even many moments with Talos (one of the most interesting 'villains' in the MCU) and others. I've heard many call this movie slow or boring, and while it certainly is slower than most other MCU movies, I felt it was for the better. It's not one of the MCU's best film, but it's far from being the disaster some would like you to believe. It's a fun romp that takes its time and handles moments that could've easily angered some people (and I imagined some were angered) gracefuly. Definitely better than many viewer say.",7,2,9,9 March 2019
Rang De Basanti," A fine film.
","The performances are great and the film is over all really well directed.
The movie does a fantastic job at presenting a sense of rebelious awakening for its characters that leads to a surprsing turn of events for the third act.
However this turn, as good as it is, feels a bit sudden and drastic.",7,0,0,4 September 2019
The Babadook," This movie revitalised my faith in horror cinema
","This is one of those movie where I will never forget my first time watching it.
It left a big impact.When it seemed like no good horror movies were coming out, this movie revitalised my faith in horror cinema.Such an uncomfortable viewing experience.Essie Davies is incredible.",9,13,16,21 April 2020
The Danish Girl," Not a bad movie by any means, but one that seriously disappointed me.
","Eddie Redmayne and especially Alicia Vikander are so good that they make the unremarkable script mostly worth watching. Mostly.Their performances really carry what's otherwise a pretty underwhelming movie.Maybe I'll like it more on a rewatch, but first I need to want to rewatch it, and I kinda don't, at least not for now.Also, as glad as I am that Vikander won an Oscar for this, it really should have been in the Leading Actress category (and it should have been for Ex Machina, but that's off-topic)",5,1,1,16 June 2020
Terminator Salvation," Could be worse. Could be Genisys
","I don't love it, but I don't hate it.I like its depiction of the future and the effects are really damn good (even the cgi Arnold looks pretty good for 2009).It had some pretty interesting ideas and the actors all did a good job.The movie falls apart thanks to its script and the whole Marcus subplot.It's not a great movie, but after Genisys, I think it has aged better than expected",5,1,2,20 March 2020
Zodiac," The best detective movie ever.
","In my opinion, the greatest detective movie ever made.
The attention to detail is incredible.A technical masterpice where every filmmaking aspect is perfect.
Direction, cinematography,
editing, writing,
acting, visual effects,
music, profuction design,
sound design,
every aspect of this movie comes together to create a fast-paced, snappy and stylish movie where information goes by fast and it sticks with you.Slowly, the movie becomes a harrowing portrayal of frustation turned into obsesion.
And just like with Robert Graysmith, it gets me obsesed with the case as well.",10,6,9,1 April 2020
The Prestige," I don't think I will ever get why Nolan is so loved
","It's a good movie with good performances, but if Nolan thinks I can still take it seriously after he itroduces a goddanm CLONING MACHINE, then I'm sorry.Also, you can't just introduce a cloning machine and think I would still be shocked by a simple twin reveal at the end. That's kinda like revealing than Darth Vader is Luke's father and then following it up by revealing that Yoda was actually on his knees the whole time...",6,1,3,20 March 2020
BlacKkKlansman," Wonderfully angry
","Disturbing and infuriating.Wonderfully acted by John David Washington, Adam Driver and Topher Grace.It gets your blood boiling and makes you wanna do something.It's also full of great comedic moments and one hell of an ending",9,4,6,20 March 2020
Star Wars: Episode VI - Return of the Jedi," A mess, but a satisfying one.
","By far the weakest of the original trilogy, it struggles when it focuses on the Ewoks in Endor, but becomes amazing when the focus shifts to Luke, Vader and The Emperor.",7,0,0,20 March 2020
Alien," A master class in suspense, horror and science fiction
","Out of all the movies in the Alien franchise, Ridley Scott's original is arguably the best of them all. The characters are all memorable, the effects hold up, and the Xenomorph remains one of the most iconic and terrifying movie creatures ever put on screen.",10,0,2,15 November 2018
Black Mass," An alright gangster film with a great cast
","Far from being one of the most exciting gangster movies, but it's a worthwhile watch thanks to its excellent cast, especially Joel Edgerton, who is more the protagonist of the film than Johnny Depp to be honest.David Harbour keeps popping up where I least expect it.",6,1,1,15 May 2020
Lost in Translation," So simple and so great
","This is a prefect example of a movie that's not about a plot, but about a mood. A simple story about two lonely people. It captures a sort innocent awkwardness that's both very relatable and really touching.Bill Murray and Scarlett Johansson are amazing and work extremely well together. Their chemistry is subtle and awkward, which works perfectly for the tone of the movie.The karaoke scene is probably one of my new favorite movie scenes ever.I love the ending. I love the soundtrack. I love the movie.",9,0,0,7 July 2020
Barry Lyndon," Riveting and entertaining
","If you're not planning to watch this movie because it's a three hour lon period piece, make no mistake, this is one of the most entertaining and emotional movies out there.",10,0,0,20 March 2020
Interstellar," Nolan, just shut up for a second.
","I'm not gonna say that this is a bad movie, because one, I value the safety of me and my family; and two, I really don't think it is a bad movie, I just don't think it is the masterpiece that so many people say it is.The visuals are great and I'm sure the science is very accurate and that's very impressive......but I never enjoyed the characters.I never liked how Cooper completely ignores his son Tom, who he clearly loves less than Murph.I never liked writing.I've always had a problem with how Nolan movies are written.
Full of endless exposition and corny speeches that are meant to be deep, and this is no differenceThe following is and actual conversatiom from the movie:-------------------------------------------------------------
COOPER: All of this, is one little girl's bedroom, every moment! It's infinitely complex! They have access, to infinite time and space, but they're not bound by anything! They can't find a specific place in time, they can't communicate. That's why I'm here. I'm gonna find a way to tell Murph, just like I found this moment.TARS: How, Cooper?COOPER: Love, TARS, love.
-------------------------------------------------------------I don't know. I wanna love this movie, but I just can't.It is technically impressive, but I have no desire to watch it again.",5,0,2,9 July 2019
Star Wars: Episode IX - The Rise of Skywalker," It's a mess and I kinda love it
","Not gonna lie, I kinda had a blast with this movie. It's dumb sometimes and it doesn't always makes sense....but at this point I don't really care.The first act is definitely the messiest part of the movie. It moves too fast and there's too much going on. However, the movie finds is footing surprisingly quickly. It's not a perfect footing, but I enjoyed it.It makes some desicions I didn't like, some desicions I really liked, and some that at first I didn't like but ended up liking them.I suppose the amount of enjoyment you'll get from this will be based on how muh you enjoy Rey as a character. If you think she's an overpowered mary sue (I don't),then this movie wont convince you otherwise, although the nature of her strength is adressed and while I wasn't a big fan of that, I have the suspicion it'll grow on me.Some of the more emotional moment fell rushed and not all plot points are that well explained, but to be honest, on fully emotional level, I was mostly really satisfied.",6,2,8,20 March 2020
Justice League," The most boring movie ever made
","Here it is.
we have found it.
at last, the most boring movie of all time.",1,2,12,19 March 2020
Man of Steel," It's fine
","Henry Cavill does a good job this flawed, yet mostly well made take on Superman that could have been much worse had Zach Snyder not held back on many of his trademark snyderisms, and remains the best pre-Wonder Woman DCEU film",6,1,1,20 March 2020
Spider-Man: Into the Spider-Verse," The Best Spider-Man movie ever!
","Spider-Man: Into the Spider-Verse is one of the most beautiful animated movies I've seen and possibly the best looking superhero movie of all time; with its bright neon colors combined with its comic book asthetic, it creates a world unlike anything I've seen since the LEGO Movie.
The characters are all great. Miles Morales is a fantastic protagonist; understandably scared at the prospect of being Spider-Man, but excited to learn. His relationship with his father and Peter Parker are some of the most emotiinal scenes in the movie. Gwen Stacy is also a great supporting character, as are thr rest of the spider people.
The villains are fun and the action is jaw dropping.
It's also tear jerking tribute to Stan Lee.
This is the best Spider-Man movie by far.",10,46,87,21 December 2018
Warrior," Predictable, but effective
","While I could predict most of the time where the film was going, I was constantly moved by the excellent family drama (elevated by great performances from Hardy, Edgerton and Nolte) and the ending was so emotional that I cried.",8,1,1,20 March 2020
Terminator 2: Judgment Day," YES!
","The digital effects in this one somehow hold up better than the practical effects in the original.The action is insane and character development is perfect.All in all, a superior sequel in almost every way.",10,0,1,20 March 2020
The Girl with the Dragon Tattoo," David Fincher, the modern master
","Rooney Mara is out of this world.
I have a crush on her because of this movie.Such a great and disturbing film.David Fincher is a master at thrillers.
A modern, more hardcore Hitchcock, I might say.Best opening credit sequence of all time?
Yes. Absolutely.",9,0,1,21 April 2020
Face_Off," This is how you do silly.
",This would not have worked had it takes itself seriously.This film has some of the cagiest Nic Cage moments ever. And I love crazy Cage.,7,2,2,20 May 2020
Dunkirk," Well made, but emotionally empty
","In my opinion, one of Christopher Nolan's biggest weakneses has always been his characters.
Dunkirk 'fixes' this problem by almost completely eliminating the concept of characters.On the one hand, it lets Nolan focus on what he's best at: the technicals.The cinematography is stunning, the editing and direction are pretty good (althought the constantly changing aspect ratio is very distracting).
And the music is, once again, Hans Zimmer pressing his whole arm on the keyboard.On the other hand, not having any real character makes many scenes feel like they drag for way too long and makes for a very dull experience.If we knew something about any of these people maybe it would have been different.Overall, it's not a terrible movie, but a very unmemorable one.
Like most Nolan movies, it's technically impressive.The lack of characterization makes it more bearable for me than something like Interstellar,
but it does negatively impact what could have been a very compelling drama, instead of just a series of well shot battle sequences.",6,0,3,7 April 2020
