movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Possibly the best car racing film of all time
",The racing sequences are simply thrilling and intense. The cinematography and editing are just crazy. The script is well written. There are plenty of twists and turns. The ending is beyond everyone's expectation.Bale and Damon are marvelous. Bale's British accent makes him totally unrecognizable. Mangold proves again that he is brilliant in directing an action thriller.,Null,5,13,16 November 2019
The Avengers," The villains are too weak
","The only threat of the villains is Loki, who could be handled easily by Banner or Thor single-handedly. Barton and Banner were mind-controlled by Loki, but that was just temporary. Loki just started a war that he would never win. The storytelling is highly unbalanced. The visual effects and action sequences of the last fourty minutes were sensational and thrilling, yet the long part before it was boring and useless. Some action scenes lack credibility and look fake, as nobody gets injured or bleeds, and the editing of the film is not convincing. The name 'Avengers' is misleading, since these superheroes are not avenging and are just saving the world. Particularly, the war criminal Loki was not sentenced to death. 'Savers' might be a better name for the team.Overall, this film does not live up to its hype.",Null,1,2,6 June 2018
Blade Runner 2049," Reasons why the film commercially fails
","It is clear that 'Blade Runner 2049' underperforms at box office, especially in the United States. There are several reasons for that. First, the film depicts humans as evil and replicants as justice. 'War for the Planet of Apes' did the same, paying tributes to apes while slashing humans. All the audiences are humans and obviously they don't want such a setting. Secondly, the pace is too slow. You can sleep for twenty minutes, and when you wake up, you can still catch up with the plot. Third, bad editing. It seems that Denis Villeneuve is a narcissist and just puts everything he shoots into the film.",Null,13,28,13 October 2017
First Man," Another triumph for Damien Chazelle
","This film 'First Man' honors an iconic figure in American history, Neil Armstrong. The execution of the film is one of the best I've ever seen. The standard three-act narrative structure is mixed with a sometime parallel narrative. There is a prefect balance and connection between the depictions of the work and family life of Armstrong. Claire Foy gives a memorable emotional performance and could be nominated for a best supporting actress award.From a technical point of view, the sound editing is stunning, and makes you feel real. The visual effects and production design are also noteworthy. The editing is as good as in every film by Chazelle. Actually, this could be the best biopic in technical terms.",Null,0,3,24 November 2018
Raiders of the Lost Ark," Just an unconvincing horror film
","I thought it would be a fascinating action thriller, yet it turns out to be a nasty horror film that turns to supernatural power. There is simply no logic or reason behind the screenplay. The overall music score and the action sequences in the third act are good, which prevents me from giving this film a one star.",Null,1,9,30 June 2018
Minority Report," As boring as 'Blade Runner'
","If you suffer from insomnia and really need some sleep, then congratulations! You don't have to take sleeping pills anymore. Instead, you can watch the first half of this film, 'Minority Report', which is extremely slow and sufficiently boring to make you sleep. All the digressions and flashbacks only shatter the main plot, and render the film rather unfocused. You only know what 'minority report' means after the one hour mark.",Null,2,10,26 February 2018
Detroit," Bigelow is good at making a thriller, but not a drama
","Kathryn Bigelow is known for her documentary-style camera-work and the creation of an intense atmosphere. This can be seen, either from the early work like Near Dark and Point Break, or from her more recent films such as The Hurt Locker and Zero Dark Thirty. In one word, she is a good director for thrillers.But Detroit is not a pure thriller. It is more like a period drama. On the one hand, the interrogation in the motel is the thriller part of the film, and without any doubt, it is brilliant. The audience keep wondering what would happen next. On the other hand, the film as a whole is mediocre in story-telling and character development. The setup for the interrogation is unnecessarily too long. Also, the courtroom process after the interrogation is too short. For more than once, Bigelow just simply displays lots of texts on the screen to make up for her unbalanced story-telling. John Boyega's character could have been the most impressive because he is the most struggling one in conscience. Yet it turns out to be untrue due to the limited time and space given to the character. Overall speaking, Detroit could have been a thought-provoking classic, but it lacks depth in the end. There is no deeper discussion on the cause of the injustice or the impact it is could bring to real life. One real classic period drama is Spielberg's Schindler's List. In this aspect, Bigelow is still one step away from being a great director. One more thing, Will Poulter deserves a nomination for Oscar best supporting actor, whose performance is the key to the success of the thriller part.",Null,14,32,6 August 2017
A Star Is Born," A total disaster
","The editing is a mess, and the transitions of the plot or characters are rather strange. There is no narrative focus and the storytelling is unbalanced. I cannot really understand why such a bad movie received an overwhelming approval from the critics. Maybe they are all fans of Gaga? Bradley Cooper should stop making movies.",Null,42,74,10 October 2018
Wind River," A simple thriller, yet a powerful melodrama
","Sicario and Hell or High Water shows that Taylor Sheridan is a talented writer, and here in Wind River, Sheridan proves that he is also a brilliant director. The story is really simple here. Perhaps the most thrilling part is the gunfight outside Matt's trailer, which is not only violent, but also astonishing. The scene of Cory and the raper on the mountain is also exciting. Sheridan succeeds in giving the audience the authentic experience. The movie emphasizes more on the emotional transition after losing the loved ones. In Wind River, Jeremy Renner gives his career-best performance. The editing is amazing when Jane knocks on the door and the rape story is seamlessly told in flashback. Together with fantastic music, sound, camera-work and makeup, Sheridan simply makes a powerful melodrama that surely moves every viewer.",Null,4,8,7 August 2017
The Death of Stalin," A bitingly cold political satire
","The film 'The Death of Stalin' uses a comedic and satirical approach to depict the power transition from Stalin to Khrushchev following Stalin's death. The direction, screenplay, production design, costume design and the ensemble performances are brilliant. The appropriate employment of inter-titles, which cite articles from Soviet laws, beautifully connect various parts of the film. Under the political humor is the bitingly cold history, especially the absurd trial and execution of Beria.",Null,0,5,20 February 2018
Mulan," One of Disney's best movies of all time
","Great music score and songs, twisted plot, fun dialogues, brilliant voice cast, and most importantly, fantastic animation techniques, together form 'Mulan', one of Disney's best movies of all time.It is really an incredible super-heroine movie whose story originated in Asia. I love every aspect of it, especially the theme song 'I'll Make a Man Out of You'.",Null,0,1,28 August 2017
The Big Lebowski," A worse movie by Coen brothers
","The cinematography is solid, and the dialogues are well-written. Bridges gives an unforgettable performance. However, the story lacks credibility and there are too many illusional or disturbing scenes that have nothing to do with the plot. The style is strange, and this is below average among the movies by Coen brothers.",Null,2,5,13 February 2019
Captain Marvel," Quite solid filmmaking
","The two-hour long Captain Marvel has a standard four-act structure, where each act has thirty minutes. The first and second act present some old-school hard-hitting action sequences, and the sound editing is impressive. The third act and fourth act offer some stunning set pieces, particularly the plane crash scene and the missile intercepting scene. There is also a major plot twist in the third act. Jackson, Larson and Lynch all give notable performances. The illusory scene in the fourth act is a failure.",Null,1,8,8 March 2019
Spider-Man 2," WOW!!!
","This is a film that once you start watching it, you cannot stop. It is a surprisingly stunning film, both for its emotionally resonant melodrama and for its visually dazzling special effects. The protagonist struggles between being Spider-Man and being Peter Parker. Being a Spider-Man requires fighting against the villains and saving the civilians. Being Peter Parker demands a quiet life with Mary Jane. There are just tons of proverbs or mottos in the film: the screenplay, particularly the dialogue design, is simply amazing. The design of the villain is also fantastic, and is kind of unique in the history of superhero movies.",Null,1,4,11 June 2018
The Irishman," Mind blowing screenplay
","The storytelling is in multi-layer. The main event is told in flashback, and the side events are told in flashback of flashback. The dialogues are smartly written. Particularly, the dialogue about fish is an interesting metaphor. The only bad thing about the film is that it is too long. That's a problem with Netflix film. They don't care about box office, and the director can just put everything he shoots into the film.",Null,2,11,16 November 2019
Aquaman," Rather mediocre
","Neither the narratives nor the visuals are convincing. The plot is simply a mess and lacks any sense of credibility. The storytelling is awful, with no buildup or climax. The visuals are completely fake and do not look real at all. James Wan should go back to direct cheap horrors.",Null,2,9,25 December 2018
