movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Entertaining if a bit overly long
","'Ford v Ferrari' (2019 release; 152 min.) brings the true story of the showdown at the 24 hrs of LeMans in 1966. As the movie opens, we see Carroll Shelby in a flashback win the 1959 LeMans. We then go forward a few years when Henry Ford II address the Ford factory floor asking for some good new ideas. Up-and-coming executive Lee Iacocca suggests buying the struggling Ferrari car manufacturer but the deal fails. In a parallel story, we get to know rebel driver Ken Miles.... At this point we are less than 15 minutes into the movie but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this is the latest film from director James Mansfield (The Wolverine; Logan). Here he brings to the screen the heated rivalry between two very different giants in the car industry: Ford and Ferrari. The movie starts promisingly, but pretty soon we are bogged down in all kinds of corporate background and infighting that play out for way too long. Honestly, the movie could've been trimmed by 20 to 25 minutes in the movie's first half, and would not have lost any of the movie's essence. Matt Damon en Christian Bale are terrific in the lead roles of Shelby and Miles. The actual racing sequences are entertaining and loud, very loud.The movie opened wide the previous weekend, too great acclaim and box office success. I saw the movie in its second weekend of play, and the Sunday early evening screening where I saw this at was attended very nicely. Positive word of mouth will likely result in continued strong business in the weeks to come. If you have any interest in car racing, or are simply interested in a well-made and entertaining movie (even if a bit overly long for its own good), I readily suggest you check it out, be it in the theater, on VOD, or eventually on DVD or Blu-ray, and draw your own conclusion.",7,3,7,25 November 2019
Saturday Night Fever," Standing the test of time, 40 years later
","'Saturday Night Fever' was released in 1977, meaning that this year marks the 40th anniversary. My local art-house theater here in Cincinnati had the good sense to hold a one-off special screening to commemorate the event (more in that later). I can't recall when was the last time I had seen the film, and in fact I wouldn't be surprised if this was the first time I saw it again in its entirety since I saw it during its original release (in Belgium, where I grew up, the movie was released in Spring of 1978, if memory serves me right).Here some comments, in no particular order, having re-seen the film after all these years: 1. The music! Yes, the music! it remains the best feature of the film, and all of those Gibb Brothers-penned tunes are nothing short of a classic, every single one of them. 2. The dancing! John Travolta is as smooth as silk as he dances his way onto the dance floor and busts those disco moves. Love the scene when the entire floor dances along in unison to the Bee Gees' 'Night Fever'. And then there is Travolta's long solo during the Bee Gees' 'You Shouls Be Dancing'. Wow, just wow. 3. I had forgotten how many social commentaries and undercurrents there were in the film: tension within Tony's family, Tony's brother pulling a shocker, peer pressure among Tony's friends to 'fit in', even more pressure on the girls--if it all sounds contemporary, well, it is of course. They played out in society 40 years ago, and today--albeit not the exact same way of course. 4. The Travolta character gets a raise from his boss to $4/hr. Wonder how much that is in today's dollars? Almost $17! (Current federal minimum wage is $7.25.) 5. The age difference between Travolta and Gorney is much more noticeable to me now than it was for me as a kid (i was 17 watching it back then). 6. I was surprised at the number of F bombs throughout the movie (I don't know what version I saw in Belgium, the original R-rated version, or the subsequent revised PG version). 7. Seeing New York in 1977 like this, it feels like a bombed-out post-apocalyptic place, outright scary and depressing.Bottom line: SNF stands the test of time, 40 years later, and then some. The Sunday matinée one-off screening where I saw this at was attended very nicely, mostly people in my age group (I am 57). The event was co-sponsored by one of the city 'oldies' radio station, and everyone had a great time, hooting and hollering in the beginning when Travolta was walking as the Bee Gees 'Stayin' Alive' was blasting from the screen. If you have a chance to re-visit this classic on the big screen, don't miss it!",9,1,2,16 July 2017
The Lobster," One of a kind movie about love (mandatory or prohibited)
","'The Lobster' (2015 release from Europe; 118 min.) opens with a bang, literally. In the pre-opening credit scene, we see a woman getting out of her car, running into the field, and shooting a donkey (spurring gasps from the theater audience, more on that later). After the opening credits, we get to know David, whose wife has just left him. David is taken to a hotel where he now has 45 days to find a new mate or be transformed into an animal. If it gets that far, he chooses to be a lobster ('because they live to be a hundred, have blue blood in them, and are fertile their entire life'). 'Excellent choice' responds the hotel manager, adding 'most people choose to be a dog, that's why you see dogs everywhere'. Will David find a mate? Or will he become a lobster? To tell you more would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this is the latest movie from Greek writer-director Yorgos Lanthimos, who previously gave us the brilliant 'Dogtooth'. This is his debut English language film. Here he brings us a completely original, truly one-of-a-kind, story about love, be it mandatory love (first half of the movie), or prohibited love (second half of the movie). The movie feels strangely dispassionate yet engaging, in particular in the last 45 minutes. Colin Farrell brings the performance of a lifetime as David, your average 'Joe Six Pack', slight beer belly and all. Even though Rachel Weisz gets second-to-top billing, she doesn't appear until the second half of the movie, but when she finally does, she blows everyone away as 'Short Sighted Woman'. There are many other choice performances, though: check out French actress Léa Seydoux as the ruthless leader of the 'loners', always on the lookout to detect (and punish--'red kiss' anyone?) any flirting between the loners. In the opening credits, all the different co-producers seemingly amount to a mini-European Union summit, as LOTS of European countries co-financed this movie. It's almost amazing to me that such an original and let's face it, very unconventional idea was able to garner the necessary financing or was able to convince first rate stars like Colin Farrell and Rachel Weisz to sign on to this. But the main thing is that Lanthimos made it happen somehow.'The Lobster' made a huge splash at the 2015 Cannes film festival. No idea why it's taken another full year to find its way onto the screen here in the US but better late than never I suppose. The movie opened this weekend at my local art-house theater here in Cincinnati, and I couldn't wait to see it. the Friday early evening screening where I saw this at was attended okay, but just okay (about 10-12 people). After the initial gasps, the audience settled in and laughed at all the right times. I can't see this playing in theaters a very long time, the movie is too 'weird' and off-center for that. I happen to think it's one of the most original movies about love I've seen in a very, very long time, and would readily suggest that you check this out, be it in theaters, on VOD or eventually on DVD/Blu-ray. 'The Lobster' is HIGHLY RECOMMENDED!",8,2,5,28 May 2016
Blade Runner 2049," One of the best sequels EVER
","'Blade Runner 2049' (2017 release; 162 min.) brings the story of K. As the movie opens, we get a thumbnail reminder/explanation of what replicants are and what a blade runner is. The newest generation replicants (in 'California 2049' we are told) are fully integrated into society. We see K visit a farm outside LA, where he 'retires' an old model replicant who had taken up farming. On the farm, K stumbles upon a mysterious box that contains the remains of a female replicant who it seems was pregnant and died while delivering the child. How could that be possible? At this point we are less than 15 min. into the movie but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: first, this is the long-awaited (35 years!) sequel to the seminal sci-fi movie 'Blade Runner', which when it came out in 1982 was light-years ahead of its time and cemented Ridley Scott as one of the top directors of his generation. This time around, Denis Villeneuve (who previously has brought us, among others, the excellent 'Sicario' and 'Arrival') is at the helm, and, apparently not feeling the weight of sky-high expectations 3+ decades in the making, Villeneuve takes us on a journey that delivers, and then some. This is a plot-heavy movie, so the lesser said, the better. But a couple of general observations: I cannot easily recall a movie where the production and set design is so integral to the plot, and so remarkable. The production budget for this movie reportedly was $150 million, and it certainly shows. But even more important, it is absolutely amazing how closely this sequel stays true to the original movie in spirit and in tone. If you are expecting an 'action movie' (as the Blade Runner 2049 trailer gave the impression), you will be wildly disappointed. Sure there are some action scenes, but the movie is slow-paced in the best possible way. Ryan Gosling brings perhaps the finest performance of his career as K. And don't be mistaken, this is a Ryan Gosling movie far more than it is a Harrison Ford movie (who finally appears almost 2 hours into it). Cuban actress Ana de Armas (previously in 'Hands of Stone' and 'War Dogs') has a break-out performance as K's virtual PA. Jared Leno has a small but noteworthy role as the replicant manufacturer Wallace. Robin Wright stars as K's boss in the LAPD. Dutch actress Sylvia Hoeks (keeping the Dutch connection with the 1982 movie starring Dutch actor Rutger Hauer) is remarkable as Wallace's enforcer Luv. Last but certainly not least, the original score (credited to Benjamin Wallfisch and Hans Zimmer) is very much Vangelis-inspired and sounds glorious. Beware: at 2 hrs. and 45 min., this is a dense movie which takes its time, but which rewards richly for those wanting to invest their time, interest and emotional involvement.'Blade Runner 2049' opened wide this weekend and I couldn't wait to see it. I went to see it with my 30 yr. old son. In anticipation, we had watched (for me: re-watched) the original movie, and our expectations were high. Even so (or despite that), we were both stunned how good this movie was. We literally couldn't movie from our seats when it was over and we stayed stuck for the entire end credits (which seemingly take forever). The Saturday early evening screening where we saw this at here in Cincinnati was attended nicely, but by no means was it a sell-out. Regardless, if you liked the 1982 movie, I bet you will LOVE this sequel, one of the best ever sequels in my humble opinion. I'd readily suggest you check out 'Blade Runner', be it in the theater, on VOD, or eventually on DVD/Blu-ray, and draw your own conclusion.",9,16,37,8 October 2017
First Man," Good movie, but questionable sequences and headache-inducing camera work
","'First Man' (2018 release; 141 min.) brings the story of Neil Armstrong and NASA's quest to get a man on the moon before the Russians could. As the movie opens, Armstrong is testing a plane in the upper reaches of the atmosphere (140,000 ft. altitude), and after initially bouncing off of the atmosphere, managers to get back safely, at which point the movie tells it's '1961, Mogave Desert, CA'. We get to know the Armstrong family, including the desperate health battle of their young daughter Karen. Armstrong makes it through the Gemini astronaut selections in 1962, prompting a move to Houston. 'It's a fresh start', comments Janet. At this point we're less than 15 min. into the movie but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this is the latest movie from director Damien Chazelle, whose previous two films ('Whiplash' and 'La La Land') hit the bull's eye. Here he brings the book of the same name to the big screen. The biggest challenge with a movie like this is how to keep things interesting, if not dramatic, when we already know the outcome (will Armstrong perish in the test flights? urr... NO!). That doesn't mean that some of the footage of these flights isn't terrific. I have a greater issue with the camera work. I totally get it that Chazelle wants to convey the claustrophobic feeling of being inside the small space capsule , and he does a terrific job at that (if you have visited the National Air $ Space Museum, it truly is shocking to see how small and primitive-looking these capsules were). But the movie incessantly features extreme close-ups and headache-inducing handheld cameras for much of the time, for no apparent dramatic reason (at one point Janet crosses the street to talk to her neighbor Pat--you'd think that an earthquake with a magnitude of 6 on the Richter scale has just hit). Also questionable to me are some of the sequences involving Neil and Janet (just one example: when Janet visits Neil in quarantine upon returning to earth, neither of them has any smile or joy--or sign of relief. I doubt that was really the case. But maybe I am nitpicking.In case you aren't aware, Neil Armstrong lived the last 30+ years of his life here in Cincinnati (where I am) until his passing in 2012. He was a notorious pack rat of memorabilia throughout his career (never mentioned or alluded to in the film) His sons Mark (who still lives in Cincinnati) and Rick have recently announced that thousands of items from Neil's personal collection will be auctioned off...The movie opened wide this weekend, and the Sunday evening screening where I saw this at was attended nicely but not quite a sell-out. The movie performed not quite fully up to expectations at the box office ($16.5 million). I can't help but feel that many expected bigger things. The movie is good, maybe very good, but it is not the critical home run that was either of Chazelle's earlier movies. Still, it will likely garner a number of Oscar nominations. If you liked 'The Right Stuff' or 'Apollo 13', I'd readily suggest you check this out, be it in the theater, on VOD, or eventually on DVD/Blu-ray, and draw your own conclusion.",7,7,13,15 October 2018
10 Cloverfield Lane," Kidnapped or rescued? ...Keeping you guessing from start to finish
","'10 Cloverfield Lane' (2016 release; 103 min.) brings the story of Michelle. As the movie opens, we see her packing her things and leaving an apartment, leaving the keys and an engagement ring on the counter. While driving out of New Orleans, the boyfriend calls and tries to convince her to come back. Next thing we know, Michelle is in a terrible car accident (all this is before the movie's opening titles). When Michelle wakes up, she finds herself in a windowless room, literally chained to the wall. Her captor, Howard, informs her that 'I'm sorry, but nobody is looking for you' that he's keeping her for her own sake. What is going on? To tell you more would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this is the spiritual follow-up to 2008's 'Cloverfield', the surprise box office hit about aliens invading Manhattan. Don't call this a sequel, though. The story line has nothing to do with the earlier movie. Here, we get a movie that reminds of Stephen King's 'Misery' in a way: Howard claims to have rescued Michelle, but did he really or is he a kidnapper? The brilliant thing about this film is that it keeps you guessing pretty much throughout. Just when you think you're onto something, the plot-heavy movie surprises you once more. And the last 30 min. are just out of this world. This is directed by newcomer Dan Trachtenberg, who, under the tutelage of producer J.J. Abrams, does a phenomenal job in crafting this mystery-thriller. The acting performances are top-notch, starting with John Goodman as Howard, but Mary Elizabeth Winstead, best known from indie movies like 'Smashed' and 'A.C.O.D.', is equally impressive as Michelle. john Gallagher, Jr. as Emmett rounds out the cast (yes, one could say that the majority of a movie is a filmed play set in a bunker). The boyfriend who calls Michelle early in the movie is voices by... Bradley Cooper! Last but not least, there is a nice orchestral score, courtesy of composer Bear McCreary.'10 Cloverfield Lane' opened this weekend nationwide. I had seen the trailer a number of times, and couldn't wait to see it. The Friday evening screening where I saw this at here in Cincinnati was attended okay but not nearly as packed as I had expected it to be. Regardless, if you are in the mood for a good mystery-thriller, you can count on having a finger-lickin' good time with this movie. '10 Cloverfield Lane' is HIGHLY RECOMMENDED!",8,1,5,12 March 2016
The Finest Hours," Good ol' fashioned disaster-and-rescue drama is better than the 'experts' would have you believe
","'The Finest Hours' (2016 release; 117 min.) brings the telling, 'based on a true story' we are reminded, of a daring rescue attempt at sea. As the movie opens, it is 'Wellfleet, MA, November 1951', and we get to know two Coast Guarders who are out on a double date. Bernie (played by Chris Pine) is immediately smitten by Miriam *played by Holiday Grainger). The movie then shifts to February 17, 1952, where Bernie and Miriam are attending a party, and they decide to get married in April. Later that night, as a nor'easter is bearing down, the Pendleton tanker is in serious trouble, and before we know it, Bernie is ordered to assemble a crew and go out to find any survivors of the Pendleton. To tell you more would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this is a big budget movie from Disney Studios, directed by Craig Gillespie ('Lars and The Real Girl'; 'Million Dollar Arm'). If you have seen the movie's trailer (which as been inescapable in the theaters in recent weeks), you know exactly what you are in for: a bigger-than-life, against-all-odds rescue attempt of the crew of the Pendleton tanker, which has split in two, by a four man crew of the Coast Guard in Chatham, MA. Don't ask me how the Pendleton's remaining half tanker doesn't sink! I think it has something to do with the boat's balancing tanks, but in the end it doesn't matter, as we are here to witness some of the wildest open sea disaster scenes you'll ever see. In a sense, this reminds of 'Titanic', except that the action scenes are pumped up and on steroids. Chris Pine (as Bernie) and Casey Affleck (as the Pendleton's main guy) are fine, but to be honest, they and the rest of the gang are all second fiddle to the special effects. I know that it's all CGI, yet it looks so darn realistic! The movie has a great orchestral score, courtesy of veteran composer Carter Burwell (his score for 'Carol' received an Oscar nomination). Also make sure to stay through the movie's end titles, as we then get a bunch of period pictures from the Boston Globe and other news sources with the real life people from the events (and likely the source of the costuming for the film). Last but not least, this is released both in 2D and 3D, but just know that the movie was shot in 2D and then converted into 3D (I saw it in 2D). Bottom line: 'The Finest Hours' is a good ol' fashioned disaster-and-rescue drama that is much better than the 'experts' would have you believe.'The Finest Hours' opened nationally this weekend, and the Friday evening screening where I saw this at here in Cincinnati was attended okay but not great. somewhat to my surprise. Regardless, if you are in the mood for an effects-heavy but very realistic disaster-and-rescue movie, I encourage you to check this out, be it in the theater, on Amazon Instant Video or eventually on DVD/Blu-ray (although a movie of this kind just begs to be seen on the big screen). 'The Finest Hours' is HIGHLY RECOMMENDED!",7,87,121,31 January 2016
War Dogs," Funny movie about a serious topic
","'War Dogs' (2016 release; 114 min.) is 'based on true events' we are reminded as the film opens. We are in January, 2008', when we see a guy, Dave Packouz, thrown out of a car and assaulted by what look to be kidnappers. When then move back to 'Miami Beach 2005', as we see Dave struggle to make end meets as a licensed massage therapist. Then one day at a funeral, Dave runs into his old buddy Efraim Diveroli, who has recently moved back to Miami. Efraim, a small time arms dealer, can use Dave's help with the arms bonanza that is the war in Iraq. Before we know it, the two are starting to sell arms to the Pentagon. At this point we're 15-20 min. into the movie but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this movie, based on a Rolling Stone Magazine article, is directed by Todd 'The Hangover' Phillips and equally as important, produced by Bradley Cooper's production company (Cooper himself also plays a small role as another shady arms dealer). The movie is divided up in 7 or 8 chapters (I didn't count them exactly) such as 'All money is made between the lines', and 'When does telling the truth help anyone?'. Miles Teller (from 'Whiplash') and Jonah Hill are David and Efraim, respectively. Teller looks so young! Hill on the other hand seems he was made to play this role. The movie is billed as a comedy, and yes there are quite a few laughs to be had, as the absurdity of the situation lends itself to easy laughs, There should've been a serous undercurrent as well, about the flood gates opened by the Bush administration to fill billions of dollars in war procurement, enticing second and third tier companies and scammers to get a piece of the pie. (A recent book called Consequence by Eric Fair goes into that aspect as well, and it is not a comedy). last but not least, there is a smorgasboard of music placed throughout the movie, from CCR's Fortunate Son to the Who's Behind Blue Eyes. to Leonard Cohen's Everybody Knows (playing over the end credits).'War Dogs' is now into its second week, and it did okay at the box office in the first week. The Sunday early evening screening where I saw this at here in Cincinnati was attended okay, not poor, not great. I heard a lot of chuckles throughout the movie, so that was a good sign. Bottom line' 'War Dogs' is a funny movie with some great performances but lacks the seriousness to be a heavy hitter.",6,1,2,28 August 2016
Deepwater Horizon," 'The well from hell'... Epic disaster movie more than delivers
","'Deepwater Horizon' (2016 release; 107 min.) brings the story of the 2010 oil rig disaster in the Gulf of Mexico. As the movie opens, we see Mike and Felicia wake up, shortly before Mike is off on his next 21 day stint on the rig. Mike and other gather at the Bristow heliport, where they leave on the 45 min. flight out to the rig. On the flight are also 2 BP senior manager, who are coming to take a look why the rip is 43 days (and tens of millions of dollars) behind schedule. Once on the Deepwater Horizon, it doesn't take long before tension mounts between the BP guys and the Transocean guys who are operating the rig. At this point we're 15 min. into the movie.Couple of comments: this movie marks the reunion between director Peter Berg and Mark Walhberg (who stars and produces), as a few year ago they brought us the excellent 'Lone Survivor'. At the beginning of the film, we are told that this is 'based on true events', which for me typically means 'this is the Hollywood version of what happened'. I have no idea how much artistic liberty the film makers have taken to make this into a compelling movie. As long as you can live with the fact that this is perhaps (or likely) a condensed or partly-imagined version of the truth, you are in for one heck of a film. Indeed, the film is roughly divided up equally between pre-disaster, and then the actual disaster. Just when you think that it can't get any worse, it does, and I found myself at the edge of my seat on more than one occasion. The photography is pure eye-candy from start to finish (quite a bit must've been CGI but it sure looks incredibly real). There are some great lines in the movie. When asked by the BP guy to assess the rig, Mike says 'It's like a plane running out of gas as it's landing', wow. And someone else comments that the rig is sitting on 'the well from hell', ha! Walhberg is his usual solid, but the best performances for me came from rugged Kurt Russell (as 'Mr. Jimmy', the rig's manager) and, even better, John Malkovich as one of the BP meanies.'Deepwater Horizon' opened a few weekends ago, but scheduling conflicts and other commitment kept me from seeing this until now. The Thursday early evening screening where I saw this at here in Cincinnati was not attended well (not a surprise, given the time and day). What is surprising is that, despite mostly positive reviews and reactions from the critic and the public at large, it has vastly under-performed at the box office, even more so if you keep in mind the movie's astronomical (north of 100 mill) budget (and the movie looks its budget). I was looking forward to seeing this, and I ended up liking it even more than I had expected. A movie like this needs to be experienced on the big screen for maximum impact. 'Deepwater Horizon' is HIGHLY RECOMMENDED!",8,0,0,13 October 2016
Hereditary," Not bad, but not the masterpiece the critics make this out to be
","'Hereditary' (2018 release; 120 min.) brings the story of the Graham family. As the movie opens, we get to know Annie and Steve, and their teenage kids Peter and Charlie, as they attend the funeral of Annie's mom Ellen. Annie is surprised at the many people attending the funeral that shoe doesn't know. It's clear that Annie and her mom didn't have the best relationship, and Annie doesn't feel too sad about her mom passing. Meanwhile Peter is wanting to attend a party at a friend's house. Annie agrees but forces him to take along his younger sister, with disastrous consequences... To tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this is the debut feature-length film of writer-director Ari Aster. He brings us a tale of spiritualism gone horribly awry, and that;s about all I can say without spoiling anything. Let me be upfront: if it weren't for the off-the-charts ratings (currently at 93% fresh on Rotten Tomatoes), I would not have gone to see this. But curiosity got the better of me when I saw this near-universal critical acclaim. What I got was a horror movie that is certainly not bad, but neither is it the masterpiece that the critic makes this out to be, and in fact 'Hereditary' is not nearly as good as some other recent, far more clever and original, horror movies such as 'Get Out', 'A Quiet Place, 'or 'It Comes At Night', just to name those. Kudos to Toni Colette, who is outstanding as Annie, making this movie feel more authentic that it actually is. Last but certainly not least, there is a terrific, one might say classic, score, and imagine my surprise when I saw in the end titles that the score is composed by Colin Stetson, wow! I will need to check out the score for sure.'Hereditary' opened wide this weekend, and the Sunday early evening where I saw this at here in Cincinnati was attended very nicely. In fact, the early box office reports are that the movie did better than expected/projected, grossing $13 mill (against a budget for a mere $10 mill). Bottom line: if you like horror movies, or are simply in the mood for one, I'd say keep your expectations in check as you see this out at the theater, on VOD, or eventually on DVD/Blu-ray, and draw your own conclusion.",6,3,6,10 June 2018
