movie_title,title,review,rating,helpful,total,date
The King's Speech," Kind of overrated.
","Don't get me wrong, I thought this movie was good. But that's the thing, it was just good. It wasn't anything amazing, mind-blowing, or spectacular, it was just...good. But I don't think it deserved best picture. There are many movies made this year that should have won. Black Swan and The Social Network. Those two movies are amazing. Any one of those should have one. I mean, this is a fine nomination I guess, but to win, really. We all know the only reason the academy picked this is because its an adult melo-drama.The story is behind the speech impediment of King George VI, (Colin Firth) and his developing friendship with his speech coach, (Geoffrey Rush) who teaches him not only to learn how to speak better, but to appreciate and respect himself more as a person.I did enjoy Colin Firth's performance quite a bit, though I have to say that Geoffrey Rush had the better performance and part for the role. I say both him and Colin Firth, should have won. I didn't think Christian Bale's performance in the Fighter was all that great.The film begins with the conflicts before WWII, along with the growing issue involving George's impediment, and the failed attempt by previous doctors to fix it. His wife, (Helena Boham Carter) then finds Lionel Logue, (Geoffrey Rush) whose techniques turn out to be very unusual, but soon develops himself into a great friendship with George. Both Carter and Rush are very supportive. And Colin Firth has himself a heck of a role to play, and, as always, plays it perfectly. The performances and characters are probably the best thing about the film.Though it does drag a little, it didn't drag enough for me to no be able to pay attention, like most draggy movies do. Its not like anything the director did could have made the movie more special, it is what it is. I like the movie, but best picture worth? No. Maybe nominated, but not win. The Social Network and Black Swan were both a lot more interesting than this. Even if the best picture Oscar had to go to this, at least give the directing Oscar to another. I mean, the directing job of The Social Network and Black Swan were both amazing! I'm not saying this director didn't work hard, but I saw commentaries on all three of these movies, showing the directing, and I gotta say that the Social Network itself easily deserved the best director Oscar, as well as best picture.Some may find this a beautiful masterpiece, because they're into this kind of thing, I, on the other hand, find it good. Its not that great, but its not that non-great either. Its just, in the middle. If it hadn't won best picture, I probably wouldn't be talking about it, but since it did. I find it overrated because of that. I like the movie, but I don't love it.",7,1,2,5 September 2011
The Mask," Very funny and enjoyable!
","Not gonna lie. When I first heard of this film, I thought it looked stupid and ridiculous. Although I usually like Jim Carrey roles, it just didn't seem very enjoyable to me. Then I saw it, and I take back everything negative about it. Not only is it hilarious and awesome, but its one of my favorite Jim Carrey roles ever!Jim Carrey stars as banker Stanley Ipkiss, who finds a mysterious mask, that when put on turns him into a cartoony, green faced maniac who causes all sorts of mischief. This gets him into some trouble with not only the police, but a gang of mobsters.Funny and entertaining from start to finish. Of course it is Jim Carrey, so that is expected. He has two roles in here: One where he's normal, and then when he has the mask on. Both roles are funny. Cameron Diaz's introducing role as the target of Jim Carrey's affections, who also get involved in a lot of his mischief.Basic comedy with all standard comedy ingredients. Very laugh out loud funny. Good not only for kids, but for some adults as well. Everybody in general should find this to be a very enjoyable family film that has something to it that makes it more special than other comedies, which gives it a thumbs up for me.",7,0,0,27 November 2011
The Big Lebowski," Classic Coen Brothers.
","After being beaten by thugs who mistake him with somebody of the same name, Jeff 'The Dude' Lebowski (Jeff Bridges) confronts millionaire Jeff Lebowski on the mistaken identity, a confrontation that will lead to several bizarre and unforeseeable twists for him and his two bowling buddies, (John Goodman, Steve Buschemi).I'll be the first to say I do not see what all the buzz is about with this film. For some reason hipsters like to blow this up to be an absolute masterpiece, which is endlessly praised, quoted, and cos played. I like it a lot, but to me it doesn't stand out nearly as well as some of Coen's others, even though I still enjoy it. To me, it's a clever, fun, stoner comedy with a great cast and characters, but that's where it stops for me honestly.The characters are very colorful, Jeff Bridges is perfectly cast as the Dude, an icon that is mercilessly cos played, and he is funny in the movie. John Goodman as former Vietnam lieutenant Walter Sobchak is a great backup for The Dude as he mostly plays the muscle for all the predicaments they get involved in. Steve Buschemi's character was good overall, even though he doesn't get much screen time. What's great is that even the small roles in the film who get one or two scenes, still make an big impact on the film in the few scenes they're in. I can't very well make a Big Lebowski review without mentioning Jesus, the bowler for an enemy team of the Dude's bowler team, excellently cast by John Turturro, one of my favorite Coen alumni. Others like Philip Seymour Hoffman and Julianne Moore are also quite entertaining for the few scenes they are in.When I first watched it, I thought the plot was very bloated, lots of scenes and subplots that really go nowhere. Even though it adds to some funny scenes, overall it doesn't amount to much, but oh well. Regardless of my small complaints with this movie, it's a very fun, well made film with some entertaining characters, with some slight editing issues. Solid nonetheless",7,1,2,20 January 2016
Inglourious Basterds," Quentin Tarantino does it again!
","Out of all of Quentin Tarantino's films, such as Pulp Fiction, or Kill Bill, this one tops them all. Why, well for starters, the concept is pretty clever. Instead of being an epic WWII drama, Quentin thought, what if it were a comedy, mixed with drama. Little did he know what would come out, this. Brad Pitt is a military war soldier in WWII who forms a team of thirteen men assigned for one thing, and one thing only. Killin Nazis. Not in the style of devoted war heroes, but instead hardcore rad dudes who are the hippest guys in the war. The editing takes each scene with different people by chapters, as he usually does, with different plot points which by the end get mixed together to form one huge plot point. Christoph Waltz costars as a Nazi leader who follows these points and fools them all together, but his cleverness gets the better of him by the end. Not over long, and definitely not short, but manages to keep you entertained. Different from other war films, but thats what makes it so great.",8,0,6,8 June 2010
Argo," The hot film of the year!
","Ben Affleck, after all these years, is catching up with the other directors in the Oscars. All his films are either not that good, or not Oscar worthy, but now he has made a film nominated for 7 Oscars, including best picture, which it may win in a week from now. But it is well deserved. This IS the film to watch if you're looking for something hot and fashionable. It's got a perfect 1970's feel to it, with an excellent score, and writing.The Oscars have finally recognized that Ben Affleck has talent, as he adapts a film to the 1979 mission to extract 6 American hostages from revolutionary Iran, as the CIA sends in special agent Tony Mendez, (Ben Affleck) to extract them with their confidential plan to fake a film to make the Iran visit more real, hence the name of the film 'Argo'.From beginning to end, the mission is the main focus. No filler in any scene, the characters are likable, and fun to watch, as well as watching as they plan out the mission. The writing is brilliantly adapted, and not simple minded 'here's our plan'. During the mission, I was on the edge of my seat in the theater from beginning to end. Every scene is tense because any minute any of them could be compromised, destroying them all. Performances are brilliant by all. Ben Affleck maintains a straight professional face for most of the film, though I think it still works. The reactions of everybody as the mission unfolds is just so tense. You feel how scared they are, and even though you know they make it out, the tension with the music and cinematography is still amazing.What do I mean when I say this movie is hot? This is the Dark Knight of 2012. That 1 film that exploits every magazine, TV ad, or billboard. It shows it too. You feel that 70's feeling with the 70's music, hairstyles, and so on. Ben Affleck did a great job and making you truly feel like you were in the situation with these characters, and like Ron Howard's masterpiece Apollo 13, this film, despite knowing what will happen, can still shock and surprise you, and any film that does that is definitely worth a watch. Though i'm hoping Lincoln will win best picture, this film, if it does, is still acceptable.",8,0,3,18 February 2013
The Babadook," The most thrilling and appreciative horror film I've seen in a long time.
","Even though this may not be the scariest horror film, I can honestly say it's the best, and the most appreciative one to boot, going for well thought out and promising scares rather than your typical BOO! jump scares like the typical horror film you see made today.Amelia is a widowed orderly who stresses day in and day out in taking care of her distraught and outcast son, getting rarely any sleep every night over the death of her husband.Right away the film jumps into the plot. We immediately learn of the tragedy in the family without any forced exposition, and we passively learn of the son's disillusioned state. At first you feel for the mother and what she goes through for the son, but the film quickly changes moods in the blink of an eye, but keeps a steady pace on the tone.It has a chilling atmosphere the whole time, making you feel like it's another David Fincher film.Essie Davis as Amelia is amazing, especially for a horror film. The film makes you feel different feelings for her throughout, though her performance makes her likable and unlikable in all the right parts. The son impressed me to no end. He's the right amount of creepiness, but in the end he also has the most amount of humanity to him.What I really love is how self aware the characters are. When they suspect something they play it safe and smart. No clichés whatsoever. No going into an abandoned cabin in the middle of nowhere or investigating a strange noise outside BS, this film is completely original and smart from beginning to end.The Babadook himself appears when Amelia reads her son a bedtime story based on him. She finds the book disturbing and gets rid of it, until it starts to stalk her from the book, which where the psychological thrill ride falls into place.I highly recommend this film if you're looking for something fresh in the horror genre. It's a film with actual scares which is enough for me. I'm hoping this film inspires other movies to be made to actually try to not treat people like 6 year old girls and focus on the psychological part of it.",8,4,10,28 December 2014
Spider-Man 2," Best Spider-man film!
","This is an extremely rare instance in a comic book film where everything, and I mean everything is done right! The characters are developed perfectly, the villain is perfect, the story is perfect, etc.Tobey Maguire continues to amaze me with his Peter Parker. We feel so much sympathy for him because of him struggling to be Spider-man on top of holding down 2 jobs, college courses, and keeping in touch with his friends, not to mention his love for Mary Jane, which he has to hide for her protection. The villain is Otto Octavius, who soon becomes Doc Oc after an accident involving sustained fusion, causing four mechanical arms to stick themselves as part of his body.The film manages to keep the conflicts at a settled pace, showing details of all the people in his life, and how they're all affecting his performance as Spider-man, which starts cause him to lose his powers. Even though it feels like a whole lot, the editing makes it feel incredibly smooth so no scenes drag on. The mourning of Uncle Ben, Harry's hate for Spider-man, his relationship with Mary Jane, Aunt May's bank issues is all shown in perfect detail without being overlong or overblown. The action is still really nice, the effects are much better in this one.Honestly, I don't have any complaints, this film pretty much hit everything. The drama, the comedy, and the fantasy is all there. Not only is this the best Spider-man film, but this is my second favorite comic book film of all time. Whether or not you're a comic book fan, I highly recommend it.",9,0,1,26 June 2010
Spotlight," A film that does its job without feeling the need to add more.
","Spotlight, the four person team working for the Boston Globe, investigates into the repeated acts of priests sexually abusing children over the course of 30 years, resulting in the unfolding of hidden secrets that this team desperately determined to reveal.Compelling, investing, and brilliantly detailed account of a story that people tried to hide for so long. This film goes into so much detail about the emotional distress, the determination from the team, the struggle with the legal system in getting the truth out, etc. The ensemble cast is well picked out, with everybody doing a great job. Mark Ruffalo and Rachel Mcadams both give Oscar worthy performances, and Michael Keaton was surprisingly amazing, showing that Birdman was not a one time hit for him.For a touchy subject matter like this, It's really risky to put it out there, as some people (including the Academy) don't like films with uncomfortable topics. This film handled it so perfectly and so maturely that it deserves every bit of credibility. It's very historically accurate, resisting the temptation to make the main characters out to be superheroes that save the day, but instead just portrays them as people simply doing their jobs, which is what this movie does. It doesn't go out of its way to blow itself up bigger than it is, or try to establish any bit of greater importance, it simply does its job, and does it great. It is completely airtight, there is no fat on this film whatsoever. Every scene is escalating the plot further in some way, and is packed full of the meat of the story, which I savored every little bit of.Tightly written, tightly edited, tightly acted, and tightly directed, this is a unique and impressive quality film that will inspire you until the end.",9,2,3,28 February 2016
Spider-Man 3," Not bad.
","A lot of people hate this film for several reasons. Yes they were pretty convincing reasons, but it didn't destroy the whole film for me either. I enjoyed the action scenes, which is the main lead to enjoying an 'action' film, the story was all right, even though it could have had less plot holes, the characters were decent enough, and it followed nicely with the comics.The villains could have been better though. Not that I didn't want them in there, they just could have been better developed. I was excited as heck when I found out that Venom was going to be in there. When I saw it in theaters, that was what I was looking forward to the entire film. Then when it finally got to him, I was utterly disappointed. 2 minutes and 30 seconds total screen time with Venom, not counting when he's got his face lashed back into Eddie Brock. And how much time do we get with the Sandman, like a lot more. Their screen time should have been switched. Heck, they could have done the film without Sandman. What was he needed for? Did they really need the subplot of Sandman really killing uncle Ben? I don't think so.The romantic struggle between Peter and Mary Jane, although a little stupid, still gets a lot of emotion put into the film. And the New Goblin, aka Harry, who loses his memory after an accident, forgets that he wants Peter dead, which regains his friendship with him.We also get introduced to the symbiote, who becomes attached to Peter's Spider-Man outfit, and slowly tortures him into insanity, turning him from a pathetic nerd to a ruthless emo person. The two dumbest things in this film are emo Peter, and the dance scene.Emo Peter is supposed to be tortured by the suit, yet he's hopelessly addicted to it. Yet soon after he gets it, a montage of him walking around the street acting goofy to each girl that comes by, is just plain silly. The dance scene is the worst. A scene where we jumps around a jazz club, swinging on lamps and sliding on chairs. It looks like a deleted scene from the movie Chicago. Its hard to see the pain he goes through when he's jumping around dancing. The scene did not have to be that silly, nor did the Emo Peter scene have to be.Still though, the action was great, the characters and dialogue went well, the emotion throughout the entire film is just great, and it follows through with the comics almost perfectly. Although they could have had a lot more Venom time, and a lot less plot holes, it still holds out as a perfectly good comic book based film. Despite it being the worst of the series, its still a watchable film that I can see anytime.",7,0,4,26 June 2010
Cloverfield," Old B-movie horror films resurrected from the dead.
","This was an amazing thriller that brought back the B-movie genre in my opinion. Though I gotta say this probably beats the B movies back then. This one doesn't show the monster as much, making the suspense all the more terrifying. Then when you do see the monster, you'll see that it's an amazingly creative design, and not a typical Godzilla design.Note: (the whole movie is shot in a first-person perspective). During a going away party, a group of friends encounter a giant monster attacking New York City, in which they evacuate the place, and try to get out of New York, doing what they can to stay alive.I say this is better than most B horror films because of the unique way it's shot. The film is filmed by a guy going with the party, and you feel warped into the environment with so much commotion going on, it's uncanny. The film's ending also isn't what you expect, (you'll see). The film doesn't get slow, as there's always something going on, and the main characters are always on their feet. It begins in suspense, and it slowly but surely shows more and more of the monster, getting more and more intense. It's scary because it's huge, so how can you miss it, yet not seeing all of it just makes the environment feel all that more real. Growing attached to the characters makes it more terrifying when they die one by one.This film gave the B movie genre some balls, and I appreciate it for that. Nothing is cheesy, nothing is bad, everything is thrilling to the bone. Very decent film",7,0,1,28 August 2010
