movie_title,title,review,rating,helpful,total,date
The Avengers," Best summer movie of 2012
","Not much to say about this one that hasn't been said millions of times before. Brilliant comic-based movie that is, for me personally, the second best Marvel movie ever made, right behind Howard the Duck (kidding, kidding the first Iron Man film obviously). Joss Whedon further proves, as if any more evidence was needed, that as a writer/director he's amongst the top of his field. This is also the best Hulk film ever made and makes it more of a shame that the ball was dropped so badly in his own films. Bruce Banner is the stand out, but all the main superheroes have their very memorable moments, save for Hawkever whom is woefully underused and I hope his role is a tad flashed out on the upcoming extended cut.But really my minor gripes about the movie are few and far between. Loved this film.",9,21,42,2 July 2012
Kill Bill: Vol. 2," very nice
","I waited till this came to cable simply because I wasn't going to pay 15 dollars to see one movie which we split in half out of typical Weinstein greed. Plus it afforded me the luxury of seeing both films back to back. Whereas the first half was all glitz and lightning fast action set pieces, which was a fun ride. This half is more typically Tarantino in relation to the dialog that seems to crackle and ooze coolness. Not to say there isn't any action, as there are a few great stand-out set pieces to be had, just not as manic as the first half. This is leisurely and takes it's time and for true fans, it's all the better for it. David Carradine is great as Bill, Uma gets her most-rounded performance in her career, and while the movie, as a whole, isn't as sheerly fun as Pulp Fiction, nor as perfect as the sadly under-rated Jackie Brown, it still makes for a hell of a ride. One thing that tee'd me off was the credits 'based on a story by Q&U', which just struck me as overly pretentious of them. But that's obviously just my opinion.Signing off,K",8,2,4,15 September 2005
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan," for the most part hilarious, if extremely base
","Sacha Baron Cohen finally sees the success that he certainly didn't attain with his previous 'Ali G Indahouse'. Now when I use the term success, I mean in the world-wide term, as I'm quite aware he's been well known over the pond for awhile now and has enjoyed cult status in the States for a bit. However with the release of this film, he's a bonafide star overnight (well his alter-ego Borat is anyway) & with good reason as this mockumentary about a naive ridiculously bigoted, offensive foreign documentarian, Borat, touring America in hopes of wedding Pamala Anderson, of Baywatch fame, is utterly hilarious. Every time he interacts with everyday people it caused me to laugh and brought a smile to my face. The only thing that detracted from the experience of watching the film is that at one point it turned into very nervous laughter and I had to look away from the screen. (yeah,yeah, call me a prude. But if you went to see this film in theaters with other members of your family, you'd be just as embarrassed). Other than that, the film was the most i laughed in while watching a movie in quite some time. True the movie is pretty basic and not subtle in the least, true it doesn't paint Americans in the best of lights. But I found it a pretty damn good film, none the less My Grade: A-",8,3,9,19 March 2007
Gremlins," Come on, we're talking cable
","Randall Peltzer (the late Hoyt Axton), while going all around town trying to sell his faulty wacky inventions, accidentally stumbles on a cute little Mogwai at an antique china store. The owner refuse to sell it, but the kid sees dollar signs and sells it to Mr. Peltzer, telling him three things never to do to the creature. So back in Kingston Falls, the misguided inventor presents it to his son, Billy (Zach Galligan) telling him the warning that the Chinese boy imparted to him. Needless to say, Billy ignores all three rules and soon evil little Gremlins are all over town causing rampant destruction.This movie is greatness in every single way. With style, charm, and humor to spare, this film was among the top echelon of movies from the glorious '80's (Man that decade was GREAT to be a kid or teenager in).Never overtly slapstick comical, this film is still tongue firmly in cheek none the less and seeing the amazingly great Dick Miller is ALWAYS a treat. By the by, call me dense but I never realized that Howie Mandell did the voice for Gizmo. That's kinda neat. This was followed by a sequel that's just about every bit as good as the original.My Grade: A Special Edition DVD Extras: Commentary by Director Joe Dante, Producer Mike Finnell and Gremlins Creator Chris Walas, Second Commentary by Dante and Actors Zach Galligan, Phoebe Cates, Dick Miller and Howie Mandel; Cast & Crews bios; 8 Additional Scenes (with Optional Commentary; Photo Gallery; short vintage featurette; Theatrical & Re-issue Trailer; and Trailer for 'Gremlins 2: The New Batch'",8,34,44,15 October 2005
Lucky Number Slevin," too much hipster dialog
","In this movie that tries so hard to be 'cleverer than thou', Josh Hartnett as Slevin leads a cast of actors who all speak in pretty much the same voice. That voice, of course, being the faux-hip Tarantino-light, 'hipster wit' that writer Jason Smilovic unwisely chooses to imbue them with. As the disappointing, yet not unforeseen, outcome of that is one is always keenly aware that one's watching a movie. In that I mean that because the writer is too busy trying to be hip and clever, tat I never was drawn into the film whatsoever and even found it to be a tad on the annoying side. Perhaps I'm being too tough on the film as the tale of mistaken identity, mob hits, and the twists and turns therein is serviceable enough, if on the highly derivative side. and Bruce Willis is, as always, highly watchable. But as a whole the film fizzles out in a sea of pomposity.My Grade: D+ Eye Candy: Jennifer Miller bares her breasts..or does she? hmmmDVD Extras: Audio commentary by director Paul McGuigan; Second commentary with actor Josh Hartnett, actress Lucy Liu, and writer Jason Smilovi; 13 minute making-of featurette; deleted scenes; Alternate ending; Theatrical trailer; and Trailers for 'Kill shot', 'The Protector', 'Pulse', 'Clerks 2', and 'Scary Movie 4'",4,18,37,29 September 2006
50 First Dates," it's no Wedding Singer
","Adam Sandler plays yet another naive 'witty' eccentric character. In this one he falls for Drew Barrymore who after a car crash due to her seemingly incestuous father can only remember one day at a time, and forgets it when she goes to sleep leading to wild madcap hilarity.. OK OK, this more is neither of those three things, but it sounded good. I really wanted to like this film, as the previous pairing of Sandler and Barrymore, The Wedding Singer, was a great comedy. Alas, while this has a few laughs, it just wasn't nearly as good. Like Drew's character you will forget that you watched the film before long.My Grade: C Where I saw it: HBO on demand",Null,2,4,10 January 2005
Raiders of the Lost Ark," quench your Jones for excitement
","Indiana Jones (Harrison Ford) has to find the Ark of the Convenant for the US government, but it will be far from easy as he'll have to deal with his old nemesis, Rene Belloq, Nazi's who want the Ark for themselves, and snakes. It's a toss up on what he detests more. This was the film that spawned one of the best trilogies EVER. Most fall apart by the third movie (:Godfather, Back to the Future, Star Wars ALL have weak links), not so here, ALL the Indiana Jones films are pure gold. And bring back very fond childhood memories. THIS is a action-packed blockbuster like it should be done. Thrilling, exciting, humorous, and insanely great escapism. Accept no substitutes, because Indiana Jones is one of a kind.My Grade: A+ DVD-Rom content: an exclusive web link to get picture galleries, a PC game demo, and Raiders Animatic: Opening the Ark",9,0,1,25 August 2005
Deja Vu," Goes a little towards redeeming Tony Scott for Domino
","Doug Carlin (Washington) is an ATF agent who's trying to find out who blew up a ferry as well as the death of a girl name Claire who's somehow linked, gets a chance to alter history when he stumbles on a group of scientists and their new invention that lets one look four days into the past. Well-acted and thrilling enough this is most akin to 'Donnie Darko' in feel if not in tone. To clarify that further, both movies appear smarter than they are in actuality. Whereas 'Twelve Monkeys' has been the only reasonably honest time travel movie (honest as in as much as a science fiction dues ex machina as time travel can be), this film has to be looked at for what it is, merely a popcorn flick for the masses, happy contrived ending and all. That's not a slight against the film, even if my personal tastes don't lean that way for the most part (I can however , unlike some cinema snobs, enjoy one from time to time) The crux of the matter, for fear of me rambling on, is that this film is typical. Not good, nor bad, strictly middle of the road popcorn action flick. Albeit one with a tad more visual sheen on it due in no small part to the director, Scott.My Grade: C+",6,0,1,10 May 2007
Minority Report," Blade Runner this is NOT
","Tom Cruise as Chief John Anderton of the future's pre-cog division, wherein criminals are caught before they do the crime, has to go on the lam after he sees his future self committing murder. This being a Spielberg film, you can count on three things. The film itself will look great aesthetically (and with all the money he gets thrown his way, it damn well better look great). Two, the film will be dumbed down sufficiently as to appeal to the masses, or rather, what Hollywood thinks the average intellect of the average movie-goer to be. And three, It'll go on for too long. This adheres to all the aforementioned characteristics of a Spielberg production. The dumbing down aspect being the saddest as I love Philap K. Dick's work. All in all another disappointment from a man who hasn't given us greatness since 1998's 'Saving Pvt. Ryan'. That being said, it's still a damn sight better than the awful 'AI'.If it seems that I harder on this director than most, it's only because I expect so much more from him.My Grade:C- 2-disc DVD Extras: Disk 2) From Story to Screen; Deconstructing Minority Report; Stunts of; ILM; Interviews with Spielberg and Cruise; Concepts; Storyboards; Cast and filmmaker bios; production notes; 3 theatrical Trailers; and game trailer",5,1,6,17 March 2005
Se7en," Seven is a Ten
","This is the film that single-handedly made me think of David Fincher as a great director, all of his subsequent films only cemented the deal of him being one of my favorites. Brad Piit & Morgan Freeman as Detectives Mills and Sommerset are after a devious, grisly killer who murders his victims based on the Seven Deadly Sins (Sloth, Greed, Envy, etcetera, etc..), in this extremely well crafted, gripping, suspenseful thriller, that never falls into the one tap that these thrillers too often fall into, which is letting the audience get ahead of the plot. ALL of the actors in this film are superb in their respective parts, including Kevin Spacey who gives his best performance of his career, just slightly edging out his part in 'The Usual Suspects' in my mind. It also features one of the greatest endings that I've ever witnessed. Moreso, the entire film has a kind of poetic beauty and sense of grace that comes off it that is simply mesmerizing and makes this film one that is simply a sheer joy to come back to again and again. A must see modern day classic, no matter how you slice it, this movie comes with my highest recommendations.My Grade: A+2-Disc DVD Extras: Disc 1) Commentary by Director David Fincher, Actor Brad Pitt and Actor Morgan Freeman; Second Commentary by Professor of Film Studies/Author Richard Dyer, Screenwriter Andrew Kevin Walker, Editor Richard Francis-Bruce, New Line President of Production Michael De Luca and David Fincher; Third Commentary by Director of Photography Darius Khondji, Production Designer Arthur Max, Editor Richard Francis-Bruce, Richard Dyer and David Fincher; Fourth Commentary by Sound Designer Ren Klyce, Composer Howard Shore (with Isolated 5.1 Music and FX Cues), Richard Dyer and David Fincher) Disc 2) Exploration of the Opening Title Sequence with 3 Angle Options & 6 Audio Options; 7 Deleted Scenes, Extended Takes, and 2 alternate endings with Optional Commentary by David Fincher; Production Designs with Commentary by the Photographers; Still Photographs; The Notebooks with Commentary by the Designers; Filmographies; Mastering for the Home Theater with optional commentary; Theatrical Electronic press kit; and Theatrical Trailer:DVD-ROM content: Scrpt to screen comparison; and Weblinks",10,1,3,24 September 2005
