movie_title,title,review,rating,helpful,total,date
The Rock," Remains to this day the best action movie ever made
","The best action movie I have ever seen, and nothing will ever top it. My absolute favorite actor in the world is Nicholas Cage (no one better, ever) and Ed Harris, Sean Connery are two of the best actors of all time. I was in San Francisco this past summer, and took a tour around The Rock and it is an incredible place filled with memories, terror and fear. Leaves you chilled after you leave there learning about all that has happened there. The movie had action, drama, a bit of comedy and thrills. Ed Harris gives a blisteringly real performance as the Former Lieutenant Col. who holds San Fran by the button ready to fire atomic rockets. Nicolas and Sean worked wonderful together and were great to watch. I don't know anybody who did not like this movie. Thanks to Nicolas, Sean, and Ed for making the best action movie I have ever seen, and to the director Michael Bay for not ruining this movie with unnecessary cheesiness and boring action. This movie was anything but boring! Even my mother loved it-and she is 47! (She loves Sean and Nick too) If you have not seen this movie, my gosh run fast to the video store! Rock on!",Null,1,1,1 March 1999
The Blair Witch Project," Don't believe what everyone says....
","This is not the 'scariest movie of the year.' I didn't even cringe once. A worthy story, but these kids fighting gets on your nerves. It was a worthy effort, but doesn't pull it off in the end. It goes on a bit too long, and not much keeps your attention. 2/4 stars.",4,0,1,22 August 1999
Kill Bill: Vol. 2," The BEST film of 2004 (better than vol 1)
","*spoilers warning* I originally saw Vol 1 on DVD, loved it and saw vol 2 on opening night. I also received vol 2 on DVD the day it came out and I stand firmly by the belief of what Tarantino said. 'vol 1 has the questions, vol 2 has the answers.' This is so true. After viewing 1, your head is dizzy. But volume 2 fills all those gaping holes like The Bride's name, the location of Bill, the fate of her daughter, and the other 2 she needs to get rid of and exactly how did that Massacre at Two Pines happen? I will not say what the best part, but look for the subtle references to what lies in store for The Bride and what kind of man Bill is. The characters are well-developed, the screenplay moves at a good pace, and the ending is awesome. I just wish it was longer. One last thing to add: David Carradine is worthy of an Oscar as Best Supporting Actor and Uma as Best Actress.",Null,2,4,19 August 2004
Antz," Loved it
","I saw this movie in the theater with my younger sisters and all three of us loved it. It has plenty of laughs, action and a hint of romance. The ants that the celebrities voice for look and act like them. Woody Allen is small, Jennifer Lopez has the curves,  Stallone has muscles, and Christopher Walken has the same face as in real life. Enjoyable for adults as well as kids.",Null,0,0,15 May 2000
Star Wars: Episode I - The Phantom Menace," The Force is strong with this one
","I have now seen TPM twice, and I have to say that the second time was the best. This is one that definitely needs to be seen more than once. Great score by John Williams, as usual, and the performances were pretty good, despite what everyone has said. Neeson and McGregor are way cool, Portman is stern, but good, and Jake Lloyd is pretty cool in his abilities for his age. I especially liked Jar Jar Binks, even though some people found him annoying, I really liked him because he was lovable and funny, like R2-D2 and C-3PO. Truly, you do have to be a fan to see these as well, I own the trilogy and have watched each one this weekend to follow up again on the stories. I do feel that this movie was worth the wait, and we don't care what the critics think anyway. Us fans will see it no matter what, and I would love to see it again, but my advice is to see it more than once. The pod races is the coolest scene! So, everyone who did not like it, do yourself a favor and go see it again, you will probably have a different opinion! George has once again created a film that everyone is sure to talk about for many years to come.",Null,0,3,24 May 1999
The Sound of Music," How do you not love this movie!?
","One of my favorite musicals of all time next to 'Grease' and 'Cabaret'. Julie Andrews and Christopher Plummer are wonderful together! The scenery and cinematography are breathtaking as well, set against Austria. I dare you to not sing along with Andrews! Should be watched by every family! Still delights me today!",Null,0,5,19 September 1999
Ali," Missed punch from the very beginning
","If you are going to make a biography about someone's life, have some emotion in it. And this film needed an editor too! So many details that did not need to be there. Go see Lord of the Rings instead. Hopefully, this movie will not be well awarded",Null,1,1,2 January 2002
Who Framed Roger Rabbit," Loved it, wonderful story and fantastic effects!!!!
","This story is recommended for the whole family. Laughs, action and romance. Kathleen Turner is wonderful as Jessica and Roger is hilarious. Roger is framed for murder and Hoskins must clear his name. Great cameos by cartoon characters, especially my favorite Betty Boop. Delivers great effects and laughs. Recommended to everyone...!",Null,1,1,7 December 1998
Chinatown," A milestone in cinema history.
","A wonderful movie from start to finish. I love you Jack! How come none of his movies ever suck? One of the greatest actors ever. Faye Dunaway is wonderful as well. Polanski makes a funny cameo as the knife-carrying, nose slashing gangster. This and Rosemary's Baby are two of the best films from the 60's and 70's. A great movie to watch for drama, light comedy, and thrills. The acting, direction and story make for a film on my top 20 list.",Null,0,2,21 November 1999
Erin Brockovich," Impressive film with a stellar perfromance by Roberts
","From my other comments about Roberts' films, my opinion of her fluctuates from film to film of hers. Notting Hill and Runaway Bride were great, and no one forgets her performance in the classic 'Pretty Woman'. Yes, she made some stinkers, and she has now bounced back. I was very impressed with her performance in this film, and with Finney's as well. Yes, it's true that her outfits do stand out, but she looks good in them, and carries herself nicely. Warning: She does have an acid tongue though! She says whatever comes into her mind, and is very ambituous in her job, she literally pours herself into this case. This film was much more convincing that 'A Civil Action' in the way that it was not too bogged down with unnecessary emotion and characters and the story was more believable. The direction and plot follow very smoothly, and you feel sympathy for Erin. She has no education, 3 kids, has been divorced twice, and is $17,000 in debt. However, she gets involoved in this case, and makes a difference in her life and the lives around her. This is Julia's best performance in the last few years and she should feel proud of herself for playing a real-life woman with just the right emotion, character and believeableness. Congrats Julia, but it is still plenty enjoyable if you are not a Julia fan.  Good performances by everyone else in the film as well, including Aaron Eckhart and Albert Finney. Another note: I wish I could pull off the outfits like she could!",Null,0,1,15 October 2000
