movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," A very intense movie for people who can appreciate what it tries to accomplish.
","Something that so much of the horror genre lacks is realism. While 'classics' like A Nightmare on Elm Street do nothing but bash you over the head with a block of cheese, they get positive reviews because they follow the same tired, safe formula that make the horror fans go in their pants due to nostalgia. The majority of the horror genre isn't really scary, and it never was. When The Blair Witch Project first came out it was the only movie to break these rules and delve into true, realistic terror. It didn't follow a formula. It tried to recreate the terror of someone lost in the woods on film, without the cheese or eye candy. I think that is why it captivated me. I've seen thousands of movies in my life, the majority horror movies, and maybe less than 5% really scared me. I'm not sure The Blair Witch Project scared me, but, I can say I felt the terror in the characters and script more than the vast majority of the other horror movies I've seen combined.But there is another factor it seems no one is mentioning in their reviews. If you've never been lost in the woods, as I've been many times, I'm not really sure you could appreciate or understand the fear that the characters were feeling. If you're not a camper, I really doubt you'd like this movie whatsoever. A lot of the negative reviews from people calling this 'stupid' or 'boring', I can understand if they've never been lost in the woods. This is NOT a film everyone will like, or should like, and that is something someone really needs to say.Because I'm reviewing this in 2008, not 1999, I'm going to have to add that this movie is not like Cloverfield whatsoever. Cloverfield was a huge adventure caught on a small camera, while this is a small adventure caught on a small camera. If you liked Cloverfield (or vice versa) and are looking for a similar experience, this isn't it. They're both good movies, but for very different reasons.The main flaw that a lot of people are having a problem with is the pacing, which is reasonably slow. The reason for this is because it is meant to echo real life, not bash you with an explosive beginning like is typical Hollywood. Some will find this boring. Some won't because they appreciate realism. I fit into the latter.Overall, a very intense movie . . . if you know how to understand it. I found it very enjoyable and lacking of the typical horror cheese, which is something I can't say much anymore. Very much worth watching. You are not a real horror fan if you haven't at least viewed this once, because it's unlike anything that has ever been made before it.3/10",7,1,3,10 October 2008
Kill Bill: Vol. 2," Better than the first, but not as entertaining.
","This is the only movie I've ever seen that I knew would be perfect long before it was over. When the action happens, it is much more gritty and cringe-worthy than the first Kill Bill. The final climax is nothing but sheer cliché-defying genius that I'm sure will make a lot of people made, but I still can't deny the awesome moral that it brings.This movie has some of the most amazing and intense scenes in cinema and is not to be missed by anyone. It surpasses it's processor in nearly every level. Humor, grit, genius, originality, except . . .. . . the only thing that disappointed me: the lack of blood. After the gallons of it in Kill Bill, I would have at least expected one scene for old time's sake. Also, the talking scenes can be a little boring because they're not as good as Pulp Fiction. It isn't as entertaining as the first movie, even though everything about it was improved.But this is a must see. Amazing in every way.10/10",10,1,2,3 September 2008
The Ring," How can traditional horror get any better than this?
","Let me be blunt for a second: I hate most everything that is defined as 'traditional' or 'classic' because they're almost always synonyms for unoriginality and predictability. Movies with those tags usually amount to nothing more than a big-breasted woman (who is topless half the screen time) being chased by a killer/monster(s) until she either finds a way to kill him/it or dies. That's all. Point A, topless sex scene, fake scare, 'Oh my God! The monster is real!' scene, chase, woman lives/dies. For reasons like this, I have always preferred horror movies like Saw where every rule/plot you think you know is thrown out. However, The Ring completely made me remember that traditional horror can still be complex and original . . . and actually scary. In more way than one, The Ring is The Shining of its time.First, let me get the cinematography out of the wayit's gorgeous and incomparable. The blue tent has never been done to this level of effectiveness, and the camera angles take me back to the time when people actually put effort into cinematography.The plot is one of the most complex and memorable a ghost story has ever had. Also, it's revealed through action, mystery, and actually requires the main character to actually physically do something rather than just talk and talk until I fall asleep, as in most movies anymore.The acting is solid on all fronts. There is entertainment value, rather than just another cliché social commentary. The storytelling is never bloated or boring. The Ring also never plays it safe and uses the easy clichés that it could use. I also can't point to a single cheesy moment, ever.Overall, I cannot think of a more perfect example of truly flawless traditional horror. It ranks among The Shining and Alien for me. I can understand why a lot of people wouldn't like it, and it isn't for everyone, but I loved it. Watch it and make up your own mind. Just know that the original Japanese version has had more impact on the horror genre than most any other movie of our time, and the remake, in my opinion, is far superior.10/10",7,1,1,21 September 2008
Fight Club," Sorry, it bored me to tears. And then made me mad with bad storytelling.
","Beyond anything I'm about to say, I just don't understand how people can call Fight Club entertaining. I was so bored I had to give myself excuses to turn it off and do something else. It just kept going and going, and 90% of the screen time has nothing to do with anything. The humor was so juvenile and cliché, I can't say I laughed onceI heard the entire script back in 3rd grade at recess. So, really, as far as entertainment value goes, I can't see anything redeeming. Every 10 minutes I kept asking myself why I was even watching it, because nothing was happening, and in the end nothing did happen. There was no story, just some pretentious social commentary that was nothing new.Being a man, I've heard the cliché 'We're men raised by women!' so many times I can't even take it seriously anymore. That cliché has existed since then 60's, as far as my knowledge, if not earlier than that. Now this takes that cliché and forms a movie around it. For one, everyone who is calling this 'daring' or 'original' needs to understand something: it takes no more balls the take a cliché and build a movie around it than it does to remake something.The intellectuals on there had argued both ways about the validity of 'We're men raised by women!', so I'm not going to. Go read their reviews and find your open opinion on the matter. However, something no one here has said is that Fight Club is exactly that: an opinion. I could make a movie about a group of men who realize that they prefer being like women, then backlash and say EVERY man HAS to feel this way. Why? Because . . . well, because the fictional characters in the movie said so. That's because! Fight Club is an opinion, not an absolute truth. If you were to take real men and put them in a fight club such as this one, I can guarantee a lot of them would NOT feel alivebut the film is too immature to admit that it a possibility. Likewise, if you were to start a fight club for women, I can guarantee that a lot of them would feel just as alive as menonce again, the film doesn't admit that is a possibility. Fight Club is so self-absorbed in a shallow cliché that it denies all flaws it could have, and that is the main flaw with the social commentary. If Fight Club was truly ballsy and original itself, which it's not, the story would at least admit that it is an opinion and not absolute truth, as it claims. And, really, the fact alone that people would base their full opinions on something fictional is ridicules and shallow in itself. Fiction is fiction. Yes, fiction can be a tool to understanding reality, but it still can be manipulated to understand whatever reality it wants to understandincluding false reality. Basing an entire view on something based on something fictional, as this movie is, is just pathetic.Okay, now with that out of the way, I want to talk about the horrid storytelling this movie had. If Fight Club actually knew how to tell a story, I might have given it a much higher score. The entire movie is insanely boring, but the first hour and a half is pretty well-done, if you ignore the fact you've heard every bit of humor on the playground and that David Fincher has laughably poor arguing skills. After the car crash scene, however, the entire movie descends into poorly directed chaos. There are so many bloated, pointless scenes from this point until the end I was literally counting down the minutes until it was over. All the quirks that made the characters interesting fall away and leave them cardboard-thin. If the storytelling was done effectively, the chaos would have led into an intense, direct climax/finale. Instead, the ending is bloated with sub-plot after sub-plot that amount to nothing in the end, getting rid of any and all intensity that could have been created, and just leaving me bored and laughing at things that weren't supposed to be funny. The decent fight club plot twists into a cheesy wannabe Die Hard plot and at that point I lost all ability to take the movie seriously. I can understand it was trying to add another layer to the overdone social commentary, but it didn't work. The ending should have been cut by at least 40 minutes to be even close to effective. Poor, cheesy storytelling.In the end, I can understand why people would think this movie is brilliant. On the other hand, I can't understand anyone out of junior high who shouldn't see the gaping flaws in the social commentary. But maybe I'm looking at this entire review the wrong way. Maybe I'm trying to find flaws with the story, when it had no story to start with. This just a poor excuse to preach clichés you've heard all your life, not to entertain. It's an English opinion paper, nothing more, nothing less. If so, it gets an F for being pretensions, close-minded, and just downright boring.5/10",5,5,14,16 September 2008
Memento," Just throw the doughnut away.
","Let me get it out of the way and say that I am a thriller buff. I'm not one of the countless reviewers on this site who watched Memento and didn't understand itI understood the plot perfectlyand I am certainly not one of the countless reviewers who gave this a negative score because they see it as poor cinema. I don't have a pretentious bone in my body.I am writing a negative review of Memento solely because it's exactly like everything I've seen before, and that's something not many people complain about.The main problem I have with the thriller genre is that it repeats itself, in the same way the sci-fi genre repeats itself. When thriller films don't outright copy one another, they always seem to think if they can find some new, original plot they're going to be groundbreaking. The only problem with that last statement is that most thrillers with 'new, original' plot-lines still simply have the exact same things happening on screen as all the others. The whole wife-is-murdered-I-must-avenger-her plot. Car chases. People talking about the plot. Intense confirmation between bad guy and good guy. You know the drill.While Memento tries very hard to avoid those obvious things, and in the end it somewhat does, it's still nothing you haven't seen before. It plays out exactly like every other thrilleravenge-wife, gather info, kill guy who did itand ends exactly like every other thrillerreversal of expectations. Some of the plot details may be a bit fresh, but when you see the same things that you've seen in every other thriller, who really cares? Memento uses the common mistake thriller writers and directors both make: watching a whole typical movie just to get to the less-typical ending is just boring and forgettable. There is no entertainment value in it. It's the same exact mistake The Usual Suspects made. It's like trying to force yourself to eat a stale long john doughnut just to get to the cream filling. You'll end up throwing the doughnut away.So how great is this 'awesome, unbelievable' plot twist? Pretty average. It's a plot twist, sure, but with such a pathetic main plot, once again, who really cares they made it a little less pathetic in the last ten minutes? It's still the generic man-must-avenge-wife story.How was the directing? Once again, pretty typical. It just takes some elements of metafiction and puts them on filmso what? Also, the use of black-and-white intertwined is just getting downright cliché, being that most every film with 'amazing directing' (big emphasis on the quotes) uses it. I will give Christopher Nolan a bit of credit, because he does keep Memento a bit more fast-paced than most thrillers I've seen, but that's about as far as I can say. It still certainly isn't thrilling, and I find that ironic.So what it comes down to is this. If you're a hardcore thriller buff like myself, this is essential for you to see, but that doesn't mean you'll enjoy it. If you're an average movie watcher who just wants something entertaining and smart, look elsewhere. Fast.2/10",2,3,5,6 December 2008
Underworld," One of the better action movies.
","Overall, if you look at it as just a fun action movie I think you'll enjoy it. The over-the-top action reminds me of a video game, which is really fun to watch. I think it long surpasses The Matrix in this aspect, as well.The blue camera effects and Kate were both amazing. The plot line was just as slick and stylish as the action. But the werewolves were stupid looking. That is the single style choice I think I disagree with. I've heard people call it the new Romeo and Juliet, but that is untrue. It follows that structure for a while, but by the end it dismisses anything that would even suggest that. This blows Romeo and Juliet out of the water, anyway.Action-horror fans will be in awe. As long as you don't look too deep, I don't see why people seem to hate it so much.5/10",5,0,0,3 September 2008
Coraline," Hansel and Gretel without Hansel. And without imagination.
","* Just to get this out of the way: I did not view this in 3D, thus cannot comment on that aspect.When you go and see a PG-rated animate film, what do you expect? A few laughs, a fun main character, something to keep your kid's attention, a creative story, and, possibly, that nostalgic feeling of childish wonder. Fantasy writers seem to think they understand this wonder-filled feeling more than anyone else, and thus I've yet to see a single fantasy writer who didn't pump out a generic coming-of-age, horror-teamed, Disney Land-inspired children's book at least once before the end of their career. Neal Gaiman, the writer of the original Coraline children's book, is no exception. He's also no exception to the unwritten rule among such generic fantasy writers that this children's book that I just described has be as unoriginal and predicable as humanly possible, otherwise it's too much for the children reading it to comprehend. Or, more likely, they just lack a single creative idea within their heads. I've read a lot of Gaiman books before, and this lack of imagination seems to be something that is contentious among all his works. Simply put, I could write up a page-long list of other authors that pre-date Gaiman and write the exact same stories he does, and they all think they're oh-so-original. I can also come up with a page-long list of movies that pre-date Coraline, but tell the exact same story. Is it so much to ask for a little creativity these days? The setting for Coraline, the film, is completely generic for modern fairy tales like this. A big house. Coraline, the character, is also completely generic. An adventurous little girl with a slight punk edge. The secondary character, again, are all generic. Weird little boy, cat, unloving parents, fortunetelling old ladies, acrobatic old man. So, from the set-up alone, it's impossible to ignore how cliché and imaginationless Coraline, the film, really is. You've seen this a thousand times. You saw it with Alice in Wonderland, you saw it with Narnia, you saw it with The Corpse Bride . . . and if I had to, I could list at least thirty more. This is completely, wholesale unoriginal material, and that's apparent from the first five minutes.The story is even more generic. It's Hansel and Gretel, minus Hansel. The generic main character finds a wonderful place filled with everything she lacked at home, and then things go wrong. Oh my! Who would have guessed?! I realize I'm criticizing this movie from the point-of-view of the bitter old man that I am at heart, but even my little sister, who I took to see this, admitted Coraline was completely predictable and forgettable. It's exactly what you expect. If fantasy writers understand children as well as they think they do, then why don't they give them a little more credit that they know what stories are repeated to the point of nausea? Seriously. In my theater alone, I heard countless little kids telling their parents how bored they were. At least half the families there left the theater before the last thirty minutes. If you want horror-themed animated movies that aren't just rehashes of the same predictable plot, I suggest A Nightmare Before Christmas (obviously) and Monster House (severely underrated).Another problem with the boring factor. The movie repeats itself constantly, and you'll see the same exact scenes play out at least three times each by the closing credits. It drags on and on.Coraline does have some entertainment value, and I will give it that much credit. The first thirty minutes were very well-done, if not severely predictable, like the rest of the film. The animation is well-done, if not average for the bar set by Tim Burton animated movies. The animation does have a slight unique rag-doll quality that was pretty cute for the first ten minutes. Some of the sub-plots are very interesting to watch. But none of this makes this memorable. It will pass time without too much problem, but it's nothing you're going to remember the rest of your life, because, as I said, the story is so unoriginal.I realize this review is going to be unpopular, and, quite honestly, I don't care. I have standards, and I'm not going to lower them just because this is a children's film. I've seen countless children's films with originality and real imagination, but Coraline just doesn't have any. It's generic coming-of-age horror with a generic character and a generic moral that you've heard in fairy tales before you were old enough to talk. So, really, what's the big deal? What is everyone raving about? Even if you were to only focus on the positive, it's hard to ignore that hollow feeling in your gut. The one that comes when you realize the movie you think you enjoy is just another generic rehash. That certainly isn't the magical feeling you're supposed to get when you watch children's movies, now is it? 3/10",3,22,58,7 February 2009
Dawn of the Dead," Uninspiered.
","Am I really the first negative review for this movie on here? That's pathetic.It was just stale.The beginning brought my level of hope for this movie up pretty high, and the sleek new zombies were pretty amazing. When the zombie action and scare scenes actually happened, there were simply some of the best I've seen on film.Too bad action and scares only happened for 20% of the movie, and even that might be a little high. The majority of this film was just stale, boring dialog with some comedy thrown in. I thought the comedy bits were pretty well-done, but they didn't fit. At all. I think the scariest part of this entire movie is the main menu.I just can't give this movie a positive rating because I've seen this movie done before a hundred timesbut done right. Parts of the movie reminded me of Cloverfeild, which kept the mood and setting without the pointless dialog. Parts reminded me of the video game Dead Rising, which had complete and total zombie mayhem and massacre, whereas this movie didn't come close.I'm not even sure this was worth watching once because it is so dull.0/10",1,11,24,2 September 2008
12 Monkeys," What was the point of that?
","I love weird sci-fi movies. I love plot lines that make no sense, and scenes that take insane amounts of imagination to even comprehend. Unfortunately, being someone born and raised on Twilight Zone episodes and old 50's and 60's sci-fi movies, I think I've seen every sci-fi plot that has ever been used. Maybe that's why I found 12 Monkeys just downright predictable in every way. And I'm sure if you're like me, and you've seen most of what the genre has to offer, this isn't going to thrill you or make you think any more than a children's cartoon with a space ship episode.Good: <ul><li>12 Monkeys had quality. It took it's time to make everything it did and said believable to watch. That is something that is missing in a lot of newer sci-fi movies, and it's refreshing to see it here.</li></ul><ul><li>Some neat images. Nothing groundbreaking or genre-defining, but there is a lot of sci-fi imagery that is pretty cool to see on film.</li></ul>Bad: <ul><li>The acting isn't completely horrid, but it's so over-the-top and sometimes and sometimes downright cliché that I couldn't help but smirk at most of it. Bruce Wills acts like a complete retard in some scenes, and a macho action hero in others. Brad Pit is ridicules.</li></ul><ul><li>Cheese. I'm sorry, but the camera angles are pure and utter cheese. I assume it's meant to be childish purposely, but with a movie like this, it just takes away the ability to even care about anything. Likewise, the music is horrible. I can understand the monkey theme song, fine. But was it really necessary to have cartoony classical music to boot it? Come on now. Also, there is an unnecessary amount of male rear nudity that, once again, takes away any seriousness. You put a guy's butt in a serious movie and it's always a way for the audience to ask: 'Wait, is this American Pie?' </li></ul>Typical: <ul><li>The story has been used so many times in so many different movies/books, what was the point? I guess this is the first time the screwed-up-time-travel plot hit the mainstream big-screen, but it has been used in so much more things before it, it's almost like a slap in the face when you get to the heavily clichéd and predictable ending. There are a few points of semi-originality scattered throughout, but what makes the difference? Go watch two random episodes of The Twilight Zone (from the 60's, might I add) and I can guarantee one will make you think: 'Hey, wasn't that also the plot from 12 Monkeys?' I don't know how anyone can find this confusing; it's just run-of-the-mill. Average at best.</li></ul><ul><li>The romance spin was so cliché I found myself wondering if it's even possible to have an American movie without a romantic subplot. Ben Yahtzee from Zero Punctuation says it best: 'What if in some parallel universe every movie had to have a subplot where people square danced? That would be absurd, right? It's no different than EVERY last American movie having a random romantic subplot. It's absurd and pointless.' </li></ul><ul><li>The slow pace builds quality, as I said, but that's also a major problem: 12 Monkeys is slow. I fell asleep during the middle and had to finish it the next day. The majority of the movie is boring talking scene that say things you figured out from the first trailer.</li></ul>Overall: Really, was it necessary to make this movie? Sure, it had some quality and maybe it was a little out of the ordinary back in 1995, but those are the only two reasons 12 Monkeys didn't get a 1/10 from me.If you consider yourself a true sci-fi fan, there is no reason to watch this. If you're just an average joe, you'll be bored out of your mind. So, really, why all the positive reviews? I just don't get it.1/10",1,27,72,30 October 2008
Hostel," Beats 'Battle Royale' where intelligence is concerned.
","First of all, let me say that contrary to what reviews are stating, this is possibly one of the most intelligent horror movies out there. While foreign horror movies like Frontier(s) get perfect ratings because of they're not the norm here in America, thus SEEMING superior, they lack the intelligence that this lower rated movie had.Hostel is essentially a parable. The movie is divided into equal 45-minute halves that both parallel in every way, except they have different subjects: sex and violence. From the scenery to the events, they're pretty much a mirror imagejust reversed. I'll talk about both.Sex People complain about (or enjoy) the nudity, calling it semi-porn. Being someone who really doesn't like nudity in films, I can say that it isn't quite up to porn level because it simply pretends to be porn. You can decide for yourself if that justifies it as being porn or not, BUT, Hostel uses nudity for a reason. I think one of the strongest things the film has going for it was to back up the point that all naked women are the same. Porn, your wife, some whore, your daughter . . . all the same. It showed that amazingly well through the nudity. I think I was most impressed that it used the nudity for a reason, unlike other movies.Violence Whoever says this is more violent than any of the Saw movies, please tell me you're joking. It roughly is just about as violent as the first Saw, but after that the Saw franchise makes this look babyish. There are cut-off scenes, scenes that simply show NONE of the gore on screen, scenes where it doesn't show the graphic details. In no way shape or form way this pushing gore on screen. If they took out about a minute more of it, I'd honestly say it could have gotten a hard PG-13 because it uses PG-13 strategies to try NOT to show the gore. But intelligently, it uses the violence to mirror the sex and make its point.Overall, it had a trite, almost cute, way to wrap the entire movie up. 'I got some pussy the other day, but I don't even remember what color her tits were, man. But THIS, this I'll remember forever.' When given the opportunity, violence replaces sex.I've seen a lot of movies that pretend to be smart. No Country For Old Men was one of them. But those kinds of movies aren't smart simply because they lack anything new to saythey repeat trite clichés. Death, love, blah, blah, blah. And though Hostel lacks any kind of a plot twist, I think the major twist was that it DID have something original to say about the correlation between sex and violence. It said something about human nature I've never heard before.In the end, it feels almost like Saw's brother. They're utterly different but somehow linked by similar gore and their morals. I'd take this over yet another tired old man movie that thinks it's so intelligent but just repeated a cliché, like There Will Be Blood, any day.9/10",9,1,3,1 September 2008
