movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Quick Reviews!!
","POSSIBLE SPOILERS!!The wild hysteria surrounding this movie proves that the majority of the cinema going audience can still be fooled into believing anything they see or hear, or think they do, but that doesn't change the fact that it is an extremely convincing and effective horror flick. A certain number of people on these boards, and who have reviewed B. Witch Project HATE the film for varying, understandable reasons. When i first watched this, i watched intently, knowing exactly what the directors were playing at, and i found great enjoyment in watching the reactions of those who thought it was real. Did it unsettle me? No. Did it make me jump like the horror movies that rely on loud noises to scare (the Ring Remake) ? No. But it was the first horror movie in a very long time to put a smile on my face, and make me shiver. If you can remember back to when you played hide and seek as a kid- the feeling you had when the person looking for you was 10 feet away and coming closer- that is what this film gives, in a much greater quantity.It is slow moving, and if you do not enjoy the pace, then you may not enjoy the film, but it compensates this by being short and concise, juxtaposed against how the 3 campers must have felt as the hours dragged by- the point i take from this is that in life we only remember a series of memories, images pasted together to make little sense, and life seems much shorter than it actually was.The camera use and grainy feel again may be fuel for hatred or love, but it works perfectly- they don't know what is going on, and neither do we, but that doesn't matter because in an uncertain and threatening situation, the natural human reaction is to run or fight. Drained, exhausted, paranoid, they run. Ever had a nightmare about running away from something, but not knowing exactly what it was, or why you are running?The best part of the movie (apart from the hilarious 'i kicked the map into the river' scene) is the last few minutes when Michael and Heather enter the house following Josh's screams. I get the 'shivering' feeling throughout this (probably 'spine tingling' or 'chilling' is the 'correct term'), especially when Heather screams, and the ending is excellent as our feelings and fear somehow builds and climaxes (apologies for the sexual connotations) in perfect harmony with what is happening on screen. The actors are clearly convincing, again look at the hysteria for proof, and although they are not called upon to do much, they do it well. Oh yeah, the only scene i do not like is the 'Heather snot' scene- it is too long and breaks up the momentum. Few great horror films come along these days, this is one- embrace it, let yourself be sucked in to feel the full effect, don't be critical, and realize how good it is. 9 out of 10",Null,0,2,30 November 2004
Vertigo," quick reviews!
","yes, quick, as others reviewers have gone into greater depth, and i can't add anything new.Oh baby, what a film! 1958!!! This has plot twists, even effects that put movies of today to shame. One of the most complex films ever made, with something new arising with each viewing, I think this, along with The Seven Samurai, is the best movie of all time. The first time I watched it, I had no idea how it would end, and what would become of Scotty and Madeleine. My only qualm is the fact that Midge completely disappears from the movie in the second half. Why?! It's not important though. Superbly shot, and immaculately directed, as always. 10 out of 10",10,87,161,23 May 2004
Alien 3," Quick reviews!!
","The third entry in the Alien series is famous more for its script re-writes, disputes and problems rather than anything that happens in the movie, and has since been slated by fans and critics who expected much more. On the DVD we can see all these problems, the ideas that were thrown out, and how different the film could have been. Eventually Fincher got the director's job and did everything he could to make it good, all the while looking over his shoulders as ravenous producers repeatedly stepped in to make changes. What is left is a disappointment from one perspective, but a thoroughly good movie from another. Hicks and Newt, surviving characters from Aliens are killed off, rendering their escape pointless, and setting the gloomy tone for the movie. Bishop is destroyed and has no wish of being remade as a second grade model. After the excitement of the previous film, here we have one alien, and lots of talking. In this way it disappoints. However, watching it as the story of Ripley, of her never-ending nightmare, of a triumph of lighting, atmosphere and darkness, it works well. The tunnel chase scene is also one of the best movie moments of the decade. Therefore it is nowhere near as bad as many say it is, but it had the potential of being much better.Ripley's escape pod crashes on a prison planet, Fury 101. She is the only survivor, human survivor, and is brought into the prison causing much disruption. The inmates are all men, most murderers and rapists, sentenced to life, but they have adopted religion to get them through each day. There is no way off the planet, no weapons, and it seems a certain creature is loose. The Corporation hears of her survival and prepares to come 'rescue' her, but Ripley is more worried about survival as the Alien begins to pick off the inmates. However, a twist reveals that the Alien will let her live.Weaver is again very good, as are the rest of the cast, particularly Charles S. Dutton and the late Brian Glover. Unfortunately the rest of the cast all look identical, and most are killed without emotion. The score is good, the sets are impressive, and everything is dark and shadowy. The alien itself has changed, but the CG is poor. Many complained the film is too depressing, and if you like your films bright and with a happy ending then this is not for you. For fans of the series, most are split over its merits. I only really enjoyed it after a few watches.7.5 out of 10",7,3,4,6 April 2005
The Ring," Quick Reviews!!
","One of the worst remakes of recent years, made worse because it should have been so much better. Wooden acting from most-unlike the original, the intro was far to teen movie like-unlike the original, terrible attempts at scaring-unlike the original, and a weak ending-unlike the original. You've probably guessed i'm a big fan of the original, yes, i consider it to be the best horror movie of the nineties, since Elm Street part one, but do not let you think that means i am biased- I had high hopes for this, which were quashed, but I have high hopes for the sequel. I also loved The Grudge remake and felt it was almost as good as the original.Although this tried to be clever, and gets points for attempting to create some atmosphere, it just falls on its face, reverting to very weak and predictable jumpy moments. Lesson 1- Loud noises may make the audience jump, but they will not be SCARED- in the cinema they have BIG speakers so the sound of a car driving may be enough to make us jump. Is this scary? No. The Ring relies far too much on this- horses kicking walls etc. Eg, you're walking around your house thinking about something. Someone bumps into you when you don't expect it- you are momentarily shocked, but soon forget it. This is not scary. However, if you are walking around you're house with the belief that someone or something is outside, or perhaps inside intending to get you, that is fear. You are scared. Ringu did this for 90 minutes or so, The Ring does it for 0. Naomi Watts is a good actress, and Verbinski is an OK director, but they do not seem comfortable here. He may not have been able to direct her effectively. The rest of the cast is instantly forgettable. The kid, Yoichi equivalent was good in Panic, but here is just another '6th Sense Look Out Scary Kid Alert' kid. Yoichi in the original said little, but he was not the focus, and he still managed to make us uncomfortable. The score in the original is extremely effective and haunting, this has nothing. The story is minimal admittedly, but the original covered this and dealt with what there was with great skill. Here it tries to cover it up by bringing in some nonsense horse side plot which has little relevance and is entirely dumb. And the ending. The original Sadako moment is one of the most frightening things ever filmed, you will feel your whole body become tense the first time you see it, edited perfectly and filmed so excruciatingly slowly that you may almost not be able to bear it. In this it is laughable, far too fast, (again with the loud noises) and we actually cut away from it! We cut away from it!! This takes whatever tension there may have been away from the scene, and then we are set up for another predictable 'jump' moment when the seat is turned round and...! How many times has that ploy been used in movies? Samara herself is not scary, just seems like an annoying little girl. Sadako however is pure rage, unstoppable, and very creepy. Let's hope that Nakata can do something better with the sequel.4 out of 10",4,2,5,7 March 2005
Raiders of the Lost Ark," Quick Reviews!!
","One of the most exhilarating movies of all time in the vein of North By Northwest and Bond movies. We are introduced to Indiana Jones, part time lecturer, explorer, archaeologist, and ladies' man...The film sees Jones on a race to find the famous Ark of the Covenant before the Nazi's do. The film races across the globe via many excellent set pieces as Jones takes on various bad guys, booby traps and carnivorous animals. On the way he picks up an ex 'girlfriend' who comes along for the journey, and several old friends. When the site of the Covenant is found, Jones realises he and the Nazi's may have got more than they bargained for.Featuring some of the most famous scenes in movie history- the boulder scene, and the opening of the arc being two. Every performance is worthy of respect, with Ford ensuring Jones became one of Cinema's most loved heroes. Allen is excellent in a strong role, as are the various bad guys. The effects are still good, but it is the stunts and action juxtaposed with moments of humour which mark the film as a true classic. Everything moves frantically, and Indy usually only scrapes out narrowly of the situations he finds himself him. And the score is one of the most memorable and rousing ever.",10,0,1,14 December 2004
Lifeboat," Quick Reviews!!
","Lifeboat is an early experimental film by Hitchcock, the film mainly taking place in the limited confines of a lifeboat. A US ship has been bombed, and a number of survivors reach a lifeboat. Connie Porter is a self-interested, strong-willed reporter, Kovac is anti-Nazi, and each of the other characters have their own problems and opinions. When a young mother kills herself after her baby dies, the crew become closer and try to find a way out of their situation, deciding to sail for Bermuda even though their compass is broken. When a German joins the boat they argue over what to do, some don't trust him, others say they cannot just throw him out. The German says he knows which way Bermuda is and the others follow his course. He has another agenda though, appearing to lead them to a Nazi supply ship, keeping the water and food pills for himself. However, when he lets one of the group die they turn against him in typically brutal fashion. However, was he genuinely trying to help them? And how will the group escape now?The film is of course character driven, but unfortunately many of the characters are not interesting and no matter what happens they seem passive and unemotional. Perhaps this was on purpose because of the starvation and dehydration, perhaps because the performances of some are average. Each actor does well, but none stand out and the tension created is small until the last 15 minutes or so. However, the film is still watchable and we do want to see if they will escape or not, and what they will do to Willy, the German Captain who sunk their ship. It is true that Hitchcock would hone these elements in later films such as Rear Window and Rope. It is interesting because we would ask ourselves what we would do in such a situation, perhaps being exposed to our enemies or those we do not trust.7 out of 10",7,4,14,12 April 2005
Wayne's World," Quick Reviews!!
","One of my all-time favourite comedy's, and one of those films that, when i was younger, i would continually watch. Funny and charming, i'd rather have one of these than a million American Pie clones. Being a rock and Beavis and Butthead fan from an early age, this seemed like essential viewing. Yeah, it may be stupid, and give the idea that rock music and fans lack intelligence, but it is a comedy and would hardly be funny if Wayne and Garth were geniuses. Wayne has a TV show on cable where he and his best friend Garth mess about, play guitar, take about music and women etc. Wayne has recently split from his odd girlfriend who keeps stalking him, and their lives seem to be going nowhere. A local TV station decides to let their show air professionally, and they agree. Meanwhile, Wayne has fallen for a singer called Cassandra. The TV guys try to change the show, and when Wayne rebels, he is fired. Garth falls out with him, and sleaze guy Benjamin moves in on Cassandra, whose band are gaining recognition. Wayne must try to win pack his friend and girlfriend, while trying to secure his show.There are many movie in-jokes here, many music references and sight gags, most of which i find funny, but many others will not. The dialogue has since become cheesy, but that was always the desired effect, and the two lead performances are very good. Garth will have you laughing just by looking at him, while Myers is clearly a smart comedian. The rest of the cast are good, Lowe moving away from his Brat pack days, and Carrera gives a better performance than many would expect. The smaller characters provide many laughs, ('why do they come to me to die?') and we will be rooting for Wayne as the film approaches its conclusions. Better than any of the Austin Powers films, though less successful, Wayne's World is simply a funny, light-hearted film which tries to give you the belief that you can overcome any obstacle and still get the girl.9 out of 10",9,0,2,18 February 2005
Unbreakable," Quick Reviews!!
","The follow-up to The Sixth Sense is a much superior film, smarter and more stylish, a mix of thriller, mystery and comic book which sees S.L Jackson and Bruce Willis teaming up once again. Willis is again distancing himself from his action movie persona by making films like these, proving he is a very capable actor. Here he plays David Dunn, the lone survivor of a train crash, with a history of near-perfect health. He meets Elijiah, a man who kids call Mr Glass because of his crippling brittle bone syndrome, and with a love of comics. Elijiah takes an interest in David, and at first seems like a stalker. He wants to prove that David is almost like a superhero as he believes David is impervious to physical harm. He convinces David's son and tries repeatedly to convince David, who claims he has been both sick and injured, and is just a normal man who got lucky. However, David eventually realises others, and at the request of Elijiah, uses his powers to help the weak and defenceless.While the Sixth Sense was predictable, though tried to be atmospheric, and successfully convinced many people, Unbreakable is more subtle and works on many levels, but was a much smaller hit. Shyamalan's style is present here, with floating cameras and contrasts in lighting, built around a twisting plot. Jackson and Willis are equally impressive, and the rest of the cast are good, mainly Robin Penn and Spencer Clark. A highly interesting film worth several watches, and an original take on the typical Comic Book movie.8 out of 10",8,6,10,8 March 2005
Akira," Quick reviews!!
","POSSIBLE SPOILERS!!I have no doubt that the first time most westerners watch this they will feel confused afterwards. I'm pretty sure that the first time they see it they will think the animation was very good. Maybe some will know they have just seen something special. Akira is probably the most famous Japanese animated movie, manga or anime, and is surely the most influential. it may not be an exaggeration to say it is one of the most influential movies of any kind ever, as many films, animated and not, have taken elements directly from it.I won't try to summarise the plot, i'm not sure if i can make it sound comprehensible, but it involves biker gangs, friendship, overpowering technology, and the apocalypse. The plot is confusing, especially for western audiences who had simply not experienced anything quite like this before, and the frantic pace and quick direction only make everything seem more chaotic (as if that wasn't the point to some degree), but the more you watch it, the more you will see this is not a flaw. The animation is some of the best ever seen, the picture it gives of Neo-Tokyo is stunning, and the last half hour is mind-blowing. Some parts are very touching too, as we watch Tesuo's struggle, and the multitude of themes are well worth thinking about when you can't sleep or are drunk, stoned, whatever.. 8 out of 10",9,4,7,17 November 2004
Kickboxer," Quick Reviews!!
","Probably the most famous of Van Damme's early work, kick-boxer is another simple story of revenge, and a showcase for his skills as a martial artist. It has some good fights, and some interesting moments showing the difficulty of training and trying to achieve your best while not losing your focus. Although it suffers from some cheesy acting, dialogue, music, and a highly disturbing dance scene, this is a must for Van Damme fans, and those with an interest in martial arts movies who don't want to stray too far from the West.Van Damme stars as Kurt Sloane, the younger brother of a flashy American Kickboxer. They train together, but his brother Eric seems to be more interested in looking like a good fighter than actually finding the ability and skill to be one. Eric takes part in a fighting competition and is crippled and almost killed by Tong Po, and fearsome Kickboxer with a great rage and discipline. Kurt decides to avenge his brother, but no-one will train him as they believe Tong Po is too popular and strong. Eventually he finds a trainer in the middle of nowhere who teaches him to reach his full potential and push through the barriers which he never though he could surpass. He also meets Winston Tyler who provides some laughs, and Mylee who provides some style. Of course it is the fights that matter, and the revenge plot is safe enough to give the fights reason. Rather than cheap montages, we see the tough training regime Kurt goes through, and see Tong Po kicking a cement wall to build up the strength and invulnerability of his foot. Sounds odd yes, but how else would we know he's a hard lad? Anyway, a good film for fight fans, light-hearted and fast and worth watching.7.5 out of 10",7,8,9,5 May 2005
