movie_title,title,review,rating,helpful,total,date
The King's Speech," Excellent script
","The King's Speech is a lovely movie that is well worth your time. It could have been terribly plodding and dreary, but the writers inject so much wit and humanity into the story that it keeps you interested and entertained. It's possibly the best (the only?) movie made about public speaking,, and about people who are terrified of it. 
Despite being a 'nobody' Australian speech therapist, Lionel Logue (Geoffrey Rush) proves to be the perfect person to treat the stuttering King George (Colin Firth). As an Aussie, super persistent and confident, with an irreverant streak and with decades of experience, Logue is able to deftly analyse George's psychological barriers and figure out hiw to get around them.
Rush is typically brilliant in this role, but he's pipped by Colin Firth, for whom the King is the the role of a lifetime. 
Firth plays him as often whiny and needy. But in the end, unlike his playboy brother Edward (Guy Pearce) he did step up to lead the UK when it needed a steady authority. 
When the King is walking to the microphone to make his last speech, it's like he's walking to the guillotine. Lionel his therapist really seems to care and is not after some reflected glory.
As always, the sign of a good movie is the quality of the supporting cast, and here it's A-grade, including Helena Bonham- Carter as the King's wife, the wonderful Derek Jacobi as the Archbishop, and a sincere Timothy Spall as Winston Churchill.",7,0,0,26 December 2017
Whip It," A great movie
","I love this movie because It's full of heart. The world of roller derby itself is very interesting. But Shauna Cross's script is so witty and full of life that even if you don't know much about the sport, you follow the action easily. The cast is outstanding. Juliette Lewis and Kristen Wiig are two of the classiest actors around, and they obviously love their roles as two key roller derby players - very unconventional, gutsy women. Andrew Wilson, who plays the coach, is fantastic. Basically he's the butt of all their jokes, pretending to be tough when he's really a softy. Of course Ellen Page as the naive newcomer, Bliss, is outstanding. Few female actors get the chance to play such a spirited, smart character who goes on a genuine journey of discovery. And Page nails it. And as her very conservative mother, Marcia Gay Harden is great with a character who is flawed in trying to make Bliss something into something she's not -- a straightlaced debutante - but who is also someone Bliss still loves, and who wants the best for her daughter. Drew Barrymore does a great job both as director and as one of the roller derby team. Above all, even while there's a solid plot and lots of drama, Whip It never fails to entertain and make us laugh. And it tells stories about women, front and centre, which is refreshing. There should be more movies like this one.",8,1,3,4 December 2016
"The Adventures of Priscilla, Queen of the Desert"," A genuine classic
","There are many outstanding features in Stephan Elliot's legendary examination of prejudice and triumph relating to Australia's queer community. Firstly, of course, those incredible costumes by Lizzie Gardiner and Tim Chappell - you can't take your eyes off them. The lush colour and attention to detail is astounding. Next, the stunning landscape (although stunning seems an understatement) of outback Australia, with the light and perspectives used to amazing effect in every scene. The acting, with Guy Pearce, Terence Stamp and Hugo Weaving in the main roles, is impeccable. All of them inhabit their characters to such an extent that you forget they're acting. Terence Stamp, in particular, struck me as just perfect for his role. His character, an older transsexual, is brittle, yet witty and resilient, and later on shows she is supportive and empathetic of her friends. Guy Pearce gives an astonishing physicality to his role - he is so immersed in his character that he doesn't have to impersonate anyone, his IS the camp, flamboyant muscled up young drag queen. The role when he/she confronts the violent thugs chasing her in Coober Pedy is outstanding - it manages to be funny, disturbing, offensive, shocking and confronting all at once. The film's script is sharp and entertaining, although sometimes there is too much dialogue. Sometimes scenes are more like a play and the actors fall to reciting their lines, albeit with great wit. It's a very Australian film. There are many people who are encountered along the way who accept the three main characters, love them and help them, but also a lot of senseless hostility, and the film lays out those issues effectively. The film also shows how there are many grey areas with the characters, for example Hugo Weaving's character has a wife and child, and is conflicted in many ways in his sexuality. He's still working out who he is. He feels guilty and uncertain. It's a great portrait that the scriptwriters paint in his case. The films is amazingly assured and accomplished. A real landmark of Australian cinema.",8,4,6,15 November 2017
Black Swan," Dancing doesn't make you happy
","A rather intense, manic, over the top look at life inside an elite ballet's production of Swan Lake.
With all the bullying, jealousy, pressure to be perfect and no room to have 'a life', it's not that surprising that lead dancer Nina (Natalie Portman) is going insane.
She's certainly not happy, living with her crazy, suffocating mother (Barbara Hershey) who takes the hysterical Stage Mom role up several notches.
Mom still keeps her jewellery box and cuts her fingernails!
The piece is shot in dark, muted, claustrophobic corridors, studios and apartments and even though ballet as an art is supposed to be beautiful, there ain't much joy in Nina's life.
She's a nervous, flighty but technically perfect dancer, whose main problem is in convincingly trying to portray the coarser black swan twin in Swan Lake as well as she plays the role of the graceful white swan twin.
It's a crisply directed and written movie. The pace moves ahead at a rapid pace but there's not much respite from the doom and gloom.
Thankfully Mila Kunis, as boisterous new dancer Lily, who befriends Nina, provides some light relief.
Not really a movie for sweet ballet fans!
More of a dark indie drama.
I don't know exactly what it's trying to say - maybe that being an artist isn't all it's cracked up to be.",7,1,2,7 September 2019
Changeling," Wonderful film
","As director of this film, Clint Eastwood brings his passion for telling a story and his attention to detail. And it's an amazing true story that doesn't need any unnecessary effects added to it. Through cinematography and direction, the sense of menace and evil are very effectively put across, not just concerning the pedophile who calmly abducts and kills children, but from a corrupt police department that is more concerned about looking good and scoring political points than about the truth. John Malkovich is magnificent as the pastor who befriends the mother of the missing boy, played by Angelina Jolie. His character may be one of those media savvy, loud and crusading religious leaders, but you get a sense his heart is in the right place, and his speaking out, in this case, is effective in pointing out moral wrongs. Jolie is a little too glamorous to play the part of the grieving mother, I feel, but she does bring a certain quiet sorrow and empathy to the role. She is serious and committed to the character.",8,2,3,3 July 2014
The Sound of Music," Leave your cynicism aside and enjoy
","The beautiful music is at the heart of The Sound Of Music. Richard Rodgers' gorgeous and varied melodies, and Oscar Hammerstein's exquisite and witty lyrics don't just dazzle you - they move the story along. Even Eidelweiss, such a simple ballad, is a gem. The Sound Of Music is a wonderful (kind of) true story: a nun, Maria, wins the hearts of a sad, strict widower and his seven children who she is sent to mind as governess. It's a classic look back at the sadness of exile and oppression, the triumph of goodness over evil and the joy that just one woman, Maria, makes in people's lives. As Maria, Julie Andrews has great chemistry with Georg von Trapp (Christopher Plummer). The child actors are great. The choreography and the script are both a bit regimented - probably because this was a polished stage show before the movie. Overall, this is one of the classic movie musicals, possibly the best ever.",9,1,1,22 March 2020
Catch Me If You Can," An enjoyable film
","I loved Frank Abagnale's autobiography so I was worried what Steven Spielberg would do with the film, given he's known for giving his subjects the big Hollywood treatment. I was pleasantly surprised - I guess Abagnale's incredible true story suited the big treatment. Leonardo Di Caprio accurately captures Abagnale's immaturity and impulsiveness, disastrously combined with his fierce intelligence. He becomes a master con man living out every fantasy, as a pilot, a lawyer, a teacher, and even a doctor, and manages to swiftly dodge the consequences for years. It's comical, in a way, seeing the sheer audacity and inventiveness of the man. I love the scene where he strides across the airport with the air hostesses in their chic suits. It's funny to see how trusting and gullible companies such as banks and airlines and hotels were in the 1960s, and Frank just exploits it to the hilt. But also, as in the book, we see how terribly sad Abagnale is. In the end he has only his wits to live on, and it can't last if he's going to live a normal life. Things I don't like include how overblown the music score is. I hate it when the music tells you how you're supposed to feel in a scene. I don't like Tom Hanks as the detective -- he's too much of a clown. I love Christopher Walken as Frank's dad, also a bit of a sad character. Also the film does go on a bit long, but then there is a lot of Abagnale's life to squeeze on to the screen.",7,1,3,2 March 2015
Rocketman," Great depiction of an amazing life
","I had reservations about this film - Elton John himself and his husband David Furnish are producers, so I wondered, would it gloss over the tough and less savoury bits? I guess I don't know enough about the real story to say, but it did come across as a genuine and heartfelt yarn. And it's also an amazingly entertaining film - an element that too many biopics forget about. The director, Dexter Fletcher, and the writers take a risk in staging many musical and fantasy scenes, but in the end, they are very effective in telling the story in perhaps a more interesting way than a more conventional, linear film. Taron Egerton is fantastic as Elton. Chiefly, he has the energy and the vulnerability to portray the roller coaster of emotions Elton goes through, while he convincingly pulls off the showman element.
Although Elton is a superlative soul singer, which would be almost impossible to emulate. One of the cores of the film, to me, is the 'love story' of Elton's friendship with lyricist Bernie Taupin (Jamie Bell) who is frankly the most stable, rational, constant presence in Elton's life. It's kind of lovely. The second element that stunned me was Elton's abusive parents, Sheila and Stanley. The characters, played with devastating iciness by the under-rated Bryce Dallas Howard and Steven Mackintosh, manage to damage, but not stop, their talented son's rise to fame through their lack of love and the mum Sheila's assertion, when she learns Elton is gay, that he'll probably never be loved by anyone. Her reaction to Elton's struggles with drugs is to ask that he pay her to move far away, so she doesn't have to cope with the terrible newspaper headlines. His Dad, meanwhile, starts a new family and heaps love and affection on his young sons, while not showing any signs he wants Elton in his life. They are two devastating portrayals, and the real life pair are no longer alive to defend themselves. But if true, it makes Elton's success even more well deserved and hard earned.",8,4,7,2 June 2019
A Star Is Born," Not as bad as La La Land, but not great
","I am not a Brad Cooper fan. But I do admire his courage here in playing a musician - and singing - and also directing this movie. And I also admire Lady Gaga, who is best known as a musician, for this major foray into acting. She does well. That said, this is not a great movie. For a big Hollywood production, it wasn't as bad as La La Land. It did have more of a story, and fewer gimmicky set up scenes. I like the idea that Ally (Gaga) is discovered in a completely random way when rock star Cooper stumbles into a gay bar she's performing in. I'm not convinced that, being such a bold cabaret performer, Ally would be terrified when Cooper invites her to perform her song with him on stage at a rock festival. She'd love it! Gaga's song, Shallow, is excellent and deserved the Oscar for best song. Cooper sings it well with her. The rest of the movie is pretty average. I wasn't emotionally engaged with it. It was more a melodrama.",6,1,2,15 May 2019
Argo," Not good enough
","The great production design is the best thing about this disappointing movie, which falls well short of expectations. The emotion is so muted it's non-existent. No one seems to show fear. On most actors' faces, it looks like passing indigestion. These are people facing imminent death!! The poetic licence taken with the real events is very disappointing. Why ignore the fact the Canadians were the ones who in real life sheltered the escaped US embassy staff? It's wrong. The plot, obviously, is thrilling, so why does the script plod so much? For once, the soundtrack is not intrusive enough, it doesn't help build tension. The dialogue between the fugitives is mostly flimsy. Their characters aren't clear. John Goodman is a great presence as the Hollywood special effects man. The Hollywood producer is great, too. Ben Affleck doesn't have enough gravitas as the CIA hero who goes undercover as a movie producer in Iran. He must have been too tired to think about acting. The visual look of the film is one positive - the clothes, hair styles and furniture are all beautifully restrained and look authentic.",5,3,4,18 March 2015
The Notebook," Not as bad as it could have been
","I stumbled on this movie on TV late at night and thought: 'Oh, no, this looks really cheesy.' But I kept watching (there wasn't much else on) and I think the acting really elevated this to something meaningful. Gena Rowlands, as Allie, the elderly, southern belle with dementia, is a real standout in her role: one minute sharp and wise, the next minute not recognising her own children. It's a really meaty role and Rowlands really runs with it. Rachel McAdams, also, throws everything into her role as the younger Allie, who must choose between two lovers -- whether to follow her heart or her head. It's a role that, under a lesser actor, could have been really pedestrian. But McAdams reacts and acts, rather than just reciting the lines and looking pretty. The scenes are sharply edited and the music isn't too overwhelming. The scenery is gorgeous and the costumes beautiful. Apart from the raunchy love scene, it's quite an old fashioned movie. Overall, it's good entertainment, and I even found myself bringing out the tissues at the end.",7,0,1,17 August 2013
