movie_title,title,review,rating,helpful,total,date
Kill Bill: Vol. 2," Tarantino really is a maserful filmmaker
","My Rating: **** out of ****. Quentin Tarantino's Kill Bill films can take their place as one of the best series in the history of film. Kill Bill Volume 1 and Volume 2 truly highlight(even more than his other films), how much he loves movies. These two films show his mastery of the medium. With these films, Tarantino is basically taking everything from the movies (or maybe the genres) he loves and mixing them together to form something fresh, which he has accomplished.However, Tarantino's two films are radically different in tone. Volume 1 was a masterful kung-fu homage with some spaghetti western thrown in. That film showed that Tarantino was skillful in crafting action sequences and creating his most visually stunning film yet. It was a masterpiece and an instant classic. Kill Bill Volume 2 is something different. Its mostly a spaghetti western with a little kung fu thrown in. While Tarantino shoots some great action sequences here, Volume 2 is not as concerned with action as its predecessor was. Instead, this film focuses on characters, dialogue and an emotional impact. Out of all Tarantino's previous films, Volume 2 has more in common with the underrated Jackie Brown than Volume 1. Both films slowed their pace in order to develop their characters and both were going for a more emotional impact than any other of Tarantino's films. Volume 1's main purpose was to be a great thrill ride and give us a glimpse of things to come later on in the story. Even though Volume 2 is more concerned with an emotional impact, it still has some thrilling scenes. There is a scene where The Bride is buried alive that is brilliantly filmed and as a result gives off a claustrophobic feel. We feel like were in the coffin with the bride. Also, the fight sequence between The Bride and Elle Driver is an exhilarating sequence. It may not quite be up to the final battle in Volume 1, but its damn close.Another individual who deserves a lot of credit in making these films is Cinematographer Robert Richardson. Richardson's work on Volume 1 was just gorgeous and while is work here isn't as impressive, he still shines. The style is more subdued here but Richardson's camera-work during the Bride/Elle fight scene is terrific. He is also able to recapture the look of old kung fu films in one brilliant sequence (The Bride's training sequence with the treacherous Pei Mei). Richardson's work on these films is brilliant and he should get more credit. Now we come to the emotional part of the film. The Brides quest is finally coming to the end. She is in Bills apartment about to shoot him when something unbelievably shocking is revealed to her: Her daughter that she believed was killed when she was shot is alive. the look on The Brides face is truly heartbreaking. The sequences with her and her daughter are touching. This is what she started killing for and now she has what she thought she lost four years ago. Then there is the Bill/Bride situation. Oh I forgot to mention, she has a name: Beatrix Kiddo. The fight sequence at the end between them is more words than action. It isn't extremely satisfying on a visceral level but it is satisfying on an emotional level. These two no matter what they did to each other still cared about each other and a huge, epic battle would have cheapened their feelings for each other. The acting is outstanding in all corners. Uma Thurman is just brilliant in this role. She shows the Bride was a more complex woman than we were lead to believe. Whether she does get an Oscar Nomination or not is in question, but she deserves it. Michael Madsen turns in truly spectacular work too. This man is not some fodder for her to kill, his Budd is also more complex than I expected. Daryl Hannah is marvelous here. She plays against type as a cold, ruthless killer. Hannah removes all image of her nice girl roles here. The standout is definitely David Carradine. Carradine is just sensational here. He opens Bill up, this is not some cartoonish figure with shallow motivations. He comes across as a real, deep person. Carradine deserves not only a nomination for his work, but the Oscar. Kill Bill Volume 2 shows Tarantino at his best. His direction is flawless and he is back to writing dialogue. His dialogue here, while not 'classic' Tarantino, is solidly written. Overall, Volume 2 is equally as accomplished as Volume 1 and these two together are a masterful saga.",10,0,1,15 November 2004
Kill Bill: Vol. 2," A Very Difficult Film to Review
","My Review: ***1/2 out of ****.SpoilersWhen I wrote my review for Kill Bill Volume 1, I said I would raise the rating to a 3 1/2 if Volume 2 completed the story in a satisfying way. Well it did it in a much more than satisfying way. Volume 2 is a compelling film with many scenes of greatness. So many that in fact they almost erase the small sense of dissatisfaction(more on that later).Volume 2 is a different film from Volume 1. Volume 1 was a kinetic, stylish, kung fu gorefest homage. Volume 2 is a slower, talky film that has more in common with spaghetti westerns than kung fu. Its still a stylish film but the action and the violence are toned down.In terms of action, it was unlikely that anything in Volume 2 would top the Crazy 88 Gang Fight in Volume 1. However, the fight between The Bride (or her name is Beatrix Kiddo) and Elle Driver comes close to matching it. Its a brutal, exhilirating fight that is masterfully directed and ends with a hilarious moment. This is just one of many great scenes.
Stylistically, Tarantino does a lot with this film (arguably more than he did with Volume 1). He uses a split screen during the Elle Driver fight. He changes the theatrical ratio during one scene(Im not sure I have ever seen that done before). Tarantino also does a bunch of extreme close ups (ala Sergio Leone). Once again, he shoots some scenes in Black and White (Including the opening which is brilliant). However, there is one scene that really deserves mention. That is the scene in which the Bride is first placed in the coffin and buried alive. When shes being buried alive Tarantino uses black and white which makes the scene extremely uncomfortable (as it should be). Than he switches to just total darkness. The scene is brilliantly filmed and it is just another great scene in Volume 2.
Now we come to Volume 2's most obvious strength: The Performances. Uma Thurman was terrific in Volume 1 (she deserved but did not get an Oscar Nomination). But its her performance in Volume 2 that proves she is one of the best actresses working today. The character is developed much more in Volume 2 and Thurman proves she is more than up to the task. Its a more emotional performances and Thurman nails it. She better get an Oscar Nomination this year.Thurman isn't the only one to turn in a top notch performance. David Carradine matches her scene for scene (although he does have less screentime). Carradine also develops Bill into a more complex individual. Bill isn't an evil, over the top individual. Carradine shows us the human side of Bill. Tarantino originally had Warren Beatty in mind for the role, but I can't imagine anyone doing a better job than Carradine.
The supporting performances are also top notch. Remember Daryl Hannah? The sweet, shy actress who played innocent characters like the mermaid in Splash. Well theres none of that here. Hannah is frighteningly evil as Elle Driver. Michael Madsen also does an excellent job as Budd. Gordon Liu is a standout in an interesting segment of the film, he plays the person who trained Beatrix.I will not deny that Volume 2 strengthens Volume 1. It fills in the holes. However, Volume 2 has some weaknesses of its own. First of all, like I mentioned, this is a talky film. But no one in their right mind will confuse the dialogue in Volume 2 with Tarantino's Pulp Fiction. The dialogue in Volume 2 is occassionally bland which causes some scenes to drag. I wish Tarantino would have shortened the film just a little. I mean there are some memorable lines ('Roar and Rampage' monologue for example) but just don't expect Pulp Fiction-type dialogue.Put separately, I would say for right now, the two films are equal. They are both compelling films with many great scenes but there is still a small sense of dissatisfaction. If Tarantino puts the two films together and possibly cut a few scenes from both than he could have a masterpiece on his hands, just like he did with Pulp Fiction. For now, I stronlgy recommend Volume 1 and Volume 2 but I would just love to see them together.",10,0,1,23 April 2004
Alien 3," The Weakest Of The Four
","My Rating: ** out of ****. Alien 3 is a big disappointment. There are many flaws in the film plus one possible plot hole. Many will argue that Alien: Resurrection is worse, but I found many more aspects of that better than Alien 3. The first problem with this movie is the story is basically a rehash of the first Alien. The only difference is that Alien was much more effective. The story is in no way thrilling at all. Also, the tagline for the film 'On Earth everyone can hear you scream'. What the hell? This movie doesn't take place anywhere near earth. Another problem is the characters which are really poor. I know I did complain about some of Alien's characters, but they were ten times more interesting and likable compared to some of these characters. There are basically too many characters, its obvious there just here to get killed. One of the only characters to have a personality is Charles S. Dutton's characters, but when he talks he sounds more like a reverend. We do not need religious people in an Alien film. It doesnt fit at all.
The film does contain good visual effects, one of its strengths. The film also has a dark atmosphere thats suitable. It also has some style by director David Fincher, I liked his point of view shots of the Alien. I also liked the ending, it was the perfect way to end a disappointing film. Unfortunately, these are just about the only strengths Alien 3 has.
The action scenes werent that suspenseful. The scene where The Alien pins Ripley against the wall was the only part I felt that was suspenseful. The other scenes I just didnt feel anything. Something else I found disappointing was the killing of Newt and Hicks. I cared much about those characters and they just kill them off here. Overall, Alien 3 is worth watching just to see all of the films but other than that its really disappointing.",5,524,597,20 September 2003
Miracle," Worth Seeing If Only For Kurt Russell's Performance
","My Rating: *** out of ****. If anyone wants to watch something uplifting, Miracle will certainly do the trick. While watching the film, I found it impossible not to like it. This is a well-made film that is a definite crowd-pleaser. The first thing Miracle has going for it is Kurt Russell. Russell has had an uneven resume and from what i have seen, this is easily his best performance(although I have yet to see Dark Blue). Russell's performance as Herb Brooks is compelling and intense; it's one of the best performances I have seen this year. No one else in the cast comes close to Russell's performance. The actors who play the hockey players are effective because their not well-known (I heard they were hockey players but I'm not sure). However, Patricia Clarkson (who did nice work in Far From Heaven)is only adequate as Brook's wife.
The director, Gavin O'Connor, deserves a decent amount of credit. The climactic game is brilliantly filmed. The other scenes on the ice are also compelling. The only time the pacing actually seems off is in the beginning and the scenes between Brooks and his wife.Miracle is definitely a film worth seeing. Like I said, it's a film that is hard to dislike. Miracle is just an uplifting experience.",8,0,0,23 April 2004
Star Wars: Episode I - The Phantom Menace," Not Quite Up To The Original Chapters but I liked it
","My Rating: ***1/4 out of ****. Yes, The Phantom Menace is a flawed film but in no way does that make it bad. Its quite entertaining and visually stunning. George Lucas finally made the movie after 16 years apart from Return Of The Jedi. I know why some people are disappointed but I didnt mind the film at all.
The acting is fine but I have a few complaints. Liam Neeson is quite good as Quigon, its in no way up to what the actor did in Schindlers List but its a good performance. Ewan McGregor is also good. Natalie Portman is fine, but she doesnt seem to have much to do here. Jake Lloyd is occasionally annoying but overall I think he does a credible job as young Anakin. Samuel L. Jackson has a brief but memorable role. Ahmed Best provides the voice for Jar-Jar Binks, and he makes the character so annoying, I think they should have reduced the character's screentime. The Best Performance comes from Ray Park who plays Darth Maul, he doesnt require as much acting as the others but he has one hell of a presence and has the right looks for the part. One of the disappointing things about this movie is they kill him off in the end.Star Wars was never known for having a grade A script, the script isn't weak here but occasionally has some bad dialogue. I like the way how Lucas planned everything out in this film, some scenes maybe be a bit familiar at times but are overall still satisfying. The ending is great, it does echo the ending of the original Star Wars a bit but the images are great looking and you see a connection between the characters. However, the script nor acting are not the most important things about this film, the special effects are. The Special Effects are quite brilliant, the pod-race is phenomenal and exhilirating. An underwater sequence is absoulutely beautiful. Lucas is known for applying great special effects to his films and he succeeds here. The Phantom Menace maybe flawed but it is certainly not a bad movie, it is enjoyable. It is in no way up to the first in the Original Trilogy but nevertheless provides a good start to the prequel trilogy.",8,1,3,17 September 2003
The Ring," I dont care what critics and people say, I Liked it
","My Rating: ***1/4 out of ****.When The Ring came out I wasn't sure if I would like it or not. To my surprise, I did end up liking it. It also gave me some pretty good scares.
The acting is good in the Ring, surprisingly. Naomi Watts does a good job here. Brian Cox has a pretty good cameo. The kid was really my only complaint dealing with the acting, he just came off like a rip off of Haley Joel Osment's performance from The Sixth Sense. The Ring represents Gore Verbinski's best work as a director, though there was one shot that maybe a ripoff of Rear Window. The dialogue is fine, though the TV conversation was a little strange and not in a good way. The Ring has some chilling scenes and some pretty scaring, disturbing ones. The film is pretty atmospheric, theres pretty much a sense of atmosphere throughout the movie. There are questions unresolved in The Ring. I'm hoping they will be resolved in the upcoming sequel. You still wonder when The Ring is over, like Where did it come from? But nevertheless, The Ring is an entertaining and thrilling experience.",8,1,1,12 September 2003
Minority Report," Very Good but the ending is kind of a Copout
","When I first heard about Minority Report I thought its going to suck really bad. When I saw the preview it looked Decent. Its safe to say this movie was more than decent. It was actually Very Good. Minority Report is filled with memorable scenes, that include some fantastic looking Visual Effects. The movie has kind of an acid-type look to it. Makes the movie look kind of dark because it is a dark story. The Sets and Cinematography in Minority Report are excellent. The movie is well directed by Steven Spielberg, who has made 2 movies in 2002. The acting is pretty good. Samantha Morton gives the best performance of the bunch, playing a precog named Agatha, she does her best job to play a not so normal woman who can see murders happen before they even appear (sorry I cant elaborate more I just dont want too). Colin Farrell is also Great. Tom Cruise is alright but its one his performances thats kind of forgettable.
The one major flaw in Minority Report is the Ending. The movie moves so fast at a perfect pace, that when you see the ending you fell a bit cheated. Minority Report would have been a Great movie if it wasnt for that ending. Though, its still very good.",9,0,0,28 May 2003
Chinatown," Pretty Much A Masterpiece
","When I first saw Chinatown I was a little hesitant to call it a Masterpiece, but in fact it is one. It has Great Directing by Roman Polanski, Brilliant Acting, and a very well written Original Screenplay. Just A Masterpiece.Jack Nicholson is brilliant as J.J. Gittes, a very serious private Investigator. Faye Dunaway is very good as Evelyn Mulwray, the woman Gittes is on a case for. Dunaway as one scene in the end where shes truly great. John Huston gives a pretty good performance too. The movie is very well written there isnt a thing wrong in its screenplay. It has a hard ass ending that completely fits and could never be changed, like Robert Towne wanted it to(writer of the movie), or it wouldnt feel right or look right. It would have been a copout. 10 out of 10.",10,1,3,2 June 2003
The Big Lebowski," Its funny but also a mess
","My Rating: ***1/4 out of ****. I consider myself a fan of the Coen Brothers, I loved both Fargo and Raising Arizona. I found The Big Lebowski to be entertaining but it had a convoluted storyline. Does This make it a bad movie? Absolutely not, and this is because of the wonderful dialogue the Coen Brothers have provided for us.
The acting is one of the strengths. Jeff Bridges is absolutely perfect as The Dude. John Goodman is hilarious as Walter. Steve Buscemi really doesnt do much except get insulted by John Goodman. Julianne Moore takes a different kind of role and does well. To enjoy The Big Lebowski, you must do one thing: Forget the plot. You will hate the movie if you try to figure out the plot. It is a mess of a plot. At one point it gets incoherent, but that scene is one of the best in the film.
The Big Lebowski is not a masterpiece, in fact its even really far from a near-masterpiece stature. But it is highly entertraining and it will calm your nerves after seeing a movie called Requiem For A Dream.",8,1,3,7 September 2003
Monster," Charlize Theron totally elevates this film
","My Rating: *** out of ****. Give her the Oscar already. It is so obvious that Charlize Theron will win the Best Actress Oscar in 26 Days. Not only because she is a pretty girl that was able to look ugly. But it is because her performance is absolutely powerful. From beginning to end, she is Aileen Wurnos.
So what about the rest of the film? Well, Monster is an effective and compelling film. However, the reason it is effective and compelling is for Charlize Theron. Without Theron this movie would be ok at best. I found the script to be mediocre. I really felt that Charlize made the film into something worthwhile. One of the problems with the film is the Theron's voiceover. When used at the beginning it is fine. However, it seemed rather pointless and distracting the rest of the time. Her voiceover at the end came off a bit corny. I should praise the make-up crew. Charlize was unrecognizable, although I never found Aileen to be a hideous looking woman. She was no Charlize but still I found her to be an overweight but somewhat attractive woman.
The only other actor to have significant screentime is Christina Ricci. Ricci does gives a good performance but she is completely upstaged by Theron. However, they do exhibit some chemistry together. The rest of the cast was forgettable, well Bruce Dern was sort of memorable despite not much screentime.This is the debut film of Patty Jenkins. She was the writer and director of the film. Her screenplay is not remotely interesting and her direction is fine at best. Her job was to make sure that the film was never boring and to make sure Charlize completely WOWED us. She achieved those well(She may be able to do more on her next project). Monster is certainly not one of the years best films and without Charlize this film would be mediocre at best. However, Charlize elevates this film to a higher level and she has 26 days till she receives her Oscar.",8,0,0,1 February 2004
