movie_title,title,review,rating,helpful,total,date
The Benchwarmers," Ain't exactly All-Star material, but good enough for a few minutes off the sidelines
","Right upon seeing the trailers of the film, I have always thought that it would be another one of those Adam Sandler-produced films with Rob Schneider among the leads. It is; although to some extent, I found it entertaining, albeit not hilarious in a roll-on-the carpet sort of thing. As has always been said, it's good for a few laughs and that's far more than I can say for most comedies I've seen this year (although one can argue that it could be just because I was having a pretty bad morning). It's oodles of sophomoric gags and potty humor (as expected) but they managed to pull it off. The material is so ludicrous that on paper it's hard to see how enjoyable it can be, especially since you know how it's going to start, how the plot will be driven, and how's it going to end. But, so help me, I ended up liking the end product.The movie starts with nerdy Nelson playing baseball with his friends on a diamond when a team of bullies picks on them. Landscape artist Gus (Schneider) and newspaper boy Clark (Jon Heder), who happens to be nearby, chase the bullies away. Together with Richie (David Spade), the three of them play ball but soon, the bullies return demanding that they leave. Gus challenges them for the right to the field, and the three friends win. This impresses Nelson's father Mel (Jon Lovitz), a billionaire, and subsequently holds a single round-robin wherein their team, The Benchwarmers, will battle it out with all the little league teams in the county, for the right to a new multi-million baseball park he's built. Yeah, right.Granted, pratfalls aren't necessarily a constant source of humor. But somehow I had this perverse pleasure from watching Heder's clumsiness and Spade's deadpan humor during their training with Reggie Jackson himself, and the actual games. Heder's Clark character hits the same spaced-out note as he always does, but he's still pretty funny in a non-irritating way. Schneider is laid-back here, which goes against his usual style.The real surprise, however, is that a movie with such obviously low intentions would play its cards right with director Dennis Dugan and writers Allen Covert and Nick Swardson managing to keep the film from being a total frenzied hodgepodge of witless humor whose only purpose of being there is to stretch the running time. There's nothing groundbreaking about it nor it is something special that you should rush to see it in theaters. But I found it entertaining and I had no regrets seeing it. Then again, I was having a bad morning so I may be wrong.",6,0,0,31 May 2006
Angels & Demons," The Bernini Code
","A lead character sporting a better hairdo doesn't translate to a better conspiracy theory film as proved by 'Angels & Demons', the follow-up to the ludicruous 'The Da Vinci Code', where Tom Hanks reprises his role as the renowned symbologist in a race against time to follow clues and solve riddles to prevent a catastrophe from happening. Based from the first novel by Dan Brown to feature Harvard Professor of Symbology Robert Langdon (an Indiana Jones clone with less charisma), Ron Howard's second go at pseudo-erudite actioner succeeds only insofar as being consistent with its cinematic predecessor's mediocrity, with the age-old science-versus-religion theme depthlessly glanced at in lieu of the turgid plot and uninspiring chase scenes around the churches of Rome and Vatican City.Actually a prequel of 'The Da Vinci Code' novel, the events in 'Angels & Demons' is set after the events of the 2006 blockbuster where Langdon, now in antagonism with the Catholic Church following his Parisian saga, finds himself in the middle of another predicament when the Vatican summons him to help them in locating the whereabouts of the Illuminati, a supposedly mythical group of freethinkers that has vanished centuries ago but has apparently re-emerged shortly after the Pope's death to murder the four would-be successors to the Papacy, and blow up Vatican City in the process using an antimatter bomb stolen from the elite science lab CERN in Switzerland. With her is the obligatory female sidekick Vittoria Vetra (Ayelet Zurer), a scientist who worked on the bomb, and together they perfunctorily locate Bernini statues among the churches in the vicinity to save the Church from an old enemy.Lecturing and pontificating, 'Angels & Demons'' greatest fault nevertheless is not its ambivalence towards its contrasting themes -- despite being dealt so clumsily -- but in its underwhelming routine setpieces, as exemplified by its riddles so cursorily presented and hastily solved that they appear less the plot's selling point than mere reconsiderations to an otherwise by-the-numbers narrative that seems to take longer to go its obvious twist. Maybe Dan Brown has seen way too many classical art.",5,12,22,14 May 2009
Walk the Line," Ladies and gentlemen, Johnny Cash!
","Johnny Cash gets the big screen treatment a year after Ray Charles. I must admit, though, that initially I had reservations about this film. Honestly now, I feel that it's very much the kind of film we're subjected to every now and then. You know, that based on a true to life story of someone who rose to top after being down that's bound to jerk the tears out of you.So somehow I entered the theater having the wrong expectations but went out getting a different impression. Yes, considering its Hollywood nature, it can be manipulative at times and it still has to follow a certain formula, but director James Mangold ('Girl, Interrupted,' 'Identity') manages to make 'Walk the Line' more than its narrative of a celebrity who stumbles and rises up again. It's a film featuring superb performances and some nice crooning.As I've said, 'Walk the Line' is the story of Johnny Cash (Joaquin Phoenix). It follows his childhood days in rural Arkansas, through his early music career, through his obsession with future wife June Carter (Reese Witherspoon), and through his inevitable downfall.Of course, the thing with biopics is that if you've seen enough of the genre you'll presume you'll know how the story will unfold up until the credits and then you can figure out the theme of life-affirmation. But that's hardly fair with the point of the movie. The film is about the character of Cash and how his humanity has failed to cope with everything that's happened in his story. Mangold and his co-writer Gill Dennis brilliantly stayed faithful to the story of the man they were paying their respects to.'Walk the Line' is set in the post-World War II era, with culture in general and music in particular experiencing a great transition. It's underlined with a cinematography that borders on retrospective. There's one gorgeous shot during one of Cash and his band's performance which I think was done somewhat in high contrast, and it added a touch of sophistication and subtlety to the scene. It's this great use of technique that gives the film its emotional impact.Of course, no review of the film is ever complete without saying something about the performances of the leads. Honestly, I think this is Phoenix's best performance to date. His authentic portrayal of the legendary singer is complemented with great crooning and such a delicate tenderness. Witherspoon's performance gives soul to the film, and her understated voice is a joy to listen to. She proves how talented actor she is and that she's more than the roles she usually plays.In the end, I liked it. It's still formulaic, but not in the same vein as most of its predecessors have gone through. Fans of Cash may be glad to know that Mangold has brought them their idol's time of his life with a film filled with nice writing, brilliant direction, and great acting and singing.",8,4,6,1 February 2006
The Incredible Hulk," More blam, less blah
","I may be in the minority here, but I did like Ang Lee's take on 'Hulk'. I appreciated how it chose to be introspective and how it traded off much of the action for character study of a tortured individual. But I also know that such attempt, however earnest, seems more at home with art theaters and film festivals (or at least with late year releases) than with mainstream theaters in summer packed with audience looking for nothing more than a big popcorn movie. Thus, this immediate reboot of this Marvel comic book franchise.Now helmed by 'Transporter' director Louis Leterrier, 'The Incredible Hulk' completely ignores the existence of the 2003 film - heart, introspection and all - and goes for a more action-packed route. It's what fans are clamoring and the film delivers in that regard - it's definitely bigger, faster, and stronger.Edward Norton now plays Bruce Banner, a scientist who exposed himself to gamma rays during an experiment gone awry, and now turns into a rampaging green giant when angry or overexcited. Now he's on the lam because the father of his flame Betty Ross (a wooden Liv Tyler), General Ross (William Hurt), wants what's inside of him to build a team of superhuman soldiers. When General Ross tracks Banner in a Brazilian shanty town, he sends eager test subject Emil Blonsky (Tim Roth) to chase Banner and bring him back. More colossal action scenes and nods to the Marvel Universe ensue.Despite the low risk approach and a pretty much straightforward plot line, 'The Incredible Hulk' has its merits. The film clocks in at less than two hours and for most of its running time, it manages to be entertaining. The CGI is serviceable and Edward Norton is fine as Bruce Banner, though with the script's lightweight treatment on his character, much of the inner conflict is gone and non-action scenes are more of obligatory fillers Leterrier and screenwriter Zak Penn are too eager to be done with. Incidentally Norton, who is reported to have done rewrites with the script, is unhappy with the final cut, but then...I'm not going to be hypocritical and say the absence of profound inward contemplation made the film less enjoyable. It does, to some degree, but all things considered, 'The Incredible Hulk' has everything a fan of the series could ask for a summer movie: more smashing and less talking.",7,2,5,13 June 2008
Mission: Impossible III," So what is the 'rabbit's foot' anyway?
","'Mission: Impossible III,' the latest installment of the blockbuster movies which in turn were based from a TV series, is for those looking for a way to start off the summer season at the movies. Here is a movie filled with action and nothing more. There are the usual: Tom Cruise running and getting banged up, high degrees of improbability, explosions, gadgets, the whole shebang. Still, 'M:I:III' is a fast-paced thriller that manages to get hold of you for the 120-minute span of its running hour and never lets go.After retiring as Impossible Missions Force (IMF) team leader to lead a 'normal' life with his fianceé Julia (Michelle Monaghan), Ethan Hunt (Cruise) returns to the team to help recapture criminal arms dealer Owen Davian (Philip Seymour Hoffman) who has escaped from prison and is now making life difficult for the IMF. As for Hunt, his encounter with Davian has upped the ante for him: he not only has to save the world now, he also has to save the woman he loves. Cruise (either you love him or you hate him) still fits into his role well, and Hoffman, who has just won an Oscar for his portrayal of Truman Capote, also effectively displays a chilling seriousness to his villain role. The rest of the cast - Billy Crudup, Ving Rhames, Maggie Q, Michelle Monaghan, etc. - all give nice performances.It's a given that this film would offer little in terms of intellect or depth in the script. Yet the way director J.J. Abrams and his co-writers injected humor and emotions, plus how its action scenes were superbly handled, save 'M:I:III' from becoming just another passable popcorn movie which is why I liked it. It is a film intended solely for the purpose of escapism and it achieves that purpose. Although there is a feeling that it could have been more, it easily surpasses the first two 'M:I' in an explosively stylish way.",8,282,432,3 May 2006
Marie Antoinette," Hollow sweetness
","Sofia Coppola's 'Marie Antoinette' is, to some extent, the equivalent of having a plateful of fancy cake for the entrée. It's delectable up to a point, and then it's gastronomically exhausting and you're left craving for the real meal following an induced sugar rush.Based from Antonia Fraser's biographical account of the French Queen, the film follows Austrian princess Marie Antoinette (Kirsten Dunst), who at 14 is sent to France to marry the dauphin Louis XVI (Jason Schwartzman). Detached from those around her and confused by her situation, Marie soon is thrust into a world of scandals, including one with King Louis XV's (Rip Torn) mistress, Madame du Barry (Asia Argento). Upon the king's death, her husband ascends to the throne and she soon goes on a shopping spree, subsequently becoming France's leading fashion icon, while the rest of the country is left to complain of this royal overindulgence. And rumors just grow more rampant. Like why she and King Louis XVI can't have a child, and her alleged affair with Count Axel von Fersen (Jamie Dornan).'Marie Antoinette' works well as a visual feast as it employs authentic subset of the Versailles environment fortified by the deluxe production design and glazed cinematography. Another intriguing aspect of the movie is its anachronistic soundtrack that blends 80s New Wave with Baroque music. It's a far-out approach to a period piece that might have turned off a whole lot and could have played a major part for the boos.Still the non-conformist style of film-making works as the film plays out as less than a history lesson or a social commentary than a testament of the director's apparent attraction to confused female characters thrown into isolation. The main problem of this film, though, is that ironically, while Coppola tries so hard to put the main character in a subjective light, the exposition leaves much to be desired emotionally. After the first hour, the movie drags and becomes hasty with less historical discourse. Ultimately, the film becomes anticlimactic.Nevertheless, Dunst perfectly captures both her title character's inanity and restraint. Likewise, Schwartzman achieves in providing an introverted awkwardness to the inert King Louis XVI. And in a cast dominated by underused characters, few barely stand out, like Argento, Torn, and Steve Coogan as th Austrian diplomat Count Mercy d'Argenteau.'Marie Antoinette' had the potentials of a great film if the main character had just been fully realized underneath the sweetness of it all. An occasional cake indulgence sounds good but too much of it just isn't enough.",5,0,0,1 November 2006
United 93," Taut drama that's as brilliant as it is disturbing
","There could hardly be a film more distressing to watch than Paul Greengrass' 'United 93,' the writer-director's cinematic cogitation on the grim events that unfolded in perhaps the bleakest day in America's history. It certainly isn't an easy subject for Greengrass to tackle, or for any filmmaker for that matter, especially considering the post-9/11 sensibilities of the audience. But the director of such films as 'Bloody Sunday' and 'The Bourne Supremacy' delivers the story of that day in a no-nonsense manner giving the film its brilliance, yet ironically also making it hard to bear.On September 11, 2001, four American commercial planes were hijacked as part of a coordinated terrorist attacks upon the United States. Two hit the World Trade Center in New York, and one hit the Pentagon. The fourth one, the United 93, crashed in southwest Pennsylvania, over a hundred miles off the target - Washington, D.C. - as passengers and members of the flight crew tried to fight the hijackers and regain control of the plane. Of course, in the end no one survived and it's what makes the film all the more harrowing.Greengrass' direction is virtually flawless. He paces the film in a way where amidst the constancy and familiarity prior to the events is a building of trepidation when the horrific events start to progress as soon as the cards are laid and all bets are off. It's heartbreaking as it develops, yet still holds our attention even if we already know the tragic fate that awaits. The director's trademark hand-held camera-work underlines the confusion and chaos that reverberates throughout the film, which is shot in a pseudo-documentary style. As he stages each act, he not only lets us see what happens; he brings us there and then. The scant use of music and the fluidity in presenting scenes from FAA headquarters, air traffic control in various cities, and from United 93 itself, contribute to the atmosphere enveloped in paranoia.The script has also taken the right approach in presenting its characters, for in matters such as this, ambiguity is more effective than providing absolutism. Greengrass generates sympathy for the doomed airplane passengers without a mawkishly sentimental effect. We know just enough of these people for them to remain ordinary in spite of the circumstance. Of course the decision to cast mostly unknown actors help in creating the tension. The cast members' subtle performance are genuinely gripping and as we delve into their characters' despondency, we sympathize with them. We feel their fears. By the time the end abruptly comes, so do we realize how fleeting life was for these people.'United 93' is an excellent film. It is more of the director's somber rumination of the events rather than a solid popcorn entertainment because this is definitely not an escapist fare. Neither will it be easy for a lot of viewers to warm up to the movie. It presents brutal facts only a willing mind can take but ultimately rewards those who see it with a provocative and rewarding experience.",10,3,7,5 July 2006
Deja Vu," Not so much a science lecture than an old-fashioned crime thriller
","'I don't know how a cellphone works but I know how to use it,' says Denzel Washington's character at some point in director Tony Scott's latest project - the thriller-slash-sci-fi film 'Deja Vu.' In a way, it mirrors much of the film's requirement for the audience's high level of suspension of disbelief; because as far as plausibility goes, Scott and screenwriters Bill Marsilii and Terry Rossio care less about the details of theoretical physics to make a scientifically sound premise than to provide a fresh twist on the cinematic staple car chase. This is still a Jerry Bruckheimer-funded movie, after all.The movie starts with various people, mostly members of the US Navy, boarding a New Orleans ferry. At this point the movie runs for a little over ten minutes without much dialog - only snippets of randomness showcasing a relatively muted Scott-style editing. However, a few moments after departure, the ferry explodes and ATF agent Doug Carlin (Washington) gathers enough evidence from the crime scene to rule out an accident. Moreover, the discovery of the body of Claire Kuchever (Paula Patton) near the crime scene virtually suggests foul play and leads Carlin to discover that he had previous contact with the victim although he can't remember it.FBI agent Pryzwarra (Val Kilmer) then enlists Carlin's help in investigating the case by introducing the latter to a device that enables them to look four days into the past, trying to obtain any information that might help in pinning down the suspect - in the process spying on Claire, and doing an unorthodox mad chase scene across the highways of New Orleans. (How unorthodox? Let's just say Carlin is chasing the past. Yeah, terrible pun. Sorry.) As with any films toying with space-time continuum, 'Deja Vu' suffers from plot holes resulting from the inherent paradox of the subject. But Scott and the writers wisely keep the proceedings lively by infusing the film with genuine tension and the fact that the audience isn't required much to mull on the specifics. Scott also exercises restraint in his usually artistic overindulgence and it results to a hearty old-fashioned crime thriller wedged somewhere in the pseudoscience mumbo jumbos.Washington, as usual, provides a solid presence for the film although his performance is a step down from the earlier 'Inside Man.' But his conviction for the case, along with some able support from Patton, makes it easier for the audience to go along with the story. Jim Caviezel as the villain, Kilmer, Adam Goldberg, and a bunch of others are merely drifting along, though.There were times when 'Deja Vu' felt a little too long even by Jerry Bruckheimer standards but overall it's a satisfying experience. Like Carlin, I couldn't care less about intrauniverse wormholes but I sure know how to appreciate it in what could be its most practical application this time and age: a decent device for putting a new twist to an otherwise standard crime thriller.",7,1,2,17 January 2007
Kung Fu Panda," He's more than a talking cute panda, seriously
","Outside the 'Shrek' franchise, Dreamworks Animation didn't really have much in the way of memorable animated films (even 'Shrek the Third' fell into the traps of mediocrity). And while its latest product 'Kung Fu Panda' doesn't introduce a groundbreaking chapter in the history of animation, this animated film directed by Mark Osborne and John Stevenson provides a solid entertaining hour and a half.Set in a fictional ancient China populated by animals, there's Po the Panda (voiced by Jack Black), a die-hard kung fu aficionado who works in his father's (whose being a goose is never really explained) noodle shop. He dreams of one day seeing the temple head monk Master Oogway (Randall Duk Kim) crown one of kung fu master Shifu's (Dustin Hoffman) apprentices - Tigress (Angelina Jolie), Monkey (Jackie Chan), Snake (Lucy Liu), Crane (David Cross), and Mantis (Seth Rogen) - as the Dragon Warrior to stop prison escapee Tia Lung (Ian McShane) in his quest to lay waste their land in quest for greatness. A series of events lead to Po being chosen as the Dragon Warrior, much to the chagrin of the apprentices and the frustration of Shifu, who's now tasked to train Po to fight Tia Lung, which seems an impossible task considering the Panda can't even bend to see his toes.Where the story's headed is pretty much obvious with all the trappings of kung fu and sports movies. But its message doesn't come across as mawkishly sentimental and its humorous and light tone keep the proceedings fluid and at ease. The animation is competent and nicely rendered. Also, at 90 minutes, it also doesn't overstay its welcome.The voice cast is commendable, particularly with Black and Hoffman. Black perfectly provides a comedic geeky quality to kung fu-obsessed Po while Hoffman lends an authoritative facet to Shifu. Chan, Jolie, and Rogen don't have much speaking parts and are only there perhaps for the star value, since anyone else could have performed their parts.I would have to admit that I didn't expect much of 'Kung Fu Panda' since haven't we all had enough of animated talking animals. And maybe that worked for it since the film delivers the laughs and the cuteness in a much needed respite from a grueling work week.",8,2,3,7 June 2008
Star Trek," Gravity is too strong to resist
","Admittedly a newbie as far as the 'Star Trek' lore is concerned -- substantiated by an admission that my acquaintance with the iconic sci-fi is limited to the ubiquitous pop culture references ('Beam me up Scotty!') -- my accession to J.J. Abrams' re-imagining/re-boot/re-whatever of Gene Roddenberry's interstellar mythology is almost of a purely virginal viewpoint, a perspective that should supposedly raise eyebrows among Trekkies for the liberal interpretation done with this franchise restart. Nevertheless, in 'Star Trek', for all the acrimony to hardcore fans that it might stimulate, Abrams acutely goes for less than a self-conscious nod to its highly esteemed source than a crowd-pleasing summer blockbuster with a broader appeal, typified by its decision to bypass its predecessors' heady issues and moral dilemmas in favor of peachy visuals and aggressive storytelling, resulting to a spectacle that dazzles and a ride that only purists and the most churlish wouldn't cotton to.Years after the death of his father trying to save his starship's people, James Tiberius Kirk (Chris Pine) grows up to be a rash hotshot squandering his life away in the cornfields of Iowa, where he is convinced by Captain Pike (Bruce Greenwood) to join Starfleet Academy and follow in his father's footsteps. This brings him face to face with Spock (Zachary Quinto), a smart-ass once bullied for his half-human, half-Vulcan bloodline and from here, it pretty much hovers around establishing the relationship between these two while readily introducing other characters into the fray: Uhura (Zoe Saldana), Sulu (John Cho), Chekov (Anton Yelchin), and Scotty (a marvelously cast Simon Pegg).It's to Abrams and screenwriters Robert Orci and Alex Kurtzman's credit that the film zips along through gripping action scenes while still accomplishing to have its actors breath life to their roles, as embodied by Pine and Quinto's soulfully vulnerable rendition of their iconic characters, the same amalgam that has made the Abrams-directed 'Mission: Impossible III' and Abrams-produced TV shows 'Alias' and 'Lost' work. It's a thrill ride that eschews whatever social undertones its previous installments allegedly dearly hold on to, instead going through a candid space opera, a zippy galactic adventure that gravitates one in and makes it, well, futile to resist.",8,9,24,8 May 2009
