movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Ford v. Ferrari great period piece
","Ford v Ferrari celebrates friendship, and the good, old fashioned underdog spirit, going up against the odds to achieve the impossible.Bale and Damon make a formidable pair, jiving between friendship, respect, banter and an obscene amount of technical knowledge. Through their performances, they make the friendship and engineering relationship between 'man and machine' personal. And as the film finally waves that checkered flag, Mangold creates pure racing at its finest.Director: James Mangold Cast: Matt Damon, Christian Bale, Jon Bernthal, Josh Lucas, Caitriona Balfe, JJ Field, Noah Jupe, Ray McKinnon, Tracy Letts, Remo Girone Screenplay: Jez Butterworth & John-Henry Butterworth and Jason Keller Cinematography: Phedon Papamichael Music: Marco Beltrami, Buck Sanders U.S. Distributor: 20th Century Fox 8/10",8,1,2,20 January 2020
Insidious: Chapter 2," INSIDIOUS: CHAPTER 2 (2013) 10 / 10 Totally Excellent!!!
","The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.The second just has it (all) from Directer James Wan & writer Leigh Whannell . The original cast of Patrick Wilson, Rose Byrne, Lin Shaye and Ty Simpkins in INSIDIOUS: CHAPTER 2 knock this supernatural, Ghost possession out of the 'surreal' Freak me the F-out ball park. The weirdness with scores of jump scares and even an odd Back To The Future 2-style subplot that's undeveloped yet still adds to the overall sense of crazy. It's the screenplay's salient collision of past and present that sets the film apart from most horror sequels. Horror maestro du jour James Wan (Saw, Dead Silence, The Conjuring) serves up a juicy, fright-filled spookfest with this follow-up to the 2011 hit. Magnificent .",10,0,0,27 November 2018
Spartacus," Kirk Douglas is terrific as the iron-jawed slave fueled by righteous fury.
","Kirk Douglas, Laurence Olivier, Jean Simmons, Tony Curtis, Charles Laughton, Peter Ustinov, John Gavin, Nina Foch, Herbert Lom, John Ireland, Charles McGraw, Woody Strode, Joanna Barnes.
Epic-scale saga with Douglas as a rebellious slave who leads a crusade for freedom against the forces of the Roman Empire. Rousing battle scenes, great costumes and art direction, never been better cinematography and screenplay by Trumbo. WWII Navy vet Kirk Douglas gave Trumbo the screenplay credit.
Most of the film is historically accurate. It made Kubrick's reputation, freeing him to become one of the most influential directors of the last half of the 20th century. It's the only film the British masters Olivier and Laughton ever acted in together. The only Kubrick film yielding an actor's Oscar, for Peter Ustinov. When combat veteran President-elect Kennedy crossed Legion picket lines to see it, the film broke the Hollywood blacklist. Multi layered film and absolutely a must see masterpiece.",10,1,2,31 August 2019
It," IT is something unique and special and in this adaption they nailed it.
","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.
Great performance by Bill Skarsgard. He nailed Pennywise .I couldn't picture anyone else bringing the character of 'IT' to life as well as he did. It was an awesome thriller that keeps you on your toes. Can't wait for 'It Chapter Two'!",9,0,1,4 September 2019
Hereditary," Ari Aster writing and directing is 'the genuine article' .
","Summary: When Ellen, the matriarch of the Graham family, passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry. The more they discover, the more they find themselves trying to outrun the sinister fate they seem to have inherited.
A harrowing story of unthinkable family tragedy that veers into the realm of the supernatural. There are nods to great horror film such as (The Omen) and (Rosemary's Baby). Make no mistake though Ari Aster writing and directing is 'the genuine article' .
Hereditary is one of the scariest movies around, and a spectacular showcase for actors Toni Collette and Alex Wolff. Hypnotic and intense throughout, the brilliantly executed Hereditary taps into the ghosts within all of us .The insidious roots of family dysfunction ; and turn them upside down and all around. It's an audacious supernatural thriller where the psychological fallout is just as disturbing as the apparitions that come chillingly to life. 9/10",9,1,4,13 July 2019
Lifeboat," A true Alfred Hitchcock underrated classic .Basically a must watch film.
","Seeking a creative challenge after several years' worth of fairly elaborate melodramas, director Alfred Hitchcock stages all of the action in Lifeboat in one tiny boat, adrift in the North Atlantic. Director: Alfred Hitchcock use this single cinematic tech in Lifeboat first . Then he expands of this brilliant technique and pushes it further in 'Rear Window' & Dial 'M' for Murder . Lifeboat earned Hitchcock his second Oscar nomination for best director .
Only Hitchcock could pull off this compelling drama in such tight quarters!Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the U-boat men who sunk it. Stars: Tallulah Bankhead, John Hodiak, Walter Slezak.
Hitchcock's shifting sympathies guarantee our guilty involvement with the characters until he builds to a climax of intellectual and spiritual excitement. The film with its different character studies is a true Alfred Hitchcock underrated classic .Basically a must watch film.",9,1,1,16 February 2019
A Star Is Born," A Star is Born will tug at the heartstrings
","A musician helps a young singer find fame, even as age and alcoholism send his own career into a downward spiral. In 'A Star Is Born,' Bradley Cooper and Lady Gaga fuse their considerable talents to depict the raw and passionate tale of Jack and Ally, two artistic souls coming together, on stage and in life. Theirs is a complex journey through the beauty and the heartbreak of a relationship struggling to survive. In this new take on the iconic love story .Apparently you can make the same movie four times and still make it work, as this 2018 remake of the 1976 remake of the 1954 remake of the 1937 original certainly proves. Who knew Lady Gaga was this good an actor or, for that matter, that Bradley Cooper was this good a singer and director? Wonderfully updating the timeless story of rising fame and fallen stardom to our modern perception of celebrity, A Star is Born will tug at the heartstrings of even those who have seen this story play out time and time again. Absolutely deserves to be put up as one of the year's best films of 2018.",10,1,4,24 February 2019
Citizen Kane," Orson Welles's epic tale of a publishing tycoon's rise and fall
","The Orson Welles film is generally considered the greatest American film of the sound period, and it may be more fun than any other great movie.
Citizen Kane...has the best of everything: a great director and star, innovative cinematography, dreamlike - even nightmarish - art direction, a sonorous musical score, a skillful screenplay in which comic passages intensify the movie's tragic qualities by means of their grotesque juxtaposition (how lifelike!), a psychological / narrative form that predates our contemporary 'psycho-histories' by at least 40 years, and best of all, a memorial word that, when spoken, recalls the film out of thin air.",10,0,0,26 February 2019
Inglourious Basterds," The actors are top notch and the carnage is just right.
","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
Directors: Quentin Tarantino, Eli Roth (uncredited). What a great flick.Quentin Tarantino returns with the story of the Basterds, a group of Jewish soldiers performing guerilla warfare and terror tactics behind enemy lines to strike fear into the hearts of German soldiers during World War II. Inglourious Basterds is a very difficult film to pigeonhole. It's part Jewish revenge fantasy, part gung ho war film, part knowing parody of patriotic flag wavers and 100% Tarantino. Tarantino has found his new muse in Melanie Laurent. She was fabulous . The performance of Christoph Waltz, playing the Nazi Gestapo figure Col. Hans Landa, is the highlight of the film. His ability to convey courtliness and sympathy and then go to commit the cruelest of horrors is simply superb.
Inglourious Basterds is naughty, apocalyptic fun -- Tarantino's version of a war movie, with history rewritten to avenge the guilty in ways that satisfy his pop-art cinema. Like a bat to the head, it's not too subtle, but you can't help but watch.",10,3,5,9 March 2019
Captain Marvel," Packed with action, humor, and visual thrills, Captain Marvel introduces the MCU's latest hero with an origin story that makes effective use of the franchise's signature formu
","Packed with action, humor, and visual thrills, Captain Marvel introduces the MCU's latest hero with an origin story that makes effective use of the franchise's signature formula. It rises to the occasion with strong performances and with its directors' willingness to slow down and take their story seriously, balancing humor, action, and exposition in a carefully calibrated package. Watching Danvers' story play out, complete with boggling plot twists and a scene-stealing friendly feline, is hugely entertaining.
Captain Marvel, the first Marvel adaptation both to star a woman and to be co-directed by a woman. What a great choice this turned out to be . A satisfying standalone launch for Marvel's latest superhero combines sci-fi action with '90s nostalgia. Overcoming minor stumbles, it ultimately soars.",8,3,10,4 April 2019
