movie_title,title,review,rating,helpful,total,date
The Lobster," Yet another author's bitter view of the human flaws
","I'm not too familiar with Yorgos Lanthimos' works, and so far i've only seen his Oscar-nominated Kynodontas. But it looks like the author is on the mission of exposing the defects of the modern society in a not-so-cryptic but still an allegorical way. And while i believe that his view of the parental overprotection/abuse of their children was way too exaggerated and dramatic, his view of the awkwardness of today's relationships between people is much more curious and realistic.Freddie Mercury, when he was once asked what Bohemian Rhapsody was about, gave a simple answer: 'It's about human relationships'. The same description probably fits this film if one was after a simple answer. A more detailed description would be inherently subjective, for a film that speaks riddles and metaphors to you is never what it shows but rather what you see, and different people can see different things. What i saw was a rather sad contemplation of how we humans interact with each other, of the pressure the society puts on us when it tries to categorize us or impose its views of normal on us, of the fact that no matter how you run or hide, there alway will be someone who thinks that they know better and that you're obliged to follow their opinion on what's right and wrong.In the modern Western world, where a CEO of a huge corporation can openly admit being homosexual and have no problem with it, such visions could be considered too dire to be relevant. So maybe the works of Lanthimos are a reflection of his personal tragedies or his experience of living in Greece. But there is still a reason to view The Lobster as a warning (or even a revelation) that we all should pay attention to.You see, the best way to expose something crooked or perverse is to simply demonstrate it in action. The Lobster does that by showing the societal pressure and personal defenseless as a norm, to provoke a response in us and make us think something like 'Why the hell aren't you doing anything? Stand up and fight for yourself!'. And it's a powerful tool, for it's often the case that only by feeling discomfort about someone else's compliance and passiveness we finally realize how much we avoid fighting for our own selves.But the scariest thing about The Lobster is that not everything that it shows is that utterly uncommon. But this time it's not the society and its latent dictatorship, but the people themselves. Even alone with their close ones, even when nobody's watching and there are no rules to play by, they still can't relax and be genuinely interested in and kind to one another. And that's not just fiction, it's what i personally see in more and more people these days: social awkwardness and sociopathy, lack of empathy and ability to read the emotions of others, a general coldness and discomfort from another person's presence. Like the parties where people bury themselves in their smartphones instead of actually talking to someone or the families where the partners hardly even speak, each in their own cyberreality. The way such people talk when forced out of their virtual covers, that helpless look of a fish taken out of the water - that's eerily similar to how The Lobster's characters behave sometimes, which creates a sinister picture of what our world of tomorrow might become. And if some of us do manage to see themselves in that distorting mirror then maybe transforming into creatures that live long and mate happily but are otherwise cold and indifferent is a fate humanity might still avoid.",8,6,12,28 March 2016
The Equalizer," Washington vs Russians, 2014 edition
","It's hard to invent anything new in the genre of the action movies. The Equalizer is no exception. This time, we have Denzel Washington as a nice and hard-working employee of a big hardware store, who comes to a nearby diner at nights to read. But when a young Slavic hooker named Alina, who he occasionally talks to, gets into trouble, this old man, 'dedushka' as the Russian mobsters call him, decides to put some people-killing skills he tries so hard to forget about to work.The movies where a small and quiet man is revealed to be some sort of retired John Rambo who gets back to business for the sake of justice are always a guilty pleasure. You can predict almost all the plot turns, and it's not like it turns all that much, but still you end up rooting for the good guy, simply because all of us sometimes wish that such people really existed in this world. The whole idea of a one-man-army doing the impossible so that the weak and exploited of this world could finally have some peace in their lives will never die as long as we live in a society ridden with criminals and ruled by corruption.Too bad that a likable protagonist doesn't automatically make a movie excellent. And that is why the filmmakers use all the tricks up their sleeves to persuade us to turn off the brain and judge by emotions only. Cruel and dumb mobsters, poor young girls who need protection, ruthless boss villains who seem to have no single positive trait about them, and all that is financed with the Russian oil. Awesome sauce.I do admit, with the way my country behaves lately in terms of the international matters, the return of the old-school image of a Russian evil is very well timed. And i personally have nothing against it, after all, we do deserve to be treated as a threat. I just wish it was done in a fresher way. Denzel Washington is without a doubt a great action movie actor, but it looks like he'll hardly top what he did almost a decade ago in Training Day. Now that was really intense, there he really had to break a sweat to get the job done. On the other hand, in The Equalizer things simply happen the way he needs, so this action thriller inevitably loses the thrills it tried to hold. And while the villain guy was moderately believable as a worthy opponent, and the final scene in the hardware store was really impressive, those were probably the only things in which this movie actually tries to stand out.On the other hand, with a little imagination this average action movie may turn into a very dead on political satire. Evil Russians are exploiting and brutalizing a girl with a rather Ukrainian name 'Alina', and a black man with a profile resembling Barack Obama's and a last name 'Washington' that speaks for itself, manages to singlehandedly deal with all the bad guys and tops it with killing the mob kingpin, whose last name starts with 'Pu' and ends with 'in', in his Moscow mansion. Since we all know that the real mobsters prefer London to Moscow, it makes the allusion even clearer. And the fact that the movie was obviously filmed before the recent political turmoil makes it almost prophetic.But even if that interpretation is just a pipe dream, this movie is not that bad. Especially since for an eye candy it has Chloe-Grace Moretz who's obviously trying to do more various roles but still can't help ending up in the same cute, a little clumsy and somewhat childish image. Not that we don't love her for that, do we? ;)The bottom line is: if you want to see a decent action movie where the good guys win and the bad guys die, or if you like to find the hidden meaning where there probably is none - then The Equalizer's your game. But don't expect anything close to Training Day from it, this way you'll save yourself from unnecessarily high expectations and disappointment that usually follows.",6,4,6,13 December 2014
Deepwater Horizon," Too technical, too messy, and arguably too glorified
","Here we go again, Deepwater Horizon is a film that claims to be based on true events. Indeed, there was an oil rig by such name that made a huge mess in the Gulf of Mexico. The question is, how close this film stays true to what really happened there on April 20, 2010.Because if we judge this film by its cinematographic merit only, then it could easily be described with a concise formula: a catastrophe flick, brutal but generic. The typical build-up, with lots of banter, friendly and not so much, and a ton of techie jargon you'll hardly understand even if you could pause every now and then and look up every word. And then the typical climax, when the hell breaks loose and everyone gets their chance to reveal themselves and to be either @ssholes or heroes. And the typical finale, grim but happy, with the survivors hugging their wives and kids and exchanging those meaningful looks. If that was the first disaster movie I had seen, well, I'd probably feel absolutely satisfied. Because the disaster part of Deepwater Horizon, finally devoid of the mumbo jumbo talks and turned into a big quest of survival in a burning hell above water, is definitely gripping enough, thanks to the solid performance of Mark Wahlberg and Kurt Russell, and the impressive visuals. However, I've seen such films before, both dramatic and ridiculous, so I'm bound to wonder whether Deepwater Horizon is able to bring something new onto the table.Unfortunately, the answer is no. Last year we've seen another catastrophe film based on a real story, Sully. Well, it was not a typical catastrophe indeed, more like a catastrophe turned miracle. Still, it was a demonstration of a different approach to telling the stories of such events. And while Sully was definitely less dynamic and much more political, it was at least original. And that is the quality Deepwater Horizon isn't really able to boast.If only we could only know how much of this film is fiction and how much is based on reality indeed. Because if the filmmakers had shot Deepwater Horizon strictly in accordance with the real events, then all that purely American heroism and even the techie talks would've felt... different. That way we'd actually be able to assess the scale of stupidity and greed of the people who let that disaster happen, and the scale of heroism and sacrifice of those who were doing their best to avert that disaster, and, when the worst finally happened, were risking their lives to save those of their fellow men. That would've been a true feat deserving every praise possible. But I know Hollywood. And, while I'd like to believe that some of the exemplary behavior shown in this movie did take place that day, I'm more inclined to think that Deepwater Horizon is just a rough outline of the true story, and all those inspiring and noble actions done by Wahlberg and Co are there just for the show.",6,3,5,2 March 2017
Kung Fu Panda," A big furry piece of excellence
","An old computer programming proverb says: the best written code doesn't need any comments, for it's self-sufficient. The same can be said about movies: the best of them don't need to be reviewed, for they are perfect without any side comments whatsoever.But since IMDb makes you write at least ten lines of text for them to be passed as a review, here i go. I have first watched Kung Fu Panda back in 2008 and instantly fell in love. And every time i got to re-watch it, i kept falling deeper and deeper in love with it. Wall-E may be topical and artistic, but Kung Fu Panda is like a reflection of Po's soul: deep, kind and sincere. And that's exactly what we love animation for: that it turns us into little kids for a short time and helps us believe that there is good and beauty in this world and it's up to us to create and uphold it.A good animation film just sends you this message, a great one allows you to feel it, a brilliant one can make you truly believe in it. And with Kung Fu Panda's magical touch that reaches for the deepest parts of a human soul, we can all become believers, and not just for 92 minutes.",9,0,0,7 December 2015
Rocketman," Reflections of a rock star
","A person in an angel-demon costume bursts into a room with people waiting for him, crashes on a chair and begins his confession. His name is Elton Hercules John, and his life is a mess.When we talk about biopics, it's very cheesy to use the word 'special' to describe them. Obviously each of such films is special, because it shows us a story of a unique person, prominent in some way. However, Rocketman is indeed a special case, not just because of who it is about, but because how the story is told.Usually, the biography movies are focused on a person's achievements and milestones: did this, came there, won that. As if we went through his or her Wikipedia page sections, turning the dry facts into a sequence that's fictionalized enough to make the viewer engaged. The thing about this approach is that it's someone else, a screenwriter or a producer, who does the 'guessing' part, trying to get into the protagonist's head and deduce his thoughts and feelings based on his actions. And whether that guessing was done right is usually an open question, either because the person has already passed away (like in the case of the recent Bohemian Rhapsody), or because he's not in direct contact with the crew.Rocketman, however, has Elton John himself as an executive producer. And from the very start of the film it becomes clear that this is gonna be a story told through _his_ eyes and imbued with his emotions. The whole AA-like rehab meeting backdrop creates a sense that Rocketman is a psychotherapeutic exercise for Reginald Dwight himself, his attempt to solve, or at least acknowledge, the existing lifelong conflicts and issues, and reconnect with his inner child, the latter even demonstrated explicitly, in a very direct but nonetheless touching way.Another absolutely fantastic feature of this film is how the musical elements are interwoven with the main narrative. Usually the singing and the dancing happens as some sort of a cut scene, which is somehow dictated by the current state of the plot but is generally something you might skip without missing anything crucial. Here, however, music _is_ the plot, the way to accentuate and convey the main moments of Elton's life, the songs' lyrics often given to the characters, basically showing us how this or that song was born and what it was inspired by. The visual sequences of such moments are fantastically surreal and organic at the same time, the Rocketman sequence being maybe the most complex, bizarre but at the same brutally raw act of cinematographic self-expression I've ever seen on screen. These four minutes simply take your breath away, and alone are worth spending two hours to watch this film.Is there a punch line? A moral lesson for us to learn? A late apology for not living up to someone's expectations? Honestly, I can't think of anything. The only curious fact I've learned from Rocketman is that apparently the guy who produced Elton John has also produced Queen at some point, and his characters from Bohemian Rhapsody and Rocketman are played by two different Game of Thrones stars and are shown in a very different way. Curious but utterly irrelevant. What's relevant is that music is and always will be for the living, for those who crave to express and to be heard. So live while you do, and love while you can.",8,1,1,15 April 2020
Wind River," Makes you feel ashamed for not feeling much
","Do you know these cases when you get to learn something which you know is important somehow, but you can't still quite touch the topic on the emotional level? It doesn't even mean that there are no emotions to touch, maybe it's just you being a heartless piece of wood. But you just can't help but stare, unable to make a link from what your mind perceives to your heart.Wind River is exactly this type of story. It's not that the story is not touching, nor is it not important. But you can't shake off the thought that you've seen it all a thousand times already: a depressed place, a bunch of sad and tired people who have nothing good coming at them in this life, some people still have goodness within, some have chosen not to care too much because it's easier that way. And somewhere along the way, one unlucky event follows the other, and something evil ensues.I can't decide whether it's my fault for not being able to take such matters to heart simply because they are not sensational, or it has something to do with the writing being kinda thin and the directing being kinda slow and sloppy at times. Not something major, just the little details which only rub it into your eyes yet another time that it's one of those 'sad, but sadly nothing new' kind of stories, something you wish you could've done something about to fix it once and for good, but you know at the same time that you simply don't have the power to.We humans suck in general. Thanks for reminding us once again of our rotten nature. Does it automatically make a film good because it's about this main law of life most of us don't really dispute?",6,2,5,19 February 2018
Rogue One: A Star Wars Story," Looks solid, but feels uninspired
","Not a long time ago, in our very own galaxy, the filmmakers decided to create a prequel to Star Wars: A New Hope. And they really wanted to do it by the book: by putting in a list of recognizable actors, a plethora of characters and locations and tech, old and new, making the story emotional with the force of family bonds and the sense of duty. They even showed us a glimpse of Darth Vader as a cherry on top. Sounds cool, right?True, on the surface Rogue One looks very grand. But, as we have learned from the case of Death Star, even grand things may have very small flaws that ruin everything. And for Rogue One those flaws are characters and pacing.Indeed, with so much bound to happen and with only 133 minutes of running time, you must move quick to cram everything into the timeline. But for some reason Rogue One doesn't feel consistent in its density. At times it's painfully slow and almost boring, with people talking and arguing and debating some more. And at other times it flicks through characters and hops planets like a mad rabbit, causing a degree of 'what is this place/person again?' frustration even in a prepared SW viewer, while outright alienating the freshmen (although the same freshmen could digest The Force Awakens just fine).Another stone pulling Rogue One down is the main characters, or rather the actors playing them. I don't mind Felicity Jones or Diego Luna at all, they are fine actors per se. But they are not fit for the action figures. Jones may deliver a sharp punch at times, but mostly she makes that sad puppy face - and you just quit buying into her fighter spirit. Same with Luna: no matter what he does, he looks awfully tired and overwhelmed, dragging our mood down with him.Maybe if we had characters as vivacious and fierce as Rey and Finn as protagonists, the whole story would feel different. But we have what we have, and despite all the graphic lushness, a number of nostalgia-inducing moments, characters twisted and conflicted inside, and actual space fights, Rogue One feels like one major drag, where everyone does something, but only the bad guys actually believe in their cause. The space fights are overly long and tediously repetitive, the graphic lushness mostly resorts to cold space or desolate deserts, and even the character twists and development, with an unexpected sense of common purpose and a timely remorse for the former wrongdoings, have a whiff of generic movie psychology. Two slightly redeeming points of this film are the blind monk, but even he gets annoying towards the end with his repetitive chanting and inconsistent potency, and the Ben Mendelsohn's character, who is a typical Mendelsohn's not quite good but not entirely evil guy. As a mirror character of Domhnall Gleeson's General Hux from The Force Awakens, he's done a much better job. Too bad it wasn't enough to salvage the whole enterprise.When The Force Awakens turned out to be a soft reboot instead of being an independent story, I was hoping that maybe it was for the best and that way the filmmakers would be able to expand on the original story and give us additional depth, the chance that was skipped back in the time of the original trilogy. Rogue One is definitely an attempt to fill the blanks and deliver some background. But so far it's more of a miss than a hit. So hopefully it will be a lesson learned for the SW film crew: that spin-offs require as much effort as the main story films. You were inspired enough to bring the Star Wars back to life - now use that inspiration again and put it to good use.",5,4,8,24 March 2017
Zootopia," A children's guide to multiculturalism
","We were prey and predators once, antagonizing each other. But it was thousands of years ago, now we're all evolved, peaceful and equal. And if anything falls out of that paradigm then it's definitely a result of some malicious interference.That's basically the message of Zootopia. Calling it utopian is hardly insightful, but there's no better way to describe it. An upbeat and positive story of a little bunny who wanted to be different and to change the world by making it a kingdom of kindness and equality once again - that doesn't seem remotely realistic, even if the story was not about animals but humans. Still, with nice visuals and enough goofing around, it's exactly what would keep kids captivated for enough time so that their parents could get their much-needed precious rest. By being somewhere else or doing something else.And I mean it. Zootopia may be full of surprises for the young generation, but it's not a film that can provide a second layer an adult viewer could enjoy. There's no subtlety, instead, everything is explicit and for show, so any attempt to demonstrate some character development is somewhat staged. The difficulties are temporary and solve themselves without much labor. So, at the end of the day, even rooting for the happy ending is not too engaging because it never really seems that it could happen any other way.It's hard to blame Disney for a lack of the real-world complexity. After all, it's what they do: flicks for kids. And those flicks are more or less fairy tales where the good wins simply because they want us to believe in goodness and uphold it. However, there's a thin line between teaching the good and claiming that it's the natural way for everyone, which could be corrupted but is still something we all perceive equally. And while the fairy-tale thinking, despite being obviously naive, bears no big harm, the white lies of the latter approach create a much more distorting illusion. An illusion that we're all the same inside and that we all want to be the same.Come think of it, there might even be a second layer in Zootopia. Unfortunately, that layer looks like some sort of leftist propaganda, telling us that whoever we are, we have no other destiny but to stay united. That no matter who you are, a predator or a prey, a Muslim or an atheist, a Syrian refugee or a German burgher, living together is something that all of you must want and love. And if you wanna separate and set your own order of things, even if you're a vast majority, then there's something wrong with you and you're definitely a bad guy. No dude, stay put and love your neighbors, even if they bang at your wall and yell all night. And don't you dare expecting them to apologize for it!For more than half a century the real-world us were being told that there's no other way, and those who disagree should be branded fascists. So it's quite symbolic that I got to watch Zootopia just a few days after the British people showed the world that an alternative is possible. So nice try Disney, but sometimes it's better to ask difficult questions rather than to make up overly simple answers. And a word of advice to the audience: if you so desperately want a Disney's fairy tale about the world's issues, watch Tomorrowland instead. It's equally simplistic, but at least it leaves you the freedom of choice without stamping the moral labels on it.",6,7,18,27 June 2016
12 Angry Men," An ever-timely call to the human conscience
","No matter how prejudiced, preoccupied or plain angry you are, there's always a reason to slow down, step back and take a second look at things that seem obvious on the surface. That's basically the message of 12 Angry Men.It's been more than 50 years since this film was released, and obviously the rules of cinematography have changed since then. Now such theatrical films may feel somewhat odd or staged, and, indeed, 12 Angry Men is more of a play than a film. However, it's a rare occasion when the pure idea professed by a film becomes a manifesto that goes beyond a particular epoch or style, acquiring that kind of topicality that lives forever as long as there is a mankind.There's no point describing the events of the film, for they only serve as a means of delivering the film's message and call to our conscience, waking it up from the heavy dreams of our compromise-ridden lives. But it's the actors' work that turns the slow-paced narrative into a vivid showcase of emotions and characters. And even though Henry Fonda is the only big star of the cast, I can't say that the job is done by him alone. On the contrary, it's the men his characters confronts that really give the stage enough diversity and naturalness to feel real and true.The expected happy ending of the film doesn't really chime in with the gloomy cinema trends of the modern cinema. However, the hope that it brings has a deep symbolic meaning. 12 Angry Men isn't about opposing good and evil people. It doesn't divide us, instead, it tries telling us that, despite how we look and act right now, there's something good and honest and kind in all of us, and the future of this world, represented in this film by the life of a young boy tried for murder, depends on our ability to stay true to those sides of ours and find them within, however muddied they might be. Each of those twelve jurors had certain principles that he was ready to put above his personal fancy. And I can only hope that in the world of today our own anger, vanity or indifference are still not strong enough to make us lose our light completely.",9,0,1,6 August 2016
Spotlight," Maybe not the best, but undeniably the most important movie of 2015
","There are two genres of modern-day cinema that are strictly American: the courthouse drama and the journalism one. Why? Because what they work with are the true powers #3 and #4 in America, absolutely on par with the legislative and executive ones. I realize that democracy and separation of powers is not owned or copyrighted by the United States, but only there we seem to have a system where judges can - and sometimes successfully do - defy presidents and the press can break careers of the government officials of a highest rank. I don't think i love America all too much, but these are the things that America can - and should - be respected all around the globe. Still, something is rotten in the state of Denmark, and to make things right it's not enough to simply be a power - you have to actually use it sometimes to enforce that the good remains good and the evil is eradicated.Spotlight is a story of one case of such struggle. And this time it's not just Good vs Evil, it's about the evil that comes from the roots of the good itself. Because the way the film shows it, the Catholic Church is an alias for God himself for a great many people in America, and the problem of child molestation by Catholic priests is more than just a rare case of 'a few bad apples', it's a widespread phenomenon, a tendency, a real system.Of course, a journalism drama movie is mostly defined by the topic it covers, so it could be tempting to put the equals sign between the quality of a movie and the importance of the topic. However, it would be an understatement. A good movie is more than just a summary of the story, it's a drama (or even a tragedy) of simple people involved in it. And through their eyes we get to see what could be a dry text in an encyclopedia book as something living, vivid and emotionally disturbing. Something that we take personal.And that's where Spotlight really shines. What we are shown is not just the facts - which, i'm sure, most of us have known (at least to some extent) for a long time - but the way those facts hit the real people living in the same world the story belongs to. Facts that hit people like a hammer hits things: some of them break, some get bent and crooked and some remain straight and pierce the reality around them to make a difference. The team of investigative journalists from the Spotlight section of The Boston Globe is a pack of those straight things: no matter what pressure is put on them by the story they uncover, no matter how personal it ends up to be, their top priority is to serve the public good.What makes the story of Spotlight stand out is that the public is not completely aware of what is good for it. The Catholic Church is not an enemy people wanna fight, it's something that gives you faith, a ground to stand upon when the world around is shaking, but then starts corrupting all the good things it's done, leaving people confused, emptied and destroyed.It's one thing to just tell about those horrible devastating things. It's a completely different one to make you feel something about it. And to give you more than a one-dimensional sense of shame or anger or disappointment, but instead to fill you with a stinging cocktail of them all, is a task only a master can accomplish. And i believe that the team that made Spotlight had such masters in it.I believe that it was the characters and their portrayal by actors that made a difference. They are just a team of journalists and a couple lawyers doing their job. But at the same time it's not just a job for them. It's a personal stance. And each of them has different feelings because of it. Mark Ruffalo's character is energetic and angry, a true Hulk of a reporter (maybe even more believable as one than in Avengers or anywhere else), Rachel McAdams' characters brings soothing compassion only her face and voice are capable to convey. Stanley Tucci gives us an outsider with limited power who still tries to do the right thing. And Michael Keaton and Liev Schreiber show us the people who finally try to cha(lle)nge something that was neglected for way too long and go all-in while doing it. One by one, these characters don't seem like much special, but united by one thirst for justice, they become a force capable of making a major change.I can't say that Spotlight breaks the confines of its genre. Even with Michael Keaton in it, it's no Birdman, and it can't simply fly away from all the rules set for it. Still, it's a movie that tries its best not to be a cliché fest, and for a story that's bound by the facts it's based on, it has a surprising amount of freedom in it. So if you even remotely enjoy movies where people talk about complex things more than they yell or throw punches, give this one a try.",9,2,3,28 February 2016
