movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," There's nothing good about this
","This is one of the worst films I've ever seen. It's just the characters walking through the woods. I have no idea why this was successful. It's in black-and-white, the camera-work is all over the place, the characters aren't likable and the acting is appallingly bad.This isn't scary, suspenseful, gory - or anything else that a horror film should be. The supposed story/legend behind this was obviously fake from the start.If I could give this no stars, I would have done so.",1,4,6,20 April 2017
Saturday Night Fever," Excellent disco film
","This drama film is about a 19-year-old working-class Italian-American who lives with his family in Brooklyn. He's unhappy at home and has a dead-end job. He lives for the weekend, when - due to his good looks and dancing ability - he's very popular at the disco that he goes to with his friends. There's a PG version of this great film, which is very different and inferior to the original.",10,1,2,27 April 2017
Vertigo," Painfully slow and boring
","This is meant to be a thriller?! This is one of the slowest, most boring films I've ever seen - and I've seen thousands of films. I watch better films than this every week. Why do so many critics say that this is the best film ever made? It isn't even Hitchcock's best film - Psycho is much better.",1,9,23,14 April 2017
Black Swan," Excellent
",This is a psychological drama thriller about a ballerina in New York City who appears to be suffering from borderline personality disorder. Natalie Portman plays the protagonist very well - and Barbara Hershey is good as her overbearing mother. It's one of the best films I've ever seen - and I've seen thousands. It's so good that I enjoy it a lot despite having no interest in ballet.,10,1,2,14 April 2017
Scarface," Brilliant gangster film
","This is a remake that's better than the original. It holds your concentration, despite being nearly three hours long.Al Pacino is excellent as a Cuban who moves to Miami and goes from rags to riches as a violent drug dealer.This film has justifiably become more popular over the years.",9,0,2,21 April 2017
Se7en," Brilliant
",This is an excellent serial killer thriller. Morgan Freeman and Brad Pitt play police detectives who together are tracking a serial killer who kills people who have each committed one of the seven deadly sins in a way that's relevant to the specific sin. Kevin Spacey plays the killer.,9,4,6,20 April 2017
As Good as It Gets," Implausible; too long; not funny
","This is a grossly overrated, overlong, sentimental film. It's meant to be a comedy, but isn't funny. None of the characters are likable - Helen Hunt's character is horrible. It's unbelievable that Jack Nicholson's character (who's selfish and dislikes everyone) would do anything to help his waitress or neighbour.",1,6,14,23 April 2017
The Hunger Games," Overblown nonsense
",This is a dystopian action adventure thriller in which teenagers are forced to fight to the death. It's a ridiculous premise - yet the film is serious - it's not a satire or an allegory.Jennifer Lawrence was well-built and in her early twenties when this was filmed. She certainly doesn't pass for the thin sixteen-year-old whom her character is meant to be.,2,4,6,4 May 2017
Shaun of the Dead," Doesn't work on any level
","This is supposed to be a romantic zombie comedy. However, it's not romantic, scary or funny. None of the characters are interesting or entertaining.The New Zealand film Braindead is of this genre mix and is massively better, despite being filmed on a much smaller budget, over a decade earlier.",1,9,20,14 April 2017
The Notebook," Lame chick flick
","I'm puzzled at how popular this sentimental melodrama is. The on-off couple at the centre of this aren't likable, nor are they believable together. Perhaps it's impossible for me to like it simply because it's intended for a female audience.",1,8,13,20 April 2017
Home Alone," Good Christmas film
","This is one of the better Christmas films. In this comedy, a child is accidentally left at home when his family go to France on holiday. He has to defend the house from two burglars.There are some parts of the story which are ridiculous. For example, how could everyone forget Kevin? How could he have slept through the huge amount of noise from everyone else getting up, getting ready, talking and leaving?",7,0,0,22 April 2017
500 Days of Summer," A confusing, incomplete, haphazard mess
","I love Zooey Deschanel in New Girl, so I was looking forward to watching this - especially because the critics love it. I was massively disappointed by this boring, confusing film which jumps back and forth in time at random, showing a minority of the 500 days of the relationship between the two protagonists. Even if you played the days in order, it would still be severely incomplete and not entertaining. This film was misleadingly promoted as a lighthearted romcom with a likable female lead. In fact, there's very little humour in this miserable drama. It's not sexy or romantic. Neither character is likable and they're not suited as a couple. The acting and writing are awful. All the way through, Summer says she doesn't believe in love, yet Tom keeps trying to make her fall in love with him. After they split, she quickly falls in love with someone else, which only serves to make her character even more unlikeable.",1,5,8,25 April 2017
Juno," Overrated, unfunny and unrealistic
","This is one the worst films I've ever seen - I don't know why it's popular. Skinny dorky teenage boys don't even get the opportunity to hold hands with girls (unless they're rich), let alone have sex with pretty girls - so Juno wanting anything to do with Paulie is unbelievable. Juno's reaction to being pregnant by a dork at 16 is ludicrous. She takes the news calmly at though it's nothing. First she casually decides to have an abortion, then casually changes her mind to have the baby adopted - with less emotion than most people expend on deciding what to wear or eat today.",1,8,12,17 April 2017
L.A. Confidential," Very disappointing
","Critics love this film and it won major awards, so I was expecting it to be very entertaining. I was very disappointed at how slow and dull it is. It's far too long for the small amount of actual material in it. The characters are dull and there are a lot of scenes that are just boring conversations.Kim Basinger plays a call girl, so she should certainly have at least one good sex scene. However, we don't even see her nude - let alone having sex.We don't see the murder that's at the centre of the plot - we only see the corpses afterwards and people talking about it. That means that we don't know exactly what happened.",2,1,15,20 April 2017
Knocked Up," Funny film with an implausible plot
","This is a romantic sex comedy film about a television presenter, Alison, who becomes pregnant after a drunken one-night stand with a man whom she meets in a nightclub. There are a lot of laughs in this film, but they're diminished somewhat by the implausibility of an attractive, intelligent career girl not being on contraception and choosing to jump into bed with an irresponsible, overweight, uneducated, poor, unattractive, unemployed layabout.Leslie Mann is very good as Alison's sister, Debbie. This was followed by a spin-off, This Is 40 - in which Debbie and her husband are the main characters.",7,1,1,4 May 2017
Horrible Bosses," Jennifer Aniston is brilliant
",This black comedy film is about three employees who have awful bosses whom they hate. They decide that the best solution to their work problems is to kill them. Jennifer Aniston is brilliant as one of the bosses - a slutty dentist who tries to seduce and blackmail her assistant into having sex with her.,7,0,1,21 April 2017
Life of Pi," Ridiculous nonsense
","This is a survival drama film narrated by Pi, an Indian man in his forties who lives in Canada. He tells the story of his early life. Most of it is about when he was 16 and travelled across the Pacific Ocean towards Canada in a ship with his family and a load of animals. Part way across, the ship sinks, killing the protagonist's family and many of the animals. He escapes on a lifeboat with a zebra, orangutan, hyena and tiger. The hyena kills the zebra and orangutan. The tiger kills the hyena. Pi and the tiger eventually reach Mexico. Later, he says that the animals were actually people. This film is ridiculous and can't be taken seriously as a survival film. It's too far-fetched. The tiger would have killed Pi and eaten him. Even without the tiger, Pi would not have survived and reached Mexico in the lifeboat. Even if you believe the second story that the animals were actually people, he still couldn't have survived for that long. The boat would have sunk, or Pi would have died of thirst, starvation, hypothermia/hyperthermia (depending on the temperature) - or a combination of them. The only reason that I haven't given this 1 is that the special effects are good.",2,0,3,22 May 2017
Lost in Translation," Very little happens in this boring film
",This grossly overrated film is dull and lifeless. None of the characters are likable. All the attempts at humour fall flat.Scarlett Johansson was far too young to play her role. Opening the film showing her in her knickers misleads the viewers into thinking that the film will be erotic.,1,8,16,17 April 2017
Romeo + Juliet," Set in the present day, but with 16th c dialogue!
","The way Shakespeare wrote is so far removed from modern English that it's like a different language. When I tried to read his work, I needed to often refer to a book which translated words and phrases of that time into modern English. I had to refer to it so many times that it made reading any one of his plays a long, slow and tiresome task. I was very pleased when I heard that a modern remake of Romeo and Juliet was being made, so that I would be able to understand it without translation. I was puzzled and very disappointed when I watched it and it was in the original dialogue! It had already been filmed many times in its original dialogue and 16th century setting. What's the point in setting it in the present day if you're going to use archaic dialogue?!",1,0,1,17 April 2017
American Hustle," An overlong, complicated, boring mess
","Critics think this film is brilliant. However, it has many faults. It's too long, confusing and complicated. It's supposed to be a comedy - but isn't funny at all.The only character who's in the slightest bit interesting is the histrionic who's played by Jennifer Lawrence.",2,1,3,17 April 2017
