movie_title,title,review,rating,helpful,total,date
The Avengers," Assembled
","WOW--just WOW!!! Superhero movies have come and gone and not too many are very well made. Hollywood eventually takes a good concept and then they add multiple villains or partners to the main hero and things do not work out. Was this going to happen with the Avengers? How would you get multiple heroes in one movie and tell a good story? What would Josh Whedon bring to the movie? Is this movie going to have the golden Whedon touch that was shown in Firefly or the horrible disaster known as Dollhouse? Let's start with the story: the script was well written about how the team was assembled and how they went from individuals to a team, the foe was well created and produced a nice adversary for the team, and the dialog was above the norm that you see in superhero movies.Characters: whether you are a fan of the Hulk, Captain America, Thor or Iron Man--you will not be disappointed. Each of them have adequate screen time and all of them have wonderful action sequences. Though Black Widow and Hawkeye are not from the original Avengers team (they became Avengers much later), they fit into the movie well and add to the dimension that Loki brings to the story.Everything is great about this movie. The film was well paced, the direction was great, the acting was super for a comic book adaptation and the action was out-of-this-world.Easily one of the best, if not the best, superhero movie to date. Highly highly highly recommended. I would suggest 3D since there are many scenes that are dazzling in the 3D format.",10,1,5,4 May 2012
The Expendables 2," Yo, I'll Be Back
","The second installment of the Expendables is not as well directed or written as the previous version. The script is what is lacking in this movie--there are a lot of useless scenes and not as much character as the first movie. The action is fast paced and it is sometimes funny to see 60-year olds beat up on young men. Jean Claude is basically Jean Claude as the villain and he is serviceable, but it would have been a better climax to have JC fight Chuck Norris to see the two martial arts men in action. Unfortunately this is a Sly driven film so that you have the bull rush of Rocky fighting the grace of JC--too bad it is a short scene and not worthy of a big climax.Don't get me wrong, I enjoyed the movie. I did not have high hopes for the film since the first one was not a Rocky, Terminator, Die Hard or Lone Wolf McQuade, but it was fun. I expected less than the original unless there was a screenwriter with a better vision, but you get what you usually get with sequels--a decent product that doesn't match up to the first film.The best part of the film is the quips between the characters. While there are some good lines between Randy, Dolph, Jet and Terry--the best lines are the ones shared by Sly, Arnold, Bruce and Chuck Norris.A good movie to see your favorite 'old' action heroes, but not something new or original that is going to WoW you.",7,1,7,17 August 2012
Source Code," Code Dumb
","Science Fiction movies usually try to keep some sort of 'possibility' within their story lines. We know that you cannot travel through time, but the theory may one day be put to use and warping through time and space may be a reality. Source Code indicates that when someone dies you can still see their last eight minutes. Interesting concept. The problem is that no matter what they try to say--once you are dead that implanted memory will never ever ever change. So this movie has someone go into a dead persons memory, but the dialog changes and the events change. Could never happen. Plus, it becomes an entire world and he leaves the area the deceased was in--where that could never be since the imprinted memory would not open the entire world to someone who enters. The movie is beyond dumb with an idiotic idea. Even if you suspend reality, science, intelligence--the ending is one of the worse I have ever seen. Not recommended.",5,1,4,19 August 2011
Resident Evil: Afterlife," Not Bad
","Resident Evil: Afterlife is not going to be considered one of the greatest movies of our time, nor would it be considered very good. RE is an average film that has been made more palatable by the 3D camera. While the acting, the story and the direction are all equivalent to a straight to DVD movie, the 3D effects make is surprisingly entertaining to watch in the theater. The story is so full of holes and bad dialog that you have to be able to ignore all of that and allow yourself to be engrossed into the 3D effects upon the screen. The 3D looks marvelous and the camera makes the film come to life. One thing that is highly irritating about the entire Resident Evil series is the consistent effort by one corporation to destroy all of mankind. Let us be real folks--people want power to have women (or men), money, to enjoy and have things others do not have, to have the finer things in life and to have control over others. If the world is gone--if everyone is dead---if there is no money--then every single survivor in essence is in power--but power that is not desired. That consistent drive to kill everyone by Umbrella is just stupid and annoying.",7,7,16,11 September 2010
Hereditary," Torn Genes
","One of the worse films that I have ever seen. A script that is beyond repair and full of more holes than a block of swiss cheese. Many unexplained things that happen for no reason. Many stupid ideas that are so clich̩ that is makes the movie feel like a pun.A grandmother who is labelled a 'queen' of demon worshippers. Which you find out at the end. Somehow she is the mother of this demon cult - but she is dead. So you wonder why this did not happen before she died. A granddaughter who was supposed to be the demon lord. But she has nut allergies - I guess demon hunters should use nuts. She somehow gets killed in an accident and now her spirit wants the body of her brother.A mother who has sired the demon lord (as the daughter) - but unwillingly. In this movie the grandmother had (you see in photos and models) breast fed the child - so I guess queen demon follower breast milk produces demons - another stupid idea. All these beheadings make no sense and are never explained. A mess of a movie - it is not a thriller, a chiller, just a money stealer.",1,4,9,13 October 2018
A Star Is Born," 8 Star
","The first 2/3 of A Star is Born is absolutely fantastic. The relationship between the characters is strong, touching and believable. The songs are well written and flow nicely into the storytelling.
The last 1/3 of the movie drags on and loses the sparkle, humanity and human touch that the beginning of the movie has. It does not take away from the film, but does not live up to the first 2/3 of the movie.
Overall a wonderful film that is much better than the original versions.",8,0,3,3 March 2019
Wind River," Reservations
","I am giving Wind River a 7 - 'only' and 'only' for the performances in the film. Each and every actor (until the last 10-15 minutes) is extremely good in this film. It is a movie with a lot of character actors and no real leading person - which turned out to work very well.The story is predictable and very drawn out. For a movie that logs in at less than two hours, it feels a lot longer. The final act of the movie is just plain bad - it felt lazy and cheap - with a flashback scene to explain everything - which felt like someone could not find a way to write it well enough to have the facts found through detective work.The final minutes hurt this movie. I won't divulge what happens, but it is not a plausible solution to the crime.A better last act would have propelled this to a 9 - the script and last act could have put this at a 5-6, but the acting gives it a mean average of 7.",7,2,6,13 September 2017
Star Trek," Enterprising
","I was very hesitant to go and see the new Star Trek movie. Since I enjoy the original series (and the movies) a great deal, I did not want to watch J.J. Abrams destroy the reputation of the franchise. Why make a movie with Kirk, Spock and McCoy? What not make Star Trek with different characters? I was pleasantly surprised. Star Trek has beautiful special effects. Star Trek is eye-candy in warp speed and well worth watching just for the effects. The script was average, but it worked to get the movie going. There is no depth to the story and you will not be reminded of past stories by Gene Rodenberry. There is no morality setting, nor a great chance for character definition. It is a two hour movie and the script must account for Kirk getting command of the Enterprise and the seven main stars (Sulu, Checkov, Scott, Uhura, Spock and Kirk) to be together.At first, Star Trek faithful will be thinking 'this is not what happened in Kirk's life'---etc. It is later that the audience finds out why things are different than in the past days of Star Trek. It is an interesting concept--one that allows for a new franchise to be built without trying to keep the structure of the old series and movies. Now there is a clean slate where any story can be conceived and plotted.Acting will not stun you in the movie. Karl Urban and Simon Pegg stand out a great deal. You can see where each one of them took something from the original character and introduced it into their performance. Zachary Quinto is very good as Spock and he looks like a younger Leonard Nimoy. Chris Pine takes nothing from Shatner and it shows. He is decent as Kirk, but not great. Pine is the one flaw (and not a serious one) in the movie. He has the cockiness of James T. Kirk and some of the swagger---but he does not have the screen presence and he does not have that 'inspiring' command attitude that would make any military man follow Kirk into battle. The rest of the cast are alright. There is more screen time for Uhura and Sulu than in the series. It was a bit silly to have the fake Russian accent for Checkov though--that could have been avoided. Bruce Greenwood is good as Pike (he is always good) and Eric Bana is fantastic as Nero. The acting is not stellar, but it plays well to what was allowed. It also opens the door to deeper relationships in future movies.I would recommend Star Trek. It is not better than the original, but it is a nice homage to the series.",8,2,10,9 May 2009
Darkest Hour," Dreadful Two Hours
","This is an attempt to look at Winston Churchill in the same way that a few back movie makers looked at Lincoln. The problem is that Lincoln was well written and Darkest Hour is a script nightmare. Lincoln looked at one aspect of his presidency and we were shown the trials and tribulations of working towards that one goal. Darkest Hour has a script that is all over the place. It would have worked better had it focused on one aspect of Churchill, but it doesn't. We see him become Prime Minister, but nothing is really given credence on why he was so targeted by politic rivals or why the King was so hesitant to trust him. If you are going to mention those aspects, it would help to identify and explain them in more detail.While the advertisement shows a lot about Dunkirk - Dunkirk is just a blurb in the film. I was looking for more information about Dunkirk, but it is just one of many background items that are superficial to this script.45 minutes into the film I looked at my watch and was shocked that it was only 45 minutes since it had felt like it was two hours into the film. This film feels long - it feels very long since it is poorly written and it drags on and on and on. Not one that I would recommend.",4,48,92,31 December 2017
Rogue One: A Star Wars Story," An Actual Star War
","Rogue One is actually a war movie. It has the drama and action that you would expect in a military movie along with the science fiction element.Rogue One also has the usual Star Wars element - bad, bad acting. Diego Luna is horrible - beyond horrible - he almost destroys this film with his lack of acting skill. Felicity Jones is okay. She does not do anything to make you invest any emotion into the character and her performance will not make you feel like you care about the character.As in the first three films - the supporting cast is what makes the movie. Han Solo and Chewbacca carried the first three films. In this film Alan Tudyk (K-230), Donnie Yen, Wen Jiang and Riz Ahmed are the characters that you find that you are rooting for and that you like. K-230 has all the best lines in the movie.I am not sure why the Star Wars franchise insists on casting terrible actors as the leads. Thank the force for the supporting casts.",7,0,6,24 December 2016
