movie_title,title,review,rating,helpful,total,date
Angels & Demons," A Solid Thriller
","While 'Angels & Demons' is by no means a great film, it at least manages to be consistently solid, which places it head and tails above its sorry predecessor.From its mildly creepy opening to its mildly exciting finish, 'Angels' is a fairly effective thriller. The plot bears quite a few similarities to that of 'Da Vinci,' especially concerning the supporting characters, but it does introduce a strong device not present in the first film. Each stop on Robert Langdon's journey through Rome works as an excellent set-piece. Director Howard seems with these scenes to have a good feel for eerie suspense and gruesome reveals. Furthermore, once these set-pieces are all over, the plot takes on a whole new heart-pounding direction that lasts until the fitting, if slightly underwhelming, climax.Thusly, the plot proceeds from first frame to last, following for the most part the footsteps of Professor Langdon, played pretentiously yet again by Tom Hanks. It seems that to be a Harvard professor one must be bitterly sarcastic with everyone and deliver dragging monologues about history that long overstay their welcome. In fact, according to 'Angels & Demons,' the same can be said of Camerlengos. Ewan McGregor plays the film's Camerlengo all too convincingly, pouring out endless dull speeches about the nature of faith and of mankind. The fault in this case lies wholly in the hands of the screenplay. Strangely enough, however, this same screenplay gives very few words to Vittoria Vetra, the apparent female lead, who is played inoffensively by Ms. Zuret. Stellan Skarsgard and Armin Mueller-Stahl fortunately fare better in their roles.Despite its shortcomings in some areas, the cast delivers on the whole, leading one to wonder why the film isn't better than it is. The real culprit here, in a twist worthy of a Dan Brown novel, is the screenplay. The movie drags on for an seat-squirming 138 minutes, matching each inspired thrill with a heavy-handed monologue or a piece of unnecessary historical jargon. Beautiful shots cannot beat bad pacing in this case. In fact, forty minutes of this film could be scraped away to great effect. Sadly, the said forty minutes were not cut, and this film is what it is. It's not bad, but it's no masterpiece.",6,10,18,19 June 2009
Vertigo," Hitchcock Strikes Again
","'Vertigo' is perhaps Hitchcock's most twisted film, but it is also one of his best, as well as one of the best films ever made. Everything about the film is pitch-perfect. I won't disclose plot details here so as not to spoil anyone who hasn't seen the film yet, but I will say the following.The casting in 'Vertigo' could have failed miserable had it not been done in such a careful manner. Jimmy Stewart is probably the most likable actor in film history, which makes him the only person in the world who could have played the main role in this film without repulsing the audience. He keeps the main role of Scotty afloat for the entire film when no other actor could've done the same with such a twisted role. The same could be said of Kim Novak, who portrays the leading lady perfectly, managing to appear devious and sympathetic in alternating frames. Still, my favorite performance of the film is that of the role of Midge. Barbare plays this desperate friend of Scotty's in such a sympathetic way that we almost want Scotty to run off and marry her, even if it means ruining the film.'Vertigo' is a well-made film all around. The cinematography is creepy and enchanting, as is the beautifully composed script. Of course, the real star of the film id=s the classic Bernard Hermann score, which is one of his best, probably second only to the score for 'Psycho.' In 'Vertigo,' Hitchcock masterfully proves that he is not solely a murder mystery director, and that he can create suspense even in a love affair between two deeply troubled characters. It's twisted, certainly, but it has to be. It's a fantastic film and one of the master's best.",10,5,6,29 September 2007
Walk the Line," An Oscar-worthy Film Masterpiece
","Lately, Hollywood has spewed out so many pieces of movie junk that it's become very hard to wade through them all and find truly worthy films. 'Walk the Line' is one of these films.The Music: 10/10 The greatest Johnny and June Carter Cash songs were chosen for this film, and the singing is not only worthy, but fantastic. Reese Witherspoon's singing was especially shocking and fantastic.The Acting: 8/10 Reese Witherspoon and Joaquin Pheoix give Oscar-worthy performances, but the supporting cast is rather dull and un-talented for the most part.The Length: 7/10 The film drags on a bit at times and starts off very slow. It could have been condensed into an even finer film than it is.The Story: 8/10 It's very gripping for the most part, and ends appropriately. Perhaps a bit more focus on June Carter would have made it even better and a bit livelier.Overall, 'Walk the Line' has a good message, good acting, and good music. Even people who've never heard of Mr. Cash will love it.",8,0,0,4 May 2007
Star Wars: Episode I - The Phantom Menace," Not a Ground-Breaking Success, But Not a Menace
","I'm a Star Wars fan, and always have been. In fact, I saw 'A New Hope' for the first time at one of its re-releases at age one and immediately fell in love with the franchise. For this reason, I was enormously excited when I found that a new prequel to the series was being created. Needless to say, I was disappointed by the film.I expected to see an adolescent cool-cat Anakin step up and turn bad. Instead, I got a terrible child actor trying to save his mother and not even bearing a hint of his imminent future. I expected immense and glorious space battles, but instead got a particularly boring scene in which the above-mentioned child takes on a fleet of comically ridiculous droid fighters. I was expecting to see storm troopers marching around in some form, but all i got was some dorky droids.Iwasn't happy about the film.However, now that I have viewed the entire new trilogy, the film makes more sense, though not much. It seems to lack any real plot developments in the long run, unlike Episodes Two and Three. Still, the film is visually competent, and it is nice to see the first modern interpretation of the Star Wars galaxy since the early 1980s. There's also another factor that bumped my score up from a 4 or 5 to a 6. This factor is Darth Maul.Darth Maul is one of the coolest Star Wars villains in the history of the films, falling short of Vader and Boba Fett, but falling only a small bit short of General Greivous. His scenes are the high points of the film. They are fast-paced, fun, and truly suspenseful. More importantly, they take us away from Jake Lloyd and Natalie Portman, who give awful performances. This film is not even in the same league as any of the original trilogy, and it falls short of the other two newer ones. However, it's not a terrible film, and can be enjoyed.Warning: Make sure that you take a bathroom break anytime an alien called Jar Jar Binks comes on-screen to truly enjoy the experience.",7,2,4,30 May 2007
3:10 to Yuma," 'I Hate Posses'
","As he did with 'Walk the Line' two years ago, James Mangold has brought an element of aged entertainment back into the spotlight for new generations to enjoy. This time, however, instead of picking up a bunch of Johnny Cash CDs, viewers are sure to run to the stores and pick up some classic westerns.With '3:10 to Yuma,' Mangold and crew have re-vitalized the Western in a new style that still manages to hold on to what we all love about Westerns. The film stars Christian Bale and Russell Crowe as two men divided by the law and by their sense of justice. Bale plays the 'good guy,' but he still manages to have some serious gray areas. Crowe plays the villain, though he's perhaps the most likable character in the film. Early on in the film, we see just how much influence Crowe's character holds over his crew, but it's completely believable. As we see more and more of him, we start to like him, eve if he is a brutal killer. What's interesting is that he acts in a way that he considers just.The plot is simple, though it is full of character development and intensity. There are some scenes that actually manage to be very emotionally true. There are some scenes that make you laugh hysterically until you realize how twisted the humor is. There are some scenes where the intensity goes on full-blast and we get that cool 'Western' feeling. Al in all, it's a great story with enough great scenes to fill a whole city.What brings this film to the next level is the acting. Christian Bale is very restrained and subtle as the protagonist, and his performance suits the film well. Peter Fonda gives a great minor performance that is sure to arouse memories of his father's older roles. Still there are two performances in this film that should surely be nominated for Oscars. Russell Crowe deserves a Best Actor nod for his fun and likable portrayal of such a complex and gray-shaded villain. This may be his best performance so far in his career. However, the show-stealer here is really Ben Foster as Charlie Prinze, Wade's (Crowe's) right-hand man. He embodies the classic spirit of a western villain. His lines are the best and most quotable in the film. His expressions and accent are also pitch-perfect. He utilizes his heavily-made-up face to create some of the most intense moments of the film. He also plays one of the most interesting characters in the film. He has a devotion for Crowe's character that is so strong and so passionate that it borders on (if not crosses) some unwritten lines that were only barely touched upon in past Westerns, with the exception of a particularly 'different' one that came out a couple of years ago.See '3:10 to Yuma' for the acting. See it for the upsetting but powerful take on violence. If none of these things appeal to you, just see it for the chase and shoot-out scenes and for the sheer fun spirit that the film embodies.",10,1,3,29 September 2007
The Hangover," A Good Time
","'The Hangover' is a fun movie. It's consistently entertaining, even when a few of its jokes fall flat. The plot is predictable, the characters are familiar, and the film says nothing. Still, it works as an enjoyable movie to sit down to after a long day.The plot is simple. Doug is getting married, so his two best friends and brother-in-law-to-be take him to Las Vegas for a weekend of hard liquor, strippers, and gambling. Things escalate quickly when Phil and Stu (Doug's friends) wake up in their hotel room with Doug's brother-in-law, a tiger, a baby, and an assortment of random odds and ends. The only thing missing is Doug.'The Hangover' tells the story of the men's quest for Doug; they need to find and recover him before the time of his wedding. The plot doesn't matter all that much; it's more of an excuse to put in an endless flow of gags. Fortunately, the gags work, and so does the movie. It never tries to be poignant or PC, and it has a bunch of laugh-out-loud moments. Accusations of racism, sexism, and homophobia seem a little out-of-place; all three issues are treated in intentionally absurd fashion.All three of the main actors give good comedic performances, and the script clips along smoothly. This is not a 'great' movie, but it doesn't try to be.",8,1,2,18 January 2010
Raiders of the Lost Ark," The Greatest Adventre Film Ever Made
","'Raiders of the Lost Ark' was one of the first films I saw as a young child, and it was then and still remains one of my favorite films of all time. Harrison Ford basically defines cool in his role as Indiana Jones. The supporting cast is also perfect at doing the jobs necessary to make the film great. There are funny moments, horrific moments, and moments of pure excitement as Indiana goes on his wild adventures. There's a sadistic villain with a fitting trademark, double-crossers, and of course Indie's brave allies. The action is immense, the effects are gorgeous, and the film ages very well. This is a stupendous film, the likes of which will never again be repeated. The plot is of course somewhat far-fetched, but it is presented in an interesting and realistic fashion, forcing us to buy into it. I'd recommend this film to kids 'from 1 to 92.'",10,1,2,16 June 2007
United 93," Deeply Inspiring Tragic Tale
","We all know the story. We all remember where we were when we heard the news about the terrible tragedy that occurred on September 11, 2001. For that reason, this is one of the most important films ever made in the history of American cinema. 'United 93' tells the gut-wrenching true story of the brave passengers on United Flight 93, and their desperate and selfless act to stop the terrorists on-board from crashing the plane into the capital building.The beauty of the film is that it does not make any controversial statements about the vent. Nor does it try to spin the story for its own purposes. It simply tells a true story of bravery against all odds. There is no exploitation in the film, nor is there any action simply for the sake of entertainment. Paul Greengrass simply puts forth the story as if we were there on-board or there on the ground. There's no mention of Osama Bin Laden or Iran and Afghanistan. Greengrass doesn't manipulate the characters for his own purposes. He simply shows them for who they truly were: people. Though sad, the film is truly inspiring and I am extremely proud of the passengers aboard that flight, especially after seeing the film. It ends at just the right moment and is almost poetic in a tragic way. This is what a four-star film truly is.",10,3,6,6 June 2007
Finding Neverland," An Emotional Charmer
","My strong liking for 'Finding Neverland' is very strange, being that I despise every other film on Mark Froster's resume. However, this is a great film and Forster's usually annoying sincerity and sentimentality is the perfect touch for this film. Johnny Depp shows what a great actor he really is when he takes off all the makeup and quirky mannerisms to pull off a phenomenal performance as Mr. J. M. Barrie. His acting, which in this film is restrained on the surface but powerful within, takes away the possible dullness of the film. The story itself moves along at a rather slow pace, but is charming and enjoyable the entire time. It is driven by stand-out performances by the above-mentioned star as well as Dustin Hoffman and the lovely Kate Winslet. If not already nominated for 'Eternal Sunshine,' Winslet would surely have received an Oscar nod for this film. The other show-stealer in the movie is actually the young Freddie Highmore. Having not yet received all the fame and offers he did after 'Charlie and the Chocolate Factory,' Highmore acts without any of the arrogance or pretentiousness that we have now become accustomed to seeing him with. The story itself, which is mostly true, is saddening, but at the same time breath-taking and deeply emotional. It's a tear-jerker to the highest degree, and is a great film for men and women of all ages. See it for the fascinating story and the stellar performances.",8,2,2,21 June 2007
Chinatown," 'Forget it, Jake. It's Chinatown.'
","In 'Chinatown,' Jack Nicholson plays Jake Gittes, a private eye who bites on to more than he can chew when he begins to investigate the murder of a big-shot in the L.A. water industry.Characters/Plot: 10/10 The screenplay of 'Chinatown,' which is arguably the best ever written, won the film's only Academy Award. Why? Because it's amazing! There are so many memorable lines in the film, and every twist in the plot is completely unpredictable. The characters are of course ingenious as well.Acting: 10/10 The film has two great leading performances, one great large supporting performance, and a ton of great smaller turns. Jack Nicholson gives the performance of his career as Jake Gittes, while Faye Dunaway complements him nicely as Evelyn, a mysterious woman with a twisted past. John Huston is also terrific as Noah Cross, a bigwig with a suspicious demeanor. My favorite of the smaller performances was that of Roman Polanski (the director) as a knife-wielding goon.Technical: 10/10 The violent scenes are shockingly realistic for a 1970s film, the sound and visual effects line up nicely, the cinematography is completely amazing, and the score is classic.Atmosphere: 10/10 The atmosphere of the film is its true strongest point. The costumes and at direction give off the feel of old-time Los Angeles, and the film manages to be creepy and mysterious all the way through. The score for the film is subtle but brilliant.Entertainment: 9/10 The plot moves along very well, and the film never really lets go of you once you start watching. There are really no unnecessary scenes either.Final Score: A+ 9.8/10 (49/50)",10,0,2,3 August 2007
