movie_title,title,review,rating,helpful,total,date
The King's Speech," Typical Sunday afternoon movie
","The King's speech' is a type of movie you can watch at Sunday afternoon after lunch . When the ending credits will appear,you will be probably sleeping at that time . When you wake up you won't even remember what kind of movie you were watching . You will move on with your life just like nothing had happened at all.This movie is neither funny or sad . It isn't boring , but it isn't very interesting either. It isn't empty , but it's not too deep either . I can't say it's a bad movie , but I can't say it's a good movie either . For me a good movie is something that stays with you . Something that makes you think or makes you cry or laugh . I like movies that I can remember despite I haven't seen them for long time.'The King's speech' is a 'meh' movie for me . I don't necessary regret watching it , but I've got a feeling that I could use my time more wisely . The movie was mildly interesting and I'm sure that after few days I will forget about it completely.Colin Firth , Geoffrey Rush and Helena Bonham Carter were all great. They deserve their awards. 'TKS' is nicely photographed by Danny Cohen . The costumes and art-direction are top-notch. The screenplay and direction aren't bad , but I don't think they deserved the Oscar nominees.Overall this movie is not a disaster , but it certainly didn't deserve the title of 'The best movie of 2010'. I give it 5/10.",5,2,6,15 June 2013
National Treasure: Book of Secrets," More of the same
","*SPOILERS * SPOILERS * SPOILERS * SPOILERS * SPOILERSThis sequel is a combination of the elements from previous movie plus many cliché elements. Once again the screenplay will make our heroes to go from place to another just for the sake of the movie going. Once again the action scenes will suck . Once again the music will be unimpressive. Even the final treasure chambers will look terribly familiar to the first movie.Add to that an annoying character of main heroes mother (really ? Father wasn't enough ?) , the boring Ed Harris as the villain , the irritating 'we need the second chair ' and the obnoxious final . So , in the labyrinth full of traps only villains die ? None of the heroes will even break a finger ? PLEASE. And the last second change of heart for Harris character was PATHETIC. Even more pathetic than the 'President is a noble man and cool guy ' cliché that 'National treasure 2' uses with no shame at all. And don't forget about 'they broke up , but will be together once again' cliché.The good things ? Once again the humor is real good. Justin Barthe is still great as comic relief and Diane Kruger is still cute. Nicolas Cage sucks still.I give it 3/10.",3,0,0,11 August 2013
The Incredible Hulk," Nothing incredible in this movie
","This is a reboot of Hulk franchise after not quite fair negative response from both audience and critics of Ang Lee 'The Hulk'. 'The Incredible Hulk' goes completely different way than Ang Lee . This is no drama with serious ambitions , but simple and mindless popcorn action flick.The obvious problem lies in the screenplay . The story is predictable , full of clichés and the characters are barely written . Maybe that's the reason why the actors can't show anything interesting. There are some nice jokes here and the movie has many easter eggs for Hulk fans (cameo of Stan Lee , cameo of Lou Ferrigno , the jokes with pants , the 'Lonely man' theme). The bland direction from Louis Letterier doesn't help either , just as the rather awful CGI.Edward Norton is a good actor , but she doesn't show here anything that any other actor could show. Tim Ruth is terribly weak and almost becomes a parody of himself. William Hurt is nice as the general Ross , especially considering that he's stuck in a very one-dimensional role. The worst performance of the movie certainly belongs to Liv Tyler . Not only she's been cast as the scientist Betty Ross , which is unbelievable , but her over dramatic performance gave me many laughs.The fans of Hulk were rather pleased with this one . Other viewers will be rather disappointed with this quite boring movie . It's got nothing to impress the audience – no substance , no interesting action. A pretty forgettable movie only for die-hard comic book fans. I give it 2/10.",2,1,3,30 November 2013
Requiem for a Dream," Primitive drama for MTV- generation
","*SPOILERS*SPOILERS*SPOILERS*SPOILERS*SPOILERS*SPOILERS'Requiem for a dream 'obviously has got strong acting . Jennifer Connelly shows much more talent here than in her awarded performance in 'Beautiful mind' ( by the way it was good performance) . Ellen Burstyn was rightfully nominated for Oscar for her performance as the mother of main hero. Jared Leto isn't bad either and Aronofsky deserves some respect for turning Wayans into a serious actor (at least for one movie).The music by Clint Mansell is a classic by now . Strong , haunting , memorable. As a visual experience 'Requiem' is also attractive . The montage took a lot of work and time to look so impressive . They should nominate 'Requiem ' for best editing.Putting aside the technical strengths and good acting , ' Requiem for a dream' fails as a movie for me. The whole thing feels like a MTV drama . It's loud , colorful , sometimes shocking and as deep as average music video shown on that channel.Many people who praise 'Requiem' admits that they have seen the movie only once , because they were to afraid to watch it again . I strongly recommend that you should watch this movie at least 2-3 times . If you watch it only once the shock might fool you that you have seen something deep and thought provoking . If you watch it again you will notice how cold , calculated and mechanical this movie really is . Drugs are bad – says Aronofsky and that's really the only thing he has got to say . Everything else is just a distraction.The characters are barely written . The relationship between Leto and Burstyn , love between Leto and Connelly , friendship between Leto and Wayans – it's all incredibly thin and barely touched . Connelly's character is an terrible cliché – daughter of a rich people , she feels unloved because her parents care only about money , she feels lonely , her parents are far away and left her with a guardian , bla bla bla . If it wasn't for Connelly I wouldn't care about her character at all . She was able to bring some soul into such lame character . The movie also never explains or develops Wayans past ( one flashback with his mother and that's it ? Really ?) same as never gives the viewers a little bit more information on Leto's and Burstyn's family life.'Requiem' also has got some serious plot problems . Connelly is a daughter of rich people. They give her lot of money , yet when she needs the money the most , in critical situation of the story , they 'magically' disappear not leaving any trace where they can be . The powerful drug dealer that rules the whole town has incredible money and power . Yet , he's not able to find a girl for himself !? That's a chance for Connelly to get some money ?! In real life he would be surrounded by at least few girl's , but not here . Here Aronofsky needs to break Connelly's character emotionally , so he crates two terribly unrealistic situations for a large dramatic effect.I think it's stupid that Leto kept injecting drugs in ONE PLACE OF HIS BODY . Even when his arm is ALL PURPLE AND LOOKING F****** TERRIBLE ?! Seriously , how stupid is that ?! I'm not a junkie , but I wouldn't never do that . I've seen also a documentary about junkies . They inject drugs in different places on the body to prevent danger . They aren't retarded as the movie suggest. And it's no way possible that doctor in hospital would call police first and not take care of the sick arm first . I also 'love' the description of America in this movie. EVERY doctor , cop or prison guard is a cold blooded sadist or uncaring bastard at best . So you see , our heroes are living in such OPPRESIVE country that they HAD TO become junkies .The ending of the movie is basically an marathon of torture for each hero. Aronofsky plays with viewers emotions in a rather primitive way (4 tragedies combined together instead of one). 'Saw' has more subtlety. Funny thing – on repeated viewings , when the element of surprise is gone , you will find that there's no heart , no real emotion hidden in 'Requiem'.I give it 5/10 . Maybe the pure shock will keep some people away from drugs . That's a good thing . Except that , 'Requiem' is more of MTV video instead of art . Style over substance . More shock than a message. Movies like 'Naked lunch ' or 'Fear and loathing in Las Vegas' are better movies about drugs.",5,3,5,4 August 2013
The Expendables 2," Good tribute to old school action movies
","'The Expendables 2' is a slight improvement over the first movie. It's very funny , very charming B-class movie that is proud of what it is. A big , funny , nicely made summer blockbuster that wants to entertain as an action fairytale. People who don't like this movie because it's unrealistic , cheesy and over the top forgot one thing – it was INTENTIONAL . The movie is a great love letter to old school action movies . To the movies that were full of testosterone . When one hero could defeat a whole army . Where one-liners and jokes were brilliantly cheesy and bad . Where heroes were larger than life and so were the villains. The movie keeps joking about itself and makes countless references to classic action movies.Stallone has been replaced by Simon West ('Con air') as the director. It's a good decision , because his direction is superior than Stallone's from the first movie. 'Expendables 2' is full of energy , and never boring or too serious for it's own good (another flaw of the original movie). There are some moral dilemmas here , but thankfully they aren't heavy handed and give the movie some kind of heart and depth.The movie makes a better use of the all star cast. Dolph Lundgren is great as comic relief . Jason Statham has two really nice fights. Jet Li appears for only first 15 minutes , but was able to show his fighting skills. Stallone is more convincing as the leader of the group. Bruce Willis and Arnold Schwarzenegger who were wasted in the first movie actually take part in action and give us their charisma and famous one liners.The newcomers are also fun . Chuck Norris is adorable when he makes fun of himself. Jean Claude Van Damme is really good as the villain and definitely a better choice for that role than Eric Roberts.There are some flaws. One new hero isn't really that interesting and the subplot involving him left me cold. Van Damme doesn't have too much time . Some jokes are rather flat. There is a love story here that is definitely undeveloped and feels unnecessary.Plenty of cartoon violence , destruction and carnage. Big explosions . Lovely silly dialogue . I felt like a kid once again. They simply don't make them like this anymore. It's a shame. Too many action movies are dead serious and this one was a welcomed change of style.If you like 'Commando' , 'Cobra' , 'Tango and Cash' and so on you'll be satisfied . If you like more serious action movies , please go somewhere else. I give it 7/10.",7,0,0,28 July 2013
Source Code," Idiotic movie from beginning to the end
","*SPOILERS*SPOILERS*SPOILERS*SPOILERS*SPOILERS I didn't liked Duncan's Jones previous movie 'Moon' which had positive reception , despite my opinion that it was poor man's '2001 Space odyssey'. This movie is even worse . 'Moon' at least had good acting , music and art direction. 'Source code' doesn't have anything to defend itself.The story obviously has been inspired by movies like Groundhog day' , 12 monkeys' , 'Memento' , Deja vu' or Inception'. It's hard to find something truly original nowadays , so the lack of originality isn't a sin here. However the fact that Jones managed to create a dull nonsense based on such good movies is something that cannot be left without a comment.One has to remember that real life Source Code isn't a computer program. In the movie the source code is a computer program which creates a worm hole to plug any consciousness into other similar parallel universes it can locate based on its input data. Here we have all the minds on the train whose last 8 minutes of existence have been recaptured to locate the exact time, place and event that the army wants Gyllenhaal's consciousness to be plugged into.The problems here start from the beginning. How can you create an entire fully-interactive alternate reality based on somebody's memory ? MEMORY by definition is s something fixed that can't be changed or interacted with. How do you create an alternate reality at all ? Creating alternate realities and being able to recover the last 8 minutes of a dead person's memory are two concepts that have absolutely NOTHING in common. Those are two SEPARATE ideas badly combined together. The plot's ideas are far-fetched and they're not even consistent or logical. It's impossible to suspend disbelief.At one point we learn that 'some part' of the main character's brain is 'still functioning'. It would be absolutely IMPOSSIBLE to undertake the complex tasks he does with only 'some part' of his brain. And why the army won't tell Gyllenhaal what's going on ? They send him time after time after time without telling him about the situation ! How he or anybody else in his situation was about to solve the mystery without any information ?! It's not until five Gyllenhaal's failure they decide to tell him about the program , bomb , terrorist , his situation and what they want from him. Jesus , it's like sending a recruit to war without any weapon or training WHY does army and Gyllenhaal think the person detonating the bomb is ON THE TRAIN when it blows up ?! They know about the second attack , so it's obvious that the person responsible couldn't blown himself up. No solid reason is ever given for why his commanders are so incredibly sure the suspect was even on the train ANYWHERE CLOSE to that 8 minute window he keeps visiting to begin with Other issues – Jake Gyllenhaal is an SOLDIER ?! God save America ! The love story between Gyllenhaal and Michelle Monaghan not only is morally wrong , but also completely forced , unbelievable and unnecessary. The terrorist is just one man who was able to CREATE ATOMIC BOMB BY HIMSELF. I know it's possible to create a bomb by yourself, but NOT an atomic bomb (without skills , money or equipment) ! And how do you sent SMS from one universe to other ?! This film is a whodunit and the guilty person in this movie is obvious from the beginning. The question is answered by the first candidate the audience suspects, but the last the protagonist bothers checking. 'Source code' suffers from being repetitive since Gyllenhaal repeats the same 8 minutes over and over again. The characters are uninteresting and rather dull. The movie doesn't have any heart , despite the lame subplot with hero's father. The acting is terribly bland , special effects mediocre and the dialogs completely forgettable.What is the meaning of the movie ? That we should appreciate every second of our lives ? that there is a parallel universe to ours ? That we should be nice for each other ? This comes from a 'visionary' director ?! It's terrible cliché . The ending is lame , totally unconvincing and denies the 'logic' of the universe Jones created (not that there was any logic in this movie from the beginning) . Terrible movie that pretends to be smart . It's not science fiction , but BULLS*** FICTION. I give it 1/10.",1,2,10,20 September 2014
Catch Me If You Can," A movie worth catching and watching
","This movie is based on real story . Since this is a Hollywood movie probably some things were changed , but that doesn't really matter . What is important is this movie entertains . It's long , 2 hours and few minutes , yet it's never boring . It's set during the 60's and 70's and the humor in 'Catch me if you can' reminds me humor from movies from that time. My favorite joke is the 'knock, knock' joke from Hanks.The opening credits sequence is brilliant. It's one of the best opening sequences ever. DiCaprio fits in his role well with his boyish look .Tom Hanks is nice as the grumpy FBI agent. Christopher Walken steals the show with his performance as the charming , always optimistic father of our hero. He deserved Oscar nomination. It was also good to see Martin Sheen and Amy Adams. Jennifer Garner appearance was rather pointless.The tricks that DiCaprio uses look believable . I can only complain that he acts a little bit stupid during the second half of the movie , but maybe that's how it was in the real life ? Anyway the movie provides good fun . There is some depth here . Both DiCaprio and Hanks are lonely people who have nothing more than their jobs . Spielberg also tries to explain why Frank Abagnale Jr. started his criminal career . His explanation sounds logical – he was running away because he couldn't deal with his parents marriage problems (He was 16 years old then). 'Catch me if you can' is a well made fluff entertainment. I give it 8/10.",7,2,3,8 November 2013
Iron Man 3," Why I didn't like Iron man 3'
","*SPOILERS*SPOILERS*SPOILERS 1. A dark and gritty movie about Iron man ? I was skeptical before I saw the movie and sadly my fears were confirmed. What works for grim heroes like Batman , Daredevil and Punisher doesn't work for light and colorful character like Tony Stark. All those deep themes like 'You betrayed your beliefs' or 'Terrorism is bad' were just unconvincing and annoying.2. The 9/11 references worked well in 'The Dark knight trilogy' , but here they feel completely forced and unnecessary.3. The love story between Tony and Pepper is TOO melodramatic.4. The whole Tony suffers insomnia and panic attacks after the events of 'Avengers' on paper seems like a good idea , but it was very heavy handed here. Not to mention that all those panic attacks 'magically' disappear after the kid gives Tony advice 'You're a mechanic. Build something'. Despite all the bad things happening later , Tony doesn't show any sign of panic attacks to the end of movie.5. The idea of showing that Tony is a hero without the suit is good , but was badly done. I mean when Tony fights with the mutant woman or defeats the guards in Miami it's simply unrealistic. When and where he did learn to do that ? Bruce Wayne had martial arts training , but Tony Stark didn't. Yet , he defeated the guards and woman without any problem in style of Jason Bourne. For further insult near the end of the movie Tony shows that he can't shoot at all.6. Tony announces his home address ON TV FOR THE WHOLE WORLD TO KNOW. I understand he was mad at Mandarin at that time , but this was simply STUPID. He endangered himself not only Mandarin , but also to journalists , fans and other people. He wouldn't have any kind of privacy after that.7. Tony's mansion is well equipped with wonderful gadgets and technology , yet it doesn't have any kind of security. No alarms , no force field , no nothing .8. When somebody attacks your home you have to fight with him wearing a prototype suit that will almost certainly fail you at the most unwanted moment.9. I find it totally unbelievable that Tony and Maya survived the missile attack. Pepper had the suit , so it's not strange that she survived , but the others should turn into pieces of meat.10. Quaillan motivations for revenge on Tony Stark seems to be based on the fact that Stark wasn't nice to him. I'm sorry , but that's just lame.11. The twist with Mandarin was rather predictable. Mostly , because Ben Kingsley wasn't one bit convincing in that part. Sure , when the 'secret' was out he was good as the drunk actor , but not as Mandarin.12. Quaillan as the main villain isn't really interesting , despite good performance by Guy Pearce. It would be much better if Mandarin really was the main villain and a faithful one to the comics.13. I'm sick of another Hollywood movie when the president of USA is basically saint.14. Gwyneth Paltrow in black bikini and with superpowers defeating the main villain ? PATHETIC.15. Don Cheadle just like in 'Iron man 2' proves here that he doesn't fit the part of Rhodes/War Machine at all. Terrence Howard was MUCH better.16. Tony had AN ARMY OF IRON MAN'S all this time , yet like a lost idiot he called them at the very end ! Why ?! He could called them from the moment the kid repaired Jarvis . At least one of them . It would certainly made things easier for him , but NOOOOOOO.17. Tony had to wear electromagnet in last two 'Iron man' movies to survive because there was no other way for him to live. Here , 'magically' , without no explanation he simply removes them thanks to an operation. HOW ?! I thought it was impossible to do ?!The special effects are good , the humor is nice and the acting is solid , but otherwise this is a completely disappointing sequel. The story is dumb , the action scenes lack excitement and the movie takes itself way too seriously. I give it 4/10.",4,0,3,9 April 2014
Deja Vu," Bad time travel movie but fairly entertaining
","The acting here is very decent - Denzel Washington , Val Kilmer and Jim Caviezel are all very OK. The film is a nice eye candy which isn't strange considering that this is a Tony Scott movie. There is also a nice and quite inventive car chase that happens in both past and present (watch the movie and you will understand what I'm talking about).The screenplay is however poor. * Why an Alcohol Tobacco and Firearms agent is investigating terrorist activity and a murder scene, which should surely be the province of the police, FBI or Homeland Security. * The terrorist has no motive for his madness * US government has a time machine that needs a lot of energy just to send a piece of paper in to the past (it knocked out the whole city power). Yet when Denzel goes back in time the problem is miraciolusly solved ! * Denzel is so strong he only needs a couple of hours to recover from dying * Denzel only needs to wash his wound to stop it from bleeding * Why send Denzel instead of sending a note to the police from the past ? * The movie ends with a paradox that is very confusing to explain or understand (look the IMDb FAQ for this movie).It's fairly entertaining , but dumb and mostly predictable movie. I give it 3/10.",3,0,1,31 December 2013
Unbreakable," Great tribute to and deconstruction of comic books
","'Unbreakable' was a movie that many had high expectations after the surprising success of 'The Sixth sense' . The movie was met with mixed reactions . The next movie 'Signs' also divided people and 'The Village' can me called a breaking point of M. Night Shyamalan's career. His next movies became more and more worse and right now hardly anyone takes Shyamalan seriously. It's sad , because I really think that 'The Sixth sense' , 'Unbreakable' and 'Signs' while are not without flaws , are certainly good movies . The first two are great and deserve to appear on 'the best movies ever' list . 'Unbreakable' might be the best of Shyamalan movies . It stands better on repeated viewings than 'The Sixth sense' . The ending is more logical and unpredictable and the whole movie doesn't seem to really too heavy on the surprising ending than it's famous 'older brother'. It's like a cherry on the top of delicious cake rather than the main attraction of the movie. The somber mood stays with you and whole picture really feels like a work of art , not entertainment. It does have few things in common with 'Sixth sense' (Willis , atmosphere , twist endings , supernatural undertones) , but please watch it as an completely separate movie.This movie takes time for buildup of atmosphere, strong character interaction, and it's heavily centered on characters and their psychology. Shyamalan might be the best director since Hitchcock with his ability to create suspense. Fall on the stairs , drowning in the swimming pool , the fight – those scenes are really breathtaking and magical.'Unbreakable' walks a fine line between being realistic and comic bookish. This movie precedes 'Batman begins' as the first superhero movie grounded in reality. It is however a psychological thriller , not an action movie. What if superhero did exist in real life ? Is Jackson's character right about Willis ? Shyamalan gives the audience many subtle hints that will become clear if you watch the movie again. There are many clever visual symbols , dialogue lines or camera angels that are references to comic books. They are also hints foreshadowing the ending of the movie. If you are a comic book fan you will probably notice them quicker than the rest of audience. As for the ending that was often criticized – it's perfect the way it is. It's a deconstruction of comic book logic. What happens here is what would happen in real life. It's pretty much goes against comic book fans expectations , just like the whole plot of this movie. It's sad that people weren't ale to see this.Bruce Willis (for the second time in a row works with Shyamalan) creates a completely convincing portrayal of average Joe with depression and family problems . There is a aura of sadness around him and that's says something about his acting skills. He's certainly more capable actor than the typical tough guy he often plays. What Willis does here is so subtle that many half-intelligent viewers will say that his not acting at all. Samuel L. Jackson is creepy , mysterious yet sympathetic at the same time. He's got a great chemistry with Willis (just like in 'Die hard with a vengeance'). There's something bizarre in him (in a positive way). As for the supporting characters Spencer Clark is great as Willis son and Robin Wright Penn is solid as Willis wife.Director of Photography Eduardo Serra did a great job . He used dark, slightly blue colored filter for most of movie time to create an haunting atmosphere . The movie does look really like a comic book with some of the camera angles. James Newton Howard also deserves praise for his silent , yet powerful soundtrack. The music during the fight is quite chilling.'Unbreakable' is a movie about many things – about dysfunctional family, how comics have shaped popular culture in the 20th century and became modern myth , it wonders about the origins of evil and good , what it means to be a hero , about destiny and self realization. Too bad that the potential franchise was killed by the inpatient audience . Today , people get bored very quickly . If only they knew what they miss I give it 8/10.",8,0,0,30 November 2013
