movie_title,title,review,rating,helpful,total,date
The Rock," Fast-paced thrill ride is marred by silliness and occasional blurry editing.
","7 out of 10Michael Bay and Jerry Bruckheimer are responsible for some of the most hated movies of the past five years.  But before every critic started pouncing on their collaborations, they gave us The Rock, arguably the best film of Bay's career and probably the most efficient example of the Bruckheimer formula, which is basically to put thousands of people in danger, having a ticking clock, and watch stuff blow and get shot up real good. 
At that, The Rock is a success, moving at a lightning pace that's guaranteed to entertain you from beginning to end.  There's shootouts, car chases, and fisticuffs; all the action's directed with energy and flair.  There are, unfortunately, some big letdowns.  Bay's obsession with quick cuts renders the San Francisco car chase into a big blur.  The script is stupid (take, for instance, the scene where virtually ALL the Navy Seals pile up in that one room, all strung up for one big massacre) and Cage is as annoying as he is amusing.  Standout performances from Sean Connery and Ed Harris, as usual.  This is an entertaining thrill ride, too bad Bay and the screenwriters had too much coffee.",Null,2,2,5 December 2002
Star Wars: Episode I - The Phantom Menace," Aside from the beginning, middle, and end this is dreadfully dull.
","5 out of 10The Phantom Menace is the introduction to the Star Wars saga, meaning it has a lot to live up to.  For me, I'm just looking for good old-fashioned fun, but the movie mostly fails to live up to even those expectations.  Yeah, like some of the previous Star Wars movies, the dialogue is horrendous and the acting is incredibly stiff, but this would all be acceptable if the movie was consistently entertaining, which it most definitely is not.Is there anything commendable about the film?  Certainly.  The special effects are excellent and imaginatively conceived.  Liam Neeson delivers a fine performance, easily the movie's best.  And yes, the action sequences (of which there aren't nearly enough of) are quite thrilling, particularly the climactic two-on-one lightsaber fight.  All this, of course, isn't enough to make this a high recommendation but sci-fi/action fans will see it anyway.  At least this set up the far superior Attack of the Clones.",Null,1,3,28 November 2002
The Ring," A hair-raising, nerve-racking horror/thriller.
","**** out of ****Naomi Watts stars as a reporter who investigates the mysterious death of her niece and discovers the cause may have been a videotape that kills you seven days after you see it. Plot-wise, that's all you need to know as you should prepare yourself for a gripping, downright terrifying mystery that is easily among the scariest films I've ever seen.Gore Verbinski's wonderfully stylish direction makes up for the minor flaws that exist in Ehrin Kruger's otherwise chilling screenplay. The performances are all very good, with Watts delivering another standout turn.There have been plenty of outstanding genre pictures the past two years, but so far, this is the best. Yes, it's doubtful you'll ever look at your VCR or television the same way again.",Null,0,0,24 November 2002
Raiders of the Lost Ark," A wonderful movie, but I still prefer The Last Crusade.
","Rating: **** out of ****There is no doubt in my mind that Indiana Jones is the best movie series in the history of cinema. And the one start it all was Raiders of the Lost Ark, a fast-paced adventure packed with one death-defying cliff-hanger situation after another. To this day, Raiders remains one of the best action movies, holding up better than most of today's rapid-cut, MTV-style 'thrill rides.' Raiders relied on no CGI, no flashy editing, just pure, exhilarating film-making and storytelling, a combo of its kind that has only been surpassed by its second sequel, Indiana Jones and the Last Crusade.Harrison Ford stars as Jones, an archaeologist who dresses in a brown coat and fedora, armed with a revolver and lion-taming whip. A delightful opening involving elaborate booby traps informs us he's used to these adventures (especially his even closer brushes with death in Temple of Doom, which was a prequel). When he returns to the states from his latest 'excavation,' he's informed by the military that the Nazis are after the ark of the covenant, an artifact that could possess the power to make the Nazis an invincible army. So Jones sets out to retrieve the ark first, in what will prove to be one of his greatest adventures.There's probably little doubt that Raiders is the fan/critical favorite of the trilogy, but there are a few things that I actually have to gripe about, blasphemous as it may be. For one, even though the story is excellent, it's not without its holes. Most perplexing is in the film's opening scenes, when we wonder why Jones bothered to bring along potentially traitorous porters when it's such a short distance from the river to the cave temple. Also (spoilers), one needs only to see the film once to realize that if Indy had never tried to intercept the Ark, the Nazis would a) have never found it or b) still would have suffered the same horrible fate regardless.The action sequences are superb, though an early bar shootout isn't quite as adrenaline-pumping as it could be and looks quite bland compared to the film's other action scenes. Thankfully, the following street chase is playful and exciting and keeps the joyous momentum flowing. Overall, I'd still argue that both Temple of Doom and The Last Crusade boast more inventive action but there's no questioning that the action scenes in Raiders are fantastic and likely superior to any film you may have seen the last few years.As bitchy as I may sound, I'm not trying to harp on Raiders, at least not too much. The movie does feature the famous (and deservedly so) truck chase, one of the most unbelievably thrilling and exhilarating action setpieces I've ever seen (and given an extra boost by John Williams' beautifully rousing score). To this day, even with the recent chase scenes in The Matrix Reloaded and Terminator 3, this sequence has yet to be surpassed.Other standout sequences include a sarcophagus almost entirely decorated with snakes, imposing statues, and well-preserved mummies, and Jones' mano-a-mano battle with a seemingly impervious Nazi mechanic. The finale takes the film dangerously close to the horror genre, climaxing things with a truly memorable (and quite frightening) light show for the ages. Every Indiana Jones film has a scene that scarred me as a kid and I think every one who's seen Raiders knows what I'm referring to (as well as its sequels)I've said it before, Harrison Ford is wonderful as Jones, embodying a hero that's cool beyond words, yet still entirely human and believable. The supporting cast isn't as up to par: Paul Freeman makes for a decent but not particularly menacing villain as Belloq and Karen Allen is somewhat annoying as Indy's love interest, but there are an equal share in gems, particularly Denholm Elliot as Marcus Brody and John Rhys-Davies as Sallah (The Last Crusade wisely gave these actors/characters more screen time).Raiders of the Lost Ark was revolutionary cinema, paving way for summer blockbusters that would attempt for the same winning mix of thrills and humor. Only its sequels matched and/or surpassed it, but some have actually come close (The Mummy). If you haven't seen Raiders yet, put it on the top of your list.",Null,109,197,16 July 2003
Minority Report," A sci-fi thriller that's actually intelligent and exciting.
","**** out of ****If not for Kurt Wimmer's fabulous Equilibrium, Minority Report would probably be my choice for (so far) the best sci-fi thriller of the decade. Pretty hefty statement, I realize, but Minority Report's a pretty hefty movie, one that plays as an innovative mix of futuristic sci-fi and film-noir. And I'm a little surprised nobody prior to Steven Spielberg has tried for for a similar formula (cases have been made for Blade Runner and Dark City, though I can't entirely agree).Minority Report is set in the year 2054, a future that, outside of the roads and constant eye-scans, still visually resembles the present (or the past, in this movie's case). Tom Cruise stars as John Anderton, one of the heads of Pre-Crime, a division in Washington, D.C. that has the ability to stop murders before they happen, thanks to the work of three Pre-Cogs, psychics (two male and one female) permanently placed in a watery bath, delivering info about the future to the Pre-Crime division (just how it's done is revealed in a very clever and tense opening sequence).
Anyway, there's a debate over whether or not Pre-Crime should go national, and it's something that the people are going to vote on. The creator of this division, Lamar Burgess (Max Von Sydow), is a bit wary of the FBI agent (Colin Farrell) sent to investigate the way the division operates and the possible infallibilities.Anderton himself has a bit of a mess in his personal life. He lost his son six years ago, is divorced, and is addicted to illegal drugs. But matters grow even worse when the Pre-Cogs' latest vision displays a pre-meditated murder (unsurprisingly stated as a rarity in D.C.) and the killer happens to be Anderton himself! Going on the run, Anderton struggles to escape his old teammates and discover the truth behind this vision; is it a mistake or a genuine view of a nightmarish destiny?First off, let me say hats off to Steven Spielberg. The man's always had unfounded criticism tossed at him with virtually every film he's ever made. It's nice to see he's never dissuaded (or influenced) by such complaints, he's a filmmaker who's always crafted his films with a touch of confidence and genuine emotion that few directors could even hope to achieve in decades worth of work (in case you can't tell, I'm a Spielberg fan, meaning I've just incurred the wrath of David Lynch lovers).Spielberg's work here is, right off the bat, much unlike anything I've ever seen him do. Sure, there was A.I., but not a segment in that film resembled Minority Report's opening scenes, a montage of quick-cuts awash in blue colors that builds in both violence and intensity, in spite of the fact this sequence moves backward (meaning the violent act is committed first, then we see what led up to it). The segment ends with a close-up of an eye, with the camera pulling back to reveal a woman lying in a pool, ominously stating the word, 'murder.' It's a chilling, daring intro that holds a lot of promise, and instead of disappointing, the rest of the film actually manages to improve upon it.The future that Spielberg presents here is entirely believable, from both a societal and technological viewpoint. Most interestingly, when I first saw the previews, I'd expected a 'Big Brother' type society akin to 1984, one in which the government monitored all the actions of the people. But that's not the case here. The government presented here questions the ethics and logic behind Pre-Crime because if this were reality, it would be a subject matter of serious concern, and not just hive-minded behavior and blather about how this is for the good of humanity. Finally, we get a film that features a dark view of the future, but simultaneously gives us reasonable, intelligent characters that realize there are pros and cons to everything.On a dramatic level, Minority Report delivers with as much resonance as A.I., and maybe even moreso when you factor in just how coherently and cleverly Spielberg and the writers tie all the subplots together. The emotional baggage is handled mostly by Tom Cruise, who does quite an admirable job; maybe that's an understatement, like the man or not, he delivers one of the better performances I've seen all year.  In vital supporting roles, Colin Farrell and Samantha Morton shine with charismatic and powerfully dramatic performances, respectively.Plot-wise, the film is on solid ground with a few admittedly major stumbles. One of the movie's narrative burners is the move to make Pre-Crime national, which when you consider the logistics, is almost impossible (3 pre-cogs, an entire country, the cops have to decipher the location through the visual clues; let's face it, you'd need thousands of pre-cogs to pull it off). (Major spoiler here) The film's big plot twist, while fairly surprising and thought-provoking, doesn't completely hold water. It's a nice, well-done time loop, but if you consider what happens, then by that basis, I'd suspect a LOT of people could just as easily be accused of murder on such thin ground.Whether or not Minority Report would appeal to the traditional summer crowd is a little iffy. There's not a whole lot of action (though the jetpack chase/car factory fight is one of the most hectic, exciting action scene I've seen all year, probably surpassed only by the climactic battle in Equilibrium), the story requires undivided attention (and maybe even a repeat viewing to gather in all the themes), and the downbeat, almost pessimistic tone will throw a lot of viewers off. But for those who do get caught up in this twisty tale (and that should apply to most people), Minority Report offers a lot of rewards, more than you could reasonably expect from a big-budget blockbuster.A lot of people see Minority Report as a warning for how far technology could go and bite us back. While such a statement works to an extent for A.I., Report is mostly about morals, accepted ethics, and an intriguing look on just how far people are willing to go for their own survival in this 'winner takes all' society. As far as science fiction goes, the genre hasn't been this damned smart and thought-provoking since Dark City.",Null,6,9,9 May 2003
Underworld," Underworld finished under my expectations.
","Rating: ** out of ****As an introductory film to hopefully a larger, more epic and expansive series, Underworld fulfills its requirements adequately. There's enough action, blood, and tight latex outfits to satisfy a genre fan's thirst and the execution is decent enough that I look forward to the sequels, but there's the unmistakable sense of promise left unfulfilled. Set in an unnamed city, the gorgeous Kate Beckinsale stars as Selene, a 'Death Dealer,' a vampire whose job is to hunt down the remaining Lycans, aka Werewolves. According to vampire history, most of the werewolves should have been wiped out in past wars, but a subway venture reveals there is still a formidable-sized population of werewolves. Against the wishes of her master, Kraven (Shane Brolly), Selene investigates further and discovers that the werewolves are particularly interested in a human named Michael (Scott Speedman). After an encounter with head werewolf Lucian (Michael Sheen), Michael is bitten but saved by Selene, who grows infatuated with this human. Why, is never made clear, other than the fact that he 'saves' her life. As Selene pries deeper into the mystery surrounding Michael, she uncovers a conspiracy involving both vampires and werewolves that could tip the balance of the war.As most people have already said, by far the movie's most memorable image is the sight of Kate Beckinsale in tight latex. For those who find her a hot babe (like me), Underworld might just be worth watching for her alone. Hell, if she'd shown some nudity, I would have even bumped my rating up 1/2. Alas, she's still great eye-candy.The picture itself is a bit of a mixed bag. On the one hand, there's lots of shootouts and fight scenes that are well-staged and filmed and reasonably exciting. The werewolf effects are excellent and the transformation scenes are some of the slickest, most convincing I've seen on-screen, certainly better than anything seen in The Howling or An American Werewolf in London. Beckinsale, in addition to being a delectable hottie, makes for a kick-ass, first-rate female action hero. But on the other hand, Underworld is a grim, joyless picture, accentuated by its deadly serious performances and occasionally laughably earnest dialogue. Much like the Blade films, a lot of what the characters have to say is hard to take seriously, the mythology hampered by the fact that it's being juxtaposed with CGI-infested action scenes (though, admittedly, any five minutes of Blade has a much worse problem with this than all of Underworld).Underworld is neither scary nor suspenseful. Selene never really gets herself into any combative situation she can't get herself out of, usually because most of the opponents she fights aren't nearly as skilled as her. Though there are plentiful werewolf effects, I think I would have preferred more scenes of Lycans skulking around in their hulking bodies rather than watching them in human form.Undoubtedly, Scott Speedman must be one of the worst examples of a romantic leading man I've seen. He and Beckinsale have no chemistry, and considering it's her affection for him that spurs her to 'betray' her own kind, this is a pretty damning flaw. It's also during her scenes with Speedman that Beckinsale is at her least convincing; she won me over as a kick-ass vampiress, but I had a hard time believing she was in love with this bland nobody named Michael.Directed by first-timer Len Wiseman (who apparently stole Beckinsale's heart on-set, enough that she left Michael Sheen for him), Underworld is slickly-crafted and boasts a strong, pervasive atmosphere. Maybe with more passionate performances, more well-orchestrated thrills, and some bare skin from Kate, the sequel will be an unqualified success.",Null,4,8,3 February 2004
Pirates of the Caribbean: The Curse of the Black Pearl," Depp and Knightley are fun to watch, but it's not the rousing adventure I was expecting.
","Rating: ** out of ****I saw the movie in the hoopla of all the hype, when most people I knew were proclaiming this one of the summer's best films. Not unexpectedly, I walked into this one with high expectations, hoping for perhaps another Indiana Jones and the Last Crusade or even The Mummy. Walking out of the theater a very long two-and-a-half hours later (actually, more like 2 hours 50 minutes, given the previews and the final scene after the credits) (this movie has way too many double crosses and false climaxes), I'm not even sure if this is better than The Mummy Returns.Based off an amusement park theme ride, a lack of solid plot isn't a surprise. Orlando Bloom stars as Will Turner, a dashing blacksmith who's in madly in love with the beautiful Elizabeth Swann (Keira Knightley, a Natalie Portman look-a-like, except she's much prettier and appears to be a better actress). But when she's kidnapped by a group of ghostly pirates (led by Geoffrey Rush), Turner enlists the help of pirate Jack Sparrow (Johnny Depp), who appears a few cards short of a complete deck. Dark secrets are unearthed and it is revealed the undead pirates need to make a blood sacrifice to become human again.It's not that Pirates' premise doesn't hold any potential, the movie does, after all, give us the prospect of an oceanbound adventure, the kind of movies you don't see too often. But Indiana Jones on water, this is not, for it lacks all of that trilogy's infectious sense of fun and thrilling ventures into the unknown (not to mention the smart dialogue and rousing John Williams' score). If not for Johnny Depp's performance and Keira Knightley's beauty and strong screen presence, Pirates might very well have lulled me into sleep.The movie's biggest problem is its generic action sequences. Most of the swordfights are routine, directed without much flair or energy, and their bloodless presentation is just too juvenile-oriented for me. In fact, they all start to look the same after a while, so a little variety would have been appreciated. The film's one semi-creative fight, between Turner and Sparrow, is ineffective since you realize neither are in danger, and the climactic battle, pitting dozens of the undead pirates against the living, doesn't work since the fighting is done by characters I didn't give a damn about.I like the actual concept of fighting undead pirates, but most of the villains are so goofy (especially the one keeps that fake eye), it's hard to see them as an actual menace. And when they are played for laughs, they're not very funny, either (how many times can we see an eye pop out before it stops being funny?). Also, making them former mates of Sparrow's sort of demystifies them (as if their goofy behavior didn't do so already).As a pure adventure, Pirates is fraught with a lot of problems. It's repetitive, the characters keep going back and forth between the same islands and boats, sneaking in and out. The most successful adventures usually get the characters going from A to B to C, rather than A to C, then B, and then back to C, then B, and then back to C (and in this case, even back to A!). I got sick of seeing that island cavern over and over in ten minutes.But Pirates is not without merit. Its singular savior is Johnny Depp, whose introductory scene is so hilarious, I was afraid I'd choke on my laughter. Sure, some of his scenes don't work so well (like when he tries to get those two guards to distract themselves), but he's more often a blast to watch than not, and most of the scenes he's in are pretty enjoyable. I also liked Keira Knightley (almost easily the movie's best piece of eye candy when you compare her good looks with some of the goofy visual effects), who displays genuine fire and feistiness even when she's mostly played as a damsel in distress. Both performers make the best of their parts, elevating the material quite significantly (if Depp and Knightley weren't present, the movie would have gone from middling to bad in a heartbeat).Klaus Badelt's score sounds almost exactly like Hans Zimmer's work in The Rock given a period flavor. It's distracting, I spent too much time wondering in what ways Badelt would rip-off scores from Jerry Bruckheimer films. But at least it gave me an excuse to pay attention to something in-between th e scenes featuring Depp and Knightley.",Null,19,40,15 August 2003
The Fifth Element," Very silly but great to look at.
","** 1/2 out of ****The Fifth Element may very well be the most elaborate, visually magnificent film I've ever seen. Everything, from the spaceships to the flying cars to the city, is an example of eye-popping special effects. For that alone, I would recommend it. There are several other things going for it, too, though I can't forget the fact that the story is a mess and many individual scenes are annoying and headache-inducing. Hey, everything comes with a price, and these visuals are no different.In terms of plot, let's just say the film takes place a few hundred years in the future, and Bruce Willis is the hero who must save the Earth before a huge ball of evil will destroy it. To do so, Willis needs the help of the fifth element, turns out its Milla Jovovich. Impeding the good guys are a band of ugly aliens and an over-the-top Gary Oldman as a nasty businessman named Zorg.There are a lot of little things about The Fifth Element that bug me. First is Zorg's motivations. Apparently, he's been chosen by that big ball of evil to hinder Willis and Jovovich, and he cooperates seemingly because he believes in a big financial pay-off. Exactly what he can do with any riches after the Earth is destroyed raises more than a few questions. Basically, Oldman's just here to chew the scenery and give us a human villain, even though in the end, he isn't particularly menacing and never even comes face-to-face with Willis.Rather, the villains who participate in the physical action are a group of really ugly aliens (whose names I can't think of at the moment) that have the ability to shapeshift. These aliens look really silly, but I'll give director Luc Besson the benefit of the doubt and assume the effect was entirely intentional. Even then, they don't make for very imposing antagonists, they're almost as easy to kill as storm troopers, and they're only slightly more competent.But such flaws are made up for by not only the movie's great look, but its sense of fun. At its heart, The Fifth Element is not science fiction but a comical action/adventure with mismatched heroes, a 'damsel in distress', and bad guys who threaten the world itself. Bruce Willis makes for a great deadpan hero, and as usual, excels during the action sequences. Jovovich isn't quite my idea of the perfect being, but she's acceptable in her role. Almost taking me out of the movie is an annoying Chris Tucker as an androgynous DJ. He's here as comic relief, and while he gets off a few good laughs, he's more of a detriment than anything else.Surprisingly enough, even though The Fifth Element moves at a fast pace, there are only a few all-out action scenes. Aside from a flying car chase (which Star Wars Episode II obviously took inspiration from) and a big climactic gun battle, there's not a whole lot of physical violence going on here, at least not when compared to some of the other sci-fi action films released around the same time (Star Trek: First Contact, Alien Resurrection, Starship Troopers).Keeping the film consistently enjoyable is Besson's sense of humor. He knows well enough not to take such a story seriously, so don't be surprised by how much the movie acknowledges its own silliness. I've not seen a whole lot from Besson that I liked (I always found The Professional overrated and The Messenger a bloated, though not entirely unenjoyable, mess), but The Fifth Element comes the closest to a movie of his that I genuinely liked. There's much from this movie I enjoyed and I do recommend it, but cut off the chaff, and we could've had a sci-fi/action classic on our hands and not just a good timewaster.",Null,1,4,10 June 2003
Finding Nemo," Pixar's funniest to date.
","*** 1/2 out of ****Sure, the message of this flick (parents should have as much respect for their children as said children should have for them) is pure bland Disney all the way, but there's no denying that Finding Nemo is the funniest and most visually complex Pixar effort to date. And consistent laughs and great animation is all that I ask from such a picture.The laughs are mostly the result of the film's many entertaining and unique characters, from Dory (voiced perfectly by Ellen Degeneres), the fish with short-term memory, to Australian-accented sharks and sea turtles that sound stoned. Ironically enough, it's arguable that the film's two least interesting characters are the clownfish themselves, Nemo and his dad Marlin (voiced by Albert Brooks, who's generally funny but whose constant shouting can be a tad ear drum-piercing).The story concerns these two clownfish, the only survivors from an attack by a barracuda. With his mate and the rest of his children dead, Marlin promises to always look over his remaining spawn, whom he dubs Nemo. But as time passes and Nemo has grown into a curious young fish, Marlin is still the most overprotective parent in the sea. In an act of defiance, Nemo swims too far from safe territory and is caught by a scuba diver and placed into the aquarium of his office. Desperate to find his son, Marlin enlists the help of the forgetful Dory, and it's their long journey proves to be the highlight of this movie.One of the film's smartest touches is dividing the screen time between Marlin's journey and Nemo's interaction with the other sea life in his aquarium. In fact, the aquarium bunch boasts the film's most hilarious mixture of eccentric characters, led by the always memorable Willem Dafoe. Also very funny are Brad Garrett as a puffer fish and Allison Janney as a sea star ('Scum angel!').Adventure fans will probably also want to give the film a look. The search for Nemo consists of an abundance of obstacles that range from dangerous to amusing. The eye-popping visuals ensure that this is a movie that's always visually entrancing in one way or another, and there's so much attention to creating a detailed underwater environment that it's practically begging for repeat viewings (this isn't as rewatchable as, say, traditionally animated efforts like Lilo and Stitch or Treasure Planet, but it'll definitely hold up in the coming years). Virtually every other Pixar picture I've seen either simply didn't provide much in the way of laughs (Toy Story 1 and 2) or just couldn't keep the momentum all the way through (Monster's Inc.). I consider Finding Nemo a lesson learned; even though it's actually the longest of Pixar's work to date (running at 100 minutes), the filmmakers realize we want to see adventure and laughs, not earnest attempts at sentimentality (though, as if it's requisite, we still have some sentimental moments).Finding Nemo's pacing is probably the biggest concern, the middle segment is a tad slow and runs short on laughs compared to the much more enjoyable opening and closing half-hours. But that's only a minor complaint; be sure to stick for the final scenes, the funniest since, unbelievably enough, Stephen Sommers' horror/comedy Deep Rising; both actually boast an identical line of dialogue to wrap up the film.",Null,0,4,7 May 2004
Blade," The Blade is dull.
","3.5 out of 10Blade's opening segment, an action-packed gun/martial arts battle set in a blood-drenched nightclub, is a knockout action sequence.  It's fast-paced, stylishly directed, and edited for maximum intensity.  It's also the movie's only watchable scene.  The rest of the film devolves into a silly tale about reviving blood gods and whatnot, most of it incomprehensible junk that serves as filler in-between the action, which quickly grows redundant.The movie is packed to the brim with stunts and fight scenes, but most of them lack the precious sense of fun that makes the best of action movies exhilarating (the recent Equilibrium wildly succeeds with its action in comparison to where Blade resoundingly fails).  Director Stephen Norrington has an eye for stylish visuals, but fails to bring invigorating energy to the proceedings. As the lead, Wesley Snipes is brooding and bland, a complete failure from a dramatic standpoint.  His impending crisis is neither engrossing nor particularly interesting, just another bland subplot in this soulless action thriller.",Null,6,12,12 December 2002
