movie_title,title,review,rating,helpful,total,date
The Avengers," The power of good
","The most anticipated movie of the Marvel series has finally made it to the big screen in The Avengers. This time it's the fate of the planet earth freedom is at hand. Seeking world domination Loki come blazing in through a portal hole to bring the people of earth to their knees, these mere mortals are no match to this semi-god. This is when the greats, Iron man, Black Widow, Hawkeye, Hulk, and Captain America are brought together to go toe to toe with these alien forces. This movie is a face pace adventures with several story lines weaved in, the best duologue goes to the evanescent Tony Stark, aka Iron Man, whose witty smartly pants one liners make for some gotcha moments. This movie is a must see for those who like adventure, plot twist, and a good 'ole shoot them up picture.",9,2,6,12 May 2012
Men in Black 3," On to the moon
","What can best be described as homage to back to the future, your favorite G-man Agent J (Will Smith) sets out on a course to save the world from being conquered by the Boris the Animal escapes his moon prison and is able to penetrate the time continuum to save his arm and take over what is rightful his, the earth. What Agent J discovers is a young version of Agent K (Josh Brolin) and Agent O (Alice Eve) and reacquaints himself with the glories of the 60s, where space travel to the moon was a reality and fashion hipsters of the 60s were a preclude to the age of Aquarius. The third time is the charm as this latest in the Men in Black series does not disappoint and keeps you on the edge on your seat as these special men in black keep the peace between humans and aliens.",9,1,4,30 May 2012
Skyfall," Mix it up with old school James Bond 007
","This was a movie I wanted to see opening weekend but finally when I saw it I was blown away. It is one of the best Bond movies I have ever seen. Skyfall combines some old school Bond with the new high tech one. A new villain has come to town using cyber terrorism to throw in chaos into the mix. Seeing to discredit the allusive M (Judi Dench) he manipulated the electronic cyber grid. Bond (Daniel Craig) loyal to M dives in to catch this cyber villain by using his bag of vintage tricks. With a trip into the country sound to Bond's childhood home driving his classic Aston Martin. With opening tunes by Adel, the traditional opening eye shot is held to the end and this 50th Anniversary flick shows that Bond is still the ultimate secret agent man. Interesting that Bond now seems to savor his product placement Heineken and 50 year Macallen instead of the shaken not stirred martini.",10,1,10,29 November 2012
The Hangover," A Classic
","In the opening scene The Hangover the big day has arrived, with Elvis lyrics in the background the cinematography pans over the preparations for the couples' nuptials that include all the trappings for the making of a white wedding. In a nonlinear fashion montage this story moves back and forth to reconstruct the boy's bachelor party night the day after. Clues include a baby and tiger mixed in with the champ (Mike Tyson) and stripper Jade (Heather Graham). Now it is simply connecting the dots. So goes the mystery tale of the groom Doug (Justin Bartha) who is hosted on the ritualistic night to Las Vegas by his brother in law Alan (Zach Galifianaki) and best friends, Phil (Bradley Cooper) and Stu (Ed Helms). A true adventure heist that will remind you that what happens in Vegas stays in Vegas unless you want to remember then have someone keep notes or take good pictures. The Hangover is the perfect way to start either boys' or girls' night out in the city.",10,1,3,2 April 2013
Hereditary," La Familia
","In family is there are mysteries. Some are more apparent than others. But sometimes the most obvious are kept in the dark. In the Hereditary you discover that when the matriarch dies so too many of her secrets. This creates an odyssey for the Graham family to discover what she really was all about. Through a series of unforeseen circumstances the audience is taken through a maze of self discovery. This movie has intrigue, suspense and a bit spookiness. This story is Ideal with those that like to connect the dots and try to find answers to the randomness of life's events.",8,20,40,15 June 2018
Gravity," Space version of Cast away
","With the high reviews and large box office showing for the movie Gravity, I was really looking forward to it. I have always garnered an interest in space and this unknown frontier is a brave new world. I did see the movie in 2D, not 3D, but I believe that a good story is a good story no matter what format it is presented. It s about when the space shuttle is hit with space trash, debris and then thing run amuck. The two surviving astronauts Ryan Stone (Sandra Bullock) and Matt Kowalski (George Clooney) struggle to make it to an old abandoned Russian space station. With lots of heavy breathing and intense accompanied music, these scenes of a close death are built up. Sandra Bullock looks amazing and she plays her usual nervous, unsure character. Lacking where her usual snort laugh and giggle. I would recommend Gravity as a rental, and if you must see it, then check it out on 3D where objects will float all around you. Dr. Wilson Trivino @T4Vista Twitter & Instagram",6,1,2,11 October 2013
The Big Lebowski," The Dude
",I saw in the theater the 20 year anniversary showing of this cult classic. The dude is a still an interesting character as he deals with an array of individuals with competing interest. It is a funny and witty tale about finding your way and discovering how you fit in a complex situation. Long live the 'dude'.,9,1,2,13 August 2018
Fury," epic battle
","War is hell and we can't imagine the feeling of being in battle. But I believe that Fury does a good job of bringing that complexity of the fog of war onto the big screen. In Fury, Don 'Wardaddy' Collier (Brad Pitt) does a good job an average soldier rising to the occasion. He is leading a group of men in the finally of the European theatre in 1945. He has a deadly mission behind enemy lines. This cohort is outmanned, outgunned, and out strategized. These boys struggle to make it but know they are fighting for a bigger cause than themselves. The movie takes you to the front line and the complexity of trying to stay alive while there is death all around. More than a war movie, it is one that shares the story of forgotten heros. The men who risked it all for freedom. One heck of a movie. Wilson Trivino",8,3,7,31 January 2015
Inglourious Basterds," I could use a warm glass of milk
","In the tradition in Quentin Tarentino Inglorious Bastards is a wild adventure. It takes place as the Nazis are in control of France in the war that was suppose to end all wars War World II. The 'Jew Hunter', Colonel Hans Land was seeking out to eliminate and extinguish the Jews. In come the Americans lead by Brad Pitt as Lt. Aldo Raine who is coming in with the good guys. This movie has mystery, suspense and some sexiness mixed in with Shoshanna who plays the alluring Nazi Killer. The costuming is incredible and there are some pretty outrageous scenes that can make you squirm. With revenge in mind after seeing her family being executed Shoshanna plots to come back. With the signature line, 'do you have a glass of warm milk' Colonel Hans Land takes center stage and shows the remarkable acting of Christoph Waltz. A fantastic story and adventure of a life time.",10,0,2,10 April 2013
This Is the End," silly but fun
","Those who believe in the holy scripture are familiar with the rapture, the end of the world. In the south we hear often about it. Now in This is the End you get a sense of what it will be like. With a cast of notable Hollywood stars in Seth Rogen, James Franco, Jonah Hill and Danny McBride, they get caught up in being held up in a house. Suddenly their supplies run low and are forced to creep outside where some devilish creatures are there to create harms way. This sets up a unexpected scenario but the lines create some funny scenes. I unexpectedly found this to be an upbeat hilarious movie. It is not high brow humor but does come with a punch. So have you been saved? Well take note, the end may be closer than you think.",9,2,6,3 October 2013
