movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Astonishing
","Ford v Ferrari is an amazing movie, the cinematography is stunning and the acting is so well done. The plot is based off the true story of how Ford motor company enlisted Carroll Shelby to build a racecar capable of beating a Ferrari. Matt Damon and Christian Bale have great chemistry as Shelby and racer Ken Miles. The storyline flows beautifully, the race scenes have stunning visuals and the characters are well played. Thoroughly enjoyable even for non racing enthusiasts.",10,1,4,18 November 2019
The King's Speech," Really brilliant
","The Kings speech is the epitome of an Oscar winning movie. A true story of a suffering monarch, the motivational but troubled relationship with his scruffy savior, and brilliant acting all around. The story told is truly powerful, that can't be denied. It felt historically accurate, which was quite lovely. The cinematography was absolutely excellent. It did feel a bit long, I could have done with a little less on the ancillary details, some scenes felt like fillers.",8,0,0,10 September 2019
Blade Runner 2049," Outstanding sequel!
","I really enjoyed this new installment of blade runner. The storyline is well developed, the characters have depth, and they are well acted. I thought Ryan gosling did and outstanding job as K. The main characters had great chemistry and it really made this film read so well. The storyline had a great flow and kept me captivated throughout the entire film. Great twist, left a somewhat open ending, all amazing!",9,3,17,27 February 2020
Angels & Demons," Comparable sequel, too long
","Plot was comparable to the first, the da Vinci code, but felt that it lacked the suspense or thrill in code breaking. The codes are in the forms of riddles and solving them to piece together the secrets of the Illuminati. But it didn't feel genuine. The twists are somewhat unpredictable but very traditional in nature, good guy turns out to be bad guy. That sort of thing. But even in that, I felt that the mastermind villains actions didn't really make sense when you thought back through the film.But just too darn long.",6,0,0,2 July 2019
Gremlins," Perfectly weird
","Definitely a weird 80s classic, with adorable gizmo, and diabolical yet comical gremlins. the animatronics/effects are out of the park for its time. A thoroughly enjoyable storyline, if not a bit more graphic than I always remember. The acting is okay and the lead up to the gremlins takes some time to get up and going.",7,1,2,22 April 2020
Miracle," Wonderful story
","A typical sports movie about a ragtag group of young athletes taking on the best of the world and coming out on top to the whopping cheers of the arena... and it was amazing! You can't help but get chills. One of the everlasting Olympic stories, the miracle on ice, is told in a really fantastic way. You can't help but love this movie for all that it represents.My only criticism is that it's a bit long. But we'll worth it.",7,2,2,11 July 2019
Sucker Punch," Unique
","An interesting way to tell a story, that's for sure. I wasn't always sure what was going on... but it works itself out in the end. Not very much dialogue, but it's not really needed. The cinematography is what steals the show, a visually stunning movie. Lovely dark vibes and kickass ladies.",7,4,4,2 July 2020
The Hangover," Hilarious!
","The hangover was truly the first of its kind, a main stream r-rated comedy. I remember seeing this in theaters back in the day and laughing til I cried. The story takes so many hilarious and unexpected turns as these lovable idiots unravel their night in Vegas. The first viewing is definitely the best, it looses some wow factor after you know what happens. But damn is it funny!",8,0,1,8 April 2020
Marie Antoinette," Interesting cinematic style
","The story of Marie Antoinette as told through quick snippets spanning her first introduction to France to her final night in Versailles. The movie certainly has an interesting / unique cinematography style. In that rarely are scenes longer than a few minutes and whole story lines aren't really played out. Instead it's glimpses into moments of Marie Antoinette's life as a French princess then later queen. The dialogue is very sparse, almost all the story telling is visual. All the music and language are modern, which makes it read as a revival (like that Romeo and Juliet with Leo).",7,0,1,29 July 2019
Resident Evil: Afterlife," Alice slays, as usual
","Alice was her usual badass in this installment in the resident evil franchise. The objective should never be to go in with high expectations, it's all about over the top action with a sprinkling of plot. This fits the bill. The storyline was a bit disappointing because it doesn't have much of a beginning or end, it all just kind of happens. Overall decent acting, good cinematography and zombie action. I thought Alice and Claire had good chemistry, and the newcomers held up as good cannon fodder.",6,3,3,22 February 2020
Minority Report," Maybe too much
","There's too much going on in this sci-fi thriller, leaving your brain a bit jumbled. Though it all basically works itself out in the end. The acting was good and the future technology fairly believable. The cinematography was a bit weird, everything had an aura that I'm not sure really fit the vibe. But, overall an enjoyable first watch.",6,0,0,16 June 2020
Mulan," Mulan, setting goals since 1998
","Mulan is by far the most kickass Disney character of all time, no contest. Taking on the entire Hun army, getting cast out, and still shows up to the final boss to end things right. Mulan is literal goals. The perfect mix of humor, action, and good old Disney magic. One of my favorites!",10,0,0,1 May 2020
Memento," Amazing
","The storytelling in this movie is absolutely stunning, the unraveling of the story as told from the end to the beginning, is so creative. There are so many twists and turns and I'm still not sure I have it all straight. I was blown away with how captivating this story is and how well it all plays out. Guy Pearce steals the show.",9,0,1,13 February 2020
Underworld," Selene!
","Kate Beckinsale owns this character, from the costumes to the acting to the down right badass action. The storyline is well developed, adding a sophisticated side to the werewolf v. vampire concept. The cinematography is dark and beautiful, the characters well cast and well acted, and the action down right cool. Can't ask for much more. Love this series!",9,0,0,3 May 2020
Elizabeth," Great setting, lacks chemistry
","The costuming and set departments knocked it out of the park on this one, truly beautiful. The acting was good, the storyline was interesting, but it all just sort of fell flat. I didn't think the characters had good chemistry and I didn't feel very emotionally invested.",5,0,0,20 February 2020
Eurovision Song Contest: The Story of Fire Saga," Surprisingly good
","I went in this with low exceptions, but found this surprisingly good. Rachel McAdams is so cute in this movie. It's the perfect mix of cheesy and goofy. Low key liked the songs and the acting was great from the whole cast. The storyline was well developed, though I could have done without the ghost of Demi Lovato. Otherwise, perfect.",8,2,5,27 June 2020
Knives Out," Great twist
","The ending was really awesome, with a perfect twist that I honestly didn't see coming. The plot was well developed and made for an awesome reveal. The acting from the whole cast was superb, Ana de Armas was perfect as Marta. There was great chemistry between the family members. I sort of felt like the story was slow going and the build up to the final reveal could have been streamlined.",6,3,8,29 November 2019
Resident Evil: Extinction," Awesome action!
","The third installment in the resident evil franchise brings more zombie action and even bigger stunts for leading lady Alice. The plot takes place years after the second, which is a good choice, allowing new characters like Clair and K-Mart to be introduced. The storyline is well developed, the characters well acted, and the zombie action suitably amped up. Overall an enjoyable movie!",7,3,3,3 March 2020
Zodiac," Good acting, good plot, too long
","I felt that Zodiac was way too long. The plot was there (as its based on the true story of the Zodiac killer). But I just felt that some of the scenes could have been cut back on or taken out entirely. It moves too slow for my taste, especially in the first half.The movie almost seems split into two parts, the police trying to solve the murders, then jake gyllenhaals character trying to solve the murders. I found that the second half moved faster and was more intense and exciting. In the first half they focus too much on RDJs character.",6,2,2,21 June 2019
Ready Player One," Visually captivating
","A fun movie full of great 80s music and references. The adaption from the book is well done, keeping most of the key elements but pairing it down to make it more bite size. The concept is strong, the cgi is so well done, and the acting is pretty good. The bad guys are pretty lame which takes the suspense out. But it's a visually stunning movie.",9,0,0,30 May 2020
Corpse Bride," Pretty good
","A short Tim Burton film about a man who unexpectedly weds a corpse. The storyline is certainly different, but doesn't always flow well. The animation is creepy and cool, and over-exaggerated in that Tim Burton way. A great concept that could have been developed more.",6,0,0,11 March 2020
The Matrix Revolutions," Solid third movie
","A solid ending movie for the matrix, all plot points are wrapped up and it flows seamlessly from the second movie. This is a bit of letdown in the action department, the machine war and final boss battle are cool, but there's very little hand to hand combat. CGI and effects are well done and the acting's good. Great follow up in the series, but perhaps not so great as a stand-alone.",6,0,0,26 April 2020
Spider-Man: Into the Spider-Verse," Amazing graphics
","Epic movie! The graphics are out of this world. The voice is acting is on point, the plot is solid, the 4th wall breaks are subtle, and the characters are lovable. Oh, and the soundtrack and sound editing are amazing.
Literally nothing bad about this movie.",10,0,1,17 July 2019
Salt," Intense thriller
",Jolie kills it as Salt in this intense spy/coverup action movie. The action was well choreographed and kept up a good pace throughout. The storyline had a good flow and some twists were unexpected. The acting was good for an action movie. Overall a solid action thriller.,8,5,6,29 March 2020
Shrek Forever After," Fantastic!
","Surprisingly heartwarming for a Shrek movie. The animation is well done, the storyline has good flow, and it has all the classic Shrek charm. Though it deviates from the direct storyline, I find this to be one of my favorites in the series. Love seeing badass Fiona!",8,1,1,25 February 2020
The Fast and the Furious," Good acting, good action, poor plot
","The plot for this film is pretty weak, Brian is an undercover cop (is he a good one - umm not really) trying to bust a hijacking ring, falls into a team of racers and decides to choose them over the law. The acting isn't too bad, vin diesel and Paul walker hold their own, and the supporting ladies bring their A game. The action / car racing is pretty good, it's the early ages of CGI so the shots aren't the best, but most of the real racing holds its own. It's a fairly good movie, just lacks depth on the plot, jumps around and doesn't explore any of the characters too deep.",6,1,2,9 August 2019
Toy Story 4," Wonderful addition to the Toy Story Universe
","Absolutely a joy to watch, it have all the feels. Humor, heartfelt, and a little bit of scary. Had so much fun watching, laughing and loving until the end... where they always give you just a few tears. Loved having Bo Peep back. Honestly, Love the whole cast.",9,2,5,4 July 2019
"Crouching Tiger, Hidden Dragon"," Great action
","The action scenes are absolutely awesome, the choreography it must have taken to nail those sword fights!
The plot is a little thin, lots of back and forth the intention isn't always clear.
But you don't really mind as the main intention is to pull off the supernatural samurai fighting for the perfect 'sword of destiny' and that totally works!",8,2,3,13 July 2019
Frozen," Disney magic
","Frozen is a pretty great example of Disney magic. The concept is fresh and interesting, breaking out of the typical princess storyline. A beautifully animated movie, with a great cast of characters.",7,0,1,19 January 2020
Ghost Rider," Pretty average
","Not a great movie but not a terrible movie either. The storyline is fairly well developed, the acting is pretty good, and the effects decent. Nick Cages 'accent' comes and goes and he delivers lines deliberately aimed at being southern platitudes which is completely unnecessary. Eva Mendes' character is underutilized and it's annoying that they make her so self conscious.",6,0,2,29 January 2020
Hellboy," Good action sci-fi thriller
","Hellboy is a great comic book adaptation, with a sarcastic not so superhero and his band of misfits. Acting is great from the whole cast, and dialogue flows easily. The action scenes are well rendered and the storyline easy to follow. Great make-up and cinematography make for a visually appealing movie. Really enjoyable.",7,2,2,15 September 2019
The Lion King," Amazingly beautiful
","I am a diehard fan of the original lion king, and I felt this was a worthy re-imagining. The 'live action' is a bit of a hoax, in that it's still animated. But it's still breathtaking and beautiful, I found myself smiling throughout. The visuals are just stunning. While most of the dialogue is the same as the original, there are some changes. Timon and pumbaa have their own riffs and jokes, and even play up a couple of references to the original. I thought the voice acting on both the kids and Glover and Beyoncé were great ( I couldn't help but say BEYONCÉ!). It was truly beautiful.",9,2,5,1 August 2019
Stardust," Wonderfully fanciful
","A really enjoyable movie. The acting is good, the cinematography vibrant, the storyline compelling. I can't really fault this for anything, it's not lacking in any area. The storyline is well done, and has a great flow. The characters are well developed and are fun to watch. Quite an enjoyable fantasy.",9,1,1,29 September 2019
