movie_title,title,review,rating,helpful,total,date
Vertigo," Cantilevered
","To cut to the chase, this is not Hitchcock's best whole work, but the components are noteworthy.The 'Vertigo' hinges on the 'pull back/focus in' gag, repeated enough times to have a comic effect. Other than that, the camera has little to say...it has far less curiosity than 'Psycho''s camera, for instance.It does have some clever self-reference...Helmore is the 'director' who knows how to use 'actors'. The narrative turns when our surrogate 'writer' cum detective, Stewart, tries to direct the vision, by reconstructing Novak from 'Judy', back to 'Madeleine'.But Hitchcock leans out too far here, twice, and thus it collapses. Geddes tries to cast herself in Stewart's 'starring role', but spoils the vision. And having nowhere to go narratively, Novak is 'cast out'.Don't see this especially for the plot or vision, but do experience it for that magnificent cascading Herrmann score, which is flawless.",7,0,2,19 April 2006
Scarface," Forbidden Mirrors
","What strikes the viewer is the notable lack of theft of ideas from movie predecessors. I spotted the 'Foreign Correspondent' borrowing when the Columbian gets it between the eyes from Pacino. And the Babylon mirrors resemble those from 'Enter the Dragon'. But that's about it -- the rest is devoted to piling on its own style. Stone assiduously avoided rewriting this just like Hawks' original, saying in interviews that, in its old form, it offered very little. So he wrote this as part exploration of the cocaine-fueled underworld, part catharsis to end his own dependence. Montana's death is heavy on the layered symbolism.The structure of the story is also 'mirrored' in the club mirrors -- each plot segment overlaps with the next one in some way; before the narrative completely moves out of one idea, the next one is reflected in.What makes this fly though is DePalma. We have almost relentless use of long, panning crane shots here. The perspectives are impossible for a human, so the camera does the acting -- typified in the aversion to the chainsaw scene. The effect is that of a painting, much like the sunset murals put up by the set designers all over 'Miami' (mostly L.A.). Lots and lots of bright, excessive colors and personalities.Pacino plays this as a mixture of Bogart/Cagney/Muni plus his own Godfather II-derived Michael Corleone...in other words, as a tyrant. He would mine this for much of his later work (including Godfather III). In fact, when he tries to avoid tapping the Montana character, he comes across as lethargic ('Sea of Love', 'Insomnia').Also remarkable for the time was how the south Florida community reacted to the knowledge that the film production was underway, and forced the relocation of this to the west coast, because of the implied negative depiction of Cuban ex-pats. Probably, the only other movie that had this much unfavorable advance press is 'Basic Instinct'.",8,0,1,17 July 2006
The Sound of Music," Mostly Disconnected From The Movies
","AnschluB means 'joining' or 'connecting', not quite 'annexation'.Wise succeeds in making a movie out of the external scenery. The composition of landscapes and aerials, and that marvelous facade of the Von Trapp estate are the only cinematic bits. The actors are nicely scaled against the trees, then against the mountains.Once indoors, all we have are stages.The children's' farewell to the ball guests mirrors the escape from the Nazis...all it takes is a song to sweep us away.Julie won us with pure pluck and determination.Ideal family fare here.Interesting how comfortable our cinematic notions of the Nazis were then. Their worst perpetration here was impatience at the music festival, and we expected that. By the time of Spielberg's List, we got the psychopaths (which they were) that we expected. For uncomfortable cinematic notions, consider Polanski's Pianist; the notion that the culture that produced Bach, Beethoven, etc. could bomb the radio station broadcasting Chopin. Later, one of their own is swept away by the Sound of Music.",7,1,8,5 January 2006
50 First Dates," Forgettable Spam
","I fully admit that I had very low, biased expectations coming into this. I've never liked Barrymore. She's had the world of movies in her hand since birth, with a famous lineage and many friends in high places -- and what does she do with that power? Well, she has no respect for herself or her audience, nor for the art or mechanics of movie-making. By age 14 she was already out of control with drug use. I would argue she popularized the very notion in our society that we have to 'sympathize with' and 'pity' the spoiled, wayward, self-abusing elitists, because they shape so much of our culture cinematically (who can forget 'E.T.'?).Having written that, I have to comment that she's the only reason for watching this. Even though this is Sandler's movie, she's the only one here with either an innate or learned sense of what it means to live within movie roles. She controls the picture, though the narrative was intended to lay the control elsewhere. Sandler cannot and never will escape his TV-skit/shtick. That goes double for Schneider.As for what this is, it's mildly clever in how it resolves itself through constructed representations of the world surrounding movies -- that is, through diaries, murals, watercolors, home movies, etc. Think of it as the inverse of 'Groundhog Day', leaning heavily on 'Memento'.I've seen far worse movies...more offensive ones than this, too. But this one will never be great. Contrast this with a smart self-referential vision and construction such as 'Eternal Sunshine...', and this fades into complete irrelevance.",3,1,4,10 July 2006
Casablanca," The Eyes Have It
","To get straight to the point as to why I don't give this special praise: it's obsolete. Not the plot - I mean the whole manner of storytelling. It's passé, where something like 'Citizen Kane' still speaks to us. The center of this, of course, is Bogart - an old-style Real Man, not unlike John Wayne. His acting is tight and mannered, to reflect what was expected in those days - tight control of emotional expression, control of the situation, no irony whatsoever...All sentiment is quickly dissolved in alcohol.That said, what IS worth watching is how Bergman carries emotional content - specifically, within her eyes, which tell all. 'Here's looking at you', indeed. It's honest, and Bogie feeds off of it.And how the musical 'accompaniment' moves the pieces on the chess board. The famous 'As time goes by' and 'La Marseillaise' are the expressions of this force which buffets the actors within the romance, and the actors within the political intrigues. The musical performances are both 'staged for us', as was de rigeur back then, but also is indispensable to the larger narrative.Worth at least one screening, but do take it with a grain of salt.",6,4,9,9 September 2006
Finding Neverland," Rigging The Ballot Box
","A naked attempt at having it both ways: Oscar contention, and the commercial need to fill the seats with a child audience (bulldozed into this narrative).Huge disappointment because of the lack of imagination. No exploitation of the times, the Edwardian architecture.Neverland itself is visually imagined no more deeply than a play, as stage sets, right down to the undulating cardboard cutouts that make up the 'sea'.This couples with the narrative hypocrisy: Peter Pan is all about NOT growing up, and yet this entire story is crushed by the baggage about growing up: Depp in his relationship to his wife, the eldest boy in relation to the grandmother, young Peter in relation to the world.Depp is on target, Winslet is miscast, Hoffman is his usual nattering self...his own turn at Hook was better, a scary concept.",5,0,4,7 January 2006
Chinatown," To Tell The Truth I Lied...
","What makes this a great story is how clever the key storytelling elements are referenced in the narrative. Huston is the 'writer', the most powerful man in the self contained L.A. microcosm. Having the power of a prime mover, he is 'dangerous', naturally. The 'child' of the writer is Dunaway, who represents the 'story' itself; the business about the diversion of L.A.'s drinking water and the dispossessed Okies (suggesting 'The Grapes of Wrath') is the ruse that Towne wants us to follow. Our surrogate, Jack, is employed to guide us to the truth: the sidebar business would 'take only 5 minutes to explain'. What matters is the smart use of symbolism and the effect we feel as our expectations are eventually turned upside-down.And as a movie, Polanski shows again he is one of the greats, here tipping his hat to Hitchcock. To invest yourself in this movie is to let it saturate you; see it and you'll understand; the realization of just how deeply this becomes embedded into us registers when the 'story' is taken away from us at the end.",9,0,1,16 December 2006
Fight Club," Millenarian Solution
","There were a spate of movies associated with the end of the millennium and the search for 'meaning'. This one may be remembered as the best of the bunch.
It skips the pretentious, empty action of The Matrix, the obvious cliches of American Beauty, or the purely tongue in cheek tone of (the also excellent in its own way) Office Space. If you could categorize the narrative style, compare with The Sixth Sense or Memento.
I think it stays true and relevant to this day re: rejecting vapid consumerism, mocking 'special snowflake' effete self-regard, and standing up for the Regular Joe working man.",9,0,0,7 April 2020
Citizen Kane," Splinter Of The Mind's Eye
","Most filmmakers take on simple subjects. Most finished works have defined edges, they fit within a comprehensible space. The finished picture is usually just a beginning/middle/happy ending formula. To present it, the whole is jigged into 'parts', usually just those 3 pieces which effortlessly snap together in the mind. From my previous comments you can probably glean what filmmakers are on that end of the spectrum.The young Welles was special, a revolutionary. He's on the opposite end of that spectrum with Kubrick, Kurosawa, Ridley Scott, most of Woody Allen's work, among others. The 'Kane' puzzle seemingly is a simple end product -- but it's jigsawed into at least 1000 pieces. The final 'piece' (Rosebud) eludes us, driving us mad.The opening sequence is like the box of pieces strewn on the table -- what are we seeing? The most common way to solve a puzzle is to first find the edges; Welles defines those edges in a 'newsreel', with movie footage interspersed among historical newsreels and fictional 'newsreels'. This gives us the parameters within which to figure out the middle. Try to imagine 'JFK', for example, without this influence.Along the way, Welles plays with story narrative; who can complete the story? the diary? the second wife? the major-domo? the estranged friend? Kane's office lieutenant? We seem to go in circles, and yet we keep pushing forward, because we're convinced the piece is there, somewhere. Our surrogate in the story has to put this all together for us. We see what the investigator sees, just slightly more because of our perspective; over his shoulder, or while he lurks undefined in the shadows.But far more important is the visual narrative. The compositions of light, camera stance, motion of the eye, previously unheard of perspectives...it all literally draws us into a different world -- the mind of not just a story teller, the mind of a filmmaker. There's so much detail, so much to appreciate and just languish in. This, by God, is a movie.There are many reasons Kane ranks at or near the top of every list of greats. Think of all of the movies that have borrowed from this...it's staggering. That says it all...",10,0,1,28 March 2006
Pirates of the Caribbean: Dead Man's Chest," Chum
","I'll get the few words of praise I have for this out front: the center of this, visually and narratively, is the 3-way tussle on the rolling mill wheel. It is a clever way of referencing the experience of being on one of Disney's theme park rides. We see the action from outside the wheel, from inside the wheel as though we're running within, from a right angle to the axis, as though we're fixed to the imaginary axle, etc. ... Pretty good stuff.However, this idea plainly chafes against the rest of the movie which is dreary, dark, nihilistic and NOT appropriate for the age of the target audience. Verbinski and Co. should've stuck with PG content, but unwisely tried to rope in the PG-13 crowd...at the cost of eliminating the insouciant fun that pervaded the first film.And worst of all, the rest of the movie is just filler...stuffing pulled out of other cinematic vocabularies, notably '...Temple of Doom', 'Waterworld', 'Yellowbeard', characters taken from the 'Star Wars' lexicon who are given life from a blend of makeup and CGI.Stick with the first film...none of this new stuff is necessary...",3,1,3,28 February 2007
Brokeback Mountain," Bodacious Cowboys
","A fine example of compositional film-making. Ang sets this up from the get-go by framing the world of shepherding with the titular mountain as the background, a 'current' of activity in the middle, i.e., the sheep or the river current itself, and the passionate bits right up close in the foreground.This is mirrored in the story composition; the central relationship depends on those infrequent 'high altitude' trysts appearing way up close and tightly framed; the lives of married men and their families carry the middle current; the spectral backdrop is 'homophobia' (if such a charitably restrained word can be used to describe the disgusting inhumanity displayed in the Matthew Shepard murder, to which this plainly alludes -- it looms at least as large as the mountain).Kudos to Ang for getting the stance right -- no treatises on the minutiae of a cowboy's existence. And he got the musical accompaniment right...repeatedly iterating that minor-key waltz to punctuate the visual narrative and then move us forward.",7,6,11,15 April 2006
X-Men," Bluffing Itself
","This was far busier than it needed to be, stuffing in drama, morality and comedy relief. Since neither of the former two motifs can be taken seriously, we have to look at this as a comedy.The way this is centered on Jackman and way he is directed to play this puts me in mind of Eastwood in 'Coogan's Bluff'...the attempt is to insert a smart aleck into a fish out of water situation and just let him crack wise at every opportunity.The problem is, Singer didn't understand 'Coogan's' structure...in addition to the defined jokester, that movie had defined targets (remember the ludicrous 'Pigeon Toed Orange Peel'?) and both were at a distance from the audience. This movie can't distinguish the targets from the audience: the moral is 'we all have to get along with each others' differences' and the audience is expected to empathize.The morality play propped up by Stewart and McKellan is a sort-of MLK versus Malcolm X philosophical debate. It's not offensive, but it is unnecessary. The whole point of it dissolves like the erstwhile senator.One item of interest is the camera's movement around Jackman during the Statue of Liberty fight; it rotates through 360 degrees in slow motion and only at the end of the shot do we find our perspective again...if only there had been more of these *film* ideas and less comic book flatness and penny-ante moralizing, we'd have had something to remember.",4,3,7,25 May 2006
A Bridge Too Far," Truncated
","War inherently is a cinematic subject, particularly 20th century warfare. Filmmakers find resonance between the subject and the craft because of the similar constructions: armed forces and plans, which mirror actors and scripts. Explosions, gore and death are expected, so the actual drama usually hinges on leveraging tension, or an ironic outcome.'Market-Garden' was one of the war's biggest ironies -- an overwhelming invading force that was halted mostly by fate and accidents favoring the last-ditch opposition in the West. So in that sense, the movie 'captures' the irony.The story itself seems jumpy and disconnected; on the other hand, you could give each day of this 9-day battle its own feature. So squeezing something comprehensible into 3 hours is impressive. This is why the ensemble approach is necessary -- we need recognizable faces to anchor the thing.Mostly it's a downer...an alien observer would think the Allies lost the war. But it is refreshing today to see actual planes, actual parachutes, and actual hand-held footage -- the actual material of that war and the *filming* of that war -- in contrast to computer generated verisimilitude.",6,1,4,4 April 2006
Butch Cassidy and the Sundance Kid," Bullseye
","Yes, it's a buddy flick - that was nothing new even back then...remember 'Some Like it Hot'? The buddy motif, of course, is the license to have fun: reading lines, improvising lines, squabbling over who's going to do what (and in the making of this, Newman and Redford switched roles right before filming -- imagine that happening in a studio feature today).But it's so much more. What makes it so timeless is the way the seemingly disparate parts are composed into a greater whole: a framing reference to a silent movie ('Great Train Robbery'), 'silent movies' within the larger movie, stories told with the motion of penny arcade viewing slides, sepia tones to match the changes in the plot's direction...And cinematically, the centerpiece is the masterful composition of the chase scene, with our heroes occupying the foreground, the posse always in the background, and their bantering comments on what they think they're seeing, which tells the story of what *we're* seeing. Dead on target, essential viewing.",10,0,2,24 September 2006
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb," Distant Early Warning
","This is black comedy taken to its most ridiculous extreme -- by satirizing a topical 'worry' that wasn't funny at the time. It's not that nuclear war or communism could ever really be funny; by skewering McCarthyists and John Birchers, we can see here how the joke was very much on us -- on our cultural reaction to those phenomena. Today, we can laugh at this in comfort, because of the distance. Consider how many ways this has influenced our culture, from 'A Boy and his Dog' to 'Wargames'...and not just movies, but popular music as well; 'Grace Under Pressure' immediately comes to mind. It is this self-rejuvenating quality of the priceless fragments that makes Strangelove so important. The key was the implementation of Sellers as the narrator(s). He would famously say in interviews that he thought of himself as having no inherent identity, only the identity of the character he played at any given time. Here he's in his element...imagine what an even greater coup he could have pulled off if he hadn't broken his leg during filming. He still gives us 'Mandrake' played as Clouseau, 'President Muffly' played as Adlai Stevenson, and the evil 'Doctor' played as a Fritz Lang/Albert Speer concoction; all three fight for control 'in' the movie and 'of' the movie. In the end, only the Doctor gets what he wants, prompting his symbolic erectile response...this is juxtaposed with the phallic bomb causing the fireball 'orgasm'.This is an early fruition of the Kubrickian 'camera participation' approach to film-making. Irreducibly hilarious pieces here, maybe not so much the entirety.",8,2,5,24 March 2006
