movie_title,title,review,rating,helpful,total,date
The Avengers," Very good
","This is the best MCU film I've watched yet. I liked the combo of everyone even though some of it is a little silly. Hawkeye and Black Widow are kinda silly characters that you wouldn't think would really be that effective fighting off the alien invasion but you can look past it because it's a superhero movie. Thought Sam Jackson was a really good character. Loki honestly wasn't the best villain and it felt like either Thor, Iron Man, or the Hulk could beat him alone. He'd beat Captain America and the rest of the crew but he wasn't the toughest villain although he did have that army with him which made him more dangerous and he could convert people to his side. Pretty good though.",8,0,1,13 March 2019
Blade Runner 2049," Pretty good, not quite great
","I was about to rate this a 7 until something came up that I didn't realize. Regardless it's a good movie. It has excellent visuals that I don't know if they're beat anywhere. The story is good for sci-fi these days. Most of the stuff I've watched lately is more looks that having an actual good story a la mute and altered carbon. This is better than those but it still has flaws. Let's face is Ryan Goslin is shit. If he was better this movie had potential to be a masterpiece. Once Harrison Ford came around the movie became so much better. That said this is probably one of Ryan Goslin's best roles ever, he's a robot in real life so this was him. Drive sucked is what I'm saying. Good movie though and a satisfying conclusion, could have been amazing though.",7,1,4,19 June 2018
Kill Bill: Vol. 2," Better than the first
",The first Kill Bill was kinda non-sense KungFu crazy action. It had some cool ways to film it but I'm not a big Kung Fu fan so I didn't love it. This one focused a bit more on dialogue than the fighting and I enjoyed that more. The dialogue to me still wasn't near as good as the majority of Tarantino films so I still didn't love it but this was for sure better. This one had some cool interesting ways to film as well though and had some really cool scenes. It wrapped it up nicely and now I feel no need to ever watch these again.,6,1,4,21 December 2018
The Incredible Hulk," Better than Ironman
",This is basically the exact same movie as Ironman as in the end it's the Hulk fighting a different version of the Hulk just like in Ironman it's Ironman vs. a guy in a similar Ironman suit. That said Ironman had a ridiculous escape scene that was non-sense so I should have knocked it down another peg. I like the tie in at the end of the movie as well. Nothing outstanding though.,7,0,2,1 December 2018
Iron Man 3," Repetitive
",What I'm going to say right away will make it sound weird that I said it's repetitive because this movie actually does switch it up. It adds different cool abilities for the Iron Man suits and makes Tony Stark deal with a villain in part without his suit. That said just the whole way it feels like no consequence just like the other two Iron Man movies. I lost interest somewhere around the middle but finished it because I did like the Avengers and want to have it set up so I watched all of them leading up to the Avengers Age of Ultron. It just felt too easy for me I guess.,6,0,3,24 March 2019
It," Felt a bit jumbled
",I liked the movie and I liked some of the kids and think they did a good job acting (especially Bill who's like the leader of the group and has a lisp) but regardless it feels a little disjointed. Something doesn't click perfectly for whatever reason. It may be because I've read the book and the book flips from the kids to when they are older and doing this again basically. It looks good and everything and the clown is a little creepy but it just feels like it just barely missed on something. I'm actually really looking forward to part two which will be the adults one as it already has a lot of good actors. I think they can probably carry it a little better than the kids did.,7,0,0,6 July 2018
Hereditary," Legit creepy
","I'm not big into horror movies but I heart how well this did so I had to check it out. It was one of the creepiest movies I've ever seen honestly. One of the first tragedies actually jarred me and kept me with a pit in my stomach for a good 10 minutes. It's a testimony to the acting, the realistic portrayal of both dealing with loss and losing your mind, as well as the cinematic and musical elements. I think it lost steam near the end and I didn't necessarily like the way it wound up but it's still one of the best horror movies I've ever seen. Well done.",7,1,3,12 February 2019
Wind River," Good movie with great end
",The movie was good the whole way through but it was definitely building to the end. The end was great. Everything about the last like half hour or something was perfect.,8,0,0,17 October 2018
Se7en," Not re-watchable
",This is a good movie that turns into something better in the last half. The end really was great and memorable and I think that's the only reason why this movie is held in such high regard. It was fairly standard until then and frankly I don't even think Pitt was doing that well in the first half of the movie. Once you know what happens you don't really need to watch it again. All that said it's still a really good movie for one watch.,8,0,1,10 October 2018
Train to Busan," Legitimately great
","I kind of thought I was done with the Zombie flick but upon hearing the buzz for this one I decided to finally give it a go. It was a good decision. First thing I liked is how quick everything took off, the zombies turned quick and they were fast as hell. They also had a great cast. The big dude was my favorite and I got quite a bit of satisfaction when he ran over and elbowed a zombie to the ground in the train station to save the little girl. The main guy evolved as well and quit his selfish ways for his daughter. The end was a serious tear jerker for me which is something I hadn't expected in a zombie movie. Might be because I'm a dad now but it hit me.",8,1,2,27 February 2020
12 Angry Men," Great acting and great dialogue
","This is one of the rare black and white movie that stands the test of time for me. It's 12 jurors who are put in charge of the fate of a young man in a murder trial. It's not just guilty or not guilty because if they choose guilty the man gets the death penalty. This have more gravity to it and it's the main reason one juror opposes guilty at the beginning. Throughout the process they talk it out and see maybe he is guilty, maybe he isn't, but there is more reasonable doubt than there was at first glance with the trial. It's a movie all in one room and that is 62 years old so the odds were in the favor of me not enjoying it but I get why this is rated so highly and I enjoyed it. I probably won't watch it again but the acting was pretty good and it's very impressive to stand up this far down the road.",8,0,0,21 August 2019
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"," Better than expected
","It's a fantasy film so of course you have to suspend your belief a bit, especially as it relates to the young children with no experience knowing how to fight so well. That said this was a fun kid movie. There was lots of mystery and the kids finding out what was going on was fun. The little girl Lucy was really entertaining and did a great job with her expressions. Made me feel like how a kid really would react to these bizarre circumstances. The battle itself was actually pretty good too beside the main boy I think Peter just swinging with everything he had on every swing and it being effective. Like I said you have to suspend belief a bit. My wife and I watched it all in one go and that's difficult for us sometimes as we have a newborn and are tired a lot.",7,0,0,13 November 2019
The Babadook," Okay
",A single mother has a tough time caring after a really troubled child who's like 6 or 7 by herself because the husband died the day he was born. That's surely enough to mess a little kid up and the kid was pretty screwed up in the first half. The mom some reason reads a really scary book to him which makes it harder and harder for both of them to sleep. Weird things happen and the pair think something is out to get them. I'm not sure if it is or if it's sleep deprivation and drugs along with that book that create a scary feeling for the pair. I'm not sure if I liked the ending which could have made it good for me but overall I just wasn't that entertained. The actors did a good job and I don't have complaints for them I was just a little bored and never scared.,5,0,1,24 July 2018
