movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," I don't get it.
","I really don't get it.  I took my wife to see this film and she wanted to go home after the first half hour, I had to fight with her to stay and watch it.  I could see how the idea of being lost in the woods without being able to get out would be bad.  But I hated everyone in the movie so bad that I could not wait for them all to get snuffed.  The only thing I could think of is that this movie is for younger people who could relate to these people. I have never thought of good movies only being for young or older people, but I really don't get this one.  If anyone could explain why some people love this movie I would really like to know.",1,2,4,5 April 2000
Changeling," Interesting period piece
","Watching this film is like taking a look back in time. Everything is picture perfect, the beautiful automobiles, the red electric street cars, the telephones, the switchboard station with roller-skating supervisors, the house appliances, and the outstanding clothing, from dresses to hats to police uniforms, everything is meticulously detailed. The story, which we are told is true, is complex and multifaceted. Angelina Jolie, who plays Christine Collins, gives an outstanding performance as a single mother who returns home from work to find that her son is missing. This puts into motion a series of events that exposes the reality of what Los Angeles society was really like in the late 1920's. Corrupt Police, uncaring and self absorbed mental health professionals and the basic premise that people left to their own ambitions will do anything to secure their own prosperity. Although this paints a bleak picture of the human condition, the film show that the actions of a few good men can make a world of difference, John Malkovich as Reverend Gustav Briegleb, is determined to expose the corrupt Police in his radio talk show, Michael Kelly as detective Lester Ybarra, although hampered by his superiors, uncovers what really happened to the boy and the unlikely hero, a powerful attorney who takes her case pro-bono comes to her rescue. If indeed this is a true story, then to see these people stand up to the powers that be is a ray of hope to all of us that there were people who were strong and principled. We can only hope that there are still people like that out there today.",9,194,237,2 November 2008
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan," Borat makes it to the big screen
","Very funny movie, but if you have been watching Da Ali-G show, this is something you already know. I really think that if you have never seen Borat before, you will like the movie even more than the rest of us who are big fans. Just the shock of meeting Borat for the first time should keep you laughing thru the whole film.The things I liked about the film were, seeing his home village and the reaction of the different people he meets during his travels. He almost got hit by some of the people in New York, while the people at his dinner party seemed to give him the benefit of a doubt, up to the point where he brings in a prostitute. Of course some of the people are just down right morons, like the old guy at the rodeo and the three college stooges in the RV. Now I know why the raised the drinking age to 21 in this country. So if you have never seen Borat before, strap yourself in for a bumpy ride and enjoy, for the rest of us, we get to see Borat for a full hour and a half on the big screen.",9,3,10,5 November 2006
Star Wars: Episode I - The Phantom Menace," Good special effects
","Lets be honest.  This movie had really good special effects and the actors were not bad.  However, it can not hold a candle to Star Wars and I really expected something better.  I can only hope that with what they have in the way of actors and special effects they will give us more of a movie next time.  I hated all the furry little creatures in the last movie, but even that one was more of a movie then this one.  Help me Obewan Canobe your my only hope.",8,0,1,10 April 2000
3:10 to Yuma," Very well made film
","This was unquestionably one of the best movies of the year so far. It was a well made remake with great acting from everyone including; Christian Bale, Russell Crowe, Ben Foster and surprisingly Peter Fonda. The movie had the perfect feel and texture of Arizona in the late 1800's and was totally entertaining from the opening credits to the last scene. It must take a lot of work by a lot of people to have such attention to detail in a film, but I have to give most of the credit to the director, James Mangold, for getting the actors, props, animals, and music to all come together and work so well. One thing I did want to comment on was, there have been some people on this site that have said that Russell Crowe's character did not stay true to form or that they could not believe the changes. Well I have to disagree with that. It is true that he was a ruthless killer but there are three scenes that were foreshadowing for his actions. One was when he said that even bad guys love their mothers, another was when he said that she left him reading the bible for three days and never came back for him, and the last was when he said that he would not last long as leader of the gang if he wasn't totally bad. When he saw the relationship between Christian Bale, whom he admired, and his family, I think he knew that this was the real true value in life, and in that moment of 'weakness' he knew what he had to do.",9,3,6,10 September 2007
The Hangover," Very funny adult movie
","I was not in a really good mood when I went to see this movie and I thought that I needed some mindless humor to cheer me up a bit. To my surprise, this movie turned out to be really funny and endearing at the same time. I found myself actually liking everyone acting in this film. The humor was more intelligent then I had expected and I found myself completely engrossed in the situations on the screen. Don't get me wrong, it was still raunchy guy stuff, but the writing and chemistry of this film are way beyond normal mass produced material. But the main reason that I am writing this review is because I don't understand the people that give this movie a rating of one or two. It is OK if you don't care for this type of humor, but it is something else to say the movie was real bad, even when the rest of the movie theater is laughing out loud throughout the whole film. Do you think the rest of the people in the theater are mindless freaks, or are you so self absorbed that you don't realize the rest of the people are really enjoying the film? Anyway, it is a bachelor movie about four guys that go to Vegas, that should give you some insight into what kind of movie it is going to be, and as such, it is really, really funny.",9,2,4,15 June 2009
Spartacus," Another Stanley Kubrick masterpiece
","Having just seen Gladiator this week, a very good film, I went back to see Spartacus again.  Although it lacks the special effects of the new film, it has great acting and more soul as a movie.  I would not change a thing. Once again Kubrick is at his best making us feel everything on a human level while giving us a visual masterpiece.  For these reasons I think it is the best of all Roman epics and would recommend that everyone see this film.",10,0,1,8 May 2000
Casablanca," Just Great
","What is really strange to me is that I was talking to a few people at work and most of the younger people said to me that 'I don't do black and white'. As if this was a strange and odd way to see a movie.  All I can say is maybe they don't know anything about American culture.  Does 'I don't do black and white' mean that 'I am an idiot'.  I don't know.  But what I do know is that this movie is a true American work of art.  One of the best indications of what we as Americans have given to the rest of the world. When non-Americans say that we as a nation have nothing in the way of culture, let them see this movie and tell me that Americans don't have culture. What I am trying to say is that Casablanca is not only great entertainment but it shows that Americans can express the true human condition through film as well as anyone can through the written word.",10,1,1,22 March 2000
Erin Brockovich," Women Power
",I liked it in spite of myself.  Took my wife to see the film and found myself enjoying it.  It is based on a true story and to see what can happen in a small town in California makes you wonder what is really going on in the rest of the world.  I only hope that the strength and resolve portrayed by this lady is alive and well in others around the world.  It made me feel a little inadequate that I as an aerospace engineer don't have as much resolve as this women who never even went to college. If this story is true then it is a great testament to the human condition.,8,0,0,10 April 2000
Meet the Parents," Very funny
","This was a very funny film.  If not one that had many drop dead funny jokes, it was a film that kept a smile on my face from the opening song to the very last shot. Most of the gags took time to develop and you could see them coming from a mile away but it didn't matter, it was still funny.  The two main actors made this whole movie.  I do not think I would have liked this movie at all if it were not for them. They were great.  I highly recommend this movie to anyone of any age.",10,0,0,9 October 2000
