movie_title,title,review,rating,helpful,total,date
Despicable Me 2," Delightful
","I liked the first but the second one is a lot better.Gru,the minions,the bad guy.Great family entertainment!Don't miss it.",8,0,1,17 November 2019
The Mask," SMOKIN
",Jim Carrey as a bank clerk finds a mask that makes his dreams come true.Cameron Diaz is also good in her debut.Don't miss it.,8,3,4,18 November 2019
Antz," Ants with the voice and the personality of the cast
",Great voice cast and plot.Excellent not for very small kids,8,1,1,17 November 2019
The Sound of Music," The sound of success
",Andrews shines as the nun Plummer as the captain and the kids do a fine job in this timeless classic with wonderful music.See it again and again because films like this are unrepeatable.,8,0,0,9 March 2020
One Hundred and One Dalmatians," 101 adorable dogs
",And what can I say for the villain.The most famous and recognising villain Cruella De Ville!That's it.I caught myself singing the song.A true classic for the whole family.,9,0,0,7 March 2020
Mulan," Great
","Mulan is one of the best disney princesses.In order to help her father she disguises herself as a boy.Great music,lovable characters,strong story.What more can you ask?",9,0,0,14 January 2019
Zootopia," Disney with suspence
","Excellent characters and plot development,that reminds of Disney's Robin hood with the animal characters.Great fun for children and adults.",10,2,2,17 November 2019
Beauty and the Beast," Tale as old as time
","Beauty and the beast a true classic with humor,suspense and lovable characters a total experience for all ages.",9,1,1,14 January 2019
Madagascar," I ve seen better
","The truth is that Dramworks have brought us great films like shrek or Sindbad and the bee movie but this one is the exception.The characters are nothing special has a few moments to laugh,and that's it.See it just once but you'll probably be dissapointed.",4,1,1,11 March 2020
Knives Out," Good mystery film
","Especially from Plummer and Craig who give their best teh film goes slow and slow till the end which gives us the guilty person.A nice piece of work better watched it a rainy afternoon,to feel better the suspence.",6,1,4,11 March 2020
Finding Nemo," Nemo is great
",Excellent underwater depiction lovable characters and nice background music.Enjoy!,9,0,0,14 January 2019
Dead Poets Society," My captain oh captain
",Robin steals the show as the rebel tacher to a strict college.Ethan Hawk is also good in onee of his first roles.Possibly Weirs best film so far.,8,1,2,9 January 2020
The Jungle Book," The bare necessities
","The last film Disney supervised is one of the best.Killer soundtrack,excellent characters script faithful to Kipling's story.",8,0,0,14 January 2019
Moana," Expected more
","The new disney princess has nice animation and characters,but the story is somewhat boring.See it just for the collection of the Pixar fims.",4,2,3,17 November 2019
Tangled," Rapunzel by Disney
","The princess,the young rascall and a new adventure is given with the unique way only Disney can provide",8,1,1,14 January 2019
"Monsters, Inc."," Adorable
",A weird but also wise plot.The monsters that use their voices and appearance to scare children and this provides their energy.Wonderful voice cast by the veterans.A must see for the whole family.,9,1,1,17 November 2019
"Good Morning, Vietnam"," Williams at his best
","And Levinson gives us the brightest film in his career.Williams is the radio presenter that gives the energy to the soldiers to fight.Humor,marvelous script and another memorable film to watch with the whle family.Too bad he passed away so soon and he won't give us any more performances.",9,0,0,24 February 2020
Over the Hedge," Silly
","I tried to watch it,but after the first 20 mins became silly.Well voice cats but it's not enough.",4,1,3,20 April 2020
Duck Soup," A MUST SEE
","Clever lines delivery from all the actos,Zeppo in his final role has something to do,Harpo hilarious as mute comedian especially during the lemonade scene and what a hilarious battle finale.Discover it for yourselves.It flows like water.",9,0,0,16 March 2020
Ratatouille," Become a chef with Ratatouille's help
","I haven't seen it in theaters and I was very curious.The first time I saw it,I was very excited.Ratatouille is another Pixar's classic with lovable characters,humor and action plus a taste of Paris.",9,1,1,14 January 2019
Inside Out," Our inside feelings
","Given by Pixar which once again made the miracle.Nice analyse of the insight world,wonderful scenery and nice background.",7,4,5,14 January 2019
Toy Story 4," Very good sequel
",Although the last film left us with a touching ending and I didn't expect to be followed Pixar made it after 9 years.Woody has the main character and the others have little lines.Forky is the main new toy character.The show steals the motorcycle man.See it with low expectations as the last film of the first great box office that made Pixar famous.,7,0,0,17 November 2019
Liar Liar," Carrey is a clown
","With grimaces hand gestures and rubber body you have 1,30 hour of fun.One of Carrey's best from the director of pet detective.",8,0,1,24 February 2020
Cars," Paul Newman's swan song
","Pixar,Disney and some veteran actors made this film a huge success.Races,a life lesson between old and new car and you have another memorable film from Disney-Pixar.",9,0,0,23 February 2020
The Little Mermaid," Under the sea
","This song is my personal favorite and it was nominated for an academy award.Now for the movie Benson has a wonderful voice,Ursula is the unforgettable villain and the underwater scenes are very well drawed.A funny film with memorable songs.",7,1,1,8 March 2020
Once Upon a Time... in Hollywood," Tarantino with a few violence
","It starts on the ste of the movie.Very good performances from Pitt and Di Caprio and a cameo from the veteran Pacino.The film puts us in the climate of the era,with the cars the bars and the people of spectacle.A little bizarre finale.But all in all a fine film.",8,2,3,11 March 2020
Aladdin," Trash
",Don't waste your time.Awful.Watch the cartoon instead.,2,1,1,17 November 2019
The Lion King," A total disaster
","What a shame,25 years after the release of the masterpiece comes this crap.Don't even bother to waste your time.",2,1,3,17 November 2019
The Incredibles," Charming
","Ready to become a superhero?Pixar brings to life a family with superpowers with 4 people try to cooperate.Voice talents by Holly Hunter,Samuel Jackson and Graig Nelson and here's the new jackpot",8,1,1,14 January 2019
Cars 2," The adventure goes on
","With a little suspense,adventure and a great sense of humour cars 2 is the one film you ll enjoy with your family.Not to mention Michael Caine and Emily Mortimer as the spies.",9,0,0,22 February 2020
Amadeus," Wonderful
","Tom Hulce gave the performance of his life as well as Abraham did.Music scenery,costumes,performances.A must especially for Xmas days.",10,0,0,14 January 2019
Coco," A trip to mexican culture
","Pixar has given us many successes.Coco is one of the last ones.With a beautiful story,amazing characters,nice music and an unpredictable finale Coco is a film for the whole family.Check it out",9,1,1,14 January 2019
Brave," Boring
",I liked the animation but the entire plot was very boring.I caught myself looking at my watch severeal times.Pixar has made better films.,4,0,1,17 November 2019
Shrek 2," Shrek vs the relatives
","With memorable characters,nice plot and the puss in boots voiced by Banderas is must see for Shrek and non Shrek fans.",9,0,0,14 January 2019
A Bug's Life," Another special film from PIXAR
","Came the same year with Antz,but with a total different plot.Grasshopers vs ants and a rebel ant that finds fighters from a circus.Great family entertainment!",9,0,0,18 November 2019
Toy Story," Pixar's first masterpiece
","I rememeber I was a schoolboy when i saw it on cinema with my dad.A total new experience made by computer with humour,adnenture and emotion.With stars as Tom Hanks,Tim Allen and Don Rickles toy story is a film experience you'll never forget.",9,0,0,14 January 2019
Puss in Boots," Puss goes solo
",Banderas is very talented and reminds me of a cat Zorro in his very own film.Humor and adventure all together,7,0,0,14 January 2019
Toy Story 2," Perfect
","Toy story was just the begining.Toy story 2 is the improvement and teaches us that when there is fantasy nothing dies.New characters,fun,adventure and a sequel totally fresh",8,0,1,14 January 2019
