movie_title,title,review,rating,helpful,total,date
Moneyball," Baseball mania
",Taking a gamble is one thing; making it into drama is another.Brad Pitt does a credible job of acting.,6,0,0,7 October 2019
First Man," Lacking in drama
","An inherently exciting event goes down badly. Ryan Gosling is too pedestrian.
.",5,1,1,23 October 2019
3:10 to Yuma," Gripping
",The Robin Hood story doesn't quite mKe it but the acting by Russel Crowe and Christian Bale keeps you engaged.,6,0,0,25 May 2020
The Hangover," Fun funnier
",Well done comedic piece with outstanding portrayals by Zach Galifianakis and Bradley Cooper.,6,1,3,20 July 2019
Ghost," Magic realism
",FAntasy love story with a healthy dose of magic realism. Good portrayals by Patrick Swazy and Whoopie Goldberg.,7,3,3,2 December 2019
Spartacus," Too long
",An epic story much too long to support the underlying drama. Kirk Douglas and Jean Simmons do well in their respective roles. Peter Ustinov defines the role.,6,1,4,2 September 2019
Stop-Loss," Little known
","Well dramatized story about a little known subject deserving of much more publicity. Superb acting by Ryan Phillips, Joseph Gordon Levittown, Channing Tatum and Abbie Cornish.",7,0,0,10 April 2020
Hereditary," Well done horror
",In the horror genre this is a well directed and acted horror movie.Toni Collette does a terrific job of acting.,6,0,2,12 June 2019
Casablanca," I was too young to know the difference
","Seeing this classic again after childhood made me realize I was too young to make a difference. Humphrey and Ingrid supported byClaude, Sidney and Paul made the movie.",7,1,1,7 November 2019
Lifeboat," Strong characterizations
","A classic intense look at several characters and their inner selves. Tallulah Bankhead, Hume Cronyn and William Bendixplay memorable roles.",7,0,0,4 September 2019
Rocky V," Done again
",Another in the Rocky saga. Well done and well acted. Good boxing shots and well played by Stallone.,7,0,0,29 September 2019
12 Angry Men," Top Notch
","A classic movie, pure drama, excellent acting strong characterization, great directing. Inspired acting by Henry Fonda, Ed Begley, Jack Warden, E G Marshall and Lee J Cobb.",8,0,0,4 August 2019
The Notebook," Touching
",Touching but predictable love story well played by Ryan Gosling and Rachel MacAdams.,6,1,2,24 February 2020
Us," Doppelgängers
",Well dramatized and well acted fantasy movie of doppelgängers in the modern age with action centered on a black family.,6,0,0,11 May 2020
Little Boy," Moving story
","Well dramatized story of racial prejudice, belief in something grater and the magic of belief. Exceptional acting by Jakob Salvatti.",7,0,0,17 December 2019
The Irishman," Spellbinding
","Well written, well portrayed story of modern gangsterism, fascinating in its telling. Robert DeNiro,Joe Pesci and Al Pacino do a good job of acting.",7,2,4,8 December 2019
500 Days of Summer," Affectating
",Wonderfully put together affectating tale of young love and it's uncertainty. Joseph Gordon-Levittown and Zooey Deschanel star.,6,0,0,24 June 2020
Molly's Game," Hard boiled
",The character. Is driven and the movie moves with the same outward speed. It makes for interesting viewing but doesn't penetrate very far in the human psyche. Jessica Chastain is good in a hard-boiled sort of way.,5,0,3,11 April 2020
BlacKkKlansman," A retelling
",Nothing really new or dramatic here. John David Washington and Adam Driver do a credible job of acting.,6,1,3,23 April 2019
The Best Years of Our Lives," Timeless
","Real people, real stories , real acting; fun to watch. It fit the times!",7,0,0,3 October 2019
The Ottoman Lieutenant," Storybook Romance
",A romantic tale set in Turkey during World War I touching on the Armenian genocide.,5,1,1,10 June 2019
The Town," Taut
","As crime movies go this is a worthy addition to the annals. Taut, fast auctioned and well acted, Ben Affleck and Jeremy Reiner are very effective.",7,0,0,7 July 2020
Shutter Island," 'Shudder' Island
",I'm sorry I didn't like this film. I watch half of it and then gave up. It never gain traction. The moody I'm in S ST did nothing for me. I remain totally detach. I gave it a rating of two out of 10. Good luck,2,1,4,7 August 2018
"Three Billboards Outside Ebbing, Missouri"," a winner with 2 negatives
","Sure, Frances McDormand deserved the Oscar and the film was overall excellent with outstanding performances from Sam Rockwell and Woody Harrelson but there were 2 things about the movie that disturbed me: the inappropriate handling of the police station and billboard aftermaths. Other than that it was topnotch.",9,0,0,6 August 2018
The Grapes of Wrath," A Classic
","Well directed, well acted, classic drama. Superb acting by Henry Fonda and John Carradine.",8,0,1,5 August 2019
Forrest Gump," Work of art
",From the fluttering.feather to the beginning and ending bus scene this movie is a treasure. Tom Hanks and Gary Sinise are exceptional.,9,1,1,15 November 2019
Bohemian Rhapsody," Sad
",The degradation of a famous rock writer and singer culminating in a kind of retribution. Acting by Remi Malik is good.,6,0,0,11 September 2019
Burn After Reading," Fascinating
","A gem by the Coen brothers, bringing together the comedic and acting talents of Frances McDermott, George Clooney,John Malkovitch,Brad Pitts, and Richard Jenkins.",7,1,1,1 September 2019
