movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," 9 on a scale of 10
","I saw this movie before I read any reviews on imdb. After going back and reading dozens of them, I realize that many people were unfortunately victims of the hype. By that I don't mean they went to a movie that wasn't worthy of their hard-earned money, but rather they went expecting something other than what the movie delivered.I think the critics loved it so much because it was fresh, unique, original, riveting, well-acted, and because they hadn't been told ahead of time that it was the scariest movie of all time. And, by the way, it isn't.However, if you enter the theater with the only idea that you are going to accept the premise for what it is and go along for the ride and don't expect a Hollywood ending (which would be impossible anyway if it were truly a real story), then you will be more than entertained. I was and so was my wife.I wouldn't call it scary, but I would call it creepy - very creepy. And, it leaves you with some questions that you want to be left with. I mean it would take another hour or more to have answers. The idea is that a film made by dead kids in the forest is found. Do you think they had time to wrap up a perfect ending just immediately before they were killed???? I don't think so.As to the jerky camera movements. All I can say is that I get sea sick on the water as well as queasy when I view surround video. And, I don't like roller coasters, etc. Nevertheless, shortly after the movie began, I didn't think about it again. I was too wrapped up in the adventure.",9,1,1,30 August 1999
Antz," 8 on a scale of 10
","Antz was an interesting movie with excellent animation. I watched it with another adult and 7 & 8 year old girls. Everyone liked it.There were scenes of violence and some language issues, but overall, considering how much kids know today, I thought it was acceptable.The most interesting thing about the movie was guessing the voices. We missed most of the initial credits - catching only the last one which included Sharon Stone. Though I could see her speaking, I became convinced that it was the ditzy brunette on  Just Shoot Me. Then, I decided it was Diane Keaton. In fact, even the facial animation reminded me of Diane Keaton. And, of course, it made sense that she would be Woody Allen's love interest. If you haven't watched it yet, think of those two. Anyway, I was so positive that it was her, I bet $10 against it being Sharon Stone - even though we both saw her name listed and I couldn't figure out who else Stone would be. I may be stupid, but at least I'm $10 poorer.... but I swear it was Diane Keaton!",8,0,0,10 May 1999
Miracle," 10 on a scale of 10
","This movie, though better, was similar to Rudy or Hoosiers or Rocky in that it was a sports story of success against incredible odds. I gave those others a 9/10. I've watched thousands of movies and only rated 19 of them as a 10. I'm going to make this only my 20th rating of a 10/10. The reason is because the story is so much more important, so much broader, and the payoff is so much greater than those others. Therefore, it had/has more effect on me directly. The only other sports movie that I gave a 10 to was Field Of Dreams - my all-time #2 movie.I'm not a hockey fan at all, but it doesn't really matter what the game was. It was the story that was compelling. I can't imagine that I watched the game live in 1980. I don't remember for sure, but I just cannot imagine it. I am pretty sure that I couldn't have cared less. I probably assumed they were going to get the snot beat out of them and, thus didn't watch. Because of this, I don't think I have ever appreciated the full significance of the game.The movie spends a fair amount of time bringing us up to date through the 70's as to what was going on in the world. The point of that was to try to lay a foundation for the event as well as to essentially lead us to accept that, in a way, this victory marked the first step toward changing the 70's disasters into 80's successes.But, here is the whole thing for me. Yes, it was interesting and very well done. But, I have to be honest. The last 20 seconds or so of the Russian game literally took my breath away. I actually started to lose my breath. It was so well done that I almost jumped out of my seat and yelled when the buzzer went off. And, believe me, that takes A LOT! In that respect, had I been a fan of the sport (NOT) and would have been watching during the game in 1980, I would have probably gone insanely wild at the end of that game. It was something incredibly special and the movie did a great job of building the suspense and making it real.'Do you believe in miracles?' is the greatest sports line in history and now I really understand why.Also, I just have to say - Russell was fantastic.",10,0,0,10 February 2004
Star Wars: Episode I - The Phantom Menace," 9 on a scale of 10
","Welcome home. That's how I felt when I saw this movie. It was wonderful to become reacquainted with the series. I can't come up with a single objection to the movie. I can't say it blew me away (well, the special effects did), but it was as good as it could be short of that.Lucas did a magnificent job of setting the stage for the next episodes and for the 'future' trilogy. I thought I would surely have to watch the other 3 movies first to get prepared. I didn't get the chance, but I wouldn't have needed to. Of course 15 years or so is a long time to patch any holes.",9,0,1,30 June 1999
Catch Me If You Can," 8 on a scale of 10
","Not a classic, but interesting. I have to say I have never seen a movie based on a real life person whose entire life was a con. So, it was original, and therefore, a worthwhile 2 hours of my time.I thought DiCaprio and Hanks were both good. Hanks is ALWAYS good. The only downside was the lack of interaction between them. Of course, there likely was little, if any, interaction between them in real life, but all movies based on a good guy and a bad guy are enhanced by the 'relationship' between them.Otherwise, no complaints, just simple entertainment.",8,1,2,24 June 2003
Minority Report," 8 on a scale of 10
","This is a movie that is nearly perfectly made. It is also a movie that has a brilliantly conceived idea. Very creative. I admire just about everything about it. The direction by Spielberg was typically fantastic. Amazingly enough, I could find almost no holes or contradictions despite the unbelievable risks it takes with time lines.And, although 8 is a good rating - and I really probably would give it an 8.4, it still didn't quite do enough for me. I was never bored. I was satisfied with the ending. The acting was especially good. There really isn't a whole lot to criticize. In fact, even the genre is one that I have a bias for. But, there was something that kept it from being a 9 or 10.I think it boils down to this. It was too long and it required too much work. I realize that 2 hours is no big deal, but the intensity and constant mental gymnastics required were just more than I felt like giving on the day I went. If I was less mentally exhausted from work and had all the time in the world, I probably would have rated it higher. Now, that's not the movie's fault, but I have to rate it based on my own experience.I remember other past/future movies that I thought were great - and I had to think hard to appreciate them too. But, as I think about them as I write this, I realize I wouldn't necessarily want to see them today either. I guess the moral of the story is that any movie is subject to the particular point you are in your life. At least for now, give me something simple. Life is complicated enough.",8,0,0,7 July 2002
Meet the Parents," 7 on a scale of 10
","When I voted I clicked an 8. Although it was a mistake, it could have been an 8. In fact, it definitely was between a 7 and an 8. I just believe it failed to meet the standard that should be met to qualify for an 8.I suspect the audience I saw it with would, by and large, give it an 8 or better. There was a lot of laughing - and some by me. The movie had enjoyable characters and some entertaining circumstances.However, it had a couple serious flaws. In the first place the beginning and end were good - very easily 8 caliber. The middle 45 minutes or so, however were difficult to watch. The torture that Matt Damon had to go through was actually painful - not funny.Also, the biases that the other characters had against his character were unreasonable and unbelievable. But, worst of all was how quickly they came around to befriend him near the end of the movie based on very little reason.I found the movie somewhat disjointed and I'm barely able to recommend it.",8,0,0,17 October 2000
Mulan," 8 on a scale of 10
","What is there to say? Another Disney movie. Excellent characters for kids. A great story. And, wonderful voices - especially Eddie Murphy. Me? I'm 46. I saw it with my two girls who are 7 and 9. It makes them happy, so it makes me happy.Of course I would rather watch something for an adult, but even as an adult it is a good movie - a 10 for the girls and an 8 for me.",8,0,0,21 August 1999
As Good as It Gets," 9 on a scale of 10
","Simply put, this movie was a very enjoyable film to watch. I rank it with Pretty Woman, Roxanne, Sleepless in Seattle, The Goodbye Girl, etc. as other romantic comedies in the 9/10 category.It is difficult to say why any movie rates a 9 instead of a 10. Mostly it is just a gut feeling. In this case there are a couple specific weaknesses. 1) You have to be able to believe that a young woman (Helen Hunt) would become interested in someone as old as Jack Nicholson. More unbelievable is the fact that his character is anyone other than someone she would ever get interested. 2) The radical extremes from complete disdain to love and back and forth are too far fetched to be believed.Still the acting was sensational and everyone deserved all the credits they got. The characters were very interesting and it was easy to root for them. It was a feel good movie and that alone gets an extra brownie point from me.",9,0,0,1 January 1999
Shakespeare in Love," 9 on a scale of 10
","I went to this movie in 1999 because it won an Oscar. I don't know Shakespeare and don't care - gobbledygook. (I told my friend's kids that he was famous because he invented the Chocolate Shake.) I enjoyed the movie, but I was dealing with major emotional issues literally during the movie and it affected my judgment. What I'm not sure of is whether it made my opinion of the movie stronger or weaker.For future reference.....It is not a good idea to go see a double story about the greatest unfulfilled loves in the history of storydom WITH the person who you are going through an emotional crisis with! It was a very sad experience, but the movie was excellent.Besides that, I really had no objection except that it is a period piece - not my favorite genre. It was well acted, looked great and never lagged in interest.",9,1,2,17 October 2004
