movie_title,title,review,rating,helpful,total,date
The King's Speech," An absolute joy!
","A large number of period dramas, especially those centring on royalty, have achieved great artistic and financial success in the history of movies. Their attributed points of content typically include the stylish visual essence of the relevant era, the seething corruption and injustice present, and the influence of a wise and regal protagonist. This year's The King's Speech is certainly one of the finest of the genre, right up there with the magnificent Elizabeth, and its inclusion of the three aforementioned classic elements is incontestable, yet they fall second place to a wonderfully poignant tale of inhibition and liberation.England's pitifully inarticulate and introverted Prince Albert (Colin Firth) is edging ever close to the dreaded, burdensome throne in the uneasy years between the two World Wars. An imposing government, an expectant public, and an unsettlingly coarse father (Michael Gambon, playing King George V for the second time) surround, hitting him with an avalanche of worries and doubts that continue to aggravate his heavily troublesome stammer, which makes all radio speeches an embarrassing nightmare. After years of problems, his always caring and sympathetic wife (Helena Bonham Carter, perfectly charming here as usual) assigns the highly-regarded experimental speech therapist Lionel Logue (a deliciously quirky and also affecting Geoffrey Rush) to this difficult case. For the hapless 'Bertie', sessions are met with considerable reluctance, Lionel's personal questions are received with anger, and heated discussions often lead to the patient's frustrated withdrawal, though he always returns eventually and never ventures too far from a burning desire to be heard without condescension.Here we do see Nazism, royal troubles, and elegant costumes and set design, but they are merely superficial plot lines that serve the heartrending journey of Bertie, later known as King George VI, which lies at its beautiful core. True as it may be that there are perhaps some sappy and unimpressively conventional episodes placed throughout the story, we accept all such events because the stark unfaltering realism of its characters is always there to reinforce the piece. Firth magnificently and touchingly captures the internal rage and maddening fragility of those who are outwardly inept and therefore rarely taken seriously. Rush makes an absolute masterpiece of his role, pumping every line and indeed every second of screen time with glorious intricate characterization. In the acting department, we even have the pleasure of seeing Guy Pearce, Derek Jacobi and Timothy Spall among others in the supporting cast.All in all, one cannot view this film without praising it enthusiastically: it is truly marvellous.",9,0,1,30 December 2010
Black Swan," I survived it! and LOVED it!
","Director Darren Aronofsky follows up his previous hit The Wrestler (2008) with another portrait of a troubled individual consumed by their taxing vocation – in this case ballet – that has also stirred and bedazzled the movie going public upon and well after its release, though of course Black Swan should be thought of as an entirely separate creation. It tells the story of sweet young Nina, a fiercely dedicated dancer who is determined to attain and successfully execute the lead part in her company's production of the well-known Swan Lake. It is a dual role, involving the characters of both the pure, kind-hearted White Swan as well as her vindictive, seductive twin the Black Swan. The former is for her a perfect fit, her being perfectly apt to do the steps correctly and having a natural innocence to give the right feeling to her dancing, but in attempts to embody the story's mischievous antagonists she always comes across as rigid. After quite a messy kafuffle, the eccentric lead choreographer ends up giving her the part despite her difficulty with the latter aspect, as he is convinced that some way may be found to awaken her darker side.The plot, and indeed the general premise of ballet, do suggest that the film is a simple low-key drama appealing to a mostly female audience, but it is of course more prominently a fearlessly brutal psychological thriller, the intensity and enthrallment of which must be experienced to be believed. However, its aspects horror are, in summary, the details of Nina's turbulent transformation into the Black Swan character. This subject is, while of course very confronting, still quite strictly for the purposes of the show, and depicted always from her point of view, and only to the very closed-minded and hypersensitive will it seem distant and foreign as they are watching it unfold. This feat of Aranofsky's is remarkable, and made all the more effective by a wondrous performance from Natalie Portman in the main role. Her acting achievements are equalled by her beautiful co-star Mila Kunis, who is most spine-chilling and compelling as the fellow ballerina that Nina subconsciously transforms mentally into a neat little embodiment of whatever she needs to acquire or conquer to obtain her goal. Recognition is also deserved of the three other most important members of the cast: Vincent Cassel who does a fine job as Thomas Leroy,the choreographer; Barbara Hershey who plays Nina's mother, a typical matriarch who shares a Principal-Skinner-like relationship with her daughter; and finally Winona Ryder with her very raunchy turn as a miserable retired ballerina past her heyday, who used to be Leroy's 'little princess'.I implore readers to ignore the overreacting cowards who say this film is artlessly disgusting, and rush to enjoy this extraordinary convergence of horror and character drama.",9,0,2,13 February 2011
Pirates of the Caribbean: On Stranger Tides," Look out for Richard Griffiths' and Judi Dench's cameos, and stay til the end of the credits!
","With this fourth addition to the magnificent Pirates of the Caribbean series, passionate fans have seen a feeble rumour become a fully-fledged exhilarating reality. Whilst it may lack the solid and purposeful storytelling bravado of the earlier sequels, it is nevertheless a satisfying fourth helping of the irresistible Pirates spirit. What's more, the film succeeds in being a faithful continuation of this spirit without merely rehashing its successful predecessors. Plenty of new characters and plot lines are introduced, so much so that it greatly outweighs the old material, yet in the grand scheme of things this approach seems to work, taking this sequel as far away from redundancy as it could possibly go.The story apparently picks up some time after the comical ending of the breathtaking At World's End (2007) at which time 'Captain' Jack Sparrow (the brilliant Johnny Depp) has been travelling freely and solitarily for quite some time, and has now crossed paths once again with his old friend Gibbs (winsomely played by Kevin McNally) who finds himself in a very desperate situation. Jack's very erratically conducted rescue delivers some highly entertaining scenes of wacky dialogue and involving action sequences, displaying the filmmakers' expert utilisation of the winning technique used by many such comedy-adventure films, like Indiana Jones, in which a high-speed early subplot paves the way for the main events. After the incident, the two friends are divided by the intervention of some old acquaintances and the growing interest in chasing the myth of the legendary Fountain of Youth mentioned recurringly in the third instalment. Gibbs, in order to avoid the gallows, is forced into joining Captain Barbossa, (a sublime Geoffrey Rush is the only other returning member of the old cast) who has now humorously become an agent of his master's navy and since the sinking of the Black Pearl has been hobbling around with a peg leg. As for Jack, beautiful plucky Angelica (a sensational Penélope Cruz), one of the many hateful dames from his past, has gotten the better of him. He has been kidnapped and dragged aboard the Queen Anne's Revenge, captained by the infamous Blackbeard (a deliciously wicked Ian McShane) who as it turns out is Anjelica's long lost father. Both captains are headed for the Fountain of Youth with different yet undeniably intermingled motives. To reveal them here, prematurely, would rob future audiences of their enjoyment.However, it would not be too harmful to say that, as with Jack's enigmatic intentions in the earlier films, these mysteries are deeply embroiled in the supernatural. Indeed, On Stranger Tides is just as excited about displaying new specimens of eerily psychedelic mysticism as Dead Man's Chest was five years earlier. Blackbeard is a semi-undead being with the satanic powers of magically manipulating a ship as though it were a living, breathing monster, making the ropes and the boards trap and strangle those on board, as well as forcing a raging burst of flames to erupt from the keel. He has many other instruments of sorcery at hid fingertips, but even he appears to be shaken by the viciously seductive, murderous mermaids that the crew must confront in order to reach the fountain. Another force that seems to be intimidating the fiendish brute is the Spanish, who have also joined the hunt, but whose aim appears to be the eradication of such heretical entities as the fountain and Blackbeard. In fact, we soon realise that Blackbeard is no fearsome, formidable tyrant, but a lazy characterless coward who would be nothing without his box of magic tricks. In this way, he is very similar to Lord Beckett from the second and third films, only without the sense of class and the sheer smugness.Reflecting on the series as a whole, one does notice that much of the dramatic weight has been dropped by the time this most recent instalment is reached. However, it is doubtful that any more genuine pathos could have been mustered for the fourth chapter, and the new director, Rob Marshall (Chicago, Memoirs of a Geisha) has wisely not been too heavy- handed with the obvious cinematic strategies employed. The sweet blossoming of young love between a faithful Christian (Sam Claflin) and a more sympathetic mermaid (Astrid Berges-Frisbey) can be seen a mile away before it is finally acknowledged, but nevertheless it manages to win over the audience, and is quite reminiscent of the initial romantic sparks that flew between Will and Elizabeth throughout The Curse of the Black Pearl (2003) before that chemistry lost its flavour. The purely lighthearted line of attack works perfectly, and this allows the splendid fantastical action sequences, as well as the other characteristic aspects, to be executed perfectly. This film is what it is and never pretends to be anything else. Fans will no doubt find it thrilling and refreshing, and as for those who don't share in the Pirates fever, one does wonder why they have still been following the series after eight years.",7,0,1,11 June 2011
Sherlock Holmes: A Game of Shadows," A more than decent sequel to a ripper of an original
","The last couple of years have given moviegoers a mixed bag of modernised Hollywood revivals of classic franchises: some pleasing hits – The Adventures of Tintin, The Muppets – and quite a few ill-received misses – The Smurfs, Alvin and the Chipmunks. So it is a pleasure to kick of the year with a fine sequel to what is perhaps the most successful of these adaptations, along with Steven Moffatt's inspired BBC television series Sherlock starring Benedict Cumberbatch and Martin Freeman. Old- fashioned slick and smart plot developments and the traditional period English setting are skilfully blended in with the high-tail action scenes of today's summer blockbusters. Its appeal to both laidback and serious cinema audiences will surely continue to generate the promising commercial success that it has been enjoying thus far. On this outing, the novel mysticism of the menacing Lord Blackwood has been left behind, and the old eroticism of the slippery Irene Adler (Rachel McAdams) is present only briefly as more elements of the original stories by Sir Arthur Conan Doyle are introduced. Stephen Fry makes a delightful entrance into the series as the irrepressible detective's brother Mycroft. Usually there is an awkward rivalry between the two, where Holmes is frustrated by his brother possessing superior intellect and wasting it with his laziness, but here they are mostly very co-operative allies. The villain of the piece is a very familiar figure, the unbeatable Professor James Moriarty, but he has also changed. While in this film, as always, he is described as being faceless and consistently elusive, his pompous countenance is revealed within the first half hour. What's more, Jared Harris doesn't play him with nearly as much wicked relish as his predecessors; Guy Ritchie doesn't seem to want us to view him as a diabolical mastermind, but more a neat personification of the inevitable corruption and conflict present in modern society.However, the overall film is far from dulled down and certainly not as restrained as might be suggested from those aforementioned characterisations. The outlandish escapism is partly given in by the spectacularly gripping and often humorous action sequences. Chaotic explosions certainly abound, against a variety of backdrops, including a stirring performance of Mozart's famed opera Don Giovanni and an exhilarating chase through the woods that has spiky wood splinters zooming in every direction. Early on, there is also the classic comical assassin evasion, involving the enigmatic gypsy Madame Simza (Noomi Rampace from The Girl with the Dragon Tattoo). The other half is of course given by Robert Downey Jr.'s reprisal of another typically erratic role, but this is one of his better excursions of eccentricity. Jude law puts in some fine work also as Holmes' much more sensible and long-suffering roommate and associate Dr John Watson, who exhibits a deeper maturity as he prepares seriously for a marriage to his equally sober girlfriend (Geraldine James).Much lighter this time, yet filled with a stronger sense of doom and danger than the first film, Sherlock Holmes: A Game of Shadows might not bring anything terribly new to the table, but it presents its familiar yet reliable products with fine gusto, and aptly manages to keep its audience engaged and energised throughout its sizeable two hour duration, a time that can be treacherously difficult to sustain interest with.",7,0,0,10 January 2012
The Perks of Being a Wallflower," Much more than you might expect
","This year's undoubtedly greatest and most noteworthy 'teen movie', Stephen Chbosky's The Perks of Being a Wallflower, is a terrific example of the triumph of pure, uncompromised artistic integrity and fearless exploration of dark, deep, unconventional, and not necessarily marketable themes and characters. It's only resemblance to the typical slothful cash cows that are fed to bored adolescents through the Hollywood production line is the timing and screen time allocation of the usual exposition, positive change in circumstances, complication, and transitional pathos leading to a more upbeat resolution. Here, every single rung of the narrative ladder is laden with solid, challenging, meaningful material that remains sturdy during each tonal shift between comedic and tragic.Taking total control of an adaptation of his own book as both screenwriter and director, Chbosky very maturely probes both the social dynamics of the Wallflowers, a group of close high school friends whose interests lie across the broad range of areas other than football, supermodels and pop music, and the incredibly painful life of it's incredibly likable, oddball protagonist, Charlie (Logan Lerman). The Indie, eccentric wallflower gang, the real life equivalent of the Hollywood 'nerds', who more of us are or have been a part of than one might expected are depicted with a very endearing realism that celebrates their alternative coolness. The two members who are most featured, Patrick (Ezra Miller) and Sam (Emma Watson), proudly parade into Charlie's initially lonely life as a battered, frightened, intensely introverted, humbly intelligent freshman who expresses himself in letters to a friend who is non-existent and featureless, but feels he ought to have. They touchingly take them under his wing exerting an air of confident weirdness, despite their own deep- seated insecurities that might not be as troubling as Charlie's very unsettling issues with insanity, but present just as many problems. Chbosky and Lerman make Charlie, the sweetest, kindest, most sensitive and convincing shy underdog ever to open a film with snarky complaints about one's high school days, and because of Chbosky's very mature approach to crafting this story, his maddening torment from the many guilt-ridden tragedies of his past are instantly understood, and only endear us more to him. The same goes for Patrick, who is quickly revealed to be a closet homosexual desperately trying to quench his thirst in a half-hearted affair with a two-faced jock (budding heartthrob Johnny Simmons) who fears his father's homophobic rage, but still derives primal pleasure from their secret sessions.Despite initially seeming incredibly self-confident with his effortless witticisms and relaxed banter with friends and Sam, his new step-sister, Patrick is soon revealed to be as internally unsteady as Charlie is internally intelligent. Charlie purposely quietens his impressive intellect at school in fear of some surprisingly realistic bullies, so his savvy and pleasingly unsentimental English teacher, Mr Anderson (Paul Rudd), discreetly slips him a string of extra novels to satisfy his voracious literary appetite.This student-teacher relationship and all other potentially cloying aspects of the story are handled with much more subtlety and restraint than I'm sure many audience members will be respecting. Make no mistake, this is a quirky piece, but certainly not cute and 'heartwarming' in the usual. It doesn't try to charm you with sickly sweet sentiment that is supposed to 'grow on you.' Instead, it's strategy is to bombard its audience with themes and events that are crippling harsh and confronting, but must be faced as a fact of life, and then allows us some relief by showing the lighter sides of these characters' lives, as well as the majestic beauty of the darkness residing in them.I do fear that, perhaps, its publicity will deter an audience that will truly appreciate it. Many of those who seek it out are likely to be after an upbeat Indie teenage comedy like Jason Reitman's Juno (2007) and the surprise of a decidedly downbeat drama may not necessarily be well-received. During an intelligently-crafted scene between Charlie and Sam where the subject of love – that is, love in the real world, not in the minds of Hollywood producers – is delicately discussed as the two of them are currently locked separately in uncomfortable, third-rate romantic relationships, Charlie repeats a piece of resounding wisdom he has learned from Mr Andrews: 'sometimes we accept for the love we think we deserve.' It is an ingenious quote that relates to the plights of so many characters, yet, near the time it was uttered, the girl sitting next to me in the theatre muttered, 'Just f--king kiss already!' I certainly hope those slightly saccharine posters aren't the product of the producers' lack of commercial confidence in this quality film, and that they haven't accepted the shallow of love of immature people like the person who was sitting beside me, instead of the full appreciation of art-house audiences.I also hope that the previous work of its three stars, whose names have been generously given marquee acknowledgement, will not create too many misgivings or preconceptions, for all of them produce characterisations that are markedly different from those they may have been previously affiliated with. Emma Watson's new haircut, impressive American accent and much more mature manner successfully remove the Sam from Hermione Granger. Ezra Miller is just as intensely engaging here as he was in We Need to Talk About Kevin, but certainly not psychopathic and demonic. Most of all, Logan Lerman is much more raw, affecting and unassuming than his likable but very typical turn as Percy Jackson in 2010. The rest of the cast, most prominently Dylan McDermott and Kate Walsh as Charlie's parents, Nina Dobrev as his sister and Mae Whitman as the sweet but insufferable girlfriend he's too nice to get rid of. Believe me when I say that this a must-see for anyone Charlie's age (15) or older.",9,2,4,23 December 2012
Skyfall," Great fun
","In this, the 23rd James Bond film, and the third to star the grimy yet regal Daniel Craig as the most truly British bond we've seen, skilfully dramatic director Sam Mendes, who's perhaps best known for the quirkily captivating American Beauty (1999) achieves an impressive balancing act of the old and the new, in various aspects of this refreshingly exciting Bond outing.Veteran 007 screenwriters Neal Purvis and Robert Wade, as well as newcomer John Logan (Hugo, The Aviator) are fully aware of the contemporary setting of the film. Whilst we're still treated to improbably heightened action sequences, energetic mission briefs, witty, confident one-liners and even a few, but not many, fancy gadgets, the reality that these are fading, old-fashioned ministerial and cinematic methods is well is always at the forefront of every scene. The theatrically psychopathic, but not terribly cartoonish villain merciless attacks the weak spots of Bond's inevitable middle age, M's senility and guilt-ridden blunders, and the unfeeling upheavals of the digital age, with his fierce cunning and his alarming technical abilities. M is here at her most vulnerable, but also her most fiercely determined, in a movie that gives her an uncommonly generous amount of screen time. The magnificent Judi Dench continues to show what a good sport she is, and invests the role with terrific gusto. The spectacularly ruthless actions of the dastardly Silva (an even more invested Javier Bardem, channeling some of the chills of Anton Chigurh from No Country For Old Men) are make viewing that's all the more intense as both the big-budget orchestrations and the characterisations contribute to the excitement.Two MI agents who are more well-adapted to the digital revolution are also a nice addition: the unapologetically youthful computer whiz now holding the position of Q (Ben Wishaw), and the enigmatic realist, Gareth Mallory (Ralph Feinnes, cheerfully sporting his usual tongue-in- cheek comedic flair). In most long-running franchises, new characters moulded in the latest cinematic style are not appreciated. The prevailing rule imposed by fans is that all new additions must be modelled on characterisations of the period of the series' beginning. However, three breaches of this rule, also counting Silva, have served the writers very well indeed, and all the adherences are at best forgettable, as with Silva's henchmen, and at worst tiresomely predictable. The latter category consisting of one of those dreadfully boring, but perhaps obligatory, femme fatales. As the wimpy Sévérine, French actress Bérénice Marlohe gives a performance as grindingly overblown as the sickeningly ridiculous costume that Jany Temine has designed for her. The writers sleepily go through the motions of making her snobby, then flirtatious, then cocky, then clumsy, then vulnerable, then broken, then needy, then helpless and finally, perhaps, dead – I honestly paid no attention to her fate. She certainly wasn't missed when she vanished without a word. Miss Eve Moneypenny, played by Naomie Harris is a far better creation, propelled by the efforts of a much more winsome and convincing actress. It is truly a wonder how Logan and Mendes, usually masters of measured complexity, have coughed up such a pedestrian characterisation right in the middle of this ripper action flick. Only half an hour ago, they made the ingenious placement of an animated credits sequence of the sort that normally closes a film, but here sufficiently gives the impression we need that a long passage of time has swept by our characters, without forcing the audience to share that boredom. The that it is played over by a song that the beautiful Adele wrote and performed especially for the film makes it all the more enjoyable a diversion.It all amounts to a very enjoyable two hours of entertainment, despite that one little lapse.",7,2,9,17 December 2012
Kung Fu Panda," 'Everybody is kung fu fighting!'
","Prior to its release date this delightfully pleasurable action comedy-adventure from DreamWorks Animation seemed as though it would join the likes of 'Surf's Up' (2007) and 'Chicken Little' (2005) as one of the most average pieces of animated rubbish ever to be shown on the silver screen. And it is for the first ten minutes in which we are first introduced to our hero  the Po (voiced by a hilarious, show-stealing Jack Black.) Po is an under-achieving fat, ravenous, panda born the son of a slightly mad noodle seller (voiced by James Hong) who dreams of being a famous kung fu master. His heroes have always been the amazing furious five  Tigress (voiced by Angelina Jolie,) Monkey (voiced by Jackie Chan,) Mantis (voiced by Seth Rogen,) Viper (voiced by Lucy Liu) and Crane (voiced by David Cross) trained by the greatest kung fu teacher in all China, Master Shifu (voiced by the magical Dustin Hoffman.) When it is prophesied by the powerful all-knowing Master Oogway (voiced by Randall Duk Kim) that the dark and menacing Tai Lun (voiced by Ian McShane)  a former pupil of Shifu's turned evil when he was denied ownership of the powerful dragon scroll will escape from heavy imprisonment and make the entire Valley of Piece fell his deadly wrath, the great turtle announces that the Dragon Warrior must be proclaimed as he is China's only hope. That noble position is of course seeming accidentally given to none other than Po, who must somehow be trained to fight and defeat the monstrous villain.There the film throws off its predictability and becomes a fun-filled action-packed thrill-ride, leaving us all in a daze at how unbelievably wrong we all were to think that it was just another washout. For DreamWorks, this is a fine achievement and an excellent recovery from 'Shrek the Third' (2007.) What's more, this film  unlike most comedies  doesn't rely on the jokes to give it life. The gags of Kung Fu Panda work as more of a little extra spice to top it all off. What really makes it enjoyable is the engaging story.",7,0,0,1 March 2009
Coraline," Marvellous!
","As incredible as Coraline is, we cannot say it is an 'unexpected delight'. When it became known to us that this film would be based on a novel by Neil Gaiman, the author of Stardust, and that Tim Burton's The Nightmare Before Christmas' Henry Selick was going to direct and write the screenplay, we knew we were in for a treat. The voice cast here – which includes Jennifer Saunders, Dawn French, Keith David and Ian McShane – is superb, and the remarkable originality and creativity that surrounds this wonderful story makes this a serious contender for this year's hotly contested Oscar for Best Animated Feature Film.The adventures of feisty young Coraline Jones (voiced by Dakota Fanning,) the neglected daughter of two dull grocers Charlie (voiced by John Hodgman) and Mel (voiced by Teri Hatcher) begin when she meets the talkative yet friendly Wybie Lovat (voiced by Robert Bailey Jr.) a boy who lives nearby who finds and gives to her a stuffed doll with buttons eyes that look exactly like her. This is the start of a monstrous plot invented by the 'Other mother' (Hatcher again) to spy on Coraline and find the faults in the young girls life, then use this information to create a perfect and intoxicating world to impress Coraline, luring her into it with a mysterious secret door.Regardless of the fact that this is of course a children's film, you'll find that there is genuine tension created by the film's mid-way point. This is not only due to the brilliantly crafted plot, but by the ingenious and meticulous design of the always delightful claymation that possesses a charm, devotion and power that CGI lacks tremendously.Though Selick's direction isn't quite as tight as his screen writing. The script of Coraline contains the same flaws as those of other, similar animated films such as Nightmare Before Christmas and 'Tim Burton's Corpse Bride' (2005) where the overall concept of the narrative is sensational and highly imaginative, but the results of the writers' difficulties in turning it into a story of reasonable length are rather tiring and tedious.",9,0,2,27 September 2009
The Hunger Games," An excellent stand-alone film that doesn't belong in a series
","After last year's Harry Potter and the Deathly Hallows: Part 2 famously hammered the nail in the coffin of the beloved Potter franchise, many avid teenage readers and moviegoers searched frantically for another dependably exciting adventure series to fill the aching, gaping hole that was left after the worldwide heartbreak. The fact that many of them believe that they've found it with Suzanne Collins' The Hunger Games will, it seems, mitigate the power of what is really an inspired, intelligent, brilliantly crafted fable and provide egoistic film critics with the perfect ammunition to blast away the threat to their vain conservatism. This should never have really been a series, because it works on the same level as other eerie futuristic pieces such as George Orwell's fascinating 1984 or Ridley Scott's rickety but well-intentioned Blade Runner (1982). Books or films belonging to a pre-mediated fantasy or science fiction series usually end quite inconclusively and mysteriously, with a neat explanation being provided in the final instalment. This perfectly packaged ending is made possible by the disconnect from the real world, but The Hunger Games is very much focused on harsh realities and palpable, relatable ambiguities, or at least it was until the sequel Catching Fire was published in 2009. The main premise of the story might have been typical of teenage entertainment – yet nevertheless exciting – but the insightful earlier and later passages are what set it apart from mainstream blockbuster entertainment.As most people know, the story centres on young Katniss Everdeen (Jennifer Lawrence) who struggles to support her family and to cope personally in a brutal dystopian future. She lives in the last of twelve strictly separated districts that get progressively poorer, although each has been oppressed severely by the Capitol, particularly after the great insurrection that occurred several decades before Katniss' birth. This is where one of the story's most unique aspects comes in, in that the violent and passionate rebellion that usually takes centre stage in these stories has come and gone unsuccessfully, and has had adverse effects on the later generations. Now, every year, the Capitol draws names out of a ballot and takes a boy and girl between the ages of 12 and 18, gives them a brief bit of training and places them all in an arena in a gruelling fight to the death that becomes a twisted reality television show for the entire population. Katniss volunteers as a tribute after her fragile, 12-year-old sister is called up, along with the humble and kindly Peeta Mellark (Josh Hutcherson) who is just as convinced that he will lose because of his useless fighting skills as he is that Katniss will win because of her determination and hunting experience, and is eager for them to pose as 'star-crossed lovers' in order to gain publicity and extra assistance from sponsors.What follows is their navigation of a perilous moral, philosophical, physical and emotional minefield whilst they try to find a balance between staying true to themselves and their personal beliefs, even if it means defying the Capitol, and being strategic and adaptable enough to survive. It would be a very laborious task to describe the many details of these rich plot developments, but due mention must go to a few of the most intriguing characters, and the actors that so impressively embody them. Liam Hemsworth effectively plays the supporting character of Gale, Katniss' best friend, who always optimistically insists that they should flee to the forest to live as nature intended and be free of the Capitol. He is just as likable as Peeta, and both are naïve and coldly realistic in their own way. 12- year-old newcomer Amandla Stenberg beautifully captures the innocence and cheekiness of Rue, a gentle but elusive young tribute who is incredibly adept at climbing. Jack Quaid, another newcomer, somehow manages to mask his natural warmth in order to play an insufferably pompous yet undeniably tough and dangerous competitor from the wealthier area of district 1, where tributes are fiercely trained from a young age and volunteer with pleasure to slaughter the poorer citizens. As for Katniss herself, the still unsteady Jennifer Lawrence has proved to be the perfect casting choice. Our heroine is very similar to her Oscar- nominated role in Winter's Bone (2010) and no doubt she's used many of the same characterisation techniques to portray this tough, earthy yet very sympathetic character, but here she has refined her acting skills enough to make the audience like her as well as the Academy. Josh Hutcherson has also been very well cast as Peeta, being very believable and incredibly moving. It is a pleasure to see him still acting well and prominently after his terrific efforts as a child actor in the last decade, and hopefully he will make the transition to serious adult actor. Lenny Kravitz portrays another powerfully sympathetic character, Cinna, the only Capitol official who recognises the cruelty and harshness of the Hunger Games and extends a gentle, helping hand towards Katniss. Indeed, the upper class is a ghastly sight. Respected actors Wes Bentley, Stanley Tucci, Donald Sutherland, Woody Harrelson, Toby Jones and Elizabeth Banks stagger on screen as outrageously dressed, ridiculously drunk, shamelessly shallow and often shockingly heartless bureaucrats that appear to be caricatures at first glance, but eventually one realises that as far as representations of government officials go they couldn't be more realistic.A story such as this could never have a concrete ending and remain believable, and unfortunately, by giving it an ending across two sequels, Suzanne Collins has ruined this marvellous fable's chances of ever being taken seriously by anyone over the age of twenty. Still, make sure you experience this fantastic book and film.",8,4,12,30 March 2012
Pirates of the Caribbean: Dead Man's Chest," Amazing! A truly unforgettable action thrill-ride!
","This film left a terrible impression on me when I first saw it with perhaps overly high expectations after my splendid experience with the original. My initial opinion was that it had a crazy mixed-up messy incomprehensible storyline, that the superfluous Flying Dutchman scenes were far too violent and disgusting and were most intolerable, and that the action scenes were slow monotonous and dragged on and on without getting the point. Though during this first viewing I did feel that there were a few redeeming qualities, such as the awe-inspiring performance of the marvellous legendary Johnny Depp and that fun-filled three-way sword-fight scene involving the giant rolling wheel.Now after having gotten used to the sheer ugliness of those mutated seamen slaves, accepted the storyline for what it is and enjoying its many twists and turns, begun to laugh and throw myself into those exciting and comedic action sequences and appreciate the truly extraordinary performances of Bill Nighy, Naomie Harris, Tom Hollander and many others I realise that I could never have been more proud of the film's creators for both greatly differing from their approach to the first film and doing it such justice.Job well done indeed and you thoroughly deserve that Academy Award!",10,0,1,24 March 2009
