movie_title,title,review,rating,helpful,total,date
Scarface," The Teachings Of Mama Montana
","When you raise kids, you notice that the most critical issues do not lie with education, but within the influence of the community. Mama Montana is an admirable mother who has Values, Principles and Ideals and fights for them. She is an honest worker and her teaching about ugly money that stinks is the best kind of education parents can give to their children:
'Mama Montana: Son? I wish I had one! He's a bum! He was a bum then and he's a bum now! Who do you think you are, hm? We haven't heard a word from you in five years. Cinco anos. You suddenly show up here and you throw money at us? You think you can *buy* me with your money?
Tony Montana: Come on, mama.
Mama Montana: You think you can come in here with your hot-shot clothes and make fun of us?
Tony Montana: Mama, you don't know what you're talking about.
Mama Montana: No that is NOT the way I am, Antonio! That is *not* the way I raised Gina to be. You are not going to destroy her. I don't need your money. Gracias! I work for my living. *I don't want you in this house anymore!* I don't want you around Gina! So come on, get out! And take this lousy money with you! It stinks!'",10,0,1,30 June 2019
Mission: Impossible III," The evil that men do
","After Brian De Palma and John Woo, a third masterful director - J.J. Abrams - adds his name to The Mission: Impossible Saga. Plot, screenplay, cast, filming locations, editing and Tom Cruise are just as perfect as usual. Philip Seymour Hoffman (R.I.P.) portrays the most sadistic villain of the saga, pushing the limits of how evil a person - an arms dealer - can purposefully go out and harm other people's life for no other reason than personal profit.",9,0,1,12 September 2019
The Expendables 2," Even bigger than the first episode
","The scene where the oppressed village and the imprisoned kids are liberated by The Expendables, like when Indiana Jones frees the children from the slavery of the temple of doom, makes me think that all American heroes, and superheroes, should go to the US-Mexican border and the White House, in order to destroy the liberticidal and unethical system that plagues the land of the free and home of the brave...
A great casting and action movie, one of the best of its kind in the 2010s, which is even bigger than the first episode.",9,0,0,25 June 2019
Raiders of the Lost Ark," More Than A Movie
","'Raiders Of The Lost Ark' (1981) is more than a film; it is the birth of one of the most iconic characters in Filmmaking History. 'Indiana Jones' is the child of Steven Spielberg and George Lucas (with Lawrence Kasdan and Philip Kaufman).Harrison Ford was born to portray 'Indy' and Karen Allen is his perfect match as Indiana's (former) lover, 'Marion Ravenwood'.'It Belongs In A Museum' have become immortal words, and seeing Professor Jones battling groups of Nazis searching for the Ark of the Covenant is quite enjoyable and fun.John Williams creates another mythical theme after 'Jaws' (1975) 'StarWars' (1977) and 'Superman' (1978).A cult classic and a masterpiece.",10,0,1,5 November 2019
Star Trek," J.J. Abrams' Star Trek
","A brilliant reimagining that explores the youth of the historic protagonists and first mission of Star Fleet's USS Enterprise NCC1701. Whatever the universe, it looks like any piece of filmmaking directed by J.J. Abrams is turned into a masterpiece!",10,5,16,10 December 2019
Rocky V," An intimate and mature Rocky, which is a superb lesson of Love, Humility, Respect and Life
","Sly once again puts all his Heart and Soul into an intimate and mature Rocky, which is a superb lesson of Love, Humility, Respect and Life. After the opening credits, we find Rocky in the shower following his fight against the last titan he had to face. He cannot stop his hands from shaking, because after taking so many hits in his life he suffers from a brain injury. Back from the medical office, Rocky and Adrian still learn that following the general power of attorney that Paulie unknowingly had Rocky sign for the benefit of their accountant, the latter abused them by stealing their finances and gambling them on the stock market. Having lost everything, materially, the Balboa-Pennino family returns to Rosehill Street in the modest neighborhoods of Philadelphia. Where the family was born, grew up, and has always been at home, without the gold, without the chrome, in the dark streets they have learned to love thanks to the bright hearts of those who live there and illuminate the darkness with their modesty and their affection.
From the corrupt accountant to the greedy businessman who wants to buy everything and everyone with complete disregard for the True Values: The Values of Abnegation, Courage, Effort, but above all The Values of the Heart and Spirit, this fifth episode is a harsh criticism of savage capitalism and its predators who corrupt and destroy everything they touch. There comes a time when castles fall, but not the Compassion, and Rocky had to learn to 'lose' to be able to win again, with his Heart, in order to defeat those who wanted to destroy him and his Family. Now he can lose and choose, understand what he had fled, and fully grasp the measure of the man who has come full circle by going to hell and back.",10,4,6,11 March 2019
Star Trek Into Darkness," Star Trek At Its Best
",J.J. Abrams' StarTrek Into Darkness (2013) is simply the best episode of the Star Trek Cinematic Universe along with StarTrek IV: The Voyage Home (1986).,10,2,10,11 December 2019
Spider-Man 2," Second masterpiece in a masterful trilogy
",Sam Raimi adds a second masterpiece to his amazing trilogy.,10,2,2,14 December 2019
Point Break," Not just a remake!
","From the stunning pre-credit scene in Utah to the impressive sequences in the Alps, and the breathtaking and thrilling action in Angels Falls in Venezuela, this movie is a succession of daredevil stunts filmed in beautiful natural locations in Arizona, Austria, France, Hawaii, India, Italy, Mexico, Switzerland and Tahiti. Seeing it in IMAX must be an exciting experience!",8,0,2,31 July 2019
The Fifth Element," One of the greatest Authors in Filmmaking History
","In the History of Cinema, few filmmakers have achieved a performance as exceptional as Luc Besson's filmography with his five masterpieces in a row and in a decade : 'Subway' (1985), 'The Big Blue' (1988), 'La Femme Nikita' (1990), ' Léon: TheProfessional' (1994) and 'The Fifth Element' (1997).",10,0,1,30 October 2019
