movie_title,title,review,rating,helpful,total,date
Pirates of the Caribbean: On Stranger Tides," Pirates of the Caribbean:on strange tides
","Let's face it. The Pirates of the Caribbean movies aren't really awful, but they are no longer the ground-breaking spectacle that the original was. So it was with lowered expectations that I watched the latest effort, and I can gladly say that the movie exceeded those low expectations. Damning with faint praise? Yes.This time around, we've lost the characters of Will and Elizabeth, which is a good thing. I don't know about the rest of you, but I was getting tired of the triangle they formed with Jack Sparrow. The two characters were just getting annoying and in the way of Johnny Depp, so when their stories were pretty definitively ended at the conclusion of the third movie, I was happy. Taking Elizabeth's place as the story's heroine is Angelica, daughter of Blackbeard and played by the luminous Penelope Cruz. Like Elizabeth Swan, Angelica can kick butt and take names; the difference is that Cruz is far more convincing in the role than Keira Knightley ever was in her. Cruz's presence gives the franchise a much-needed jolt of fiery Latin temper, to use a cliché that happens to fit nicely here.As for the character of Will Scarlett, the noble Everyman/blacksmith played by Orlando Bloom, his replacement would probably be the clergyman who finds himself in the service of Blackbeard, trying valiantly to 'save' him. As the movie progressed, I began to sense that Philip the Good would somehow let slip the bonds of his faith and fall for someone. I knew that someone wouldn't be Angelica the daughter of Blackbeard, and a quick glance at the trailer showed me his eventual target. So, like Scarlett before him, Philip finds love where he never thought he'd find it. Trouble is, that relationship was starkly uninteresting to me. I'm not sure if Sam Claflin, who played the character, or the screenwriters, is to blame, but boy and howdy was that part of the plot a giant bore. If there's a Pirates 5 - and who are we kidding, of course there must be - I hope Philip and his new love don't make an appearance.So what made this one palatable, anyway? You minus the two more wearisome characters from the last one and add a temptress, and you're good to go. Plus you add in Ian McShane as the diabolical Blackbeard, and he's an actual bad guy, unlike Barbossa (Geoffrey Rush), who's jumped sides about as often as Jack Sparrow himself - and here begins the movie in the employ of the British King.The stunts are well staged as usual, and good use was made of the location shooting on Oahu and Puerto Rico. Never let it be said that a Pirates movie wasn't fun to look AT. But an added benefit for me was that I watched the movie in 2D, even though it was also available in 3D. Why, you ask? Well, I'm glad you asked, Imaginary Reader. You see, when a movie is shot in 3D, the 3D process absorbs some of the light; therefore, if a movie features scenes in darkened environs - like caves, the ocean blue, underwater, jungles - then it'll be so dark that one will have a lot of trouble seeing what's going on. And for this you'd pay an extra few dollars. Ain't worth it. So if you do see this in 3D, you may want dial this rating down a notch.Overall, the movie - and the franchise - owes quite a bit to Mr. Depp. Yes, he IS Jack Sparrow, and it's impossible to imagine the movie without him. And even though this is his fourth go-round as Sparrow, Johnny Depp's enthusiasm doesn't seem to flag a bit; he sells the character wholeheartedly and joyfully. He is, as usual, a lot of fun to watch.Oh, yes, the plot. Nutshell: Barbossa (with the British), the Spanish, and Blackbeard (with zombies on his crew, of course) are all trying to find the Fountain of Youth. Sparrow had the map, Mr. Gibbs - Sparrow's first mate all these movies - memorized it and burned it, and there you go. And there's a prophecy about a one-legged man, and there are mermaids. It's like Harry Potter without house elves.",7,0,0,19 May 2019
Resident Evil: Afterlife," Resident evil: afterlife
","Alice (the eternal Mila Jovovich) is back and in multiple copies. Her prime target is the Umbrella Corporation and the now T-virus enhanced Albert Wesker (Shawn Roberts). After a full frontal attack the Umbrella base is left destroyed, but the whole batch of Alice clones get blown sky-high, when Wesker manages to fly away unscathed and detonate the plant. Conveniently for the movie the original Alice survives unscathed as a castaway on-board the plane. During a skirmish with Wesker Alice gets injected with a antidote, that turns her back to being human (but somehow she still manages to survive a terrible plane crash unharmed and keeps her over-the-top fighting abilities largely intact). With Wesker dead and Umbrella disposed of Alice returns to the States to search of her friends, who left for sanctuary in Alaska, only to disappear in mysterious circumstances.In general a much improved instalment of the series and if anything the whole series remains enjoyable, if uninventive. In this part Anderson actually outdoes himself and instead of thinking up something original he starts borrowing scenes from other movies. Wesker looks and fights like Neo's twin brother, the new zombies bring to mind 'Blade 2', whilst The Executioner has a disturbing familiarity to Pyramid Head of the Silent Hill franchise. Nonetheless some of the scenes are very memorable with the combat with The Executioner a real highlight for the movie (especially given the abrupt ending of the final fight).There may be a bit too many generic elements with this movie, but that has never stopped the franchise from being mindless slash-em-up fun. Even if a somewhat weakly scripted one. Also Alice remains a very likable heroine, so no matter how bad the script if she gets proper screen time and a couple of intriguing fights, than the movie just never seems to feel like a waste of time.",9,1,2,29 July 2019
John Wick," John wick
","The only word that keeps coming back to mind when reviewing this movie is: exhilarating. The fun factor this amazing action film has is probably the highest of any movie this year. I could not stop myself from having a blast!First and foremost, being also the first thing you notice, 'John Wick' is self-conscious of what it is and doesn't, for not even one second, take itself more seriously than it should. Fortunately this doesn't shut out the place for character connection and empathy. People often think the two of these things exclude themselves, but that is not what I think and this movie is proof of it. It has such a genuine sense of fun and humor, so much so that you are often laughing WITH (not AT) the movie at the preposterousness of everything and at the same time feeling genuine tension for the characters you're rooting for. I know it sounds ridiculous, but every single kill by John Wick feels exciting and liberating, it was incredible how much I was rooting for him. To this contributes some stunning, fast-and-furious level action scenes that benefit amazingly by the practicality involved. Hats off to the director and the special effects guys for staging such a flawless string of adrenaline-pumping scenes, in particular to the director for the highly energetically stylish direction that never feels as a gimmick or out of place, yet instead makes everything all the more enjoyable. Furthermore this is one of the few movies in which sound actually stood out and contributed in making the film a great success. Keanu Reeves is perfect for the role and brings to the screen so much charisma I could not help but root for the guy. He is surrounded by a great cast too that has very fun moments on their own. If all of this wasn't enough, 'John Wick' has some great original ideas and plays with them in the best way possible.Despite having a blast in the theater and wanting to maybe see this movie again in a year or so, it isn't original, stylish or innovative enough to say: 'we've seen this plot before, but not quite done this way'. Yes it has its brilliance, but it is kind of cheesy, even if in a good way, and predictable. It doesn't rank up to a higher standard of action movie because of its straight-forwardness. It does have some stakes, but all in all there isn't really an overwhelming set piece or twist that makes it highly remarkable.Obviously, that is not what it's aiming for and because of that I could recommend this movie to anybody, just go and have the best action entertainment fun in the theater!",10,0,0,29 July 2019
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"," The chronical of Narnia (2005)
","What a fabulous movie! I just saw a screening of it (with a bunch of other actors and writers) and the whole place burst into applause at the end.Tilda Swinton is amazing as the White Witch. Her cold, evil gaze could freeze anyone.I loved the kids - especially the little Georgie Henley, who played Lucy. Liam Neeson as the voice of Aslan was suitably majestic and comforting and grand.It was beautifully filmed, and I felt Narnia was perfectly realized.Looking forward to the movies that will follow.",7,0,0,19 May 2019
X-Men Origins: Wolverine," X-Men origins: wolverine
","Forget the reviews that focus on dialogue (it's a comic book character, of course it's clichéd) or other types of thing you may look for in movies like a Room With A View. In this movie you want to see cool action, cool use of superpowers, great fights with CGI that is not obvious and some tension about what happens next. This movie has it all. Academy awards? No. Amazing plot? No, but enough to keep it very interesting, with answers like where Adamantium comes from, Sabretooth and Wolverine relationship, introduction of Deadpool, early view of Cyclops, and much more that keeps the movie going along just fine. This is a solid action film, better than most.",9,1,4,19 May 2019
Pirates of the Caribbean: At World's End," Pirates of the Caribbean:at worlds end
","On par with Dead Man's Chest, not as good as the first part three still offers a very wild ride. The main problem, I have never had a harder time trying to keep up with so many double crosses and under the table deals as I did in this movie. Everyone had a hidden motive it seemed even Will Turner who in the last movie was just a trusting dupe. I can not believe no one seems to have the problems with this story as they did with Spidey 3 which I found very easy to follow. Add to that the fact that Captain Jack Sparrow, the sole character who made this series is not in it much and you have the disappointment of part two all over again. Granted it was not a huge disappointment, it was a good movie and it was great seeing Geoffrey Rusch back as Barbossa so it did get points for that. The story, this is going to be the hard part, however, I am keeping it as simple as possible. The gang is going in search for Jack, all with differing reasons. Jack is banished to Davey Jones locker and is going a bit crazy. There is a rescue and now there is a pirate meeting to attend, something about a song, a vengeful sea spirit named Calypso and various other obstacles leading to what I have to say is one heck of an action packed conclusion that is packed with great special effects. So there you have it, sure it could use a trimming of the run time as it goes on a while, but it still manages to entertain. I would have liked to see a simpler story though with a bit more comedy as there are some chuckle scenes, just nothing all that super funny like in the first. It was also surprising to see the villain from the last movie Davey Jones play basically a very small role till the very end during the uber action scene. Characters seemingly not all that important in the last film are now somewhat the focal point and you see Keith Richards in a small role as well. So as you can see there is a bit much going on and if there were a sequel to be made I say no Will or Elizabeth, bring back Barbossa, and have Jack Sparrow in it more and keep the plot more lighthearted and simple.",10,0,0,19 May 2019
X-Men," X-men
","X-Men' is a rare treat-- a blockbuster that lives up to its hype and a comic book adaptation that hits the mark.Along with Tim Burton's 'Batman', this stands head and shoulders above all other superhero movies. It's a genre that's usually synonymous with silly, campy, cartoonish crap, but Bryan Singer delivers a long-awaited exception to the rule. 'X-Men' is smart, stylish, and very cool... one of the better sci fi/fantasy films of the last decade.",7,1,2,19 May 2019
Resident Evil: Extinction," Resident evil: extinction
","While this RE3 was a cracking zombie movie, it strayed to far from the original concept and excepted storyline. In my opinion this has rendered the movie pointless in the RE franchise.Let's not forget that Resident Evil owes it popularity to the game series, so I think it's only right that they try and stick to it, even if it's just a little bit. It seems very much like the director wanted to make an updated version of Day of the Dead, if you've seen DOTD you'll see what I mean in the first 5 minutes of RE3.If this were a stand alone movie I would have given it 10/10, but it isn't, they've tried to be too creative and the director has tried to make a different movie. By doing this he's make a cracking zombie film. but a Resident Evil film, I think not.I only hope this isn't the last one, it would be a terrible waste.",9,2,2,29 July 2019
The Adventures of Tintin," The adventure of tintin
","As you may know Tin Tin is a very old character and there has been books and TV programs made about his great adventures by his inventor Hergé. This new film has been voted the best animated film and once you've seen this film you'll know why. The film is well paced out and there's never a dull moment in this film. The 3D in this film is spectacular and it's well worth seeing this film in 3D if you can. The film is around 1 hour 47 minutes long and in this time Steven Spielberg manages to squash in a good few adventures into one in this film. This makes it much more exciting and you really get to know how Tin Tin and Captain Haddock were in the old days. As a projectionist, I've seen this film about 6 times now and I still don't get bored watching it. Absolutely brilliant film, I really recommend going to see this film as soon as you can. Hope the review helps your thoughts on the film. Thanks for reading, I'll be making more reviews on the films that I see at my cinema so you can get the latest thoughts from me on the films. Thanks again BPH projectionist",9,1,1,19 May 2019
Fast & Furious 6," Furious 6
","The movie is faster than ever, it's a popcorn flick just like the previous one but that doesn't stop it from being great and being a lot of fun.The movie gets pretty much straight to the point with ironing out the plot which was teased at the end of Fast Five. The team from Fast Five face there biggest challenge yet and Domonic (Vin Diesel) has to secure what he loves most while trying to look out for his friends and family.The movie has some great action scenes with humor all the way through it, mainly from Tyrese Gibson, Ludicrous and the odd one liners from Vin Diesel and Sung Kang. Despite very far fetched action which was crazily unrealistic at times it still didn't take away the fun, it just left you feeling, how the hell is that possible? That was my only real gripe with the movie but lets not forget, if these movies didn't have that sort of action that makes your jaw hit the floor in disbelief they'd be no where near as fun of enjoyable. I also was kind of let down by the bad guy in this film, maybe it's because I watched Star Trek Into Darkness and Benedict Cumberland was amazing as the villain, but really Luke Evan's was quite disappointing.Vin Diesel is as awesome as ever, mainly due to him pulling off the super-human activities like they were nothing. Paul Walker didn't really do much for me though but the rest of the character really do put a great shift in. So really the cast were good for what they were in it for.Overall I'd definitely go see this movie if you enjoyed any of the previous ones because this is on par with Fast Five, which for me was probably the best one. Enjoy this movie for what it is and don't go into the theater expecting to see Oscar worthy performances.I'll give it an 8. It's great fun and really enjoyable, it will leave you wanting to ride your car through the streets as fast as you can.",8,0,0,29 July 2019
