movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," Interesting but it has negative sides too
","So basically film has some pros and cons and I will start with pros. Pros of the movie:*It looks visually perfect;
*The actors are persuasive;
*Nice name of the movie;
*The ending which I didn't expect(I believed that the main actor(android dude) is going to be the chosen one but it wasn't :O);Cons of the movie:*Too much attention has been given to insignificant things;
*Didn't like the episode of ballerina which was created by CCCP(film shouldn't promote returning of CCCP);
*I didn't understand why the main leader of androids(a blind guy) is killing other androids if he said that there are not enough of them. It seems illogical;To sum up the film wasn't so bad I would recommend it for everyone because it was interesting despite its cons.",7,0,1,21 March 2018
Captain Marvel," 8
","Well that was the best movie of 2019 so far. There was some cringe scenes and very bad effects with planes but plot and idea was fine. I found it very interesting,jokes were lame and old but that kitty helped this movie a lot. If you're fan of MARVEL you have to watch it.",8,4,13,13 March 2019
Forgetting Sarah Marshall," 5
",Average comedy can't say it was even strong in jokes. Made me laugh like once but basically nothing special,5,1,4,1 December 2018
Zootopia," 9
","One of the best animation movie in like a decade. Good plot,made me smile couple time. Very inspiring. Amazing.",9,4,5,3 December 2018
Hostel," Back to 2005
",I remember when I watched it I was like hmm 8 years old so it was freaking scary for me so I'm making my opinion based 13 years ago.,9,1,5,29 October 2018
The Babadook," Pure true
","Film is way toooo long, visuals look very cheap, there are no horror elements,scenes,nothing to be scared of. The idea of the movie is good but that's it. Basically I wouldn't watch this film second time.",5,0,0,12 April 2018
Us," 7
",Well the movie was kind of interesting. Wasn't like masterpiece or worst of everything. It was a bit better than average. Not a lot of horror elements but still idea and plot is kind of attractive apart from the ending which was really lame.,7,1,5,15 June 2019
Knives Out," 6
","Well it looked very willing but it didn't shine. It's just average,medium level film. Plot looked interesting and funny (from the trailer) but it was like 1/10 of whole movie. Was it worth money for the ticket? I believe not.",6,2,4,14 December 2019
Superbad," 5
",It was too late for me. It had only few good and funny scenes other were cringe.,5,1,5,8 February 2020
Aquaman," 8
",Really nice action movie. Of course it wasn't amazing avengers was better. There are some boring scenes where people are talking too much and when action is starting the scene is overcrowded and it's very hard to fallow the plot. Sum up very nice DC movie. Worth to watch. 8/10.,8,1,4,27 January 2019
Deadpool 2," Awesome!
",Much better than first part. It made me laugh couple times-ideal comedy. I just didn't like the ending but everything else was amazing. Nice job directors.,9,2,3,6 June 2018
Yes Man," 8
",Always be pleasant and say yes that's how you're going to be shot. And for seriously pretty amazing comedy. Worth to watch.,8,0,0,6 December 2018
Ready Player One," Well
",I don't like to be rude so I will just say that I loved soundtrack of the movie.,6,0,1,23 May 2018
Molly's Game," Brilliant
",Don't have a lot to say because this film was literally amazing. Surprisingly good didn't expect that. One of the best 2017 movies.,9,1,2,24 December 2018
Spider-Man: Homecoming," 8
",Really good movie. Enjoyed it. Of course something was missing for real I don't know what but 8 out of 10 is pretty good performance.,8,0,0,3 December 2018
Suicide Squad," 5
","I would say very average movie. Nothing special. I was really expecting more. It's just messy killing stupid action film. From the title of the movie and from the popularity it had I was willing something like Avengers but it's meh,basic... too basic for me.",5,0,0,4 December 2018
Doctor Strange," 8
","Nice film. I really liked it. There are couple funny jokes ,interesting plot,good acting. Really enjoyable.",8,2,2,4 December 2018
"Three Billboards Outside Ebbing, Missouri"," AmAzInG!
",From first look I though this movie is going to be boring and not interesting but... I was fucking totally wrong. This film took my attention from first minute I enjoyed each moment of this film it totally deserved Oscar.,9,0,1,7 June 2018
Bohemian Rhapsody," Wow
",One of the best movie of 2018. Enjoyed it a lot. Can't give it 10 because there was some facts which are not really correct. Totally recommend to watch it!!!,9,3,4,10 November 2018
Bird Box," 7
","Very similar to quiet place. It's like when your friend is asking for your homework and he gives you them just replies 'change something' so this happened here. Totally film wasn't bad,enjoyable to watch not as brilliant as quiet place but still works for me. As a NETFLIX movie this is A class.",7,0,2,12 January 2019
Spider-Man: Into the Spider-Verse," 8
","Very nice cartoon movie. I didn't expect it's going to be so good. I though it was created only because they wanted to promote black skin spider-Man but it was awesome.Had some really funny jokes, interesting plot. The best film to relax.",8,4,6,27 February 2019
BASEketball," 8
",When I was kid I really enjoyed this comedy it was funny and something new which now seems pretty lame but 20 years ago it was classic.,8,0,0,27 May 2020
Over the Hedge," 7
",Surprising good animation movie. Really enjoyable. It's easy with couple jokes. Also that chips commercial wasn't even bad.,7,0,0,1 December 2018
We're the Millers," 9
",This is brilliant comedy from the end to the beginning.,9,1,5,6 December 2018
Edward Scissorhands," 8
",Interesting film it was classic when I was little child. Now I couldn't watch it because of quality.,8,0,1,14 March 2020
The 40-Year-Old Virgin," 8
",As 2005 comedy it was really funny and unique to watch.,8,0,1,12 July 2019
The Lego Movie," 9
","Well what I can say. I've watched it 5 years ago and it was really good. I liked it ,funny, interesting plot, attractive for kids and whole family.",9,0,0,8 February 2020
Now You See Me," 8
",Totally loved this movie. The idea of this film is brilliant. I enjoyed the plot from the beginning and until the end when everything was explained. Rly worth to watch.,8,1,3,24 October 2018
Captain America: Civil War," 8
","Pretty decent MARVEL movie. Obviously I love all Marvel films. It had action,funny moments, nice plot,maybe a little bit too short ending but still absolutely enjoyed watching it.",8,0,0,12 March 2019
Avengers: Endgame," 9
",That's what I call ideal ending. It was really interesting to watch this film from first to the last minute. Film is over 3 hour long however it wasn't too long for me. Yeah Iron Man died. Which was brave from his still I'm not a fan of Iron Man so it was Okay from me. Plot was almost a masterpiece just one detail was really hideous. Why Avengers waited for 5 years to kill Thanos it's just a little bit nonsense. However movie was amazing 9/10. Worth all the awards.,9,40,64,15 June 2019
The Lion King," 7
","To see something what was masterpiece before and trying to compete or even be better than it it's impossible. I agree that new Lion King movie had amazing visuals (except from the sky which looked so bad and fake and the black tree which was moving like a hand lol) but emotionally it's so poor. It didn't give any emotion when dad died, when Simba run away. Nothing. I watch it like ordinary cartoon nothing more for true. Was it worth to watch? Well it wasn't so bad but it doesn't give half of original film chills.",7,0,5,19 July 2019
Ghostbusters," 8
",Pretty old but still really dope movie. When I was kid I really enjoyed watching it.,8,0,0,8 February 2020
Call Me by Your Name," 8
",It was chill and pretty cute plot movie. I liked it a lot.,8,2,3,16 May 2020
Coco," 9
","Really adorable movie with hearts melting plot. It was funny,good jokes, interesting to watch not just for kids but for the whole family. Maybe I wouldn't prefer that Coco died at the ending but as it shows she has life after death which makes it not so sad. Totally worth to watch.",9,0,1,12 July 2019
The Boy in the Striped Pajamas," 10
","It was absolutely masterpiece. It's hardly possible to find movies like this. That could tell something about history(past),about friendship and the ending was so cruel which made this film legendary one of the best I've seen in my whole life.",10,1,1,16 March 2019
Blood Diamond," 10
",This movie is amazing from the beginning to the end. Materpiece one of few you can find. 10/10 I saw it in high school and it was amazing it's still relatable in 2020.,10,0,0,2 May 2020
Don't Breathe," 8
",Prett nice movie. It's hard to find movies like that one nowadays.,8,0,0,26 April 2020
Sausage Party," 9
",Very funny and interesting animation film for adults. Very recommended.,9,1,1,11 December 2018
