movie_title,title,review,rating,helpful,total,date
Frost_Nixon," This is not Nixon.
","As a film it's just OK, a bit trite and under-explored but the bottom line is that Langella's performance is just not Nixon. I thought that Hopkins did a bad version in Nixon (1992), but this makes him look spot on. I understand that actors can take things as they will and sometimes it works (in the 80's I saw David Bowie do Elephant Man on Broadway with no makeup and he pulled it off) but I don't believe at any time or place that this is Richard Nixon. His voice, mannerisms, look, etc, are all wrong or just vague characterizations of the ex President. If your going to do somebody who's as well know for the way he acted it needs to be better than this. Worst impression since Val Kilmer as Jim Morrison. At an early point it becomes a distraction and colors my opinion all the way through. OK film, bad Nixon.",4,9,25,5 January 2009
Requiem for a Dream," Well that was fun...
","I had heard about this movie for years but never saw it until recently and boy was I disappointed. I had to fast forward all the time past the continued repetition of the mothers plight with pills. Could have been a better movie as the lead characters are somewhat interesting but alas it falls flat and tries to make up for it with a vomit inducing ending that just gets sillier and sillier. This was made in 2000 not 1950 so they don't give electroshock therapy to old ladies with no history of mental illness and don't force feed them by hand. This movie has all the typical heroin junkie clichés it can fit in, but there are much better movies about the subject out there. Another thing is the complete over use of every wild camera trick (all of which have been done prior) the director learned in film school. A very forgettable film.",5,1,4,24 December 2008
John Wick," 6,547,234 Bodies counted.......zero plot found
","This may be the most outrageous over the top rip off of Taken yet. But the problem here is John Wick is not trying to save his daughter, wife or even himself. He runs on pure revenge.The entire movie is formatted around his beloved wife dying of cancer, but the cause of all his rage is that his 1969 Mustang is stolen (not a Boss 429 as Iosef says) and his puppy that his dead wife sent him from the grave is killed by Russian mob thugs.What's odd is that this amazing assassin and martial arts expert who is warned by his dog's barks just walks into a home invasion and is knocked out by three knuckleheads.The rest of the movie is massacre after massacre of what seems like 1000 henchmen in scene after scene of choreographed bloodshed.Cliché after cliché, some weird subplot about a hotel, a girl who can beat up guys twice her size, and the funniest part, no police anywhere (except for one who comes to his house, sees dead bodies, knows who John is but does nothing) does an investigation, no news reports, or anything suggesting there has been 100 people killed in a week's time.Oh and you can't pump your own gas in NJ as seen when John meets Iosef in the beginning.",2,6,13,9 March 2015
Star Trek," A new Star Trek made for the new uneducated generation......
","I could care less about the plot of this film as it is no worse than any other of the lesser scripts throughout the ST films, a dumb threat from some as yet unknown enemy with revenge in mind (sound like ST2?) What really bugs me as a casual fan of ST but still very knowledgeable of the series and movies, how could you not be, is the hokey caricatures of the crew. Every one of them sound or look nothing like the originals did. I understand they did not want exact look-a-likes but the voices are so off it's embarrassing. And why does Kirk have bad skin and scars? When the original series came out in 1966 the cast was in their 30's, only 12 or so years older then the new films crew yet they act nothing like them, are they saying their personalities all changed so drastically in ten years?. Spock sounds nothing like Spock etc etc. But the worst has to be Sulu who has such a distinctive voice they should at least tried to make it close, why not just have a black guy with a French accent play him.But I guess this is what happens when the new Hollywood just keeps remaking things instead of creating something new, you can't have it both ways, if your going to recreate a classic character from films past, it has to be the same, not some actors interpretation.",4,23,35,18 May 2009
Fury," Over the top cliché filled mess with a lot of yelling
","What seems like a good cast and excellent cinematography and good directing turns into a laughable mess about 1/2 way through.First, putting a completely inexperienced pencil pusher into a veteran lead tank company is just stupid. No officer would assign him to that position and no sergeant would accept him because he would have been a liability, which he of course is very quickly.The amount of screaming and infighting that goes on is not very consistent with the chain of command in WW2, and the crew which is scared of the Sergeant seem to have no issue mouthing off, getting drunk and acting like total fools around him.The scene where Pitt forces this innocent kid to shoot a German in the back came off as ridiculous. And would probably have ended up in a court martial in real life.Then the girl the kid just met and fell for is killed just seconds after they leave and he acts like he lost his mother so they of course start beating him again like they do through half the film.The final battle against what would have been the top trained German SS just looks like a bunch of idiots all racing toward their deaths without a plan when the German captain could have easily called in heavy cannon to take out the non functional sitting duck tank and saved 100's of his men.Worth a viewing but don't expect much.Also the intermingling of white and black troops seems unrealistic in WW2 since he black regiments were segregated.",5,6,16,5 December 2014
Citizen Kane," Absolutely Amazing
","It's funny reading the reviews by the mental midgets who just don't have the brains to understand this movie. I look at some of them and am baffled as to their concept of a good movie. Terms like awful, terrible and the worst movie ever fill the posts. One guy gave it 1 star but he gave Ocean's Thirteen 10 stars, making it the best movie ever made in his eyes so you can see the mentality we are dealing with.That said, the film is incredible. I could go on for an hour about the camera work, the acting, the angles, lighting and dialog but that has been done ad nauseum. Simply put, this movie achieves a level of quality and depth that few films have ever come close to. Welles is at the height of his genius and his acting is amazing. Today's crowds will find this very boring because they need an explosion every ten seconds to keep their attention, everyone else, enjoy the film forever.",10,1,3,29 March 2010
Forgetting Sarah Marshall," Great comedy
","I must have missed this one when it came out because I didn't know what I was getting when I caught it on cable but I was greatly surprised by how clever and funny it was. The characters are great fun and the plot just seems effortless in it's ability to make you forget you are watching a movie and just flow with it. Jason Segel is convincing as a lovable loser and Russell Brand's character is just retarded funny. A great date movie with all the right pieces, the fake TV show Kristen Bell is on is hilarious and she is very cute in this too, but the show stealer is Mila Kunis who can be both beautiful and approachable at the same time. Do not miss this great comedy.",8,0,2,6 December 2010
Ted," Childish, crude for no reason, could have been so much better
","I can't stand Seth MacFarlane so I guess I am to blame for not really liking this movie. As with other MacFarlane entities this one has the same non sequitur, completely random head scratching references in jokes that just fall flat. It's not that I don't get them, its just that they don't fit the context. At one point Ted the Bear sets up his own joke just to use a Pink Floyd lyric reference in which he actually has to say it's from PF so that the 90% of the people in the audience who didn't memorize The Wall are somewhat informed. The entire movie is circled around the Flash Gordon movie from 1980, which is real topical, and I'm sure most of the lines go right over anyone's head under age 35.There is so much cursing in this it's becomes awkward, I could see people squirming at the disgusting jokes, which I have no problem with as long as they are funny, these weren't. Many homophobic and anti- Semitic references for some reason, more nervous laughter from the audience.I actually felt like leaving I was so bored. About 3 funny jokes in the whole thing and one of those was a fart. There was a fat couple sitting near me who laughed out loud all through the last 15 min of the movie, at what I don't know. Maybe they dropped acid before the show. These are the same people who keep Family Guy on the air.Not for kids under 15.",4,18,36,6 July 2012
Pirate Radio," Worst I've seen in years...
","This has got to be the silliest most annoying film I have seen in a long long time. Giving it a proper review would be giving it too much credit. Let me see if I can come up with some words to describe it:Childish, stupid, nonsensical, moronic, boring, nauseating, painful, infantile garbage. There, that sums it up nicely, steer clear of this disaster, this ship sunk before it even left port. It is so badly written and makes so little sense I was just dying for it to be over as soon as possible. Did I get my point across that I despised this film? Now I'm just trying to fill space so I will talk about the weather, it's partly cloudy with a 40% chance of rain.",1,4,11,7 December 2009
Just Go with It," Just throw up on it...
","This is a horrible movie that actually made me laugh a bunch of times but that still doesn't save it from my rating. The laughs have absolutely nothing to do with the plot and are mostly sight gags. The entire premise is absurd, instead of telling the truth to the new girl he met about wearing a wedding ring he concocts a lie so complicated and stupid it could never work under any circumstances. One point being the idea that he is automatically going to stay with this girl even though they only had one night together but still creates situations that would not work in any future with her. His fake wife is really his assistant, his cousin has to do a fake German accent and his fake daughter has to continue to do a English Cockney accent forever?The blonde girlfriend must be the dumbest woman on the planet to believe the nonsense she is being told.The end is predictable.The only good thing was Nick Swardson who is very funny.",2,56,115,21 May 2011
