movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," couldve been so much more
","Over 1000 comments on IMDB all ready?  Then theres not much else I can add except what some others have said.  This couldve been a lot more if they had cut some of the blah blah blahing and threw in a few more scares.  I know you have to have some talking in movies but how many times are you willing to watch the same people say the same stuff day after day.  Each morning starts with 'lets go this way' and by afternoon its 'you blankety blank you got us lost!'  Then by nightfall we wait for a witch that never comes.  It wasnt till the third night I think, that the kids tent gets attacked by 'something' in only one of two really effectively scary scenes.  Theyre sent screaming into the woods and its pretty creepy stuff.  Not much happens till the final 5 minutes when the filmmakers think theyve found their lost buddy in an abandoned house.  Though the film disappointingly ends so abruptly, it does give you a lot to talk about 'what Mike was doing in the corner.'  Id say yes it was an extremely unique idea for a terror film but no to the uniqueness of the setting.  I mean, havent woods been spooky in movies for years?  It couldnt help but add the films eerie atmosphere.  And be forewarned about the dizzying camera movements at times, where the actual filmmakers wanted to add realism to the documentary style idea by having the shots not be perfect at times.  Though not a great movie, still very interesting.",Null,1,1,17 August 1999
Gremlins," childhood fave
","I had to wait 2 years and see this on cable after it came out, but I found out why my friends were hyping it so much.  Late teens Billy gets a gift from dad at Christmastime, an adorable little 'mogwai,' a furry, barely bigger than you're hand creature.  But oops Billy gets him wet and out pops several new mogwais, all just as cute.  This new group is a bit more mischievious and coax Billy into feeding them after midnight.  The dudes unaware that if you do that the little guys turn into ugly, destructive monsters.  They get loose from the house and run amok downtown, thrashing a club, a movie theater, and many homes.  Writer Chris Columbus interjects enough humor though to make them lovable villains, having them breakdance, sing Christams carols, and attend a screening of 'Snow White.'  Its all a lot of fun, with a very memorable score, and even time to tug at your heart. And if you dont at least smile from Gizmos 'bye, Billy,' youre made of stone, man.  You may as well be related to Mrs. Deagle.  'Deagle, Deagle, Deagle!'",7,0,1,21 July 1999
Raiders of the Lost Ark," Raiders of the Lost Oppurtunity...
","Classic scenes abound for sure, but unfortunately they're spread around some of the most lull-inducing moments ever.  Somehow most of the general world overlooked my problems and cherish this thing.  I can almost see how: the huge rolling boulder; the truck chase; and of course, the snakes.  Which makes me not hate this, but really look at it as a missed oppurtunity.  It starts when Ford retrieves a small statue in the opening moments of the film, painting himself some sort of adventurer.  It ends up that he's an archaeology proffessor who makes the occassional globe trotting adventure to pick up nicknacks here and there.  His college receives information on the Lost Ark, which is, as one character puts it, 'a radio for talking to God'. Ford's motto for most things is that it belongs in a museum, so he sets off after it.  But in between some dynamite action sequences are far too many dialogue passages that just lose you (or just me, I guess).  Take the scene in the college auditorium that goes on and on and on and...  Arks and staffs and myths and locations.  Just get on with it!  Then there's stuff with the Nazis and Allen's character, showdowns in pup tents, among other things. Plus a suprising amount of gore at the end, with melting faces and suctioned bodies.  John Williams contributes another classic score which I still whistle twenty years later.  I have found a few like me who must fast-forward a lot of the time, but don't take my word, most everyone adores this.",Null,1,3,15 February 2004
Minority Report," report: D+
","We have amazing visuals!  A truly ingenious story dealing with time-travel to prevent crimes!  And what do we do with these two great qualities?  We plug our mega-star into a recycled 'Fugitive' episode where he's framed and on the run.  EH EH!!  WRONG ANSWER FILMMAKERS!  Imagine the possibilities! Going back in time to figure out who really killed JFK!  Or preventing attacks on the US!  No, instead we get Cruise set-up by someone in his huge company which gives excuses for the makers to use an array of gadgets.  An example is one of the dumbest 'fight' scenes I've ever watched as Cruise battles guys with jet backpacks.  Watching him hang off a balcony while he and this person's legs swing phonily in the air was painful to watch.  Then on the script side, it trying to be too deep and layered.  You really have to pay attention to understand what's going on.  Stevie gives us a little too much to digest, especially with those jumbled screens with the information all over them early on.  So glad to see others were annoyed by this as well.  C'mon Stevie, go back to your 'Poltergeist' or 'Indy Jones' days, nice simple action-entertainment.",Null,0,0,13 January 2003
Erin Brockovich," Erin Brocko-bitch
","This made a 100 million bucks??  A film about a pushy, arrogant, trash-mouthed, slut dressing mega-bitch?  I've heard of 'the bad guy you love to hate', but NO WAY could I do that here.  I wouldn't use the line 'I was rooting for the bad guys' (not after what they put the town through) but I wasn't rooting for the heroine either.  More so for the victims, the standout being Marg Helgenberger, the main plaintiff in the story.  She's one of many homeowners battling a power company that has knowingly contaminated their water.  I also sympathized with Finney, having to deal with 'I need, I want' Brockovich, and his performance was the one I more related to.  But Roberts is unbearable, and tries to come off SOOO superior to others.  The speech on her porch to the conveniently placed guy next door just came off totally unbelievable.  And her showing up of an attorney by reciting memorized phone numbers, addresses, names and ailments is great for her...BUT WHAT ABOUT OTHERS ON THE CASE WHO NEED ACCESS TO THAT INFORMATION??????  What do you expect them to call you every time they need it??  NOOOOO!!!  Common courtesy, Brockovich!  Give them the damn info! That was the most infuriating scene I had watched in years from any movie. You wanna-be badass.  Say this for the film, it only stalls here and there, until it runs on fumes to its conclusion that we know is coming because of the 'based on a true story' element.  But a totally unlikable lead character will kill any film in my opinion and that's what you get here.  Best Actress?  How 'bout Best Attitude.",Null,0,1,1 April 2001
The Fan," big time strikeout!
","As a die-hard baseball fan I'll probably pick this apart more than anyone else.  Yes, the storys not about baseball really, but I must point out the glaring mistakes.  As far as the story its one we've seen before: obsessed loony follows and spies on a stranger.  Knife salesman (ooh, scary) DeNiro has a thing for Snipes, a ball player who just signed a big deal with the S.F. Giants.  After all the usual threatening and psychotic behavior, theres a big confrantation in a rain soaked game where DeNiro wants Snipes to homer so he can have his kidnapped son back.  At one point Snipes just comes out and asks (more like screams) 'what do you want from me?!'  To which DeNiro replies...nothing! He doesnt say a word.  Thats when you know the film is a total waste as he doesnt even have a reason for his behavior.  Another annoying aspect is how Tony Scott shoots EVERY scene in close-up it seems like.  Every characrter is right up in our face in virtually every shot and it makes the screen so claustrophobic like youve been crowded into a room with bodies shoved up against you.  And now for the baseball scenes, so unproffesionally put together.  I mean a player wearing a visiting uniform hits a ball to the outfield...in his home stadium!  Now all of a sudden hes wearing a home white uniform as he runs the bases.  Or a ball is pitched in Candlestick Park and after its hit the outfield becomes that of Coors Field. Or fans doing the wave in every shot, or the final game played in nearly hurricane like conditions.  Oh, what a mess.  What can you expect of a British born director?  Big surprise that DeNiro would take this.",Null,2,5,30 August 1999
Finding Nemo," Finding it distressing...
","Hmm, let's start with the death of a mother fish, an overprotective, wimpy father fish, jr. fish who says 'I hate you', then have jr. kidnapped.  And all in the first five minutes!  Throw in big, scary fish and tons of melodramatic search and rescue action, and you've got...a 'kids' movie?? They don't know any better, so this becomes their only alternative at the theater, which in turn makes it three hundred million dollars.  Usually these family films pack jokes for the older crowd that only they'd understand to keep them awake, along with the kiddie stuff.  Not here.  No fun of 'Toy Story', with characters and imaginitive action passages to keep you engrossed.  Here we're saddled with a dull hero (voice of Brooks), a quickly annoying 'dumb funny' fish (voice of DeGeneres) and a slew of not even recognizable celebrity voices who you'd be hard pressed to guess who it is.  The only, only, plus is the always reliable Pixar imagery, colorful and striking.  Otherwise, run.  'Nemo!  Nemo!  Nemo!'  Shuddup and get me outta here!",2,11,27,21 March 2004
Superbad," k, had enough....
","More perverted teenagers, more forced vulgarity. If you liked 'Knocked Up'....That would be the total sum of my review if it weren't for the ten line requirement. So let's see...As with 'Virgin' and 'Knocked Up', endless, jokeless, hard-core sex references; completely spit-out-of-a-computer movie smart-asses; a pair of keystone cops that make the ones from 'Police Academy' look like decorated CIA agents; a deplorably stupid daydream sequence involving a character's throat being slashed; a character obsessed with drawing male dongs?? Not to mention the most plot less screenplay since 'Beer League'. This features three high-school dunces spending an entire night trying to get to a party. Yep. That's it. And their numerous run-ins with hilarity which include standing outside a convenience store for a half hour and getting menstrual blood on their clothes. No, really.And 'McLovin'???? This is high-grade humor to people??!! Plus a glaring annoyance: what's with a group of early-20s filmmakers being obsessed with the 70s and 80s? Disco-ish soundtrack is out of place, as are the anachronisms; a kid who was 11-years-old in the year 2000 *COULD NOT* have had a Ghostbusters lunchbox. Get friggin' real.I will say this: the character of Evan is the only thing close to resembling a realistic (or *remotely* likable) character, who actually speaks with sincerity and thoughtfullness. When he FINALLY lays into his buddy detailing what a dumb-John he is, the film got (gasp!) authentic for a second.But the character of Seth is one of the more hateful and intolerable since Stiffler of the 'American Pie' films. A nauseating drone who YELLS his dialogue at everybody, which is nothing but a series of desperately profane insults and imbecilic bodily nicknames. Seriously, this refuse reeks of having been written in less than 24 hours.*ONLY* redeeming trait is the retro Columbia Pictures logo at the start, along with a kicky groove to begin things. It's quickly undermined (and erased) as soon as the script kicks in. But as mentioned in the summary, I'm done with the Apatow assembly-line of redundant vagina-inspired comedies.",2,6,13,30 December 2007
Home Alone," where Hughes went wrong
","Too bad for John Hughes, my favorite writer of the 80s.  His first offering of the 90s was this blockbuster, not a bad film, but one that started him on an unfortunate trend.  The storyline is ingenuis if you're trying to lure kids to see it, and releasing it during the holiday season made it an easy option for parents who wanted something PG rated for the little ones.  It concerns Culkin being left behind by his family during a mad dash to the airport.  When he awakens to an empty house, he stays unrealisticly calm. Most kids would probably be scared on their own, but he's unphased and makes the best of it, eating junk, jumping on his folks bed and staying up late watching R rated films.  His family finally notices him missing halfway to Paris and mom O'Hara takes the rest of the films running time to get back to him.  In the middle of living it up, Culkin discovers that a pair of hairbrained burglars plan on robbing his house.  He's ready for them, arming the entire home with an array of painful traps and devices.  Up until this point the film was slightly amusing, as Culkin, though not a great kid actor, was cute to watch go thru his little adventures.  But Hughes, writing genius that he is, waited till the end to hatch his goldmine idea that he knew kids would eat up.  Youngsters,  most of which who don't understand prolonged pain and find it funny, lapped up the cartoonish injuries heaped upon Pesci and Stern.  Watching as an adult, though, it just makes you uncomfortable, watching men scream in pain scene after scene. Hughes tries to cancel out the violence with a sappy happy ending, but it does nothing to erase the damage done by the unpleasantness.  And as said earlier, because of the 800 million dollar success of the film, Hughes would mire himself in a clone mode for the entire decade of the nineties! Constantly remaking this formula with even worse results each time.  It all went to show that even your best success cannot be the best thing for you, and all we can hope is that real John Hughes who we loved in the 80s will come home again.",Null,1,2,7 November 2000
Scary Movie 2," scary how bad this film is...
","What a step down from part 1.  I didn't totally enjoy that first installment, but it only just barely missed being on my DVD 'to buy' list. I knew about 15 minutes into to this one that there was NO WAY I'd have to consider whether or not to add this to my collection.  Aside from the fact that it's not as funny, the direction and editing are atrocious.  Angles where the actor is nearly out of the frame or shots that last literally half a second.  Wayans has directed a number of movies, so who knows why he dropped the ball here and made this look like a student film.  But, of course, above all else, you have to focus on the lack of laughs.  The targets this time around were either too old ('Poltergeist' was damn near 20 years ago people!) or too unknown (did more than 10 people actually see that crapfest, 'The Haunting'?).  Then when they stray away from horror all they do is copy something instead of parodying it.  The 'squeaky cleets' basketball commercial is basically just re-shot, and the 'Charlie Angels' stuff looks like that movie's scenes.  Or they just throw in confusing and out-of-place moments like the idiotic wheelchair battle (what the hell was that supposed to be anyway??).  Only three cast members return, like poor Anna Faris, a cute and talented actress, who is reduced to bugging her eyes and dropping her mouth every other scene.  The unfortunate young girl appears to be trying hard, given the junk script she's working with.  And when they can't come up with witty lines for her, they reduce her to getting put downs, or touches, upon her breasts, as well as masturbating a guy till he bombards her with gallons of sperm.  Yep, that's right!  They even resort to ripping THEMSELVES off here!  Everyone else is reduced to swearing (even a trash-mouthed parrot), or is just wasted, like cult fave Curry.  This whole thing smells of 'rushed into production' as over 10(!!!) writers couldn't come up with more than 2 or 3 good jokes.  The opening 10 minutes featuring James Woods in an 'Exorcist' spoof actually provide a bulk of the film's big laughs, but don't seem connected to this movie, seeing how awful the rest of it is.  And even they ripped off THAT too!  An 'Exorcist' parody was done over 10 years ago in a film called 'Repossessed'.  Just one last sign that this belongs in the crapper of the year's worst.",Null,0,1,21 July 2001
