movie_title,title,review,rating,helpful,total,date
Insidious: Chapter 2," 6 ?
","First of all, I did not know there was chapter two to the Insidious! But as the director is the one of SAW movies, it does make sense and I believe more chapters are in years to come.I believe the chapter 2 is better than the first one but only to the middle of the film. For me - at least - the part when story gets 'into the head of Josh' or becomes supernatural, that is when I lose interest in film and thought it was not believable anymore. I know it is a movie and it is a horror and those things do not exist, but just making them look less possible was a turn off for the movie.Especially the ghost hunter lady seemed totally out of place and too 'real' for someone dead. Darkness and mist did not work for me to make 'a scary in the head images' All in all, give it 6! Though I was hesitant between 5 and 6 but it is a bit better than to be in the middle.",6,0,0,18 February 2015
"The Adventures of Priscilla, Queen of the Desert"," Quite Good
","I am still smiling ... This is a light, fun film. A comedy, I guess with elements of a musical - though I remember only three or four songs: Finally by CeCe Peniston, I will survive by Gloria Gaynor and Save the best for last by Vanessa Williams. PENISton and GAYNor must have been chosen on purpose.Guy Pierce is really great. I saw him last in the movie Momento ...and here, he is so believable! You can not believe this guy is really straight.I actually expected a film with Patrick Swaysie and Wesley Snipes, but it must be some other film about drag queens... Anyway, a really fun and relaxing film. Eight from me.",8,0,1,6 June 2015
10 Cloverfield Lane," Hmmm...
","First of all, I must say that I was expecting 'something different' considering the 7.3 note here! Something really worth of that note, but this is not that great!As many have pointed out, this film has a problem with ending. I would have ended the film when she sees the birds flying. But that alien / mars attacks ending was just totally out of the blue. Totally not connecting with the film ( though I admit it proves the story that something bad had happened). I mean... even if they really wanted the alien ending, it could have been more subtle. This was like you added a totally different movie to the one you are doing.Good point is that you really DO NOT know if the guy who held the girl in the basement is good or bad. We do not know if he killed anyone before he took the life of the guy in the basement. Everything is up to you to decide. All in all, he is actually a good guy from what we were seeing up to the point when he shot the guy ( but only when he said he would take his gun).All in all, this maybe could have a better note if it wasn't for such laughable ending. I did not like it.5 from me.",5,73,100,5 October 2016
The Finest Hours," Not bad
","This film starts kinda slow and unrelated to the story ( you expect to see) and it is rather slow paced at the beginning, but soon it gets more packed with action and rests until the end.I enjoyed the film. It was even touching at the end. The fact that it is based on the true story does give it a plus. The breaking of a ship ( two, in fact) in haft because of the storm was really wow! I really got into the scene when they showed the first breaking of the ship. It was intense and really well done. I guess I liked those scenes which were filmed inside of the ship and all the hard work being done to prevent the sinking of it that caught my attention the most and the ones I really enjoyed. However, the relations between the sailors ( in the ship and at the land were somewhat superficially done and yes, you get that some of them are not liking each other, but, why is that is not rally explained and I though it should have been)The love story that also goes parallel to the disaster at sea is sometimes sweet but most of the time is kinda blah and maybe it should have been cut in entirety from the film. It does add something to the film, but not that much in reality. But I guess it is important as it is one of the true facts.All in all, not bad. I give it a rating eight!",8,22,32,20 May 2016
The Ring," Quite good!
","Me and my friend were talking about horror movies and he suggested this one and it was quite good!The story itself - I guess - is similar to many of other horror stories and movies. I actually thought that the end of the movie was when she 'rescued' the girl from the well and you see the reporter with her love interest sitting on some old bench. OK, so she did a good thing - 'heard' the little 'evil' girl and now that the wrongdoing is kinda redeemed, everything can be as before. I was wrong! That is the beginning of the twists that happen in the last 6, 7 minutes of the movie and last two minutes being the ultimate twist!I liked that the movie was entertaining from the beginning to the end. I did not expect the ending to be what it was! Actually, at one point I thought that the little evil girl is now grown up ( not dead or in the mental institution) and that it is the girl who moved to the apartment of the reporters ex love interest ... I did expect however the drawings of the kid to be explained. Especially the last ones he was drawing on the floor - the big black hole. But it was not. There were too many drawings circulating in the movie with not really clear connections or purpose - at least, I believe. So, I do wonder what they all mean and above all why the faces of the girls / people were blackened / distorted. I mean, OK, you can say it is the evil presence / force, but ... I saw that there is the part two, so will probably see it tonight. I know the sequels are almost never as good as original movies, but... Will give it a try.Eight for this one!",8,2,2,11 March 2016
Hereditary," Great one!
","I do not remember when was the last time I watched a good horror film! And this one is not good but great!Surprisingly, it last 2 hours but not a moment is boring... it has that sinister atmosphere, music and acting are great... I just kinda did not completely understand the ending - I have my views, but not sure if they are correct.All in all, 10 from me.",10,0,3,27 October 2019
John Wick," Quite good!
","Now, this is an action film ! From the beginning ( well, not actually first 10 minutes or so, but....) to the end is full of action, interesting plots and scenes and really keeps you entertained!I must say that I have not seen in a long time a better action movie! Keanu is perfect in the role! All other actors are too. The story is great. The moving of the film/plot is done perfectly. All those secret society mafia agents living by the rule are great! There is really nothing that you can say is bad about the movie.The language they use...I thought it was Romanian almost entire film. But when they mentioned the Russian church, I figured out it must be Russian.Loved the ending of the film. Most of the films have some kind of a bad ending and that can ruin all, but this one is perfect!My favorite part/scene: when those 'cleaners' come to his house after the first shooting and wrap those dead bodies like mummies ! Man, that was something!Nine from me. Don't know exactly why it is not ten, but 9.50 would be more exact.",9,0,2,1 April 2016
Gravity," Hmmm...
","Like many films I want to watch, I do read reviews here and positives ones plus the average score made me think it is a good one. Well, it was not!I can not say it is totally awful but it is pretty much close to it. Besides the fact that nothing happens and that I was waiting whole time something to happen - nothing is the right word to describe this film. I do not like Sandra very much but in comedies she is totally fine. But add her to a boring film... the result is zero interest for me.I guess some beautiful scenes of the universe is what saved this one not to get one from me.You lose nothing if you skip it.",2,5,10,18 February 2015
Memento," Quite Good
","Well, I spent the last hour searching the internet and reading questions and answers about the film here on the site.I saw the movie yesterday evening and still can not figure out what actually happened and I wonder if what I believe happened is actually true.So, yes, I guess like the others said and wrote, this movie is good that it makes you think or makes you identify with the leading role. But seeing that so many people are not sure what to believe, kinda makes you feel that the movie has served is purpose as a talking point!For me, actually, the most confusing part is the role of Natalie in the film. 3 different scenes show her in 3 different lights - which one is correct or all 3 are made up?!And the beginning of the film... I thought at first it is kinda boring that they repeat the same scenes (with just a minute of longer action than the previous scene) several times with only a bit of a change...but then, at the end, I realized that the beginning of the film is the most important ( or so I seem to think)All in all, good film! I was hesitant between 7 or 8, but I go with 7. It may be the good thing that we are in the dark just like the main character of the movie, but somehow I did not like that much. I like all things to be clear to me. But again, it is really good movie!",7,1,2,15 March 2015
Inglourious Basterds," Not sure
","It was entertaining. I liked the mixture of French, German and English. The whole film is kind of a fantasy.
The end - I guess he wanted to tell us that in any war, America can do the most horrible things and get away with it (which is true I guess).
More music would have been good.",7,0,1,7 February 2020
