movie_title,title,review,rating,helpful,total,date
The Hunger Games: Mockingjay - Part 1," Sadly, this doesn't feel like a complete film at all - but it offers a surprisingly realistic portrayal of a totalitarian society on the brink of an all-out civil war
","It appears I'm in a minority here, because I actually liked 'Mockingjay: Part 1'. Now bear with me for a moment before you rip this review to shreds and please at least hear (or read) me out.I do absolutely acknowledge that unlike the two previous films, 'Mockingjay: Part 1' doesn't feel like a complete film; it is practically all build-up and doesn't have a proper ending, and I agree that splitting the last book into two films was an inherently stupid, purely greed-driven decision by the studio. Also, due to that idiotic split of the last chapter, the film is largely deprived of the action/adventure elements that so many fans loved in the first two films, which must be especially disappointing to non-book-readers who didn't expect such a drastic change in tone. But if we ignore its most obvious flaws for a moment, the film has actually quite a few things going for it.For instance, it offers a surprisingly realistic portrayal of a totalitarian society on the brink of an all-out civil war, and unlike other Hollywood adaptations of such tales, it dares to put the emphasis on the human drama instead of the special effects. And it remains faithful to the book: it would have been fairly easy to invent a couple of heroic battle scenes to amp up the spectacle (Hollywood is notorious for such disregard of source material - and such disregard for the fans), and I must say I appreciated the film precisely because of its NOT solely action-driven narrative.But the most impressive aspect about 'Mockingjay: Part 1' is how layered it actually is. This is not the good-against-evil story of the first two films anymore: this is a really smart study on how propaganda works and how one fascist system is about to be replaced - albeit with the best intentions - by another. This kind of moral ambiguity (and again: faithfulness to the novel) is not what we usually get in blockbusters aimed at teenagers, and for that alone the film deserves some credit.Also, what the film does masterfully, is showing how Katniss transforms upon the devastating realization that she has helped - or has been instrumentalised - to set a process in motion that she can neither stop nor control, a process which has already led to a terrible loss of human life for which she now feels responsible. She is torn apart by inner conflict because her hate for Snow and everything he stands for is bigger than ever - yet at same time, it begins to dawn on her that the leaders of the rebellion employ methods which don't seem to be all that different. The lines between what is morally acceptable and what is not start to blur. A very wise person once said: 'War makes fascists of us all' - I believe 'Mockingjay: Part 1' does an excellent job at getting that point across.Unlike in most popcorn movies, there are no mere black and white characters here (well, except maybe for Snow); instead, we get a story that - for once - hasn't been dumbed down and functions as a sincere exploration of an escalating civil war that threatens to consume everyone. And unlike most YA adaptations, the film doesn't shy away from showing what that means: the audience is left in no doubt about the human toll this revolution will take in the end.Maybe the current situation in countries like Syria after the initially peaceful revolution that was the Arab Spring made this film resonate more with me than it should have, but I was surprised at how un- Hollywood-like this was done. And I can't stress this enough: Jennifer Lawrence MAKES this film; the whole franchise, really. The emotional intensity she brings to Katniss feels so real; it's the kind of performance that, in this kind of film, sadly often gets overlooked, but I sincerely doubt a better Katniss could ever have been found.So my final verdict on the film: 'Mockingjay: Part 1' offers intelligent entertainment that doesn't solely rely on special effects and one mindless action scene after another. It's a fitting continuation of Katniss' journey, but - and that is the one serious downside to this film - it doesn't lead that journey to its logical conclusion. That the studio wants you to pay once more to see how the journey ends may be understandable from a financial standpoint, but it is a major flaw in the storytelling of an otherwise very good film. Likewise, the final chapter in the series (Mockingjay: Part 2) will likely suffer from having to do without all the dramatic build-up that Part 1 offers. Still, there is a lot to like in this film and it is far from the boring mess so many reviews made it out to be: 7 stars out of 10.Favorite Films: http://www.imdb.com/list/ls054200841/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-movies: http://www.imdb.com/list/ls054808375/",Null,113,132,28 May 2016
Requiem for a Dream," A Beautifully Shot Film With A Harrowing Subject Matter
","I had already seen - and loved - Aronofsky's debut film PI (1998), and so I went into this with high expectations. The film managed to exceed them by far; it's a masterpiece that manages that rare feat where the impact of the dead serious subject matter (substance abuse) is enhanced, not subverted, by the director's choice to offer a truly cinematic, stylish and visually exciting experience. A sad, beautiful work of art that features a career-best performance by Ellen Burstyn; an uncompromising - and often shockingly graphic - depiction of a downwards spiral that leaves no viewer unaffected.",9,0,0,22 July 2019
To Be or Not to Be," The Nazis have never been mocked better
","Comedies rarely stand the test of time - this one does: one of the funniest films I have ever seen.When I was 16 (20 years ago, sigh...), this was re-released for a short time in a local art-house cinema, and my father insisted I go watching it with a friend. Well, teenagers don't normally line up to see 50 year old black and white comedies, but - man, was I glad I did!This is a pitch black comedy that feels as fresh today as it must have then; in fact, this must have been kind of a shock in 1942. There are no cheesy clean characters or cringe-worthy lines: this is a firework of fast, witty dialogue with an edge and the sexiest, cleverest (and most morally ambiguous) female protagonist I have ever seen in a film before the 'New Hollywod' era.Even the structure and the way the story evolves are very modern; there are flashbacks and twists and turns that might be very common in contemporary films but must have seemed almost 'avant-garde' at the time.The biggest fun, of course, is how Lubitsch takes the pi** out of Hitler's blind, fanatic followers. I don't believe the Nazis have ever been mocked better than in this comedy masterpiece (and I only hope old Adolf has seen it, too). Mel Brooks' remake is not bad, but the original is simply killer. See it, and then see it again (and again).Priceless. 10 out of 10Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/",10,76,92,20 December 2013
Monty Python's Life of Brian," One of the most intelligent comedies ever made
","Personally, I believe this to be one of the most intelligent comedies ever made. It might not appear that way at first because the film does have its share of simple slapstick and 'naughty' moments, but generally, the topics the Pythons tackle here are very serious - albeit dealt with in a way that makes this a true contender for the funniest film of all time. A firework of hilarious sketches, timeless quotes and clever comments on the human condition, this film was deemed too dangerous for the masses and therefore, until recently, banned in several countries (normally, this only used to happen to the so called 'Video Nasties').This film never once makes fun of Jesus (Christ) - but it DOES take the mickey out of blind, fanatic followers of any political movement or religion.An outstanding achievement and endlessly re-watchable. My vote: 10 out of 10Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/",10,162,179,16 December 2013
The Big Lebowski," The film with the highest rewatchability factor of all time
","It's actually kind of hard to describe this movie (and what's so great about it) to people who don't already know it and love it; as with many cult films, The Big Lebowski will either speak to you (in which case you will become a fervent follower of His Dudeness and abide by his code for the rest of your life) or, if it doesn't, the film will either leave you completely indifferent or you'll even downright hate it.I believe it's a very funny film and I'm sure it can be rightfully called a comedy, but don't expect punchlines, gags, jokes or slapstick - it's not that kind of comedy. If you want to enjoy this film, you have to meet Jeffery 'The Dude' Lebowski on his terms, hang out with him and his bowling buddies and follow them at a their (perhaps somewhat leisurely) pace through this weird and unbelievable tale about nihilism, theft (of a car and, more importantly: a Creedence Clearwater Revival tape), kidnapping, abstract art, porn and - of course - bowling. The story is actually kind of simple. You see, some no-good German nihilists urinated on The Dude's rug - and this kind of aggression just won't stand against The Dude. With the help of his bowling buddies, he will do everything in his power to get someone to pay for his rug - or possibly get a new one (because that rug really tied the room together). So he embarks on this worthy quest during which he will encounter many wondrous things and fascinating people (even Jesus - who is NOT the messiah but a very naughty man).With Jeff Bridges in the leading role, the Coen brothers have found the perfect actor to incorporate one of the most iconic characters that has ever been created. But it's not just The Dude that makes this a winner; the whole film is such an inspired folly and simply inventive filmmaking at its finest (the hilarious dream sequence alone is worth the price of admission). The supporting cast is outstanding (J.Turturro, J.Goodman and S.Buscemi among many others), the song choices are perfect and the dialog is the funniest, most quotable in any comedy I've ever seen. This - for me - is without a doubt the film with the highest rewatchability factor of all time. 10 stars out of 10.Favorite Films: http://www.imdb.com/list/ls054200841/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-movies: http://www.imdb.com/list/ls054808375/",Null,287,325,3 November 2015
Fight Club," Welcome to movie heaven!
","Let's ignore the advice and talk about 'Fight Club'. This film was a milestone; although it bombed at the box office, Fincher's cinematic language left a mark that can still be felt now, 14 years later, on many current releases. Despite the risky 'cutting edge' nature of the film, Fincher got a huge budget for this and it shows: the camera effects and the whole production design are amazing.This movie has a raw energy that grips me every time I watch it. What a crazy, fun ride! Whether it is a very clever satire or pure testosterone going on a rampage - both are fine by me. A film so visually stunning and sexy, with career best performances by all involved - welcome to movie heaven.My vote: 10 out of 10Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/",10,148,190,16 December 2013
Dawn of the Dead," A Non-Stop Thrill Ride With Pitch-Black Humor, A Great Cast And Excellent Makeup Effects
","I'm a Romero nut (for those among you who don't know the name George A. Romero: that was the genius writer/director who single-handedly created the modern zombie film and who also wrote and directed the original 'Dawn of the Dead' in '78), so you may believe me when I say I wasn't impressed when I heard there would be a remake of the zombie maestro's famed horror classic. Truth be told, I was absolutely determined to hate this new film when it came out - but boy, was I in for a pleasant surprise!As it turned out, Zack Snyder's remake isn't just a re-hash of Romero's film but offers a very different take on the material and deserves to be recognized based on its own merits as one of the most entertaining entries in the particular horror sub-genre that is the zombie film. The James Gunn script is hilariously funny throughout - in a pitch black kind of way - and there is simply not a dull moment in it.Furthermore, the cast consists of great character actors who are totally game (Sarah Polley, Ving Rhames, Michael Kelly and Ty Burrell among others); the gore effects are insane and the zombie makeup is the best pre-'Walking Dead' in any zombie movie by far. I'm inclined to believe that had this film been made by a less divisive director than Snyder, it would have since gone on to be regarded a B-movie horror classic for the ages.It's true that the scathing social commentary which elevated the original 'Dead Trilogy' above simple gore-fests is largely absent from the remake, but I don't see this as a flaw in the new film. The political subtext in Romero's films was effective in part because it was so subversive at the time; a remake repeating those same beats more than two decades later simply wouldn't have the same impact (which Romero himself actually went on to prove with his far from bad but oddly dated 'New Dead trilogy' consisting of 'Land of the Dead' (2005), 'Diary of the Dead' (2007) and 'Survival of the Dead' (2009) ).What 'Dawn of the Dead (2004) does brilliantly instead is focus on the characters. Every single player in the remake is fun to watch; even the supporting characters are colorful and more than 'one-note' and have their own arcs. I would also like to point out that while Gunn's script is lighter on social commentary than Romero's, it's far from dumb, and the story beats are interesting and unpredictable enough to keep you invested throughout.To sum it all up: While I love Romero's film for its clever subtext and critique of consumerism, its impact on the horror genre and its entertainment value, I love Snyder's version for the pitch black humor, the great cast as well as the pure spectacle and non-stop thrill-ride it provides. As far as action-horror films go, it actually doesn't get much better than this: Dawn Of The Dead '04 is simply an A+ genre flick that deserves to get more recognition.About this review: tastes in film obviously vary greatly, so if you want to get a better reference if mine generally aligns somewhat with yours, I created a list of my 50 favorite films on my imdb page which should leave you in no doubt about what kind of stuff I'm into (just click on my name if you're interested).",8,10,11,11 May 2020
Aquaman," Everything But The Kitchen Sink
","Everything I saw, read and heard about 'Aquaman' before it came out had me convinced it wouldn't be my cup of tea. My impression was that this would be yet another bloated studio tentpole with cheesy dialog, a generic story and artificial looking CGI. However, once it opened, a passionate film fan I respect a lot started spreading so much obviously genuine enthusiasm for the movie that I eventually got over myself and watched it.I think it was the moment when Nicole Kidman swallowed a goldfish that I started to suspect I might actually enjoy this movie. That suspicion, however, turned out to be wrong, because I didn't just enjoy it: I ended up ADORING it. The weirdest thing: the film DID contain all those elements I had feared - and yet none of that seemed to matter. It just works. It shouldn't, but it somehow does, which is why I've since come to the conclusion that director James Wan is some sort of genius wizard filmmaker. Don't let the generic superhero tropes and cheesy dialog fool you into thinking this was a typical mainstream movie (though I DO suspect those things managed to fool the studio executives into thinking exactly that: which is probably how James Wan got away with it), because in truth, this is the least generic, most bonkers big budget studio flick I've seen in ages. It's the film 'Valerian' wants to be. It's crazy; it's over-the-top; it's beautifully designed with incredible attention to every little detail in every frame; it doesn't take itself seriously for a second, and yet it fully commits to - and loves - its characters and the world they inhabit.I was awed, literally awed by the design of the Atlantian society and technology; the worldbuilding and visuals are so distinct and original - which caught me completely off guard, because I didn't expect that in a 200 million studio picture for the masses. When the music score went into full synthesizer mode as 'Aquabro' and Mera arrive on the collapsed bridge leading to the underwater city, and the screen virtually explodes with the most colorful creatures and underwater vehicles imaginable, I had a stupid grin on my face out of pure joy and adoration for this stunning display of artistic vision (the stupid grin stayed on my face for the remainder of the movie). And the film didn't let up. 'Aquaman' never loses steam; there's no weak third act (at least in my opinion); the wondrous discoveries and beautiful, unexpected designs and creatures keep coming until the very end. Although it has a very different tone, I was actually reminded of watching 'LOTR: The Return of the King' for the first time.It's true, 'Aquaman' delivers the typical, clich̩d, cheesy superhero tropes in spades, but those generic story beats - some of which were probably demanded by the studio - seem to be all surface; they're not what James Wan (or his characters) are really interested in. It almost seems to me that the director only used those tropes as camouflage to sneak in nods to every film of every genre he ever loved and get really creative with the worldbuilding. His biggest accomplishment, however - the film's greatest strength - is something that only few blockbusters ever achieve: he successfully combines a genuine sense of wonder and awe with complete, unabashed fun.So, to sum up this review: against my expectations, the superhero film I least expected to like managed to do what not a single superhero movie so far had done for me; it filled me with an urge to immediately see it again, because I was so in love with its bonkers, 'everything-but-the-kitchen-sink' approach to filmmaking. Naturally, I now hope James Wan will also direct 'Aquaman 2', as I'm sure if given the chance, next time not even the kitchen sink will be safe.P.S. (for new IMDb users): In case you don't know whether to trust this review or not, because you have no idea what my tastes in film are, just click on my username - gogoschka-1 - and you'll see what my favorite movies are.",Null,364,600,26 January 2019
The Jungle Book," Best animated feature of Disney's golden era - and what a killer soundtrack!
","There aren't many animated Disney films I don't like, basically every single one of them until the end of the seventies was amazing. But for me, this is the one which stands out. Sadly, Disney himself never got to see the finished film (he died during the production), but this is one he would have been proud of. Crafted beautifully and with attention to every little detail, from the way the different animal species move to the colorful jungle backgrounds. Wolfgang Reitherman has directed some of the studio's best - but here he has created his masterpiece. Outstanding animation, fantastic characters - and what a killer soundtrack.A joy for every generation to discover anew (my 9-year old nephew currently has a bit of a Shere Khan fixation), I guess I will never outgrow this timeless classic. 10 out of 10.Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/",10,65,75,20 December 2013
The Hateful Eight," A stage play of a 'Who-Done-It' murder mystery - with highly political undercurrents
","OK - if you've already seen the movie and hated it, my review won't change your mind, so move along folks, move along, there's nothing to see for you here, thanks.Now for you, dear film fan, who is about to watch 'The Hateful Eight', but who is now slightly worried because of some very mixed critical reactions - for YOU I'm writing this 100% spoiler-free review.Judging from many comments here on IMDb and other forums, I gather that many long-time Tarantino fans apparently don't like his newest film. I had feared such a reaction as soon as I had finished watching the movie. It's obviously Tarantino's least accessible effort yet, and there's a number of reasons for that, not the least of which being that this is simply not the film most people expected (or felt they were promised). So if you haven't seen it yet and you're a bit doubtful because of the negative reviews, let me tell you: you'll likely end up loving it - as I did - IF you prepare yourself juuuust a little. And because I really liked the movie, I would like to help you do that via a short list of recommendations. Ready? Here it goes:1. Don't go watch 'The Hateful Eight' expecting a 'classic' Western. It might belong to the Western genre, but if all that talk about Ultra 70mm Panavision had you thinking of lush outdoor scenery, vast landscapes or anything resembling a Sergio Leone movie, you'll end up disappointed. There are a few nice shots showing snowy mountains, but 95% (perhaps more) of the story unfolds indoors (in one single room) - which isn't to say that the cinematography isn't absolutely fantastic. In fact, it's more than fantastic: it's stunning and worthy of an Oscar.2. Don't expect any exciting 'action' scenes (for lack of a better word: I don't mean the 'Fast & Furious' kind of action scenes) every 10 minutes or so; in fact, don't expect anything other to happen between the characters than dialog for a loooooong time. Unlike in Tarantino's previous films where we got almost 'spoiled' by unexpected over-the-top moments in nearly every scene (except maybe for 'Jackie Brown' and 'Deathprooof'), this film has a very, very slow build. But: that's not to say it ISN'T exciting (or that nothing does happen) - it's just that the excitement and tension result mainly from the dialog and the excellent performances by the cast (at least for roughly two thirds of the movie).3. Best approach this film as you would theater; for that's what 'The Hateful Eight' really is: a stage play disguised as a movie. A stage play of a 'Who-Done-It' murder mystery with a touch of Agatha Christie. But then again, that's also a disguise, for the murder mystery is just a ploy to cast a look at a torn society rife with racial tension after the civil war. Which, of course, again serves as an allegory for race relations in modern-day America and as the director's angry commentary on how hateful that situation still is today, on all sides. Now that sounds awfully serious, but don't worry; despite some hard-to-stomach ugliness and the highly political undercurrent, there is plenty of Tarantino's trademark humor throughout the whole film.4. Don't expect to find a likable character you can root for. There's a reason for the film's title, and unlike in all his previous films, there is not a single person in Tarantino's latest movie you'll feel any real sympathy for. All the main characters have committed despicable, hateful acts, and they're all beyond redemption - but that doesn't mean they're not compelling to watch (especially given THIS cast: everyone is fantastic, but Jackson, Russell, Jason Leigh and Goggins are just a joy to watch).5. Don't expect a complex plot. In my opinion, among Q.T's films this is the one with the most straight forward and most simple plot to date, yet at the same time it's arguably his most complex - and most ambitious - film.So, dear film fan, that's it: adhere to these here 5 'commandments', and there's a big chance you'll end up loving Mr. Banana Chin's latest oeuvre as much as I did (mind; you might love the film just as much without taking any of the above advice). I admit, it took me a while to get into this dialog-heavy stage play and would-be Western, but once I did, I never looked back (and I can hardly wait to watch it again). 9 stars out of 10.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/Favorite TV-Shows reviewed: imdb.com/list/ls075552387/",Null,1333,1811,26 December 2015
