movie_title,title,review,rating,helpful,total,date
"Run, Fat Boy, Run"," Special Squirrel Time
","This could have been much better. Simon Pegg has done much better films than this. And where is his partner at? The fatter guy that was with him in his two previous films that made international waves? I guess Simon Pegg thinks he can do it himself. Boy is he wrong.This movie is about a man who tries to run. He tries to run from his troubles, from love, from the woman he knocked up (Thandie Newton), and from his dreams. Dreams be being a man and a respected one. Until Simon realizes he needs to do something drastic to keep his woman around Occasionally it has something worth of value. The antics before and during the race are OK, but they don't make it into a cult classic. And that is disappointing.Overall, its a slight miss. Better luck next time Simon and Thandie. 'C-'",4,0,1,31 December 2008
The Blair Witch Project," Bambi Woods loves the Blair Witch
","Let me start by saying that this is not a documentary nor does it really hide the fact that its not. The obvious switching between one camera to another without breaking audio leads one easily to conclude that. Not only that, but where was the extra juice for all the video they took? Going into the woods and being followed by someone or something. That is not scary. Sometimes the people argue with one another and improv, which was funny at one point. But that and the house scene, were the only moments that were even remotely interesting.I just wasn't impressed. Maybe adding Bambi Woods to the cast would have made things more interesting. Because there is no other reason to watch it again. 'F'",1,2,3,9 March 2008
National Treasure: Book of Secrets," Bobby Witt: We miss you
","What worked pretty good for the first National Treasure film did not work so well for the 2nd one. Out to prove again the U.S. has collected treasures the world will never know, Cage comes out again to find it.Built around the same formula with the same results, Cage goes out to find a hidden treasure contained within the writings of John Wilkes Booth. Instead of being hidden by the Masons in a secret underground area, we find it is under a certain national park/memorial in South Dakota.Why did everything unfold in the same manner? Why did it seem like everybody was just going through the motions? I mean, the legendary City of Gold, Cibolo? It was kind of stupid in my opinion.I am hoping they do not make another one. It should have been left alone after the first one. Instead, its all about cheapening the brand. 'C'",5,0,0,3 October 2008
The New World," Slow, inaudible, and unwatchable
","I really had a lot of patience for this movie to get going. I sat there for over 20 minutes, in between the bad and displaced classical music, to see the plot between the characters. And nothing. The sound quality was just awful throughout and that was only the first of the major annoyances.Sure, the fort of Jamestown was accurate, but I hardly think those peoples spoke in parables and poems the entire time. The dialogue was about as misplaced as the latest Australian version of 'MacBeth', with Shakespearan language and modern scenery and weapons. Getting to the point, the dialogue was unreal in a bad way.I don't remember ever reading about Captain Smith having such a fancy sword for such an average man at the time. I wish it was more straight forward with real dialogue so the audience could get into it. The director did a much better job in Saving Private Ryan. But this was a waste of time. Thin Red Line wasn't too much better than this, but at least it was better.Overall, its unfortunate that this is the only movie with historical Jamestown shown in it. 'F'",1,10,15,26 April 2008
Howl's Moving Castle," Oten
","It is not very hard for me to start out with this statement: This is the worst movie I have seen this year. And I have seen some pretty bad movies half way through 2008. But I fail to see anything on the horizon that will challenge this heap of garbage.The premise is downright awful. A castle, a woman who becomes an old woman, a flame, and a walking castle. Already, its not looking good. But add to the fact that almost nothing happens in a lot of scenes. I had to fast forward through those areas where there wasn't any talking.I never really liked the hoping scarecrow - whom turned out to me a prince. And the flame? Well he might have been the best character in the whole film but that isn't saying much.The boy, Howl, and everybody else should never again grace screens with their presence. It just isn't worth the headache. 'F'",1,5,28,5 June 2008
The Incredible Hulk," Gwapa Débora Nascimento
","Before watching this Hulk movie, I should have taken the time to watch the one released a few years back that was directed by Ang Lee. Instead, I was given the chance to watch this and I had to take it. Seeming that this was going to be one of the year's better films, I thought why not. And it lived up to a lot of its billing.The origins of the Hulk are given, although not as explained as I would have liked. His fleeing to Brazil in the beginnings of the film do make for some good scenery, including the introduction of Débora Nascimento to the film stage. Though I doubt she will be given a lot of time on the screen for now, she certainly is a beautiful woman and made Liv Tyler pale in comparison.The action was good, but I thought it was flawed. The military operations against the Hulk just seemed to come out of the blue at times and did not explain it as much as one would hope. Even the final fight seemed a little bit of a mess. Still it was enjoyable.Overall, it was a good film. I am hoping I see more of Débora Nascimento in the future. 'B+'",7,5,9,25 June 2008
Mission: Impossible III," Roger Owen and Hoa Tran: best friends for life.
","Tom Cruise is a man of action. He is also a man of passion, Rain Man, and Scientology. Besides that, where else could you see a Scientologist blow stuff up? Maybe the other Mission Impossible films, but thats about it.The movie starts off well enough, with Cruise being tortured and seeing what he thinks is his wife/girlfriend/significant other near death. The viewer then backtracks through all of it. Missions to Vatican City, China, and the U.S.A. And it all comes down to some high flying in China.Many of the actions aren't explained well. How did Cruise avert all men inside the building for his prize? What about the previous woman? The list goes on.But overall, its good. I like the explosions more than anything in this film. 'B'",7,0,0,9 April 2008
Lucky Number Slevin," Lucy Liu and Josh Hartnett
","They seem like somewhat of an unlikely pair. Obviously, he looked slightly younger than her when they met. But despite that, both acted good in the movie. But I can't say the exact same for the plot.I enjoyed some of the twists, although the last two or three I kind of expected as I slowly pieced together the beginning scenes and made sense of it for the rest of the movie. It took a little bit of time for it to sink in for what was going on. Many films, when they try this sort of thing, usually don't tie everything together. But this one did.However, the camera-work was kind of weak. The somewhat constant skipping ahead slightly during the scene was slightly bothersome at some times. Plus, I kind of wished the characters were developed more.I was glad with the deaths that were inflicted and all the killings seemed thought-out. The music throughout the movie was not on far with what was happening sometimes and that got to me a little.Overall, its not a bad film. If you don't mind piecing together a movie with deaths like this, then its your cup of tea. The music, direction, and camera-work were not as great as they could be. As a result, it doesn't get the grade it could have got with a better director. The director was just bad. 'B-'",6,0,1,11 June 2008
3:10 to Yuma," Good Stuff
","I am not a big western fan. There are a few I like, but several I don't. But honestly, I certainly liked this one. And to make matters more, the acting department was rather good.Russell Crowe puts up an excellent performance. Playing Ben Wade, he is captured with the help of Christian Bale, who is a rancher. Through a long trek to catch a train, Crowe and Bale play off one another. Through many deaths, largely on the law's side, a drama unfolds. And the ending was even better and not your run-of-the-mill type.I do like Crowe, especially from his performance in Gladiator. This only shows how much of the arse-kicking type his is. And Bale, aka Batman, shows he can take a bullet as well. 'B+'",7,0,1,21 August 2008
The Longest Yard," Sandler movie with Burt being Burt.
","This film remake had a lot of funny moments. And those moments were brought on my the funny comedy of Adam Sandler. From the car scene, 'secret video', and a few others. I admit, I was laughing.But there are some major problems too: the storyline. It is not explained well as to why Burt Reynolds is there. Nor explained why the prison officials have a 'prison league'. Nor why ESPN covered it all of a sudden. I could never get into any of it. It had no emotional appeal.In conclusion, you solely have to wait on the comedic moments. Moments, truly, happen in rapid succession. But this isn't 'Grandma's Boy' or 'Leonard Part 6'. It is funny, just not that funny. 'B'",6,2,4,9 April 2008
