movie_title,title,review,rating,helpful,total,date
10 Cloverfield Lane," A good movie that has no need of carrying the name 'Cloverfield', because it stands fine on its one
","In '10 Cloverfield Lane' we meet Michelle. She get's involved into a car accident, but when she wakes up, she is not in her car or in an hospital, she now is in a bunker. Here there are two guys, one of whom is the owner of the bunker, who claimes that the air outside is not breathable anymore. Now she has to find out if it is true, or that the man is just insane...This is the directorial debut of Dan Trachtenberg. And hats of to him. He was a really good director. You may think that the movie would become boring after a while, due to the movie being set underground for a very big part, but Dan Trachtenberg made sure it didn't. He used different shots to keep you interested and he also took different directions each time. When there was dialogue you could be sure that you would see an alternation of different shots. This was done good, and kept you from getting bored. He is also a very good visual director. Lot's of the shots looked very nice. Especially the outside shots, here he had more room to work with and he used it, to accentuate that she now was outside and not in a small space anymore. That's why there were also a lot of close-ups in the scenes inside the bunker, to show the claustrophobia. This I found clever. The cinematography was done very good too which only complimented the directing. The cinematographer of '10 Cloverfield Lane' was Jeff Cuttr. The soundtrack was also very well chosen. The soundtrack made the intense scenes only more intense and the faster editing also helped with this. The songs where people in sang were also very good. The make-up design was surprisingly good. I say surprisingly, because I thought that this was going to be a low budget film. The wounds looked realistic and were not nice to look at.The acting was very good. The cast was small, but filled with good actors. There was one person that surprised me a lot and this was also the main actress of the movie. This is of course Mary Elizabet Winstead, who played Michelle. I only have seen Winstead play bad characters or in movies where she just acted bad, but in this movie it is not the case. This was by far her best performance yet. She did well in the emotional scenes and also in the scenes just based on her facial expressions. She might have been good, but her co-worker overshadowed her. This was John Goodman. He was really good. Grom him I've seen a couple of movies and he was good in all of them, it just seems he is getting better by the years. He was threatening and intimidating. His unpredictable character only made it better. The last person on the list is Emmett. He was the other guy in the bunker. Emmet was played by John Gallagher Jr. He wasn't as special as the previous two, but he nonetheless gave a good performance.The writing was the problem with this movie. Everything of the script was fine but the ending. The ending was way to abrupt and the tone switch wasn't handled well. The whole movie had an isolated, thrilling feel, but when she got out the tones rapidly changed. The ending was also dumb and kind of predictable. This was my main problem with the movie. The dumb ending. That's why my grade changed from a 9.5 to an 8.5. The dialogue was very well and carefully written, the dialogue fitted with the characters who said them. Which brings me to the next subject, the characters. These where well developed. Each one of them, which is very rare in today's movies. John Goodmans character I found the best. His character was the most interesting and intriguing. He was unpredictable, like I've said, but this was only one more thing to make his character interesting. The character of Mary Elizabeth Winstead was smart also something that you don't see a lot in movies these days, and also very likable. Emmett did undergo a character arc at the end, which was very good and well handled. I think by now you can see my surprise for the bad ending. Everything from the script was done so well and with care and at the end they just gave up or something. A smaller problem that I have with the screenplay is that you are still left with some questions, but I think that they did this intentionally, so you can think about the movie even after you've seen it. This is an acceptable excuse, but for some questions I think they didn't give you enough hints, or evidence. I also have no clue why the movie carries 'Cloverfield' in the title, because it has nothing to do with that movie at all.In the end I would say that '10 Cloverfield Lane' was a good movie, one of the better movies I've seen that came out in 2016. Just the ending ruined it for me and that's why I'm giving this movie a 8.5/10",9,1,2,5 August 2016
The Finest Hours," Interesting story, OK execution
","A ship gets stuck in a storm. Now a team has to be sent to the ship, to rescue as many people as possible.The movie was directed by Craig Gillespie, a director who has not made a lot of movies. Yet. He has previously made movies in cooperation with Disney. This time he did it again for 'The Finest Hours'. Gillespie did a very good job at directing. He used a lot of cool camera movements, that a lot of the time worked. Sometimes when he used them on see and the shot transfers to a green screen one, but he tries to hide it and make it look like it was one take, were sometimes nauseating. But he also has used some good one-take scenes, like the first time where they are saying how fast and at which degree they have to sail. I was fairly impressed by that scene. The second time it had less power, because we had seen it before. He did however knew how to create tension. There were some really tenseful scenes, but sometimes he just dragged them out that tiny bit to far. Some decisions he made were pretty daubtable. Like constantly editing away from the tanker, even when the rescue crew was already away. The cool, good and interesting things are happening over there. Not on land. So I don't get why he decided to constantly edit between those places. He also didn't pay a lot of attention to the details. The cold, for example. There was no way you could see that they were cold. There were no little clouds coming out of their mouth, there was no shivering... It's the details that make the movie. The set design was also pretty impressive. So were the clothes. They felt like it came from the 50'. The cgi and green screen were fine. When I read that they worked on the special effects for a year, I was expecting top notch effects, but instead I got the opposite. The green screen was very noticeable and off-putting. The characters looked too accentuated, because the edges of them looked a tiny bit blurred. The way how the boat moved in the sea looked very convincing to me, though. The editing was a bit to slow for me in the first act, but in the second and third they edit sometimes a bit to much to show the reaction of every actor, which was not necessary. The acting was good. There were two main characters in the movie: one played by Chris Pine, one played by Casey Affleck. Let's start with Chris Pine. Overall he was fine. His accent was consistent and in the emotional scenes he preformed very well, but when he was talking for a long time, he reminded me of Mark Wahlberg in 'The Happening', which is not a compliment. But the other moments weigh up to this, so on average I would say he was fine. Casey Affleck was really good in the movie. He gave one of his better performances in the last couple of years. It was much better than his performance in the movie that also came out in 2016 called 'Tripple 9' Not a good movie. He had some moments where I could see he was acting, so that's my only really criticism about him. Holliday Grainger was very good. She played Miriam.The writing was the biggest problem of the movie. The story was good, because otherwise I wouldn't have decide to watch the thing. Just the first act was done badly. The love story between Pine and Grainger was not that relevant to the story in my opinion it didn't emote me in the end, so the point of all this is not clear to me. What also made the first act not bearable was the chemistry between Pine and Grainger. They didn't fit together at all. The character of Miriam was interesting, though, but just wrongly integrated into the movie, whereby they made her boring. That's also why I said in the beginning of my review, that the land-stuff was not interesting. Pines character was also so stupid in the beginning of the movie. with this I don't mean that his character was a dull/silly character. No he was genially stupid. I think they might've tried to make him seem to be in love, or awkward, but they just failed in that aspect. The character of Casey Affleck was good. He was a likable character, so you were rooting for him. You wanted him to get of the boat. The story is also very predictable, but I already knew what I was getting myself into before even watching the movie. And it's a Disney movie. That says enough.In the end this movie was an OK attempt at recreating a true story. There were some problems, but nothing that bad, that the movie is unwearable. That's why this movie get's a 6.0/10 from me.",6,1,1,9 October 2016
Fury," not what I expected
","Fury is about a group of guys in a tank. But at a certain point they get someone new in This is Norman (Logan Lerman). He has trouble killing people, and being in war. His sergeant has to 'help' him with this. But this is just a side story-line, and I just found that out when he starts killing people in the movie, which I didn't like. The main story is about the sergeant who has to guide a group of tanks through Germany. The movie is directed by David Ayer. I really liked the directing of the movie, they also went with this gray- isch tone. I really like that sort of style. Sometimes it is used right in movies, and sometimes it isn't. An example where it is used right: Gone girl, and THIS MOVIE. The action sequences are very well filmed, only in the beginning of the movie it was a bit fast edited. he acting in the movie was good. I really liked the chemistry between Don and Norman. Logan Lerman did one of his best performances yet. Really liked his character, also Brad Pitt did a good job, but less spectacular. This couple got the best lines and where involved in one of my favorite scenes of the movie (I have two favorite scenes the next one is a bit further in this text) the scene is when Don forces Norman to kill a German soldier, that was a very well written and acted scene by both of the actors. I didn't like Shia that much. I loved Jon Bernthal, you hate him at first, but you grow out loving him, he is also in my other favorite scene is when Emma died and Grady tells Norman that that is war. I also got attached to the characters, so I felt bad, when a lot of them died near the end of the movie. the writing was also pretty good, it wasn't anything amazing, but it was good. This was also done by David Ayer. They manged to replicate a realistic world war. and something I cant forget to mention: this movie is very gruesome, don't trust the parents guide with this one. There is very realistic and gory violence. I trusted the parents guide and I was kind of shocked when I saw the movie, luckily I can handle these parts quite a bit,but if you can't handle gory violence than don't watch the movie.And like I have said in the title of my review, the movie is not what I expected, I expected it to be worse because I have read a lot of negative reviews about this movie. Here are some individual scores, like I usually do:Directing: 8.5/10writing: 8/10Acting: 9/10Tension: 8/10Drama: 9/10 that is a total of 42.5/50 which is rounded an 8 or a 9 out of ten. I am going to round it down to an 8/10",8,9,16,29 June 2015
The Maze Runner," Wasn't so aMAZEing
","Maze Runner is about Thomas (Dylan O'Brien). In the beginning of the movie we see Thomas waking up while getting lift up by an elevator. When the elevator stops he sees that he is surrounded by a group of young guys. They are all standing in a circle of a forest like landscape, but this place is surrounded by a maze. To escape from the maze they send out these 'runners'. By day the runners go in to the maze and try to memorize the maze so they can find a way out. the guys don't send runners out by night because the maze closes then and there are these grievers. of course Thomas wants to be a runner and so the story starts. I have some questions about this movie that made the movie just stupid, so let me get them out of the way. First question( and probably the most asked one): Why didn' they climb on the vines? I know that Newt(Thomas Brodie-Sangster) said that the vines didn't reached to the top, but you could clearly see that they did. Or they could have at least build a ladder or something. My second question is maybe a bit dull but still, How do they get their hair gell? I even read on the trivia that Dylan O'Brien almost didn't get the roll just for his hairstyle, because there was to much gell in it. So why bother Dylan but let the rest of the guys keep their gell? My third question: How could they have mapped the maze if it changes every night? And now my biggest complaint: The ending!. It was just to much set up for the next movie and it didn't make sense, they also let someone die. The makers hope that you care about the person that dies but you really don't. I also have some move problems with this movie, but they are just small problems so I don't bother telling you.Now the directing. The directing of the movie was overall not to bad. Only the scene where Thomas gets attacked by one of the grievers for the first time you couldn't really see what was going on. This was due to the dark and by the shaky cam. This wasn't very tense, to not say it wasn't at all, because you just knew that Thomas would survive a night in the maze. But the fight scene between Thomas and Gally (Will Poulter) was well directed and tense. but this was one of the only tense moments of the movie. The special effects were good at times (the maze) but also bad (the grievers) and sometimes you could just see that they were standing in front of a green screen. the script of this movie wasn't that good it was just a bit dull, there were some good parts. This is why you just didn't care about the characters and why I didn't feel sad when someone was killed of. Due to the bad writing the jokes didn't also really work. But the overall plot was OK, just the ending. The acting was surprisingly good. Dylan O'Brien was likable as Thomas. And Will Poulter surprised me as Gally. Gally was this leader of the group guys before Thomas came. And Thomas didn't really follow the rules of Gally, which gave some chemistry between the characters. There was also this character Chuck, played by Blake Cooper. I didn't like his character at all. He was supposed to be the comic relieve. But he wasn't funny and I was annoyed by it. Blake Coopers acting wasn't so convincing. But overall the acting was good and I think that that was the best part of the movie.This movie isn't a total disaster and you won't get mad about it, just about the ending. I get why some people liked it and some people don't so go watch it and decide by yourself.",5,0,0,31 August 2015
Memento," Very creative
","Memento is a movie about Leonard (Guy Pearce). He suffers from some kind of short-term memory, but not really, because he can remember everything till the day that his wive gets murdered and raped. He himself gets a head injury, due this he gets his short- terms memory. He remembers everything by taking pictures and by putting down a little description. Leonard also puts down tattoos on his body with very important text on. These texts are clues that he found out about the murder of his wife. with these techniques he tries to track down the murderer of his wife and kill him.The directing of the movie is, as always with Nolan, amazing. I don't have anything more to say about it, only that the fighting scene in the bathroom is a bit to closed up.Not the scene with the flashback of the murder. But for the rest (not sure if you say it like that in English, not native) the directing was good.the acting was also very well. Really liked Guy Pearce in this movie, I personally think that this is one of his best role. Carrie- Anne Moss played one of my favorite characters. I really liked the way she played with Leonards short-term memory. This really made me hate her, but it was just so well acted. Joe Pantoliano as Teddy was a fun character, and he stays mysterious throughout a big part of the movie. Some things that I liked about the movie were that you really had to pay attention during the movie. I also liked that the movie was very well created. With this I mean that you get some scenes then you get some gray and white scenes and then there are scenes that are about what happened before the first scenes and so on and so on. But the ending is just mind blowing and was my favorite part of the movie. This is because it is so well written and clever. I totally didn't see it coming and was very surprised, I literally sat there with an open mouth.I am sorry if my English wasn't good and that this review is pretty short, but here are some individual scores.Directing: 9.5/10Acting: 9.5/10Writing: 10/10Ending: 10/0This is a total of 39/40 which is rounded a 10/10. I really recommend seeing this movie.",10,0,2,2 August 2015
Rogue One: A Star Wars Story," 'Rogue One' is lacking in characters but succeeds in a lot of the rest!
","'Rogue One: A Star Wars Story' is about a group of Rebels, who are trying to steal the plans of the Death Star.Gareth Edwards was an excellent choice for directing. He really nailed to make a 'war' movie, which is dark and gritty, yet manages to stay pg-13 and has no desire to be rated R. He is a director who has a knowledge of scale and he shows it. During the battle sequences we see everything from the ground up: from the perspective of the protagonists. Due to this you feel more involved with the characters and the enemy also looks more imposing and scary. Edwards also used shadow in a nice why, by which he created some good looking shots. He didn't only use it to create a nice shot, but he also used it in a creative manner, by only filming the shadow. An example is the first time we see Darth Vader. He films the wall next to Krennic, so the shadow of Darth looks very big next to the small Krennic. Again, to show that Darth Vader is very dangerous and stands above all. It gives cool shots with a meaning to them. That whole scene was amazing, actually. The action scenes he handled well too. Sometimes I found these to be quickly edited, but these were mostly in the beginning of the movie. He also exchanged hand-held camera with some form of steady cam, which really worked well when Chirrut defeated the group of Stormtroopers. That and the choreography made the scene good. The last act was absolutely fantastic: I was on the edge of my seat the whole time. During that act they also used some left over scenes from the original trilogy of pilots in X-wings. It was notable, but I found it to be a cool extra.The soundtrack was not made by John Williams, which is pretty surprising, because he had composed the score of I believe, all the other Star Wars movies. The new composer, Michael Giacchino, did a very good job. He re-used some of Williams's work, but changed them a bit. He managed to create an original score, which had a Star Wars-feel to it, which I very much liked. The special effects were some of the best that I have seen this year. This really helped with the action scenes and also with the use of the laser shot from Death Star. They were able to portray the destruction very well. Gran Moff Tarkin looked very good. First I didn't even notice that he was CG, but at some points you were able to see that he kind of looked like a video-game character.The acting too was good. Felicity Jones played a strong female protagonist, where she showed her emotions really well. She sometimes acted a bit flat, but most of the times I liked her very much. But that flat acting was maybe to show the wall that Jyn has built up, so people can't see how she feels, and I believe that this was their goal. Diego Luna I really liked. He performed well in all of the scenes. He did have good charisma. Donnie Yen and Wen Jiang were both very good. They had good chemistry and it felt like they went back a long time. The antagonist, played by Ben Mendelsohn, was very good. He was menacing and fitted his role very well. The last thing I want to mention here is the character of Darth Vader. A lot of people said that he was underutilized, but I didn't think that that was true. He had good scenes and lines and also one of my favorite scenes of the movie. The scene where he plows through rebels like it's nothing. That scene was really awesome to look at. The writing was good. The story was one that should've been told and it was strong on that aspect. I didn't find the story boring or lacking. What I did find a bit dull was that the character of Jyn was the only one who really was developed. From Diego Luna's character we only get one scene, in which we learn something about him, and that scene worked for me. In the beginning we also see that he is a rebel, but someone who doesn't go by as a 'good-guy', because he shoots someone in the back. Now my problem doesn't lie with these two characters, but with the rest of them. They were not given anything, except for some emotionless exposition. The pilot, played by Riz Ahmed, got brainwashed, but just after a few scenes he was OK, even though Gerrera said that he would go insane. It didn't make any sense and would've been some character development. Due to the lack of rounded characters the ending didn't really emote me, whereby the death of them all was kind of useless. The acting was the thing that kind of saved this, because due to the acting I felt like they did have a character build around them. The dialogue had some good lines and was funny at times. Most of these comedic moments were given to K-2SO, which was by the way a fun character, just introduced by a lot of exposition. And that's all we get to know from him. Alan Tudyk did a good job at voice acting. The ending was very good and tied in with 'A New Hope' well. Again they used CGI in that scene for the face of Leia, but I also think that that looked good. In the end 'Rogue One' was a very good Star Wars movie, whose story is one that had to be told. The ending was a nice conclusion. The characters were lacking, but the directing I found to be very good. The CGI, just like all of the shots, were good-looking and the acting was great. That's why 'Rogue One' gets a 8.6/10.",9,2,8,25 December 2016
Public Enemies," An emotionless film, with good action scenes and acting!
","'Public Enemies' is a biopic about the robbing-life of John Dillinger told from his perspective and from that of the police.Michael Mann, the director of among others 'Last of the Mohicans', was also the director of this movie. In the previous named film he did a good job, in this one however, I found that it didn't live up to my expectations. He made some bold choices, whereby the movie suffered. He sometimes made it look like they were filming a documentary, which may sound logical, because it's based on a true story, but it really wasn't integrated nicely into the film and didn't fit well with what the movie had set up as a theme. He also let the camera shake a lot, which also didn't always work. Sometimes it did, like in the beginning sequence, which I by the way very much enjoyed. In that beginning sequence he used good soundtrack and changed the camera viewpoint often, whereby he has created an interesting and tense scene. Unfortunately the rest of the film wasn't as good as that first scene. Mann also used close- ups very often in this film, which gave a claustrophobic feel to the movie. That didn't fit with the movie as well. But he interchanged them at times with long shots, and due to this you weren't always caught in a claustrophobic feel. He also overused shadow and that sometimes created a nice shot, but other times it didn't work out that well. But overall this wasn't really annoying and it worked most of the times. It helped to create a dark atmosphere, and I believe that that was what Mann was trying to reach. The cinematography wasn't the greatest too: it was not a good looking movie. Which is by the way surprising, because the cinematographer had previously worked with Mann in other movies, that did look good. Michael Mann did however capture the action scenes very good. Those were tense and exciting to watch. Those scenes were actually the one that saved the movie, unfortunately. The soundtrack, though, I found to be pretty good, just like the costume design. This really helped to create the atmosphere the movie was going for. The sets too looked realistic and helped with the previous named thing. The sound design was good as well. The gunshots and all sounded realistic to me. The editing of movies is always done in a special way with Michael Mann, and in this film that was again the case. Sometimes I was a fan of it sometimes I wasn't, because at times scenes were edited in a clever way, like with placing the head of the character in one corner and switching between two characters at different places having a telephone conversation, but their head is always at the same paces, if that was any clear. So it was a hit or miss with the editing. But I found the pacing to be good. Hence this is a two hour plus film, I was expecting dull, boring parts, but there were none, due to the good pacing.The acting was very good. I had my doubts with Johnny Depp, because there are only two ways he performs: absolutely fantastic, or absolutely horrible. An example of an absolutely horrible performance of him can be found in the terrible, atrocious film called 'Mortdecai'. What a bad film. But in this movie I had a bit of hope it would lean to the fantastic side – 'Edward Scissorhands' for example - , because Michael Mann was behind the camera, and it did in fact lean to the fantastic side. I very much liked his performance. Christian Bale, who played the detective trying to capture John Dillinger, too had a good acting achievement. His accent was consistent and sounded good to me. Marion Cotillard played the new girlfriend of John Dillinger. She gave a very good performance. I thought that she was the best out of the cast.The writing was lesser good. The story was interesting and told in a good way, but it was emotionless. The characters didn't get any development, whereby you didn't care what happened to them or what would happen to them: it just felt flat. The only really emotion we see from John Dillinger is when he says what happened in his youth in a quick fashion to Marion Cotillard. And that's about it, which is kind of sad actually, because we see Jason Clarke's character in a lot of scenes with Johnny's, but yet I can't even recall his name. So when he died it just felt like another disposable cast-member died, even though this wasn't what they were going for. The dialogue, however, was well written and realistic. Some of the lines were very good, but I think that they focused a bit too much on that aspect of the script, and less on the charactorial part of it. In the end this wasn't Michael Mann's best films, but it wasn't his worst either. The acting was good and so was the beginning sequence. The script was lacking in character development, but it succeeded at the dialogues. Nonetheless, even though the characters weren't good, Michael Mann managed to create good action sequences that held up the movie together with the acting. That's why this film gets a 6.2/10 from me.",6,3,4,31 December 2016
127 Hours," One of the best movies based on a true story.
","Some spoilers might have slipped through, so brace yourself warned!'127 Hours' is based on the true story of Aron Ralston. Aron is an engineer, who's passion lays more in adventure. So one day he decides that he wants to go, and have some fun in Moab, Utah. But he does this without telling anyone about it, so when his arm get's stuck between a rock and a wall, panic starts to flow..This movie was directed by Danny Boyle. This is also the person who wrote the screenplay for the movie, I love when directors also write the screenplay, this shows their dedication to the movie (in most cases), but more on the screenplay later. He has one multiple movies, and this is the first one that I've seen of him, so I can't really compare with his previous films. In this movie he utilizes a very cool and refreshing style. The three way screen (I think you'll understand what I mean if you've seen the movie), was at first a bit weird, and I didn't quite like it. But as the movie progressed, I started to enjoy and appreciate it more. This can be seen throughout the movie, but the longer parts are in the beginning, and at the end of the movie. I also liked that he used the footage of the camera of Aron. He was also creative at times; by making it look like there was a camera in the tube of his drinking bag. This gave a cool effect. The cinematography was also done very well. This was gorgeous to look at. This was done by two people Enrique Chediak and Anthony Dod Mantle. The make-up was really good. Which leads me to one of my favorite scenes of the movie. The scene where he cuts of his own arm. I very much enjoyed this part because of the brilliant way it was directed and acted. You could really see the pain, anger and fear in James Fronco's eyes. The wounds looked real, a bit to real as well. But due to the rapid editing you get spared a bit. In most cases I would hate a fast edited part, but here I felt blessed for it :). The cgi was a bit of a downside for me. The bird that flies over looked very cg, just like the upcoming clouds. But the water-bag cgi looked good to me, if it even was cgi.The acting was good, and this is an average, because James Franco was amazing, and the rest, not so much. Not that they were bad, but there weren't great either. So let's start of with the main character. Aron, played by James Franco. In this review I've already said multiple times that he was fantastic, because he was. He showed his acting qualities numerous times during the movie, mostly during the emotional parts. It's just so fascinating that he can convince me so good that he is in pain. Sadly he hasn't really picked good movies recently. There aren't a lot of actors in '127 Hours', so I'll just discus Kate Mara, and Amber Tamblyn. First, Kate Mara. She is overall a good actress, just one of her latest movies is not a good one *cough* Fant4Stick *cough*. But she has redeemed herself in 'The Martian'. In this movie she plays Kristi, a girl who is walking in the same place with her friend as Aron. Aron meets them, and befriends them. She was fine. Not her greatest role, but also not her worst. Her friend was played by Amber Tamblyn, and she was fine too. On the rest of the supporting cast I can't judge, because I've seen so little of them.The screenplay is, like I've said, written by the director, Danny Boyle, but also by Simon Beaufoy. The screenplay was very well written. Even though there wasn't a lot of dialogue, they kept me interested and invested with the film. This of course isn't only because of the script, but because of the directing as well. The dialogue, as far as there was some, was good. A thing that some people might find stupid, is that you can see that they are struggling to reach the ninety minute mark. They use lot's of flashbacks, and thoughts, that stretch out the duration of the movie. In some circumstances I didn't mind them. For example the thought of Aron that it started to rain. This just showed how desperate he was to survive, but also heartbroken, near the end. Just that scene alone describes his feelings during the movie. The characters weren't that great developed. Aron kind of was, but it just didn't make me care more about him. The supporting cast wasn't worth to developed, so I didn't care about that they didn't do it. What they do manage to do is to create a starting feeling with Aron. Due to the charisma of James Franco.That was my review for an emotional movie, with very good directing, and a fantastic main actor. 8.7/10",9,0,1,30 April 2016
Alexander," Bad writing, bad acting, bad directing... the perfect cocktail...
","This may contain spoilersFirst of all, the movie starts really bad. Acutually, the beginning of the movie is so boring. just an old man walking around and talking, nothing else, just an old man saying bad lines. and when the man stops talking and we see Alexander for the first time as a kid, O God... that was one of the worst parts. Angelina her accent was so bad, so, so bad. I wonder why these actors agreed after they have read the script. I am not going to review the hole movie. If I would do that it would take me ages to tell how bad it was.Do yourself a favor and don't go and watch it, I had to because they made me watch it in class. If still are planning on watching it, go watching it just for fun. it is just so sad it makes it hilarious.",1,5,6,14 May 2015
The Town," A very well developed drama
","The movie is about a crew who robs banks and armored trucks. But one day they rob a bank and they take a hostage. They set her free, but someone has to follow her. The one that has to follow her is Doug (Ben Afflec) He then falls in love with Claire (Rebecca Keesey) Doug tries to retire but decides to take two more jobs... The movie is also portrayed by the view of two cops, how they try to track down the crew of Doug. these cops are Adam Frawley (John Hamm) He is like the bad and driven cop. And the other cop is Dino Ciampa (Titus Welliver) he is a more gentle cop.The directing of the movie is done very well. A thing that I didn't like was the shaky cam. When there where action/ fight scenes there was often some shaky cam. this style of filming made it hard to see what was going on. But the heist scenes were filmed very well which weighs against my previous disadvantage. These scenes were also quite thrilling. The car chasing scenes are pretty good. The acting in 'The town' was very well done. I really liked Jeremy Renner character (James Coughlin). THis is one of Jermeys best roles (in my opinion). Also Blake Lively did a good job. She was very convincing. Ben acted less good, but his character was very well developed. They start working on his character when Doug and Claire are talking to each other, and Doug starts talking about how his mother left him. This was a very well written scene and also one of my favorites. the dialogue is overall also very well. Another scene that I liked is when Doug goes to Coughlin and says: 'I need your help. I can't tell you what it is, you can never ask me about it later, and we're gonna hurt some people.' then Coughlin says: 'Whose car are we gonna take?' This is really funny in the movie, and this isn't the only funny scene. The moments that were meant funny genuinely turned out to be funny. The movie doesn't have a lot of these moments, but that is just because this is a drama and not a comedy...A thing thing that I liked is that they also filmed from the view of the police, this gave a interesting take on the movie. The love story of Doug and Claire is also good, it didn't fell to forced. But now something I didn't really like was that you don't get to know the rest of the crew that much. So when they die at the end, you don't really feel sad, or care about them. The only person I cared about when he died is Coughlin. this is because they focus more on him. When Gloansy died it was funny and sad, it was funny because of the things he said, and sad because he gave his own live to save Doug and Coughlin. Now that I have said what I wanted to say, I'll give you some individual scores:Directing: 8/10Writing: 9/10Acting: 9/10Thrilling: 8.5/10That is a total of 34.5/40.On ten that would be a 8.6/10. Which is rounded: 9/10",9,0,1,19 July 2015
